	YuJ_2015__SZAXPI015257-56__bin.48	NielsenHB_2014__MH0088__bin.3	VogtmannE_2016__MMRS68910755ST-27-0-0__bin.12	LiuW_2016__SRR3992985__bin.31	LouisS_2016__AS51_18__bin.6	SchirmerM_2016__G88882__bin.19	LeChatelierE_2013__MH0088__bin.44	LoombaR_2017__SID1052_baz__bin.27	YuJ_2015__SZAXPI017463-36__bin.18	LiuW_2016__SRR3992999__bin.9	LoombaR_2017__SID5631_soh__bin.8	VogtmannE_2016__MMRS24340226ST-27-0-0__bin.31	XieH_2016__YSZC12003_35551__bin.8	XieH_2016__YSZC12003_35704__bin.22	LiJ_2014__V1.CD1-3-PN__bin.53	LoombaR_2017__SID5362_xgk__bin.32	ChengpingW_2017__AS116raw__bin.16	LiJ_2014__V1.FI21__bin.16	LiJ_2014__V1.CD48-0__bin.41	CosteaPI_2017__donald4-11-7-0__bin.26	CosteaPI_2017__SID713A037-11-0-0__bin.26	QinJ_2012__NOM004__bin.11	Obregon-TitoAJ_2015__NO01__bin.17	QinJ_2012__DOM010__bin.30	LiJ_2014__V1.CD32-0__bin.41	YuJ_2015__SZAXPI015237-23__bin.17	ZellerG_2014__CCIS98512455ST-4-0__bin.12	VogtmannE_2016__MMRS62376181ST-27-0-0__bin.49	XieH_2016__YSZC12003_37277__bin.2	VatanenT_2016__G80466__bin.21	VogtmannE_2016__MMRS42780924ST-27-0-0__bin.45	LiJ_2014__V1.CD32-4__bin.69	VogtmannE_2016__MMRS31306426ST-27-0-0__bin.18	VogtmannE_2016__MMRS39415781ST-27-0-0__bin.24	FengQ_2015__SID531775__bin.44
LoombaR_2017__SID5631_soh__bin.8	8844.0	8097.0	6329.0	8783.0	37393.0	9120.0	7937.0	4862.0	9456.0	8899.0	0.0	10783.0	15095.0	9393.0	8804.0	8353.0	8028.0	8346.0	17732.0	9116.0	9520.0	9343.0	18998.0	6603.0	36348.0	8689.0	39267.0	14535.0	38346.0	7603.0	9016.0	36923.0	27953.0	8551.0	38759.0
VogtmannE_2016__MMRS24340226ST-27-0-0__bin.31	13149.0	10756.0	9506.0	10436.0	47135.0	12711.0	10888.0	6274.0	13668.0	10361.0	10783.0	0.0	18954.0	11341.0	13112.0	11781.0	11925.0	11573.0	23243.0	14658.0	12058.0	12687.0	24836.0	9986.0	47453.0	13900.0	50200.0	17969.0	49463.0	8446.0	13321.0	48041.0	37052.0	12564.0	51089.0
XieH_2016__YSZC12003_35551__bin.8	17833.0	16935.0	13092.0	18094.0	27032.0	18870.0	17711.0	10810.0	18268.0	16179.0	15095.0	18954.0	0.0	16559.0	17572.0	17440.0	18460.0	17382.0	23145.0	18084.0	17458.0	18147.0	24103.0	14598.0	27020.0	19359.0	26183.0	20308.0	26865.0	15146.0	16809.0	27240.0	28734.0	17878.0	27349.0
XieH_2016__YSZC12003_35704__bin.22	11203.0	10495.0	7814.0	12356.0	42334.0	12829.0	10665.0	6771.0	12449.0	10485.0	9393.0	11341.0	16559.0	0.0	11727.0	11373.0	12660.0	10440.0	22015.0	11963.0	11458.0	12080.0	22774.0	10506.0	43790.0	12389.0	45021.0	17651.0	45039.0	9559.0	11200.0	44618.0	32940.0	11854.0	45645.0
LiJ_2014__V1.CD1-3-PN__bin.53	11201.0	10023.0	9034.0	11587.0	41437.0	12433.0	10267.0	6330.0	12793.0	10847.0	8804.0	13112.0	17572.0	11727.0	0.0	11334.0	11803.0	11311.0	21693.0	11440.0	12660.0	11850.0	22553.0	9789.0	42068.0	13539.0	43864.0	17127.0	43529.0	9970.0	11443.0	42647.0	32778.0	12109.0	45164.0
LoombaR_2017__SID5362_xgk__bin.32	11760.0	10108.0	8665.0	11265.0	45975.0	11908.0	10201.0	6015.0	10469.0	9638.0	8353.0	11781.0	17440.0	11373.0	11334.0	0.0	12088.0	11039.0	24554.0	11177.0	11927.0	11180.0	23411.0	9732.0	47161.0	11548.0	47634.0	16873.0	48469.0	9340.0	11289.0	47245.0	35535.0	11345.0	49008.0
ChengpingW_2017__AS116raw__bin.16	7481.0	10763.0	4610.0	12859.0	48335.0	12966.0	10715.0	6451.0	13580.0	10796.0	8028.0	11925.0	18460.0	12660.0	11803.0	12088.0	0.0	9933.0	24820.0	11563.0	12827.0	12698.0	25690.0	10974.0	48682.0	12673.0	49931.0	18737.0	50414.0	10752.0	11793.0	48950.0	37531.0	12981.0	50947.0
LiJ_2014__V1.FI21__bin.16	9212.0	10089.0	6495.0	11426.0	43746.0	12043.0	10233.0	6302.0	12898.0	10153.0	8346.0	11573.0	17382.0	10440.0	11311.0	11039.0	9933.0	0.0	22831.0	11371.0	11291.0	12105.0	22848.0	10187.0	45118.0	11995.0	46631.0	17622.0	46525.0	9702.0	10662.0	45615.0	34331.0	11606.0	47093.0
LiJ_2014__V1.CD48-0__bin.41	24900.0	21323.0	17837.0	23491.0	48946.0	23810.0	22607.0	12747.0	24693.0	19465.0	17732.0	23243.0	23145.0	22015.0	21693.0	24554.0	24820.0	22831.0	0.0	23542.0	22238.0	25018.0	10494.0	18210.0	49513.0	25136.0	52070.0	19242.0	50716.0	18632.0	21626.0	50008.0	33484.0	24308.0	50939.0
CosteaPI_2017__donald4-11-7-0__bin.26	12791.0	10599.0	8883.0	10870.0	47022.0	12329.0	10784.0	3395.0	12694.0	9815.0	9116.0	14658.0	18084.0	11963.0	11440.0	11177.0	11563.0	11371.0	23542.0	0.0	11512.0	8243.0	24221.0	9990.0	48243.0	14185.0	49527.0	18321.0	50045.0	9167.0	11347.0	48150.0	37817.0	12152.0	51590.0
CosteaPI_2017__SID713A037-11-0-0__bin.26	13083.0	10642.0	9957.0	12135.0	43713.0	12577.0	11153.0	6430.0	13214.0	9611.0	9520.0	12058.0	17458.0	11458.0	12660.0	11927.0	12827.0	11291.0	22238.0	11512.0	0.0	12285.0	23507.0	10311.0	43279.0	12980.0	46690.0	16733.0	46017.0	8774.0	11455.0	44376.0	33971.0	13342.0	46625.0
QinJ_2012__NOM004__bin.11	12157.0	11254.0	9210.0	11705.0	45800.0	12583.0	11478.0	5691.0	13616.0	10585.0	9343.0	12687.0	18147.0	12080.0	11850.0	11180.0	12698.0	12105.0	25018.0	8243.0	12285.0	0.0	24495.0	10559.0	46126.0	12285.0	49158.0	18053.0	49479.0	9758.0	12514.0	47389.0	36519.0	12202.0	49309.0
Obregon-TitoAJ_2015__NO01__bin.17	25481.0	21841.0	19523.0	24981.0	48833.0	24836.0	22559.0	12751.0	24850.0	20915.0	18998.0	24836.0	24103.0	22774.0	22553.0	23411.0	25690.0	22848.0	10494.0	24221.0	23507.0	24495.0	0.0	18299.0	49017.0	25615.0	52422.0	17555.0	50399.0	19353.0	21949.0	49927.0	33916.0	25538.0	51583.0
QinJ_2012__DOM010__bin.30	10729.0	9483.0	7518.0	9435.0	34276.0	9794.0	9773.0	5743.0	10692.0	8694.0	6603.0	9986.0	14598.0	10506.0	9789.0	9732.0	10974.0	10187.0	18210.0	9990.0	10311.0	10559.0	18299.0	0.0	34485.0	10264.0	36573.0	14488.0	35823.0	8040.0	10012.0	34504.0	26940.0	10201.0	36484.0
LiJ_2014__V1.CD32-0__bin.41	49079.0	42914.0	35275.0	47166.0	29516.0	47317.0	45902.0	25220.0	47048.0	39899.0	36348.0	47453.0	27020.0	43790.0	42068.0	47161.0	48682.0	45118.0	49513.0	48243.0	43279.0	46126.0	49017.0	34485.0	0.0	48608.0	28420.0	45746.0	28591.0	38957.0	43368.0	674.0	53480.0	48527.0	33158.0
YuJ_2015__SZAXPI015237-23__bin.17	13032.0	10827.0	9354.0	11549.0	48313.0	13669.0	10896.0	5721.0	13412.0	10186.0	8689.0	13900.0	19359.0	12389.0	13539.0	11548.0	12673.0	11995.0	25136.0	14185.0	12980.0	12285.0	25615.0	10264.0	48608.0	0.0	50525.0	18494.0	51622.0	8795.0	11983.0	48892.0	38965.0	13606.0	53552.0
ZellerG_2014__CCIS98512455ST-4-0__bin.12	51326.0	45106.0	36529.0	50270.0	28450.0	49220.0	47411.0	26051.0	48481.0	43175.0	39267.0	50200.0	26183.0	45021.0	43864.0	47634.0	49931.0	46631.0	52070.0	49527.0	46690.0	49158.0	52422.0	36573.0	28420.0	50525.0	0.0	47769.0	24237.0	40695.0	44285.0	28621.0	53199.0	50732.0	30279.0
VogtmannE_2016__MMRS62376181ST-27-0-0__bin.49	17858.0	16590.0	13637.0	17970.0	44868.0	18364.0	17154.0	9538.0	18822.0	15867.0	14535.0	17969.0	20308.0	17651.0	17127.0	16873.0	18737.0	17622.0	19242.0	18321.0	16733.0	18053.0	17555.0	14488.0	45746.0	18494.0	47769.0	0.0	46930.0	14627.0	17629.0	46051.0	33596.0	18426.0	48301.0
XieH_2016__YSZC12003_37277__bin.2	50210.0	44261.0	36557.0	49438.0	25498.0	48863.0	47271.0	25853.0	48744.0	41657.0	38346.0	49463.0	26865.0	45039.0	43529.0	48469.0	50414.0	46525.0	50716.0	50045.0	46017.0	49479.0	50399.0	35823.0	28591.0	51622.0	24237.0	46930.0	0.0	40860.0	44499.0	28911.0	52024.0	51081.0	27925.0
VatanenT_2016__G80466__bin.21	10170.0	8046.0	7498.0	8251.0	38636.0	10399.0	7993.0	5015.0	10631.0	7449.0	7603.0	8446.0	15146.0	9559.0	9970.0	9340.0	10752.0	9702.0	18632.0	9167.0	8774.0	9758.0	19353.0	8040.0	38957.0	8795.0	40695.0	14627.0	40860.0	0.0	9956.0	39297.0	28416.0	9544.0	40677.0
VogtmannE_2016__MMRS42780924ST-27-0-0__bin.45	10646.0	10667.0	8393.0	12500.0	42698.0	11977.0	10558.0	6495.0	11818.0	11606.0	9016.0	13321.0	16809.0	11200.0	11443.0	11289.0	11793.0	10662.0	21626.0	11347.0	11455.0	12514.0	21949.0	10012.0	43368.0	11983.0	44285.0	17629.0	44499.0	9956.0	0.0	43602.0	32833.0	11610.0	45533.0
LiJ_2014__V1.CD32-4__bin.69	49403.0	43864.0	36683.0	47590.0	29659.0	47829.0	46330.0	25637.0	47563.0	41230.0	36923.0	48041.0	27240.0	44618.0	42647.0	47245.0	48950.0	45615.0	50008.0	48150.0	44376.0	47389.0	49927.0	34504.0	674.0	48892.0	28621.0	46051.0	28911.0	39297.0	43602.0	0.0	53445.0	49659.0	33592.0
VogtmannE_2016__MMRS31306426ST-27-0-0__bin.18	37574.0	32606.0	27858.0	36563.0	51900.0	36406.0	34226.0	19387.0	36084.0	32161.0	27953.0	37052.0	28734.0	32940.0	32778.0	35535.0	37531.0	34331.0	33484.0	37817.0	33971.0	36519.0	33916.0	26940.0	53480.0	38965.0	53199.0	33596.0	52024.0	28416.0	32833.0	53445.0	0.0	36902.0	53705.0
VogtmannE_2016__MMRS39415781ST-27-0-0__bin.24	12678.0	11049.0	9437.0	12949.0	48002.0	12886.0	11225.0	6884.0	14204.0	10515.0	8551.0	12564.0	17878.0	11854.0	12109.0	11345.0	12981.0	11606.0	24308.0	12152.0	13342.0	12202.0	25538.0	10201.0	48527.0	13606.0	50732.0	18426.0	51081.0	9544.0	11610.0	49659.0	36902.0	0.0	51438.0
FengQ_2015__SID531775__bin.44	52128.0	45143.0	38003.0	51356.0	31204.0	50297.0	47307.0	26607.0	49387.0	43936.0	38759.0	51089.0	27349.0	45645.0	45164.0	49008.0	50947.0	47093.0	50939.0	51590.0	46625.0	49309.0	51583.0	36484.0	33158.0	53552.0	30279.0	48301.0	27925.0	40677.0	45533.0	33592.0	53705.0	51438.0	0.0
