	OlmMR_2017__S2_001_026G1__bin.3	HeQ_2017__RSZAXPI003079-113__bin.31	BackhedF_2015__SID591_12M__bin.3	OlmMR_2017__S2_001_027G1__bin.7	HeQ_2017__RSZAXPI003094-125__bin.9	OlmMR_2017__S2_001_017G1__bin.7	BackhedF_2015__SID640_4M__bin.19	BackhedF_2015__SID507_12M__bin.17	OlmMR_2017__S2_001_021G1__bin.7	HeQ_2017__SZAXPI029494-94__bin.2	OlmMR_2017__S2_001_016G1__bin.8	OlmMR_2017__S2_001_024G1__bin.5	VincentC_2016__MM087.1__bin.1	BackhedF_2015__SID503_4M__bin.10	OlmMR_2017__S2_001_014G1__bin.6	HeQ_2017__RSZAXPI003098-132__bin.13	OlmMR_2017__S2_001_013G1__bin.3	HeQ_2017__SZAXPI029479-64__bin.9	OlmMR_2017__S2_001_015G1__bin.1	OlmMR_2017__S2_001_023G1__bin.13	OlmMR_2017__S2_001_025G1__bin.12	HeQ_2017__SZAXPI029545-129__bin.18	ZellerG_2014__CCIS15704761ST-4-0__bin.14	OlmMR_2017__S2_001_018G1__bin.9	BackhedF_2015__SID9_12M__bin.17	HeQ_2017__RSZAXPI003078-111__bin.17	OlmMR_2017__S2_001_019G1__bin.6	HeQ_2017__SZAXPI029549-142__bin.9	OlmMR_2017__S2_001_020G1__bin.8	BackhedF_2015__SID332_12M__bin.20
OlmMR_2017__S2_001_016G1__bin.8	3663098.0	1781932.0	3512777.0	3754087.0	2519188.0	3280478.0	2893296.0	3125063.0	3208038.0	2068950.0	3764815.0	3667852.0	1994786.0	2987376.0	3263255.0	2590071.0	3759520.0	3635490.0	2582994.0	3704860.0	3501676.0	3659658.0	3539183.0	3417749.0	2791232.0	3421859.0	3712748.0	3558408.0	3621976.0	3436900.0
OlmMR_2017__S2_001_024G1__bin.5	3833558.0	1797419.0	3582173.0	3867761.0	2557723.0	3355057.0	2935337.0	3215129.0	3256249.0	2108243.0	3667852.0	3991669.0	2022513.0	3055596.0	3380266.0	2646737.0	3988501.0	3784514.0	2673839.0	3856826.0	3617038.0	3871580.0	3599337.0	3488449.0	2828834.0	3478285.0	3951502.0	3736924.0	3782463.0	3493262.0
VincentC_2016__MM087.1__bin.1	2003546.0	1055555.0	1981874.0	2021147.0	1471911.0	1818823.0	1718671.0	1844433.0	1774959.0	1174220.0	1994786.0	2022513.0	2556628.0	1857456.0	1817167.0	1491889.0	2064667.0	2047330.0	1460631.0	2029286.0	1936220.0	2036364.0	2023897.0	1861573.0	1641500.0	1931149.0	2045631.0	1988573.0	1980587.0	1969390.0
BackhedF_2015__SID503_4M__bin.10	3047706.0	1673079.0	3044759.0	3077718.0	2304727.0	2716926.0	2773950.0	2917014.0	2652545.0	1808524.0	2987376.0	3055596.0	1857456.0	3565842.0	2726951.0	2323135.0	3132404.0	3102408.0	2159575.0	3083782.0	2942468.0	3087082.0	3033853.0	2844475.0	2652101.0	2983860.0	3052747.0	2971142.0	2991213.0	3003377.0
OlmMR_2017__S2_001_014G1__bin.6	3358827.0	1636138.0	3199275.0	3368609.0	2331609.0	2998119.0	2670595.0	2867794.0	2940897.0	1894210.0	3263255.0	3380266.0	1817167.0	2726951.0	3469633.0	2396561.0	3446936.0	3314209.0	2379413.0	3371191.0	3193437.0	3325262.0	3197068.0	3104952.0	2563019.0	3113561.0	3402893.0	3248993.0	3320792.0	3113695.0
HeQ_2017__RSZAXPI003098-132__bin.13	2630776.0	1383285.0	2618249.0	2655527.0	1991058.0	2378105.0	2288304.0	2419846.0	2313290.0	1561210.0	2590071.0	2646737.0	1491889.0	2323135.0	2396561.0	2842139.0	2703799.0	2647810.0	1884164.0	2659747.0	2531811.0	2643414.0	2579657.0	2460803.0	2215624.0	2639768.0	2660319.0	2609868.0	2584868.0	2550225.0
OlmMR_2017__S2_001_013G1__bin.3	3964260.0	1840312.0	3669176.0	4029267.0	2615939.0	3428433.0	3012521.0	3261808.0	3335522.0	2159067.0	3759520.0	3988501.0	2064667.0	3132404.0	3446936.0	2703799.0	4092571.0	3874100.0	2714259.0	3962031.0	3707179.0	3963205.0	3689187.0	3570470.0	2895410.0	3571197.0	4035427.0	3808147.0	3850009.0	3577359.0
HeQ_2017__SZAXPI029479-64__bin.9	3732982.0	1844132.0	3590298.0	3783071.0	2607683.0	3301715.0	2971964.0	3216133.0	3204453.0	2116408.0	3635490.0	3784514.0	2047330.0	3102408.0	3314209.0	2647810.0	3874100.0	4083591.0	2590369.0	3753984.0	3521100.0	3728241.0	3680167.0	3433856.0	2887274.0	3514481.0	3836107.0	3617356.0	3666892.0	3620514.0
OlmMR_2017__S2_001_015G1__bin.1	2644288.0	1309558.0	2522931.0	2659758.0	1839337.0	2400568.0	2078063.0	2266039.0	2346329.0	1509931.0	2582994.0	2673839.0	1460631.0	2159575.0	2379413.0	1884164.0	2714259.0	2590369.0	2716502.0	2661983.0	2538500.0	2645740.0	2521284.0	2475639.0	2028044.0	2453460.0	2679138.0	2569843.0	2620296.0	2446083.0
OlmMR_2017__S2_001_023G1__bin.13	3807379.0	1821929.0	3610702.0	3871533.0	2576397.0	3367869.0	2969175.0	3189433.0	3282047.0	2118501.0	3704860.0	3856826.0	2029286.0	3083782.0	3371191.0	2659747.0	3962031.0	3753984.0	2661983.0	3930755.0	3616077.0	3806199.0	3619692.0	3509434.0	2855592.0	3518386.0	3881001.0	3689359.0	3742467.0	3513455.0
OlmMR_2017__S2_001_025G1__bin.12	3605728.0	1734521.0	3415909.0	3646989.0	2456916.0	3203880.0	2827356.0	3036769.0	3120612.0	2025889.0	3501676.0	3617038.0	1936220.0	2942468.0	3193437.0	2531811.0	3707179.0	3521100.0	2538500.0	3616077.0	3691251.0	3614162.0	3425591.0	3324465.0	2725661.0	3318871.0	3626378.0	3475328.0	3539453.0	3331404.0
HeQ_2017__SZAXPI029545-129__bin.18	3783902.0	1811669.0	3621578.0	3825851.0	2567044.0	3337051.0	2950026.0	3225905.0	3242353.0	2121022.0	3659658.0	3871580.0	2036364.0	3087082.0	3325262.0	2643414.0	3963205.0	3728241.0	2645740.0	3806199.0	3614162.0	4000860.0	3625178.0	3469809.0	2851879.0	3520989.0	3919202.0	3779881.0	3738854.0	3525998.0
ZellerG_2014__CCIS15704761ST-4-0__bin.14	3587489.0	1799259.0	3499392.0	3615224.0	2557862.0	3204214.0	2911389.0	3151607.0	3120616.0	2054392.0	3539183.0	3599337.0	2023897.0	3033853.0	3197068.0	2579657.0	3689187.0	3680167.0	2521284.0	3619692.0	3425591.0	3625178.0	3988248.0	3341210.0	2837913.0	3417818.0	3650375.0	3541961.0	3516089.0	3498234.0
OlmMR_2017__S2_001_018G1__bin.9	3487812.0	1696097.0	3332311.0	3507323.0	2408378.0	3128274.0	2756866.0	2970727.0	3032351.0	1976098.0	3417749.0	3488449.0	1861573.0	2844475.0	3104952.0	2460803.0	3570470.0	3433856.0	2475639.0	3509434.0	3324465.0	3469809.0	3341210.0	3570622.0	2661197.0	3244805.0	3513190.0	3370590.0	3407918.0	3255842.0
BackhedF_2015__SID9_12M__bin.17	2822075.0	1577757.0	2855282.0	2843634.0	2232939.0	2543806.0	2603629.0	2724087.0	2488282.0	1695497.0	2791232.0	2828834.0	1641500.0	2652101.0	2563019.0	2215624.0	2895410.0	2887274.0	2028044.0	2855592.0	2725661.0	2851879.0	2837913.0	2661197.0	3098845.0	2791276.0	2855299.0	2795489.0	2779726.0	2835087.0
HeQ_2017__RSZAXPI003078-111__bin.17	3467198.0	1756521.0	3448172.0	3503259.0	2518558.0	3105041.0	2908065.0	3117670.0	3024334.0	2025442.0	3421859.0	3478285.0	1931149.0	2983860.0	3113561.0	2639768.0	3571197.0	3514481.0	2453460.0	3518386.0	3318871.0	3520989.0	3417818.0	3244805.0	2791276.0	3644067.0	3521817.0	3455154.0	3401558.0	3367466.0
OlmMR_2017__S2_001_019G1__bin.6	3844999.0	1800686.0	3629161.0	3920478.0	2582554.0	3381169.0	2972618.0	3252876.0	3282288.0	2132940.0	3712748.0	3951502.0	2045631.0	3052747.0	3402893.0	2660319.0	4035427.0	3836107.0	2679138.0	3881001.0	3626378.0	3919202.0	3650375.0	3513190.0	2855299.0	3521817.0	3997678.0	3783367.0	3778871.0	3539039.0
HeQ_2017__SZAXPI029549-142__bin.9	3614955.0	1760964.0	3531631.0	3751787.0	2530443.0	3270347.0	2898114.0	3156250.0	3145778.0	2068954.0	3558408.0	3736924.0	1988573.0	2971142.0	3248993.0	2609868.0	3808147.0	3617356.0	2569843.0	3689359.0	3475328.0	3779881.0	3541961.0	3370590.0	2795489.0	3455154.0	3783367.0	3801371.0	3583851.0	3436108.0
OlmMR_2017__S2_001_020G1__bin.8	3747628.0	1763771.0	3500137.0	3747258.0	2510536.0	3300161.0	2882818.0	3137077.0	3202745.0	2074960.0	3621976.0	3782463.0	1980587.0	2991213.0	3320792.0	2584868.0	3850009.0	3666892.0	2620296.0	3742467.0	3539453.0	3738854.0	3516089.0	3407918.0	2779726.0	3401558.0	3778871.0	3583851.0	3847892.0	3414410.0
BackhedF_2015__SID332_12M__bin.20	3479700.0	1786298.0	3427462.0	3514356.0	2549949.0	3127055.0	2903294.0	3122093.0	3033006.0	2019459.0	3436900.0	3493262.0	1969390.0	3003377.0	3113695.0	2550225.0	3577359.0	3620514.0	2446083.0	3513455.0	3331404.0	3525998.0	3498234.0	3255842.0	2835087.0	3367466.0	3539039.0	3436108.0	3414410.0	3785135.0
