	OlmMR_2017__S2_001_026G1__bin.3	HeQ_2017__RSZAXPI003079-113__bin.31	BackhedF_2015__SID591_12M__bin.3	OlmMR_2017__S2_001_027G1__bin.7	HeQ_2017__RSZAXPI003094-125__bin.9	OlmMR_2017__S2_001_017G1__bin.7	BackhedF_2015__SID640_4M__bin.19	BackhedF_2015__SID507_12M__bin.17	OlmMR_2017__S2_001_021G1__bin.7	HeQ_2017__SZAXPI029494-94__bin.2	OlmMR_2017__S2_001_016G1__bin.8	OlmMR_2017__S2_001_024G1__bin.5	VincentC_2016__MM087.1__bin.1	BackhedF_2015__SID503_4M__bin.10	OlmMR_2017__S2_001_014G1__bin.6	HeQ_2017__RSZAXPI003098-132__bin.13	OlmMR_2017__S2_001_013G1__bin.3	HeQ_2017__SZAXPI029479-64__bin.9	OlmMR_2017__S2_001_015G1__bin.1	OlmMR_2017__S2_001_023G1__bin.13	OlmMR_2017__S2_001_025G1__bin.12	HeQ_2017__SZAXPI029545-129__bin.18	ZellerG_2014__CCIS15704761ST-4-0__bin.14	OlmMR_2017__S2_001_018G1__bin.9	BackhedF_2015__SID9_12M__bin.17	HeQ_2017__RSZAXPI003078-111__bin.17	OlmMR_2017__S2_001_019G1__bin.6	HeQ_2017__SZAXPI029549-142__bin.9	OlmMR_2017__S2_001_020G1__bin.8	BackhedF_2015__SID332_12M__bin.20
BackhedF_2015__SID503_4M__bin.10	20661.0	30920.0	17824.0	20287.0	14561.0	17922.0	16612.0	16073.0	17612.0	11960.0	17720.0	20446.0	2328.0	0.0	17466.0	14755.0	20184.0	16749.0	16355.0	20888.0	20773.0	20177.0	16756.0	17981.0	14167.0	17088.0	17725.0	17318.0	20596.0	18436.0
OlmMR_2017__S2_001_014G1__bin.6	3805.0	30666.0	7679.0	3411.0	16370.0	4578.0	17164.0	16419.0	4627.0	4715.0	3394.0	3146.0	11685.0	17466.0	0.0	13772.0	2744.0	16827.0	4560.0	3400.0	3465.0	3911.0	19749.0	4101.0	15783.0	16477.0	2662.0	4269.0	3606.0	20774.0
HeQ_2017__RSZAXPI003098-132__bin.13	14286.0	25549.0	13449.0	13700.0	13879.0	13758.0	13374.0	12846.0	13325.0	9503.0	13699.0	14326.0	9026.0	14755.0	13772.0	0.0	13860.0	12399.0	12352.0	14069.0	14031.0	13287.0	15837.0	13265.0	12887.0	2621.0	13857.0	13141.0	14102.0	17164.0
OlmMR_2017__S2_001_013G1__bin.3	1652.0	34321.0	6496.0	1308.0	16932.0	3139.0	17202.0	16915.0	3141.0	4028.0	2038.0	1565.0	12037.0	20184.0	2744.0	13860.0	0.0	18374.0	3292.0	2182.0	1796.0	2536.0	19820.0	2251.0	16022.0	17114.0	676.0	2671.0	1848.0	22057.0
HeQ_2017__SZAXPI029479-64__bin.9	18743.0	34594.0	15748.0	17570.0	14971.0	17880.0	16050.0	15184.0	16808.0	12204.0	17875.0	18927.0	11204.0	16749.0	16827.0	12399.0	18374.0	0.0	14324.0	18940.0	17123.0	17605.0	20071.0	17146.0	13741.0	15186.0	18473.0	16427.0	19196.0	19969.0
OlmMR_2017__S2_001_015G1__bin.1	3556.0	26337.0	7448.0	3420.0	14312.0	4221.0	14882.0	14738.0	4152.0	4243.0	3865.0	4001.0	10615.0	16355.0	4560.0	12352.0	3292.0	14324.0	0.0	3504.0	4143.0	4529.0	16379.0	4185.0	13299.0	14573.0	3240.0	4319.0	3802.0	17995.0
OlmMR_2017__S2_001_023G1__bin.13	2630.0	34156.0	7567.0	2033.0	17003.0	4006.0	17303.0	16910.0	3714.0	4477.0	2160.0	2150.0	12416.0	20888.0	3400.0	14069.0	2182.0	18940.0	3504.0	0.0	2566.0	3464.0	20256.0	3064.0	16420.0	17441.0	2066.0	3540.0	2676.0	22315.0
OlmMR_2017__S2_001_025G1__bin.12	2581.0	32506.0	7520.0	2452.0	16953.0	3693.0	17010.0	16563.0	3802.0	4555.0	2536.0	2241.0	12513.0	20773.0	3465.0	14031.0	1796.0	17123.0	4143.0	2566.0	0.0	3695.0	19943.0	4003.0	16392.0	16902.0	1882.0	3699.0	2471.0	21573.0
HeQ_2017__SZAXPI029545-129__bin.18	4001.0	34084.0	7446.0	3184.0	16979.0	4988.0	16236.0	16389.0	4898.0	3982.0	3106.0	3244.0	12418.0	20177.0	3911.0	13287.0	2536.0	17605.0	4529.0	3464.0	3695.0	0.0	21058.0	3778.0	15223.0	16440.0	2432.0	1552.0	3566.0	22927.0
ZellerG_2014__CCIS15704761ST-4-0__bin.14	20452.0	34473.0	18938.0	19591.0	15626.0	19936.0	15673.0	16099.0	19567.0	13091.0	19797.0	20483.0	11492.0	16756.0	19749.0	15837.0	19820.0	20071.0	16379.0	20256.0	19943.0	21058.0	0.0	19101.0	14607.0	19031.0	19758.0	20111.0	20183.0	21568.0
OlmMR_2017__S2_001_018G1__bin.9	3108.0	31870.0	7900.0	3086.0	16556.0	4526.0	16564.0	16102.0	3873.0	4423.0	3050.0	2907.0	11951.0	17981.0	4101.0	13265.0	2251.0	17146.0	4185.0	3064.0	4003.0	3778.0	19101.0	0.0	15924.0	16480.0	2340.0	3994.0	3179.0	21530.0
BackhedF_2015__SID9_12M__bin.17	16771.0	29178.0	16023.0	15858.0	5051.0	16446.0	14361.0	12839.0	15524.0	10831.0	16017.0	15955.0	9456.0	14167.0	15783.0	12887.0	16022.0	13741.0	13299.0	16420.0	16392.0	15223.0	14607.0	15924.0	0.0	14591.0	15766.0	14884.0	16318.0	15947.0
HeQ_2017__RSZAXPI003078-111__bin.17	17664.0	32331.0	16039.0	16200.0	16003.0	16841.0	15347.0	15130.0	16825.0	11751.0	17514.0	17246.0	10976.0	17088.0	16477.0	2621.0	17114.0	15186.0	14573.0	17441.0	16902.0	16440.0	19031.0	16480.0	14591.0	0.0	17178.0	16137.0	17023.0	19708.0
OlmMR_2017__S2_001_019G1__bin.6	1960.0	34126.0	6655.0	1293.0	16661.0	3306.0	17206.0	16846.0	3073.0	4026.0	1734.0	1788.0	11991.0	17725.0	2662.0	13857.0	676.0	18473.0	3240.0	2066.0	1882.0	2432.0	19758.0	2340.0	15766.0	17178.0	0.0	2648.0	1747.0	22048.0
HeQ_2017__SZAXPI029549-142__bin.9	3713.0	33127.0	6270.0	2895.0	16253.0	4807.0	16160.0	16044.0	4898.0	3853.0	3360.0	3143.0	11903.0	17318.0	4269.0	13141.0	2671.0	16427.0	4319.0	3540.0	3699.0	1552.0	20111.0	3994.0	14884.0	16137.0	2648.0	0.0	3399.0	21596.0
OlmMR_2017__S2_001_020G1__bin.8	3048.0	33361.0	7063.0	2279.0	17181.0	4196.0	17115.0	16225.0	4243.0	4061.0	2517.0	3157.0	12487.0	20596.0	3606.0	14102.0	1848.0	19196.0	3802.0	2676.0	2471.0	3566.0	20183.0	3179.0	16318.0	17023.0	1747.0	3399.0	0.0	22360.0
BackhedF_2015__SID332_12M__bin.20	22753.0	33665.0	21235.0	21782.0	16386.0	21946.0	18264.0	16868.0	21651.0	14032.0	22161.0	22512.0	12758.0	18436.0	20774.0	17164.0	22057.0	19969.0	17995.0	22315.0	21573.0	22927.0	21568.0	21530.0	15947.0	19708.0	22048.0	21596.0	22360.0	0.0
