	XieH_2016__YSZC12003_37406__bin.6	NielsenHB_2014__V1_UC54_0__bin.7	XieH_2016__YSZC12003_37232__bin.25	FengQ_2015__SID530050__bin.53	LiuW_2016__SRR3992973__bin.13	ZeeviD_2015__PNP_Main_223__bin.49	FengQ_2015__SID31446__bin.57	FengQ_2015__SID532749__bin.26	LiJ_2014__V1.FI15__bin.45	FengQ_2015__SID31424__bin.6	LiuW_2016__SRR3993018__bin.6	FengQ_2015__SID530323__bin.24	XieH_2016__YSZC12003_37546__bin.60	XieH_2016__YSZC12003_37223__bin.36	FengQ_2015__SID530018__bin.34	FengQ_2015__SID31160__bin.20	Obregon-TitoAJ_2015__SM29__bin.51	XieH_2016__YSZC12003_37222__bin.29	XieH_2016__YSZC12003_37754__bin.38	CosteaPI_2017__bugkiller-11-0-0__bin.27	CM_madagascar__A29_01_1FE__bin.20	CM_madagascar__A13_01_1FE__bin.7	YuJ_2015__SZAXPI003411-6__bin.62	ZellerG_2014__MMPU29365221ST__bin.37	SchirmerM_2016__G89165__bin.16	SchirmerM_2016__G88875__bin.38	XieH_2016__YSZC12003_37269__bin.56	FengQ_2015__SID530262__bin.9	XieH_2016__YSZC12003_37233__bin.69	BackhedF_2015__SID377_M__bin.66	CosteaPI_2017__bugkiller-11-2-0__bin.13	FengQ_2015__SID530348__bin.27
FengQ_2015__SID530018__bin.34	1440057.0	1484240.0	1422931.0	1140964.0	1037235.0	1039273.0	1456329.0	1450384.0	1297927.0	1081711.0	1388549.0	1308706.0	1353538.0	1497982.0	1612165.0	1174958.0	931189.0	1468157.0	1465627.0	1271528.0	1434926.0	1444690.0	1197135.0	1233833.0	1304865.0	1129809.0	1374412.0	1290289.0	736399.0	1369754.0	1449442.0	1418556.0
FengQ_2015__SID31160__bin.20	1216631.0	1228763.0	1284471.0	971490.0	861175.0	888243.0	1227296.0	1228817.0	1086282.0	924926.0	1145523.0	1111509.0	1123042.0	1285954.0	1174958.0	1447712.0	772493.0	1241201.0	1240908.0	1092925.0	1221197.0	1231694.0	1035857.0	1060683.0	1078947.0	970127.0	1191242.0	1091403.0	610561.0	1165257.0	1215919.0	1185674.0
Obregon-TitoAJ_2015__SM29__bin.51	1095875.0	1106114.0	1091979.0	775550.0	923099.0	818456.0	1109402.0	1108419.0	1015713.0	730061.0	1084028.0	885105.0	1010811.0	1122776.0	931189.0	772493.0	1343646.0	1118447.0	1127598.0	977044.0	1097302.0	1105288.0	941674.0	969475.0	1014003.0	858878.0	1069527.0	956525.0	628345.0	1019353.0	1131818.0	991609.0
XieH_2016__YSZC12003_37222__bin.29	1689257.0	1760311.0	1735960.0	1182655.0	1300440.0	1216822.0	1741700.0	1775721.0	1582947.0	1155241.0	1676041.0	1412820.0	1602289.0	1790662.0	1468157.0	1241201.0	1118447.0	2012701.0	1779155.0	1522483.0	1735294.0	1779568.0	1411052.0	1481868.0	1574913.0	1346307.0	1643422.0	1487372.0	895300.0	1608016.0	1757729.0	1567762.0
XieH_2016__YSZC12003_37754__bin.38	1715859.0	1750678.0	1748267.0	1175267.0	1304175.0	1227669.0	1764964.0	1787596.0	1577184.0	1164891.0	1684009.0	1407044.0	1578605.0	1797026.0	1465627.0	1240908.0	1127598.0	1779155.0	2010346.0	1555559.0	1750983.0	1794597.0	1444675.0	1511423.0	1572149.0	1384993.0	1698548.0	1520915.0	899778.0	1654413.0	1796215.0	1574326.0
CosteaPI_2017__bugkiller-11-0-0__bin.27	1496286.0	1532955.0	1478071.0	1040769.0	1129185.0	1086615.0	1553101.0	1533744.0	1341692.0	1020351.0	1450115.0	1209946.0	1370852.0	1560545.0	1271528.0	1092925.0	977044.0	1522483.0	1555559.0	1741930.0	1509585.0	1522583.0	1256840.0	1417906.0	1346198.0	1184819.0	1455521.0	1313176.0	788542.0	1415800.0	1633967.0	1367088.0
CM_madagascar__A29_01_1FE__bin.20	1928122.0	1740838.0	1694478.0	1163053.0	1270001.0	1331133.0	1742327.0	1740236.0	1537520.0	1104360.0	1665679.0	1355526.0	1532903.0	1812489.0	1434926.0	1221197.0	1097302.0	1735294.0	1750983.0	1509585.0	2205154.0	1725548.0	1529433.0	1446311.0	1533976.0	1319327.0	1891698.0	1485495.0	863405.0	1583730.0	1734231.0	1517388.0
CM_madagascar__A13_01_1FE__bin.7	1693712.0	1748683.0	1721695.0	1165627.0	1301924.0	1222771.0	1765435.0	1740362.0	1558487.0	1111037.0	1648834.0	1393280.0	1552736.0	1801597.0	1444690.0	1231694.0	1105288.0	1779568.0	1794597.0	1522583.0	1725548.0	2101450.0	1408326.0	1482633.0	1553196.0	1327087.0	1699879.0	1477060.0	867919.0	1613985.0	1756543.0	1573573.0
YuJ_2015__SZAXPI003411-6__bin.62	1496046.0	1424981.0	1402450.0	995178.0	1091859.0	1085188.0	1431706.0	1441700.0	1265157.0	956880.0	1366981.0	1149723.0	1289473.0	1463778.0	1197135.0	1035857.0	941674.0	1411052.0	1444675.0	1256840.0	1529433.0	1408326.0	1759869.0	1232558.0	1260610.0	1105103.0	1450333.0	1241261.0	757091.0	1308616.0	1436472.0	1286903.0
ZellerG_2014__MMPU29365221ST__bin.37	1442544.0	1479736.0	1436325.0	1009592.0	1101242.0	1059533.0	1503024.0	1494613.0	1303148.0	981750.0	1403855.0	1179723.0	1338895.0	1509483.0	1233833.0	1060683.0	969475.0	1481868.0	1511423.0	1417906.0	1446311.0	1482633.0	1232558.0	1690880.0	1319801.0	1162318.0	1412250.0	1269420.0	775583.0	1365561.0	1583526.0	1334493.0
SchirmerM_2016__G89165__bin.16	1515060.0	1590509.0	1495845.0	1062430.0	1173893.0	1117035.0	1549733.0	1528192.0	1446590.0	1021423.0	1478952.0	1283519.0	1404675.0	1552784.0	1304865.0	1078947.0	1014003.0	1574913.0	1572149.0	1346198.0	1533976.0	1553196.0	1260610.0	1319801.0	1833042.0	1211727.0	1490344.0	1336485.0	814286.0	1413704.0	1555487.0	1410301.0
SchirmerM_2016__G88875__bin.38	1308857.0	1331310.0	1307800.0	939483.0	955769.0	963350.0	1359829.0	1372580.0	1198762.0	920134.0	1256110.0	1095261.0	1213458.0	1360495.0	1129809.0	970127.0	858878.0	1346307.0	1384993.0	1184819.0	1319327.0	1327087.0	1105103.0	1162318.0	1211727.0	1594352.0	1276281.0	1184556.0	698607.0	1277161.0	1340130.0	1211410.0
XieH_2016__YSZC12003_37269__bin.56	1850094.0	1657268.0	1644447.0	1099847.0	1245735.0	1279606.0	1678306.0	1655454.0	1478510.0	1056885.0	1568431.0	1311326.0	1459342.0	1708388.0	1374412.0	1191242.0	1069527.0	1643422.0	1698548.0	1455521.0	1891698.0	1699879.0	1450333.0	1412250.0	1490344.0	1276281.0	2084126.0	1421375.0	853246.0	1520578.0	1649576.0	1460954.0
FengQ_2015__SID530262__bin.9	1469585.0	1506966.0	1439351.0	1082428.0	1096687.0	1083991.0	1499136.0	1499498.0	1335206.0	1032134.0	1391281.0	1250532.0	1354483.0	1511720.0	1290289.0	1091403.0	956525.0	1487372.0	1520915.0	1313176.0	1485495.0	1477060.0	1241261.0	1269420.0	1336485.0	1184556.0	1421375.0	1648299.0	748710.0	1389099.0	1485679.0	1368516.0
XieH_2016__YSZC12003_37233__bin.69	869588.0	857632.0	872991.0	602102.0	713737.0	646580.0	893038.0	894240.0	814304.0	597706.0	866356.0	704616.0	810516.0	906384.0	736399.0	610561.0	628345.0	895300.0	899778.0	788542.0	863405.0	867919.0	757091.0	775583.0	814286.0	698607.0	853246.0	748710.0	1064218.0	820728.0	894757.0	786054.0
BackhedF_2015__SID377_M__bin.66	1555638.0	1597877.0	1562886.0	1093838.0	1151098.0	1119629.0	1607589.0	1623327.0	1432438.0	1089280.0	1538999.0	1291042.0	1465439.0	1660187.0	1369754.0	1165257.0	1019353.0	1608016.0	1654413.0	1415800.0	1583730.0	1613985.0	1308616.0	1365561.0	1413704.0	1277161.0	1520578.0	1389099.0	820728.0	1843447.0	1599974.0	1433644.0
CosteaPI_2017__bugkiller-11-2-0__bin.13	1704289.0	1741888.0	1702173.0	1186776.0	1302498.0	1220979.0	1772511.0	1762227.0	1530883.0	1155270.0	1688766.0	1378053.0	1573474.0	1771272.0	1449442.0	1215919.0	1131818.0	1757729.0	1796215.0	1633967.0	1734231.0	1756543.0	1436472.0	1583526.0	1555487.0	1340130.0	1649576.0	1485679.0	894757.0	1599974.0	2006995.0	1569183.0
FengQ_2015__SID530348__bin.27	1520074.0	1583175.0	1523749.0	1165881.0	1136425.0	1101064.0	1532971.0	1547589.0	1403998.0	1121423.0	1508458.0	1357839.0	1442373.0	1571257.0	1418556.0	1185674.0	991609.0	1567762.0	1574326.0	1367088.0	1517388.0	1573573.0	1286903.0	1334493.0	1410301.0	1211410.0	1460954.0	1368516.0	786054.0	1433644.0	1569183.0	1799414.0
