	QinJ_2012__T2D-039__bin.23	QinJ_2012__T2D-062__bin.46	HMP_2012__SRS022071__bin.44	LiJ_2017__H3F516111__bin.34	QinJ_2012__DLF009__bin.6	HeQ_2017__SZAXPI029555-35__bin.92	QinJ_2012__T2D-025__bin.1	QinJ_2012__CON-010__bin.48	HeQ_2017__RSZAXPI003099-133__bin.45	HeQ_2017__SZAXPI029567-80__bin.62	QinJ_2012__T2D-015__bin.36	WenC_2017__RA114__bin.38	QinJ_2012__T2D-102__bin.21	LiJ_2017__H3F416103__bin.2	HeQ_2017__RSZAXPI003079-113__bin.35	YuJ_2015__SZAXPI015257-56__bin.54	YuJ_2015__SZAXPI017594-166__bin.13	YuJ_2015__SZAXPI015233-19__bin.46	QinJ_2012__T2D-091__bin.34	ChengpingW_2017__AS121raw__bin.39	ChengpingW_2017__AS128raw__bin.52	HMP_2012__SRS012273__bin.13	HeQ_2017__SZAXPI029601-32__bin.53	QinJ_2012__T2D-079__bin.15	QinJ_2012__CON-038__bin.47	QinJ_2012__T2D-095__bin.6	HeQ_2017__SZAXPI029569-84__bin.29	QinJ_2012__T2D-060__bin.14	WenC_2017__RA064__bin.5
QinJ_2012__T2D-015__bin.36	25599.0	27536.0	43384.0	31070.0	36353.0	37489.0	25234.0	39536.0	30477.0	25307.0	0.0	39886.0	38954.0	38248.0	43612.0	41973.0	49895.0	52374.0	24677.0	35142.0	24808.0	40126.0	42964.0	26861.0	30118.0	16316.0	29855.0	39074.0	37937.0
WenC_2017__RA114__bin.38	25777.0	29880.0	42186.0	29161.0	41692.0	37852.0	24568.0	39178.0	27922.0	27927.0	39886.0	0.0	40566.0	42096.0	39771.0	40661.0	47953.0	48794.0	23994.0	30485.0	27275.0	40195.0	40382.0	28135.0	31271.0	18541.0	34150.0	40457.0	40464.0
QinJ_2012__T2D-102__bin.21	23087.0	29050.0	37037.0	27264.0	37585.0	36098.0	21077.0	35760.0	26018.0	23334.0	38954.0	40566.0	0.0	35909.0	39904.0	35980.0	44199.0	47307.0	19506.0	31061.0	25714.0	34908.0	40345.0	23469.0	29432.0	17864.0	30605.0	32830.0	34109.0
LiJ_2017__H3F416103__bin.2	24145.0	28649.0	40176.0	30643.0	42024.0	38998.0	23943.0	37666.0	29385.0	25820.0	38248.0	42096.0	35909.0	0.0	42754.0	41841.0	46553.0	53295.0	20795.0	32040.0	24973.0	36802.0	42325.0	23397.0	28789.0	17004.0	32042.0	34764.0	38597.0
HeQ_2017__RSZAXPI003079-113__bin.35	25900.0	30912.0	45516.0	29422.0	43954.0	38618.0	25293.0	41801.0	2091.0	28155.0	43612.0	39771.0	39904.0	42754.0	0.0	42687.0	51135.0	52294.0	24918.0	31874.0	26955.0	42631.0	44100.0	27021.0	31370.0	18271.0	35065.0	38046.0	41443.0
YuJ_2015__SZAXPI015257-56__bin.54	24673.0	32053.0	43328.0	29164.0	39249.0	38507.0	24458.0	40083.0	29182.0	27089.0	41973.0	40661.0	35980.0	41841.0	42687.0	0.0	51113.0	52250.0	22946.0	30487.0	28388.0	40354.0	41951.0	26563.0	29790.0	19365.0	34254.0	37356.0	40241.0
YuJ_2015__SZAXPI017594-166__bin.13	33575.0	38412.0	51054.0	35163.0	52549.0	48360.0	30693.0	49005.0	37847.0	34017.0	49895.0	47953.0	44199.0	46553.0	51135.0	51113.0	0.0	56677.0	32553.0	37206.0	33011.0	49061.0	49991.0	34173.0	43224.0	28319.0	38015.0	49237.0	45334.0
YuJ_2015__SZAXPI015233-19__bin.46	33170.0	37680.0	53248.0	36578.0	53345.0	46574.0	28702.0	53577.0	38067.0	35473.0	52374.0	48794.0	47307.0	53295.0	52294.0	52250.0	56677.0	0.0	31625.0	39976.0	33848.0	49537.0	53126.0	33833.0	38470.0	24430.0	41174.0	47770.0	49720.0
QinJ_2012__T2D-091__bin.34	16237.0	17186.0	24660.0	16409.0	25128.0	23524.0	11356.0	23749.0	24650.0	23605.0	24677.0	23994.0	19506.0	20795.0	24918.0	22946.0	32553.0	31625.0	0.0	18442.0	12929.0	23157.0	25398.0	14252.0	18319.0	9551.0	17494.0	23307.0	22178.0
ChengpingW_2017__AS121raw__bin.39	19588.0	22944.0	33923.0	25265.0	32955.0	31694.0	18848.0	32006.0	22263.0	21747.0	35142.0	30485.0	31061.0	32040.0	31874.0	30487.0	37206.0	39976.0	18442.0	0.0	21439.0	31777.0	32328.0	18938.0	22096.0	13884.0	27187.0	29599.0	32533.0
ChengpingW_2017__AS128raw__bin.52	16847.0	19588.0	27878.0	18977.0	26161.0	24256.0	15976.0	24800.0	17337.0	14952.0	24808.0	27275.0	25714.0	24973.0	26955.0	28388.0	33011.0	33848.0	12929.0	21439.0	0.0	26432.0	25403.0	18078.0	19067.0	13301.0	22223.0	24605.0	24125.0
HMP_2012__SRS012273__bin.13	26109.0	33685.0	540.0	29140.0	40182.0	38169.0	23881.0	38020.0	29680.0	26383.0	40126.0	40195.0	34908.0	36802.0	42631.0	40354.0	49061.0	49537.0	23157.0	31777.0	26432.0	0.0	42324.0	26438.0	31407.0	18489.0	31284.0	36939.0	37515.0
HeQ_2017__SZAXPI029601-32__bin.53	26775.0	30554.0	45035.0	31549.0	41803.0	40320.0	24238.0	42522.0	31823.0	28838.0	42964.0	40382.0	40345.0	42325.0	44100.0	41951.0	49991.0	53126.0	25398.0	32328.0	25403.0	42324.0	0.0	29064.0	31933.0	18324.0	34183.0	40849.0	39485.0
QinJ_2012__T2D-079__bin.15	22029.0	21995.0	27021.0	19128.0	26879.0	24325.0	19455.0	25200.0	17990.0	14983.0	26861.0	28135.0	23469.0	23397.0	27021.0	26563.0	34173.0	33833.0	14252.0	18938.0	18078.0	26438.0	29064.0	0.0	26085.0	14729.0	21243.0	22819.0	23879.0
QinJ_2012__CON-038__bin.47	26428.0	25583.0	32311.0	19182.0	30297.0	27356.0	20459.0	30190.0	22439.0	21455.0	30118.0	31271.0	29432.0	28789.0	31370.0	29790.0	43224.0	38470.0	18319.0	22096.0	19067.0	31407.0	31933.0	26085.0	0.0	17097.0	25603.0	32494.0	27047.0
QinJ_2012__T2D-095__bin.6	14599.0	15659.0	19089.0	13445.0	16718.0	17003.0	14176.0	16128.0	11915.0	10908.0	16316.0	18541.0	17864.0	17004.0	18271.0	19365.0	28319.0	24430.0	9551.0	13884.0	13301.0	18489.0	18324.0	14729.0	17097.0	0.0	14842.0	17500.0	17428.0
HeQ_2017__SZAXPI029569-84__bin.29	20029.0	24021.0	33682.0	25548.0	31089.0	31953.0	19216.0	31822.0	21933.0	19324.0	29855.0	34150.0	30605.0	32042.0	35065.0	34254.0	38015.0	41174.0	17494.0	27187.0	22223.0	31284.0	34183.0	21243.0	25603.0	14842.0	0.0	29947.0	29916.0
QinJ_2012__T2D-060__bin.14	25694.0	29245.0	37569.0	25920.0	37890.0	35441.0	23958.0	36157.0	26325.0	25218.0	39074.0	40457.0	32830.0	34764.0	38046.0	37356.0	49237.0	47770.0	23307.0	29599.0	24605.0	36939.0	40849.0	22819.0	32494.0	17500.0	29947.0	0.0	35008.0
WenC_2017__RA064__bin.5	23032.0	27217.0	40780.0	30153.0	40059.0	36233.0	21305.0	37319.0	28891.0	24377.0	37937.0	40464.0	34109.0	38597.0	41443.0	40241.0	45334.0	49720.0	22178.0	32533.0	24125.0	37515.0	39485.0	23879.0	27047.0	17428.0	29916.0	35008.0	0.0
