	QinJ_2012__T2D-039__bin.23	QinJ_2012__T2D-062__bin.46	HMP_2012__SRS022071__bin.44	LiJ_2017__H3F516111__bin.34	QinJ_2012__DLF009__bin.6	HeQ_2017__SZAXPI029555-35__bin.92	QinJ_2012__T2D-025__bin.1	QinJ_2012__CON-010__bin.48	HeQ_2017__RSZAXPI003099-133__bin.45	HeQ_2017__SZAXPI029567-80__bin.62	QinJ_2012__T2D-015__bin.36	WenC_2017__RA114__bin.38	QinJ_2012__T2D-102__bin.21	LiJ_2017__H3F416103__bin.2	HeQ_2017__RSZAXPI003079-113__bin.35	YuJ_2015__SZAXPI015257-56__bin.54	YuJ_2015__SZAXPI017594-166__bin.13	YuJ_2015__SZAXPI015233-19__bin.46	QinJ_2012__T2D-091__bin.34	ChengpingW_2017__AS121raw__bin.39	ChengpingW_2017__AS128raw__bin.52	HMP_2012__SRS012273__bin.13	HeQ_2017__SZAXPI029601-32__bin.53	QinJ_2012__T2D-079__bin.15	QinJ_2012__CON-038__bin.47	QinJ_2012__T2D-095__bin.6	HeQ_2017__SZAXPI029569-84__bin.29	QinJ_2012__T2D-060__bin.14	WenC_2017__RA064__bin.5
QinJ_2012__T2D-015__bin.36	1160028.0	1339776.0	1634002.0	1217784.0	1820357.0	1728755.0	1052731.0	1794836.0	1238676.0	1160445.0	2011724.0	1732813.0	1410553.0	1671189.0	1783078.0	1699830.0	1423802.0	1804799.0	1013712.0	1287274.0	1293132.0	1533834.0	1809921.0	1160624.0	1407188.0	1081088.0	1337061.0	1640087.0	1584008.0
WenC_2017__RA114__bin.38	1076813.0	1288803.0	1574270.0	1150556.0	1717750.0	1666893.0	1004950.0	1682228.0	1152441.0	1069297.0	1732813.0	1912922.0	1392593.0	1604026.0	1683873.0	1626910.0	1344807.0	1704045.0	940056.0	1231938.0	1251146.0	1478528.0	1719418.0	1121203.0	1366072.0	1030890.0	1274857.0	1558153.0	1500805.0
QinJ_2012__T2D-102__bin.21	907641.0	1078069.0	1321917.0	975603.0	1426943.0	1348482.0	844847.0	1385398.0	898343.0	835173.0	1410553.0	1392593.0	1614480.0	1329695.0	1400942.0	1361845.0	1095405.0	1394137.0	721556.0	1047512.0	1050128.0	1247677.0	1413013.0	922208.0	1118310.0	854679.0	1091523.0	1281793.0	1245033.0
LiJ_2017__H3F416103__bin.2	1040325.0	1257772.0	1522995.0	1183624.0	1668459.0	1606905.0	978293.0	1637288.0	1114704.0	1040877.0	1671189.0	1604026.0	1329695.0	1862518.0	1643374.0	1566166.0	1284986.0	1688841.0	908585.0	1232319.0	1227557.0	1424186.0	1633360.0	1058657.0	1297882.0	978596.0	1254262.0	1489140.0	1504608.0
HeQ_2017__RSZAXPI003079-113__bin.35	1139765.0	1327385.0	1603773.0	1182982.0	1782816.0	1701013.0	1052497.0	1772466.0	1311065.0	1119802.0	1783078.0	1683873.0	1400942.0	1643374.0	1983732.0	1682134.0	1419492.0	1752599.0	1002844.0	1271612.0	1286674.0	1520834.0	1746882.0	1151532.0	1377205.0	1068348.0	1319061.0	1620574.0	1557042.0
YuJ_2015__SZAXPI015257-56__bin.54	1084768.0	1297023.0	1552343.0	1144075.0	1693411.0	1613563.0	1030046.0	1685766.0	1123433.0	1051667.0	1699830.0	1626910.0	1361845.0	1566166.0	1682134.0	1875287.0	1341266.0	1703486.0	902510.0	1222323.0	1256862.0	1463180.0	1682562.0	1129118.0	1341515.0	1054543.0	1278781.0	1540102.0	1506237.0
YuJ_2015__SZAXPI017594-166__bin.13	985826.0	1136894.0	1304285.0	935066.0	1397265.0	1332712.0	893124.0	1405953.0	1005812.0	934070.0	1423802.0	1344807.0	1095405.0	1284986.0	1419492.0	1341266.0	1656649.0	1435007.0	819044.0	980614.0	1024454.0	1249446.0	1412047.0	987146.0	1198757.0	922962.0	1057746.0	1325749.0	1225001.0
YuJ_2015__SZAXPI015233-19__bin.46	1142847.0	1340380.0	1611809.0	1200274.0	1782122.0	1702074.0	1049177.0	1784298.0	1224456.0	1157340.0	1804799.0	1704045.0	1394137.0	1688841.0	1752599.0	1703486.0	1435007.0	2091869.0	1000826.0	1275847.0	1264089.0	1511701.0	1792244.0	1142975.0	1392043.0	1068932.0	1315433.0	1596696.0	1572464.0
QinJ_2012__T2D-091__bin.34	659100.0	706743.0	927245.0	607145.0	1009787.0	979196.0	518980.0	992711.0	1007698.0	953611.0	1013712.0	940056.0	721556.0	908585.0	1002844.0	902510.0	819044.0	1000826.0	1189244.0	664030.0	640830.0	851236.0	969337.0	585607.0	769626.0	541402.0	661466.0	922784.0	862164.0
ChengpingW_2017__AS121raw__bin.39	790752.0	979254.0	1185321.0	939829.0	1289834.0	1269357.0	754884.0	1258693.0	824942.0	750118.0	1287274.0	1231938.0	1047512.0	1232319.0	1271612.0	1222323.0	980614.0	1275847.0	664030.0	1405210.0	935655.0	1109415.0	1282815.0	815272.0	971556.0	759136.0	977395.0	1143791.0	1161974.0
ChengpingW_2017__AS128raw__bin.52	826697.0	1002654.0	1178352.0	878163.0	1273939.0	1240533.0	813131.0	1284001.0	804161.0	742409.0	1293132.0	1251146.0	1050128.0	1227557.0	1286674.0	1256862.0	1024454.0	1264089.0	640830.0	935655.0	1410179.0	1112572.0	1269970.0	880953.0	1024928.0	835087.0	993391.0	1192333.0	1151366.0
HMP_2012__SRS012273__bin.13	1027120.0	1203442.0	1604149.0	1030380.0	1547940.0	1482725.0	960589.0	1509308.0	1031147.0	955386.0	1533834.0	1478528.0	1247677.0	1424186.0	1520834.0	1463180.0	1249446.0	1511701.0	851236.0	1109415.0	1112572.0	1782009.0	1504308.0	1067014.0	1242729.0	941686.0	1164640.0	1444160.0	1348316.0
HeQ_2017__SZAXPI029601-32__bin.53	1151986.0	1321589.0	1599355.0	1187795.0	1769334.0	1716793.0	1038169.0	1740803.0	1185954.0	1102831.0	1809921.0	1719418.0	1413013.0	1633360.0	1746882.0	1682562.0	1412047.0	1792244.0	969337.0	1282815.0	1269970.0	1504308.0	1996230.0	1142448.0	1408572.0	1057961.0	1308044.0	1583943.0	1546150.0
QinJ_2012__T2D-079__bin.15	950090.0	1035988.0	1082023.0	731753.0	1162004.0	1099165.0	901399.0	1166325.0	772751.0	700052.0	1160624.0	1121203.0	922208.0	1058657.0	1151532.0	1129118.0	987146.0	1142975.0	585607.0	815272.0	880953.0	1067014.0	1142448.0	1277970.0	1096379.0	847682.0	871096.0	1185130.0	1012758.0
QinJ_2012__CON-038__bin.47	1109208.0	1176181.0	1292717.0	879808.0	1392145.0	1331099.0	999893.0	1382212.0	975676.0	888055.0	1407188.0	1366072.0	1118310.0	1297882.0	1377205.0	1341515.0	1198757.0	1392043.0	769626.0	971556.0	1024928.0	1242729.0	1408572.0	1096379.0	1618426.0	988688.0	1047260.0	1382364.0	1177148.0
QinJ_2012__T2D-095__bin.6	854302.0	940813.0	986170.0	675178.0	1080245.0	1029335.0	788273.0	1070575.0	727328.0	662267.0	1081088.0	1030890.0	854679.0	978596.0	1068348.0	1054543.0	922962.0	1068932.0	541402.0	759136.0	835087.0	941686.0	1057961.0	847682.0	988688.0	1140270.0	810218.0	1062769.0	918318.0
HeQ_2017__SZAXPI029569-84__bin.29	838189.0	1024957.0	1236829.0	911494.0	1336368.0	1262870.0	802229.0	1310453.0	831188.0	781139.0	1337061.0	1274857.0	1091523.0	1254262.0	1319061.0	1278781.0	1057746.0	1315433.0	661466.0	977395.0	993391.0	1164640.0	1308044.0	871096.0	1047260.0	810218.0	1460939.0	1209938.0	1169883.0
QinJ_2012__T2D-060__bin.14	1151909.0	1309174.0	1498791.0	1045949.0	1659559.0	1601238.0	1053413.0	1630482.0	1149251.0	1039237.0	1640087.0	1558153.0	1281793.0	1489140.0	1620574.0	1540102.0	1325749.0	1596696.0	922784.0	1143791.0	1192333.0	1444160.0	1583943.0	1185130.0	1382364.0	1062769.0	1209938.0	1869890.0	1404779.0
WenC_2017__RA064__bin.5	980515.0	1182552.0	1442852.0	1139335.0	1554035.0	1498935.0	923569.0	1561824.0	1050968.0	976589.0	1584008.0	1500805.0	1245033.0	1504608.0	1557042.0	1506237.0	1225001.0	1572464.0	862164.0	1161974.0	1151366.0	1348316.0	1546150.0	1012758.0	1177148.0	918318.0	1169883.0	1404779.0	1708207.0
