	CosteaPI_2017__thistle4-11-0-0__bin.41	NielsenHB_2014__O2_UC4_0__bin.8	XieH_2016__YSZC12003_36008__bin.105	VogtmannE_2016__MMRS11288076ST-27-0-0__bin.19	CosteaPI_2017__mickey4-11-30-0__bin.26	NielsenHB_2014__MH0100__bin.17	LeChatelierE_2013__MH0155__bin.40	NielsenHB_2014__V1_UC14_0__bin.2	ZeeviD_2015__PNP_Main_199__bin.73	FengQ_2015__SID31188__bin.3	HMP_2012__SRS021948__bin.39	NielsenHB_2014__O2_UC57_2__bin.22	ZeeviD_2015__PNP_Main_645__bin.21	Bengtsson-PalmeJ_2015__TRAVELRES59__bin.56	ZeeviD_2015__PNP_Main_506__bin.7	LeChatelierE_2013__MH0173__bin.2	CosteaPI_2017__SID713B032-11-0-0__bin.11	NielsenHB_2014__V1_UC1_0__bin.33	CosteaPI_2017__mickey2-11-7-0__bin.55	ZeeviD_2015__PNP_Main_183__bin.2	RaymondF_2016__P25C90__bin.75	YuJ_2015__SZAXPI015269-94__bin.36	NielsenHB_2014__MH0123__bin.27	LeChatelierE_2013__MH0100__bin.1	NielsenHB_2014__MH0173__bin.9	Bengtsson-PalmeJ_2015__TRAVELRES18__bin.87	XieH_2016__YSZC12003_35564__bin.83	Bengtsson-PalmeJ_2015__TRAVELRES60__bin.19	NielsenHB_2014__O2_UC14_2__bin.16	NielsenHB_2014__MH0155__bin.9	LeChatelierE_2013__MH0123__bin.40	XieH_2016__YSZC12003_37196__bin.9	KarlssonFH_2013__S488__bin.4
ZeeviD_2015__PNP_Main_506__bin.7	359273.0	739508.0	838742.0	593666.0	649414.0	824011.0	557306.0	823639.0	576810.0	725030.0	500571.0	826954.0	832826.0	839247.0	875993.0	833714.0	842209.0	697478.0	678885.0	702011.0	745220.0	635516.0	385422.0	831544.0	838753.0	658719.0	812552.0	837601.0	823755.0	564709.0	449463.0	812815.0	729169.0
LeChatelierE_2013__MH0173__bin.2	452426.0	991055.0	1188310.0	730374.0	816904.0	1164232.0	731231.0	1143952.0	745365.0	969636.0	614865.0	1164971.0	1177812.0	1186741.0	833714.0	1275184.0	1199109.0	982343.0	869954.0	918709.0	995055.0	835222.0	515229.0	1177238.0	1251075.0	865542.0	1163532.0	1179864.0	1163432.0	731533.0	583684.0	1107335.0	973289.0
CosteaPI_2017__SID713B032-11-0-0__bin.11	447200.0	992548.0	1212919.0	734649.0	823572.0	1232997.0	730522.0	1152349.0	743301.0	979069.0	616105.0	1199517.0	1189908.0	1205471.0	842209.0	1199109.0	1374960.0	970961.0	868267.0	931932.0	1000035.0	832177.0	518015.0	1248360.0	1199347.0	876837.0	1169487.0	1195664.0	1169474.0	726570.0	585294.0	1137895.0	1007766.0
NielsenHB_2014__V1_UC1_0__bin.33	390358.0	833015.0	994021.0	613166.0	696996.0	944445.0	594334.0	936304.0	618515.0	836179.0	514395.0	960177.0	963802.0	968396.0	697478.0	982343.0	970961.0	1038908.0	720756.0	770464.0	837721.0	688719.0	454866.0	953958.0	979589.0	735175.0	984135.0	961977.0	955094.0	591297.0	526012.0	918132.0	806810.0
CosteaPI_2017__mickey2-11-7-0__bin.55	346089.0	798137.0	877291.0	612125.0	714092.0	854554.0	598011.0	862302.0	635987.0	772984.0	508885.0	871697.0	867999.0	877594.0	678885.0	869954.0	868267.0	720756.0	963452.0	741426.0	800115.0	702225.0	436440.0	859091.0	870905.0	716484.0	863135.0	876785.0	866415.0	604097.0	467254.0	861906.0	764940.0
ZeeviD_2015__PNP_Main_183__bin.2	397686.0	825397.0	933458.0	663326.0	702290.0	915895.0	597469.0	933588.0	741584.0	920851.0	587079.0	927611.0	925277.0	936842.0	702011.0	918709.0	931932.0	770464.0	741426.0	1083443.0	987831.0	779721.0	465534.0	922877.0	920877.0	777845.0	919345.0	920364.0	912179.0	594731.0	527844.0	911625.0	807646.0
RaymondF_2016__P25C90__bin.75	413480.0	884147.0	1005803.0	706114.0	751721.0	991420.0	644880.0	988517.0	798399.0	1019587.0	616171.0	998149.0	994352.0	1000174.0	745220.0	995055.0	1000035.0	837721.0	800115.0	987831.0	1334464.0	817134.0	475379.0	1002815.0	998595.0	806493.0	995482.0	1009046.0	987820.0	645707.0	523782.0	987613.0	850480.0
YuJ_2015__SZAXPI015269-94__bin.36	361561.0	755540.0	838069.0	647860.0	660797.0	821314.0	547328.0	833656.0	639812.0	777196.0	562848.0	831112.0	831411.0	835661.0	635516.0	835222.0	832177.0	688719.0	702225.0	779721.0	817134.0	937279.0	442078.0	829591.0	827111.0	713280.0	834613.0	832856.0	816493.0	547830.0	487295.0	826461.0	761923.0
NielsenHB_2014__MH0123__bin.27	228134.0	476339.0	516949.0	365661.0	404529.0	515427.0	342792.0	512037.0	362838.0	459967.0	315784.0	514256.0	515131.0	523494.0	385422.0	515229.0	518015.0	454866.0	436440.0	465534.0	475379.0	442078.0	530346.0	517345.0	517344.0	460335.0	513191.0	522838.0	518452.0	350204.0	462478.0	520426.0	446864.0
LeChatelierE_2013__MH0100__bin.1	444428.0	992354.0	1195500.0	748538.0	816486.0	1314370.0	712795.0	1139341.0	746347.0	971979.0	616215.0	1168406.0	1165267.0	1170310.0	831544.0	1177238.0	1248360.0	953958.0	859091.0	922877.0	1002815.0	829591.0	517345.0	1332959.0	1170044.0	870369.0	1153817.0	1163259.0	1163933.0	716076.0	583394.0	1127539.0	997573.0
NielsenHB_2014__MH0173__bin.9	452374.0	995274.0	1193066.0	735764.0	815914.0	1164074.0	734185.0	1147709.0	744248.0	970604.0	616463.0	1173389.0	1177567.0	1188493.0	838753.0	1251075.0	1199347.0	979589.0	870905.0	920877.0	998595.0	827111.0	517344.0	1170044.0	1267760.0	867595.0	1168968.0	1184905.0	1166322.0	734204.0	583214.0	1107095.0	976546.0
Bengtsson-PalmeJ_2015__TRAVELRES18__bin.87	373498.0	794676.0	880825.0	620180.0	668870.0	865991.0	592552.0	874034.0	619003.0	789656.0	541908.0	870986.0	859291.0	873033.0	658719.0	865542.0	876837.0	735175.0	716484.0	777845.0	806493.0	713280.0	460335.0	870369.0	867595.0	923891.0	859911.0	862798.0	873075.0	591566.0	498287.0	864475.0	773129.0
XieH_2016__YSZC12003_35564__bin.83	445226.0	974289.0	1221126.0	728377.0	820009.0	1143529.0	718070.0	1133556.0	740451.0	967739.0	619136.0	1184143.0	1169444.0	1208619.0	812552.0	1163532.0	1169487.0	984135.0	863135.0	919345.0	995482.0	834613.0	513191.0	1153817.0	1168968.0	859911.0	1268605.0	1187041.0	1141231.0	714857.0	573888.0	1107670.0	945408.0
Bengtsson-PalmeJ_2015__TRAVELRES60__bin.19	450317.0	989069.0	1206182.0	732637.0	823219.0	1140196.0	739002.0	1146148.0	742515.0	966562.0	618196.0	1192514.0	1162091.0	1325495.0	837601.0	1179864.0	1195664.0	961977.0	876785.0	920364.0	1009046.0	832856.0	522838.0	1163259.0	1184905.0	862798.0	1187041.0	1355177.0	1145221.0	731866.0	579959.0	1099070.0	960515.0
NielsenHB_2014__O2_UC14_2__bin.16	443912.0	1031776.0	1164664.0	727634.0	817548.0	1152386.0	717837.0	1131601.0	735607.0	956468.0	604647.0	1146908.0	1151748.0	1158144.0	823755.0	1163432.0	1169474.0	955094.0	866415.0	912179.0	987820.0	816493.0	518452.0	1163933.0	1166322.0	873075.0	1141231.0	1145221.0	1281096.0	718991.0	580959.0	1105437.0	961197.0
NielsenHB_2014__MH0155__bin.9	304720.0	651621.0	728312.0	510777.0	555558.0	710852.0	734740.0	716252.0	506136.0	632299.0	415768.0	731965.0	726948.0	733982.0	564709.0	731533.0	726570.0	591297.0	604097.0	594731.0	645707.0	547830.0	350204.0	716076.0	734204.0	591566.0	714857.0	731866.0	718991.0	758258.0	369973.0	687368.0	625112.0
LeChatelierE_2013__MH0123__bin.40	261481.0	504394.0	585169.0	413553.0	441362.0	582184.0	364472.0	576217.0	409167.0	508421.0	348409.0	580086.0	583217.0	587885.0	449463.0	583684.0	585294.0	526012.0	467254.0	527844.0	523782.0	487295.0	462478.0	583394.0	583214.0	498287.0	573888.0	579959.0	580959.0	369973.0	594995.0	555262.0	506360.0
XieH_2016__YSZC12003_37196__bin.9	428570.0	977432.0	1125336.0	705844.0	822955.0	1116206.0	682720.0	1083604.0	733235.0	965803.0	607185.0	1115772.0	1108671.0	1111651.0	812815.0	1107335.0	1137895.0	918132.0	861906.0	911625.0	987613.0	826461.0	520426.0	1127539.0	1107095.0	864475.0	1107670.0	1099070.0	1105437.0	687368.0	555262.0	1239336.0	929699.0
KarlssonFH_2013__S488__bin.4	418897.0	856809.0	971281.0	666974.0	730834.0	993315.0	626732.0	965239.0	660050.0	824111.0	553272.0	960301.0	954436.0	971717.0	729169.0	973289.0	1007766.0	806810.0	764940.0	807646.0	850480.0	761923.0	446864.0	997573.0	976546.0	773129.0	945408.0	960515.0	961197.0	625112.0	506360.0	929699.0	1052352.0
