	NielsenHB_2014__O2_UC48_0__bin.13	LiJ_2014__V1.FI32__bin.6	LeChatelierE_2013__MH0243__bin.6	LeChatelierE_2013__MH0002__bin.19	ZeeviD_2015__PNP_Main_46__bin.20	RaymondF_2016__P19E90__bin.32	ZeeviD_2015__PNP_Main_78__bin.43	VogtmannE_2016__MMRS67247116ST-27-0-0__bin.15	CosteaPI_2017__pluto1-11-7-0__bin.19	LiJ_2014__V1.FI06__bin.52	YuJ_2015__SZAXPI015216-169__bin.77	ZellerG_2014__CCIS38765456ST-20-0__bin.95	XieH_2016__YSZC12003_36051__bin.32	NielsenHB_2014__O2_UC55_0__bin.10	YuJ_2015__SZAXPI003420-4__bin.43	Bengtsson-PalmeJ_2015__TRAVELRES13__bin.87	LeChatelierE_2013__MH0407__bin.49	NielsenHB_2014__MH0002__bin.1	ZellerG_2014__CCIS74239020ST-4-0__bin.66	XieH_2016__YSZC12003_37299R1__bin.50	NielsenHB_2014__V1_UC55_4__bin.92	LiJ_2014__O2.UC11-1__bin.29	LiJ_2014__O2.UC48-1__bin.79	HeQ_2017__SZAXPI029557-42__bin.27	CosteaPI_2017__pluto1-11-30-0__bin.35	NielsenHB_2014__O2_UC55_2__bin.24	LiJ_2014__V1.FI09__bin.41	QinJ_2012__T2D-098__bin.51	VogtmannE_2016__MMRS84159866ST-27-0-0__bin.40	LeChatelierE_2013__MH0418__bin.11	LiJ_2014__O2.UC1-1__bin.9	RaymondF_2016__P19E7__bin.83	NielsenHB_2014__O2_UC11_2__bin.25	QinN_2014__LD-33__bin.23	ChengpingW_2017__AS115raw__bin.24	ZellerG_2014__CCIS81887263ST-4-0__bin.13	LeChatelierE_2013__MH0130__bin.13	RaymondF_2016__P19E0__bin.109	ZeeviD_2015__PNP_Main_135__bin.3	VatanenT_2016__G80433__bin.6	NielsenHB_2014__MH0130__bin.27
VogtmannE_2016__MMRS84159866ST-27-0-0__bin.40	60994.0	47319.0	77853.0	72482.0	53756.0	66220.0	83785.0	64784.0	77339.0	66409.0	55114.0	67302.0	75069.0	55975.0	44354.0	61697.0	62435.0	63026.0	65757.0	79010.0	83274.0	70469.0	54260.0	67037.0	77133.0	58259.0	68891.0	38657.0	0.0	56709.0	72536.0	52517.0	61592.0	47233.0	61571.0	63703.0	44673.0	59775.0	45209.0	53410.0	53611.0
LeChatelierE_2013__MH0418__bin.11	54920.0	42484.0	72950.0	64662.0	43444.0	60399.0	75130.0	60051.0	67173.0	61586.0	49151.0	59479.0	66883.0	45391.0	37093.0	50981.0	53195.0	55185.0	63274.0	69947.0	73569.0	65579.0	46690.0	54185.0	67836.0	48374.0	64829.0	30284.0	56709.0	0.0	65867.0	46616.0	54747.0	46825.0	51166.0	52763.0	33523.0	52838.0	44685.0	42020.0	41160.0
LiJ_2014__O2.UC1-1__bin.9	62943.0	41624.0	79706.0	74246.0	63873.0	27619.0	83089.0	68542.0	80027.0	37290.0	56463.0	71715.0	78467.0	65005.0	47927.0	72603.0	76696.0	63792.0	34793.0	81136.0	83198.0	16064.0	55654.0	73656.0	80301.0	68000.0	16547.0	46169.0	72536.0	65867.0	0.0	21984.0	14651.0	48841.0	68699.0	74532.0	49954.0	25653.0	53823.0	62254.0	61529.0
RaymondF_2016__P19E7__bin.83	46922.0	34459.0	53309.0	51334.0	45429.0	474.0	58130.0	48121.0	56052.0	28123.0	38458.0	48551.0	56588.0	47226.0	33163.0	50770.0	54291.0	42995.0	23012.0	54246.0	58431.0	21280.0	42595.0	52980.0	55323.0	47730.0	21619.0	31138.0	52517.0	46616.0	21984.0	0.0	18178.0	33275.0	48920.0	52557.0	36578.0	1034.0	37697.0	44083.0	44774.0
NielsenHB_2014__O2_UC11_2__bin.25	56072.0	33693.0	64654.0	63320.0	54689.0	23546.0	70543.0	58651.0	65454.0	31606.0	47732.0	61112.0	64551.0	54903.0	39292.0	59827.0	63530.0	55111.0	29879.0	67073.0	70564.0	1237.0	49916.0	61840.0	66074.0	56394.0	15348.0	38164.0	61592.0	54747.0	14651.0	18178.0	0.0	37778.0	58988.0	61927.0	44226.0	22717.0	46805.0	54553.0	54104.0
QinN_2014__LD-33__bin.23	32130.0	35547.0	41378.0	35349.0	35790.0	45502.0	44507.0	47692.0	41505.0	46012.0	41357.0	45227.0	38262.0	38629.0	30672.0	48901.0	47961.0	29465.0	46417.0	40154.0	41652.0	49804.0	19365.0	49629.0	39626.0	45662.0	47569.0	30490.0	47233.0	46825.0	48841.0	33275.0	37778.0	0.0	45400.0	50130.0	21451.0	41236.0	37051.0	39862.0	34139.0
ChengpingW_2017__AS115raw__bin.24	59774.0	45686.0	75564.0	71702.0	43972.0	61813.0	79625.0	62159.0	75676.0	66012.0	53131.0	65414.0	70981.0	48682.0	41598.0	56863.0	57374.0	61761.0	65271.0	74897.0	77844.0	67409.0	50891.0	39898.0	74332.0	50238.0	67213.0	31341.0	61571.0	51166.0	68699.0	48920.0	58988.0	45400.0	0.0	57561.0	38918.0	53737.0	49288.0	45994.0	47876.0
ZellerG_2014__CCIS81887263ST-4-0__bin.13	64775.0	48036.0	81481.0	75163.0	47411.0	66776.0	86973.0	69149.0	80762.0	68278.0	54635.0	69488.0	75185.0	53121.0	47465.0	56171.0	60925.0	65790.0	69726.0	82403.0	86484.0	72359.0	57009.0	64753.0	80027.0	56461.0	71806.0	35518.0	63703.0	52763.0	74532.0	52557.0	61927.0	50130.0	57561.0	0.0	36477.0	60686.0	51819.0	49453.0	44549.0
LeChatelierE_2013__MH0130__bin.13	42470.0	32056.0	54161.0	54593.0	34285.0	45249.0	57109.0	45012.0	53683.0	47424.0	36422.0	49573.0	53046.0	36698.0	31342.0	36406.0	40498.0	49031.0	47067.0	55471.0	58083.0	48767.0	46967.0	40052.0	54476.0	36311.0	48746.0	22678.0	44673.0	33523.0	49954.0	36578.0	44226.0	21451.0	38918.0	36477.0	0.0	39523.0	36696.0	35934.0	1214.0
RaymondF_2016__P19E0__bin.109	50628.0	37999.0	62159.0	58917.0	49059.0	619.0	68608.0	57161.0	63149.0	30840.0	43641.0	55927.0	63934.0	52603.0	35981.0	59086.0	62247.0	51684.0	28287.0	65130.0	67574.0	25179.0	47262.0	60890.0	63135.0	53121.0	24693.0	36153.0	59775.0	52838.0	25653.0	1034.0	22717.0	41236.0	53737.0	60686.0	39523.0	0.0	42566.0	48632.0	48924.0
ZeeviD_2015__PNP_Main_135__bin.3	45131.0	38522.0	58289.0	55392.0	42590.0	49117.0	61793.0	48985.0	57003.0	50712.0	38816.0	48713.0	56644.0	44230.0	31428.0	50807.0	52032.0	48802.0	50971.0	59947.0	60069.0	52913.0	39052.0	50894.0	57595.0	46490.0	52590.0	30675.0	45209.0	44685.0	53823.0	37697.0	46805.0	37051.0	49288.0	51819.0	36696.0	42566.0	0.0	43408.0	45458.0
VatanenT_2016__G80433__bin.6	55101.0	39900.0	66965.0	62158.0	37182.0	54669.0	72188.0	55938.0	65190.0	59025.0	45675.0	57962.0	62784.0	42444.0	37724.0	47598.0	49736.0	53425.0	58413.0	66775.0	72009.0	62399.0	49489.0	45080.0	65336.0	44745.0	62917.0	24115.0	53410.0	42020.0	62254.0	44083.0	54553.0	39862.0	45994.0	49453.0	35934.0	48632.0	43408.0	0.0	42391.0
NielsenHB_2014__MH0130__bin.27	52605.0	39378.0	66602.0	64539.0	42557.0	56131.0	69750.0	54881.0	64783.0	58140.0	44486.0	57973.0	63621.0	44471.0	37015.0	44001.0	48490.0	56394.0	57890.0	66734.0	68887.0	60133.0	50245.0	49742.0	65370.0	45521.0	59929.0	29299.0	53611.0	41160.0	61529.0	44774.0	54104.0	34139.0	47876.0	44549.0	1214.0	48924.0	45458.0	42391.0	0.0
