	NielsenHB_2014__O2_UC48_0__bin.13	LiJ_2014__V1.FI32__bin.6	LeChatelierE_2013__MH0243__bin.6	LeChatelierE_2013__MH0002__bin.19	ZeeviD_2015__PNP_Main_46__bin.20	RaymondF_2016__P19E90__bin.32	ZeeviD_2015__PNP_Main_78__bin.43	VogtmannE_2016__MMRS67247116ST-27-0-0__bin.15	CosteaPI_2017__pluto1-11-7-0__bin.19	LiJ_2014__V1.FI06__bin.52	YuJ_2015__SZAXPI015216-169__bin.77	ZellerG_2014__CCIS38765456ST-20-0__bin.95	XieH_2016__YSZC12003_36051__bin.32	NielsenHB_2014__O2_UC55_0__bin.10	YuJ_2015__SZAXPI003420-4__bin.43	Bengtsson-PalmeJ_2015__TRAVELRES13__bin.87	LeChatelierE_2013__MH0407__bin.49	NielsenHB_2014__MH0002__bin.1	ZellerG_2014__CCIS74239020ST-4-0__bin.66	XieH_2016__YSZC12003_37299R1__bin.50	NielsenHB_2014__V1_UC55_4__bin.92	LiJ_2014__O2.UC11-1__bin.29	LiJ_2014__O2.UC48-1__bin.79	HeQ_2017__SZAXPI029557-42__bin.27	CosteaPI_2017__pluto1-11-30-0__bin.35	NielsenHB_2014__O2_UC55_2__bin.24	LiJ_2014__V1.FI09__bin.41	QinJ_2012__T2D-098__bin.51	VogtmannE_2016__MMRS84159866ST-27-0-0__bin.40	LeChatelierE_2013__MH0418__bin.11	LiJ_2014__O2.UC1-1__bin.9	RaymondF_2016__P19E7__bin.83	NielsenHB_2014__O2_UC11_2__bin.25	QinN_2014__LD-33__bin.23	ChengpingW_2017__AS115raw__bin.24	ZellerG_2014__CCIS81887263ST-4-0__bin.13	LeChatelierE_2013__MH0130__bin.13	RaymondF_2016__P19E0__bin.109	ZeeviD_2015__PNP_Main_135__bin.3	VatanenT_2016__G80433__bin.6	NielsenHB_2014__MH0130__bin.27
YuJ_2015__SZAXPI015216-169__bin.77	1824598.0	1590819.0	2353885.0	2146219.0	1978298.0	1892348.0	2416509.0	2418921.0	2427039.0	1915602.0	2809702.0	2439677.0	2353649.0	2065791.0	1726245.0	2430709.0	2489847.0	1865115.0	1830491.0	2421690.0	2426898.0	2003327.0	1514594.0	2427773.0	2394178.0	2154262.0	1991056.0	1405397.0	2439579.0	2191269.0	2064645.0	1410901.0	1725742.0	1468339.0	2296208.0	2373596.0	1499922.0	1629810.0	1757966.0	1906738.0	1931247.0
ZellerG_2014__CCIS38765456ST-20-0__bin.95	2182120.0	1869051.0	2737959.0	2543126.0	2341554.0	2258924.0	2865418.0	2792956.0	2859980.0	2324291.0	2439677.0	3491524.0	2746883.0	2459077.0	1909359.0	2825513.0	2942545.0	2224571.0	2225720.0	2893234.0	2897778.0	2393409.0	1842589.0	2891803.0	2823424.0	2617102.0	2395148.0	1677025.0	2873683.0	2634304.0	2466060.0	1718039.0	2062515.0	1673641.0	2745083.0	2818646.0	1856299.0	1986452.0	2113604.0	2321751.0	2309982.0
XieH_2016__YSZC12003_36051__bin.32	2221405.0	1825954.0	2841703.0	2571391.0	2297796.0	2243742.0	2886239.0	2698594.0	2981966.0	2279954.0	2353649.0	2746883.0	3482159.0	2481621.0	1879905.0	2817201.0	2843616.0	2257854.0	2155451.0	2984437.0	2893283.0	2348531.0	1878037.0	2764387.0	2932465.0	2546401.0	2354202.0	1609544.0	2789051.0	2532732.0	2411658.0	1754020.0	2035989.0	1651615.0	2623181.0	2763739.0	1850729.0	1962127.0	2047502.0	2213939.0	2322710.0
NielsenHB_2014__O2_UC55_0__bin.10	1893681.0	1725268.0	2421432.0	2252679.0	2188204.0	2023626.0	2516147.0	2366179.0	2490569.0	2066131.0	2065791.0	2459077.0	2481621.0	2974442.0	1590518.0	2509189.0	2549149.0	1973857.0	1998302.0	2483607.0	2485041.0	2126102.0	1697319.0	2487163.0	2482104.0	2702838.0	2119913.0	1447252.0	2501184.0	2281042.0	2193168.0	1581830.0	1873010.0	1381416.0	2395551.0	2538212.0	1772359.0	1806615.0	1857244.0	2091620.0	2177417.0
YuJ_2015__SZAXPI003420-4__bin.43	1556922.0	1267785.0	1821772.0	1647095.0	1517952.0	1477974.0	1918872.0	1815170.0	1892063.0	1502036.0	1726245.0	1909359.0	1879905.0	1590518.0	2347257.0	1854516.0	1932418.0	1429427.0	1433961.0	1872538.0	1898607.0	1557488.0	1152239.0	1880439.0	1876890.0	1668745.0	1573385.0	1052184.0	1896664.0	1644132.0	1638249.0	1132551.0	1358412.0	1131117.0	1744381.0	1888183.0	1182838.0	1256030.0	1353764.0	1496003.0	1482277.0
Bengtsson-PalmeJ_2015__TRAVELRES13__bin.87	2187733.0	1876548.0	2827986.0	2572292.0	2386970.0	2252968.0	2895232.0	2791052.0	2929037.0	2285463.0	2430709.0	2825513.0	2817201.0	2509189.0	1854516.0	3678762.0	2998180.0	2283717.0	2263282.0	2925782.0	2884287.0	2423539.0	1780816.0	2917789.0	2873820.0	2677872.0	2396685.0	1677282.0	2860383.0	2663084.0	2469351.0	1687870.0	2052992.0	1718056.0	2767305.0	2977327.0	1939662.0	1991216.0	2125521.0	2319504.0	2473945.0
LeChatelierE_2013__MH0407__bin.49	2228754.0	1907481.0	2810600.0	2583432.0	2411586.0	2329548.0	2955229.0	2852257.0	2935746.0	2355187.0	2489847.0	2942545.0	2843616.0	2549149.0	1932418.0	2998180.0	4053327.0	2273948.0	2252453.0	2960675.0	2969069.0	2455197.0	1878850.0	3047015.0	2876574.0	2694659.0	2437839.0	1711579.0	3055998.0	2779146.0	2517680.0	1780449.0	2114472.0	1731409.0	2834245.0	2973343.0	1931275.0	2079293.0	2148670.0	2400186.0	2416319.0
NielsenHB_2014__MH0002__bin.1	1817715.0	1418171.0	2306841.0	2784068.0	1907672.0	1747606.0	2385574.0	2216604.0	2384750.0	1794409.0	1865115.0	2224571.0	2257854.0	1973857.0	1429427.0	2283717.0	2273948.0	3991539.0	1792798.0	2368665.0	2420853.0	1880200.0	1613360.0	2239476.0	2349962.0	2121825.0	1905334.0	1370540.0	2210917.0	2016074.0	1954641.0	1331152.0	1697316.0	1268634.0	2136591.0	2262250.0	1585248.0	1562366.0	1717348.0	1774311.0	1921712.0
ZellerG_2014__CCIS74239020ST-4-0__bin.66	1781787.0	1559874.0	2176914.0	2029128.0	1922366.0	2052590.0	2291713.0	2189331.0	2237345.0	2131753.0	1830491.0	2225720.0	2155451.0	1998302.0	1433961.0	2263282.0	2252453.0	1792798.0	3254184.0	2234601.0	2285084.0	2261695.0	1449404.0	2239667.0	2216310.0	2114848.0	2206923.0	1387454.0	2187844.0	2097886.0	2282590.0	1545207.0	1958210.0	1345735.0	2125474.0	2253474.0	1434545.0	1807178.0	1680693.0	1839203.0	1849186.0
XieH_2016__YSZC12003_37299R1__bin.50	2270747.0	1884969.0	2930509.0	2655138.0	2348639.0	2286661.0	3074899.0	2808973.0	3148096.0	2323142.0	2421690.0	2893234.0	2984437.0	2483607.0	1872538.0	2925782.0	2960675.0	2368665.0	2234601.0	3775275.0	3070434.0	2427051.0	1952892.0	2890639.0	3075820.0	2644507.0	2429918.0	1653273.0	2864778.0	2599861.0	2482020.0	1742016.0	2083218.0	1762461.0	2716854.0	2910778.0	1924378.0	2032952.0	2123092.0	2270188.0	2380788.0
NielsenHB_2014__V1_UC55_4__bin.92	2637529.0	1894580.0	2917136.0	2713537.0	2383772.0	2326930.0	3115592.0	2824084.0	3046966.0	2339421.0	2426898.0	2897778.0	2893283.0	2485041.0	1898607.0	2884287.0	2969069.0	2420853.0	2285084.0	3070434.0	3613635.0	2430910.0	2218987.0	2905174.0	2997732.0	2645129.0	2434029.0	1700185.0	2885624.0	2623764.0	2493590.0	1771832.0	2105671.0	1793738.0	2702504.0	2941866.0	1840873.0	2049804.0	2088631.0	2311836.0	2312561.0
LiJ_2014__O2.UC11-1__bin.29	1862764.0	1665100.0	2353062.0	2130195.0	2088949.0	2240094.0	2435289.0	2394679.0	2393859.0	2275204.0	2003327.0	2393409.0	2348531.0	2126102.0	1557488.0	2423539.0	2455197.0	1880200.0	2261695.0	2427051.0	2430910.0	2988046.0	1503792.0	2408616.0	2376773.0	2271434.0	2439093.0	1481606.0	2404324.0	2263949.0	2577959.0	1709835.0	2257005.0	1496273.0	2299091.0	2418526.0	1549815.0	2020859.0	1804783.0	2028888.0	2007553.0
LiJ_2014__O2.UC48-1__bin.79	1774595.0	1240739.0	1807885.0	1783659.0	1612290.0	1488106.0	1977504.0	1764032.0	1936235.0	1486973.0	1514594.0	1842589.0	1878037.0	1697319.0	1152239.0	1780816.0	1878850.0	1613360.0	1449404.0	1952892.0	2218987.0	1503792.0	2230908.0	1860146.0	1932351.0	1631300.0	1526988.0	1042905.0	1810684.0	1593876.0	1558220.0	1261517.0	1405789.0	746760.0	1714261.0	1828490.0	1482391.0	1391344.0	1319662.0	1533381.0	1645089.0
HeQ_2017__SZAXPI029557-42__bin.27	2212756.0	1864645.0	2780629.0	2526471.0	2434360.0	2273156.0	2887468.0	2802590.0	2856407.0	2318184.0	2427773.0	2891803.0	2764387.0	2487163.0	1880439.0	2917789.0	3047015.0	2239476.0	2239667.0	2890639.0	2905174.0	2408616.0	1860146.0	3642934.0	2824735.0	2628115.0	2402986.0	1702389.0	2909322.0	2672441.0	2456322.0	1745869.0	2066956.0	1653247.0	2832346.0	2976064.0	1881160.0	2012116.0	2077831.0	2375923.0	2385227.0
CosteaPI_2017__pluto1-11-30-0__bin.35	2278171.0	1866439.0	2850184.0	2663518.0	2346667.0	2258013.0	2997287.0	2755150.0	3483579.0	2327257.0	2394178.0	2823424.0	2932465.0	2482104.0	1876890.0	2873820.0	2876574.0	2349962.0	2216310.0	3075820.0	2997732.0	2376773.0	1932351.0	2824735.0	3620089.0	2602853.0	2392735.0	1661507.0	2802648.0	2566388.0	2472699.0	1740682.0	2060097.0	1716719.0	2695634.0	2828690.0	1876416.0	1997261.0	2077671.0	2260158.0	2339548.0
NielsenHB_2014__O2_UC55_2__bin.24	2033100.0	1761322.0	2557668.0	2380232.0	2256194.0	2115746.0	2658884.0	2526191.0	2620407.0	2160423.0	2154262.0	2617102.0	2546401.0	2702838.0	1668745.0	2677872.0	2694659.0	2121825.0	2114848.0	2644507.0	2645129.0	2271434.0	1631300.0	2628115.0	2602853.0	3332728.0	2246282.0	1595110.0	2611592.0	2440369.0	2327339.0	1605984.0	1948060.0	1630048.0	2480072.0	2692243.0	1733411.0	1849445.0	1979490.0	2138401.0	2226057.0
LiJ_2014__V1.FI09__bin.41	1901882.0	1685465.0	2350926.0	2156539.0	2068399.0	2192239.0	2460336.0	2333282.0	2413276.0	2250084.0	1991056.0	2395148.0	2354202.0	2119913.0	1573385.0	2396685.0	2437839.0	1905334.0	2206923.0	2429918.0	2434029.0	2439093.0	1526988.0	2402986.0	2392735.0	2246282.0	2890153.0	1436859.0	2380038.0	2230651.0	2490557.0	1703529.0	2113792.0	1458629.0	2304065.0	2418815.0	1532223.0	1934698.0	1789701.0	2031260.0	1975819.0
QinJ_2012__T2D-098__bin.51	1252576.0	1070483.0	1608427.0	1494955.0	1475210.0	1371994.0	1689793.0	1567013.0	1701593.0	1407365.0	1405397.0	1677025.0	1609544.0	1447252.0	1052184.0	1677282.0	1711579.0	1370540.0	1387454.0	1653273.0	1700185.0	1481606.0	1042905.0	1702389.0	1661507.0	1595110.0	1436859.0	2473817.0	1670247.0	1507405.0	1521119.0	1037797.0	1306318.0	1088420.0	1618445.0	1722705.0	1100608.0	1243804.0	1249052.0	1388183.0	1421607.0
VogtmannE_2016__MMRS84159866ST-27-0-0__bin.40	2183894.0	1862770.0	2777572.0	2527292.0	2397823.0	2272129.0	2858349.0	2773395.0	2837403.0	2289965.0	2439579.0	2873683.0	2789051.0	2501184.0	1896664.0	2860383.0	3055998.0	2210917.0	2187844.0	2864778.0	2885624.0	2404324.0	1810684.0	2909322.0	2802648.0	2611592.0	2380038.0	1670247.0	3511088.0	2649622.0	2458144.0	1736716.0	2082031.0	1651340.0	2763850.0	2837121.0	1847911.0	2016661.0	2090118.0	2320633.0	2320297.0
LeChatelierE_2013__MH0418__bin.11	2011722.0	1693392.0	2577627.0	2297926.0	2201920.0	2114322.0	2610631.0	2588773.0	2586546.0	2128582.0	2191269.0	2634304.0	2532732.0	2281042.0	1644132.0	2663084.0	2779146.0	2016074.0	2097886.0	2599861.0	2623764.0	2263949.0	1593876.0	2672441.0	2566388.0	2440369.0	2230651.0	1507405.0	2649622.0	3183700.0	2286244.0	1580355.0	1910054.0	1645500.0	2477738.0	2679414.0	1621557.0	1841430.0	1938507.0	2075807.0	2089968.0
LiJ_2014__O2.UC1-1__bin.9	1918584.0	1735839.0	2404557.0	2219791.0	2135047.0	2289413.0	2507741.0	2401751.0	2493868.0	2294671.0	2064645.0	2466060.0	2411658.0	2193168.0	1638249.0	2469351.0	2517680.0	1954641.0	2282590.0	2482020.0	2493590.0	2577959.0	1558220.0	2456322.0	2472699.0	2327339.0	2490557.0	1521119.0	2458144.0	2286244.0	3100561.0	1765939.0	2188964.0	1504851.0	2352922.0	2483346.0	1577958.0	2024093.0	1852367.0	2045595.0	2029547.0
RaymondF_2016__P19E7__bin.83	1428232.0	1335781.0	1677684.0	1563895.0	1539789.0	1979897.0	1778074.0	1663965.0	1771641.0	1640654.0	1410901.0	1718039.0	1754020.0	1581830.0	1132551.0	1687870.0	1780449.0	1331152.0	1545207.0	1742016.0	1771832.0	1709835.0	1261517.0	1745869.0	1740682.0	1605984.0	1703529.0	1037797.0	1736716.0	1580355.0	1765939.0	2263268.0	1476412.0	1030608.0	1675417.0	1752723.0	1134609.0	2114914.0	1264860.0	1481960.0	1446328.0
NielsenHB_2014__O2_UC11_2__bin.25	1647994.0	1436178.0	2001147.0	1896182.0	1851922.0	1912201.0	2105699.0	2022314.0	2067495.0	1944073.0	1725742.0	2062515.0	2035989.0	1873010.0	1358412.0	2052992.0	2114472.0	1697316.0	1958210.0	2083218.0	2105671.0	2257005.0	1405789.0	2066956.0	2060097.0	1948060.0	2113792.0	1306318.0	2082031.0	1910054.0	2188964.0	1476412.0	2491203.0	1176737.0	2004407.0	2078266.0	1398273.0	1689558.0	1608170.0	1782823.0	1778936.0
QinN_2014__LD-33__bin.23	1362630.0	1140637.0	1755664.0	1485773.0	1241247.0	1414365.0	1826350.0	1709955.0	1772777.0	1398332.0	1468339.0	1673641.0	1651615.0	1381416.0	1131117.0	1718056.0	1731409.0	1268634.0	1345735.0	1762461.0	1793738.0	1496273.0	746760.0	1653247.0	1716719.0	1630048.0	1458629.0	1088420.0	1651340.0	1645500.0	1504851.0	1030608.0	1176737.0	2078254.0	1560639.0	1753132.0	739123.0	1238378.0	1224044.0	1263949.0	1200179.0
ChengpingW_2017__AS115raw__bin.24	2066537.0	1802382.0	2624175.0	2446884.0	2361586.0	2176831.0	2711443.0	2601897.0	2738944.0	2232878.0	2296208.0	2745083.0	2623181.0	2395551.0	1744381.0	2767305.0	2834245.0	2136591.0	2125474.0	2716854.0	2702504.0	2299091.0	1714261.0	2832346.0	2695634.0	2480072.0	2304065.0	1618445.0	2763850.0	2477738.0	2352922.0	1675417.0	2004407.0	1560639.0	3330793.0	2758360.0	1825760.0	1896229.0	2018838.0	2318645.0	2273185.0
ZellerG_2014__CCIS81887263ST-4-0__bin.13	2211144.0	1900871.0	2773229.0	2546947.0	2420054.0	2313688.0	2900443.0	2750929.0	2873628.0	2317519.0	2373596.0	2818646.0	2763739.0	2538212.0	1888183.0	2977327.0	2973343.0	2262250.0	2253474.0	2910778.0	2941866.0	2418526.0	1828490.0	2976064.0	2828690.0	2692243.0	2418815.0	1722705.0	2837121.0	2679414.0	2483346.0	1752723.0	2078266.0	1753132.0	2758360.0	3652571.0	1920520.0	2049022.0	2096299.0	2342739.0	2409705.0
LeChatelierE_2013__MH0130__bin.13	1407025.0	1177221.0	1770420.0	1755124.0	1670477.0	1428332.0	1855085.0	1725603.0	1891106.0	1513904.0	1499922.0	1856299.0	1850729.0	1772359.0	1182838.0	1939662.0	1931275.0	1585248.0	1434545.0	1924378.0	1840873.0	1549815.0	1482391.0	1881160.0	1876416.0	1733411.0	1532223.0	1100608.0	1847911.0	1621557.0	1577958.0	1134609.0	1398273.0	739123.0	1825760.0	1920520.0	2249993.0	1254398.0	1409457.0	1666262.0	2114422.0
RaymondF_2016__P19E0__bin.109	1547305.0	1504394.0	1939848.0	1777325.0	1676701.0	2249641.0	2068702.0	1955185.0	2028008.0	1858366.0	1629810.0	1986452.0	1962127.0	1806615.0	1256030.0	1991216.0	2079293.0	1562366.0	1807178.0	2032952.0	2049804.0	2020859.0	1391344.0	2012116.0	1997261.0	1849445.0	1934698.0	1243804.0	2016661.0	1841430.0	2024093.0	2114914.0	1689558.0	1238378.0	1896229.0	2049022.0	1254398.0	4886512.0	1446845.0	1657351.0	1622549.0
ZeeviD_2015__PNP_Main_135__bin.3	1622027.0	1384167.0	2025331.0	1928192.0	1760124.0	1708846.0	2092759.0	2048105.0	2098582.0	1709404.0	1757966.0	2113604.0	2047502.0	1857244.0	1353764.0	2125521.0	2148670.0	1717348.0	1680693.0	2123092.0	2088631.0	1804783.0	1319662.0	2077831.0	2077671.0	1979490.0	1789701.0	1249052.0	2090118.0	1938507.0	1852367.0	1264860.0	1608170.0	1224044.0	2018838.0	2096299.0	1409457.0	1446845.0	2537307.0	1720044.0	1801582.0
VatanenT_2016__G80433__bin.6	1811402.0	1569674.0	2200521.0	2026277.0	2137164.0	1877033.0	2300846.0	2189573.0	2268662.0	1957337.0	1906738.0	2321751.0	2213939.0	2091620.0	1496003.0	2319504.0	2400186.0	1774311.0	1839203.0	2270188.0	2311836.0	2028888.0	1533381.0	2375923.0	2260158.0	2138401.0	2031260.0	1388183.0	2320633.0	2075807.0	2045595.0	1481960.0	1782823.0	1263949.0	2318645.0	2342739.0	1666262.0	1657351.0	1720044.0	2843758.0	2034311.0
NielsenHB_2014__MH0130__bin.27	1829735.0	1517621.0	2237412.0	2169610.0	2064054.0	1866119.0	2332437.0	2229481.0	2364092.0	1933406.0	1931247.0	2309982.0	2322710.0	2177417.0	1482277.0	2473945.0	2416319.0	1921712.0	1849186.0	2380788.0	2312561.0	2007553.0	1645089.0	2385227.0	2339548.0	2226057.0	1975819.0	1421607.0	2320297.0	2089968.0	2029547.0	1446328.0	1778936.0	1200179.0	2273185.0	2409705.0	2114422.0	1622549.0	1801582.0	2034311.0	2758091.0
