	HMP_2012__SRS015038__bin.19	HMP_2012__SRS022143__bin.25	HMP_2012__SRS050244__bin.42	HMP_2012__SRS016319__bin.3	FerrettiP_2018__CA_C10024MS2403SA_t0M15__bin.3	HMP_2012__SRS013705__bin.88	FerrettiP_2018__CA_C10035MS2597SA_t0M15__bin.49	HMP_2012__SRS064329__bin.6	HMP_2012__SRS024277__bin.40	HMP_2012__SRS018145__bin.55	HMP_2012__SRS065278__bin.52	HMP_2012__SRS064774__bin.5	HMP_2012__SRS042643__bin.24	HMP_2012__SRS020220__bin.42	HMP_2012__SRS019389__bin.28	HMP_2012__SRS018739__bin.50	HMP_2012__SRS022077__bin.36	HMP_2012__SRS057205__bin.73	HMP_2012__SRS078182__bin.53	HMP_2012__SRS044373__bin.77	HMP_2012__SRS045715__bin.5	HMP_2012__SRS056323__bin.20	HMP_2012__SRS020334__bin.26	HMP_2012__SRS024081__bin.18	HMP_2012__SRS064423__bin.65	HMP_2012__SRS017209__bin.7	HMP_2012__SRS047824__bin.57	HMP_2012__SRS063288__bin.27	HMP_2012__SRS011306__bin.33	HMP_2012__SRS019607__bin.63	HMP_2012__SRS047219__bin.56	HMP_2012__SRS053603__bin.4	FerrettiP_2018__CA_C10002MS2015SA_t0M15__bin.26	HMP_2012__SRS017533__bin.11
HMP_2012__SRS020220__bin.42	19672.0	18492.0	17401.0	21238.0	15157.0	18179.0	17074.0	15608.0	17751.0	17060.0	18487.0	15221.0	16706.0	0.0	18904.0	17469.0	14390.0	15570.0	15804.0	8311.0	18847.0	16917.0	23271.0	17016.0	19208.0	12590.0	13248.0	16032.0	22967.0	23542.0	25029.0	17254.0	14382.0	14071.0
HMP_2012__SRS019389__bin.28	20077.0	22502.0	18790.0	21352.0	18577.0	18725.0	21601.0	20627.0	21772.0	21351.0	19286.0	20630.0	21361.0	18904.0	0.0	20851.0	20296.0	18911.0	21432.0	14187.0	21874.0	14790.0	23300.0	22319.0	19584.0	17035.0	19088.0	21241.0	23731.0	267.0	24975.0	21899.0	21863.0	18841.0
HMP_2012__SRS018739__bin.50	21510.0	22597.0	18549.0	23562.0	16394.0	19617.0	21211.0	18892.0	20138.0	19872.0	20658.0	18187.0	11352.0	17469.0	20851.0	0.0	17774.0	18341.0	18529.0	12508.0	20942.0	19386.0	25813.0	20730.0	21065.0	14257.0	15695.0	19815.0	24194.0	26510.0	26801.0	10268.0	19901.0	17332.0
HMP_2012__SRS022077__bin.36	19779.0	20324.0	17540.0	22986.0	14791.0	18784.0	12022.0	15980.0	17918.0	18185.0	18546.0	17130.0	17697.0	14390.0	20296.0	17774.0	0.0	16468.0	16520.0	11167.0	19195.0	17690.0	23555.0	16678.0	19112.0	13163.0	16176.0	15174.0	24565.0	25274.0	26346.0	17262.0	17647.0	15756.0
HMP_2012__SRS057205__bin.73	19926.0	19169.0	16632.0	21892.0	15525.0	16195.0	17498.0	16538.0	18594.0	17557.0	19106.0	17380.0	18549.0	15570.0	18911.0	18341.0	16468.0	0.0	18183.0	11502.0	18836.0	17016.0	21172.0	17419.0	19453.0	13625.0	16607.0	17486.0	20449.0	22261.0	21423.0	18460.0	17582.0	16632.0
HMP_2012__SRS078182__bin.53	21618.0	22029.0	19346.0	23801.0	17263.0	20552.0	18621.0	17559.0	19870.0	19974.0	20063.0	16563.0	19199.0	15804.0	21432.0	18529.0	16520.0	18183.0	0.0	11641.0	21759.0	18798.0	26869.0	18792.0	21200.0	12088.0	15708.0	19455.0	26333.0	26503.0	29295.0	19480.0	17904.0	14559.0
HMP_2012__SRS044373__bin.77	13957.0	13773.0	12518.0	15161.0	11507.0	13200.0	11783.0	11528.0	12807.0	12718.0	13384.0	11088.0	12522.0	8311.0	14187.0	12508.0	11167.0	11502.0	11641.0	0.0	13873.0	12084.0	16659.0	12256.0	13699.0	9256.0	10896.0	12099.0	16079.0	16798.0	18021.0	12509.0	4280.0	10486.0
HMP_2012__SRS045715__bin.5	23787.0	23709.0	19850.0	25901.0	17537.0	20260.0	21709.0	19567.0	20904.0	18939.0	23804.0	22234.0	20447.0	18847.0	21874.0	20942.0	19195.0	18836.0	21759.0	13873.0	0.0	22149.0	26364.0	21378.0	24160.0	16011.0	18201.0	20461.0	25528.0	27546.0	27649.0	23008.0	21732.0	19406.0
HMP_2012__SRS056323__bin.20	16200.0	23200.0	17871.0	16019.0	16136.0	18678.0	19731.0	18330.0	20795.0	20350.0	16838.0	19892.0	19069.0	16917.0	14790.0	19386.0	17690.0	17016.0	18798.0	12084.0	22149.0	0.0	24013.0	19782.0	16769.0	14774.0	16984.0	18999.0	23210.0	18227.0	24526.0	18974.0	18690.0	17414.0
HMP_2012__SRS020334__bin.26	28388.0	26132.0	17941.0	30009.0	23191.0	18518.0	25358.0	24607.0	24224.0	25220.0	27116.0	26519.0	25431.0	23271.0	23300.0	25813.0	23555.0	21172.0	26869.0	16659.0	26364.0	24013.0	0.0	25670.0	27387.0	19547.0	22878.0	26168.0	22804.0	29312.0	20989.0	26535.0	25641.0	23777.0
HMP_2012__SRS024081__bin.18	22337.0	21809.0	19384.0	25968.0	16825.0	20012.0	18820.0	2152.0	19351.0	19780.0	21458.0	18651.0	20011.0	17016.0	22319.0	20730.0	16678.0	17419.0	18792.0	12256.0	21378.0	19782.0	25670.0	0.0	21686.0	13908.0	16819.0	18078.0	25578.0	27214.0	27865.0	20598.0	20120.0	17336.0
HMP_2012__SRS064423__bin.65	140.0	25236.0	19754.0	21362.0	18858.0	21489.0	21697.0	20196.0	22762.0	21944.0	206.0	21812.0	21533.0	19208.0	19584.0	21065.0	19112.0	19453.0	21200.0	13699.0	24160.0	16769.0	27387.0	21686.0	0.0	16601.0	18960.0	21096.0	27205.0	24378.0	30122.0	22043.0	21162.0	18615.0
HMP_2012__SRS017209__bin.7	17063.0	16244.0	14602.0	18551.0	12981.0	15379.0	14269.0	13123.0	15229.0	15256.0	16650.0	13388.0	15388.0	12590.0	17035.0	14257.0	13163.0	13625.0	12088.0	9256.0	16011.0	14774.0	19547.0	13908.0	16601.0	0.0	12762.0	12496.0	19614.0	20538.0	20958.0	15595.0	14429.0	12670.0
HMP_2012__SRS047824__bin.57	19253.0	19162.0	17629.0	20515.0	15552.0	17848.0	17944.0	15863.0	17407.0	18154.0	18449.0	16518.0	16653.0	13248.0	19088.0	15695.0	16176.0	16607.0	15708.0	10896.0	18201.0	16984.0	22878.0	16819.0	18960.0	12762.0	0.0	16380.0	22582.0	23586.0	25718.0	16648.0	16326.0	15144.0
HMP_2012__SRS063288__bin.27	21493.0	22463.0	19232.0	24492.0	17035.0	20184.0	18911.0	17019.0	19792.0	19503.0	20151.0	18364.0	19589.0	16032.0	21241.0	19815.0	15174.0	17486.0	19455.0	12099.0	20461.0	18999.0	26168.0	18078.0	21096.0	12496.0	16380.0	0.0	25869.0	26130.0	28896.0	19945.0	19932.0	17416.0
HMP_2012__SRS011306__bin.33	28374.0	23883.0	14692.0	29743.0	22813.0	4922.0	25415.0	24289.0	22814.0	22517.0	26920.0	25643.0	23968.0	22967.0	23731.0	24194.0	24565.0	20449.0	26333.0	16079.0	25528.0	23210.0	22804.0	25578.0	27205.0	19614.0	22582.0	25869.0	0.0	29426.0	21726.0	26749.0	24992.0	23333.0
HMP_2012__SRS019607__bin.63	25362.0	28235.0	22844.0	26452.0	22623.0	23638.0	27033.0	24943.0	26654.0	26452.0	24453.0	25422.0	26297.0	23542.0	267.0	26510.0	25274.0	22261.0	26503.0	16798.0	27546.0	18227.0	29312.0	27214.0	24378.0	20538.0	23586.0	26130.0	29426.0	0.0	31033.0	27301.0	27162.0	23641.0
HMP_2012__SRS047219__bin.56	31151.0	27154.0	17931.0	31560.0	25317.0	18530.0	27014.0	26235.0	25429.0	25660.0	29448.0	28369.0	26956.0	25029.0	24975.0	26801.0	26346.0	21423.0	29295.0	18021.0	27649.0	24526.0	20989.0	27865.0	30122.0	20958.0	25718.0	28896.0	21726.0	31033.0	0.0	28272.0	28063.0	25846.0
HMP_2012__SRS053603__bin.4	22532.0	22886.0	19294.0	23881.0	17088.0	21160.0	21078.0	19116.0	21167.0	21205.0	21308.0	20105.0	11359.0	17254.0	21899.0	10268.0	17262.0	18460.0	19480.0	12509.0	23008.0	18974.0	26535.0	20598.0	22043.0	15595.0	16648.0	19945.0	26749.0	27301.0	28272.0	0.0	20138.0	17501.0
FerrettiP_2018__CA_C10002MS2015SA_t0M15__bin.26	22192.0	21591.0	18768.0	24219.0	17794.0	19959.0	19031.0	18324.0	20178.0	19915.0	21192.0	17613.0	19246.0	14382.0	21863.0	19901.0	17647.0	17582.0	17904.0	4280.0	21732.0	18690.0	25641.0	20120.0	21162.0	14429.0	16326.0	19932.0	24992.0	27162.0	28063.0	20138.0	0.0	16508.0
HMP_2012__SRS017533__bin.11	19064.0	20247.0	17836.0	20971.0	15600.0	17574.0	17764.0	15617.0	18746.0	18608.0	18642.0	7624.0	17414.0	14071.0	18841.0	17332.0	15756.0	16632.0	14559.0	10486.0	19406.0	17414.0	23777.0	17336.0	18615.0	12670.0	15144.0	17416.0	23333.0	23641.0	25846.0	17501.0	16508.0	0.0
