	CM_madagascar__A14_01_1FE__bin.15	RampelliS_2015__H18__bin.17	HMP_2012__SRS049959__bin.75	BritoIL_2016__M2.48.ST__bin.10	CM_madagascar__A53_01_1FE__bin.6	BritoIL_2016__M2.31.ST__bin.48	CM_madagascar__A56_01_1FE__bin.28	CM_madagascar__A55_02_1FE__bin.58	ZeeviD_2015__PNP_Main_654__bin.4	ZeeviD_2015__PNP_Main_660__bin.34	BritoIL_2016__WL.17.ST__bin.18	BritoIL_2016__M1.24.ST__bin.37	NielsenHB_2014__MH0065__bin.14	CosteaPI_2017__SID713A074-11-0-0__bin.18	BritoIL_2016__M1.65.ST__bin.19	CM_madagascar__A25_01_1FE__bin.10	ZeeviD_2015__PNP_Main_618__bin.4	BritoIL_2016__W1.1.ST__bin.95	Bengtsson-PalmeJ_2015__TRAVELRES63__bin.91	LiuW_2016__SRR3993044__bin.128	ZeeviD_2015__PNP_Main_22__bin.20	BritoIL_2016__WL.15.ST__bin.63	BritoIL_2016__W3.20.ST__bin.30	BritoIL_2016__M1.27.ST__bin.1	BritoIL_2016__M2.52.ST__bin.55	Bengtsson-PalmeJ_2015__TRAVELRES64__bin.3	ZeeviD_2015__PNP_Main_415__bin.68	LeChatelierE_2013__MH0065__bin.14	BritoIL_2016__W2.15.ST__bin.66	BritoIL_2016__M2.32.ST__bin.43	BritoIL_2016__M2.38.ST__bin.34
ZeeviD_2015__PNP_Main_22__bin.20	1286171.0	1277669.0	1294518.0	1133364.0	1008486.0	1292021.0	1306813.0	1310054.0	1308623.0	1291144.0	1304792.0	1288833.0	1299655.0	1298601.0	1184993.0	1304255.0	870622.0	1299416.0	1310834.0	1247550.0	1510903.0	1180325.0	1304566.0	1294821.0	1291435.0	1307286.0	1304550.0	1315134.0	927305.0	1034580.0	1088986.0
BritoIL_2016__WL.15.ST__bin.63	1553015.0	1550002.0	1615740.0	1400996.0	1214473.0	1588244.0	1608427.0	1615723.0	1600453.0	1581382.0	1611397.0	1568919.0	1568211.0	1583930.0	1428355.0	1606125.0	1068930.0	1595992.0	1593311.0	1509239.0	1180325.0	1748282.0	1609275.0	1592083.0	1572892.0	1592464.0	1567634.0	1608463.0	1089690.0	1227896.0	1312511.0
BritoIL_2016__W3.20.ST__bin.30	1770256.0	1748675.0	1811809.0	1572290.0	1346834.0	1794465.0	1818124.0	1824973.0	1806070.0	1801661.0	1990348.0	1781002.0	1787747.0	1802984.0	1607280.0	1816263.0	1212574.0	1823308.0	1815191.0	1735425.0	1304566.0	1609275.0	1988420.0	1794263.0	1790070.0	1812511.0	1799129.0	1834041.0	1261009.0	1449124.0	1438735.0
BritoIL_2016__M1.27.ST__bin.1	1782843.0	1741142.0	1786765.0	1562275.0	1310473.0	1907157.0	1809843.0	1817391.0	1791102.0	1787806.0	1798634.0	1775876.0	1756275.0	1775256.0	1688413.0	1801029.0	1171702.0	1827913.0	1805483.0	1699632.0	1294821.0	1592083.0	1794263.0	2005100.0	1780274.0	1804608.0	1789172.0	1801530.0	1249294.0	1421980.0	1435274.0
BritoIL_2016__M2.52.ST__bin.55	1764458.0	1728772.0	1804630.0	1614124.0	1332019.0	1777381.0	1784405.0	1788864.0	1784444.0	1779499.0	1795017.0	1777489.0	1740477.0	1775918.0	1599542.0	1776580.0	1171269.0	1798996.0	1785671.0	1717289.0	1291435.0	1572892.0	1790070.0	1780274.0	1908616.0	1774601.0	1779658.0	1792082.0	1256339.0	1485506.0	1457651.0
Bengtsson-PalmeJ_2015__TRAVELRES64__bin.3	1787199.0	1750442.0	1791277.0	1559698.0	1328621.0	1802351.0	1811769.0	1813304.0	1814161.0	1785921.0	1814634.0	1787027.0	1774598.0	1793592.0	1623305.0	1805401.0	1182262.0	1800343.0	1974554.0	1722454.0	1307286.0	1592464.0	1812511.0	1804608.0	1774601.0	1979448.0	1789717.0	1817298.0	1244161.0	1435661.0	1428462.0
ZeeviD_2015__PNP_Main_415__bin.68	1750446.0	1731003.0	1797847.0	1560888.0	1334815.0	1787630.0	1781411.0	1785971.0	1781254.0	1809468.0	1803289.0	1762167.0	1748991.0	1775857.0	1604432.0	1773976.0	1172615.0	1786058.0	1793760.0	1704389.0	1304550.0	1567634.0	1799129.0	1789172.0	1779658.0	1789717.0	1923097.0	1791246.0	1260660.0	1438945.0	1442051.0
LeChatelierE_2013__MH0065__bin.14	1787797.0	1758670.0	1822089.0	1566187.0	1333903.0	1797857.0	1827996.0	1832309.0	1807446.0	1791284.0	1838391.0	1794671.0	1926333.0	1797151.0	1615929.0	1821300.0	1197391.0	1822705.0	1829582.0	1735904.0	1315134.0	1608463.0	1834041.0	1801530.0	1792082.0	1817298.0	1791246.0	2018940.0	1254386.0	1468787.0	1438792.0
BritoIL_2016__W2.15.ST__bin.66	1229822.0	1225200.0	1257056.0	1095624.0	999619.0	1249103.0	1247631.0	1249453.0	1253999.0	1255462.0	1260471.0	1246368.0	1230047.0	1256073.0	1119149.0	1244474.0	798426.0	1254353.0	1246607.0	1203491.0	927305.0	1089690.0	1261009.0	1249294.0	1256339.0	1244161.0	1260660.0	1254386.0	1351884.0	1066616.0	1072152.0
BritoIL_2016__M2.32.ST__bin.43	1408784.0	1387534.0	1457243.0	1270241.0	1061613.0	1419783.0	1445855.0	1441775.0	1440946.0	1422539.0	1450897.0	1425720.0	1414552.0	1428289.0	1267968.0	1439146.0	870315.0	1446583.0	1440575.0	1377980.0	1034580.0	1227896.0	1449124.0	1421980.0	1485506.0	1435661.0	1438945.0	1468787.0	1066616.0	1566973.0	1152288.0
BritoIL_2016__M2.38.ST__bin.34	1409089.0	1408643.0	1440191.0	1282205.0	1143169.0	1437328.0	1437484.0	1440014.0	1441245.0	1439272.0	1440395.0	1429059.0	1413396.0	1440337.0	1309849.0	1430762.0	942966.0	1449009.0	1430881.0	1373280.0	1088986.0	1312511.0	1438735.0	1435274.0	1457651.0	1428462.0	1442051.0	1438792.0	1072152.0	1152288.0	1517285.0
