	CM_madagascar__A14_01_1FE__bin.15	RampelliS_2015__H18__bin.17	HMP_2012__SRS049959__bin.75	BritoIL_2016__M2.48.ST__bin.10	CM_madagascar__A53_01_1FE__bin.6	BritoIL_2016__M2.31.ST__bin.48	CM_madagascar__A56_01_1FE__bin.28	CM_madagascar__A55_02_1FE__bin.58	ZeeviD_2015__PNP_Main_654__bin.4	ZeeviD_2015__PNP_Main_660__bin.34	BritoIL_2016__WL.17.ST__bin.18	BritoIL_2016__M1.24.ST__bin.37	NielsenHB_2014__MH0065__bin.14	CosteaPI_2017__SID713A074-11-0-0__bin.18	BritoIL_2016__M1.65.ST__bin.19	CM_madagascar__A25_01_1FE__bin.10	ZeeviD_2015__PNP_Main_618__bin.4	BritoIL_2016__W1.1.ST__bin.95	Bengtsson-PalmeJ_2015__TRAVELRES63__bin.91	LiuW_2016__SRR3993044__bin.128	ZeeviD_2015__PNP_Main_22__bin.20	BritoIL_2016__WL.15.ST__bin.63	BritoIL_2016__W3.20.ST__bin.30	BritoIL_2016__M1.27.ST__bin.1	BritoIL_2016__M2.52.ST__bin.55	Bengtsson-PalmeJ_2015__TRAVELRES64__bin.3	ZeeviD_2015__PNP_Main_415__bin.68	LeChatelierE_2013__MH0065__bin.14	BritoIL_2016__W2.15.ST__bin.66	BritoIL_2016__M2.32.ST__bin.43	BritoIL_2016__M2.38.ST__bin.34
BritoIL_2016__M1.24.ST__bin.37	27337.0	26838.0	25435.0	19933.0	19662.0	23927.0	26048.0	26008.0	25725.0	23711.0	25443.0	0.0	24826.0	25343.0	21920.0	26468.0	16769.0	24289.0	24667.0	24915.0	17664.0	21177.0	25411.0	25183.0	24151.0	24434.0	24920.0	25951.0	16720.0	20256.0	19617.0
NielsenHB_2014__MH0065__bin.14	26980.0	25959.0	24011.0	21094.0	19309.0	24234.0	26077.0	26102.0	23665.0	24458.0	26223.0	24826.0	0.0	24417.0	21768.0	25938.0	16009.0	25793.0	24829.0	22863.0	16032.0	22337.0	26229.0	25088.0	24196.0	24580.0	24651.0	316.0	16856.0	19550.0	19376.0
CosteaPI_2017__SID713A074-11-0-0__bin.18	27055.0	27077.0	24347.0	21140.0	19132.0	24857.0	26606.0	26765.0	25085.0	25044.0	25955.0	25343.0	24417.0	0.0	21768.0	26859.0	16645.0	25671.0	25040.0	23710.0	17638.0	22397.0	25977.0	25004.0	24668.0	24801.0	25086.0	25483.0	17172.0	19719.0	19280.0
BritoIL_2016__M1.65.ST__bin.19	23070.0	23385.0	22028.0	15932.0	16674.0	15790.0	23273.0	23240.0	22263.0	21271.0	22507.0	21920.0	21768.0	21768.0	0.0	23470.0	15052.0	20964.0	21836.0	21030.0	16129.0	18497.0	22465.0	14643.0	18968.0	21690.0	21757.0	22444.0	15232.0	15992.0	15819.0
CM_madagascar__A25_01_1FE__bin.10	27203.0	27516.0	27024.0	22143.0	19282.0	25765.0	9712.0	9948.0	27037.0	25180.0	27656.0	26468.0	25938.0	26859.0	23470.0	0.0	17942.0	27335.0	26132.0	26069.0	19281.0	23386.0	27648.0	26882.0	26631.0	25912.0	25921.0	27356.0	17631.0	21814.0	20531.0
ZeeviD_2015__PNP_Main_618__bin.4	18163.0	17596.0	16162.0	14453.0	13145.0	16412.0	17515.0	18126.0	16501.0	16306.0	18249.0	16769.0	16009.0	16645.0	15052.0	17942.0	0.0	16745.0	16725.0	16374.0	11480.0	15359.0	18134.0	17009.0	16400.0	16736.0	17028.0	16888.0	10902.0	12580.0	12922.0
BritoIL_2016__W1.1.ST__bin.95	27567.0	26761.0	25105.0	18976.0	19654.0	23397.0	27289.0	27385.0	25582.0	24145.0	26020.0	24289.0	25793.0	25671.0	20964.0	27335.0	16745.0	0.0	24995.0	24767.0	17784.0	21520.0	25894.0	24050.0	23621.0	24530.0	24536.0	26876.0	16320.0	18764.0	18291.0
Bengtsson-PalmeJ_2015__TRAVELRES63__bin.91	27301.0	25987.0	25210.0	20597.0	19034.0	24671.0	25863.0	26256.0	25768.0	23068.0	25266.0	24667.0	24829.0	25040.0	21836.0	26132.0	16725.0	24995.0	0.0	24487.0	17855.0	21849.0	25214.0	24481.0	24420.0	165.0	23778.0	26087.0	16550.0	19374.0	19287.0
LiuW_2016__SRR3993044__bin.128	26797.0	26086.0	24108.0	20408.0	19834.0	24245.0	25799.0	26046.0	24691.0	24019.0	25047.0	24915.0	22863.0	23710.0	21030.0	26069.0	16374.0	24767.0	24487.0	0.0	16596.0	21522.0	25064.0	24240.0	24044.0	24503.0	24447.0	24001.0	16425.0	19558.0	18578.0
ZeeviD_2015__PNP_Main_22__bin.20	19208.0	18504.0	16792.0	14834.0	14284.0	17348.0	19104.0	19282.0	16650.0	17214.0	18128.0	17664.0	16032.0	17638.0	16129.0	19281.0	11480.0	17784.0	17855.0	16596.0	0.0	16078.0	18133.0	17856.0	17714.0	17790.0	17752.0	16471.0	12155.0	14324.0	14908.0
BritoIL_2016__WL.15.ST__bin.63	24062.0	23579.0	22982.0	17643.0	17759.0	20789.0	23216.0	23966.0	23073.0	21534.0	22550.0	21177.0	22337.0	22397.0	18497.0	23386.0	15359.0	21520.0	21849.0	21522.0	16078.0	0.0	22428.0	21046.0	20535.0	21785.0	21190.0	23496.0	14196.0	16113.0	16821.0
BritoIL_2016__W3.20.ST__bin.30	28045.0	27132.0	25963.0	21328.0	19648.0	24554.0	26618.0	27637.0	26356.0	25229.0	133.0	25411.0	26229.0	25977.0	22465.0	27648.0	18134.0	25894.0	25214.0	25064.0	18133.0	22428.0	0.0	24979.0	24974.0	25205.0	25393.0	27301.0	16941.0	20458.0	17820.0
BritoIL_2016__M1.27.ST__bin.1	26766.0	26669.0	25235.0	19523.0	18179.0	17042.0	26773.0	27191.0	25713.0	23809.0	24947.0	25183.0	25088.0	25004.0	14643.0	26882.0	17009.0	24050.0	24481.0	24240.0	17856.0	21046.0	24979.0	0.0	22883.0	24388.0	23883.0	26118.0	16879.0	18607.0	18469.0
BritoIL_2016__M2.52.ST__bin.55	26651.0	25891.0	25530.0	4369.0	19136.0	21766.0	26233.0	26716.0	25469.0	23954.0	25086.0	24151.0	24196.0	24668.0	18968.0	26631.0	16400.0	23621.0	24420.0	24044.0	17714.0	20535.0	24974.0	22883.0	0.0	24134.0	24984.0	25124.0	16476.0	17509.0	9464.0
Bengtsson-PalmeJ_2015__TRAVELRES64__bin.3	27007.0	26121.0	24925.0	20545.0	19081.0	24582.0	25553.0	26012.0	25726.0	22797.0	25211.0	24434.0	24580.0	24801.0	21690.0	25912.0	16736.0	24530.0	165.0	24503.0	17790.0	21785.0	25205.0	24388.0	24134.0	0.0	23466.0	25766.0	16324.0	19191.0	19212.0
ZeeviD_2015__PNP_Main_415__bin.68	26722.0	25871.0	26050.0	21473.0	18575.0	23877.0	25913.0	26100.0	25230.0	23968.0	25539.0	24920.0	24651.0	25086.0	21757.0	25921.0	17028.0	24536.0	23778.0	24447.0	17752.0	21190.0	25393.0	23883.0	24984.0	23466.0	0.0	25813.0	16985.0	20523.0	19664.0
LeChatelierE_2013__MH0065__bin.14	28465.0	27040.0	25179.0	21496.0	20183.0	25170.0	27475.0	27596.0	24694.0	25229.0	27409.0	25951.0	316.0	25483.0	22444.0	27356.0	16888.0	26876.0	26087.0	24001.0	16471.0	23496.0	27301.0	26118.0	25124.0	25766.0	25813.0	0.0	17244.0	21216.0	19621.0
BritoIL_2016__W2.15.ST__bin.66	18181.0	17459.0	16903.0	14175.0	14495.0	16548.0	17334.0	17286.0	16945.0	16732.0	16789.0	16720.0	16856.0	17172.0	15232.0	17631.0	10902.0	16320.0	16550.0	16425.0	12155.0	14196.0	16941.0	16879.0	16476.0	16324.0	16985.0	17244.0	0.0	13594.0	14441.0
BritoIL_2016__M2.32.ST__bin.43	21711.0	21375.0	20699.0	14614.0	15993.0	17765.0	21620.0	21822.0	20586.0	19498.0	20386.0	20256.0	19550.0	19719.0	15992.0	21814.0	12580.0	18764.0	19374.0	19558.0	14324.0	16113.0	20458.0	18607.0	17509.0	19191.0	20523.0	21216.0	13594.0	0.0	13729.0
BritoIL_2016__M2.38.ST__bin.34	20209.0	20303.0	19424.0	9665.0	15810.0	17119.0	20377.0	20191.0	19686.0	19397.0	17856.0	19617.0	19376.0	19280.0	15819.0	20531.0	12922.0	18291.0	19287.0	18578.0	14908.0	16821.0	17820.0	18469.0	9464.0	19212.0	19664.0	19621.0	14441.0	13729.0	0.0
