	RaymondF_2016__P21E7__bin.23	RaymondF_2016__P9E90__bin.19	RaymondF_2016__P15E0__bin.36	RaymondF_2016__P22E90__bin.66	XieH_2016__YSZC12003_37308R1__bin.80	QinJ_2012__T2D-077__bin.18	RaymondF_2016__P6C0__bin.76	RaymondF_2016__P20E0__bin.15	RaymondF_2016__P38C0__bin.54	RaymondF_2016__P12E90__bin.22	HMP_2012__SRS021484__bin.49	QinJ_2012__DLM013__bin.12	XieH_2016__YSZC12003_37270__bin.39	HMP_2012__SRS054956__bin.1	RaymondF_2016__P2E0__bin.65	RaymondF_2016__P18E0__bin.7	RaymondF_2016__P6C7__bin.5	RaymondF_2016__P18E90__bin.11	RaymondF_2016__P38C7__bin.19	RaymondF_2016__P22E0__bin.67	XieH_2016__YSZC12003_37209__bin.63	XieH_2016__YSZC12003_35653__bin.8	Bengtsson-PalmeJ_2015__TRAVELRES19__bin.58	XieH_2016__YSZC12003_37205__bin.52	RaymondF_2016__P15E90__bin.56	HeQ_2017__SZAXPI029486-84__bin.35
HMP_2012__SRS021484__bin.49	1428031.0	1433736.0	1276936.0	1308306.0	1414627.0	1344174.0	1335227.0	1475284.0	1348972.0	1335048.0	1653671.0	867607.0	1433444.0	1150767.0	1473533.0	974709.0	1445339.0	1163109.0	1405860.0	1281361.0	1340043.0	1138442.0	1233954.0	1273374.0	1241670.0	1434525.0
QinJ_2012__DLM013__bin.12	971892.0	1018927.0	870753.0	892569.0	974610.0	1003161.0	888401.0	1012818.0	934545.0	923144.0	867607.0	1459938.0	1027862.0	828844.0	1007828.0	683335.0	976099.0	804461.0	1010852.0	875506.0	966032.0	800688.0	896505.0	899803.0	858377.0	1002309.0
XieH_2016__YSZC12003_37270__bin.39	1671068.0	1794726.0	1493725.0	1515730.0	1719136.0	1631616.0	1556630.0	1736096.0	1641734.0	1562898.0	1433444.0	1027862.0	2094913.0	1309272.0	1756551.0	1174306.0	1707825.0	1405351.0	1768306.0	1519429.0	1634452.0	1358679.0	1464133.0	1527212.0	1450320.0	1726069.0
HMP_2012__SRS054956__bin.1	1292269.0	1309408.0	1143408.0	1186117.0	1285290.0	1234530.0	1182935.0	1348263.0	1215736.0	1197077.0	1150767.0	828844.0	1309272.0	1668341.0	1336005.0	874541.0	1304651.0	1040292.0	1267648.0	1155568.0	1228176.0	1033602.0	1104965.0	1164725.0	1132253.0	1310697.0
RaymondF_2016__P2E0__bin.65	1725580.0	1743904.0	1576074.0	1565050.0	1748050.0	1610355.0	1610172.0	1842300.0	1599257.0	1643840.0	1473533.0	1007828.0	1756551.0	1336005.0	1946925.0	1149734.0	1753366.0	1376735.0	1707705.0	1543664.0	1606994.0	1352313.0	1440822.0	1548227.0	1509520.0	1780108.0
RaymondF_2016__P18E0__bin.7	1120692.0	1178343.0	1033014.0	1052085.0	1140261.0	1097491.0	1062156.0	1154979.0	1125234.0	1067068.0	974709.0	683335.0	1174306.0	874541.0	1149734.0	1352895.0	1136792.0	1016769.0	1164270.0	1032991.0	1108906.0	956896.0	998391.0	1029465.0	983568.0	1152403.0
RaymondF_2016__P6C7__bin.5	1688536.0	1687878.0	1498762.0	1551633.0	1698404.0	1572112.0	1621076.0	1755965.0	1596267.0	1571109.0	1445339.0	976099.0	1707825.0	1304651.0	1753366.0	1136792.0	1955582.0	1352419.0	1681626.0	1533372.0	1572370.0	1337334.0	1409147.0	1507667.0	1440427.0	1709310.0
RaymondF_2016__P18E90__bin.11	1328326.0	1395960.0	1207170.0	1234368.0	1337043.0	1314465.0	1237607.0	1377297.0	1333430.0	1243330.0	1163109.0	804461.0	1405351.0	1040292.0	1376735.0	1016769.0	1352419.0	1646704.0	1394120.0	1224591.0	1316070.0	1108997.0	1177615.0	1192595.0	1162057.0	1350649.0
RaymondF_2016__P38C7__bin.19	1631184.0	1723747.0	1462563.0	1496771.0	1668075.0	1614737.0	1521300.0	1689989.0	1657081.0	1515293.0	1405860.0	1010852.0	1768306.0	1267648.0	1707705.0	1164270.0	1681626.0	1394120.0	2117148.0	1499563.0	1595150.0	1355878.0	1436813.0	1480806.0	1411535.0	1671005.0
RaymondF_2016__P22E0__bin.67	1495481.0	1504912.0	1341105.0	1411368.0	1519601.0	1411810.0	1400786.0	1536360.0	1445255.0	1390263.0	1281361.0	875506.0	1519429.0	1155568.0	1543664.0	1032991.0	1533372.0	1224591.0	1499563.0	1721452.0	1383555.0	1206000.0	1254439.0	1345145.0	1312130.0	1505536.0
XieH_2016__YSZC12003_37209__bin.63	1549077.0	1639831.0	1404857.0	1426818.0	1544508.0	1484148.0	1436198.0	1620070.0	1515520.0	1452057.0	1340043.0	966032.0	1634452.0	1228176.0	1606994.0	1108906.0	1572370.0	1316070.0	1595150.0	1383555.0	1847620.0	1288261.0	1376409.0	1423889.0	1347267.0	1584922.0
XieH_2016__YSZC12003_35653__bin.8	1319373.0	1354870.0	1186816.0	1218027.0	1328487.0	1277501.0	1241124.0	1344642.0	1307001.0	1212402.0	1138442.0	800688.0	1358679.0	1033602.0	1352313.0	956896.0	1337334.0	1108997.0	1355878.0	1206000.0	1288261.0	1536639.0	1167973.0	1195752.0	1149894.0	1320351.0
Bengtsson-PalmeJ_2015__TRAVELRES19__bin.58	1387517.0	1461422.0	1254658.0	1284436.0	1404769.0	1375434.0	1308864.0	1458869.0	1356050.0	1320634.0	1233954.0	896505.0	1464133.0	1104965.0	1440822.0	998391.0	1409147.0	1177615.0	1436813.0	1254439.0	1376409.0	1167973.0	1641642.0	1262606.0	1216232.0	1416760.0
XieH_2016__YSZC12003_37205__bin.52	1485684.0	1525301.0	1335968.0	1371263.0	1502436.0	1405418.0	1377749.0	1541442.0	1424938.0	1405764.0	1273374.0	899803.0	1527212.0	1164725.0	1548227.0	1029465.0	1507667.0	1192595.0	1480806.0	1345145.0	1423889.0	1195752.0	1262606.0	1698803.0	1302763.0	1513425.0
RaymondF_2016__P15E90__bin.56	1440227.0	1453846.0	1318685.0	1319606.0	1442562.0	1341906.0	1368869.0	1538495.0	1381646.0	1385815.0	1241670.0	858377.0	1450320.0	1132253.0	1509520.0	983568.0	1440427.0	1162057.0	1411535.0	1312130.0	1347267.0	1149894.0	1216232.0	1302763.0	1675631.0	1481141.0
HeQ_2017__SZAXPI029486-84__bin.35	1685156.0	1720147.0	1529313.0	1536457.0	1713134.0	1563782.0	1578674.0	1780372.0	1574628.0	1592727.0	1434525.0	1002309.0	1726069.0	1310697.0	1780108.0	1152403.0	1709310.0	1350649.0	1671005.0	1505536.0	1584922.0	1320351.0	1416760.0	1513425.0	1481141.0	1923687.0
