	ZeeviD_2015__PNP_Main_709__bin.19	VincentC_2016__MM019.3__bin.15	Obregon-TitoAJ_2015__HCO12__bin.25	CosteaPI_2017__pluto1-11-0-0__bin.45	CosteaPI_2017__SID713B072-11-90-0__bin.43	BritoIL_2016__W2.21.ST__bin.1	VincentC_2016__MM022.3__bin.12	CosteaPI_2017__SID713A081-11-90-0__bin.30	ZeeviD_2015__PNP_Main_170__bin.64	BritoIL_2016__W1.27.ST__bin.24	ZeeviD_2015__PNP_Main_438__bin.27	LiJ_2014__V1.FI24__bin.39	ZeeviD_2015__PNP_Main_23__bin.13	ZellerG_2014__CCIS16383318ST-4-0__bin.63	ChengpingW_2017__AS12raw__bin.8	LiuW_2016__SRR3992961__bin.108	ZeeviD_2015__PNP_Main_186__bin.52	LiJ_2014__V1.FI09__bin.4	LiuW_2016__SRR3993054__bin.11	CosteaPI_2017__SID713B055-11-90-0__bin.39	SchirmerM_2016__G88968__bin.4	ChengpingW_2017__AS71raw__bin.30	NielsenHB_2014__MH0031__bin.7	BritoIL_2016__WL.9.ST__bin.10	ZeeviD_2015__PNP_Main_538__bin.2	LeChatelierE_2013__MH0031__bin.13	BritoIL_2016__W1.41.ST__bin.84	BritoIL_2016__W1.3.ST__bin.50	LeChatelierE_2013__MH0120__bin.8	LeChatelierE_2013__MH0276__bin.105	ZeeviD_2015__PNP_Main_488__bin.23	CosteaPI_2017__SID713B072-11-0-0__bin.11	ZeeviD_2015__PNP_Main_374__bin.35
ZeeviD_2015__PNP_Main_438__bin.27	36611.0	57618.0	66466.0	60600.0	55872.0	32911.0	51332.0	48109.0	45118.0	42605.0	0.0	35414.0	49858.0	49328.0	55071.0	43657.0	54447.0	57690.0	46699.0	36928.0	58781.0	51501.0	57474.0	37792.0	38192.0	56194.0	60197.0	49494.0	57377.0	55394.0	46537.0	58883.0	52539.0
LiJ_2014__V1.FI24__bin.39	33680.0	41471.0	44186.0	17636.0	34227.0	19153.0	39141.0	24373.0	27209.0	23211.0	35414.0	0.0	31462.0	29644.0	33366.0	25723.0	14285.0	38016.0	29717.0	34095.0	17905.0	13702.0	35426.0	21645.0	19625.0	34366.0	41088.0	33297.0	17779.0	33695.0	35165.0	40092.0	32955.0
ZeeviD_2015__PNP_Main_23__bin.13	43987.0	52932.0	64815.0	51903.0	46809.0	32433.0	53168.0	42596.0	45790.0	43275.0	49858.0	31462.0	0.0	47150.0	54370.0	40166.0	47298.0	55792.0	44473.0	34933.0	52271.0	45061.0	50322.0	39540.0	38330.0	47646.0	57944.0	51696.0	50329.0	46488.0	39382.0	53549.0	45059.0
ZellerG_2014__CCIS16383318ST-4-0__bin.63	41792.0	53211.0	62437.0	50895.0	47469.0	34796.0	51928.0	38078.0	46877.0	43488.0	49328.0	29644.0	47150.0	0.0	55363.0	34772.0	44676.0	50520.0	40021.0	27423.0	47064.0	45657.0	51994.0	37572.0	30974.0	49858.0	60018.0	51396.0	49388.0	51980.0	39563.0	51930.0	51155.0
ChengpingW_2017__AS12raw__bin.8	45591.0	64643.0	66691.0	58911.0	62664.0	31096.0	59940.0	50431.0	42271.0	38743.0	55071.0	33366.0	54370.0	55363.0	0.0	46046.0	54884.0	56746.0	48004.0	37763.0	58794.0	54270.0	65166.0	36413.0	42816.0	63217.0	56158.0	49191.0	58907.0	64394.0	48837.0	67424.0	62842.0
LiuW_2016__SRR3992961__bin.108	38642.0	46214.0	51368.0	44816.0	39861.0	27173.0	44085.0	36512.0	40241.0	34372.0	43657.0	25723.0	40166.0	34772.0	46046.0	0.0	37913.0	46045.0	8775.0	27237.0	44422.0	38659.0	44416.0	29267.0	28648.0	42803.0	47326.0	39188.0	42905.0	42272.0	30492.0	43311.0	42198.0
ZeeviD_2015__PNP_Main_186__bin.52	44700.0	56359.0	62408.0	22230.0	52209.0	32380.0	56508.0	43368.0	43393.0	39812.0	54447.0	14285.0	47298.0	44676.0	54884.0	37913.0	0.0	56611.0	42797.0	30287.0	22043.0	17975.0	52258.0	34806.0	37255.0	50693.0	59114.0	46989.0	22458.0	49633.0	41929.0	56142.0	53499.0
LiJ_2014__V1.FI09__bin.4	49520.0	64215.0	63385.0	62200.0	58333.0	35333.0	60214.0	49902.0	43559.0	43032.0	57690.0	38016.0	55792.0	50520.0	56746.0	46045.0	56611.0	0.0	49675.0	36614.0	63400.0	53546.0	68696.0	39308.0	41145.0	65058.0	59103.0	51362.0	58192.0	63793.0	48170.0	66222.0	59189.0
LiuW_2016__SRR3993054__bin.11	40814.0	49494.0	56588.0	45869.0	44120.0	30430.0	49240.0	37274.0	41120.0	37030.0	46699.0	29717.0	44473.0	40021.0	48004.0	8775.0	42797.0	49675.0	0.0	29048.0	48266.0	42063.0	51326.0	33456.0	30924.0	48098.0	50667.0	45020.0	46151.0	47411.0	34036.0	48978.0	45827.0
CosteaPI_2017__SID713B055-11-90-0__bin.39	37502.0	42822.0	46275.0	38751.0	34145.0	22724.0	41684.0	27008.0	30274.0	26848.0	36928.0	34095.0	34933.0	27423.0	37763.0	27237.0	30287.0	36614.0	29048.0	0.0	37125.0	29454.0	40777.0	25127.0	18504.0	38712.0	41038.0	34585.0	33520.0	36663.0	29166.0	38806.0	34776.0
SchirmerM_2016__G88968__bin.4	51057.0	63499.0	69521.0	23851.0	55037.0	33888.0	61733.0	45147.0	47129.0	42651.0	58781.0	17905.0	52271.0	47064.0	58794.0	44422.0	22043.0	63400.0	48266.0	37125.0	0.0	19444.0	58720.0	37340.0	39806.0	57049.0	64857.0	52146.0	24571.0	55155.0	48665.0	61473.0	57046.0
ChengpingW_2017__AS71raw__bin.30	42823.0	52601.0	59838.0	20359.0	48978.0	36552.0	51633.0	42498.0	45259.0	45103.0	51501.0	13702.0	45061.0	45657.0	54270.0	38659.0	17975.0	53546.0	42063.0	29454.0	19444.0	0.0	48951.0	38189.0	37767.0	48861.0	57734.0	47368.0	21033.0	49738.0	39148.0	52739.0	52958.0
NielsenHB_2014__MH0031__bin.7	49975.0	57413.0	74172.0	60934.0	54095.0	37162.0	60809.0	47721.0	51711.0	46204.0	57474.0	35426.0	50322.0	51994.0	65166.0	44416.0	52258.0	68696.0	51326.0	40777.0	58720.0	48951.0	0.0	41691.0	39786.0	1329.0	68604.0	54446.0	55164.0	48019.0	47713.0	61382.0	48052.0
BritoIL_2016__WL.9.ST__bin.10	30329.0	44264.0	42468.0	39504.0	43634.0	22393.0	37999.0	37417.0	27719.0	23162.0	37792.0	21645.0	39540.0	37572.0	36413.0	29267.0	34806.0	39308.0	33456.0	25127.0	37340.0	38189.0	41691.0	0.0	30648.0	41724.0	32728.0	23345.0	40179.0	42953.0	30793.0	45592.0	41962.0
ZeeviD_2015__PNP_Main_538__bin.2	29432.0	41403.0	47154.0	43835.0	38371.0	25941.0	40534.0	32655.0	37417.0	33043.0	38192.0	19625.0	38330.0	30974.0	42816.0	28648.0	37255.0	41145.0	30924.0	18504.0	39806.0	37767.0	39786.0	30648.0	0.0	37715.0	47407.0	37510.0	40781.0	39392.0	27500.0	38934.0	40623.0
LeChatelierE_2013__MH0031__bin.13	48644.0	55663.0	71913.0	58477.0	52375.0	36428.0	58701.0	46447.0	51209.0	46591.0	56194.0	34366.0	47646.0	49858.0	63217.0	42803.0	50693.0	65058.0	48098.0	38712.0	57049.0	48861.0	1329.0	41724.0	37715.0	0.0	65922.0	53479.0	53650.0	47575.0	44961.0	58766.0	46809.0
BritoIL_2016__W1.41.ST__bin.84	50966.0	70140.0	69016.0	65950.0	60927.0	30010.0	64618.0	56901.0	41963.0	37715.0	60197.0	41088.0	57944.0	60018.0	56158.0	47326.0	59114.0	59103.0	50667.0	41038.0	64857.0	57734.0	68604.0	32728.0	47407.0	65922.0	0.0	44972.0	62286.0	62299.0	54311.0	68075.0	64991.0
BritoIL_2016__W1.3.ST__bin.50	42271.0	58381.0	57076.0	52218.0	57329.0	25047.0	48980.0	45712.0	35411.0	24467.0	49494.0	33297.0	51696.0	51396.0	49191.0	39188.0	46989.0	51362.0	45020.0	34585.0	52146.0	47368.0	54446.0	23345.0	37510.0	53479.0	44972.0	0.0	50419.0	56224.0	44525.0	61355.0	53185.0
LeChatelierE_2013__MH0120__bin.8	46960.0	61021.0	65254.0	22783.0	52114.0	36612.0	57936.0	47890.0	48190.0	45540.0	57377.0	17779.0	50329.0	49388.0	58907.0	42905.0	22458.0	58192.0	46151.0	33520.0	24571.0	21033.0	55164.0	40179.0	40781.0	53650.0	62286.0	50419.0	0.0	55835.0	45307.0	57297.0	57930.0
LeChatelierE_2013__MH0276__bin.105	46839.0	54116.0	68879.0	53254.0	52640.0	42052.0	56255.0	48687.0	49964.0	49579.0	55394.0	33695.0	46488.0	51980.0	64394.0	42272.0	49633.0	63793.0	47411.0	36663.0	55155.0	49738.0	48019.0	42953.0	39392.0	47575.0	62299.0	56224.0	55835.0	0.0	43266.0	58417.0	47354.0
ZeeviD_2015__PNP_Main_488__bin.23	45110.0	49588.0	56259.0	45578.0	41106.0	27885.0	52075.0	31806.0	38761.0	33976.0	46537.0	35165.0	39382.0	39563.0	48837.0	30492.0	41929.0	48170.0	34036.0	29166.0	48665.0	39148.0	47713.0	30793.0	27500.0	44961.0	54311.0	44525.0	45307.0	43266.0	0.0	45326.0	43672.0
CosteaPI_2017__SID713B072-11-0-0__bin.11	52108.0	61184.0	77248.0	63879.0	8572.0	38771.0	66212.0	46204.0	53020.0	48863.0	58883.0	40092.0	53549.0	51930.0	67424.0	43311.0	56142.0	66222.0	48978.0	38806.0	61473.0	52739.0	61382.0	45592.0	38934.0	58766.0	68075.0	61355.0	57297.0	58417.0	45326.0	0.0	53994.0
ZeeviD_2015__PNP_Main_374__bin.35	44544.0	52413.0	69686.0	56619.0	51001.0	37647.0	52106.0	48089.0	51265.0	47650.0	52539.0	32955.0	45059.0	51155.0	62842.0	42198.0	53499.0	59189.0	45827.0	34776.0	57046.0	52958.0	48052.0	41962.0	40623.0	46809.0	64991.0	53185.0	57930.0	47354.0	43672.0	53994.0	0.0
