	ZeeviD_2015__PNP_Main_709__bin.19	VincentC_2016__MM019.3__bin.15	Obregon-TitoAJ_2015__HCO12__bin.25	CosteaPI_2017__pluto1-11-0-0__bin.45	CosteaPI_2017__SID713B072-11-90-0__bin.43	BritoIL_2016__W2.21.ST__bin.1	VincentC_2016__MM022.3__bin.12	CosteaPI_2017__SID713A081-11-90-0__bin.30	ZeeviD_2015__PNP_Main_170__bin.64	BritoIL_2016__W1.27.ST__bin.24	ZeeviD_2015__PNP_Main_438__bin.27	LiJ_2014__V1.FI24__bin.39	ZeeviD_2015__PNP_Main_23__bin.13	ZellerG_2014__CCIS16383318ST-4-0__bin.63	ChengpingW_2017__AS12raw__bin.8	LiuW_2016__SRR3992961__bin.108	ZeeviD_2015__PNP_Main_186__bin.52	LiJ_2014__V1.FI09__bin.4	LiuW_2016__SRR3993054__bin.11	CosteaPI_2017__SID713B055-11-90-0__bin.39	SchirmerM_2016__G88968__bin.4	ChengpingW_2017__AS71raw__bin.30	NielsenHB_2014__MH0031__bin.7	BritoIL_2016__WL.9.ST__bin.10	ZeeviD_2015__PNP_Main_538__bin.2	LeChatelierE_2013__MH0031__bin.13	BritoIL_2016__W1.41.ST__bin.84	BritoIL_2016__W1.3.ST__bin.50	LeChatelierE_2013__MH0120__bin.8	LeChatelierE_2013__MH0276__bin.105	ZeeviD_2015__PNP_Main_488__bin.23	CosteaPI_2017__SID713B072-11-0-0__bin.11	ZeeviD_2015__PNP_Main_374__bin.35
LiJ_2014__V1.FI09__bin.4	2090729.0	2475493.0	2431904.0	2156960.0	2240825.0	1646286.0	2493341.0	1907935.0	2044154.0	1859449.0	2459980.0	1177342.0	2142033.0	1962706.0	2323705.0	1845959.0	1918612.0	3500475.0	1821891.0	1526457.0	2159416.0	1924762.0	2555061.0	1677792.0	1694242.0	2449419.0	2481480.0	2176242.0	2012099.0	2431659.0	1848066.0	2555627.0	2283817.0
LiuW_2016__SRR3993054__bin.11	1562439.0	1964822.0	1852896.0	1638371.0	1832054.0	1282594.0	1877926.0	1612884.0	1555080.0	1429501.0	1870338.0	969659.0	1712280.0	1585213.0	1714740.0	2061491.0	1458645.0	1821891.0	3022662.0	1339711.0	1664411.0	1499519.0	2004198.0	1264339.0	1333850.0	1919897.0	1820567.0	1628803.0	1593297.0	1934900.0	1525299.0	2081202.0	1763740.0
CosteaPI_2017__SID713B055-11-90-0__bin.39	1512321.0	1709941.0	1499818.0	1427036.0	1481316.0	1036040.0	1623586.0	1278706.0	1295412.0	1149522.0	1578195.0	1235060.0	1490343.0	1231862.0	1412683.0	1318284.0	1124195.0	1526457.0	1339711.0	2433898.0	1402432.0	1164099.0	1723093.0	1039544.0	970007.0	1669436.0	1530245.0	1374991.0	1249070.0	1597144.0	1490805.0	1821598.0	1460805.0
SchirmerM_2016__G88968__bin.4	1781135.0	2333081.0	2183150.0	2464548.0	1967089.0	1403266.0	2232559.0	1624930.0	1710554.0	1643540.0	2189279.0	1419550.0	1941399.0	1713053.0	1921981.0	1657032.0	2067312.0	2159416.0	1664411.0	1402432.0	3439493.0	2073704.0	2269075.0	1407815.0	1561547.0	2213249.0	2184436.0	1879202.0	2156060.0	2122205.0	1704310.0	2296135.0	2048535.0
ChengpingW_2017__AS71raw__bin.30	1573242.0	2041510.0	1937707.0	2151828.0	1880227.0	1449426.0	1930378.0	1599737.0	1648399.0	1678785.0	1957263.0	1082057.0	1693059.0	1710536.0	1839829.0	1498101.0	1832362.0	1924762.0	1499519.0	1164099.0	2073704.0	2840227.0	1974909.0	1420974.0	1464361.0	1952919.0	2003546.0	1750736.0	2094353.0	1936074.0	1425361.0	2032821.0	1948579.0
NielsenHB_2014__MH0031__bin.7	2121887.0	2807433.0	2485809.0	2316231.0	2418759.0	1635551.0	2582134.0	1983061.0	2024957.0	1862722.0	2517700.0	1278120.0	2364093.0	2129797.0	2323007.0	1965155.0	2030536.0	2555061.0	2004198.0	1723093.0	2269075.0	1974909.0	3548500.0	1646062.0	1796343.0	3229925.0	2492054.0	2154232.0	2115966.0	2693898.0	2070714.0	2839573.0	2439307.0
BritoIL_2016__WL.9.ST__bin.10	1349927.0	1659342.0	1682981.0	1451348.0	1644594.0	1352418.0	1636159.0	1451681.0	1532298.0	1618760.0	1659142.0	759483.0	1476833.0	1449340.0	1690103.0	1252212.0	1300824.0	1677792.0	1264339.0	1039544.0	1407815.0	1420974.0	1646062.0	2288439.0	1220024.0	1623583.0	1727561.0	1614183.0	1483049.0	1673095.0	1168047.0	1714931.0	1639200.0
ZeeviD_2015__PNP_Main_538__bin.2	1322367.0	1784087.0	1694515.0	1618696.0	1648850.0	1185415.0	1709114.0	1542194.0	1517888.0	1374915.0	1734907.0	686914.0	1566554.0	1494608.0	1640695.0	1371850.0	1490840.0	1694242.0	1333850.0	970007.0	1561547.0	1464361.0	1796343.0	1220024.0	2402505.0	1733014.0	1697844.0	1507330.0	1524812.0	1734834.0	1189241.0	1807054.0	1735630.0
LeChatelierE_2013__MH0031__bin.13	2030477.0	2689776.0	2411847.0	2239736.0	2348554.0	1606498.0	2483385.0	1935158.0	1981442.0	1846331.0	2440380.0	1218408.0	2270985.0	2058081.0	2282765.0	1892574.0	1979335.0	2449419.0	1919897.0	1669436.0	2213249.0	1952919.0	3229925.0	1623583.0	1733014.0	3526288.0	2401230.0	2125046.0	2071768.0	2634096.0	1992811.0	2721368.0	2384055.0
BritoIL_2016__W1.41.ST__bin.84	2039953.0	2538960.0	2515151.0	2218948.0	2250000.0	1696672.0	2550038.0	1914474.0	2060757.0	2004380.0	2492383.0	1241843.0	2170172.0	2051672.0	2324562.0	1810453.0	1998673.0	2481480.0	1820567.0	1530245.0	2184436.0	2003546.0	2492054.0	1727561.0	1697844.0	2401230.0	3456386.0	2305968.0	2100915.0	2372946.0	1871554.0	2555988.0	2378018.0
BritoIL_2016__W1.3.ST__bin.50	1759777.0	2166733.0	2200762.0	1870368.0	2007220.0	1545949.0	2197611.0	1685875.0	1889331.0	1863682.0	2152118.0	1110398.0	1968310.0	1841221.0	2094231.0	1657705.0	1683570.0	2176242.0	1628803.0	1374991.0	1879202.0	1750736.0	2154232.0	1614183.0	1507330.0	2125046.0	2305968.0	3035928.0	1822164.0	2160267.0	1629351.0	2215826.0	2070134.0
LeChatelierE_2013__MH0120__bin.8	1643731.0	2205160.0	2044773.0	2210006.0	1999680.0	1475814.0	2080383.0	1718746.0	1719686.0	1683733.0	2077924.0	1117586.0	1813958.0	1799163.0	1961321.0	1598196.0	1952378.0	2012099.0	1593297.0	1249070.0	2156060.0	2094353.0	2115966.0	1483049.0	1524812.0	2071768.0	2100915.0	1822164.0	2975339.0	2068636.0	1568777.0	2139311.0	2059724.0
LeChatelierE_2013__MH0276__bin.105	2062334.0	2605206.0	2387066.0	2097694.0	2414104.0	1687749.0	2436130.0	2005698.0	2006780.0	1902884.0	2420187.0	1191861.0	2258880.0	2054898.0	2305515.0	1925656.0	1922692.0	2431659.0	1934900.0	1597144.0	2122205.0	1936074.0	2693898.0	1673095.0	1734834.0	2634096.0	2372946.0	2160267.0	2068636.0	3419852.0	1923567.0	2724532.0	2418385.0
ZeeviD_2015__PNP_Main_488__bin.23	1850888.0	2025060.0	1831760.0	1660972.0	1801150.0	1196652.0	1950367.0	1408011.0	1488948.0	1310530.0	1872227.0	1208103.0	1716190.0	1614733.0	1742664.0	1513763.0	1426872.0	1848066.0	1525299.0	1490805.0	1704310.0	1425361.0	2070714.0	1168047.0	1189241.0	1992811.0	1871554.0	1629351.0	1568777.0	1923567.0	2842693.0	2078908.0	1812000.0
CosteaPI_2017__SID713B072-11-0-0__bin.11	2189990.0	2855849.0	2551168.0	2377797.0	2951900.0	1644984.0	2633957.0	2016112.0	2059437.0	1857181.0	2519718.0	1359737.0	2421440.0	2148609.0	2333370.0	2029480.0	2050690.0	2555627.0	2081202.0	1821598.0	2296135.0	2032821.0	2839573.0	1714931.0	1807054.0	2721368.0	2555988.0	2215826.0	2139311.0	2724532.0	2078908.0	3752549.0	2503325.0
ZeeviD_2015__PNP_Main_374__bin.35	1996188.0	2448388.0	2328483.0	2072476.0	2308323.0	1605252.0	2384961.0	1907009.0	1988512.0	1856350.0	2368950.0	1129292.0	2111469.0	1998599.0	2177383.0	1804315.0	1917954.0	2283817.0	1763740.0	1460805.0	2048535.0	1948579.0	2439307.0	1639200.0	1735630.0	2384055.0	2378018.0	2070134.0	2059724.0	2418385.0	1812000.0	2503325.0	3365778.0
