	ZeeviD_2015__PNP_Main_479__bin.30	LiuW_2016__SRR3992994__bin.26	RampelliS_2015__H20__bin.28	XieH_2016__YSZC12003_36034__bin.76	CosteaPI_2017__SID713A028-11-90-0__bin.62	XieH_2016__YSZC12003_37315__bin.25	RampelliS_2015__H16__bin.35	ZeeviD_2015__PNP_Main_443__bin.23	XieH_2016__YSZC12003_36033__bin.88	VincentC_2016__MM100.1__bin.9	LiSS_2016__FAT_006-22-42-0__bin.55	CM_madagascar__V06_02_1FE__bin.13	XieH_2016__YSZC12003_37208R1__bin.49	RampelliS_2015__H27__bin.12	LiuW_2016__SRR3992967__bin.73	LiJ_2014__MH0328__bin.50	SchirmerM_2016__G89274__bin.21	ZeeviD_2015__PNP_Validation_15__bin.31	RampelliS_2015__H9__bin.17	LiSS_2016__FAT_006-22-84-0__bin.37	RampelliS_2015__H15__bin.31	LiSS_2016__FAT_006-22-0-0__bin.61	ZellerG_2014__CCIS36797902ST-4-0__bin.4	LiJ_2017__H2M513938__bin.39	ZeeviD_2015__PNP_Main_379__bin.36	ZeeviD_2015__PNP_Main_764__bin.27	CosteaPI_2017__SID713A053-11-0-0__bin.28	ZeeviD_2015__PNP_Main_215__bin.19	BritoIL_2016__W1.53.ST__bin.9	CM_madagascar__A27_02_1FE__bin.15	CosteaPI_2017__SID713A028-11-0-0__bin.34	RampelliS_2015__H1__bin.27	FengQ_2015__SID530840__bin.75	LeChatelierE_2013__MH0407__bin.34	BritoIL_2016__W1.2.ST__bin.113	HeQ_2017__SZAXPI029560-51__bin.43	BritoIL_2016__M1.22.ST__bin.48	LiJ_2014__MH0354__bin.3
LiSS_2016__FAT_006-22-42-0__bin.55	52574.0	53062.0	58892.0	54562.0	55032.0	30669.0	57805.0	51832.0	53396.0	44642.0	0.0	58432.0	56175.0	63358.0	41772.0	58979.0	28023.0	54338.0	51616.0	532.0	35910.0	824.0	44264.0	57714.0	54425.0	52608.0	14034.0	30022.0	56163.0	55667.0	55347.0	58498.0	54075.0	41661.0	23990.0	58372.0	45570.0	49840.0
CM_madagascar__V06_02_1FE__bin.13	60874.0	57322.0	56041.0	62829.0	58645.0	30029.0	58857.0	60533.0	60629.0	48476.0	58432.0	0.0	58418.0	63554.0	57182.0	62721.0	58125.0	52794.0	55945.0	58802.0	38083.0	59430.0	45795.0	55002.0	56922.0	60004.0	35646.0	56484.0	54622.0	58966.0	58462.0	56040.0	57732.0	42195.0	24946.0	52263.0	45053.0	53600.0
XieH_2016__YSZC12003_37208R1__bin.49	57843.0	55983.0	62399.0	55153.0	56797.0	31781.0	57065.0	57616.0	54530.0	45204.0	56175.0	58418.0	0.0	62618.0	54551.0	59360.0	57120.0	54347.0	53699.0	56033.0	37312.0	57668.0	46251.0	60529.0	56961.0	53796.0	35431.0	53426.0	58661.0	58404.0	57218.0	61014.0	53758.0	40780.0	25373.0	60680.0	45051.0	51706.0
RampelliS_2015__H27__bin.12	63654.0	62251.0	61433.0	65852.0	63846.0	34608.0	54628.0	63141.0	64191.0	51863.0	63358.0	63554.0	62618.0	0.0	62234.0	65945.0	63792.0	63173.0	53096.0	63319.0	37004.0	64305.0	45624.0	64529.0	59418.0	63843.0	40567.0	60781.0	62379.0	61130.0	62398.0	60718.0	63013.0	45831.0	26504.0	65322.0	51200.0	57579.0
LiuW_2016__SRR3992967__bin.73	55791.0	53300.0	59062.0	56965.0	56780.0	29933.0	59313.0	55723.0	56191.0	46898.0	41772.0	57182.0	54551.0	62234.0	0.0	58277.0	43356.0	53710.0	52830.0	42361.0	37222.0	42400.0	45458.0	58248.0	55766.0	56469.0	30119.0	42222.0	57607.0	56211.0	57446.0	58507.0	53639.0	40280.0	26092.0	58764.0	46421.0	50031.0
LiJ_2014__MH0328__bin.50	58449.0	58410.0	61483.0	60055.0	61875.0	36084.0	60019.0	58259.0	57713.0	46498.0	58979.0	62721.0	59360.0	65945.0	58277.0	0.0	59310.0	59158.0	56888.0	59350.0	38498.0	60503.0	46516.0	61555.0	57012.0	60933.0	38155.0	55642.0	63166.0	61133.0	62537.0	60792.0	57261.0	45370.0	23907.0	61090.0	48808.0	55906.0
SchirmerM_2016__G89274__bin.21	54920.0	55467.0	60142.0	55334.0	57193.0	31185.0	57176.0	54682.0	54329.0	45964.0	28023.0	58125.0	57120.0	63792.0	43356.0	59310.0	0.0	55123.0	53545.0	27184.0	37010.0	28430.0	43734.0	58216.0	55360.0	53861.0	22930.0	28321.0	57542.0	57693.0	57821.0	59298.0	54357.0	41615.0	24437.0	58155.0	45364.0	51478.0
ZeeviD_2015__PNP_Validation_15__bin.31	58201.0	54389.0	54732.0	59052.0	53701.0	27866.0	57243.0	57579.0	56560.0	46384.0	54338.0	52794.0	54347.0	63173.0	53710.0	59158.0	55123.0	0.0	53396.0	54917.0	37805.0	55249.0	44899.0	51438.0	54030.0	56973.0	35552.0	53369.0	53230.0	53530.0	53606.0	53483.0	54857.0	41508.0	23948.0	51581.0	42934.0	50034.0
RampelliS_2015__H9__bin.17	53693.0	53541.0	52046.0	56001.0	52570.0	29486.0	52005.0	53929.0	54383.0	44615.0	51616.0	55945.0	53699.0	53096.0	52830.0	56888.0	53545.0	53396.0	0.0	52349.0	7592.0	52437.0	42044.0	56198.0	53287.0	55700.0	34498.0	52472.0	54297.0	53378.0	52840.0	52431.0	53582.0	39921.0	23944.0	55390.0	41841.0	50153.0
LiSS_2016__FAT_006-22-84-0__bin.37	52404.0	53590.0	59743.0	55507.0	54740.0	31065.0	58378.0	52011.0	54076.0	44870.0	532.0	58802.0	56033.0	63319.0	42361.0	59350.0	27184.0	54917.0	52349.0	0.0	36893.0	706.0	44709.0	58642.0	54798.0	53038.0	13981.0	30022.0	56468.0	55956.0	55276.0	58782.0	53648.0	41242.0	24446.0	58250.0	45352.0	50779.0
RampelliS_2015__H15__bin.31	38472.0	35428.0	34451.0	39537.0	37067.0	24345.0	35428.0	38332.0	37289.0	32257.0	35910.0	38083.0	37312.0	37004.0	37222.0	38498.0	37010.0	37805.0	7592.0	36893.0	0.0	36554.0	28975.0	37989.0	37108.0	37749.0	29572.0	35875.0	35996.0	37168.0	36788.0	34743.0	37876.0	32585.0	20535.0	37231.0	29255.0	34848.0
LiSS_2016__FAT_006-22-0-0__bin.61	53583.0	53852.0	60393.0	55810.0	56788.0	31355.0	58711.0	52828.0	54277.0	45087.0	824.0	59430.0	57668.0	64305.0	42400.0	60503.0	28430.0	55249.0	52437.0	706.0	36554.0	0.0	44600.0	60048.0	55405.0	54181.0	13852.0	30410.0	57235.0	57276.0	57209.0	59377.0	54955.0	42164.0	24333.0	59607.0	46137.0	51666.0
ZellerG_2014__CCIS36797902ST-4-0__bin.4	45258.0	45090.0	45410.0	45324.0	45674.0	24404.0	45035.0	45058.0	44768.0	38820.0	44264.0	45795.0	46251.0	45624.0	45458.0	46516.0	43734.0	44899.0	42044.0	44709.0	28975.0	44600.0	0.0	45324.0	43573.0	46911.0	29544.0	42953.0	43410.0	45302.0	45484.0	45693.0	45629.0	34478.0	20173.0	45492.0	34839.0	41822.0
LiJ_2017__H2M513938__bin.39	59518.0	56169.0	54314.0	60068.0	56674.0	31719.0	58247.0	59879.0	57714.0	49463.0	57714.0	55002.0	60529.0	64529.0	58248.0	61555.0	58216.0	51438.0	56198.0	58642.0	37989.0	60048.0	45324.0	0.0	58566.0	60093.0	36700.0	55888.0	55757.0	57953.0	57334.0	53976.0	58917.0	43529.0	23664.0	50649.0	44596.0	53771.0
ZeeviD_2015__PNP_Main_379__bin.36	56387.0	54526.0	59963.0	60379.0	54812.0	31321.0	56569.0	56725.0	57503.0	42711.0	54425.0	56922.0	56961.0	59418.0	55766.0	57012.0	55360.0	54030.0	53287.0	54798.0	37108.0	55405.0	43573.0	58566.0	0.0	58479.0	36354.0	52990.0	56981.0	57178.0	55041.0	58086.0	55700.0	40277.0	24044.0	57899.0	44396.0	48507.0
ZeeviD_2015__PNP_Main_764__bin.27	54671.0	56333.0	60662.0	59407.0	58218.0	31793.0	60411.0	54386.0	57131.0	48013.0	52608.0	60004.0	53796.0	63843.0	56469.0	60933.0	53861.0	56973.0	55700.0	53038.0	37749.0	54181.0	46911.0	60093.0	58479.0	0.0	34723.0	52124.0	56992.0	58787.0	58374.0	60012.0	54928.0	41227.0	25316.0	60856.0	44427.0	51672.0
CosteaPI_2017__SID713A053-11-0-0__bin.28	35248.0	33301.0	36661.0	35705.0	33896.0	22326.0	37084.0	35033.0	34890.0	29567.0	14034.0	35646.0	35431.0	40567.0	30119.0	38155.0	22930.0	35552.0	34498.0	13981.0	29572.0	13852.0	29544.0	36700.0	36354.0	34723.0	0.0	23415.0	35261.0	35368.0	33756.0	36542.0	34935.0	32898.0	19537.0	35616.0	30719.0	33785.0
ZeeviD_2015__PNP_Main_215__bin.19	53242.0	52042.0	58154.0	53163.0	52689.0	30753.0	56017.0	52958.0	51632.0	42831.0	30022.0	56484.0	53426.0	60781.0	42222.0	55642.0	28321.0	53369.0	52472.0	30022.0	35875.0	30410.0	42953.0	55888.0	52990.0	52124.0	23415.0	0.0	54207.0	54090.0	53107.0	58333.0	53168.0	39754.0	24167.0	55573.0	42016.0	49008.0
BritoIL_2016__W1.53.ST__bin.9	58134.0	55592.0	59132.0	58907.0	56072.0	29642.0	55397.0	58258.0	57463.0	45728.0	56163.0	54622.0	58661.0	62379.0	57607.0	63166.0	57542.0	53230.0	54297.0	56468.0	35996.0	57235.0	43410.0	55757.0	56981.0	56992.0	35261.0	54207.0	0.0	57495.0	56258.0	57486.0	57777.0	41561.0	24202.0	54795.0	43303.0	52253.0
CM_madagascar__A27_02_1FE__bin.15	59793.0	56551.0	60716.0	59997.0	57593.0	31249.0	58414.0	59269.0	57888.0	44798.0	55667.0	58966.0	58404.0	61130.0	56211.0	61133.0	57693.0	53530.0	53378.0	55956.0	37168.0	57276.0	45302.0	57953.0	57178.0	58787.0	35368.0	54090.0	57495.0	0.0	58079.0	59145.0	56406.0	43206.0	24939.0	58730.0	44366.0	53619.0
CosteaPI_2017__SID713A028-11-0-0__bin.34	57678.0	55418.0	60543.0	62242.0	943.0	30076.0	59459.0	56999.0	60522.0	44946.0	55347.0	58462.0	57218.0	62398.0	57446.0	62537.0	57821.0	53606.0	52840.0	55276.0	36788.0	57209.0	45484.0	57334.0	55041.0	58374.0	33756.0	53107.0	56258.0	58079.0	0.0	58539.0	55835.0	41261.0	24198.0	57919.0	47284.0	51675.0
RampelliS_2015__H1__bin.27	58815.0	57268.0	5080.0	62849.0	58711.0	30028.0	56337.0	59101.0	60768.0	47465.0	58498.0	56040.0	61014.0	60718.0	58507.0	60792.0	59298.0	53483.0	52431.0	58782.0	34743.0	59377.0	45693.0	53976.0	58086.0	60012.0	36542.0	58333.0	57486.0	59145.0	58539.0	0.0	58099.0	44723.0	25988.0	53506.0	45123.0	52786.0
FengQ_2015__SID530840__bin.75	56741.0	53882.0	58450.0	56412.0	55931.0	31536.0	58581.0	56412.0	55443.0	44914.0	54075.0	57732.0	53758.0	63013.0	53639.0	57261.0	54357.0	54857.0	53582.0	53648.0	37876.0	54955.0	45629.0	58917.0	55700.0	54928.0	34935.0	53168.0	57777.0	56406.0	55835.0	58099.0	0.0	40417.0	25379.0	59104.0	43845.0	50344.0
LeChatelierE_2013__MH0407__bin.34	43707.0	40339.0	44888.0	40571.0	41219.0	25419.0	43062.0	43565.0	39789.0	33241.0	41661.0	42195.0	40780.0	45831.0	40280.0	45370.0	41615.0	41508.0	39921.0	41242.0	32585.0	42164.0	34478.0	43529.0	40277.0	41227.0	32898.0	39754.0	41561.0	43206.0	41261.0	44723.0	40417.0	0.0	20140.0	43842.0	33643.0	38889.0
BritoIL_2016__W1.2.ST__bin.113	24951.0	24189.0	26221.0	24958.0	24208.0	17903.0	25804.0	24938.0	24249.0	19347.0	23990.0	24946.0	25373.0	26504.0	26092.0	23907.0	24437.0	23948.0	23944.0	24446.0	20535.0	24333.0	20173.0	23664.0	24044.0	25316.0	19537.0	24167.0	24202.0	24939.0	24198.0	25988.0	25379.0	20140.0	0.0	24387.0	20392.0	22279.0
HeQ_2017__SZAXPI029560-51__bin.43	59669.0	56469.0	54710.0	60735.0	57782.0	27740.0	57053.0	59910.0	59409.0	48644.0	58372.0	52263.0	60680.0	65322.0	58764.0	61090.0	58155.0	51581.0	55390.0	58250.0	37231.0	59607.0	45492.0	50649.0	57899.0	60856.0	35616.0	55573.0	54795.0	58730.0	57919.0	53506.0	59104.0	43842.0	24387.0	0.0	45852.0	53546.0
BritoIL_2016__M1.22.ST__bin.48	47335.0	44668.0	44714.0	45923.0	47167.0	25007.0	43760.0	47070.0	44817.0	37526.0	45570.0	45053.0	45051.0	51200.0	46421.0	48808.0	45364.0	42934.0	41841.0	45352.0	29255.0	46137.0	34839.0	44596.0	44396.0	44427.0	30719.0	42016.0	43303.0	44366.0	47284.0	45123.0	43845.0	33643.0	20392.0	45852.0	0.0	42853.0
LiJ_2014__MH0354__bin.3	52436.0	51443.0	52316.0	53189.0	51514.0	27275.0	54192.0	52397.0	51626.0	39817.0	49840.0	53600.0	51706.0	57579.0	50031.0	55906.0	51478.0	50034.0	50153.0	50779.0	34848.0	51666.0	41822.0	53771.0	48507.0	51672.0	33785.0	49008.0	52253.0	53619.0	51675.0	52786.0	50344.0	38889.0	22279.0	53546.0	42853.0	0.0
