	ZeeviD_2015__PNP_Main_479__bin.30	LiuW_2016__SRR3992994__bin.26	RampelliS_2015__H20__bin.28	XieH_2016__YSZC12003_36034__bin.76	CosteaPI_2017__SID713A028-11-90-0__bin.62	XieH_2016__YSZC12003_37315__bin.25	RampelliS_2015__H16__bin.35	ZeeviD_2015__PNP_Main_443__bin.23	XieH_2016__YSZC12003_36033__bin.88	VincentC_2016__MM100.1__bin.9	LiSS_2016__FAT_006-22-42-0__bin.55	CM_madagascar__V06_02_1FE__bin.13	XieH_2016__YSZC12003_37208R1__bin.49	RampelliS_2015__H27__bin.12	LiuW_2016__SRR3992967__bin.73	LiJ_2014__MH0328__bin.50	SchirmerM_2016__G89274__bin.21	ZeeviD_2015__PNP_Validation_15__bin.31	RampelliS_2015__H9__bin.17	LiSS_2016__FAT_006-22-84-0__bin.37	RampelliS_2015__H15__bin.31	LiSS_2016__FAT_006-22-0-0__bin.61	ZellerG_2014__CCIS36797902ST-4-0__bin.4	LiJ_2017__H2M513938__bin.39	ZeeviD_2015__PNP_Main_379__bin.36	ZeeviD_2015__PNP_Main_764__bin.27	CosteaPI_2017__SID713A053-11-0-0__bin.28	ZeeviD_2015__PNP_Main_215__bin.19	BritoIL_2016__W1.53.ST__bin.9	CM_madagascar__A27_02_1FE__bin.15	CosteaPI_2017__SID713A028-11-0-0__bin.34	RampelliS_2015__H1__bin.27	FengQ_2015__SID530840__bin.75	LeChatelierE_2013__MH0407__bin.34	BritoIL_2016__W1.2.ST__bin.113	HeQ_2017__SZAXPI029560-51__bin.43	BritoIL_2016__M1.22.ST__bin.48	LiJ_2014__MH0354__bin.3
LiSS_2016__FAT_006-22-42-0__bin.55	2630815.0	2381484.0	2449966.0	2560994.0	2631280.0	1429968.0	2034526.0	2632986.0	2498525.0	2090935.0	2888538.0	2561013.0	2575775.0	2460375.0	2614164.0	2468177.0	2743962.0	2484708.0	2190556.0	2848250.0	1528336.0	2866392.0	1658432.0	2492567.0	2459348.0	2592281.0	1706871.0	2599955.0	2491030.0	2496595.0	2648169.0	2449372.0	2470771.0	1958034.0	1263936.0	2555549.0	1917132.0	2427673.0
CM_madagascar__V06_02_1FE__bin.13	2598265.0	2485917.0	2581056.0	2625064.0	2695238.0	1513349.0	2137498.0	2601396.0	2546582.0	2157967.0	2561013.0	3188556.0	2597594.0	2492569.0	2573580.0	2522809.0	2533650.0	2650069.0	2274051.0	2586636.0	1612867.0	2620947.0	1707381.0	2623125.0	2460913.0	2606204.0	1653797.0	2452482.0	2644641.0	2645144.0	2686629.0	2590064.0	2470617.0	1934687.0	1242013.0	2700155.0	1985226.0	2461582.0
XieH_2016__YSZC12003_37208R1__bin.49	2615452.0	2404728.0	2556257.0	2532331.0	2624978.0	1479760.0	2101243.0	2622796.0	2476473.0	2178761.0	2575775.0	2597594.0	3188968.0	2515063.0	2567339.0	2556406.0	2634970.0	2497087.0	2276105.0	2607727.0	1595159.0	2648828.0	1646329.0	2588224.0	2533380.0	2672306.0	1689910.0	2514548.0	2540843.0	2602590.0	2650019.0	2528729.0	2535335.0	1994694.0	1247570.0	2596308.0	1919000.0	2443981.0
RampelliS_2015__H27__bin.12	2477441.0	2325841.0	2433810.0	2466277.0	2600856.0	1408273.0	2147114.0	2481720.0	2405826.0	2074074.0	2460375.0	2492569.0	2515063.0	3161382.0	2418429.0	2410485.0	2439473.0	2445282.0	2238504.0	2491128.0	1617771.0	2519535.0	1625937.0	2468136.0	2444401.0	2521011.0	1598367.0	2367572.0	2419331.0	2477691.0	2604431.0	2427246.0	2382708.0	1900849.0	1219029.0	2489108.0	1918743.0	2367604.0
LiuW_2016__SRR3992967__bin.73	2577231.0	2489636.0	2527136.0	2596649.0	2640176.0	1438797.0	2132208.0	2579386.0	2530462.0	2142430.0	2614164.0	2573580.0	2567339.0	2418429.0	3013023.0	2441464.0	2613602.0	2504396.0	2223035.0	2654744.0	1554348.0	2684753.0	1681887.0	2559445.0	2461476.0	2660027.0	1688428.0	2532480.0	2499741.0	2515133.0	2658238.0	2492859.0	2441224.0	1932489.0	1271045.0	2580041.0	1861975.0	2408612.0
LiJ_2014__MH0328__bin.50	2480511.0	2333979.0	2391101.0	2498237.0	2544668.0	1439969.0	2023894.0	2481496.0	2427225.0	2063942.0	2468177.0	2522809.0	2556406.0	2410485.0	2441464.0	2972747.0	2473997.0	2380106.0	2168146.0	2485697.0	1501576.0	2537733.0	1570154.0	2474942.0	2413929.0	2497504.0	1557395.0	2382103.0	2458000.0	2504916.0	2564620.0	2384108.0	2427233.0	1950104.0	1196755.0	2466242.0	1844175.0	2434628.0
SchirmerM_2016__G89274__bin.21	2600769.0	2388188.0	2449862.0	2523338.0	2592126.0	1411082.0	2017863.0	2609638.0	2472261.0	2074505.0	2743962.0	2533650.0	2634970.0	2439473.0	2613602.0	2473997.0	2968097.0	2442845.0	2195562.0	2731866.0	1539550.0	2807023.0	1615660.0	2501273.0	2472471.0	2600538.0	1722551.0	2650572.0	2472577.0	2493788.0	2613775.0	2446372.0	2476632.0	1978646.0	1245661.0	2531944.0	1908702.0	2427810.0
ZeeviD_2015__PNP_Validation_15__bin.31	2511417.0	2373598.0	2488507.0	2537918.0	2644128.0	1460391.0	2078644.0	2504945.0	2478947.0	2088043.0	2484708.0	2650069.0	2497087.0	2445282.0	2504396.0	2380106.0	2442845.0	3013512.0	2236499.0	2509903.0	1613231.0	2524038.0	1622469.0	2534168.0	2406266.0	2504291.0	1625560.0	2411069.0	2524207.0	2538239.0	2626546.0	2452757.0	2421193.0	1888417.0	1256815.0	2631972.0	1956512.0	2389327.0
RampelliS_2015__H9__bin.17	2198218.0	2154881.0	2233564.0	2247442.0	2309427.0	1310024.0	1969040.0	2209814.0	2189935.0	1959361.0	2190556.0	2274051.0	2276105.0	2238504.0	2223035.0	2168146.0	2195562.0	2236499.0	2638198.0	2211637.0	1634592.0	2204396.0	1487099.0	2263415.0	2242176.0	2288929.0	1443027.0	2138629.0	2188097.0	2321255.0	2311182.0	2201038.0	2203330.0	1765560.0	1161658.0	2265074.0	1686444.0	2132895.0
LiSS_2016__FAT_006-22-84-0__bin.37	2622853.0	2408184.0	2485485.0	2597572.0	2642197.0	1448828.0	2060415.0	2631635.0	2535515.0	2110463.0	2848250.0	2586636.0	2607727.0	2491128.0	2654744.0	2485697.0	2731866.0	2509903.0	2211637.0	2888514.0	1554617.0	2880866.0	1676085.0	2513742.0	2494091.0	2630703.0	1740864.0	2601729.0	2533515.0	2523449.0	2670765.0	2458738.0	2483641.0	1985382.0	1274399.0	2566627.0	1922473.0	2446389.0
RampelliS_2015__H15__bin.31	1533029.0	1496946.0	1581878.0	1612258.0	1643098.0	1044238.0	1404095.0	1536334.0	1575181.0	1402430.0	1528336.0	1612867.0	1595159.0	1617771.0	1554348.0	1501576.0	1539550.0	1613231.0	1634592.0	1554617.0	1907746.0	1561944.0	1080554.0	1614092.0	1547962.0	1584965.0	1379825.0	1484354.0	1492696.0	1636725.0	1641217.0	1569123.0	1543815.0	1502027.0	940638.0	1608507.0	1228462.0	1542284.0
LiSS_2016__FAT_006-22-0-0__bin.61	2669403.0	2413335.0	2491761.0	2609651.0	2677567.0	1462930.0	2069329.0	2674787.0	2546295.0	2111004.0	2866392.0	2620947.0	2648828.0	2519535.0	2684753.0	2537733.0	2807023.0	2524038.0	2204396.0	2880866.0	1561944.0	2998933.0	1676480.0	2558439.0	2506743.0	2658735.0	1764786.0	2630436.0	2551917.0	2543237.0	2711032.0	2490263.0	2513063.0	2004930.0	1266693.0	2610354.0	1949865.0	2490975.0
ZellerG_2014__CCIS36797902ST-4-0__bin.4	1638910.0	1622692.0	1654146.0	1677859.0	1742853.0	833940.0	1445326.0	1640248.0	1657559.0	1463982.0	1658432.0	1707381.0	1646329.0	1625937.0	1681887.0	1570154.0	1615660.0	1622469.0	1487099.0	1676085.0	1080554.0	1676480.0	1945264.0	1682569.0	1578760.0	1682394.0	1062849.0	1585971.0	1610198.0	1644675.0	1744854.0	1651277.0	1595051.0	1260723.0	751322.0	1665304.0	1222924.0	1571965.0
LiJ_2017__H2M513938__bin.39	2596060.0	2452494.0	2609930.0	2574628.0	2657307.0	1530186.0	2099751.0	2594400.0	2509479.0	2165014.0	2492567.0	2623125.0	2588224.0	2468136.0	2559445.0	2474942.0	2501273.0	2534168.0	2263415.0	2513742.0	1614092.0	2558439.0	1682569.0	3081397.0	2483339.0	2608648.0	1615786.0	2440229.0	2560609.0	2558432.0	2668997.0	2604192.0	2455941.0	1951286.0	1269873.0	2754719.0	1937390.0	2471749.0
ZeeviD_2015__PNP_Main_379__bin.36	2507274.0	2297822.0	2447569.0	2555809.0	2558375.0	1419351.0	2026354.0	2512458.0	2448534.0	2087593.0	2459348.0	2460913.0	2533380.0	2444401.0	2461476.0	2413929.0	2472471.0	2406266.0	2242176.0	2494091.0	1547962.0	2506743.0	1578760.0	2483339.0	3009933.0	2567108.0	1552791.0	2389712.0	2457450.0	2554502.0	2574443.0	2391993.0	2501462.0	1964471.0	1251542.0	2497126.0	1869222.0	2352834.0
ZeeviD_2015__PNP_Main_764__bin.27	2645276.0	2413896.0	2569098.0	2628415.0	2668345.0	1489800.0	2154637.0	2650230.0	2524916.0	2182779.0	2592281.0	2606204.0	2672306.0	2521011.0	2660027.0	2497504.0	2600538.0	2504291.0	2288929.0	2630703.0	1584965.0	2658735.0	1682394.0	2608648.0	2567108.0	3090181.0	1686602.0	2531607.0	2573567.0	2592895.0	2675969.0	2546379.0	2543162.0	1992966.0	1266783.0	2572631.0	1963195.0	2438637.0
CosteaPI_2017__SID713A053-11-0-0__bin.28	1641534.0	1530856.0	1590773.0	1640068.0	1642710.0	1009163.0	1382037.0	1645941.0	1626100.0	1368712.0	1706871.0	1653797.0	1689910.0	1598367.0	1688428.0	1557395.0	1722551.0	1625560.0	1443027.0	1740864.0	1379825.0	1764786.0	1062849.0	1615786.0	1552791.0	1686602.0	1888405.0	1647200.0	1588949.0	1595184.0	1647090.0	1577836.0	1556748.0	1580835.0	947428.0	1629804.0	1254836.0	1612066.0
ZeeviD_2015__PNP_Main_215__bin.19	2542810.0	2316232.0	2421233.0	2444668.0	2522489.0	1394374.0	1996775.0	2540670.0	2394554.0	2029544.0	2599955.0	2452482.0	2514548.0	2367572.0	2532480.0	2382103.0	2650572.0	2411069.0	2138629.0	2601729.0	1484354.0	2630436.0	1585971.0	2440229.0	2389712.0	2531607.0	1647200.0	2796003.0	2423231.0	2393661.0	2531317.0	2398872.0	2421359.0	1895124.0	1208081.0	2466494.0	1840606.0	2363665.0
BritoIL_2016__W1.53.ST__bin.9	2541614.0	2400632.0	2527756.0	2482807.0	2599624.0	1453712.0	2025724.0	2548684.0	2420957.0	2079316.0	2491030.0	2644641.0	2540843.0	2419331.0	2499741.0	2458000.0	2472577.0	2524207.0	2188097.0	2533515.0	1492696.0	2551917.0	1610198.0	2560609.0	2457450.0	2573567.0	1588949.0	2423231.0	2990903.0	2520515.0	2618748.0	2483534.0	2446241.0	1861683.0	1218782.0	2561709.0	1923809.0	2389762.0
CM_madagascar__A27_02_1FE__bin.15	2518278.0	2406076.0	2533781.0	2552878.0	2629928.0	1506446.0	2129885.0	2520766.0	2483048.0	2159343.0	2496595.0	2645144.0	2602590.0	2477691.0	2515133.0	2504916.0	2493788.0	2538239.0	2321255.0	2523449.0	1636725.0	2543237.0	1644675.0	2558432.0	2554502.0	2592895.0	1595184.0	2393661.0	2520515.0	3056711.0	2639152.0	2506128.0	2525614.0	1981270.0	1285282.0	2606865.0	1945035.0	2455592.0
CosteaPI_2017__SID713A028-11-0-0__bin.34	2615237.0	2541180.0	2666117.0	2749329.0	3356645.0	1550507.0	2188977.0	2618159.0	2683241.0	2232501.0	2648169.0	2686629.0	2650019.0	2604431.0	2658238.0	2564620.0	2613775.0	2626546.0	2311182.0	2670765.0	1641217.0	2711032.0	1744854.0	2668997.0	2574443.0	2675969.0	1647090.0	2531317.0	2618748.0	2639152.0	3385926.0	2627923.0	2505270.0	1996921.0	1334861.0	2734740.0	2021537.0	2545719.0
RampelliS_2015__H1__bin.27	2512242.0	2388750.0	2974717.0	2520590.0	2622999.0	1450058.0	2076625.0	2518074.0	2462142.0	2098013.0	2449372.0	2590064.0	2528729.0	2427246.0	2492859.0	2384108.0	2446372.0	2452757.0	2201038.0	2458738.0	1569123.0	2490263.0	1651277.0	2604192.0	2391993.0	2546379.0	1577836.0	2398872.0	2483534.0	2506128.0	2627923.0	3216355.0	2369342.0	1882714.0	1224271.0	2633949.0	1873038.0	2356049.0
FengQ_2015__SID530840__bin.75	2523847.0	2307084.0	2402126.0	2459406.0	2493723.0	1394938.0	2028733.0	2523624.0	2411935.0	2097997.0	2470771.0	2470617.0	2535335.0	2382708.0	2441224.0	2427233.0	2476632.0	2421193.0	2203330.0	2483641.0	1543815.0	2513063.0	1595051.0	2455941.0	2501462.0	2543162.0	1556748.0	2421359.0	2446241.0	2525614.0	2505270.0	2369342.0	2816455.0	1941785.0	1209666.0	2515112.0	1904872.0	2344579.0
LeChatelierE_2013__MH0407__bin.34	1962942.0	1837895.0	1898131.0	1992072.0	1990959.0	1219130.0	1604701.0	1966305.0	1957739.0	1662585.0	1958034.0	1934687.0	1994694.0	1900849.0	1932489.0	1950104.0	1978646.0	1888417.0	1765560.0	1985382.0	1502027.0	2004930.0	1260723.0	1951286.0	1964471.0	1992966.0	1580835.0	1895124.0	1861683.0	1981270.0	1996921.0	1882714.0	1941785.0	2338627.0	1097711.0	1964236.0	1466040.0	1885235.0
BritoIL_2016__W1.2.ST__bin.113	1224931.0	1201106.0	1237433.0	1282355.0	1329219.0	1015414.0	1082760.0	1238199.0	1268484.0	1109064.0	1263936.0	1242013.0	1247570.0	1219029.0	1271045.0	1196755.0	1245661.0	1256815.0	1161658.0	1274399.0	940638.0	1266693.0	751322.0	1269873.0	1251542.0	1266783.0	947428.0	1208081.0	1218782.0	1285282.0	1334861.0	1224271.0	1209666.0	1097711.0	1513063.0	1271552.0	992589.0	1183519.0
HeQ_2017__SZAXPI029560-51__bin.43	2586494.0	2486210.0	2645513.0	2625126.0	2728395.0	1497753.0	2091837.0	2590062.0	2553129.0	2108017.0	2555549.0	2700155.0	2596308.0	2489108.0	2580041.0	2466242.0	2531944.0	2631972.0	2265074.0	2566627.0	1608507.0	2610354.0	1665304.0	2754719.0	2497126.0	2572631.0	1629804.0	2466494.0	2561709.0	2606865.0	2734740.0	2633949.0	2515112.0	1964236.0	1271552.0	3169992.0	1993346.0	2466394.0
BritoIL_2016__M1.22.ST__bin.48	1962064.0	1784097.0	1880526.0	1950429.0	2024522.0	1149163.0	1571351.0	1956816.0	1890815.0	1596638.0	1917132.0	1985226.0	1919000.0	1918743.0	1861975.0	1844175.0	1908702.0	1956512.0	1686444.0	1922473.0	1228462.0	1949865.0	1222924.0	1937390.0	1869222.0	1963195.0	1254836.0	1840606.0	1923809.0	1945035.0	2021537.0	1873038.0	1904872.0	1466040.0	992589.0	1993346.0	2350137.0	1819201.0
LiJ_2014__MH0354__bin.3	2474672.0	2268790.0	2371362.0	2431002.0	2525686.0	1395046.0	1969494.0	2480398.0	2368086.0	2013070.0	2427673.0	2461582.0	2443981.0	2367604.0	2408612.0	2434628.0	2427810.0	2389327.0	2132895.0	2446389.0	1542284.0	2490975.0	1571965.0	2471749.0	2352834.0	2438637.0	1612066.0	2363665.0	2389762.0	2455592.0	2545719.0	2356049.0	2344579.0	1885235.0	1183519.0	2466394.0	1819201.0	2878594.0
