	XieH_2016__YSZC12003_35980__bin.22	NielsenHB_2014__MH0143__bin.55	ZeeviD_2015__PNP_Validation_18__bin.33	ZeeviD_2015__PNP_Main_650__bin.10	ZeeviD_2015__PNP_Main_677__bin.43	ZeeviD_2015__PNP_Main_505__bin.26	LiJ_2014__MH0222__bin.37	ZeeviD_2015__PNP_Main_379__bin.25	ZeeviD_2015__PNP_Main_93__bin.14	ZeeviD_2015__PNP_Main_742__bin.11	ZeeviD_2015__PNP_Main_706__bin.10	LeChatelierE_2013__MH0143__bin.30	LiJ_2014__MH0303__bin.38	ZeeviD_2015__PNP_Main_107__bin.29	ZeeviD_2015__PNP_Main_365__bin.14	ZeeviD_2015__PNP_Main_113__bin.17	LeChatelierE_2013__MH0276__bin.90	ZeeviD_2015__PNP_Main_589__bin.77	ZeeviD_2015__PNP_Main_616__bin.38	ZeeviD_2015__PNP_Main_683__bin.44	ZeeviD_2015__PNP_Main_27__bin.61	ZellerG_2014__CCIS74726977ST-3-0__bin.51	LiJ_2014__MH0395__bin.25	ZeeviD_2015__PNP_Main_670__bin.6	ZeeviD_2015__PNP_Main_800__bin.3	ZeeviD_2015__PNP_Main_635__bin.14	ZeeviD_2015__PNP_DietIntervention_51__bin.5	ZeeviD_2015__PNP_Main_46__bin.50
ZeeviD_2015__PNP_Main_706__bin.10	1655458.0	1796809.0	1947412.0	1600700.0	1651092.0	1382030.0	1918391.0	1696707.0	1962961.0	960386.0	2109307.0	1837771.0	1943066.0	1796864.0	1832367.0	1954522.0	2017149.0	1347784.0	1247546.0	1713851.0	1853009.0	1952822.0	1910983.0	1222969.0	1524543.0	1132198.0	1098380.0	1936537.0
LeChatelierE_2013__MH0143__bin.30	1573912.0	1802984.0	1820140.0	1512829.0	1553458.0	1288842.0	1833195.0	1567700.0	1838119.0	868066.0	1837771.0	1931265.0	1788274.0	1664550.0	1700443.0	1812210.0	1828542.0	1289307.0	1054393.0	1521630.0	1745827.0	1787304.0	1745309.0	1097200.0	1390607.0	1029753.0	1011078.0	1770334.0
LiJ_2014__MH0303__bin.38	1652839.0	1823979.0	1939723.0	1574247.0	1616903.0	1404799.0	1899803.0	1682196.0	1921988.0	949479.0	1943066.0	1788274.0	2094125.0	1774348.0	1795766.0	1946300.0	2000083.0	1333693.0	1153462.0	1637554.0	1818630.0	1951114.0	1913541.0	1230704.0	1510488.0	1111487.0	1096363.0	1900137.0
ZeeviD_2015__PNP_Main_107__bin.29	1691181.0	1681576.0	1791977.0	1449003.0	1502290.0	1342782.0	1776408.0	1535120.0	1822060.0	901887.0	1796864.0	1664550.0	1774348.0	2130852.0	1890971.0	1844070.0	1851125.0	1232495.0	1072321.0	1502874.0	1694705.0	1814629.0	1773286.0	1141114.0	1398673.0	1041159.0	1121803.0	1789012.0
ZeeviD_2015__PNP_Main_365__bin.14	1772440.0	1699300.0	1811006.0	1488718.0	1536125.0	1320194.0	1825347.0	1554343.0	1845789.0	903458.0	1832367.0	1700443.0	1795766.0	1890971.0	2120405.0	1881088.0	1851297.0	1252469.0	1115306.0	1539175.0	1766733.0	1819777.0	1795305.0	1158769.0	1419267.0	1037500.0	1165215.0	1799453.0
ZeeviD_2015__PNP_Main_113__bin.17	1678837.0	1810933.0	2061898.0	1595345.0	1645653.0	1441933.0	1942631.0	1680197.0	1994462.0	982202.0	1954522.0	1812210.0	1946300.0	1844070.0	1881088.0	2212112.0	1980001.0	1426188.0	1194435.0	1646752.0	1889847.0	1982885.0	1924238.0	1235902.0	1522010.0	1169922.0	1116059.0	1930336.0
LeChatelierE_2013__MH0276__bin.90	1694877.0	1845552.0	1954980.0	1614016.0	1658867.0	1399265.0	1939610.0	1696964.0	1964956.0	974376.0	2017149.0	1828542.0	2000083.0	1851125.0	1851297.0	1980001.0	2239508.0	1358949.0	1194042.0	1663767.0	1852436.0	1994219.0	1939556.0	1229886.0	1538967.0	1118977.0	1116728.0	1945156.0
ZeeviD_2015__PNP_Main_589__bin.77	1135579.0	1242087.0	1433090.0	1345127.0	1341403.0	795079.0	1350425.0	1098253.0	1369159.0	364743.0	1347784.0	1289307.0	1333693.0	1232495.0	1252469.0	1426188.0	1358949.0	1452317.0	543875.0	1335259.0	1349963.0	1365614.0	1288819.0	738298.0	961968.0	567917.0	667420.0	1327448.0
ZeeviD_2015__PNP_Main_616__bin.38	990237.0	1059190.0	1144924.0	795266.0	846694.0	1143498.0	1121026.0	1066099.0	1157139.0	968250.0	1247546.0	1054393.0	1153462.0	1072321.0	1115306.0	1194435.0	1194042.0	543875.0	1292107.0	896762.0	1079338.0	1156250.0	1145488.0	861179.0	1008823.0	1080977.0	755741.0	1140833.0
ZeeviD_2015__PNP_Main_683__bin.44	1380142.0	1504232.0	1642181.0	1585831.0	1587043.0	1085316.0	1612592.0	1380055.0	1657265.0	651225.0	1713851.0	1521630.0	1637554.0	1502874.0	1539175.0	1646752.0	1663767.0	1335259.0	896762.0	1762364.0	1568757.0	1642500.0	1599521.0	942595.0	1232541.0	812764.0	861197.0	1614760.0
ZeeviD_2015__PNP_Main_27__bin.61	1575275.0	1746503.0	1854870.0	1547493.0	1593301.0	1302280.0	1899698.0	1580383.0	1858918.0	849363.0	1853009.0	1745827.0	1818630.0	1694705.0	1766733.0	1889847.0	1852436.0	1349963.0	1079338.0	1568757.0	1964765.0	1848500.0	1774796.0	1145974.0	1427288.0	1057978.0	1032914.0	1829381.0
ZellerG_2014__CCIS74726977ST-3-0__bin.51	1650475.0	1798684.0	1988936.0	1572968.0	1640281.0	1404903.0	1888557.0	1661745.0	1947972.0	979943.0	1952822.0	1787304.0	1951114.0	1814629.0	1819777.0	1982885.0	1994219.0	1365614.0	1156250.0	1642500.0	1848500.0	2136086.0	1887672.0	1209425.0	1501710.0	1151693.0	1090894.0	1914003.0
LiJ_2014__MH0395__bin.25	1608868.0	1782787.0	1884728.0	1529816.0	1581129.0	1381004.0	1872261.0	1630085.0	1908827.0	913509.0	1910983.0	1745309.0	1913541.0	1773286.0	1795305.0	1924238.0	1939556.0	1288819.0	1145488.0	1599521.0	1774796.0	1887672.0	2063758.0	1219245.0	1472377.0	1083215.0	1075318.0	1893759.0
ZeeviD_2015__PNP_Main_670__bin.6	1049850.0	1128391.0	1214066.0	900657.0	949220.0	1012348.0	1200152.0	1100810.0	1213785.0	744415.0	1222969.0	1097200.0	1230704.0	1141114.0	1158769.0	1235902.0	1229886.0	738298.0	861179.0	942595.0	1145974.0	1209425.0	1219245.0	1345497.0	999461.0	832869.0	733016.0	1209220.0
ZeeviD_2015__PNP_Main_800__bin.3	1310354.0	1398522.0	1510877.0	1181813.0	1229154.0	1162445.0	1490453.0	1343977.0	1509011.0	843555.0	1524543.0	1390607.0	1510488.0	1398673.0	1419267.0	1522010.0	1538967.0	961968.0	1008823.0	1232541.0	1427288.0	1501710.0	1472377.0	999461.0	1562220.0	971034.0	910712.0	1485982.0
ZeeviD_2015__PNP_Main_635__bin.14	975215.0	1035412.0	1178127.0	786869.0	847128.0	1141921.0	1094212.0	1016279.0	1111415.0	952981.0	1132198.0	1029753.0	1111487.0	1041159.0	1037500.0	1169922.0	1118977.0	567917.0	1080977.0	812764.0	1057978.0	1151693.0	1083215.0	832869.0	971034.0	1186624.0	745313.0	1111079.0
ZeeviD_2015__PNP_DietIntervention_51__bin.5	1104863.0	1030985.0	1105687.0	813473.0	866666.0	855912.0	1074527.0	974369.0	1099329.0	652966.0	1098380.0	1011078.0	1096363.0	1121803.0	1165215.0	1116059.0	1116728.0	667420.0	755741.0	861197.0	1032914.0	1090894.0	1075318.0	733016.0	910712.0	745313.0	1225897.0	1085691.0
ZeeviD_2015__PNP_Main_46__bin.50	1623874.0	1769416.0	1923406.0	1548982.0	1624643.0	1384728.0	1908072.0	1635761.0	1938606.0	936497.0	1936537.0	1770334.0	1900137.0	1789012.0	1799453.0	1930336.0	1945156.0	1327448.0	1140833.0	1614760.0	1829381.0	1914003.0	1893759.0	1209220.0	1485982.0	1111079.0	1085691.0	2063098.0
