	XieH_2016__YSZC12003_35980__bin.22	NielsenHB_2014__MH0143__bin.55	ZeeviD_2015__PNP_Validation_18__bin.33	ZeeviD_2015__PNP_Main_650__bin.10	ZeeviD_2015__PNP_Main_677__bin.43	ZeeviD_2015__PNP_Main_505__bin.26	LiJ_2014__MH0222__bin.37	ZeeviD_2015__PNP_Main_379__bin.25	ZeeviD_2015__PNP_Main_93__bin.14	ZeeviD_2015__PNP_Main_742__bin.11	ZeeviD_2015__PNP_Main_706__bin.10	LeChatelierE_2013__MH0143__bin.30	LiJ_2014__MH0303__bin.38	ZeeviD_2015__PNP_Main_107__bin.29	ZeeviD_2015__PNP_Main_365__bin.14	ZeeviD_2015__PNP_Main_113__bin.17	LeChatelierE_2013__MH0276__bin.90	ZeeviD_2015__PNP_Main_589__bin.77	ZeeviD_2015__PNP_Main_616__bin.38	ZeeviD_2015__PNP_Main_683__bin.44	ZeeviD_2015__PNP_Main_27__bin.61	ZellerG_2014__CCIS74726977ST-3-0__bin.51	LiJ_2014__MH0395__bin.25	ZeeviD_2015__PNP_Main_670__bin.6	ZeeviD_2015__PNP_Main_800__bin.3	ZeeviD_2015__PNP_Main_635__bin.14	ZeeviD_2015__PNP_DietIntervention_51__bin.5	ZeeviD_2015__PNP_Main_46__bin.50
ZeeviD_2015__PNP_Main_706__bin.10	64055.0	12751.0	14097.0	9531.0	10964.0	8951.0	11268.0	10567.0	13797.0	6314.0	0.0	12510.0	12110.0	68995.0	70992.0	13993.0	13145.0	9678.0	1620.0	5542.0	11309.0	12178.0	22454.0	10499.0	8615.0	7868.0	41346.0	13993.0
LeChatelierE_2013__MH0143__bin.30	60072.0	975.0	13549.0	8387.0	9583.0	8067.0	9977.0	10160.0	12496.0	4851.0	12510.0	0.0	10069.0	63269.0	65288.0	13454.0	10899.0	9358.0	6817.0	10513.0	10332.0	10021.0	21453.0	9098.0	7744.0	7193.0	37425.0	13453.0
LiJ_2014__MH0303__bin.38	64076.0	11058.0	15568.0	8992.0	9830.0	8154.0	10287.0	13334.0	13160.0	5880.0	12110.0	10069.0	0.0	68896.0	69365.0	15483.0	12817.0	9279.0	6567.0	11270.0	10561.0	11336.0	24325.0	11302.0	8707.0	7925.0	41442.0	15345.0
ZeeviD_2015__PNP_Main_107__bin.29	15561.0	65457.0	70980.0	55317.0	57603.0	49383.0	68408.0	58555.0	70281.0	35039.0	68995.0	63269.0	68896.0	0.0	19953.0	73667.0	71872.0	48329.0	41693.0	58491.0	64400.0	70850.0	75749.0	46221.0	52066.0	40705.0	8884.0	70062.0
ZeeviD_2015__PNP_Main_365__bin.14	12968.0	66571.0	71138.0	57126.0	59819.0	51844.0	71350.0	59500.0	72440.0	34836.0	70992.0	65288.0	69365.0	19953.0	0.0	74257.0	70626.0	48282.0	43699.0	59893.0	67741.0	70410.0	73814.0	47559.0	53075.0	41182.0	7980.0	70757.0
ZeeviD_2015__PNP_Main_113__bin.17	66467.0	15092.0	7929.0	10693.0	11655.0	11811.0	14912.0	12657.0	18296.0	7680.0	13993.0	13454.0	15483.0	73667.0	74257.0	0.0	14906.0	5632.0	8817.0	12401.0	14788.0	15414.0	26400.0	12704.0	9474.0	4912.0	43489.0	18328.0
LeChatelierE_2013__MH0276__bin.90	65544.0	11671.0	14347.0	9324.0	10397.0	7611.0	10350.0	10920.0	12880.0	6355.0	13145.0	10899.0	12817.0	71872.0	70626.0	14906.0	0.0	9701.0	7072.0	11637.0	9970.0	11675.0	23617.0	10018.0	7975.0	7963.0	41536.0	14436.0
ZeeviD_2015__PNP_Main_589__bin.77	44350.0	9493.0	5996.0	8520.0	9296.0	6104.0	8782.0	7985.0	11826.0	2678.0	9678.0	9358.0	9279.0	48329.0	48282.0	5632.0	9701.0	0.0	3729.0	9371.0	9323.0	9708.0	16263.0	6837.0	6016.0	2376.0	25679.0	11491.0
ZeeviD_2015__PNP_Main_616__bin.38	38237.0	7309.0	8016.0	4380.0	5435.0	7361.0	6612.0	6805.0	8279.0	6282.0	1620.0	6817.0	6567.0	41693.0	43699.0	8817.0	7072.0	3729.0	0.0	2898.0	6787.0	6418.0	13538.0	7588.0	5226.0	7367.0	28193.0	8575.0
ZeeviD_2015__PNP_Main_683__bin.44	54244.0	10721.0	12177.0	10399.0	10854.0	6659.0	9694.0	8907.0	12562.0	4639.0	5542.0	10513.0	11270.0	58491.0	59893.0	12401.0	11637.0	9371.0	2898.0	0.0	9980.0	11099.0	19506.0	8470.0	7212.0	6014.0	32817.0	12782.0
ZeeviD_2015__PNP_Main_27__bin.61	60004.0	11358.0	13183.0	8244.0	9921.0	8301.0	10357.0	9903.0	11536.0	4723.0	11309.0	10332.0	10561.0	64400.0	67741.0	14788.0	9970.0	9323.0	6787.0	9980.0	0.0	10241.0	21891.0	9807.0	5762.0	7300.0	38644.0	14187.0
ZellerG_2014__CCIS74726977ST-3-0__bin.51	64331.0	10962.0	14682.0	8823.0	10115.0	8719.0	10269.0	10850.0	13804.0	6346.0	12178.0	10021.0	11336.0	70850.0	70410.0	15414.0	11675.0	9708.0	6418.0	11099.0	10241.0	0.0	23764.0	10162.0	7777.0	8526.0	40733.0	14764.0
LiJ_2014__MH0395__bin.25	65510.0	24127.0	23207.0	19034.0	19117.0	18682.0	24937.0	18358.0	25716.0	10036.0	22454.0	21453.0	24325.0	75749.0	73814.0	26400.0	23617.0	16263.0	13538.0	19506.0	21891.0	23764.0	0.0	17180.0	16620.0	12387.0	41811.0	24328.0
ZeeviD_2015__PNP_Main_670__bin.6	42535.0	11842.0	11281.0	7443.0	8042.0	11507.0	11369.0	7918.0	10844.0	7012.0	10499.0	9098.0	11302.0	46221.0	47559.0	12704.0	10018.0	6837.0	7588.0	8470.0	9807.0	10162.0	17180.0	0.0	7748.0	7562.0	28510.0	10456.0
ZeeviD_2015__PNP_Main_800__bin.3	49382.0	8145.0	9880.0	6236.0	6774.0	5219.0	6565.0	8479.0	9448.0	4312.0	8615.0	7744.0	8707.0	52066.0	53075.0	9474.0	7975.0	6016.0	5226.0	7212.0	5762.0	7777.0	16620.0	7748.0	0.0	5761.0	33772.0	10585.0
ZeeviD_2015__PNP_Main_635__bin.14	38496.0	7552.0	5316.0	5578.0	6062.0	8102.0	8267.0	7413.0	8844.0	7131.0	7868.0	7193.0	7925.0	40705.0	41182.0	4912.0	7963.0	2376.0	7367.0	6014.0	7300.0	8526.0	12387.0	7562.0	5761.0	0.0	28716.0	9278.0
ZeeviD_2015__PNP_DietIntervention_51__bin.5	4983.0	38948.0	43335.0	30567.0	32724.0	32082.0	40507.0	36561.0	41295.0	24346.0	41346.0	37425.0	41442.0	8884.0	7980.0	43489.0	41536.0	25679.0	28193.0	32817.0	38644.0	40733.0	41811.0	28510.0	33772.0	28716.0	0.0	41331.0
ZeeviD_2015__PNP_Main_46__bin.50	63373.0	14172.0	16498.0	12269.0	12115.0	11719.0	16055.0	10755.0	16282.0	7621.0	13993.0	13453.0	15345.0	70062.0	70757.0	18328.0	14436.0	11491.0	8575.0	12782.0	14187.0	14764.0	24328.0	10456.0	10585.0	9278.0	41331.0	0.0
