	VincentC_2016__MM021.4__bin.22	VincentC_2016__MM020.1__bin.1	VincentC_2016__MM037.2__bin.3	VincentC_2016__MM041.1__bin.4	VincentC_2016__MM030.2__bin.13	VincentC_2016__MM040.1__bin.8	VincentC_2016__MM009.2__bin.8	VincentC_2016__MM028.2__bin.3	VincentC_2016__MM008.2__bin.11	VincentC_2016__MM016.1__bin.8	VincentC_2016__MM022.1__bin.2	VincentC_2016__MM046.1__bin.4	VincentC_2016__MM022.3__bin.2	VincentC_2016__MM024.2__bin.12	VincentC_2016__MM036__bin.9	VincentC_2016__MM018__bin.5	VincentC_2016__MM012.1__bin.4	VincentC_2016__MM038__bin.14	VincentC_2016__MM005.3__bin.4	VincentC_2016__MM043.1__bin.9	VincentC_2016__MM009.1__bin.18	VincentC_2016__MM024.3__bin.2	VincentC_2016__MM007__bin.6	VincentC_2016__MM019.1__bin.3	VincentC_2016__MM043.2__bin.13	VincentC_2016__MM027.3__bin.18	VincentC_2016__MM026.2__bin.2	VincentC_2016__MM045.2__bin.12	VincentC_2016__MM013.3__bin.8	VincentC_2016__MM040.2__bin.4	VincentC_2016__MM031__bin.2	VincentC_2016__MM029.1__bin.4	VincentC_2016__MM013.2__bin.5	VincentC_2016__MM032.1__bin.13	VincentC_2016__MM005.2__bin.17	VincentC_2016__MM021.3__bin.1	VincentC_2016__MM024.1__bin.1	VincentC_2016__MM014__bin.12	VincentC_2016__MM045.1__bin.8	VincentC_2016__MM042.2__bin.17	VincentC_2016__MM006.2__bin.2	VincentC_2016__MM021.1__bin.8	VincentC_2016__MM025__bin.4	VincentC_2016__MM012.2__bin.24	VincentC_2016__MM033.2__bin.6	VincentC_2016__MM008.1__bin.31	VincentC_2016__MM028.1__bin.4	VincentC_2016__MM033.3__bin.17	VincentC_2016__MM023.2__bin.32
VincentC_2016__MM022.1__bin.2	5332.0	5536.0	6277.0	6126.0	4762.0	5068.0	4002.0	4785.0	4388.0	5071.0	0.0	5048.0	6581.0	5290.0	5458.0	3975.0	4470.0	5508.0	4155.0	4819.0	4540.0	6577.0	4389.0	4842.0	5010.0	5842.0	5530.0	5426.0	4272.0	5757.0	4075.0	4299.0	5109.0	5145.0	4453.0	5875.0	4212.0	3953.0	5325.0	5930.0	4065.0	5749.0	5108.0	6717.0	6088.0	5241.0	4873.0	4823.0	7074.0
VincentC_2016__MM046.1__bin.4	4581.0	4004.0	5694.0	4697.0	3564.0	2762.0	2586.0	2112.0	4505.0	4609.0	5048.0	0.0	5838.0	5111.0	3776.0	2041.0	1852.0	4436.0	1931.0	3416.0	2242.0	4918.0	2233.0	2232.0	2594.0	3957.0	3178.0	5016.0	2746.0	4690.0	2174.0	2052.0	2648.0	2854.0	1964.0	3938.0	2550.0	2345.0	5081.0	4770.0	2027.0	5074.0	3338.0	5001.0	5962.0	4385.0	2904.0	2587.0	6765.0
VincentC_2016__MM022.3__bin.2	5825.0	5041.0	6379.0	6199.0	5402.0	5640.0	4599.0	4968.0	5285.0	6706.0	6581.0	5838.0	0.0	5532.0	5816.0	4579.0	4527.0	6024.0	4239.0	5009.0	5020.0	6626.0	4900.0	5051.0	5367.0	5420.0	4834.0	5951.0	5362.0	5730.0	4478.0	5013.0	5100.0	5182.0	4277.0	5458.0	5018.0	4889.0	6403.0	6008.0	4647.0	6124.0	5581.0	6281.0	6763.0	5132.0	5118.0	5183.0	7049.0
VincentC_2016__MM024.2__bin.12	4438.0	3926.0	6257.0	5293.0	4285.0	4074.0	3239.0	4138.0	4025.0	4767.0	5290.0	5111.0	5532.0	0.0	4103.0	3688.0	3637.0	4238.0	4170.0	4407.0	3789.0	5688.0	4029.0	3727.0	4467.0	4383.0	3528.0	4689.0	3936.0	4454.0	3345.0	4074.0	4058.0	3825.0	3326.0	4770.0	3788.0	3838.0	4972.0	4638.0	3399.0	4703.0	4113.0	5491.0	5453.0	4100.0	4688.0	4069.0	6497.0
VincentC_2016__MM036__bin.9	4770.0	3641.0	4816.0	4915.0	3711.0	3249.0	2240.0	3422.0	3776.0	3725.0	5458.0	3776.0	5816.0	4103.0	0.0	2746.0	2382.0	3968.0	3119.0	4295.0	2866.0	5100.0	2572.0	3201.0	3501.0	3439.0	3188.0	5000.0	2720.0	3794.0	3100.0	2889.0	3485.0	3320.0	2866.0	4052.0	2806.0	2820.0	4935.0	4391.0	2792.0	5016.0	3544.0	5613.0	5517.0	4562.0	3309.0	2884.0	6804.0
VincentC_2016__MM018__bin.5	4041.0	2652.0	3986.0	3766.0	2189.0	1803.0	1608.0	1820.0	2577.0	3072.0	3975.0	2041.0	4579.0	3688.0	2746.0	0.0	1301.0	3069.0	1401.0	2198.0	1893.0	3856.0	2334.0	1497.0	1958.0	3079.0	2308.0	3683.0	1504.0	3637.0	1239.0	1418.0	1889.0	1900.0	1468.0	2701.0	1373.0	1559.0	4004.0	3622.0	1156.0	3861.0	2395.0	4328.0	5422.0	4402.0	2120.0	1411.0	5993.0
VincentC_2016__MM012.1__bin.4	3460.0	2948.0	4419.0	3728.0	2654.0	1982.0	1234.0	2051.0	2863.0	3404.0	4470.0	1852.0	4527.0	3637.0	2382.0	1301.0	0.0	3197.0	1535.0	2387.0	1776.0	4234.0	985.0	1873.0	2161.0	2885.0	2447.0	3588.0	1546.0	3593.0	1404.0	1509.0	2086.0	1886.0	1333.0	2462.0	1211.0	1544.0	4268.0	3450.0	1267.0	3817.0	2604.0	4371.0	5620.0	4179.0	1584.0	1956.0	6204.0
VincentC_2016__MM038__bin.14	4905.0	4213.0	6220.0	5050.0	3908.0	3277.0	2716.0	3591.0	3740.0	4362.0	5508.0	4436.0	6024.0	4238.0	3968.0	3069.0	3197.0	0.0	2865.0	4334.0	2948.0	5662.0	3061.0	3114.0	4184.0	4312.0	3438.0	5096.0	3267.0	5043.0	2656.0	3120.0	3578.0	3943.0	2789.0	4250.0	2935.0	3086.0	5785.0	4602.0	2715.0	5085.0	4725.0	5326.0	6285.0	4108.0	3606.0	3707.0	6800.0
VincentC_2016__MM005.3__bin.4	3667.0	3196.0	4417.0	3699.0	1946.0	1812.0	1771.0	2138.0	2443.0	2978.0	4155.0	1931.0	4239.0	4170.0	3119.0	1401.0	1535.0	2865.0	0.0	2542.0	1804.0	4015.0	1201.0	1559.0	2052.0	2943.0	2062.0	3295.0	1748.0	4138.0	1430.0	1900.0	1659.0	1934.0	1689.0	2565.0	1812.0	1341.0	3876.0	3493.0	1443.0	3756.0	2059.0	4168.0	5138.0	4502.0	1857.0	1877.0	5924.0
VincentC_2016__MM043.1__bin.9	4386.0	3052.0	4794.0	4695.0	3000.0	3101.0	1915.0	2910.0	3093.0	4200.0	4819.0	3416.0	5009.0	4407.0	4295.0	2198.0	2387.0	4334.0	2542.0	0.0	2831.0	5179.0	3118.0	2328.0	3051.0	4587.0	3944.0	4560.0	2714.0	5519.0	2338.0	2224.0	3445.0	3407.0	3087.0	4254.0	1829.0	2446.0	4889.0	4721.0	2691.0	5387.0	3452.0	5309.0	5675.0	5073.0	3582.0	2976.0	6438.0
VincentC_2016__MM009.1__bin.18	4059.0	3260.0	4962.0	4175.0	2349.0	1831.0	1675.0	2381.0	2812.0	3261.0	4540.0	2242.0	5020.0	3789.0	2866.0	1893.0	1776.0	2948.0	1804.0	2831.0	0.0	4703.0	1881.0	2632.0	2474.0	2982.0	2717.0	4046.0	2127.0	4434.0	1495.0	1774.0	2238.0	2221.0	1846.0	3314.0	1623.0	1606.0	4174.0	3854.0	1894.0	4311.0	2534.0	4365.0	5737.0	4671.0	2226.0	1935.0	6305.0
VincentC_2016__MM024.3__bin.2	5572.0	5197.0	6599.0	6291.0	5284.0	5202.0	4302.0	4638.0	5089.0	5321.0	6577.0	4918.0	6626.0	5688.0	5100.0	3856.0	4234.0	5662.0	4015.0	5179.0	4703.0	0.0	4417.0	5094.0	5233.0	5248.0	4729.0	6148.0	4639.0	5776.0	4098.0	4598.0	4906.0	5048.0	4567.0	5599.0	4252.0	4493.0	6188.0	5377.0	4098.0	6063.0	5508.0	6210.0	6537.0	5598.0	4234.0	4863.0	7489.0
VincentC_2016__MM007__bin.6	3910.0	3020.0	4756.0	3991.0	2762.0	2109.0	1994.0	2562.0	3697.0	3243.0	4389.0	2233.0	4900.0	4029.0	2572.0	2334.0	985.0	3061.0	1201.0	3118.0	1881.0	4417.0	0.0	1491.0	2589.0	2643.0	1977.0	3607.0	1668.0	3717.0	1459.0	1863.0	2097.0	2140.0	1540.0	2770.0	1312.0	1871.0	4051.0	3512.0	1900.0	3959.0	2320.0	4255.0	5595.0	4515.0	2509.0	1849.0	6144.0
VincentC_2016__MM019.1__bin.3	4140.0	2484.0	3925.0	4438.0	3057.0	2637.0	1965.0	2666.0	2947.0	3522.0	4842.0	2232.0	5051.0	3727.0	3201.0	1497.0	1873.0	3114.0	1559.0	2328.0	2632.0	5094.0	1491.0	0.0	2914.0	3379.0	2361.0	4013.0	2292.0	4175.0	2136.0	2692.0	2733.0	2182.0	1716.0	3210.0	1488.0	1801.0	4560.0	4498.0	1564.0	4381.0	2888.0	4378.0	5969.0	4202.0	3000.0	1896.0	6169.0
VincentC_2016__MM043.2__bin.13	4486.0	2897.0	4526.0	4507.0	3097.0	3045.0	2026.0	2842.0	3659.0	4385.0	5010.0	2594.0	5367.0	4467.0	3501.0	1958.0	2161.0	4184.0	2052.0	3051.0	2474.0	5233.0	2589.0	2914.0	0.0	3355.0	3286.0	4326.0	2729.0	4046.0	1890.0	2306.0	2697.0	3168.0	2072.0	4259.0	1797.0	1885.0	4409.0	4773.0	2142.0	4630.0	3216.0	5131.0	5346.0	4866.0	2918.0	2253.0	6473.0
VincentC_2016__MM027.3__bin.18	4743.0	4409.0	5224.0	4997.0	3576.0	2682.0	2122.0	3013.0	3990.0	4286.0	5842.0	3957.0	5420.0	4383.0	3439.0	3079.0	2885.0	4312.0	2943.0	4587.0	2982.0	5248.0	2643.0	3379.0	3355.0	0.0	4002.0	4913.0	3509.0	4535.0	2466.0	3244.0	3423.0	3697.0	2297.0	4671.0	3040.0	2448.0	4942.0	4789.0	2639.0	5135.0	3672.0	5258.0	5992.0	5111.0	3456.0	2815.0	6653.0
VincentC_2016__MM026.2__bin.2	4065.0	2929.0	4901.0	4770.0	2939.0	3567.0	1975.0	2888.0	3192.0	3610.0	5530.0	3178.0	4834.0	3528.0	3188.0	2308.0	2447.0	3438.0	2062.0	3944.0	2717.0	4729.0	1977.0	2361.0	3286.0	4002.0	0.0	4496.0	2261.0	4155.0	2448.0	2648.0	2951.0	2070.0	2166.0	3457.0	2236.0	2544.0	4328.0	4149.0	2179.0	4373.0	2999.0	4986.0	5548.0	4513.0	3035.0	3133.0	6345.0
VincentC_2016__MM045.2__bin.12	5026.0	4855.0	5208.0	5525.0	4846.0	4519.0	3217.0	4337.0	4139.0	5286.0	5426.0	5016.0	5951.0	4689.0	5000.0	3683.0	3588.0	5096.0	3295.0	4560.0	4046.0	6148.0	3607.0	4013.0	4326.0	4913.0	4496.0	0.0	3969.0	5411.0	3491.0	3936.0	4416.0	4555.0	3480.0	4995.0	3680.0	3651.0	5312.0	5607.0	3625.0	5144.0	4985.0	6388.0	5458.0	4780.0	4325.0	4442.0	7065.0
VincentC_2016__MM013.3__bin.8	3678.0	2527.0	4584.0	4140.0	2471.0	2311.0	1742.0	2750.0	3336.0	3474.0	4272.0	2746.0	5362.0	3936.0	2720.0	1504.0	1546.0	3267.0	1748.0	2714.0	2127.0	4639.0	1668.0	2292.0	2729.0	3509.0	2261.0	3969.0	0.0	4387.0	1779.0	1832.0	2145.0	1915.0	1787.0	3563.0	1626.0	1759.0	4799.0	3560.0	1546.0	4098.0	1927.0	4670.0	5417.0	4592.0	2389.0	2555.0	6167.0
VincentC_2016__MM040.2__bin.4	5036.0	5116.0	5186.0	5108.0	4486.0	3773.0	2773.0	4661.0	4807.0	4894.0	5757.0	4690.0	5730.0	4454.0	3794.0	3637.0	3593.0	5043.0	4138.0	5519.0	4434.0	5776.0	3717.0	4175.0	4046.0	4535.0	4155.0	5411.0	4387.0	0.0	3637.0	4136.0	4350.0	4096.0	3586.0	4909.0	3780.0	3707.0	5695.0	4938.0	4017.0	6043.0	5081.0	5689.0	5192.0	5462.0	4007.0	4165.0	6715.0
VincentC_2016__MM031__bin.2	3391.0	2306.0	3855.0	3681.0	2004.0	1350.0	1792.0	2218.0	2154.0	3162.0	4075.0	2174.0	4478.0	3345.0	3100.0	1239.0	1404.0	2656.0	1430.0	2338.0	1495.0	4098.0	1459.0	2136.0	1890.0	2466.0	2448.0	3491.0	1779.0	3637.0	0.0	1735.0	1769.0	1739.0	1613.0	3149.0	1457.0	1100.0	3451.0	3976.0	1183.0	4353.0	2030.0	4099.0	5237.0	4122.0	2187.0	1509.0	5744.0
VincentC_2016__MM029.1__bin.4	4097.0	2634.0	5074.0	3846.0	2727.0	2163.0	1652.0	1832.0	3165.0	3764.0	4299.0	2052.0	5013.0	4074.0	2889.0	1418.0	1509.0	3120.0	1900.0	2224.0	1774.0	4598.0	1863.0	2692.0	2306.0	3244.0	2648.0	3936.0	1832.0	4136.0	1735.0	0.0	2298.0	2001.0	1898.0	3416.0	1565.0	1471.0	4195.0	4107.0	1627.0	4102.0	2560.0	4827.0	5351.0	4646.0	1765.0	2248.0	5970.0
VincentC_2016__MM013.2__bin.5	4651.0	3990.0	4537.0	4508.0	2863.0	2250.0	2396.0	2464.0	2889.0	3630.0	5109.0	2648.0	5100.0	4058.0	3485.0	1889.0	2086.0	3578.0	1659.0	3445.0	2238.0	4906.0	2097.0	2733.0	2697.0	3423.0	2951.0	4416.0	2145.0	4350.0	1769.0	2298.0	0.0	2258.0	1673.0	3981.0	1725.0	1761.0	3892.0	3702.0	1728.0	4347.0	2927.0	4813.0	5549.0	4320.0	2841.0	2360.0	6085.0
VincentC_2016__MM032.1__bin.13	4210.0	3472.0	5339.0	4368.0	2832.0	2992.0	2248.0	2995.0	3424.0	3622.0	5145.0	2854.0	5182.0	3825.0	3320.0	1900.0	1886.0	3943.0	1934.0	3407.0	2221.0	5048.0	2140.0	2182.0	3168.0	3697.0	2070.0	4555.0	1915.0	4096.0	1739.0	2001.0	2258.0	0.0	1926.0	2806.0	1803.0	2118.0	4560.0	3957.0	1949.0	4198.0	2741.0	4790.0	5137.0	4462.0	2402.0	2774.0	6026.0
VincentC_2016__MM005.2__bin.17	3134.0	2782.0	4006.0	3791.0	2394.0	1803.0	1618.0	2296.0	2593.0	3246.0	4453.0	1964.0	4277.0	3326.0	2866.0	1468.0	1333.0	2789.0	1689.0	3087.0	1846.0	4567.0	1540.0	1716.0	2072.0	2297.0	2166.0	3480.0	1787.0	3586.0	1613.0	1898.0	1673.0	1926.0	0.0	2910.0	1768.0	1556.0	3627.0	3058.0	1562.0	3856.0	2014.0	4166.0	5075.0	4080.0	1776.0	1371.0	6003.0
VincentC_2016__MM021.3__bin.1	4663.0	4133.0	5170.0	4929.0	4093.0	3442.0	2746.0	3178.0	4348.0	3882.0	5875.0	3938.0	5458.0	4770.0	4052.0	2701.0	2462.0	4250.0	2565.0	4254.0	3314.0	5599.0	2770.0	3210.0	4259.0	4671.0	3457.0	4995.0	3563.0	4909.0	3149.0	3416.0	3981.0	2806.0	2910.0	0.0	3015.0	2657.0	5316.0	4742.0	2569.0	4798.0	4555.0	5746.0	6512.0	4865.0	3313.0	3619.0	6645.0
VincentC_2016__MM024.1__bin.1	3768.0	2511.0	4634.0	3624.0	2412.0	1692.0	1697.0	1658.0	3028.0	3556.0	4212.0	2550.0	5018.0	3788.0	2806.0	1373.0	1211.0	2935.0	1812.0	1829.0	1623.0	4252.0	1312.0	1488.0	1797.0	3040.0	2236.0	3680.0	1626.0	3780.0	1457.0	1565.0	1725.0	1803.0	1768.0	3015.0	0.0	1521.0	4056.0	3381.0	1444.0	3526.0	1867.0	4368.0	4914.0	4472.0	1648.0	1752.0	5799.0
VincentC_2016__MM014__bin.12	3859.0	2860.0	4475.0	3870.0	2267.0	1222.0	1326.0	1601.0	2473.0	3135.0	3953.0	2345.0	4889.0	3838.0	2820.0	1559.0	1544.0	3086.0	1341.0	2446.0	1606.0	4493.0	1871.0	1801.0	1885.0	2448.0	2544.0	3651.0	1759.0	3707.0	1100.0	1471.0	1761.0	2118.0	1556.0	2657.0	1521.0	0.0	4248.0	3281.0	1145.0	4066.0	2657.0	4175.0	5675.0	4594.0	1576.0	2074.0	6420.0
VincentC_2016__MM045.1__bin.8	5052.0	4983.0	5911.0	6432.0	5335.0	4664.0	3629.0	4810.0	4526.0	5952.0	5325.0	5081.0	6403.0	4972.0	4935.0	4004.0	4268.0	5785.0	3876.0	4889.0	4174.0	6188.0	4051.0	4560.0	4409.0	4942.0	4328.0	5312.0	4799.0	5695.0	3451.0	4195.0	3892.0	4560.0	3627.0	5316.0	4056.0	4248.0	0.0	5906.0	3827.0	5670.0	4232.0	5791.0	6359.0	5496.0	4685.0	4344.0	7318.0
VincentC_2016__MM042.2__bin.17	5168.0	4772.0	5504.0	5449.0	4674.0	4101.0	2941.0	3693.0	4372.0	4967.0	5930.0	4770.0	6008.0	4638.0	4391.0	3622.0	3450.0	4602.0	3493.0	4721.0	3854.0	5377.0	3512.0	4498.0	4773.0	4789.0	4149.0	5607.0	3560.0	4938.0	3976.0	4107.0	3702.0	3957.0	3058.0	4742.0	3381.0	3281.0	5906.0	0.0	3300.0	5383.0	5332.0	6282.0	5980.0	5079.0	3791.0	4139.0	7382.0
VincentC_2016__MM006.2__bin.2	3679.0	3051.0	4126.0	3676.0	2480.0	1354.0	1303.0	1843.0	2650.0	3369.0	4065.0	2027.0	4647.0	3399.0	2792.0	1156.0	1267.0	2715.0	1443.0	2691.0	1894.0	4098.0	1900.0	1564.0	2142.0	2639.0	2179.0	3625.0	1546.0	4017.0	1183.0	1627.0	1728.0	1949.0	1562.0	2569.0	1444.0	1145.0	3827.0	3300.0	0.0	3623.0	2152.0	3901.0	5361.0	4142.0	1501.0	1457.0	5958.0
VincentC_2016__MM021.1__bin.8	5205.0	4863.0	6083.0	5283.0	4476.0	4508.0	3649.0	4460.0	4799.0	5196.0	5749.0	5074.0	6124.0	4703.0	5016.0	3861.0	3817.0	5085.0	3756.0	5387.0	4311.0	6063.0	3959.0	4381.0	4630.0	5135.0	4373.0	5144.0	4098.0	6043.0	4353.0	4102.0	4347.0	4198.0	3856.0	4798.0	3526.0	4066.0	5670.0	5383.0	3623.0	0.0	4757.0	6282.0	6513.0	5036.0	4240.0	4490.0	6921.0
VincentC_2016__MM025__bin.4	4712.0	3562.0	4890.0	4992.0	3114.0	3218.0	2332.0	3247.0	3077.0	4682.0	5108.0	3338.0	5581.0	4113.0	3544.0	2395.0	2604.0	4725.0	2059.0	3452.0	2534.0	5508.0	2320.0	2888.0	3216.0	3672.0	2999.0	4985.0	1927.0	5081.0	2030.0	2560.0	2927.0	2741.0	2014.0	4555.0	1867.0	2657.0	4232.0	5332.0	2152.0	4757.0	0.0	4901.0	5683.0	5169.0	2564.0	2548.0	6886.0
VincentC_2016__MM012.2__bin.24	5469.0	4726.0	5993.0	5741.0	5216.0	4862.0	4290.0	4531.0	5061.0	5429.0	6717.0	5001.0	6281.0	5491.0	5613.0	4328.0	4371.0	5326.0	4168.0	5309.0	4365.0	6210.0	4255.0	4378.0	5131.0	5258.0	4986.0	6388.0	4670.0	5689.0	4099.0	4827.0	4813.0	4790.0	4166.0	5746.0	4368.0	4175.0	5791.0	6282.0	3901.0	6282.0	4901.0	0.0	7114.0	5504.0	5221.0	4223.0	7350.0
VincentC_2016__MM033.2__bin.6	5677.0	6153.0	5837.0	5801.0	6059.0	5143.0	4576.0	5894.0	5219.0	5230.0	6088.0	5962.0	6763.0	5453.0	5517.0	5422.0	5620.0	6285.0	5138.0	5675.0	5737.0	6537.0	5595.0	5969.0	5346.0	5992.0	5548.0	5458.0	5417.0	5192.0	5237.0	5351.0	5549.0	5137.0	5075.0	6512.0	4914.0	5675.0	6359.0	5980.0	5361.0	6513.0	5683.0	7114.0	0.0	4531.0	5874.0	5878.0	6929.0
VincentC_2016__MM008.1__bin.31	4622.0	4504.0	4464.0	4823.0	4606.0	4567.0	4309.0	4438.0	4920.0	4526.0	5241.0	4385.0	5132.0	4100.0	4562.0	4402.0	4179.0	4108.0	4502.0	5073.0	4671.0	5598.0	4515.0	4202.0	4866.0	5111.0	4513.0	4780.0	4592.0	5462.0	4122.0	4646.0	4320.0	4462.0	4080.0	4865.0	4472.0	4594.0	5496.0	5079.0	4142.0	5036.0	5169.0	5504.0	4531.0	0.0	4785.0	4584.0	5591.0
