	LeChatelierE_2013__MH0437__bin.78	LiJ_2014__MH0373__bin.33	LiJ_2014__V1.UC58-4__bin.26	FengQ_2015__SID31878__bin.55	HMP_2012__SRS052697__bin.46	BritoIL_2016__M2.37.ST__bin.66	XieH_2016__YSZC12003_37228__bin.61	CosteaPI_2017__SID713A078-11-90-0__bin.45	ChengpingW_2017__AS67raw__bin.73	CM_madagascar__A79_02_1FE__bin.52	BritoIL_2016__M1.48.ST__bin.85	LiuW_2016__SRR3992978__bin.70	XieH_2016__YSZC12003_36244__bin.10	LiuW_2016__SRR3993055__bin.86	BritoIL_2016__WL.17.ST__bin.10	HMP_2012__SRS051031__bin.19	CosteaPI_2017__SID713B046-11-0-0__bin.66	VogtmannE_2016__MMRS93621581ST-27-0-0__bin.82	XieH_2016__YSZC12003_37100__bin.121	LeChatelierE_2013__MH0200__bin.81	CosteaPI_2017__SID713B055-11-0-0__bin.109	XieH_2016__YSZC12003_37314__bin.3	LiJ_2014__O2.UC31-1__bin.45	FengQ_2015__SID530373__bin.58	CosteaPI_2017__SID713A078-11-0-0__bin.19	XieH_2016__YSZC12003_35562__bin.33	ZellerG_2014__CCIS63910149ST-4-0__bin.6	XieH_2016__YSZC12003_35741__bin.73	NielsenHB_2014__O2_UC31_0__bin.50	LeChatelierE_2013__MH0448__bin.11	XieH_2016__YSZC12003_37101__bin.76	ZeeviD_2015__PNP_Main_140__bin.8
HMP_2012__SRS051031__bin.19	812637.0	889795.0	872878.0	716912.0	871892.0	725626.0	872889.0	923677.0	835435.0	908772.0	880380.0	476492.0	894837.0	872215.0	908647.0	938774.0	849682.0	857546.0	856679.0	910995.0	717379.0	724575.0	895723.0	895985.0	594068.0	907175.0	812458.0	906285.0	762793.0	677397.0	894413.0	711417.0
CosteaPI_2017__SID713B046-11-0-0__bin.66	1402978.0	1619386.0	1603339.0	1336128.0	1573938.0	1348222.0	1586650.0	1678661.0	1498293.0	1662851.0	1596874.0	1026381.0	1614999.0	1604340.0	1647986.0	849682.0	1735244.0	1448502.0	1557686.0	1653656.0	1414319.0	1196426.0	1607496.0	1608096.0	1171872.0	1667843.0	1379924.0	1663341.0	1233260.0	1116671.0	1634736.0	1158484.0
VogtmannE_2016__MMRS93621581ST-27-0-0__bin.82	1335484.0	1546739.0	1529649.0	1287359.0	1519857.0	1283645.0	1486943.0	1585967.0	1446102.0	1586816.0	1536587.0	964693.0	1527178.0	1523638.0	1561319.0	857546.0	1448502.0	1617078.0	1474991.0	1549796.0	1314393.0	1147582.0	1539406.0	1539618.0	1110132.0	1581356.0	1337962.0	1563926.0	1192295.0	1092746.0	1535791.0	1115200.0
XieH_2016__YSZC12003_37100__bin.121	1422134.0	1668027.0	1648777.0	1369613.0	1615439.0	1368758.0	1609492.0	1705361.0	1542016.0	1703127.0	1634769.0	1064169.0	1645718.0	1624344.0	1685576.0	856679.0	1557686.0	1474991.0	1764242.0	1679049.0	1431158.0	1225172.0	1643753.0	1649345.0	1187648.0	1704124.0	1391395.0	1689480.0	1254005.0	1145864.0	1677041.0	1164050.0
LeChatelierE_2013__MH0200__bin.81	1505619.0	1750676.0	1744604.0	1429077.0	1703636.0	1436307.0	1716671.0	1842827.0	1631791.0	1821454.0	1711766.0	1122890.0	1743902.0	1710996.0	1788596.0	910995.0	1653656.0	1549796.0	1679049.0	1929519.0	1524283.0	1318366.0	1735682.0	1755519.0	1247774.0	1802112.0	1476650.0	1793283.0	1318827.0	1202113.0	1783383.0	1224635.0
CosteaPI_2017__SID713B055-11-0-0__bin.109	1284920.0	1481942.0	1508696.0	1293825.0	1440066.0	1245273.0	1441381.0	1575615.0	1397595.0	1546935.0	1452969.0	1076787.0	1497217.0	1451986.0	1543870.0	717379.0	1414319.0	1314393.0	1431158.0	1524283.0	1614992.0	1054726.0	1485433.0	1497500.0	1174400.0	1547050.0	1232198.0	1533675.0	1063634.0	989935.0	1527406.0	1008958.0
XieH_2016__YSZC12003_37314__bin.3	1106245.0	1305648.0	1291898.0	991881.0	1258085.0	1015915.0	1228017.0	1360970.0	1183408.0	1408456.0	1252033.0	712065.0	1266136.0	1248293.0	1312089.0	724575.0	1196426.0	1147582.0	1225172.0	1318366.0	1054726.0	1521448.0	1318609.0	1282405.0	816711.0	1353827.0	1098717.0	1328664.0	1029137.0	924846.0	1287415.0	899502.0
LiJ_2014__O2.UC31-1__bin.45	1479302.0	1791171.0	1741156.0	1418879.0	1685956.0	1413929.0	1655563.0	1775880.0	1591998.0	1792361.0	1697310.0	1085787.0	1692276.0	1679362.0	1756303.0	895723.0	1607496.0	1539406.0	1643753.0	1735682.0	1485433.0	1318609.0	1890197.0	1703179.0	1224659.0	1777348.0	1449479.0	1753119.0	1355305.0	1212226.0	1728352.0	1208701.0
FengQ_2015__SID530373__bin.58	1473097.0	1724678.0	1712227.0	1419080.0	1674897.0	1416082.0	1663653.0	1773830.0	1604782.0	1764086.0	1694832.0	1103137.0	1713860.0	1672626.0	1753479.0	895985.0	1608096.0	1539618.0	1649345.0	1755519.0	1497500.0	1282405.0	1703179.0	1949891.0	1236918.0	1769570.0	1458376.0	1762595.0	1297544.0	1182256.0	1725077.0	1205170.0
CosteaPI_2017__SID713A078-11-0-0__bin.19	1062476.0	1239385.0	1227716.0	1087833.0	1208564.0	1068489.0	1193229.0	1284263.0	1191412.0	1256030.0	1232184.0	925165.0	1237442.0	1232674.0	1268872.0	594068.0	1171872.0	1110132.0	1187648.0	1247774.0	1174400.0	816711.0	1224659.0	1236918.0	1298094.0	1264447.0	1038707.0	1264096.0	884210.0	845264.0	1240613.0	846649.0
XieH_2016__YSZC12003_35562__bin.33	1511017.0	1789739.0	1807235.0	1454056.0	1750737.0	1465458.0	1750180.0	1860605.0	1648801.0	1873326.0	1755002.0	1135006.0	1763815.0	1745836.0	1812138.0	907175.0	1667843.0	1581356.0	1704124.0	1802112.0	1547050.0	1353827.0	1777348.0	1769570.0	1264447.0	2064493.0	1490270.0	1836392.0	1340580.0	1224287.0	1786649.0	1241353.0
ZellerG_2014__CCIS63910149ST-4-0__bin.6	1272236.0	1454630.0	1438710.0	1195321.0	1422999.0	1201797.0	1415153.0	1503756.0	1366248.0	1486936.0	1438991.0	884838.0	1440173.0	1431066.0	1478080.0	812458.0	1379924.0	1337962.0	1391395.0	1476650.0	1232198.0	1098717.0	1449479.0	1458376.0	1038707.0	1490270.0	1532385.0	1477711.0	1125435.0	1027743.0	1465135.0	1052335.0
XieH_2016__YSZC12003_35741__bin.73	1513884.0	1776332.0	1768487.0	1448430.0	1730724.0	1444847.0	1724230.0	1838366.0	1641624.0	1820965.0	1737341.0	1127085.0	1760638.0	1725569.0	1801045.0	906285.0	1663341.0	1563926.0	1689480.0	1793283.0	1533675.0	1328664.0	1753119.0	1762595.0	1264096.0	1836392.0	1477711.0	1893755.0	1332175.0	1209515.0	1788331.0	1249977.0
NielsenHB_2014__O2_UC31_0__bin.50	1156052.0	1344442.0	1320956.0	1045213.0	1264766.0	1057612.0	1265489.0	1331818.0	1194205.0	1346388.0	1286230.0	751375.0	1277833.0	1264349.0	1317826.0	762793.0	1233260.0	1192295.0	1254005.0	1318827.0	1063634.0	1029137.0	1355305.0	1297544.0	884210.0	1340580.0	1125435.0	1332175.0	1414520.0	976490.0	1305657.0	979618.0
LeChatelierE_2013__MH0448__bin.11	1072329.0	1217483.0	1195414.0	970215.0	1161671.0	987198.0	1138446.0	1218194.0	1120968.0	1223776.0	1175944.0	739514.0	1166644.0	1168165.0	1203504.0	677397.0	1116671.0	1092746.0	1145864.0	1202113.0	989935.0	924846.0	1212226.0	1182256.0	845264.0	1224287.0	1027743.0	1209515.0	976490.0	1254499.0	1195121.0	863229.0
XieH_2016__YSZC12003_37101__bin.76	1488939.0	1728882.0	1727704.0	1416747.0	1694075.0	1433892.0	1693922.0	1813154.0	1612432.0	1786725.0	1697242.0	1108069.0	1719973.0	1692943.0	1778108.0	894413.0	1634736.0	1535791.0	1677041.0	1783383.0	1527406.0	1287415.0	1728352.0	1725077.0	1240613.0	1786649.0	1465135.0	1788331.0	1305657.0	1195121.0	1903283.0	1213138.0
ZeeviD_2015__PNP_Main_140__bin.8	1069846.0	1219430.0	1197605.0	1007083.0	1183994.0	1007761.0	1184890.0	1247704.0	1124190.0	1237246.0	1200519.0	729363.0	1196112.0	1189952.0	1220340.0	711417.0	1158484.0	1115200.0	1164050.0	1224635.0	1008958.0	899502.0	1208701.0	1205170.0	846649.0	1241353.0	1052335.0	1249977.0	979618.0	863229.0	1213138.0	1326946.0
