	LeChatelierE_2013__MH0437__bin.78	LiJ_2014__MH0373__bin.33	LiJ_2014__V1.UC58-4__bin.26	FengQ_2015__SID31878__bin.55	HMP_2012__SRS052697__bin.46	BritoIL_2016__M2.37.ST__bin.66	XieH_2016__YSZC12003_37228__bin.61	CosteaPI_2017__SID713A078-11-90-0__bin.45	ChengpingW_2017__AS67raw__bin.73	CM_madagascar__A79_02_1FE__bin.52	BritoIL_2016__M1.48.ST__bin.85	LiuW_2016__SRR3992978__bin.70	XieH_2016__YSZC12003_36244__bin.10	LiuW_2016__SRR3993055__bin.86	BritoIL_2016__WL.17.ST__bin.10	HMP_2012__SRS051031__bin.19	CosteaPI_2017__SID713B046-11-0-0__bin.66	VogtmannE_2016__MMRS93621581ST-27-0-0__bin.82	XieH_2016__YSZC12003_37100__bin.121	LeChatelierE_2013__MH0200__bin.81	CosteaPI_2017__SID713B055-11-0-0__bin.109	XieH_2016__YSZC12003_37314__bin.3	LiJ_2014__O2.UC31-1__bin.45	FengQ_2015__SID530373__bin.58	CosteaPI_2017__SID713A078-11-0-0__bin.19	XieH_2016__YSZC12003_35562__bin.33	ZellerG_2014__CCIS63910149ST-4-0__bin.6	XieH_2016__YSZC12003_35741__bin.73	NielsenHB_2014__O2_UC31_0__bin.50	LeChatelierE_2013__MH0448__bin.11	XieH_2016__YSZC12003_37101__bin.76	ZeeviD_2015__PNP_Main_140__bin.8
BritoIL_2016__WL.17.ST__bin.10	29937.0	35103.0	34968.0	30511.0	40102.0	21741.0	33226.0	35471.0	24593.0	52812.0	28064.0	22540.0	33989.0	33554.0	0.0	17468.0	32319.0	30246.0	33720.0	35349.0	29789.0	38325.0	34374.0	34360.0	25229.0	28597.0	28212.0	32839.0	27170.0	25012.0	34442.0	22807.0
HMP_2012__SRS051031__bin.19	6798.0	16559.0	17052.0	13461.0	19924.0	14266.0	5072.0	14750.0	16263.0	26788.0	17624.0	7445.0	5089.0	17329.0	17468.0	0.0	12087.0	15863.0	13652.0	15181.0	11927.0	21753.0	17163.0	15074.0	9770.0	17435.0	12631.0	16665.0	15114.0	13426.0	16260.0	12386.0
CosteaPI_2017__SID713B046-11-0-0__bin.66	22948.0	32696.0	32562.0	26396.0	38184.0	27175.0	24358.0	27979.0	29759.0	50325.0	32127.0	4550.0	24864.0	32878.0	32319.0	12087.0	0.0	28562.0	27556.0	28670.0	24692.0	35899.0	32013.0	28697.0	20024.0	33181.0	23352.0	31955.0	25490.0	23082.0	31855.0	21105.0
VogtmannE_2016__MMRS93621581ST-27-0-0__bin.82	25990.0	31024.0	30621.0	25624.0	35749.0	24803.0	27451.0	29317.0	28159.0	46525.0	28769.0	19192.0	28419.0	31410.0	30246.0	15863.0	28562.0	0.0	26952.0	27045.0	25015.0	34008.0	30825.0	28704.0	21177.0	28548.0	23409.0	30283.0	25159.0	22839.0	29766.0	20910.0
XieH_2016__YSZC12003_37100__bin.121	24944.0	34186.0	33648.0	26006.0	38997.0	27616.0	26393.0	26603.0	31051.0	51588.0	33077.0	19527.0	27504.0	33596.0	33720.0	13652.0	27556.0	26952.0	0.0	23149.0	25843.0	36823.0	32814.0	28723.0	19863.0	33227.0	18454.0	33790.0	26347.0	24288.0	32676.0	21732.0
LeChatelierE_2013__MH0200__bin.81	26134.0	35120.0	34682.0	25442.0	40356.0	27987.0	28710.0	25947.0	31891.0	53751.0	34001.0	20437.0	29723.0	35108.0	35349.0	15181.0	28670.0	27045.0	23149.0	0.0	27093.0	38597.0	33656.0	31148.0	19905.0	34056.0	11581.0	34354.0	26985.0	24505.0	33748.0	22961.0
CosteaPI_2017__SID713B055-11-0-0__bin.109	22346.0	29273.0	29734.0	24545.0	33589.0	24427.0	23404.0	28826.0	26295.0	46200.0	28890.0	19061.0	24075.0	29481.0	29789.0	11927.0	24692.0	25015.0	25843.0	27093.0	0.0	31551.0	28712.0	25465.0	21576.0	30297.0	21843.0	28525.0	21958.0	20440.0	27831.0	16616.0
XieH_2016__YSZC12003_37314__bin.3	32963.0	38227.0	37812.0	31250.0	35305.0	29551.0	36232.0	40658.0	35124.0	20379.0	35234.0	21384.0	38046.0	38041.0	38325.0	21753.0	35899.0	34008.0	36823.0	38597.0	31551.0	0.0	39018.0	37362.0	25052.0	38716.0	31777.0	38670.0	31288.0	27655.0	38685.0	26295.0
LiJ_2014__O2.UC31-1__bin.45	30023.0	19120.0	16327.0	29500.0	40138.0	28406.0	32307.0	34386.0	30946.0	53853.0	33725.0	21762.0	33047.0	34056.0	34374.0	17163.0	32013.0	30825.0	32814.0	33656.0	28712.0	39018.0	0.0	33174.0	24736.0	34241.0	28502.0	33543.0	1579.0	13592.0	33439.0	22943.0
FengQ_2015__SID530373__bin.58	25935.0	34475.0	34566.0	26865.0	39181.0	28606.0	27843.0	31563.0	31427.0	51549.0	33619.0	19918.0	29292.0	33602.0	34360.0	15074.0	28697.0	28704.0	28723.0	31148.0	25465.0	37362.0	33174.0	0.0	22943.0	34232.0	25039.0	32777.0	26702.0	24168.0	33215.0	21577.0
CosteaPI_2017__SID713A078-11-0-0__bin.19	18345.0	24937.0	24584.0	21453.0	28865.0	20934.0	19713.0	653.0	23095.0	37908.0	24233.0	17046.0	20705.0	25343.0	25229.0	9770.0	20024.0	21177.0	19863.0	19905.0	21576.0	25052.0	24736.0	22943.0	0.0	24103.0	16143.0	25476.0	19217.0	17659.0	23913.0	16786.0
XieH_2016__YSZC12003_35562__bin.33	29642.0	34857.0	35578.0	30055.0	39731.0	21468.0	33574.0	34276.0	29101.0	54132.0	22826.0	22679.0	34228.0	32367.0	28597.0	17435.0	33181.0	28548.0	33227.0	34056.0	30297.0	38716.0	34241.0	34232.0	24103.0	0.0	27851.0	32673.0	27418.0	25537.0	34413.0	23364.0
ZellerG_2014__CCIS63910149ST-4-0__bin.6	21483.0	28946.0	28581.0	19990.0	32762.0	22827.0	22522.0	20575.0	26074.0	43053.0	27351.0	15776.0	23558.0	28173.0	28212.0	12631.0	23352.0	23409.0	18454.0	11581.0	21843.0	31777.0	28502.0	25039.0	16143.0	27851.0	0.0	27877.0	23213.0	20812.0	26397.0	19340.0
XieH_2016__YSZC12003_35741__bin.73	28937.0	34610.0	35116.0	29907.0	40508.0	27465.0	32708.0	35281.0	30790.0	53563.0	32127.0	22138.0	33169.0	33763.0	32839.0	16665.0	31955.0	30283.0	33790.0	34354.0	28525.0	38670.0	33543.0	32777.0	25476.0	32673.0	27877.0	0.0	27416.0	24410.0	34943.0	22409.0
NielsenHB_2014__O2_UC31_0__bin.50	24535.0	15798.0	14070.0	23192.0	30998.0	22701.0	26431.0	27238.0	24674.0	40923.0	27438.0	15873.0	26535.0	26998.0	27170.0	15114.0	25490.0	25159.0	26347.0	26985.0	21958.0	31288.0	1579.0	26702.0	19217.0	27418.0	23213.0	27416.0	0.0	11400.0	26768.0	19660.0
LeChatelierE_2013__MH0448__bin.11	22550.0	15065.0	12069.0	21363.0	28439.0	20792.0	23320.0	24551.0	22830.0	37172.0	24942.0	15491.0	23964.0	24837.0	25012.0	13426.0	23082.0	22839.0	24288.0	24505.0	20440.0	27655.0	13592.0	24168.0	17659.0	25537.0	20812.0	24410.0	11400.0	0.0	24268.0	17242.0
XieH_2016__YSZC12003_37101__bin.76	28637.0	33857.0	33971.0	29318.0	39994.0	27946.0	30653.0	33963.0	31561.0	52987.0	32994.0	22264.0	32315.0	34659.0	34442.0	16260.0	31855.0	29766.0	32676.0	33748.0	27831.0	38685.0	33439.0	33215.0	23913.0	34413.0	26397.0	34943.0	26768.0	24268.0	0.0	23394.0
ZeeviD_2015__PNP_Main_140__bin.8	19011.0	23474.0	23285.0	19283.0	27414.0	19601.0	21015.0	23046.0	21280.0	36930.0	23039.0	13077.0	20903.0	23482.0	22807.0	12386.0	21105.0	20910.0	21732.0	22961.0	16616.0	26295.0	22943.0	21577.0	16786.0	23364.0	19340.0	22409.0	19660.0	17242.0	23394.0	0.0
