	VatanenT_2016__G78493__bin.3	VatanenT_2016__G80455__bin.6	NielsenHB_2014__V1_CD35_1__bin.21	AsnicarF_2017__MV_FEI2_t1Q14__bin.9	VatanenT_2016__G69181__bin.6	FerrettiP_2018__CA_C10019IS2329FE_t5M16__bin.3	BackhedF_2015__SID577_4M__bin.20	BackhedF_2015__SID157_12M__bin.1	VincentC_2016__MM016.2__bin.3	XieH_2016__YSZC12003_35704__bin.15	LiJ_2014__V1.FI23__bin.11	VatanenT_2016__G78904__bin.1	VincentC_2016__MM016.1__bin.11	BackhedF_2015__SID150_12M__bin.6	BackhedF_2015__SID577_B__bin.1	NielsenHB_2014__V1_CD35_0__bin.13	VatanenT_2016__G78674__bin.5	QinJ_2012__T2D-020__bin.19	VatanenT_2016__G78739__bin.5	BackhedF_2015__SID157_4M__bin.11	HeQ_2017__SZAXPI029480-66__bin.27	FerrettiP_2018__CA_C10032IS2559FE_t5M16__bin.11	BackhedF_2015__SID87_4M__bin.11	VatanenT_2016__G80482__bin.6	FerrettiP_2018__CA_C10019IS2329FE_t4M15__bin.2	VatanenT_2016__G80489__bin.1	VatanenT_2016__G78749__bin.3	BackhedF_2015__SID591_4M__bin.12
LiJ_2014__V1.FI23__bin.11	948181.0	1978100.0	2000046.0	1283884.0	1656398.0	1953349.0	1927451.0	1797917.0	1968048.0	1056040.0	2145066.0	1004355.0	1344729.0	1843522.0	1939046.0	2041631.0	1037030.0	1961348.0	1898575.0	1984578.0	1121669.0	2005399.0	1985733.0	1997661.0	683333.0	1932492.0	1750902.0	1738334.0
VatanenT_2016__G78904__bin.1	544624.0	998161.0	988389.0	654854.0	895473.0	1021021.0	1008169.0	936965.0	989376.0	507398.0	1004355.0	1151300.0	676450.0	964118.0	1010342.0	1001722.0	593677.0	1003294.0	1037268.0	987168.0	599917.0	994133.0	988408.0	1000070.0	353748.0	991598.0	981840.0	905522.0
VincentC_2016__MM016.1__bin.11	589646.0	1352271.0	1361418.0	1070765.0	1109907.0	1310912.0	1335056.0	1221300.0	1409244.0	890701.0	1344729.0	676450.0	1412065.0	1213023.0	1321955.0	1396917.0	654024.0	1344888.0	1257788.0	1349729.0	724155.0	1359784.0	1303007.0	1378805.0	643563.0	1317553.0	1159701.0	1174054.0
BackhedF_2015__SID150_12M__bin.6	900036.0	1814420.0	1816465.0	1267461.0	1582662.0	1950555.0	1857491.0	1656493.0	1829870.0	1013996.0	1843522.0	964118.0	1213023.0	1998691.0	1890417.0	1866176.0	997797.0	1837767.0	1837933.0	1823505.0	1059101.0	1841278.0	1805512.0	1849350.0	644371.0	1823720.0	1719538.0	1700329.0
BackhedF_2015__SID577_B__bin.1	948759.0	1936341.0	1937589.0	1275498.0	1659694.0	2000176.0	2119403.0	1796043.0	1960133.0	1036716.0	1939046.0	1010342.0	1321955.0	1890417.0	2129013.0	1985785.0	1046398.0	2018969.0	1893618.0	1987393.0	1151621.0	1974873.0	1882427.0	1974177.0	683644.0	1998786.0	1775553.0	1757574.0
NielsenHB_2014__V1_CD35_0__bin.13	940531.0	2008776.0	2146788.0	1269964.0	1675440.0	1990700.0	1962922.0	1807338.0	2036455.0	1066923.0	2041631.0	1001722.0	1396917.0	1866176.0	1985785.0	2184954.0	1037344.0	1984585.0	1895736.0	2007484.0	1116296.0	2082332.0	1946866.0	2040272.0	701697.0	1947890.0	1757400.0	1745257.0
VatanenT_2016__G78674__bin.5	595781.0	1033338.0	1020387.0	661162.0	956417.0	1051064.0	1044161.0	980924.0	1025162.0	525117.0	1037030.0	593677.0	654024.0	997797.0	1046398.0	1037344.0	1063484.0	1040613.0	1036336.0	1019788.0	643244.0	1032626.0	1032285.0	1036934.0	317945.0	1034523.0	1009182.0	932294.0
QinJ_2012__T2D-020__bin.19	937717.0	1934659.0	1959321.0	1277564.0	1652924.0	1982810.0	2015148.0	1811888.0	1953410.0	1059084.0	1961348.0	1003294.0	1344888.0	1837767.0	2018969.0	1984585.0	1040613.0	2154663.0	1842631.0	1968363.0	1144918.0	1997980.0	1932447.0	1968376.0	691048.0	2029035.0	1737673.0	1759741.0
VatanenT_2016__G78739__bin.5	954519.0	1866966.0	1837333.0	1269289.0	1619176.0	1906063.0	1870773.0	1720273.0	1857392.0	1017314.0	1898575.0	1037268.0	1257788.0	1837933.0	1893618.0	1895736.0	1036336.0	1842631.0	1999606.0	1868665.0	1106991.0	1897969.0	1842799.0	1866201.0	651981.0	1854783.0	1780627.0	1735067.0
BackhedF_2015__SID157_4M__bin.11	931850.0	2007953.0	1978940.0	1240337.0	1646996.0	1928078.0	1962794.0	1865715.0	1984014.0	1067794.0	1984578.0	987168.0	1349729.0	1823505.0	1987393.0	2007484.0	1019788.0	1968363.0	1868665.0	2145616.0	1137304.0	2028300.0	1932018.0	2029256.0	677870.0	1970895.0	1722675.0	1760321.0
HeQ_2017__SZAXPI029480-66__bin.27	591197.0	1110795.0	1100597.0	691087.0	982062.0	1120090.0	1150157.0	1081389.0	1105098.0	562910.0	1121669.0	599917.0	724155.0	1059101.0	1151621.0	1116296.0	643244.0	1144918.0	1106991.0	1137304.0	1168196.0	1113346.0	1104896.0	1119774.0	370343.0	1135563.0	1032787.0	1005502.0
FerrettiP_2018__CA_C10032IS2559FE_t5M16__bin.11	933671.0	1972815.0	2043267.0	1283161.0	1656619.0	1997706.0	1963416.0	1798192.0	2003987.0	1067038.0	2005399.0	994133.0	1359784.0	1841278.0	1974873.0	2082332.0	1032626.0	1997980.0	1897969.0	2028300.0	1113346.0	2189348.0	1918510.0	1999606.0	698996.0	1981436.0	1750463.0	1740354.0
BackhedF_2015__SID87_4M__bin.11	937043.0	1922416.0	1910465.0	1255520.0	1616254.0	1906484.0	1882940.0	1761197.0	1912981.0	1045968.0	1985733.0	988408.0	1303007.0	1805512.0	1882427.0	1946866.0	1032285.0	1932447.0	1842799.0	1932018.0	1104896.0	1918510.0	2001881.0	1941096.0	667801.0	1921909.0	1707811.0	1683252.0
VatanenT_2016__G80482__bin.6	943718.0	2032745.0	2014770.0	1270300.0	1664389.0	1964850.0	1965410.0	1811388.0	2004071.0	1062302.0	1997661.0	1000070.0	1378805.0	1849350.0	1974177.0	2040272.0	1036934.0	1968376.0	1866201.0	2029256.0	1119774.0	1999606.0	1941096.0	2095612.0	692725.0	1954596.0	1757645.0	1734131.0
FerrettiP_2018__CA_C10019IS2329FE_t4M15__bin.2	316226.0	670424.0	683181.0	606315.0	585474.0	702864.0	683220.0	613575.0	673144.0	559533.0	683333.0	353748.0	643563.0	644371.0	683644.0	701697.0	317945.0	691048.0	651981.0	677870.0	370343.0	698996.0	667801.0	692725.0	707776.0	667808.0	601994.0	639748.0
VatanenT_2016__G80489__bin.1	936480.0	1940031.0	1910246.0	1256611.0	1631804.0	1967949.0	1995246.0	1791128.0	1931417.0	1054776.0	1932492.0	991598.0	1317553.0	1823720.0	1998786.0	1947890.0	1034523.0	2029035.0	1854783.0	1970895.0	1135563.0	1981436.0	1921909.0	1954596.0	667808.0	2088545.0	1732372.0	1715976.0
VatanenT_2016__G78749__bin.3	895112.0	1740707.0	1718244.0	1156756.0	1530920.0	1791925.0	1764037.0	1597649.0	1721953.0	917267.0	1750902.0	981840.0	1159701.0	1719538.0	1775553.0	1757400.0	1009182.0	1737673.0	1780627.0	1722675.0	1032787.0	1750463.0	1707811.0	1757645.0	601994.0	1732372.0	1867305.0	1604975.0
BackhedF_2015__SID591_4M__bin.12	866269.0	1736733.0	1704521.0	1107467.0	1513886.0	1755729.0	1733740.0	1565779.0	1737729.0	1027551.0	1738334.0	905522.0	1174054.0	1700329.0	1757574.0	1745257.0	932294.0	1759741.0	1735067.0	1760321.0	1005502.0	1740354.0	1683252.0	1734131.0	639748.0	1715976.0	1604975.0	1850083.0
