	VatanenT_2016__G78493__bin.3	VatanenT_2016__G80455__bin.6	NielsenHB_2014__V1_CD35_1__bin.21	AsnicarF_2017__MV_FEI2_t1Q14__bin.9	VatanenT_2016__G69181__bin.6	FerrettiP_2018__CA_C10019IS2329FE_t5M16__bin.3	BackhedF_2015__SID577_4M__bin.20	BackhedF_2015__SID157_12M__bin.1	VincentC_2016__MM016.2__bin.3	XieH_2016__YSZC12003_35704__bin.15	LiJ_2014__V1.FI23__bin.11	VatanenT_2016__G78904__bin.1	VincentC_2016__MM016.1__bin.11	BackhedF_2015__SID150_12M__bin.6	BackhedF_2015__SID577_B__bin.1	NielsenHB_2014__V1_CD35_0__bin.13	VatanenT_2016__G78674__bin.5	QinJ_2012__T2D-020__bin.19	VatanenT_2016__G78739__bin.5	BackhedF_2015__SID157_4M__bin.11	HeQ_2017__SZAXPI029480-66__bin.27	FerrettiP_2018__CA_C10032IS2559FE_t5M16__bin.11	BackhedF_2015__SID87_4M__bin.11	VatanenT_2016__G80482__bin.6	FerrettiP_2018__CA_C10019IS2329FE_t4M15__bin.2	VatanenT_2016__G80489__bin.1	VatanenT_2016__G78749__bin.3	BackhedF_2015__SID591_4M__bin.12
VincentC_2016__MM016.1__bin.11	2028.0	4496.0	2689.0	4906.0	3681.0	6661.0	7448.0	4655.0	117.0	1729.0	4758.0	3304.0	0.0	5800.0	7437.0	2620.0	3078.0	8596.0	6096.0	4535.0	5224.0	3602.0	8785.0	4508.0	1448.0	7638.0	5581.0	5065.0
BackhedF_2015__SID150_12M__bin.6	727.0	10000.0	9942.0	826.0	6553.0	2416.0	10009.0	10190.0	8387.0	3777.0	8581.0	766.0	5800.0	0.0	10221.0	9953.0	658.0	9562.0	2056.0	10262.0	6252.0	9040.0	9668.0	10002.0	896.0	10005.0	1664.0	744.0
BackhedF_2015__SID577_B__bin.1	4674.0	10362.0	11194.0	7904.0	6898.0	13870.0	228.0	12313.0	10644.0	4617.0	13366.0	5362.0	7437.0	10221.0	0.0	11375.0	5345.0	12880.0	10469.0	12603.0	7453.0	15118.0	12470.0	10346.0	3331.0	13008.0	9411.0	8409.0
NielsenHB_2014__V1_CD35_0__bin.13	3719.0	5855.0	309.0	5993.0	5620.0	10325.0	11085.0	6151.0	4122.0	878.0	8007.0	4844.0	2620.0	9953.0	11375.0	0.0	4800.0	11983.0	9397.0	6415.0	7147.0	7232.0	12252.0	6225.0	1699.0	10826.0	8681.0	8795.0
VatanenT_2016__G78674__bin.5	522.0	5093.0	4840.0	310.0	4161.0	1392.0	5336.0	5502.0	4299.0	2035.0	4211.0	437.0	3078.0	658.0	5345.0	4800.0	0.0	4883.0	897.0	4912.0	3232.0	4431.0	4365.0	4987.0	404.0	4809.0	806.0	664.0
QinJ_2012__T2D-020__bin.19	3812.0	10432.0	11868.0	6973.0	8111.0	11745.0	12794.0	11817.0	10745.0	4568.0	12602.0	5430.0	8596.0	9562.0	12880.0	11983.0	4883.0	0.0	9514.0	11447.0	2242.0	13070.0	9381.0	10617.0	2085.0	1029.0	8370.0	7692.0
VatanenT_2016__G78739__bin.5	160.0	9681.0	9414.0	737.0	6481.0	3098.0	10121.0	9866.0	7846.0	3652.0	8304.0	404.0	6096.0	2056.0	10469.0	9397.0	897.0	9514.0	0.0	9539.0	6204.0	8699.0	9948.0	9687.0	1155.0	10026.0	233.0	1843.0
BackhedF_2015__SID157_4M__bin.11	3977.0	1168.0	6423.0	6449.0	5072.0	10356.0	12191.0	1120.0	7854.0	1356.0	9378.0	5152.0	4535.0	10262.0	12603.0	6415.0	4912.0	11447.0	9539.0	0.0	7777.0	11185.0	10579.0	1248.0	1900.0	11691.0	8750.0	8864.0
HeQ_2017__SZAXPI029480-66__bin.27	3108.0	7067.0	7051.0	4271.0	6139.0	6477.0	7440.0	8089.0	7096.0	3275.0	7204.0	3370.0	5224.0	6252.0	7453.0	7147.0	3232.0	2242.0	6204.0	7777.0	0.0	6969.0	5892.0	7295.0	1564.0	1767.0	5663.0	5674.0
FerrettiP_2018__CA_C10032IS2559FE_t5M16__bin.11	3583.0	8606.0	5660.0	5559.0	7151.0	10580.0	15048.0	10038.0	5614.0	2899.0	3932.0	4599.0	3602.0	9040.0	15118.0	7232.0	4431.0	13070.0	8699.0	11185.0	6969.0	0.0	10101.0	9067.0	2211.0	12887.0	7761.0	8019.0
BackhedF_2015__SID87_4M__bin.11	4524.0	10984.0	12239.0	6552.0	9403.0	9603.0	12512.0	10686.0	12810.0	5791.0	9069.0	4678.0	8785.0	9668.0	12470.0	12252.0	4365.0	9381.0	9948.0	10579.0	5892.0	10101.0	0.0	11177.0	1954.0	9146.0	8856.0	8030.0
VatanenT_2016__G80482__bin.6	4033.0	93.0	6373.0	6551.0	5359.0	10423.0	10403.0	2309.0	7880.0	1045.0	10171.0	5251.0	4508.0	10002.0	10346.0	6225.0	4987.0	10617.0	9687.0	1248.0	7295.0	9067.0	11177.0	0.0	1915.0	10843.0	9097.0	8688.0
FerrettiP_2018__CA_C10019IS2329FE_t4M15__bin.2	436.0	1898.0	1697.0	709.0	1867.0	49.0	3337.0	2108.0	1700.0	1256.0	1651.0	526.0	1448.0	896.0	3331.0	1699.0	404.0	2085.0	1155.0	1900.0	1564.0	2211.0	1954.0	1915.0	0.0	1988.0	950.0	579.0
VatanenT_2016__G80489__bin.1	4209.0	10426.0	10620.0	7034.0	8688.0	12156.0	13029.0	11519.0	10066.0	4419.0	12012.0	5390.0	7638.0	10005.0	13008.0	10826.0	4809.0	1029.0	10026.0	11691.0	1767.0	12887.0	9146.0	10843.0	1988.0	0.0	8860.0	7929.0
VatanenT_2016__G78749__bin.3	124.0	9005.0	8706.0	550.0	5992.0	2770.0	9271.0	9070.0	7177.0	3153.0	7530.0	404.0	5581.0	1664.0	9411.0	8681.0	806.0	8370.0	233.0	8750.0	5663.0	7761.0	8856.0	9097.0	950.0	8860.0	0.0	1490.0
BackhedF_2015__SID591_4M__bin.12	819.0	8613.0	8758.0	326.0	5275.0	1554.0	8190.0	8674.0	7350.0	3600.0	7794.0	650.0	5065.0	744.0	8409.0	8795.0	664.0	7692.0	1843.0	8864.0	5674.0	8019.0	8030.0	8688.0	579.0	7929.0	1490.0	0.0
