	HeQ_2017__SZAXPI029466-158__bin.31	HeQ_2017__SZAXPI029601-32__bin.4	LiJ_2017__H3M415117__bin.20	VogtmannE_2016__MMRS57569834ST-27-0-0__bin.9	QinJ_2012__T2D-068__bin.13	LiJ_2017__H3M515935__bin.40	BackhedF_2015__SID26_12M__bin.39	LiJ_2017__H1M513738__bin.10	LiJ_2014__V1.FI35__bin.2	LiJ_2014__V1.FI18__bin.20	LeChatelierE_2013__MH0131__bin.71	VogtmannE_2016__MMRS95674036ST-27-0-0__bin.11	HeQ_2017__SZAXPI029486-84__bin.7	QinJ_2012__CON-039__bin.30	YuJ_2015__SZAXPI015228-14__bin.71	BackhedF_2015__SID229_12M__bin.11	WenC_2017__N030__bin.20	NielsenHB_2014__V1_CD17_0__bin.21	LoombaR_2017__SID1049_baw__bin.51	HeQ_2017__SZAXPI029602-33__bin.13	YuJ_2015__SZAXPI015219-129__bin.25	LiJ_2017__H2M413915__bin.4	QinJ_2012__CON-065__bin.52	QinJ_2012__NOM014__bin.9	QinJ_2012__CON-008__bin.32	BackhedF_2015__SID546_12M__bin.16	QinJ_2012__NOM004__bin.3	LiJ_2017__H3M518116__bin.33	LeChatelierE_2013__MH0088__bin.28	NielsenHB_2014__MH0088__bin.26	VogtmannE_2016__MMRS91297590ST-27-0-0__bin.10	WenC_2017__RA082__bin.7	HeQ_2017__SZAXPI029499-101__bin.44	QinN_2014__HD-45__bin.29	YuJ_2015__SZAXPI003422-11__bin.27	LoombaR_2017__SID5630_kod__bin.9	HeQ_2017__RSZAXPI003107-147__bin.9	HeQ_2017__SZAXPI029552-169__bin.11	VogtmannE_2016__MMRS64281211ST-27-0-0__bin.33	NielsenHB_2014__V1_CD17_4__bin.54	XieH_2016__YSZC12003_35630__bin.12	HeQ_2017__SZAXPI029574-89__bin.29	BackhedF_2015__SID608_M__bin.38	QinJ_2012__T2D-102__bin.53	ChengpingW_2017__AS111raw__bin.2	ChengpingW_2017__AS15raw__bin.53	LiJ_2017__H1M512855__bin.10	HeQ_2017__RSZAXPI003102-140__bin.29	LeChatelierE_2013__MH0444__bin.45
LeChatelierE_2013__MH0131__bin.71	11792.0	8861.0	18634.0	58943.0	21384.0	13556.0	18054.0	15343.0	15542.0	12452.0	0.0	21104.0	17871.0	15667.0	26702.0	13128.0	20041.0	9555.0	60104.0	26431.0	11169.0	12011.0	21458.0	12396.0	10938.0	61091.0	11367.0	11944.0	62220.0	59706.0	11878.0	12256.0	10140.0	19137.0	22220.0	13695.0	19477.0	23981.0	13289.0	6519.0	15176.0	7791.0	53674.0	7358.0	19268.0	15843.0	10923.0	15833.0	46792.0
VogtmannE_2016__MMRS95674036ST-27-0-0__bin.11	8609.0	14049.0	22067.0	65635.0	19072.0	17558.0	22202.0	19227.0	20953.0	10358.0	21104.0	0.0	13539.0	15851.0	21623.0	23711.0	21926.0	23239.0	67962.0	24936.0	13782.0	16584.0	16127.0	14192.0	8222.0	68029.0	24319.0	9611.0	70622.0	68753.0	17152.0	17420.0	22307.0	22571.0	19370.0	15504.0	15855.0	23168.0	19178.0	13541.0	24174.0	7578.0	59394.0	16460.0	22817.0	13604.0	14250.0	14199.0	53299.0
HeQ_2017__SZAXPI029486-84__bin.7	11497.0	13496.0	17678.0	53884.0	14305.0	12834.0	20300.0	18871.0	17429.0	10342.0	17871.0	13539.0	0.0	11106.0	16343.0	19747.0	18432.0	20824.0	53998.0	18723.0	16211.0	12167.0	10964.0	10604.0	11154.0	54021.0	21555.0	9796.0	55847.0	54244.0	12989.0	13696.0	19716.0	19711.0	14732.0	11941.0	15924.0	16984.0	16191.0	16559.0	21279.0	8138.0	46157.0	11697.0	18583.0	8509.0	11264.0	15444.0	52919.0
QinJ_2012__CON-039__bin.30	5857.0	7498.0	15972.0	41098.0	14871.0	13025.0	16859.0	12954.0	15272.0	7369.0	15667.0	15851.0	11106.0	0.0	16407.0	17182.0	15988.0	16889.0	42336.0	16487.0	9177.0	12015.0	14290.0	10745.0	5650.0	40906.0	16643.0	6828.0	43839.0	42228.0	13175.0	12448.0	16205.0	16525.0	13941.0	12888.0	12375.0	16503.0	13235.0	8833.0	17371.0	4037.0	38562.0	12633.0	17545.0	11979.0	11578.0	7696.0	31446.0
YuJ_2015__SZAXPI015228-14__bin.71	9980.0	16186.0	24856.0	65631.0	20536.0	19444.0	27738.0	23605.0	25018.0	11290.0	26702.0	21623.0	16343.0	16407.0	0.0	28915.0	25785.0	27837.0	68709.0	24534.0	17520.0	17296.0	19586.0	17021.0	10258.0	72359.0	28604.0	9657.0	72734.0	70471.0	21120.0	19014.0	27296.0	25606.0	18638.0	17038.0	18279.0	20995.0	22120.0	17376.0	27866.0	8339.0	62845.0	18760.0	26071.0	13320.0	16321.0	13171.0	54464.0
BackhedF_2015__SID229_12M__bin.11	13798.0	10191.0	21210.0	65523.0	22680.0	14147.0	22638.0	17354.0	17431.0	13378.0	13128.0	23711.0	19747.0	17182.0	28915.0	0.0	22298.0	12964.0	66351.0	29864.0	13350.0	13753.0	23830.0	14600.0	12193.0	68807.0	14383.0	12345.0	70526.0	68206.0	13899.0	14467.0	13022.0	22782.0	24137.0	16112.0	22684.0	25657.0	14628.0	7943.0	17980.0	8884.0	59504.0	9849.0	21911.0	17357.0	13193.0	16678.0	52096.0
WenC_2017__N030__bin.20	11677.0	10472.0	21787.0	61049.0	20335.0	16084.0	21485.0	17538.0	19646.0	12065.0	20041.0	21926.0	18432.0	15988.0	25785.0	22298.0	0.0	20918.0	63775.0	26606.0	6028.0	14497.0	21644.0	14809.0	10302.0	63782.0	21525.0	11593.0	64456.0	62962.0	15952.0	16774.0	20034.0	21059.0	21762.0	16343.0	19885.0	23698.0	16383.0	12258.0	19985.0	9397.0	57223.0	14749.0	9976.0	15193.0	13935.0	15371.0	49115.0
NielsenHB_2014__V1_CD17_0__bin.21	12629.0	8824.0	19703.0	64635.0	22046.0	12583.0	21602.0	16048.0	16336.0	12871.0	9555.0	23239.0	20824.0	16889.0	27837.0	12964.0	20918.0	0.0	66329.0	28716.0	12378.0	12821.0	22766.0	13823.0	11011.0	67827.0	9004.0	11994.0	69438.0	67689.0	13570.0	14681.0	8523.0	20362.0	23567.0	15624.0	20978.0	24509.0	13918.0	370.0	16306.0	8665.0	59695.0	6435.0	20444.0	16457.0	11626.0	16223.0	51148.0
LoombaR_2017__SID1049_baw__bin.51	31849.0	31754.0	64112.0	22687.0	58524.0	52441.0	63765.0	55968.0	61771.0	36202.0	60104.0	67962.0	53998.0	42336.0	68709.0	66351.0	63775.0	66329.0	0.0	66795.0	38420.0	44708.0	60643.0	43955.0	30354.0	30334.0	60972.0	33186.0	30314.0	29796.0	51851.0	42189.0	64468.0	63107.0	56457.0	42155.0	59121.0	66250.0	55996.0	41014.0	55873.0	22889.0	25611.0	49092.0	65362.0	45177.0	43518.0	37779.0	20436.0
HeQ_2017__SZAXPI029602-33__bin.13	10599.0	14721.0	25523.0	65219.0	22881.0	19718.0	28773.0	24177.0	26037.0	12295.0	26431.0	24936.0	18723.0	16487.0	24534.0	29864.0	26606.0	28716.0	66795.0	0.0	17665.0	19056.0	23394.0	19776.0	9747.0	69314.0	29128.0	11093.0	69914.0	68126.0	22432.0	21514.0	26493.0	26897.0	18325.0	17832.0	19493.0	24342.0	23981.0	17157.0	28145.0	8618.0	61578.0	20002.0	27609.0	16071.0	18044.0	11133.0	53260.0
YuJ_2015__SZAXPI015219-129__bin.25	11665.0	10593.0	15399.0	40011.0	12782.0	8277.0	14224.0	12947.0	13766.0	11280.0	11169.0	13782.0	16211.0	9177.0	17520.0	13350.0	6028.0	12378.0	38420.0	17665.0	0.0	8159.0	14334.0	7714.0	10147.0	43364.0	13031.0	9789.0	42445.0	41664.0	8699.0	8421.0	12805.0	12193.0	13545.0	7896.0	16108.0	15798.0	8780.0	11199.0	11644.0	7265.0	34902.0	6584.0	7486.0	7990.0	6725.0	13976.0	40179.0
LiJ_2017__H2M413915__bin.4	7722.0	6448.0	13352.0	44382.0	14508.0	9500.0	14786.0	10187.0	11820.0	7979.0	12011.0	16584.0	12167.0	12015.0	17296.0	13753.0	14497.0	12821.0	44708.0	19056.0	8159.0	0.0	16703.0	10245.0	7174.0	46464.0	14739.0	7054.0	46661.0	44802.0	9657.0	10566.0	13055.0	14475.0	14499.0	11453.0	14649.0	16955.0	10808.0	7358.0	12691.0	5505.0	43144.0	10617.0	14743.0	11414.0	10433.0	9753.0	34349.0
QinJ_2012__CON-065__bin.52	7075.0	12217.0	20891.0	58353.0	17862.0	16191.0	21635.0	19898.0	21714.0	8414.0	21458.0	16127.0	10964.0	14290.0	19586.0	23830.0	21644.0	22766.0	60643.0	23394.0	14334.0	16703.0	0.0	14430.0	6835.0	60756.0	23628.0	8084.0	61773.0	59809.0	17944.0	17808.0	22099.0	22216.0	17904.0	14531.0	12777.0	20451.0	19364.0	13269.0	24011.0	7183.0	54963.0	16808.0	21204.0	12030.0	15108.0	12222.0	45668.0
QinJ_2012__NOM014__bin.9	5374.0	5859.0	14015.0	41437.0	13486.0	12126.0	13252.0	11337.0	13300.0	6294.0	12396.0	14192.0	10604.0	10745.0	17021.0	14600.0	14809.0	13823.0	43955.0	19776.0	7714.0	10245.0	14430.0	0.0	5242.0	43328.0	14985.0	5612.0	44489.0	42908.0	11225.0	10286.0	13641.0	14351.0	15034.0	11854.0	11001.0	17269.0	11739.0	7538.0	13821.0	4324.0	40695.0	11354.0	14396.0	10895.0	10035.0	8501.0	30659.0
QinJ_2012__CON-008__bin.32	51.0	11333.0	9885.0	31229.0	8079.0	4961.0	12498.0	10681.0	9421.0	8621.0	10938.0	8222.0	11154.0	5650.0	10258.0	12193.0	10302.0	11011.0	30354.0	9747.0	10147.0	7174.0	6835.0	5242.0	0.0	30719.0	11404.0	8814.0	31578.0	30797.0	7358.0	8211.0	10262.0	10767.0	7223.0	7187.0	141.0	9469.0	8509.0	8557.0	12513.0	6483.0	25024.0	4564.0	11201.0	4718.0	6872.0	10067.0	30602.0
BackhedF_2015__SID546_12M__bin.16	33855.0	35041.0	66319.0	30212.0	60170.0	50285.0	64922.0	60565.0	63255.0	36676.0	61091.0	68029.0	54021.0	40906.0	72359.0	68807.0	63782.0	67827.0	30334.0	69314.0	43364.0	46464.0	60756.0	43328.0	30719.0	0.0	61506.0	33713.0	29766.0	28122.0	51994.0	42507.0	65699.0	64677.0	57403.0	42774.0	59309.0	68882.0	58380.0	43954.0	57939.0	25140.0	28117.0	48631.0	66574.0	45152.0	43991.0	39316.0	23975.0
QinJ_2012__NOM004__bin.3	13123.0	10342.0	20525.0	58709.0	22199.0	13624.0	22784.0	18102.0	17998.0	13492.0	11367.0	24319.0	21555.0	16643.0	28604.0	14383.0	21525.0	9004.0	60972.0	29128.0	13031.0	14739.0	23628.0	14985.0	11404.0	61506.0	0.0	12722.0	63353.0	61571.0	13630.0	15203.0	6977.0	22846.0	22094.0	15370.0	22216.0	25965.0	16169.0	5892.0	16851.0	9800.0	54917.0	5224.0	21502.0	16877.0	13338.0	16895.0	47661.0
LiJ_2017__H3M518116__bin.33	9064.0	10582.0	11208.0	34213.0	5790.0	6121.0	12457.0	11386.0	11620.0	330.0	11944.0	9611.0	9796.0	6828.0	9657.0	12345.0	11593.0	11994.0	33186.0	11093.0	9789.0	7054.0	8084.0	5612.0	8814.0	33713.0	12722.0	0.0	33387.0	32196.0	7993.0	7909.0	12933.0	10762.0	6559.0	6853.0	9973.0	9474.0	9224.0	9502.0	12828.0	8800.0	27529.0	5071.0	12241.0	2961.0	6833.0	12802.0	34423.0
LeChatelierE_2013__MH0088__bin.28	33667.0	34485.0	68514.0	30303.0	60961.0	51386.0	66635.0	59588.0	64112.0	36120.0	62220.0	70622.0	55847.0	43839.0	72734.0	70526.0	64456.0	69438.0	30314.0	69914.0	42445.0	46661.0	61773.0	44489.0	31578.0	29766.0	63353.0	33387.0	0.0	958.0	52388.0	43637.0	65539.0	66066.0	58457.0	43957.0	60780.0	71008.0	58058.0	44359.0	59814.0	24551.0	27356.0	49746.0	66549.0	46915.0	44254.0	38605.0	23187.0
NielsenHB_2014__MH0088__bin.26	32878.0	34543.0	66787.0	29751.0	59516.0	49749.0	65196.0	57377.0	62226.0	34809.0	59706.0	68753.0	54244.0	42228.0	70471.0	68206.0	62962.0	67689.0	29796.0	68126.0	41664.0	44802.0	59809.0	42908.0	30797.0	28122.0	61571.0	32196.0	958.0	0.0	51360.0	42042.0	63682.0	64376.0	56530.0	43573.0	59266.0	69350.0	56757.0	43601.0	58611.0	23282.0	26172.0	48437.0	64786.0	45691.0	42645.0	37320.0	22060.0
VogtmannE_2016__MMRS91297590ST-27-0-0__bin.10	8022.0	6584.0	14432.0	49553.0	17905.0	10994.0	16869.0	11224.0	12843.0	8824.0	11878.0	17152.0	12989.0	13175.0	21120.0	13899.0	15952.0	13570.0	51851.0	22432.0	8699.0	9657.0	17944.0	11225.0	7358.0	51994.0	13630.0	7993.0	52388.0	51360.0	0.0	11231.0	14215.0	15828.0	17710.0	12847.0	14611.0	19926.0	9968.0	7594.0	13437.0	4748.0	47129.0	11021.0	14915.0	13933.0	9219.0	11400.0	38242.0
WenC_2017__RA082__bin.7	8743.0	6927.0	15598.0	40719.0	16728.0	10530.0	15246.0	11833.0	13571.0	8845.0	12256.0	17420.0	13696.0	12448.0	19014.0	14467.0	16774.0	14681.0	42189.0	21514.0	8421.0	10566.0	17808.0	10286.0	8211.0	42507.0	15203.0	7909.0	43637.0	42042.0	11231.0	0.0	13859.0	15798.0	16509.0	12447.0	15623.0	18240.0	10997.0	8345.0	12990.0	5554.0	39107.0	11840.0	16098.0	13306.0	9590.0	10267.0	30466.0
HeQ_2017__SZAXPI029499-101__bin.44	11326.0	9240.0	19859.0	64038.0	20925.0	13894.0	19661.0	16573.0	16647.0	13916.0	10140.0	22307.0	19716.0	16205.0	27296.0	13022.0	20034.0	8523.0	64468.0	26493.0	12805.0	13055.0	22099.0	13641.0	10262.0	65699.0	6977.0	12933.0	65539.0	63682.0	14215.0	13859.0	0.0	19979.0	23173.0	15619.0	20000.0	23646.0	13685.0	4923.0	16594.0	8199.0	56497.0	1833.0	21413.0	15204.0	12125.0	16919.0	52483.0
QinN_2014__HD-45__bin.29	12004.0	10672.0	22294.0	60829.0	22169.0	14897.0	21903.0	18085.0	20190.0	12639.0	19137.0	22571.0	19711.0	16525.0	25606.0	22782.0	21059.0	20362.0	63107.0	26897.0	12193.0	14475.0	22216.0	14351.0	10767.0	64677.0	22846.0	10762.0	66066.0	64376.0	15828.0	15798.0	19979.0	0.0	21887.0	16285.0	20756.0	23241.0	13293.0	12724.0	19805.0	7941.0	56698.0	14949.0	20622.0	16439.0	6883.0	13755.0	48074.0
YuJ_2015__SZAXPI003422-11__bin.27	7113.0	10344.0	20077.0	52383.0	14702.0	19716.0	23754.0	19473.0	20892.0	6831.0	22220.0	19370.0	14732.0	13941.0	18638.0	24137.0	21762.0	23567.0	56457.0	18325.0	13545.0	14499.0	17904.0	15034.0	7223.0	57403.0	22094.0	6559.0	58457.0	56530.0	17710.0	16509.0	23173.0	21887.0	0.0	14466.0	15108.0	19320.0	19085.0	12430.0	23863.0	4495.0	50624.0	17057.0	22185.0	11086.0	13832.0	8956.0	41340.0
LoombaR_2017__SID5630_kod__bin.9	7258.0	7059.0	8770.0	39856.0	13671.0	12466.0	16595.0	11787.0	15950.0	7563.0	13695.0	15504.0	11941.0	12888.0	17038.0	16112.0	16343.0	15624.0	42155.0	17832.0	7896.0	11453.0	14531.0	11854.0	7187.0	42774.0	15370.0	6853.0	43957.0	43573.0	12847.0	12447.0	15619.0	16285.0	14466.0	0.0	13048.0	16870.0	12676.0	7959.0	14764.0	3458.0	38426.0	12023.0	16238.0	10434.0	10868.0	9593.0	30194.0
HeQ_2017__RSZAXPI003107-147__bin.9	402.0	12382.0	18420.0	58619.0	15134.0	13971.0	22152.0	18206.0	19049.0	10814.0	19477.0	15855.0	15924.0	12375.0	18279.0	22684.0	19885.0	20978.0	59121.0	19493.0	16108.0	14649.0	12777.0	11001.0	141.0	59309.0	22216.0	9973.0	60780.0	59266.0	14611.0	15623.0	20000.0	20756.0	15108.0	13048.0	0.0	18165.0	17784.0	15380.0	22984.0	7458.0	51184.0	12519.0	21290.0	10272.0	13366.0	12602.0	53859.0
HeQ_2017__SZAXPI029552-169__bin.11	9735.0	13437.0	25468.0	63869.0	19224.0	18590.0	25824.0	20956.0	23272.0	10677.0	23981.0	23168.0	16984.0	16503.0	20995.0	25657.0	23698.0	24509.0	66250.0	24342.0	15798.0	16955.0	20451.0	17269.0	9469.0	68882.0	25965.0	9474.0	71008.0	69350.0	19926.0	18240.0	23646.0	23241.0	19320.0	16870.0	18165.0	0.0	20124.0	15631.0	25085.0	7437.0	60117.0	17408.0	24310.0	15158.0	14319.0	13370.0	51425.0
VogtmannE_2016__MMRS64281211ST-27-0-0__bin.33	9275.0	6320.0	15604.0	54241.0	18370.0	10396.0	15886.0	11574.0	13179.0	10065.0	13289.0	19178.0	16191.0	13235.0	22120.0	14628.0	16383.0	13918.0	55996.0	23981.0	8780.0	10808.0	19364.0	11739.0	8509.0	58380.0	16169.0	9224.0	58058.0	56757.0	9968.0	10997.0	13685.0	13293.0	19085.0	12676.0	17784.0	20124.0	0.0	8654.0	12593.0	5467.0	50813.0	10909.0	15799.0	14070.0	6738.0	11299.0	41993.0
NielsenHB_2014__V1_CD17_4__bin.54	9999.0	7477.0	11533.0	42570.0	12668.0	6372.0	13740.0	11198.0	10685.0	10636.0	6519.0	13541.0	16559.0	8833.0	17376.0	7943.0	12258.0	370.0	41014.0	17157.0	11199.0	7358.0	13269.0	7538.0	8557.0	43954.0	5892.0	9502.0	44359.0	43601.0	7594.0	8345.0	4923.0	12724.0	12430.0	7959.0	15380.0	15631.0	8654.0	0.0	11319.0	6138.0	36602.0	3678.0	12657.0	8555.0	6510.0	13671.0	42385.0
XieH_2016__YSZC12003_35630__bin.12	13639.0	9248.0	20184.0	55585.0	22132.0	14520.0	19961.0	14951.0	16806.0	13697.0	15176.0	24174.0	21279.0	17371.0	27866.0	17980.0	19985.0	16306.0	55873.0	28145.0	11644.0	12691.0	24011.0	13821.0	12513.0	57939.0	16851.0	12828.0	59814.0	58611.0	13437.0	12990.0	16594.0	19805.0	23863.0	14764.0	22984.0	25085.0	12593.0	11319.0	0.0	7096.0	52067.0	11569.0	20256.0	16866.0	11474.0	16479.0	43108.0
HeQ_2017__SZAXPI029574-89__bin.29	7570.0	6522.0	7563.0	24816.0	6540.0	3150.0	8809.0	7285.0	7570.0	8263.0	7791.0	7578.0	8138.0	4037.0	8339.0	8884.0	9397.0	8665.0	22889.0	8618.0	7265.0	5505.0	7183.0	4324.0	6483.0	25140.0	9800.0	8800.0	24551.0	23282.0	4748.0	5554.0	8199.0	7941.0	4495.0	3458.0	7458.0	7437.0	5467.0	6138.0	7096.0	0.0	20201.0	3404.0	8755.0	3994.0	5079.0	8516.0	24116.0
BackhedF_2015__SID608_M__bin.38	26730.0	27972.0	58371.0	24355.0	53585.0	45117.0	57664.0	51478.0	55761.0	30262.0	53674.0	59394.0	46157.0	38562.0	62845.0	59504.0	57223.0	59695.0	25611.0	61578.0	34902.0	43144.0	54963.0	40695.0	25024.0	28117.0	54917.0	27529.0	27356.0	26172.0	47129.0	39107.0	56497.0	56698.0	50624.0	38426.0	51184.0	60117.0	50813.0	36602.0	52067.0	20201.0	0.0	44621.0	57587.0	42119.0	41659.0	32204.0	19266.0
QinJ_2012__T2D-102__bin.53	4796.0	5212.0	13474.0	46022.0	16202.0	10998.0	14870.0	10710.0	11834.0	5778.0	7358.0	16460.0	11697.0	12633.0	18760.0	9849.0	14749.0	6435.0	49092.0	20002.0	6584.0	10617.0	16808.0	11354.0	4564.0	48631.0	5224.0	5071.0	49746.0	48437.0	11021.0	11840.0	1833.0	14949.0	17057.0	12023.0	12519.0	17408.0	10909.0	3678.0	11569.0	3404.0	44621.0	0.0	14302.0	13292.0	10256.0	7748.0	32749.0
