	CosteaPI_2017__SID713A084-11-0-0__bin.68	ZeeviD_2015__PNP_Main_80__bin.38	ZeeviD_2015__PNP_Main_67__bin.56	NielsenHB_2014__O2_UC29_0__bin.43	RaymondF_2016__P13E0__bin.27	XieH_2016__YSZC12003_37797__bin.86	YuJ_2015__SZAXPI003409-8__bin.82	VincentC_2016__MM103.2__bin.7	ZeeviD_2015__PNP_Main_362__bin.20	BritoIL_2016__M2.40.ST__bin.6	LiJ_2014__MH0402__bin.31	ZeeviD_2015__PNP_Main_93__bin.48	ZeeviD_2015__PNP_Main_545__bin.12	BritoIL_2016__M2.3.ST__bin.56	XieH_2016__YSZC12003_37196__bin.27	LeChatelierE_2013__MH0183__bin.57	LiJ_2014__V1.FI04__bin.78	HMP_2012__SRS049959__bin.74	ZeeviD_2015__PNP_Main_418__bin.8	YuJ_2015__SZAXPI003420-4__bin.6	XieH_2016__YSZC12003_37176__bin.33	ZeeviD_2015__PNP_Main_499__bin.24	NielsenHB_2014__V1_UC36_0__bin.54	XieH_2016__YSZC12003_37100__bin.114	XieH_2016__YSZC12003_37138__bin.23	KarlssonFH_2013__S479__bin.12	XieH_2016__YSZC12003_36008__bin.29	HMP_2012__SRS011529__bin.40	ZeeviD_2015__PNP_Main_317__bin.26	ZeeviD_2015__PNP_Main_122__bin.60	ZeeviD_2015__PNP_Main_166__bin.51	ZeeviD_2015__PNP_Main_386__bin.18	VogtmannE_2016__MMRS93621581ST-27-0-0__bin.70	ZeeviD_2015__PNP_Main_38__bin.1	ZeeviD_2015__PNP_Main_20__bin.22	LeChatelierE_2013__MH0144__bin.6	ZeeviD_2015__PNP_Main_722__bin.37	ZeeviD_2015__PNP_Main_456__bin.1	LiJ_2014__O2.UC29-1__bin.36	LeChatelierE_2013__MH0313__bin.17	ZellerG_2014__CCIS98832363ST-4-0__bin.77	BritoIL_2016__M2.49.ST__bin.36	ChengpingW_2017__AS78raw__bin.68	ZellerG_2014__CCIS20795251ST-4-0__bin.56	LeChatelierE_2013__MH0151__bin.14	XieH_2016__YSZC12003_37309R1__bin.49	NielsenHB_2014__MH0183__bin.20	NielsenHB_2014__O2_UC58_0__bin.25
ZeeviD_2015__PNP_Main_166__bin.51	34605.0	14875.0	13617.0	12303.0	14976.0	12497.0	18774.0	14551.0	15150.0	17257.0	14791.0	16342.0	14907.0	18379.0	13937.0	18863.0	13662.0	18047.0	13525.0	18450.0	16827.0	13609.0	7144.0	17653.0	15686.0	12976.0	16536.0	16603.0	15935.0	15339.0	0.0	15603.0	14598.0	13080.0	16455.0	17514.0	17941.0	12129.0	15423.0	39941.0	10739.0	17252.0	11602.0	14434.0	13091.0	15626.0	18274.0	14448.0
ZeeviD_2015__PNP_Main_386__bin.18	40127.0	16716.0	20449.0	15578.0	19581.0	14498.0	23469.0	18321.0	19744.0	21160.0	18532.0	21136.0	20631.0	21525.0	18796.0	23832.0	18564.0	22925.0	15953.0	23086.0	20217.0	20270.0	10212.0	23846.0	20564.0	17059.0	21055.0	22857.0	22444.0	20538.0	15603.0	0.0	19361.0	16227.0	23036.0	21625.0	22976.0	16737.0	20843.0	43734.0	13563.0	21174.0	15306.0	17234.0	16768.0	19567.0	23148.0	19124.0
VogtmannE_2016__MMRS93621581ST-27-0-0__bin.70	41230.0	16659.0	17968.0	14578.0	18654.0	16009.0	21433.0	16734.0	18373.0	20700.0	16578.0	18122.0	18506.0	21237.0	18278.0	22090.0	18076.0	20894.0	15343.0	21410.0	19587.0	18791.0	8288.0	22189.0	18973.0	15229.0	20384.0	20252.0	19279.0	18078.0	14598.0	19361.0	0.0	15660.0	20110.0	20284.0	21395.0	16280.0	19621.0	45475.0	13302.0	20392.0	14291.0	16640.0	16816.0	18208.0	21622.0	17473.0
ZeeviD_2015__PNP_Main_38__bin.1	36817.0	15223.0	17308.0	13391.0	15483.0	13170.0	18579.0	15126.0	17255.0	18363.0	15436.0	18189.0	16643.0	18984.0	15752.0	19584.0	14544.0	18669.0	14098.0	19796.0	17066.0	17267.0	8502.0	17516.0	16627.0	14220.0	18308.0	18092.0	17538.0	16145.0	13080.0	16227.0	15660.0	0.0	18215.0	18228.0	19172.0	13864.0	17706.0	40352.0	13372.0	18207.0	12381.0	14258.0	14141.0	16627.0	19204.0	16283.0
ZeeviD_2015__PNP_Main_20__bin.22	40584.0	19984.0	20210.0	16392.0	20422.0	18084.0	24644.0	18432.0	20792.0	23562.0	19623.0	21277.0	20868.0	24668.0	16758.0	25582.0	17629.0	24739.0	17712.0	25551.0	24188.0	19860.0	9131.0	23761.0	19355.0	17565.0	24600.0	23640.0	22938.0	21271.0	16455.0	23036.0	20110.0	18215.0	0.0	24372.0	24194.0	16486.0	21625.0	43727.0	12512.0	23755.0	16019.0	18813.0	20340.0	21521.0	25193.0	20799.0
LeChatelierE_2013__MH0144__bin.6	39547.0	12676.0	23389.0	16358.0	21286.0	18065.0	14600.0	19064.0	23122.0	17131.0	20692.0	21586.0	21926.0	21268.0	20152.0	14014.0	19709.0	16559.0	18871.0	16040.0	21136.0	23325.0	9660.0	23823.0	22095.0	17860.0	20246.0	23598.0	22654.0	21101.0	17514.0	21625.0	20284.0	18228.0	24372.0	0.0	14505.0	18280.0	21602.0	43747.0	17659.0	19581.0	6266.0	19767.0	18669.0	21704.0	13422.0	20677.0
ZeeviD_2015__PNP_Main_722__bin.37	42025.0	13009.0	23505.0	16892.0	21747.0	18221.0	14766.0	20939.0	22811.0	17546.0	20798.0	22179.0	21882.0	21458.0	21670.0	15598.0	20617.0	16790.0	19190.0	17268.0	22927.0	22356.0	10649.0	24819.0	24017.0	18809.0	21269.0	23946.0	23397.0	22448.0	17941.0	22976.0	21395.0	19172.0	24194.0	14505.0	0.0	18200.0	22311.0	45495.0	16317.0	20098.0	10869.0	20138.0	20774.0	23726.0	15001.0	21527.0
ZeeviD_2015__PNP_Main_456__bin.1	33061.0	15467.0	14500.0	12998.0	15622.0	13318.0	18790.0	14595.0	15256.0	17024.0	15122.0	16325.0	15637.0	17422.0	13464.0	19374.0	13144.0	18289.0	14629.0	19570.0	16658.0	13766.0	6653.0	17842.0	15135.0	14077.0	16907.0	18112.0	16635.0	16640.0	12129.0	16737.0	16280.0	13864.0	16486.0	18280.0	18200.0	0.0	16448.0	36790.0	10960.0	16924.0	12443.0	15217.0	14348.0	16588.0	18948.0	15509.0
LiJ_2014__O2.UC29-1__bin.36	40534.0	17766.0	20340.0	354.0	16836.0	16766.0	23202.0	17922.0	19613.0	21869.0	19026.0	20433.0	20632.0	22215.0	17537.0	23298.0	15214.0	22760.0	16971.0	23269.0	21567.0	19053.0	8351.0	22953.0	20720.0	17709.0	21357.0	21273.0	20961.0	20350.0	15423.0	20843.0	19621.0	17706.0	21625.0	21602.0	22311.0	16448.0	0.0	45327.0	14340.0	21080.0	14410.0	16653.0	18672.0	19691.0	22887.0	15139.0
LeChatelierE_2013__MH0313__bin.17	27702.0	38140.0	47181.0	33927.0	45905.0	36594.0	45717.0	40003.0	46732.0	41573.0	45422.0	45111.0	46187.0	44706.0	35357.0	46325.0	40827.0	44609.0	41118.0	44720.0	44642.0	44906.0	22349.0	41857.0	43903.0	40375.0	44755.0	44943.0	44424.0	44655.0	39941.0	43734.0	45475.0	40352.0	43727.0	43747.0	45495.0	36790.0	45327.0	0.0	34907.0	42666.0	29383.0	43531.0	43460.0	44335.0	45662.0	45505.0
ZellerG_2014__CCIS98832363ST-4-0__bin.77	29445.0	14663.0	8351.0	10809.0	14318.0	12972.0	17585.0	13343.0	10099.0	16190.0	13708.0	14821.0	14630.0	17270.0	9908.0	18445.0	13285.0	17691.0	11681.0	18285.0	15738.0	8320.0	6107.0	17520.0	12077.0	13309.0	15667.0	16270.0	14493.0	14968.0	10739.0	13563.0	13302.0	13372.0	12512.0	17659.0	16317.0	10960.0	14340.0	34907.0	0.0	16932.0	11279.0	12209.0	13276.0	12671.0	18106.0	13995.0
BritoIL_2016__M2.49.ST__bin.36	39231.0	17964.0	22323.0	16399.0	20942.0	17953.0	21603.0	19682.0	22403.0	20890.0	20349.0	21630.0	21556.0	11882.0	19657.0	21430.0	19090.0	21890.0	19209.0	21675.0	22192.0	22084.0	9829.0	24069.0	22030.0	18390.0	18721.0	21741.0	22754.0	20868.0	17252.0	21174.0	20392.0	18207.0	23755.0	19581.0	20098.0	16924.0	21080.0	42666.0	16932.0	0.0	13261.0	20557.0	19461.0	21423.0	20946.0	20517.0
ChengpingW_2017__AS78raw__bin.68	26978.0	8152.0	16056.0	11314.0	14033.0	11063.0	10390.0	13447.0	15497.0	11609.0	14196.0	14814.0	14216.0	13916.0	13275.0	9977.0	13735.0	10997.0	13068.0	11362.0	14307.0	14974.0	7764.0	15469.0	15522.0	13162.0	13661.0	15550.0	15827.0	14400.0	11602.0	15306.0	14291.0	12381.0	16019.0	6266.0	10869.0	12443.0	14410.0	29383.0	11279.0	13261.0	0.0	13193.0	12622.0	14509.0	9370.0	13912.0
ZellerG_2014__CCIS20795251ST-4-0__bin.56	37372.0	16472.0	17177.0	12262.0	15417.0	14370.0	20759.0	16589.0	17869.0	18607.0	15544.0	18181.0	18130.0	21061.0	15953.0	20521.0	14899.0	20225.0	15512.0	20444.0	19596.0	17016.0	7838.0	19387.0	17357.0	14140.0	19230.0	19384.0	18102.0	17017.0	14434.0	17234.0	16640.0	14258.0	18813.0	19767.0	20138.0	15217.0	16653.0	43531.0	12209.0	20557.0	13193.0	0.0	15102.0	17045.0	20214.0	15344.0
LeChatelierE_2013__MH0151__bin.14	38474.0	15464.0	17394.0	14159.0	16694.0	13372.0	20412.0	17240.0	18587.0	18425.0	16043.0	18277.0	16542.0	20091.0	17191.0	20216.0	15177.0	20239.0	14800.0	21043.0	17995.0	17499.0	8747.0	19687.0	18548.0	14659.0	19851.0	20012.0	18488.0	16852.0	13091.0	16768.0	16816.0	14141.0	20340.0	18669.0	20774.0	14348.0	18672.0	43460.0	13276.0	19461.0	12622.0	15102.0	0.0	17349.0	19843.0	16521.0
