	XieH_2016__YSZC12003_37209__bin.2	QinJ_2012__NLM032__bin.4	ZeeviD_2015__PNP_Main_515__bin.19	ZeeviD_2015__PNP_Main_625__bin.7	Bengtsson-PalmeJ_2015__TRAVELRES27__bin.43	QinJ_2012__NOM007__bin.16	BritoIL_2016__M1.52.ST__bin.24	XieH_2016__YSZC12003_37136__bin.27	FengQ_2015__SID31282__bin.48	BritoIL_2016__M2.60.ST__bin.64	XieH_2016__YSZC12003_36019__bin.1	BritoIL_2016__M1.25.ST__bin.89	QinJ_2012__T2D-043__bin.19	XieH_2016__YSZC12003_37205__bin.56	XieH_2016__YSZC12003_37798__bin.29	BritoIL_2016__W3.19.ST__bin.49	XieH_2016__YSZC12003_36051__bin.40	CM_madagascar__V48_03_2FE__bin.32	XieH_2016__YSZC12003_37265R1__bin.12	XieH_2016__YSZC12003_36702__bin.50	XieH_2016__YSZC12003_37233__bin.26	XieH_2016__YSZC12003_36057__bin.33	NielsenHB_2014__O2_UC37_2__bin.33	Bengtsson-PalmeJ_2015__TRAVELRES28__bin.101	XieH_2016__YSZC12003_35734__bin.45	LeChatelierE_2013__MH0292__bin.40	HMP_2012__SRS020328__bin.68	BritoIL_2016__W1.26.ST__bin.34	XieH_2016__YSZC12003_35516__bin.8	ZellerG_2014__CCMD46947453ST-21-0__bin.72	ZeeviD_2015__PNP_Main_561__bin.55	LeChatelierE_2013__MH0125__bin.33	ZellerG_2014__CCIS41222843ST-4-0__bin.24	Bengtsson-PalmeJ_2015__TRAVELRES18__bin.23	NielsenHB_2014__MH0125__bin.43
XieH_2016__YSZC12003_36019__bin.1	22845.0	30621.0	22289.0	14007.0	21330.0	32399.0	23168.0	20456.0	21081.0	26556.0	0.0	25099.0	23727.0	22849.0	21750.0	26730.0	24813.0	23101.0	24497.0	21425.0	21854.0	19792.0	20915.0	23563.0	22581.0	27458.0	22301.0	23937.0	19824.0	22462.0	25253.0	23486.0	21852.0	15972.0	22839.0
BritoIL_2016__M1.25.ST__bin.89	24027.0	30909.0	26133.0	16984.0	26163.0	31237.0	25635.0	25584.0	24669.0	14415.0	25099.0	0.0	27288.0	25815.0	23961.0	11958.0	28054.0	26120.0	25372.0	23469.0	26221.0	24839.0	24536.0	27334.0	24657.0	30262.0	25626.0	25654.0	25263.0	26033.0	18137.0	18291.0	26437.0	18715.0	17679.0
QinJ_2012__T2D-043__bin.19	24670.0	26592.0	26784.0	15443.0	26242.0	27822.0	26280.0	26185.0	24157.0	28783.0	23727.0	27288.0	0.0	27335.0	26555.0	28177.0	26940.0	23879.0	28832.0	24413.0	27580.0	22618.0	24481.0	27741.0	25751.0	25187.0	27607.0	27076.0	22472.0	27224.0	27718.0	26719.0	23863.0	18926.0	25467.0
XieH_2016__YSZC12003_37205__bin.56	23260.0	31050.0	22011.0	15055.0	22284.0	32899.0	22202.0	20544.0	21896.0	27519.0	22849.0	25815.0	27335.0	0.0	22202.0	27780.0	25897.0	25547.0	24124.0	20548.0	21862.0	21093.0	19551.0	24505.0	25404.0	28891.0	21446.0	26460.0	21507.0	22088.0	24483.0	23900.0	24821.0	16788.0	23327.0
XieH_2016__YSZC12003_37798__bin.29	23039.0	29685.0	21853.0	13771.0	19893.0	30349.0	20651.0	20995.0	22671.0	23501.0	21750.0	23961.0	26555.0	22202.0	0.0	23827.0	24621.0	24018.0	23594.0	20498.0	22828.0	19804.0	21897.0	21912.0	20914.0	28878.0	22825.0	24796.0	21118.0	24773.0	22501.0	22088.0	21659.0	15689.0	21659.0
BritoIL_2016__W3.19.ST__bin.49	25953.0	34227.0	27232.0	17534.0	26307.0	34314.0	26570.0	26406.0	26213.0	17183.0	26730.0	11958.0	28177.0	27780.0	23827.0	0.0	29251.0	27828.0	26900.0	24840.0	27704.0	24865.0	25504.0	28504.0	27391.0	31225.0	27783.0	27803.0	25804.0	27586.0	19784.0	18756.0	28663.0	18907.0	18282.0
XieH_2016__YSZC12003_36051__bin.40	25805.0	30586.0	25583.0	15094.0	24657.0	30240.0	25465.0	25552.0	23188.0	28651.0	24813.0	28054.0	26940.0	25897.0	24621.0	29251.0	0.0	23107.0	26514.0	26199.0	25186.0	22170.0	25486.0	26801.0	25730.0	29809.0	24791.0	25908.0	24297.0	26524.0	28370.0	28069.0	23810.0	17875.0	27031.0
CM_madagascar__V48_03_2FE__bin.32	23738.0	24989.0	23501.0	14843.0	22438.0	28042.0	24073.0	23365.0	23375.0	25127.0	23101.0	26120.0	23879.0	25547.0	24018.0	27828.0	23107.0	0.0	25184.0	23074.0	24234.0	23282.0	22723.0	23967.0	25493.0	25571.0	23327.0	23208.0	23496.0	24374.0	25434.0	25344.0	24186.0	15300.0	24597.0
XieH_2016__YSZC12003_37265R1__bin.12	3003.0	32722.0	24003.0	16038.0	22707.0	31332.0	22956.0	25186.0	26003.0	25785.0	24497.0	25372.0	28832.0	24124.0	23594.0	26900.0	26514.0	25184.0	0.0	25197.0	24376.0	23465.0	22493.0	25547.0	24630.0	30381.0	22347.0	19324.0	22126.0	23823.0	25013.0	24191.0	25669.0	17252.0	23504.0
XieH_2016__YSZC12003_36702__bin.50	22324.0	28446.0	19142.0	14075.0	19208.0	30310.0	20784.0	21456.0	18605.0	24856.0	21425.0	23469.0	24413.0	20548.0	20498.0	24840.0	26199.0	23074.0	25197.0	0.0	22703.0	19457.0	19886.0	21423.0	20211.0	28620.0	21663.0	22992.0	17484.0	22264.0	22310.0	22260.0	21525.0	14806.0	21741.0
XieH_2016__YSZC12003_37233__bin.26	22376.0	30059.0	22717.0	15508.0	21313.0	31593.0	22438.0	3865.0	23285.0	27810.0	21854.0	26221.0	27580.0	21862.0	22828.0	27704.0	25186.0	24234.0	24376.0	22703.0	0.0	21453.0	21898.0	22895.0	22199.0	28506.0	10436.0	23553.0	20976.0	12108.0	24364.0	24119.0	21870.0	16934.0	23537.0
XieH_2016__YSZC12003_36057__bin.33	21154.0	27058.0	20898.0	10043.0	19741.0	28292.0	21742.0	20818.0	19565.0	24129.0	19792.0	24839.0	22618.0	21093.0	19804.0	24865.0	22170.0	23282.0	23465.0	19457.0	21453.0	0.0	20977.0	22055.0	22078.0	26094.0	21428.0	23845.0	20095.0	21116.0	22863.0	22489.0	18858.0	14168.0	22008.0
NielsenHB_2014__O2_UC37_2__bin.33	21262.0	30052.0	20476.0	14561.0	20143.0	31758.0	21302.0	20646.0	17834.0	25145.0	20915.0	24536.0	24481.0	19551.0	21897.0	25504.0	25486.0	22723.0	22493.0	19886.0	21898.0	20977.0	0.0	22340.0	23577.0	26958.0	22670.0	24973.0	17247.0	23703.0	23448.0	22287.0	22536.0	16947.0	21631.0
Bengtsson-PalmeJ_2015__TRAVELRES28__bin.101	25125.0	32314.0	23758.0	15565.0	340.0	34055.0	22452.0	22070.0	22560.0	27589.0	23563.0	27334.0	27741.0	24505.0	21912.0	28504.0	26801.0	23967.0	25547.0	21423.0	22895.0	22055.0	22340.0	0.0	24755.0	28594.0	23583.0	26187.0	21791.0	23958.0	26911.0	24502.0	22687.0	16827.0	23333.0
XieH_2016__YSZC12003_35734__bin.45	23418.0	29913.0	24050.0	15595.0	22707.0	31990.0	24138.0	21613.0	22612.0	26041.0	22581.0	24657.0	25751.0	25404.0	20914.0	27391.0	25730.0	25493.0	24630.0	20211.0	22199.0	22078.0	23577.0	24755.0	0.0	28267.0	23786.0	24660.0	22751.0	23664.0	23567.0	22617.0	23158.0	16552.0	22066.0
LeChatelierE_2013__MH0292__bin.40	27947.0	21794.0	28032.0	17147.0	25959.0	21460.0	27840.0	27391.0	27023.0	31724.0	27458.0	30262.0	25187.0	28891.0	28878.0	31225.0	29809.0	25571.0	30381.0	28620.0	28506.0	26094.0	26958.0	28594.0	28267.0	0.0	27204.0	26834.0	28147.0	28886.0	30364.0	30137.0	25974.0	18624.0	29304.0
HMP_2012__SRS020328__bin.68	22165.0	30400.0	22519.0	16186.0	21780.0	31799.0	21933.0	11439.0	23247.0	27419.0	22301.0	25626.0	27607.0	21446.0	22825.0	27783.0	24791.0	23327.0	22347.0	21663.0	10436.0	21428.0	22670.0	23583.0	23786.0	27204.0	0.0	23254.0	21181.0	11767.0	26260.0	24504.0	23322.0	16750.0	23913.0
BritoIL_2016__W1.26.ST__bin.34	19573.0	30122.0	25926.0	15720.0	23923.0	29867.0	23719.0	23729.0	24349.0	26267.0	23937.0	25654.0	27076.0	26460.0	24796.0	27803.0	25908.0	23208.0	19324.0	22992.0	23553.0	23845.0	24973.0	26187.0	24660.0	26834.0	23254.0	0.0	24202.0	25130.0	27646.0	25991.0	24885.0	16571.0	25461.0
XieH_2016__YSZC12003_35516__bin.8	21487.0	29580.0	19390.0	14366.0	20831.0	31045.0	19432.0	20008.0	16294.0	25738.0	19824.0	25263.0	22472.0	21507.0	21118.0	25804.0	24297.0	23496.0	22126.0	17484.0	20976.0	20095.0	17247.0	21791.0	22751.0	28147.0	21181.0	24202.0	0.0	22094.0	24494.0	22741.0	21155.0	16941.0	22136.0
ZellerG_2014__CCMD46947453ST-21-0__bin.72	23475.0	31222.0	24340.0	16203.0	21797.0	33184.0	23892.0	10244.0	23189.0	28537.0	22462.0	26033.0	27224.0	22088.0	24773.0	27586.0	26524.0	24374.0	23823.0	22264.0	12108.0	21116.0	23703.0	23958.0	23664.0	28886.0	11767.0	25130.0	22094.0	0.0	26098.0	24621.0	23283.0	17202.0	23646.0
ZeeviD_2015__PNP_Main_561__bin.55	24438.0	33243.0	24813.0	16401.0	24769.0	33224.0	24254.0	23723.0	24733.0	21453.0	25253.0	18137.0	27718.0	24483.0	22501.0	19784.0	28370.0	25434.0	25013.0	22310.0	24364.0	22863.0	23448.0	26911.0	23567.0	30364.0	26260.0	27646.0	24494.0	26098.0	0.0	5314.0	25242.0	17163.0	5266.0
LeChatelierE_2013__MH0125__bin.33	23640.0	31105.0	22414.0	15549.0	22337.0	31934.0	23003.0	23541.0	23384.0	21663.0	23486.0	18291.0	26719.0	23900.0	22088.0	18756.0	28069.0	25344.0	24191.0	22260.0	24119.0	22489.0	22287.0	24502.0	22617.0	30137.0	24504.0	25991.0	22741.0	24621.0	5314.0	0.0	24248.0	17237.0	325.0
ZellerG_2014__CCIS41222843ST-4-0__bin.24	23682.0	27429.0	23589.0	11446.0	20815.0	30028.0	22846.0	21084.0	23859.0	26314.0	21852.0	26437.0	23863.0	24821.0	21659.0	28663.0	23810.0	24186.0	25669.0	21525.0	21870.0	18858.0	22536.0	22687.0	23158.0	25974.0	23322.0	24885.0	21155.0	23283.0	25242.0	24248.0	0.0	14740.0	23841.0
Bengtsson-PalmeJ_2015__TRAVELRES18__bin.23	15938.0	19581.0	16170.0	10344.0	15620.0	20701.0	16921.0	16433.0	16690.0	18586.0	15972.0	18715.0	18926.0	16788.0	15689.0	18907.0	17875.0	15300.0	17252.0	14806.0	16934.0	14168.0	16947.0	16827.0	16552.0	18624.0	16750.0	16571.0	16941.0	17202.0	17163.0	17237.0	14740.0	0.0	16519.0
NielsenHB_2014__MH0125__bin.43	22787.0	29934.0	21349.0	15261.0	21264.0	30988.0	22145.0	22972.0	23005.0	21164.0	22839.0	17679.0	25467.0	23327.0	21659.0	18282.0	27031.0	24597.0	23504.0	21741.0	23537.0	22008.0	21631.0	23333.0	22066.0	29304.0	23913.0	25461.0	22136.0	23646.0	5266.0	325.0	23841.0	16519.0	0.0
