	NielsenHB_2014__V1_UC49_1__bin.38	LiJ_2014__MH0336__bin.23	Bengtsson-PalmeJ_2015__TRAVELRES70__bin.68	LiJ_2014__MH0394__bin.50	LiJ_2014__MH0382__bin.29	ZeeviD_2015__PNP_Main_133__bin.19	ZeeviD_2015__PNP_Main_356__bin.21	ZeeviD_2015__PNP_DietIntervention_14__bin.9	NielsenHB_2014__O2_UC52_0__bin.19	KarlssonFH_2013__S263__bin.15	NielsenHB_2014__O2_UC51_2__bin.9	Bengtsson-PalmeJ_2015__TRAVELRES69__bin.93	LiJ_2014__O2.UC7-1__bin.35	ZeeviD_2015__PNP_Main_553__bin.45	HMP_2012__SRS053335__bin.32	ZeeviD_2015__PNP_Main_479__bin.14	FengQ_2015__SID530600__bin.13	BritoIL_2016__W2.43.ST__bin.65	ZeeviD_2015__PNP_Validation_38__bin.40	VincentC_2016__MM050.4__bin.57	HMP_2012__SRS019685__bin.31	BackhedF_2015__SID544_M__bin.47	HMP_2012__SRS024132__bin.20	LiJ_2014__V1.FI36__bin.98	ZeeviD_2015__PNP_Main_182__bin.5	HMP_2012__SRS014235__bin.69	LiJ_2014__MH0389__bin.71	HMP_2012__SRS013476__bin.46
NielsenHB_2014__O2_UC51_2__bin.9	3042028.0	3101454.0	2529123.0	3129766.0	3177540.0	3148666.0	3208686.0	2602186.0	3241209.0	2147954.0	3311844.0	2406362.0	2860057.0	3115046.0	3032670.0	3122880.0	1768930.0	3076463.0	2996479.0	3092589.0	2978350.0	2975861.0	3049899.0	3087161.0	2110722.0	3106327.0	3263895.0	3041733.0
Bengtsson-PalmeJ_2015__TRAVELRES69__bin.93	2468585.0	2392535.0	2259422.0	2469785.0	2468194.0	2516814.0	2500414.0	2219436.0	2456831.0	1835741.0	2406362.0	2691436.0	2315060.0	2509417.0	2454841.0	2487483.0	1507322.0	2494752.0	2542005.0	2502073.0	2418855.0	2305945.0	2469783.0	2417689.0	1833029.0	2473563.0	2518915.0	2476620.0
LiJ_2014__O2.UC7-1__bin.35	3218064.0	2888341.0	2412280.0	2940620.0	2986776.0	3074255.0	3041232.0	2486620.0	2995071.0	2048489.0	2860057.0	2315060.0	3313127.0	3038336.0	2905365.0	3012203.0	1681963.0	3237560.0	2905097.0	3016383.0	2857267.0	2784129.0	2919762.0	2875205.0	2057196.0	2957350.0	3038921.0	2902660.0
ZeeviD_2015__PNP_Main_553__bin.45	3226998.0	3097362.0	2637810.0	3156985.0	3248265.0	3396636.0	3305256.0	2705710.0	3215695.0	2215421.0	3115046.0	2509417.0	3038336.0	3403861.0	3098906.0	3333159.0	1830516.0	3255845.0	3132581.0	3202475.0	3073153.0	3043584.0	3139214.0	3161531.0	2192410.0	3161316.0	3300045.0	3138915.0
HMP_2012__SRS053335__bin.32	3091892.0	3032406.0	2553442.0	3123240.0	3113897.0	3136142.0	3167010.0	2633604.0	3091019.0	2183620.0	3032670.0	2454841.0	2905365.0	3098906.0	3346456.0	3092396.0	1800541.0	3116901.0	3021466.0	3275367.0	3093197.0	2910278.0	3246643.0	3004717.0	2139273.0	3253700.0	3177094.0	3187623.0
ZeeviD_2015__PNP_Main_479__bin.14	3209881.0	3104473.0	2617795.0	3174188.0	3254866.0	3377456.0	3277788.0	2683971.0	3223657.0	2203275.0	3122880.0	2487483.0	3012203.0	3333159.0	3092396.0	3489071.0	1806178.0	3228883.0	3125415.0	3243827.0	3053235.0	3105209.0	3124586.0	3149338.0	2175964.0	3185974.0	3314014.0	3126971.0
FengQ_2015__SID530600__bin.13	1810727.0	1749662.0	1558069.0	1798686.0	1820343.0	1830529.0	1827673.0	1624450.0	1807798.0	1386477.0	1768930.0	1507322.0	1681963.0	1830516.0	1800541.0	1806178.0	1977558.0	1823804.0	1814232.0	1833987.0	1773710.0	1686935.0	1815343.0	1769831.0	1303808.0	1813649.0	1843090.0	1820043.0
BritoIL_2016__W2.43.ST__bin.65	3396701.0	3101748.0	2603818.0	3160246.0	3202979.0	3291731.0	3258756.0	2678419.0	3183346.0	2217512.0	3076463.0	2494752.0	3237560.0	3255845.0	3116901.0	3228883.0	1823804.0	3459593.0	3118997.0	3223439.0	3070250.0	3000358.0	3132782.0	3090218.0	2181048.0	3171784.0	3252974.0	3112289.0
ZeeviD_2015__PNP_Validation_38__bin.40	3090015.0	3007859.0	2654632.0	3071212.0	3104156.0	3146082.0	3136879.0	2665159.0	3091466.0	2231781.0	2996479.0	2542005.0	2905097.0	3132581.0	3021466.0	3125415.0	1814232.0	3118997.0	3338124.0	3115795.0	3014303.0	2903059.0	3066656.0	3039411.0	2273433.0	3099886.0	3162477.0	3092518.0
VincentC_2016__MM050.4__bin.57	3217654.0	3119482.0	2638654.0	3203002.0	3239698.0	3245459.0	3263476.0	2672152.0	3205522.0	2250252.0	3092589.0	2502073.0	3016383.0	3202475.0	3275367.0	3243827.0	1833987.0	3223439.0	3115795.0	3623775.0	3182230.0	3030815.0	3287798.0	3127048.0	2186936.0	3389532.0	3293424.0	3310434.0
HMP_2012__SRS019685__bin.31	3045927.0	2994984.0	2543765.0	3088012.0	3063513.0	3078639.0	3093172.0	2600240.0	3042341.0	2174636.0	2978350.0	2418855.0	2857267.0	3073153.0	3093197.0	3053235.0	1773710.0	3070250.0	3014303.0	3182230.0	3238016.0	2860209.0	3143619.0	2996266.0	2108325.0	3200171.0	3126036.0	3167313.0
BackhedF_2015__SID544_M__bin.47	2968883.0	2969040.0	2409365.0	3067444.0	3196987.0	3082523.0	3164734.0	2470717.0	3141734.0	2049953.0	2975861.0	2305945.0	2784129.0	3043584.0	2910278.0	3105209.0	1686935.0	3000358.0	2903059.0	3030815.0	2860209.0	3211734.0	2946247.0	3007276.0	1994485.0	2987230.0	3208777.0	2930489.0
HMP_2012__SRS024132__bin.20	3104305.0	3047669.0	2608074.0	3120294.0	3149054.0	3164240.0	3193446.0	2638330.0	3119807.0	2210665.0	3049899.0	2469783.0	2919762.0	3139214.0	3246643.0	3124586.0	1815343.0	3132782.0	3066656.0	3287798.0	3143619.0	2946247.0	3345671.0	3038364.0	2164653.0	3273576.0	3201690.0	3279510.0
LiJ_2014__V1.FI36__bin.98	3055879.0	3164592.0	2535589.0	3165074.0	3215733.0	3173651.0	3240870.0	2587155.0	3296897.0	2156493.0	3087161.0	2417689.0	2875205.0	3161531.0	3004717.0	3149338.0	1769831.0	3090218.0	3039411.0	3127048.0	2996266.0	3007276.0	3038364.0	3313753.0	2132251.0	3086679.0	3278569.0	3072711.0
ZeeviD_2015__PNP_Main_182__bin.5	2157457.0	2105145.0	1928505.0	2147596.0	2157293.0	2201159.0	2196204.0	1936219.0	2158640.0	1584291.0	2110722.0	1833029.0	2057196.0	2192410.0	2139273.0	2175964.0	1303808.0	2181048.0	2273433.0	2186936.0	2108325.0	1994485.0	2164653.0	2132251.0	2367561.0	2167998.0	2205633.0	2172052.0
HMP_2012__SRS014235__bin.69	3138144.0	3092118.0	2612498.0	3190747.0	3189696.0	3200976.0	3218320.0	2656908.0	3168294.0	2229364.0	3106327.0	2473563.0	2957350.0	3161316.0	3253700.0	3185974.0	1813649.0	3171784.0	3099886.0	3389532.0	3200171.0	2987230.0	3273576.0	3086679.0	2167998.0	3477009.0	3258567.0	3273393.0
LiJ_2014__MH0389__bin.71	3221265.0	3257193.0	2641909.0	3364047.0	3413213.0	3352855.0	3442875.0	2703570.0	3404759.0	2253581.0	3263895.0	2518915.0	3038921.0	3300045.0	3177094.0	3314014.0	1843090.0	3252974.0	3162477.0	3293424.0	3126036.0	3208777.0	3201690.0	3278569.0	2205633.0	3258567.0	3582366.0	3195910.0
HMP_2012__SRS013476__bin.46	3083179.0	3036080.0	2608761.0	3094820.0	3132651.0	3145707.0	3162177.0	2655001.0	3112777.0	2225161.0	3041733.0	2476620.0	2902660.0	3138915.0	3187623.0	3126971.0	1820043.0	3112289.0	3092518.0	3310434.0	3167313.0	2930489.0	3279510.0	3072711.0	2172052.0	3273393.0	3195910.0	3386087.0
