	HMP_2012__SRS011306__bin.5	CM_cf__CF_TNFC022IS_t3M16__bin.22	CM_cf__CF_TNFC022SA_t1M16__bin.10	HMP_2012__SRS015209__bin.36	HMP_2012__SRS057205__bin.52	HMP_2012__SRS013948__bin.18	CM_cf__CF_TNFC008IS_t1M15__bin.2	HMP_2012__SRS023926__bin.20	HMP_2012__SRS050244__bin.68	HMP_2012__SRS016225__bin.33	FerrettiP_2018__CA_C10029MS2491SA_t0M15__bin.8	FerrettiP_2018__CA_C10020MS2331SA_t0M15__bin.7	HMP_2012__SRS019327__bin.41	HMP_2012__SRS019126__bin.45	HMP_2012__SRS020334__bin.15	HMP_2012__SRS019127__bin.40	HMP_2012__SRS047824__bin.72	CM_cf__CF_TNFC022IS_t1M15__bin.9	HMP_2012__SRS019122__bin.33	HMP_2012__SRS016569__bin.28	HMP_2012__SRS058336__bin.54	HMP_2012__SRS053603__bin.58	CM_cf__CF_FIFC013SS_t5M16__bin.5	HMP_2012__SRS024441__bin.54	HMP_2012__SRS016002__bin.44	HMP_2012__SRS023617__bin.17	HMP_2012__SRS023835__bin.51	HMP_2012__SRS018739__bin.54	HMP_2012__SRS054687__bin.35	HMP_2012__SRS024580__bin.26	CM_cf__CF_TNFC022IS_t2M15__bin.18	CM_cf__CF_TNFC018IS_t3M15__bin.20	CM_cf__CF_TNFC004SA_t1M15__bin.22	HMP_2012__SRS018439__bin.19	HMP_2012__SRS049147__bin.40	Castro-NallarE_2015__ES_116__bin.9	HMP_2012__SRS016037__bin.25	HMP_2012__SRS075404__bin.9
HMP_2012__SRS020334__bin.15	1381138.0	1503909.0	1464375.0	1408037.0	1534416.0	1436073.0	1312997.0	1499481.0	1144076.0	1448707.0	969577.0	1217869.0	1499896.0	1458022.0	1861910.0	914069.0	1328372.0	1500203.0	1317312.0	1383597.0	1533703.0	1125339.0	1518704.0	1355871.0	820953.0	998007.0	1098668.0	1251747.0	1015039.0	821689.0	1510659.0	1500826.0	1082105.0	1491939.0	1128567.0	1306449.0	1543248.0	1512120.0
HMP_2012__SRS019127__bin.40	855011.0	949569.0	937556.0	865491.0	932426.0	941012.0	843707.0	912302.0	724402.0	890989.0	624174.0	786142.0	936366.0	960474.0	914069.0	1060677.0	826862.0	949657.0	880956.0	853623.0	934125.0	681725.0	961688.0	845812.0	442263.0	555108.0	678578.0	817022.0	670747.0	443741.0	954919.0	944350.0	707740.0	934946.0	717154.0	806025.0	943044.0	936115.0
HMP_2012__SRS047824__bin.72	1229089.0	1348945.0	1324456.0	1273464.0	1357370.0	1296221.0	1200799.0	1328541.0	1024765.0	1291610.0	869683.0	1089584.0	1332911.0	1322317.0	1328372.0	826862.0	1462985.0	1362460.0	1222697.0	1239198.0	1369168.0	1016944.0	1352755.0	1190773.0	703843.0	867920.0	993576.0	1128352.0	919518.0	712973.0	1363431.0	1331618.0	962440.0	1326589.0	1042123.0	1175279.0	1385291.0	1351931.0
CM_cf__CF_TNFC022IS_t1M15__bin.9	1370496.0	1701822.0	1627157.0	1424184.0	1524226.0	1501129.0	1358786.0	1495865.0	1149267.0	1476617.0	988562.0	1246800.0	1543121.0	1517025.0	1500203.0	949657.0	1362460.0	1774100.0	1399301.0	1417386.0	1576770.0	1155348.0	1580076.0	1393135.0	854594.0	1024878.0	1102606.0	1295668.0	1044278.0	868189.0	1700151.0	1553533.0	1118146.0	1513616.0	1132060.0	1328378.0	1556000.0	1540501.0
HMP_2012__SRS019122__bin.33	1230287.0	1380395.0	1349716.0	1241261.0	1337523.0	1399552.0	1197979.0	1317771.0	1004385.0	1301009.0	881931.0	1085493.0	1350660.0	1426495.0	1317312.0	880956.0	1222697.0	1399301.0	1482687.0	1251484.0	1343248.0	1072324.0	1394305.0	1264180.0	752760.0	911806.0	967454.0	1121738.0	929149.0	763253.0	1389074.0	1358611.0	967870.0	1334735.0	1024565.0	1193329.0	1364881.0	1374259.0
HMP_2012__SRS016569__bin.28	1283734.0	1412919.0	1373590.0	1324367.0	1398020.0	1357489.0	1231118.0	1379854.0	1070456.0	1361387.0	913740.0	1118970.0	1396572.0	1360305.0	1383597.0	853623.0	1239198.0	1417386.0	1251484.0	1551421.0	1420441.0	1036131.0	1421445.0	1263723.0	744245.0	907520.0	1010564.0	1171158.0	944765.0	747918.0	1418262.0	1381125.0	1008235.0	1375935.0	1064618.0	1234510.0	1432517.0	1416175.0
HMP_2012__SRS058336__bin.54	1429326.0	1562302.0	1535607.0	1450575.0	1565664.0	1478671.0	1355343.0	1543391.0	1163496.0	1500274.0	994133.0	1251099.0	1547702.0	1491154.0	1533703.0	934125.0	1369168.0	1576770.0	1343248.0	1420441.0	1742007.0	1143032.0	1561125.0	1396881.0	899191.0	1027922.0	1140245.0	1289955.0	1039169.0	854626.0	1594562.0	1557326.0	1103720.0	1523754.0	1173417.0	1355401.0	1604416.0	1569502.0
HMP_2012__SRS053603__bin.58	1043585.0	1140472.0	1121082.0	1058937.0	1141246.0	1098558.0	998696.0	1119923.0	888229.0	1092758.0	715121.0	917223.0	1181976.0	1111846.0	1125339.0	681725.0	1016944.0	1155348.0	1072324.0	1036131.0	1143032.0	1228259.0	1155510.0	1058956.0	727081.0	907327.0	818326.0	943010.0	753581.0	723772.0	1150862.0	1144985.0	797141.0	1143000.0	889596.0	1010257.0	1153069.0	1134855.0
CM_cf__CF_FIFC013SS_t5M16__bin.5	1398012.0	1592682.0	1539835.0	1424268.0	1548627.0	1531290.0	1370937.0	1508145.0	1160762.0	1498913.0	1013507.0	1262856.0	1547825.0	1528169.0	1518704.0	961688.0	1352755.0	1580076.0	1394305.0	1421445.0	1561125.0	1155510.0	1758215.0	1410071.0	850319.0	1027133.0	1131895.0	1309191.0	1062148.0	849226.0	1600681.0	1572230.0	1142647.0	1527358.0	1158418.0	1345097.0	1566395.0	1573246.0
HMP_2012__SRS024441__bin.54	1248984.0	1385393.0	1355669.0	1260454.0	1373627.0	1341135.0	1232739.0	1336771.0	1034295.0	1347328.0	888517.0	1102047.0	1388118.0	1336818.0	1355871.0	845812.0	1190773.0	1393135.0	1264180.0	1263723.0	1396881.0	1058956.0	1410071.0	1541765.0	762886.0	930381.0	997949.0	1131659.0	942008.0	759137.0	1396686.0	1382906.0	993099.0	1373435.0	1029547.0	1212130.0	1393080.0	1402961.0
HMP_2012__SRS016002__bin.44	745988.0	837154.0	816163.0	776153.0	840590.0	769047.0	675382.0	836956.0	600108.0	811622.0	505264.0	655144.0	849444.0	780586.0	820953.0	442263.0	703843.0	854594.0	752760.0	744245.0	899191.0	727081.0	850319.0	762886.0	909531.0	848854.0	580342.0	681187.0	514631.0	853456.0	843057.0	837015.0	527644.0	828949.0	657636.0	758638.0	863657.0	847920.0
HMP_2012__SRS023617__bin.17	913232.0	1002969.0	980472.0	930044.0	1030664.0	937681.0	846037.0	992362.0	750294.0	983179.0	606700.0	790031.0	1074540.0	951260.0	998007.0	555108.0	867920.0	1024878.0	911806.0	907520.0	1027922.0	907327.0	1027133.0	930381.0	848854.0	1147756.0	717477.0	821706.0	656793.0	844433.0	1008976.0	1031369.0	658077.0	1008486.0	793929.0	930587.0	1034565.0	1017564.0
HMP_2012__SRS023835__bin.51	1021763.0	1109659.0	1083222.0	1042299.0	1135541.0	1076215.0	996167.0	1099707.0	846226.0	1068086.0	737701.0	889657.0	1091921.0	1070889.0	1098668.0	678578.0	993576.0	1102606.0	967454.0	1010564.0	1140245.0	818326.0	1131895.0	997949.0	580342.0	717477.0	1229901.0	924859.0	775451.0	592082.0	1120576.0	1118757.0	816149.0	1099366.0	848461.0	973690.0	1141655.0	1163927.0
HMP_2012__SRS018739__bin.54	1161470.0	1310230.0	1270682.0	1164159.0	1269477.0	1239439.0	1138419.0	1245612.0	996227.0	1225266.0	825354.0	1038143.0	1262419.0	1265647.0	1251747.0	817022.0	1128352.0	1295668.0	1121738.0	1171158.0	1289955.0	943010.0	1309191.0	1131659.0	681187.0	821706.0	924859.0	1658536.0	876702.0	695512.0	1320778.0	1281087.0	924231.0	1259761.0	1216779.0	1086922.0	1295766.0	1266160.0
HMP_2012__SRS054687__bin.35	939854.0	1042910.0	1025770.0	957459.0	1035799.0	1012834.0	932788.0	1015370.0	792450.0	988201.0	697633.0	873110.0	1043870.0	1014051.0	1015039.0	670747.0	919518.0	1044278.0	929149.0	944765.0	1039169.0	753581.0	1062148.0	942008.0	514631.0	656793.0	775451.0	876702.0	1169824.0	510355.0	1050777.0	1033770.0	760430.0	1041578.0	782251.0	881630.0	1044589.0	1041896.0
HMP_2012__SRS024580__bin.26	741551.0	849227.0	816744.0	780697.0	838783.0	775073.0	679246.0	810555.0	589692.0	815492.0	498855.0	651121.0	850631.0	794204.0	821689.0	443741.0	712973.0	868189.0	763253.0	747918.0	854626.0	723772.0	849226.0	759137.0	853456.0	844433.0	592082.0	695512.0	510355.0	970009.0	856366.0	843190.0	526066.0	827882.0	645040.0	755535.0	859184.0	840808.0
CM_cf__CF_TNFC022IS_t2M15__bin.18	1387363.0	1724077.0	1625406.0	1428153.0	1535200.0	1515891.0	1365989.0	1517015.0	1154879.0	1483002.0	1001940.0	1260069.0	1548204.0	1531692.0	1510659.0	954919.0	1363431.0	1700151.0	1389074.0	1418262.0	1594562.0	1150862.0	1600681.0	1396686.0	843057.0	1008976.0	1120576.0	1320778.0	1050777.0	856366.0	1750785.0	1572220.0	1134214.0	1519774.0	1151930.0	1328595.0	1569322.0	1550402.0
CM_cf__CF_TNFC018IS_t3M15__bin.20	1379421.0	1563942.0	1519038.0	1396839.0	1531826.0	1480321.0	1364996.0	1494201.0	1152670.0	1478811.0	970742.0	1248605.0	1527373.0	1495419.0	1500826.0	944350.0	1331618.0	1553533.0	1358611.0	1381125.0	1557326.0	1144985.0	1572230.0	1382906.0	837015.0	1031369.0	1118757.0	1281087.0	1033770.0	843190.0	1572220.0	1769370.0	1111315.0	1523460.0	1144528.0	1322753.0	1550117.0	1526183.0
CM_cf__CF_TNFC004SA_t1M15__bin.22	994516.0	1132825.0	1108323.0	1010928.0	1090937.0	1082201.0	1016725.0	1086980.0	831616.0	1058393.0	787319.0	922413.0	1090025.0	1071842.0	1082105.0	707740.0	962440.0	1118146.0	967870.0	1008235.0	1103720.0	797141.0	1142647.0	993099.0	527644.0	658077.0	816149.0	924231.0	760430.0	526066.0	1134214.0	1111315.0	1224510.0	1090744.0	798643.0	939913.0	1102552.0	1103030.0
HMP_2012__SRS018439__bin.19	1375442.0	1510200.0	1484829.0	1402621.0	1523957.0	1452043.0	1333479.0	1478487.0	1169814.0	1446523.0	984479.0	1236273.0	1529314.0	1465687.0	1491939.0	934946.0	1326589.0	1513616.0	1334735.0	1375935.0	1523754.0	1143000.0	1527358.0	1373435.0	828949.0	1008486.0	1099366.0	1259761.0	1041578.0	827882.0	1519774.0	1523460.0	1090744.0	1668402.0	1128314.0	1303691.0	1546073.0	1511458.0
HMP_2012__SRS049147__bin.40	1056436.0	1139992.0	1109370.0	1076499.0	1161360.0	1105645.0	1007622.0	1146334.0	885170.0	1104155.0	729628.0	917214.0	1130673.0	1103787.0	1128567.0	717154.0	1042123.0	1132060.0	1024565.0	1064618.0	1173417.0	889596.0	1158418.0	1029547.0	657636.0	793929.0	848461.0	1216779.0	782251.0	645040.0	1151930.0	1144528.0	798643.0	1128314.0	1752530.0	1032982.0	1176462.0	1167909.0
Castro-NallarE_2015__ES_116__bin.9	1218304.0	1320162.0	1298067.0	1258419.0	1343039.0	1277355.0	1180544.0	1305990.0	1012330.0	1314529.0	856480.0	1060876.0	1321545.0	1269950.0	1306449.0	806025.0	1175279.0	1328378.0	1193329.0	1234510.0	1355401.0	1010257.0	1345097.0	1212130.0	758638.0	930587.0	973690.0	1086922.0	881630.0	755535.0	1328595.0	1322753.0	939913.0	1303691.0	1032982.0	1506087.0	1367005.0	1356022.0
HMP_2012__SRS016037__bin.25	1429710.0	1561779.0	1514331.0	1461068.0	1592549.0	1486763.0	1369181.0	1547816.0	1167948.0	1506412.0	998562.0	1245191.0	1555031.0	1508470.0	1543248.0	943044.0	1385291.0	1556000.0	1364881.0	1432517.0	1604416.0	1153069.0	1566395.0	1393080.0	863657.0	1034565.0	1141655.0	1295766.0	1044589.0	859184.0	1569322.0	1550117.0	1102552.0	1546073.0	1176462.0	1367005.0	1728968.0	1576237.0
HMP_2012__SRS075404__bin.9	1422807.0	1542620.0	1499980.0	1425910.0	1560611.0	1501088.0	1360937.0	1511572.0	1141346.0	1492279.0	1004693.0	1238835.0	1527754.0	1495549.0	1512120.0	936115.0	1351931.0	1540501.0	1374259.0	1416175.0	1569502.0	1134855.0	1573246.0	1402961.0	847920.0	1017564.0	1163927.0	1266160.0	1041896.0	840808.0	1550402.0	1526183.0	1103030.0	1511458.0	1167909.0	1356022.0	1576237.0	1689123.0
