	ZeeviD_2015__PNP_Main_587__bin.30	LiJ_2014__MH0381__bin.36	VogtmannE_2016__MMRS94549160ST-27-0-0__bin.73	NielsenHB_2014__V1_UC48_0__bin.17	ZeeviD_2015__PNP_Main_370__bin.19	XieH_2016__YSZC12003_37286__bin.39	ZeeviD_2015__PNP_Main_362__bin.44	XieH_2016__YSZC12003_36526__bin.18	ZeeviD_2015__PNP_Main_456__bin.45	ZeeviD_2015__PNP_Main_391__bin.36	LiJ_2014__MH0367__bin.73	LeChatelierE_2013__MH0009__bin.33	CosteaPI_2017__SID713A087-11-0-0__bin.51	FengQ_2015__SID31223__bin.25	ZeeviD_2015__PNP_Main_630__bin.20	ZeeviD_2015__PNP_Main_39__bin.63	XieH_2016__YSZC12003_35550__bin.129	LouisS_2016__AS66_12__bin.19	ZeeviD_2015__PNP_Main_696__bin.15	ZeeviD_2015__PNP_Main_575__bin.21	XieH_2016__YSZC12003_37315__bin.107	ZeeviD_2015__PNP_DietIntervention_15__bin.11	XieH_2016__YSZC12003_36051__bin.12	ZeeviD_2015__PNP_DietIntervention_46__bin.3	FerrettiP_2018__CA_C10009MS2134FE_t0M15__bin.20	ZeeviD_2015__PNP_Main_736__bin.22	LeChatelierE_2013__MH0422__bin.90	XieH_2016__YSZC12003_35740__bin.65	ZeeviD_2015__PNP_Main_145__bin.10	LeChatelierE_2013__MH0313__bin.71	NielsenHB_2014__MH0009__bin.20	XieH_2016__YSZC12003_35549__bin.15	ZeeviD_2015__PNP_Main_245__bin.6	BackhedF_2015__SID133_M__bin.53	KarlssonFH_2013__S195__bin.8	LouisS_2016__AS66_18__bin.31	ZellerG_2014__CCIS90443472ST-4-0__bin.48	NielsenHB_2014__V1_UC49_0__bin.29	ZeeviD_2015__PNP_Main_666__bin.37
LiJ_2014__MH0367__bin.73	1358985.0	1382226.0	1396145.0	1110045.0	1396767.0	1341920.0	1016391.0	767175.0	1329394.0	1398139.0	1540336.0	1405662.0	1241332.0	1401612.0	1407222.0	861301.0	1059571.0	1475370.0	1392723.0	1303728.0	1393497.0	1395312.0	1386739.0	1214085.0	1475299.0	1349900.0	1347403.0	1362794.0	843406.0	1246646.0	1376008.0	919721.0	1385582.0	804887.0	1342515.0	1316408.0	1414568.0	1245534.0	1392719.0
LeChatelierE_2013__MH0009__bin.33	1629450.0	1696845.0	1671771.0	1317432.0	1706656.0	1625443.0	1249048.0	909974.0	1585608.0	1659868.0	1405662.0	1917232.0	1274525.0	1697891.0	1675279.0	1016032.0	1249821.0	1507027.0	1677322.0	1564744.0	1645282.0	1412271.0	1685079.0	1438566.0	1498341.0	1592476.0	1591635.0	1660279.0	998461.0	1481933.0	1739075.0	1115454.0	1678879.0	811937.0	1602899.0	1345125.0	1433212.0	1479926.0	1668307.0
CosteaPI_2017__SID713A087-11-0-0__bin.51	1232110.0	1259451.0	1265926.0	996910.0	1256263.0	1214611.0	878521.0	671438.0	1197303.0	1252995.0	1241332.0	1274525.0	1590607.0	1278038.0	1266975.0	748840.0	920273.0	1334643.0	1256354.0	1185643.0	1256569.0	1248519.0	1258725.0	1074093.0	1313395.0	1206889.0	1213345.0	1263034.0	727466.0	1125027.0	1249065.0	821616.0	1255917.0	696291.0	1211913.0	1278410.0	1275869.0	1112817.0	1260919.0
FengQ_2015__SID31223__bin.25	1624462.0	1673325.0	1680702.0	1313044.0	1681735.0	1608724.0	1257029.0	917019.0	1593920.0	1657148.0	1401612.0	1697891.0	1278038.0	1850489.0	1684051.0	1029563.0	1253603.0	1503014.0	1668254.0	1563624.0	1635383.0	1412211.0	1666412.0	1446862.0	1492894.0	1601190.0	1594126.0	1645805.0	1002035.0	1489647.0	1656176.0	1123255.0	1660071.0	815139.0	1602890.0	1329188.0	1438548.0	1474178.0	1660653.0
ZeeviD_2015__PNP_Main_630__bin.20	1700441.0	1650424.0	1662415.0	1345753.0	1716879.0	1609225.0	1267121.0	930743.0	1654758.0	1762855.0	1407222.0	1675279.0	1266975.0	1684051.0	1968310.0	1085578.0	1337734.0	1498262.0	1773856.0	1655357.0	1680837.0	1412391.0	1697214.0	1501870.0	1492291.0	1734313.0	1652378.0	1723890.0	1027925.0	1511594.0	1630745.0	1104336.0	1750757.0	806646.0	1626280.0	1320523.0	1428076.0	1510510.0	1743194.0
ZeeviD_2015__PNP_Main_39__bin.63	1033121.0	1000007.0	1007689.0	840217.0	1047827.0	1003510.0	878053.0	638804.0	1030726.0	1074858.0	861301.0	1016032.0	748840.0	1029563.0	1085578.0	1107391.0	852768.0	923749.0	1059818.0	1022722.0	1023872.0	880792.0	1035512.0	947919.0	917483.0	1028570.0	986670.0	1034773.0	680585.0	956540.0	998925.0	727597.0	1047462.0	546149.0	1010890.0	789889.0	890130.0	928919.0	1061913.0
XieH_2016__YSZC12003_35550__bin.129	1272945.0	1221905.0	1230107.0	1049076.0	1274640.0	1226674.0	968563.0	754407.0	1249632.0	1326191.0	1059571.0	1249821.0	920273.0	1253603.0	1337734.0	852768.0	1401232.0	1115670.0	1313367.0	1234384.0	1237747.0	1063870.0	1273557.0	1164434.0	1113027.0	1274796.0	1215508.0	1265751.0	792769.0	1159350.0	1225655.0	893239.0	1291427.0	642925.0	1221936.0	968110.0	1083382.0	1158564.0	1300117.0
LouisS_2016__AS66_12__bin.19	1450206.0	1486597.0	1496044.0	1172387.0	1495242.0	1420598.0	1107836.0	811476.0	1423925.0	1483747.0	1475370.0	1507027.0	1334643.0	1503014.0	1498262.0	923749.0	1115670.0	1837457.0	1488231.0	1400932.0	1497414.0	1487414.0	1487726.0	1293426.0	1589053.0	1426323.0	1434365.0	1463159.0	890063.0	1326271.0	1470778.0	987774.0	1489212.0	855963.0	1440128.0	1503555.0	1571935.0	1319430.0	1492101.0
ZeeviD_2015__PNP_Main_696__bin.15	1717347.0	1651720.0	1642386.0	1337335.0	1696536.0	1569760.0	1263358.0	925445.0	1642707.0	1753367.0	1392723.0	1677322.0	1256354.0	1668254.0	1773856.0	1059818.0	1313367.0	1488231.0	1841311.0	1637770.0	1667120.0	1395058.0	1686586.0	1493706.0	1480682.0	1676003.0	1637284.0	1719102.0	1015172.0	1503271.0	1632074.0	1095191.0	1752190.0	802396.0	1616494.0	1311730.0	1415852.0	1485098.0	1749500.0
ZeeviD_2015__PNP_Main_575__bin.21	1584195.0	1534074.0	1555022.0	1248421.0	1597546.0	1485330.0	1217094.0	892675.0	1544606.0	1621628.0	1303728.0	1564744.0	1185643.0	1563624.0	1655357.0	1022722.0	1234384.0	1400932.0	1637770.0	1716436.0	1570132.0	1311129.0	1591409.0	1413219.0	1391145.0	1580532.0	1528421.0	1585842.0	972006.0	1424180.0	1525574.0	1052550.0	1615730.0	754664.0	1523298.0	1238704.0	1336639.0	1392222.0	1623796.0
XieH_2016__YSZC12003_37315__bin.107	1613446.0	1597216.0	1641764.0	1320517.0	1675655.0	1549209.0	1256683.0	905255.0	1575290.0	1652415.0	1393497.0	1645282.0	1256569.0	1635383.0	1680837.0	1023872.0	1237747.0	1497414.0	1667120.0	1570132.0	1810687.0	1393239.0	1655515.0	1437658.0	1484640.0	1593064.0	1566633.0	1632038.0	1005477.0	1453085.0	1593102.0	1091051.0	1656426.0	804910.0	1560101.0	1319098.0	1413267.0	1484030.0	1657653.0
ZeeviD_2015__PNP_DietIntervention_15__bin.11	1364470.0	1391304.0	1399717.0	1114875.0	1396323.0	1339465.0	1027083.0	776839.0	1352875.0	1394042.0	1395312.0	1412271.0	1248519.0	1412211.0	1412391.0	880792.0	1063870.0	1487414.0	1395058.0	1311129.0	1393239.0	1538369.0	1393069.0	1234890.0	1473799.0	1361648.0	1342435.0	1367871.0	852484.0	1260804.0	1384632.0	946145.0	1389910.0	822438.0	1360133.0	1317137.0	1429567.0	1247952.0	1397656.0
XieH_2016__YSZC12003_36051__bin.12	1643813.0	1666075.0	1638147.0	1327917.0	1727565.0	1583503.0	1290266.0	918675.0	1598149.0	1678312.0	1386739.0	1685079.0	1258725.0	1666412.0	1697214.0	1035512.0	1273557.0	1487726.0	1686586.0	1591409.0	1655515.0	1393069.0	1954256.0	1464829.0	1483502.0	1620582.0	1603556.0	1670405.0	1017368.0	1513332.0	1638763.0	1104496.0	1693100.0	800935.0	1591914.0	1314826.0	1420296.0	1493773.0	1693927.0
ZeeviD_2015__PNP_DietIntervention_46__bin.3	1489491.0	1416993.0	1424546.0	1175805.0	1472350.0	1384592.0	1100703.0	836757.0	1434051.0	1491171.0	1214085.0	1438566.0	1074093.0	1446862.0	1501870.0	947919.0	1164434.0	1293426.0	1493706.0	1413219.0	1437658.0	1234890.0	1464829.0	1544885.0	1290085.0	1464536.0	1395162.0	1471128.0	912325.0	1330894.0	1417436.0	996617.0	1482576.0	722287.0	1402034.0	1127240.0	1243263.0	1312038.0	1494127.0
FerrettiP_2018__CA_C10009MS2134FE_t0M15__bin.20	1444644.0	1473545.0	1485264.0	1181826.0	1500527.0	1410867.0	1105325.0	811537.0	1421217.0	1479338.0	1475299.0	1498341.0	1313395.0	1492894.0	1492291.0	917483.0	1113027.0	1589053.0	1480682.0	1391145.0	1484640.0	1473799.0	1483502.0	1290085.0	1759576.0	1425435.0	1444840.0	1454702.0	893312.0	1328939.0	1465718.0	976428.0	1478064.0	844870.0	1428985.0	1396091.0	1509478.0	1326583.0	1482278.0
ZeeviD_2015__PNP_Main_736__bin.22	1628278.0	1567267.0	1580342.0	1292019.0	1631760.0	1534505.0	1191590.0	905800.0	1587666.0	1658289.0	1349900.0	1592476.0	1206889.0	1601190.0	1734313.0	1028570.0	1274796.0	1426323.0	1676003.0	1580532.0	1593064.0	1361648.0	1620582.0	1464536.0	1425435.0	1768438.0	1556123.0	1636001.0	993050.0	1456051.0	1563897.0	1077194.0	1654196.0	779957.0	1552762.0	1265534.0	1372819.0	1438384.0	1656646.0
LeChatelierE_2013__MH0422__bin.90	1582784.0	1564752.0	1565077.0	1243509.0	1602172.0	1496914.0	1170918.0	864490.0	1560612.0	1616202.0	1347403.0	1591635.0	1213345.0	1594126.0	1652378.0	986670.0	1215508.0	1434365.0	1637284.0	1528421.0	1566633.0	1342435.0	1603556.0	1395162.0	1444840.0	1556123.0	1845561.0	1606387.0	965558.0	1432285.0	1556442.0	1050987.0	1633950.0	777646.0	1524396.0	1304162.0	1370496.0	1405604.0	1627444.0
XieH_2016__YSZC12003_35740__bin.65	1682239.0	1634228.0	1630608.0	1315956.0	1683897.0	1555156.0	1223823.0	906191.0	1616229.0	1700799.0	1362794.0	1660279.0	1263034.0	1645805.0	1723890.0	1034773.0	1265751.0	1463159.0	1719102.0	1585842.0	1632038.0	1367871.0	1670405.0	1471128.0	1454702.0	1636001.0	1606387.0	1830617.0	991071.0	1479608.0	1617876.0	1081911.0	1724175.0	775241.0	1583864.0	1286298.0	1396699.0	1470624.0	1717214.0
ZeeviD_2015__PNP_Main_145__bin.10	991137.0	993029.0	990624.0	833321.0	1032769.0	947814.0	809066.0	619556.0	980742.0	1015501.0	843406.0	998461.0	727466.0	1002035.0	1027925.0	680585.0	792769.0	890063.0	1015172.0	972006.0	1005477.0	852484.0	1017368.0	912325.0	893312.0	993050.0	965558.0	991071.0	1097499.0	917412.0	977603.0	713934.0	1014223.0	522019.0	970218.0	767726.0	850919.0	919017.0	1016792.0
LeChatelierE_2013__MH0313__bin.71	1468835.0	1464157.0	1459523.0	1206022.0	1498962.0	1423793.0	1119045.0	853856.0	1435837.0	1500449.0	1246646.0	1481933.0	1125027.0	1489647.0	1511594.0	956540.0	1159350.0	1326271.0	1503271.0	1424180.0	1453085.0	1260804.0	1513332.0	1330894.0	1328939.0	1456051.0	1432285.0	1479608.0	917412.0	1596744.0	1456205.0	1018571.0	1495357.0	752098.0	1459780.0	1173385.0	1265868.0	1345857.0	1497574.0
NielsenHB_2014__MH0009__bin.20	1594988.0	1635517.0	1625392.0	1291916.0	1649205.0	1585803.0	1222638.0	894450.0	1551841.0	1625164.0	1376008.0	1739075.0	1249065.0	1656176.0	1630745.0	998925.0	1225655.0	1470778.0	1632074.0	1525574.0	1593102.0	1384632.0	1638763.0	1417436.0	1465718.0	1563897.0	1556442.0	1617876.0	977603.0	1456205.0	1744131.0	1095882.0	1631229.0	796713.0	1565575.0	1303048.0	1401776.0	1451075.0	1632745.0
XieH_2016__YSZC12003_35549__bin.15	1077882.0	1080443.0	1102483.0	917439.0	1121216.0	1068448.0	861539.0	674516.0	1064304.0	1096263.0	919721.0	1115454.0	821616.0	1123255.0	1104336.0	727597.0	893239.0	987774.0	1095191.0	1052550.0	1091051.0	946145.0	1104496.0	996617.0	976428.0	1077194.0	1050987.0	1081911.0	713934.0	1018571.0	1095882.0	1194104.0	1086046.0	550414.0	1068150.0	866163.0	957748.0	1016755.0	1096994.0
ZeeviD_2015__PNP_Main_245__bin.6	1711907.0	1652453.0	1643796.0	1322584.0	1701042.0	1575038.0	1249247.0	912727.0	1628700.0	1727741.0	1385582.0	1678879.0	1255917.0	1660071.0	1750757.0	1047462.0	1291427.0	1489212.0	1752190.0	1615730.0	1656426.0	1389910.0	1693100.0	1482576.0	1478064.0	1654196.0	1633950.0	1724175.0	1014223.0	1495357.0	1631229.0	1086046.0	1867532.0	801852.0	1603785.0	1310346.0	1414001.0	1480542.0	1731199.0
BackhedF_2015__SID133_M__bin.53	783935.0	798765.0	808160.0	672990.0	802470.0	776377.0	612928.0	459032.0	775464.0	805613.0	804887.0	811937.0	696291.0	815139.0	806646.0	546149.0	642925.0	855963.0	802396.0	754664.0	804910.0	822438.0	800935.0	722287.0	844870.0	779957.0	777646.0	775241.0	522019.0	752098.0	796713.0	550414.0	801852.0	871823.0	781705.0	750110.0	818560.0	739779.0	801167.0
KarlssonFH_2013__S195__bin.8	1566458.0	1575705.0	1566041.0	1252939.0	1607660.0	1527003.0	1197925.0	903215.0	1539173.0	1597289.0	1342515.0	1602899.0	1211913.0	1602890.0	1626280.0	1010890.0	1221936.0	1440128.0	1616494.0	1523298.0	1560101.0	1360133.0	1591914.0	1402034.0	1428985.0	1552762.0	1524396.0	1583864.0	970218.0	1459780.0	1565575.0	1068150.0	1603785.0	781705.0	1687490.0	1266847.0	1372012.0	1401417.0	1610889.0
LouisS_2016__AS66_18__bin.31	1285701.0	1313614.0	1317404.0	1033818.0	1317949.0	1265961.0	933622.0	697122.0	1255572.0	1313187.0	1316408.0	1345125.0	1278410.0	1329188.0	1320523.0	789889.0	968110.0	1503555.0	1311730.0	1238704.0	1319098.0	1317137.0	1314826.0	1127240.0	1396091.0	1265534.0	1304162.0	1286298.0	767726.0	1173385.0	1303048.0	866163.0	1310346.0	750110.0	1266847.0	1544813.0	1387722.0	1164531.0	1312174.0
ZellerG_2014__CCIS90443472ST-4-0__bin.48	1391648.0	1421695.0	1420537.0	1127565.0	1424973.0	1360926.0	1041921.0	787857.0	1365250.0	1419068.0	1414568.0	1433212.0	1275869.0	1438548.0	1428076.0	890130.0	1083382.0	1571935.0	1415852.0	1336639.0	1413267.0	1429567.0	1420296.0	1243263.0	1509478.0	1372819.0	1370496.0	1396699.0	850919.0	1265868.0	1401776.0	957748.0	1414001.0	818560.0	1372012.0	1387722.0	1652087.0	1271473.0	1415629.0
NielsenHB_2014__V1_UC49_0__bin.29	1446232.0	1453091.0	1462260.0	1349056.0	1519352.0	1417777.0	1098142.0	832914.0	1427003.0	1502397.0	1245534.0	1479926.0	1112817.0	1474178.0	1510510.0	928919.0	1158564.0	1319430.0	1485098.0	1392222.0	1484030.0	1247952.0	1493773.0	1312038.0	1326583.0	1438384.0	1405604.0	1470624.0	919017.0	1345857.0	1451075.0	1016755.0	1480542.0	739779.0	1401417.0	1164531.0	1271473.0	1702941.0	1472161.0
ZeeviD_2015__PNP_Main_666__bin.37	1714139.0	1636722.0	1641007.0	1328675.0	1704387.0	1573120.0	1254549.0	924226.0	1645882.0	1724176.0	1392719.0	1668307.0	1260919.0	1660653.0	1743194.0	1061913.0	1300117.0	1492101.0	1749500.0	1623796.0	1657653.0	1397656.0	1693927.0	1494127.0	1482278.0	1656646.0	1627444.0	1717214.0	1016792.0	1497574.0	1632745.0	1096994.0	1731199.0	801167.0	1610889.0	1312174.0	1415629.0	1472161.0	1836229.0
