	ZeeviD_2015__PNP_Main_587__bin.30	LiJ_2014__MH0381__bin.36	VogtmannE_2016__MMRS94549160ST-27-0-0__bin.73	NielsenHB_2014__V1_UC48_0__bin.17	ZeeviD_2015__PNP_Main_370__bin.19	XieH_2016__YSZC12003_37286__bin.39	ZeeviD_2015__PNP_Main_362__bin.44	XieH_2016__YSZC12003_36526__bin.18	ZeeviD_2015__PNP_Main_456__bin.45	ZeeviD_2015__PNP_Main_391__bin.36	LiJ_2014__MH0367__bin.73	LeChatelierE_2013__MH0009__bin.33	CosteaPI_2017__SID713A087-11-0-0__bin.51	FengQ_2015__SID31223__bin.25	ZeeviD_2015__PNP_Main_630__bin.20	ZeeviD_2015__PNP_Main_39__bin.63	XieH_2016__YSZC12003_35550__bin.129	LouisS_2016__AS66_12__bin.19	ZeeviD_2015__PNP_Main_696__bin.15	ZeeviD_2015__PNP_Main_575__bin.21	XieH_2016__YSZC12003_37315__bin.107	ZeeviD_2015__PNP_DietIntervention_15__bin.11	XieH_2016__YSZC12003_36051__bin.12	ZeeviD_2015__PNP_DietIntervention_46__bin.3	FerrettiP_2018__CA_C10009MS2134FE_t0M15__bin.20	ZeeviD_2015__PNP_Main_736__bin.22	LeChatelierE_2013__MH0422__bin.90	XieH_2016__YSZC12003_35740__bin.65	ZeeviD_2015__PNP_Main_145__bin.10	LeChatelierE_2013__MH0313__bin.71	NielsenHB_2014__MH0009__bin.20	XieH_2016__YSZC12003_35549__bin.15	ZeeviD_2015__PNP_Main_245__bin.6	BackhedF_2015__SID133_M__bin.53	KarlssonFH_2013__S195__bin.8	LouisS_2016__AS66_18__bin.31	ZellerG_2014__CCIS90443472ST-4-0__bin.48	NielsenHB_2014__V1_UC49_0__bin.29	ZeeviD_2015__PNP_Main_666__bin.37
CosteaPI_2017__SID713A087-11-0-0__bin.51	32739.0	34403.0	34899.0	27696.0	33538.0	32550.0	22016.0	17805.0	33910.0	33236.0	17007.0	34315.0	0.0	35070.0	36458.0	18671.0	26202.0	18639.0	34143.0	32855.0	35088.0	17200.0	34512.0	29765.0	17588.0	34060.0	32261.0	33985.0	19557.0	30454.0	33246.0	22537.0	33135.0	11134.0	31635.0	17791.0	17675.0	30508.0	33925.0
FengQ_2015__SID31223__bin.25	25734.0	30331.0	26469.0	23662.0	28058.0	25522.0	19518.0	16193.0	27582.0	26794.0	37138.0	25660.0	35070.0	0.0	30439.0	15728.0	21871.0	40832.0	27963.0	26016.0	27640.0	37448.0	27482.0	22386.0	39984.0	27517.0	26338.0	26438.0	19593.0	24412.0	24855.0	19486.0	26649.0	22521.0	24165.0	36042.0	38801.0	25692.0	26825.0
ZeeviD_2015__PNP_Main_630__bin.20	23518.0	32200.0	30157.0	26126.0	30857.0	28637.0	21712.0	18105.0	27709.0	26620.0	39265.0	29616.0	36458.0	30439.0	0.0	17683.0	21966.0	43345.0	27093.0	25791.0	30719.0	40720.0	30305.0	21038.0	42628.0	11598.0	25991.0	26613.0	21298.0	27104.0	28753.0	20658.0	25042.0	23444.0	27634.0	37376.0	40763.0	28520.0	25724.0
ZeeviD_2015__PNP_Main_39__bin.63	13859.0	17174.0	16369.0	14681.0	16318.0	15927.0	13365.0	11295.0	15761.0	14672.0	21379.0	15311.0	18671.0	15728.0	17683.0	0.0	13329.0	23357.0	15463.0	14369.0	17551.0	22194.0	14788.0	12889.0	22415.0	15819.0	10005.0	14250.0	13467.0	15105.0	15033.0	11950.0	14178.0	14548.0	14903.0	19628.0	22213.0	16479.0	14902.0
XieH_2016__YSZC12003_35550__bin.129	16935.0	23736.0	21918.0	20181.0	21917.0	21845.0	16257.0	14160.0	19561.0	16031.0	29654.0	20953.0	26202.0	21871.0	21966.0	13329.0	0.0	31687.0	15205.0	18298.0	22892.0	30067.0	21691.0	15462.0	31304.0	18962.0	18905.0	18886.0	16509.0	19734.0	20617.0	16312.0	16835.0	18245.0	20227.0	27974.0	30182.0	22042.0	18358.0
LouisS_2016__AS66_12__bin.19	38812.0	40506.0	40477.0	32918.0	40395.0	38175.0	28370.0	21726.0	40260.0	39861.0	19481.0	41023.0	18639.0	40832.0	43345.0	23357.0	31687.0	0.0	40831.0	38707.0	41910.0	19639.0	40714.0	35834.0	20264.0	40417.0	39147.0	39863.0	23722.0	35653.0	39181.0	27415.0	39723.0	13113.0	38396.0	124.0	12519.0	35986.0	41361.0
ZeeviD_2015__PNP_Main_696__bin.15	20624.0	28679.0	27245.0	23521.0	27658.0	25514.0	19232.0	15863.0	25466.0	20411.0	37054.0	26973.0	34143.0	27963.0	27093.0	15463.0	15205.0	40831.0	0.0	22517.0	28634.0	37759.0	26419.0	18246.0	39851.0	23582.0	23636.0	23930.0	19654.0	24344.0	25907.0	18942.0	21878.0	22129.0	25015.0	35737.0	38106.0	25096.0	22585.0
ZeeviD_2015__PNP_Main_575__bin.21	20361.0	28215.0	25984.0	21864.0	26560.0	24322.0	18907.0	15188.0	21735.0	21917.0	34919.0	25253.0	32855.0	26016.0	25791.0	14369.0	18298.0	38707.0	22517.0	0.0	27165.0	35521.0	25335.0	18907.0	37807.0	23346.0	20361.0	21969.0	19550.0	23267.0	24186.0	18788.0	21453.0	20671.0	22662.0	33606.0	36195.0	23469.0	21548.0
XieH_2016__YSZC12003_37315__bin.107	27167.0	29631.0	29060.0	23765.0	28405.0	26457.0	20095.0	17060.0	28965.0	27070.0	38489.0	27901.0	35088.0	27640.0	30719.0	17551.0	22892.0	41910.0	28634.0	27165.0	0.0	38266.0	27754.0	23991.0	40737.0	27938.0	27340.0	27282.0	20159.0	24924.0	25942.0	19572.0	27819.0	22783.0	26146.0	36401.0	38708.0	26320.0	27833.0
ZeeviD_2015__PNP_DietIntervention_15__bin.11	36025.0	37456.0	37813.0	31192.0	37190.0	35909.0	26166.0	20774.0	37746.0	36992.0	18180.0	37243.0	17200.0	37448.0	40720.0	22194.0	30067.0	19639.0	37759.0	35521.0	38266.0	0.0	37495.0	33683.0	19680.0	38524.0	35860.0	36540.0	23374.0	33703.0	36394.0	26308.0	36137.0	12607.0	35701.0	17699.0	19399.0	33954.0	37392.0
XieH_2016__YSZC12003_36051__bin.12	25289.0	30638.0	27537.0	22738.0	27361.0	25585.0	19910.0	16475.0	27139.0	25680.0	36749.0	26531.0	34512.0	27482.0	30305.0	14788.0	21691.0	40714.0	26419.0	25335.0	27754.0	37495.0	0.0	22556.0	39884.0	27968.0	26454.0	25555.0	19382.0	23833.0	25263.0	18498.0	25607.0	22046.0	24680.0	36245.0	38196.0	24752.0	26067.0
ZeeviD_2015__PNP_DietIntervention_46__bin.3	384.0	25108.0	22197.0	20133.0	23682.0	21323.0	16177.0	13894.0	20625.0	18029.0	32574.0	21414.0	29765.0	22386.0	21038.0	12889.0	15462.0	35834.0	18246.0	18907.0	23991.0	33683.0	22556.0	0.0	35552.0	19384.0	18884.0	16169.0	17864.0	20373.0	21188.0	16525.0	17275.0	20348.0	20795.0	30906.0	33872.0	21668.0	15330.0
FerrettiP_2018__CA_C10009MS2134FE_t0M15__bin.20	38067.0	39926.0	40001.0	33060.0	40220.0	37860.0	27915.0	21276.0	39832.0	39043.0	18957.0	39878.0	17588.0	39984.0	42628.0	22415.0	31304.0	20264.0	39851.0	37807.0	40737.0	19680.0	39884.0	35552.0	0.0	40163.0	38505.0	39362.0	23752.0	35716.0	38551.0	26336.0	38453.0	12744.0	37137.0	17721.0	19656.0	35915.0	40400.0
ZeeviD_2015__PNP_Main_736__bin.22	21262.0	29945.0	27285.0	24361.0	28439.0	26223.0	19888.0	17527.0	25770.0	22925.0	36684.0	27178.0	34060.0	27517.0	11598.0	15819.0	18962.0	40417.0	23582.0	23346.0	27938.0	38524.0	27968.0	19384.0	40163.0	0.0	22800.0	23827.0	20474.0	25279.0	26974.0	19992.0	22552.0	22291.0	25737.0	35706.0	38434.0	26076.0	23063.0
LeChatelierE_2013__MH0422__bin.90	21408.0	27543.0	26164.0	22125.0	26146.0	23979.0	17686.0	14844.0	22918.0	22265.0	35626.0	25530.0	32261.0	26338.0	25991.0	10005.0	18905.0	39147.0	23636.0	20361.0	27340.0	35860.0	26454.0	18884.0	38505.0	22800.0	0.0	22722.0	18528.0	23271.0	24534.0	18497.0	22561.0	21497.0	23130.0	35091.0	37578.0	23609.0	22739.0
XieH_2016__YSZC12003_35740__bin.65	18171.0	28940.0	26299.0	22761.0	26761.0	24206.0	18117.0	15380.0	25028.0	22286.0	36045.0	25462.0	33985.0	26438.0	26613.0	14250.0	18886.0	39863.0	23930.0	21969.0	27282.0	36540.0	25555.0	16169.0	39362.0	23827.0	22722.0	0.0	18927.0	23280.0	24428.0	18390.0	21583.0	21086.0	23793.0	34843.0	37948.0	24590.0	20980.0
ZeeviD_2015__PNP_Main_145__bin.10	19297.0	18844.0	19978.0	16999.0	19205.0	18110.0	15335.0	13153.0	20243.0	19292.0	21830.0	19001.0	19557.0	19593.0	21298.0	13467.0	16509.0	23722.0	19654.0	19550.0	20159.0	23374.0	19382.0	17864.0	23752.0	20474.0	18528.0	18927.0	0.0	17549.0	18511.0	14433.0	19388.0	15034.0	18830.0	20070.0	22324.0	17999.0	19903.0
LeChatelierE_2013__MH0313__bin.71	22877.0	26682.0	24650.0	21553.0	24544.0	23412.0	17979.0	15499.0	24779.0	23404.0	32603.0	23394.0	30454.0	24412.0	27104.0	15105.0	19734.0	35653.0	24344.0	23267.0	24924.0	33703.0	23833.0	20373.0	35716.0	25279.0	23271.0	23280.0	17549.0	0.0	22798.0	17476.0	23370.0	19802.0	22678.0	31207.0	33893.0	23546.0	23683.0
NielsenHB_2014__MH0009__bin.20	23676.0	28171.0	25021.0	22008.0	25688.0	23007.0	17873.0	15804.0	25955.0	24794.0	35330.0	367.0	33246.0	24855.0	28753.0	15033.0	20617.0	39181.0	25907.0	24186.0	25942.0	36394.0	25263.0	21188.0	38551.0	26974.0	24534.0	24428.0	18511.0	22798.0	0.0	18475.0	24900.0	20915.0	22919.0	34801.0	36874.0	23811.0	25065.0
XieH_2016__YSZC12003_35549__bin.15	18189.0	19294.0	19476.0	16870.0	18384.0	17815.0	14336.0	13058.0	19025.0	18535.0	24072.0	18771.0	22537.0	19486.0	20658.0	11950.0	16312.0	27415.0	18942.0	18788.0	19572.0	26308.0	18498.0	16525.0	26336.0	19992.0	18497.0	18390.0	14433.0	17476.0	18475.0	0.0	18650.0	15138.0	18111.0	24084.0	26123.0	17974.0	18798.0
ZeeviD_2015__PNP_Main_245__bin.6	19558.0	28899.0	26842.0	22528.0	27296.0	25220.0	18093.0	15652.0	23690.0	21322.0	35682.0	26165.0	33135.0	26649.0	25042.0	14178.0	16835.0	39723.0	21878.0	21453.0	27819.0	36137.0	25607.0	17275.0	38453.0	22552.0	22561.0	21583.0	19388.0	23370.0	24900.0	18650.0	0.0	21773.0	23866.0	34421.0	36996.0	24190.0	21774.0
BackhedF_2015__SID133_M__bin.53	21363.0	22148.0	22322.0	18603.0	21837.0	21085.0	16574.0	12786.0	21846.0	21442.0	12481.0	21522.0	11134.0	22521.0	23444.0	14548.0	18245.0	13113.0	22129.0	20671.0	22783.0	12607.0	22046.0	20348.0	12744.0	22291.0	21497.0	21086.0	15034.0	19802.0	20915.0	15138.0	21773.0	0.0	20977.0	11236.0	12055.0	20020.0	22137.0
KarlssonFH_2013__S195__bin.8	22947.0	28160.0	24151.0	21543.0	25635.0	23616.0	17930.0	15463.0	24253.0	24223.0	34679.0	23573.0	31635.0	24165.0	27634.0	14903.0	20227.0	38396.0	25015.0	22662.0	26146.0	35701.0	24680.0	20795.0	37137.0	25737.0	23130.0	23793.0	18830.0	22678.0	22919.0	18111.0	23866.0	20977.0	0.0	33574.0	35805.0	23196.0	24514.0
LouisS_2016__AS66_18__bin.31	34571.0	35742.0	35072.0	28955.0	35125.0	33730.0	23422.0	18423.0	35025.0	35155.0	17282.0	36553.0	17791.0	36042.0	37376.0	19628.0	27974.0	124.0	35737.0	33606.0	36401.0	17699.0	36245.0	30906.0	17721.0	35706.0	35091.0	34843.0	20070.0	31207.0	34801.0	24084.0	34421.0	11236.0	33574.0	0.0	10881.0	31464.0	35816.0
ZellerG_2014__CCIS90443472ST-4-0__bin.48	36939.0	38183.0	38092.0	31327.0	37925.0	36256.0	26200.0	20577.0	38243.0	37833.0	19012.0	38326.0	17675.0	38801.0	40763.0	22213.0	30182.0	12519.0	38106.0	36195.0	38708.0	19399.0	38196.0	33872.0	19656.0	38434.0	37578.0	37948.0	22324.0	33893.0	36874.0	26123.0	36996.0	12055.0	35805.0	10881.0	0.0	34053.0	37994.0
NielsenHB_2014__V1_UC49_0__bin.29	23859.0	26282.0	24879.0	2530.0	25369.0	25020.0	18458.0	15975.0	25984.0	25847.0	32943.0	24334.0	30508.0	25692.0	28520.0	16479.0	22042.0	35986.0	25096.0	23469.0	26320.0	33954.0	24752.0	21668.0	35915.0	26076.0	23609.0	24590.0	17999.0	23546.0	23811.0	17974.0	24190.0	20020.0	23196.0	31464.0	34053.0	0.0	24453.0
ZeeviD_2015__PNP_Main_666__bin.37	16924.0	28578.0	26401.0	23052.0	27136.0	24436.0	17759.0	15669.0	25048.0	22257.0	37117.0	26035.0	33925.0	26825.0	25724.0	14902.0	18358.0	41361.0	22585.0	21548.0	27833.0	37392.0	26067.0	15330.0	40400.0	23063.0	22739.0	20980.0	19903.0	23683.0	25065.0	18798.0	21774.0	22137.0	24514.0	35816.0	37994.0	24453.0	0.0
