	HMP_2012__SRS049995__bin.33	XieH_2016__YSZC12003_37798__bin.54	NielsenHB_2014__V1_UC40_0__bin.36	RaymondF_2016__P13E7__bin.15	XieH_2016__YSZC12003_37126__bin.6	QinN_2014__HD-33__bin.90	NielsenHB_2014__V1_CD34_0__bin.57	XieH_2016__YSZC12003_35515__bin.86	LeChatelierE_2013__MH0149__bin.28	CosteaPI_2017__donald2-11-0-0__bin.26	XieH_2016__YSZC12003_37228__bin.59	NielsenHB_2014__MH0024__bin.6	RaymondF_2016__P15E90__bin.17	ZeeviD_2015__PNP_DietIntervention_28__bin.85	ZeeviD_2015__PNP_Main_252__bin.56	HeQ_2017__SZAXPI029560-51__bin.79	NielsenHB_2014__MH0145__bin.35	ZeeviD_2015__PNP_Main_162__bin.52	FengQ_2015__SID532915__bin.5	LiJ_2014__MH0376__bin.6	ZeeviD_2015__PNP_Main_259__bin.30	QinN_2014__HV-8__bin.27	LeChatelierE_2013__MH0024__bin.13	ZeeviD_2015__PNP_Main_27__bin.49	ZeeviD_2015__PNP_Main_536__bin.28	ZellerG_2014__CCIS21126322ST-4-0__bin.18	KarlssonFH_2013__S487__bin.24	XieH_2016__YSZC12003_37332__bin.97	RaymondF_2016__P3E90__bin.26	LeChatelierE_2013__MH0435__bin.9	XieH_2016__YSZC12003_35519__bin.35	NielsenHB_2014__MH0149__bin.40	LeChatelierE_2013__MH0253__bin.35	ZeeviD_2015__PNP_Validation_57__bin.41	LeChatelierE_2013__MH0429__bin.10	XieH_2016__YSZC12003_37877__bin.22	ZeeviD_2015__PNP_Main_506__bin.17	XieH_2016__YSZC12003_36005__bin.68	KarlssonFH_2013__S54__bin.4	ZeeviD_2015__PNP_Main_616__bin.34	LiJ_2014__MH0389__bin.18	XieH_2016__YSZC12003_35550__bin.52	LiJ_2014__MH0293__bin.70	LeChatelierE_2013__MH0145__bin.8
XieH_2016__YSZC12003_37228__bin.59	996433.0	1007856.0	874205.0	410576.0	986081.0	1010259.0	1034780.0	756014.0	1018882.0	1023702.0	1184144.0	925609.0	979350.0	796647.0	1003650.0	1018278.0	615367.0	719393.0	760366.0	933930.0	878963.0	1014003.0	981438.0	726149.0	990604.0	997107.0	867750.0	985056.0	826109.0	753395.0	992783.0	1019442.0	430084.0	964396.0	842098.0	715793.0	958132.0	1051664.0	1015084.0	974037.0	752989.0	929021.0	1025780.0	843754.0
NielsenHB_2014__MH0024__bin.6	911611.0	891276.0	812415.0	409692.0	887070.0	928924.0	928499.0	731024.0	914847.0	916308.0	925609.0	1281274.0	903338.0	748068.0	924565.0	930677.0	567098.0	652855.0	676699.0	868448.0	808366.0	933387.0	1266583.0	702220.0	891369.0	982616.0	820667.0	985751.0	771184.0	752253.0	925304.0	914987.0	454298.0	859039.0	788028.0	679391.0	894186.0	954004.0	937323.0	892595.0	735406.0	910975.0	909439.0	753545.0
RaymondF_2016__P15E90__bin.17	967249.0	937101.0	863077.0	404119.0	969085.0	969260.0	972978.0	742862.0	992519.0	1004141.0	979350.0	903338.0	1103777.0	777473.0	975077.0	970427.0	586960.0	714969.0	722671.0	926231.0	849165.0	973414.0	952443.0	714773.0	961508.0	977237.0	831476.0	952407.0	800943.0	735012.0	975069.0	993124.0	433632.0	929328.0	857672.0	703420.0	953071.0	998098.0	958302.0	986426.0	739375.0	906296.0	994761.0	805810.0
ZeeviD_2015__PNP_DietIntervention_28__bin.85	796932.0	770527.0	730469.0	296851.0	772497.0	785898.0	781475.0	611544.0	782222.0	789197.0	796647.0	748068.0	777473.0	929072.0	866673.0	781707.0	482713.0	579543.0	592326.0	745004.0	671325.0	789060.0	771741.0	613177.0	781963.0	827552.0	667245.0	798818.0	635545.0	581554.0	792462.0	782059.0	324426.0	729587.0	665806.0	556163.0	767936.0	810623.0	798752.0	800260.0	589490.0	796365.0	782492.0	648431.0
ZeeviD_2015__PNP_Main_252__bin.56	1002292.0	945041.0	905343.0	402019.0	967010.0	999630.0	989758.0	750745.0	989039.0	1000707.0	1003650.0	924565.0	975077.0	866673.0	1157781.0	998026.0	592651.0	714976.0	731029.0	940258.0	873435.0	1003477.0	976355.0	769172.0	989889.0	1047132.0	835780.0	1014719.0	793906.0	737563.0	1007954.0	988898.0	426220.0	916783.0	849787.0	707878.0	973184.0	1018761.0	1021234.0	1016758.0	775330.0	976924.0	989435.0	814365.0
HeQ_2017__SZAXPI029560-51__bin.79	1004100.0	977925.0	865516.0	406563.0	972656.0	1097723.0	1022283.0	740842.0	1002190.0	998798.0	1018278.0	930677.0	970427.0	781707.0	998026.0	1142009.0	613622.0	723181.0	770012.0	938144.0	869885.0	1096838.0	984738.0	726502.0	988107.0	1004049.0	858632.0	987457.0	799053.0	738783.0	1002118.0	1002492.0	422719.0	939034.0	854627.0	703742.0	950103.0	1019620.0	996273.0	969118.0	762192.0	928316.0	1004576.0	833577.0
NielsenHB_2014__MH0145__bin.35	599689.0	590924.0	567997.0	209942.0	579239.0	603585.0	612834.0	499002.0	594847.0	609106.0	615367.0	567098.0	586960.0	482713.0	592651.0	613622.0	721249.0	366191.0	494658.0	580461.0	531105.0	607176.0	580025.0	408026.0	597045.0	602887.0	466981.0	585411.0	488678.0	442302.0	589750.0	594222.0	267284.0	556123.0	492869.0	400194.0	583901.0	605166.0	589129.0	585090.0	424407.0	569990.0	591114.0	539064.0
ZeeviD_2015__PNP_Main_162__bin.52	740833.0	682218.0	611114.0	321789.0	714937.0	723292.0	724932.0	503996.0	722318.0	726242.0	719393.0	652855.0	714969.0	579543.0	714976.0	723181.0	366191.0	851603.0	551032.0	718631.0	606616.0	722772.0	702000.0	524825.0	717450.0	713644.0	623405.0	725038.0	570022.0	548482.0	734542.0	722173.0	312819.0	769339.0	637551.0	526055.0	741349.0	733693.0	726728.0	714439.0	570950.0	674688.0	723333.0	710274.0
FengQ_2015__SID532915__bin.5	726549.0	736984.0	654691.0	300816.0	717689.0	748358.0	759939.0	532282.0	734705.0	754489.0	760366.0	676699.0	722671.0	592326.0	731029.0	770012.0	494658.0	551032.0	917125.0	698431.0	639193.0	751358.0	722307.0	559319.0	718454.0	755044.0	654441.0	737947.0	593245.0	564731.0	737980.0	734899.0	308637.0	694913.0	637182.0	565470.0	712527.0	744586.0	740704.0	723606.0	569843.0	674821.0	735389.0	653578.0
LiJ_2014__MH0376__bin.6	943614.0	893076.0	827346.0	390815.0	909126.0	924146.0	940864.0	730115.0	931149.0	955878.0	933930.0	868448.0	926231.0	745004.0	940258.0	938144.0	580461.0	718631.0	698431.0	1132371.0	817193.0	927865.0	921488.0	708941.0	933781.0	947706.0	792679.0	944775.0	742199.0	698694.0	943103.0	931292.0	416591.0	920647.0	810113.0	666425.0	975127.0	935888.0	942058.0	929475.0	719393.0	875006.0	928269.0	763953.0
ZeeviD_2015__PNP_Main_259__bin.30	863917.0	824660.0	741338.0	333943.0	839752.0	867714.0	884217.0	655230.0	856652.0	853917.0	878963.0	808366.0	849165.0	671325.0	873435.0	869885.0	531105.0	606616.0	639193.0	817193.0	958859.0	871401.0	857853.0	680526.0	873300.0	886863.0	726273.0	864786.0	681181.0	647136.0	866621.0	856417.0	371814.0	805957.0	729503.0	627416.0	827755.0	899020.0	865379.0	874536.0	655714.0	825032.0	850620.0	706238.0
QinN_2014__HV-8__bin.27	1011904.0	953602.0	853752.0	462539.0	971087.0	1235424.0	1013681.0	743554.0	994295.0	1063012.0	1014003.0	933387.0	973414.0	789060.0	1003477.0	1096838.0	607176.0	722772.0	751358.0	927865.0	871401.0	1247089.0	985759.0	724175.0	996915.0	1019854.0	854506.0	984217.0	789140.0	737997.0	991440.0	992502.0	416942.0	1008422.0	857107.0	710998.0	949894.0	1032642.0	983936.0	972065.0	752936.0	936658.0	994107.0	902308.0
LeChatelierE_2013__MH0024__bin.13	964637.0	923818.0	834499.0	436288.0	937917.0	980912.0	984074.0	761092.0	966317.0	968936.0	981438.0	1266583.0	952443.0	771741.0	976355.0	984738.0	580025.0	702000.0	722307.0	921488.0	857853.0	985759.0	1363419.0	744379.0	947656.0	1032403.0	870467.0	1040991.0	787681.0	771207.0	977341.0	966544.0	460232.0	907264.0	828684.0	726275.0	943223.0	1009088.0	983658.0	943763.0	775743.0	932852.0	960958.0	798591.0
ZeeviD_2015__PNP_Main_27__bin.49	732655.0	681329.0	664077.0	313159.0	700068.0	720939.0	722906.0	590089.0	718110.0	716798.0	726149.0	702220.0	714773.0	613177.0	769172.0	726502.0	408026.0	524825.0	559319.0	708941.0	680526.0	724175.0	744379.0	824811.0	727323.0	778250.0	596708.0	742800.0	592003.0	565586.0	736213.0	717832.0	329314.0	692043.0	633304.0	522705.0	738267.0	727351.0	741995.0	751280.0	577479.0	724486.0	717916.0	600016.0
ZeeviD_2015__PNP_Main_536__bin.28	973374.0	935980.0	867532.0	394773.0	955366.0	992308.0	980742.0	742562.0	973152.0	985082.0	990604.0	891369.0	961508.0	781963.0	989889.0	988107.0	597045.0	717450.0	718454.0	933781.0	873300.0	996915.0	947656.0	727323.0	1150696.0	985772.0	831104.0	965636.0	779792.0	735550.0	975320.0	972226.0	437898.0	919193.0	828920.0	700418.0	945316.0	1007310.0	969780.0	972067.0	736400.0	917839.0	979874.0	808248.0
ZellerG_2014__CCIS21126322ST-4-0__bin.18	996123.0	949519.0	901735.0	428267.0	962849.0	1017765.0	991232.0	777570.0	976144.0	983272.0	997107.0	982616.0	977237.0	827552.0	1047132.0	1004049.0	602887.0	713644.0	755044.0	947706.0	886863.0	1019854.0	1032403.0	778250.0	985772.0	1245371.0	878003.0	1020784.0	786856.0	785342.0	1004755.0	975884.0	464338.0	921388.0	837203.0	709900.0	974423.0	1051288.0	1013078.0	1016494.0	773658.0	992454.0	974771.0	822118.0
KarlssonFH_2013__S487__bin.24	850338.0	810190.0	714584.0	379362.0	862181.0	851151.0	879961.0	651052.0	877579.0	837501.0	867750.0	820667.0	831476.0	667245.0	835780.0	858632.0	466981.0	623405.0	654441.0	792679.0	726273.0	854506.0	870467.0	596708.0	831104.0	878003.0	1123403.0	840674.0	697872.0	682917.0	849728.0	878016.0	420366.0	790760.0	728489.0	608797.0	809117.0	907244.0	847854.0	822402.0	650877.0	778289.0	877184.0	682831.0
XieH_2016__YSZC12003_37332__bin.97	992116.0	928136.0	879373.0	395465.0	952140.0	979855.0	989655.0	746990.0	970710.0	976993.0	985056.0	985751.0	952407.0	798818.0	1014719.0	987457.0	585411.0	725038.0	737947.0	944775.0	864786.0	984217.0	1040991.0	742800.0	965636.0	1020784.0	840674.0	1159722.0	783304.0	737225.0	1072277.0	970050.0	427904.0	927276.0	833442.0	741281.0	982205.0	976483.0	1078989.0	983010.0	833568.0	945270.0	967768.0	800677.0
RaymondF_2016__P3E90__bin.26	793157.0	814094.0	729681.0	377250.0	821761.0	787535.0	819157.0	623957.0	861987.0	791869.0	826109.0	771184.0	800943.0	635545.0	793906.0	799053.0	488678.0	570022.0	593245.0	742199.0	681181.0	789140.0	787681.0	592003.0	779792.0	786856.0	697872.0	783304.0	896369.0	687537.0	792760.0	862937.0	408488.0	745522.0	725714.0	575217.0	763139.0	812116.0	786635.0	790001.0	651809.0	765212.0	864424.0	656383.0
LeChatelierE_2013__MH0435__bin.9	757905.0	731205.0	665319.0	415693.0	740449.0	735221.0	759181.0	593079.0	752628.0	727534.0	753395.0	752253.0	735012.0	581554.0	737563.0	738783.0	442302.0	548482.0	564731.0	698694.0	647136.0	737997.0	771207.0	565586.0	735550.0	785342.0	682917.0	737225.0	687537.0	1122544.0	732541.0	752418.0	440653.0	709337.0	695786.0	533356.0	721517.0	795160.0	740188.0	728916.0	650495.0	711913.0	755089.0	629077.0
XieH_2016__YSZC12003_35519__bin.35	988709.0	937787.0	892521.0	397783.0	964538.0	988401.0	995275.0	756892.0	992906.0	985509.0	992783.0	925304.0	975069.0	792462.0	1007954.0	1002118.0	589750.0	734542.0	737980.0	943103.0	866621.0	991440.0	977341.0	736213.0	975320.0	1004755.0	849728.0	1072277.0	792760.0	732541.0	1136243.0	992152.0	428872.0	936367.0	840383.0	713981.0	979348.0	994193.0	1074257.0	1002492.0	835886.0	943801.0	995031.0	803718.0
NielsenHB_2014__MH0149__bin.40	993432.0	963198.0	883701.0	411847.0	1017553.0	989651.0	1021270.0	761617.0	1104270.0	993706.0	1019442.0	914987.0	993124.0	782059.0	988898.0	1002492.0	594222.0	722173.0	734899.0	931292.0	856417.0	992502.0	966544.0	717832.0	972226.0	975884.0	878016.0	970050.0	862937.0	752418.0	992152.0	1103662.0	430944.0	938313.0	854011.0	711458.0	952468.0	1006356.0	979643.0	979369.0	745506.0	920367.0	1098822.0	810510.0
LeChatelierE_2013__MH0253__bin.35	428354.0	419483.0	394426.0	300951.0	414382.0	415600.0	426153.0	381723.0	430873.0	425437.0	430084.0	454298.0	433632.0	324426.0	426220.0	422719.0	267284.0	312819.0	308637.0	416591.0	371814.0	416942.0	460232.0	329314.0	437898.0	464338.0	420366.0	427904.0	408488.0	440653.0	428872.0	430944.0	586406.0	405376.0	414456.0	316004.0	412686.0	468803.0	435367.0	431205.0	405045.0	416604.0	437027.0	364036.0
ZeeviD_2015__PNP_Validation_57__bin.41	940670.0	880169.0	812034.0	442478.0	916177.0	1005120.0	941648.0	698702.0	938164.0	987573.0	964396.0	859039.0	929328.0	729587.0	916783.0	939034.0	556123.0	769339.0	694913.0	920647.0	805957.0	1008422.0	907264.0	692043.0	919193.0	921388.0	790760.0	927276.0	745522.0	709337.0	936367.0	938313.0	405376.0	1435309.0	814953.0	649400.0	944752.0	948235.0	935386.0	916640.0	709145.0	867911.0	939565.0	844952.0
LeChatelierE_2013__MH0429__bin.10	851698.0	813234.0	738637.0	419678.0	830836.0	853065.0	855900.0	637247.0	853581.0	848803.0	842098.0	788028.0	857672.0	665806.0	849787.0	854627.0	492869.0	637551.0	637182.0	810113.0	729503.0	857107.0	828684.0	633304.0	828920.0	837203.0	728489.0	833442.0	725714.0	695786.0	840383.0	854011.0	414456.0	814953.0	1209931.0	621303.0	838555.0	858965.0	838746.0	835428.0	696140.0	788075.0	854737.0	701989.0
XieH_2016__YSZC12003_37877__bin.22	705277.0	680755.0	607404.0	291281.0	693357.0	707576.0	724844.0	495986.0	711343.0	695342.0	715793.0	679391.0	703420.0	556163.0	707878.0	703742.0	400194.0	526055.0	565470.0	666425.0	627416.0	710998.0	726275.0	522705.0	700418.0	709900.0	608797.0	741281.0	575217.0	533356.0	713981.0	711458.0	316004.0	649400.0	621303.0	845998.0	679469.0	713487.0	705343.0	705055.0	553976.0	655539.0	710106.0	614378.0
ZeeviD_2015__PNP_Main_506__bin.17	980067.0	907733.0	835754.0	395835.0	931413.0	945789.0	958708.0	730169.0	952078.0	952812.0	958132.0	894186.0	953071.0	767936.0	973184.0	950103.0	583901.0	741349.0	712527.0	975127.0	827755.0	949894.0	943223.0	738267.0	945316.0	974423.0	809117.0	982205.0	763139.0	721517.0	979348.0	952468.0	412686.0	944752.0	838555.0	679469.0	1092237.0	961802.0	989781.0	944394.0	743521.0	906694.0	957340.0	782837.0
XieH_2016__YSZC12003_36005__bin.68	1029040.0	974887.0	872231.0	443294.0	990118.0	1027430.0	1030795.0	797712.0	1005510.0	1014247.0	1051664.0	954004.0	998098.0	810623.0	1018761.0	1019620.0	605166.0	733693.0	744586.0	935888.0	899020.0	1032642.0	1009088.0	727351.0	1007310.0	1051288.0	907244.0	976483.0	812116.0	795160.0	994193.0	1006356.0	468803.0	948235.0	858965.0	713487.0	961802.0	1280422.0	997340.0	986222.0	748818.0	942811.0	1010780.0	839961.0
KarlssonFH_2013__S54__bin.4	1007515.0	931417.0	886896.0	397450.0	947678.0	983234.0	993650.0	737981.0	979422.0	977758.0	1015084.0	937323.0	958302.0	798752.0	1021234.0	996273.0	589129.0	726728.0	740704.0	942058.0	865379.0	983936.0	983658.0	741995.0	969780.0	1013078.0	847854.0	1078989.0	786635.0	740188.0	1074257.0	979643.0	435367.0	935386.0	838746.0	705343.0	989781.0	997340.0	1247008.0	983014.0	833722.0	951534.0	988143.0	802690.0
ZeeviD_2015__PNP_Main_616__bin.34	972104.0	921155.0	911092.0	400264.0	959315.0	967548.0	965829.0	743571.0	978796.0	978724.0	974037.0	892595.0	986426.0	800260.0	1016758.0	969118.0	585090.0	714439.0	723606.0	929475.0	874536.0	972065.0	943763.0	751280.0	972067.0	1016494.0	822402.0	983010.0	790001.0	728916.0	1002492.0	979369.0	431205.0	916640.0	835428.0	705055.0	944394.0	986222.0	983014.0	1082404.0	757313.0	946972.0	979705.0	794059.0
LiJ_2014__MH0389__bin.18	753505.0	716523.0	681134.0	378542.0	720359.0	749626.0	758684.0	549029.0	746284.0	732667.0	752989.0	735406.0	739375.0	589490.0	775330.0	762192.0	424407.0	570950.0	569843.0	719393.0	655714.0	752936.0	775743.0	577479.0	736400.0	773658.0	650877.0	833568.0	651809.0	650495.0	835886.0	745506.0	405045.0	709145.0	696140.0	553976.0	743521.0	748818.0	833722.0	757313.0	1014528.0	722725.0	746868.0	639553.0
XieH_2016__YSZC12003_35550__bin.52	927263.0	891863.0	859399.0	367987.0	897221.0	933880.0	926209.0	709171.0	920678.0	908829.0	929021.0	910975.0	906296.0	796365.0	976924.0	928316.0	569990.0	674688.0	674821.0	875006.0	825032.0	936658.0	932852.0	724486.0	917839.0	992454.0	778289.0	945270.0	765212.0	711913.0	943801.0	920367.0	416604.0	867911.0	788075.0	655539.0	906694.0	942811.0	951534.0	946972.0	722725.0	1317248.0	915627.0	766174.0
LiJ_2014__MH0293__bin.70	1000221.0	972617.0	880718.0	412264.0	1019560.0	991414.0	1016123.0	757224.0	1098329.0	994808.0	1025780.0	909439.0	994761.0	782492.0	989435.0	1004576.0	591114.0	723333.0	735389.0	928269.0	850620.0	994107.0	960958.0	717916.0	979874.0	974771.0	877184.0	967768.0	864424.0	755089.0	995031.0	1098822.0	437027.0	939565.0	854737.0	710106.0	957340.0	1010780.0	988143.0	979705.0	746868.0	915627.0	1134076.0	811673.0
LeChatelierE_2013__MH0145__bin.8	817982.0	799420.0	688338.0	418475.0	799395.0	901390.0	838454.0	569826.0	810695.0	882338.0	843754.0	753545.0	805810.0	648431.0	814365.0	833577.0	539064.0	710274.0	653578.0	763953.0	706238.0	902308.0	798591.0	600016.0	808248.0	822118.0	682831.0	800677.0	656383.0	629077.0	803718.0	810510.0	364036.0	844952.0	701989.0	614378.0	782837.0	839961.0	802690.0	794059.0	639553.0	766174.0	811673.0	1136386.0
