	HMP_2012__SRS049995__bin.33	XieH_2016__YSZC12003_37798__bin.54	NielsenHB_2014__V1_UC40_0__bin.36	RaymondF_2016__P13E7__bin.15	XieH_2016__YSZC12003_37126__bin.6	QinN_2014__HD-33__bin.90	NielsenHB_2014__V1_CD34_0__bin.57	XieH_2016__YSZC12003_35515__bin.86	LeChatelierE_2013__MH0149__bin.28	CosteaPI_2017__donald2-11-0-0__bin.26	XieH_2016__YSZC12003_37228__bin.59	NielsenHB_2014__MH0024__bin.6	RaymondF_2016__P15E90__bin.17	ZeeviD_2015__PNP_DietIntervention_28__bin.85	ZeeviD_2015__PNP_Main_252__bin.56	HeQ_2017__SZAXPI029560-51__bin.79	NielsenHB_2014__MH0145__bin.35	ZeeviD_2015__PNP_Main_162__bin.52	FengQ_2015__SID532915__bin.5	LiJ_2014__MH0376__bin.6	ZeeviD_2015__PNP_Main_259__bin.30	QinN_2014__HV-8__bin.27	LeChatelierE_2013__MH0024__bin.13	ZeeviD_2015__PNP_Main_27__bin.49	ZeeviD_2015__PNP_Main_536__bin.28	ZellerG_2014__CCIS21126322ST-4-0__bin.18	KarlssonFH_2013__S487__bin.24	XieH_2016__YSZC12003_37332__bin.97	RaymondF_2016__P3E90__bin.26	LeChatelierE_2013__MH0435__bin.9	XieH_2016__YSZC12003_35519__bin.35	NielsenHB_2014__MH0149__bin.40	LeChatelierE_2013__MH0253__bin.35	ZeeviD_2015__PNP_Validation_57__bin.41	LeChatelierE_2013__MH0429__bin.10	XieH_2016__YSZC12003_37877__bin.22	ZeeviD_2015__PNP_Main_506__bin.17	XieH_2016__YSZC12003_36005__bin.68	KarlssonFH_2013__S54__bin.4	ZeeviD_2015__PNP_Main_616__bin.34	LiJ_2014__MH0389__bin.18	XieH_2016__YSZC12003_35550__bin.52	LiJ_2014__MH0293__bin.70	LeChatelierE_2013__MH0145__bin.8
XieH_2016__YSZC12003_37228__bin.59	8671.0	5482.0	6888.0	3661.0	7517.0	9219.0	7270.0	7023.0	7518.0	8420.0	0.0	8750.0	8247.0	7412.0	9065.0	9308.0	5375.0	7649.0	5767.0	19784.0	8512.0	9335.0	9161.0	7347.0	8772.0	10158.0	6668.0	9413.0	4921.0	6021.0	9341.0	7562.0	3677.0	10772.0	7329.0	3909.0	16844.0	6387.0	9897.0	8769.0	7736.0	9516.0	7719.0	7357.0
NielsenHB_2014__MH0024__bin.6	9784.0	8323.0	8437.0	5159.0	9191.0	9504.0	9283.0	8419.0	9766.0	9115.0	8750.0	0.0	8974.0	7247.0	9138.0	9809.0	5454.0	7040.0	7345.0	18789.0	8337.0	9693.0	164.0	7344.0	8978.0	11090.0	8719.0	10175.0	7724.0	8527.0	8321.0	9833.0	5405.0	9641.0	8640.0	7518.0	15959.0	10193.0	8498.0	9001.0	6965.0	9211.0	9836.0	8524.0
RaymondF_2016__P15E90__bin.17	7833.0	8002.0	7164.0	3224.0	7507.0	8797.0	7806.0	6691.0	7535.0	8464.0	8247.0	8974.0	0.0	6789.0	8477.0	9130.0	4919.0	7805.0	6148.0	19365.0	8072.0	8923.0	9464.0	6306.0	8219.0	9275.0	6925.0	9167.0	6008.0	5299.0	9055.0	7619.0	3702.0	10403.0	8207.0	6415.0	16198.0	8796.0	9047.0	7967.0	7690.0	8448.0	7641.0	7464.0
ZeeviD_2015__PNP_DietIntervention_28__bin.85	7463.0	6614.0	4160.0	3142.0	7219.0	7209.0	7016.0	6035.0	6981.0	7139.0	7412.0	7247.0	6789.0	0.0	242.0	7336.0	4202.0	6464.0	5640.0	15909.0	5755.0	7267.0	7701.0	3211.0	6831.0	4787.0	5694.0	7401.0	5577.0	5173.0	6759.0	6983.0	2651.0	8472.0	6531.0	5204.0	13435.0	7151.0	6886.0	4091.0	6045.0	3595.0	6960.0	6579.0
ZeeviD_2015__PNP_Main_252__bin.56	9255.0	8262.0	4906.0	3707.0	9006.0	9234.0	8797.0	7363.0	8831.0	9076.0	9065.0	9138.0	8477.0	242.0	0.0	9544.0	5436.0	8171.0	7116.0	19950.0	7641.0	9371.0	9585.0	4059.0	8917.0	6050.0	6925.0	9484.0	6798.0	6491.0	8476.0	8728.0	3537.0	10666.0	8595.0	6567.0	17331.0	9091.0	8603.0	5049.0	7415.0	4368.0	8751.0	8100.0
HeQ_2017__SZAXPI029560-51__bin.79	9204.0	8987.0	8876.0	3942.0	8596.0	2502.0	9094.0	7194.0	9412.0	8939.0	9308.0	9809.0	9130.0	7336.0	9544.0	0.0	5399.0	7872.0	7181.0	19853.0	8807.0	2451.0	10045.0	6994.0	9064.0	10071.0	7634.0	10677.0	7344.0	6143.0	10777.0	9504.0	3682.0	10922.0	8555.0	6661.0	16845.0	9774.0	10624.0	9531.0	8844.0	9224.0	9527.0	8790.0
NielsenHB_2014__MH0145__bin.35	4004.0	3815.0	4699.0	1796.0	3978.0	4855.0	4219.0	3419.0	4656.0	5107.0	5375.0	5454.0	4919.0	4202.0	5436.0	5399.0	0.0	3450.0	2631.0	11147.0	3920.0	4916.0	5416.0	3460.0	4929.0	5167.0	2797.0	5448.0	3525.0	2788.0	5809.0	4556.0	1934.0	5630.0	4143.0	2835.0	9357.0	5282.0	5322.0	4843.0	4399.0	5294.0	4528.0	242.0
ZeeviD_2015__PNP_Main_162__bin.52	7424.0	7412.0	6623.0	3772.0	7391.0	7841.0	7417.0	5292.0	7538.0	8046.0	7649.0	7040.0	7805.0	6464.0	8171.0	7872.0	3450.0	0.0	6387.0	14676.0	6437.0	7808.0	7718.0	6119.0	8363.0	8319.0	6064.0	7538.0	5865.0	5530.0	7503.0	7545.0	3107.0	3575.0	6861.0	5882.0	10285.0	8018.0	7666.0	8227.0	6172.0	7534.0	7714.0	7222.0
FengQ_2015__SID532915__bin.5	5677.0	5490.0	5849.0	2730.0	5451.0	6884.0	5905.0	4744.0	5973.0	6372.0	5767.0	7345.0	6148.0	5640.0	7116.0	7181.0	2631.0	6387.0	0.0	15015.0	5658.0	6919.0	7727.0	5527.0	6149.0	7399.0	5161.0	7867.0	4275.0	4118.0	7957.0	5987.0	2717.0	7556.0	5661.0	4463.0	12446.0	6667.0	7534.0	6730.0	6842.0	6446.0	5996.0	3331.0
LiJ_2014__MH0376__bin.6	18916.0	18814.0	16716.0	7861.0	18301.0	19385.0	19152.0	14810.0	18978.0	19989.0	19784.0	18789.0	19365.0	15909.0	19950.0	19853.0	11147.0	14676.0	15015.0	0.0	16409.0	19522.0	19598.0	14942.0	19298.0	20941.0	16331.0	19798.0	14716.0	13679.0	19376.0	19047.0	8633.0	18078.0	16015.0	14329.0	10299.0	19742.0	19784.0	19526.0	15593.0	18833.0	18968.0	16623.0
ZeeviD_2015__PNP_Main_259__bin.30	8581.0	7493.0	6296.0	2778.0	7857.0	8556.0	8157.0	5947.0	7576.0	7346.0	8512.0	8337.0	8072.0	5755.0	7641.0	8807.0	3920.0	6437.0	5658.0	16409.0	0.0	8688.0	8584.0	6218.0	8441.0	7226.0	6164.0	7683.0	6098.0	5959.0	7933.0	7600.0	3433.0	8551.0	7196.0	5805.0	14067.0	7956.0	8262.0	6736.0	6272.0	7251.0	7510.0	5378.0
QinN_2014__HV-8__bin.27	8720.0	8399.0	8369.0	4696.0	8490.0	187.0	8562.0	7047.0	9548.0	10671.0	9335.0	9693.0	8923.0	7267.0	9371.0	2451.0	4916.0	7808.0	6919.0	19522.0	8688.0	0.0	10120.0	7081.0	9206.0	10396.0	7286.0	10662.0	6862.0	6142.0	10313.0	9326.0	3556.0	11705.0	8721.0	7097.0	16861.0	9932.0	9985.0	9628.0	8473.0	9126.0	9329.0	9832.0
LeChatelierE_2013__MH0024__bin.13	10185.0	8736.0	8732.0	5603.0	9442.0	9950.0	9669.0	8728.0	10000.0	9462.0	9161.0	164.0	9464.0	7701.0	9585.0	10045.0	5416.0	7718.0	7727.0	19598.0	8584.0	10120.0	0.0	7678.0	9326.0	11237.0	9098.0	10502.0	7657.0	8606.0	8530.0	10080.0	5432.0	10264.0	8842.0	7879.0	16450.0	10685.0	8766.0	9485.0	7383.0	9399.0	10072.0	8893.0
ZeeviD_2015__PNP_Main_27__bin.49	7016.0	6339.0	4347.0	3168.0	6910.0	7116.0	7064.0	6325.0	7022.0	6087.0	7347.0	7344.0	6306.0	3211.0	4059.0	6994.0	3460.0	6119.0	5527.0	14942.0	6218.0	7081.0	7678.0	0.0	6519.0	4470.0	5503.0	6988.0	5655.0	5329.0	7024.0	6915.0	2759.0	8094.0	6139.0	5515.0	12713.0	6621.0	7370.0	3878.0	6343.0	3365.0	6902.0	5855.0
ZeeviD_2015__PNP_Main_536__bin.28	7659.0	8354.0	7628.0	3548.0	7205.0	9079.0	8199.0	5359.0	7537.0	8484.0	8772.0	8978.0	8219.0	6831.0	8917.0	9064.0	4929.0	8363.0	6149.0	19298.0	8441.0	9206.0	9326.0	6519.0	0.0	8617.0	6337.0	10189.0	5800.0	5880.0	9904.0	7405.0	3193.0	10996.0	7858.0	6070.0	16188.0	9212.0	9992.0	8431.0	8281.0	8263.0	7619.0	8100.0
ZellerG_2014__CCIS21126322ST-4-0__bin.18	9846.0	8727.0	5449.0	4978.0	9626.0	10624.0	8849.0	8635.0	8874.0	9422.0	10158.0	11090.0	9275.0	4787.0	6050.0	10071.0	5167.0	8319.0	7399.0	20941.0	7226.0	10396.0	11237.0	4470.0	8617.0	0.0	8618.0	9755.0	7072.0	7885.0	9229.0	8873.0	4469.0	11082.0	8721.0	6847.0	17633.0	10491.0	9371.0	5326.0	8100.0	4697.0	8976.0	7993.0
KarlssonFH_2013__S487__bin.24	5734.0	6177.0	5494.0	3788.0	5370.0	7226.0	5945.0	5541.0	6336.0	7279.0	6668.0	8719.0	6925.0	5694.0	6925.0	7634.0	2797.0	6064.0	5161.0	16331.0	6164.0	7286.0	9098.0	5503.0	6337.0	8618.0	0.0	8236.0	4645.0	5469.0	7873.0	6515.0	3621.0	8112.0	6367.0	4403.0	13516.0	7200.0	7833.0	6926.0	6829.0	6710.0	6560.0	5155.0
XieH_2016__YSZC12003_37332__bin.97	9982.0	9271.0	8644.0	4261.0	10108.0	10537.0	9716.0	7785.0	10006.0	9503.0	9413.0	10175.0	9167.0	7401.0	9484.0	10677.0	5448.0	7538.0	7867.0	19798.0	7683.0	10662.0	10502.0	6988.0	10189.0	9755.0	8236.0	0.0	7672.0	7339.0	3898.0	9799.0	3942.0	10510.0	9156.0	7830.0	17207.0	10142.0	3851.0	8814.0	2283.0	8576.0	9799.0	8295.0
RaymondF_2016__P3E90__bin.26	5311.0	5860.0	5566.0	2570.0	4352.0	6871.0	5333.0	4164.0	1865.0	5931.0	4921.0	7724.0	6008.0	5577.0	6798.0	7344.0	3525.0	5865.0	4275.0	14716.0	6098.0	6862.0	7657.0	5655.0	5800.0	7072.0	4645.0	7672.0	0.0	4121.0	7770.0	2041.0	2927.0	7381.0	5937.0	3563.0	12345.0	5503.0	7722.0	6585.0	6951.0	6903.0	2062.0	5115.0
LeChatelierE_2013__MH0435__bin.9	4510.0	5684.0	5624.0	4583.0	4166.0	6239.0	5187.0	4551.0	3999.0	5889.0	6021.0	8527.0	5299.0	5173.0	6491.0	6143.0	2788.0	5530.0	4118.0	13679.0	5959.0	6142.0	8606.0	5329.0	5880.0	7885.0	5469.0	7339.0	4121.0	0.0	7885.0	3969.0	3893.0	6808.0	5520.0	4367.0	11193.0	6974.0	7292.0	6407.0	7309.0	6155.0	4139.0	5123.0
XieH_2016__YSZC12003_35519__bin.35	9726.0	8668.0	7706.0	4023.0	10552.0	10229.0	9918.0	7792.0	10042.0	9641.0	9341.0	8321.0	9055.0	6759.0	8476.0	10777.0	5809.0	7503.0	7957.0	19376.0	7933.0	10313.0	8530.0	7024.0	9904.0	9229.0	7873.0	3898.0	7770.0	7885.0	0.0	9978.0	3792.0	10304.0	9615.0	7202.0	17200.0	10202.0	2997.0	8171.0	1571.0	8988.0	10092.0	8671.0
NielsenHB_2014__MH0149__bin.40	6413.0	7974.0	7221.0	2853.0	5179.0	9298.0	7411.0	5187.0	49.0	7988.0	7562.0	9833.0	7619.0	6983.0	8728.0	9504.0	4556.0	7545.0	5987.0	19047.0	7600.0	9326.0	10080.0	6915.0	7405.0	8873.0	6515.0	9799.0	2041.0	3969.0	9978.0	0.0	3145.0	9713.0	7086.0	5005.0	15329.0	7484.0	10069.0	8228.0	8444.0	8380.0	176.0	6946.0
LeChatelierE_2013__MH0253__bin.35	3237.0	3652.0	2752.0	3493.0	3186.0	3554.0	3027.0	3509.0	3137.0	3946.0	3677.0	5405.0	3702.0	2651.0	3537.0	3682.0	1934.0	3107.0	2717.0	8633.0	3433.0	3556.0	5432.0	2759.0	3193.0	4469.0	3621.0	3942.0	2927.0	3893.0	3792.0	3145.0	0.0	4281.0	3215.0	2298.0	6732.0	4613.0	4024.0	2981.0	4080.0	3020.0	3234.0	3056.0
ZeeviD_2015__PNP_Validation_57__bin.41	10032.0	9613.0	9051.0	5200.0	9606.0	11661.0	9998.0	7549.0	9732.0	11642.0	10772.0	9641.0	10403.0	8472.0	10666.0	10922.0	5630.0	3575.0	7556.0	18078.0	8551.0	11705.0	10264.0	8094.0	10996.0	11082.0	8112.0	10510.0	7381.0	6808.0	10304.0	9713.0	4281.0	0.0	9116.0	6815.0	13195.0	10699.0	10435.0	10539.0	8655.0	10744.0	9929.0	8966.0
LeChatelierE_2013__MH0429__bin.10	7019.0	7181.0	7502.0	2370.0	6862.0	8610.0	6945.0	6421.0	6992.0	7884.0	7329.0	8640.0	8207.0	6531.0	8595.0	8555.0	4143.0	6861.0	5661.0	16015.0	7196.0	8721.0	8842.0	6139.0	7858.0	8721.0	6367.0	9156.0	5937.0	5520.0	9615.0	7086.0	3215.0	9116.0	0.0	6270.0	13827.0	7857.0	9080.0	8329.0	8234.0	7971.0	7123.0	6560.0
XieH_2016__YSZC12003_37877__bin.22	5414.0	3424.0	4874.0	2382.0	5343.0	7092.0	4607.0	4113.0	4993.0	6079.0	3909.0	7518.0	6415.0	5204.0	6567.0	6661.0	2835.0	5882.0	4463.0	14329.0	5805.0	7097.0	7879.0	5515.0	6070.0	6847.0	4403.0	7830.0	3563.0	4367.0	7202.0	5005.0	2298.0	6815.0	6270.0	0.0	11733.0	5890.0	7181.0	6588.0	6393.0	6504.0	5031.0	4549.0
ZeeviD_2015__PNP_Main_506__bin.17	15768.0	15556.0	14227.0	6285.0	15416.0	16731.0	16241.0	12383.0	15302.0	16618.0	16844.0	15959.0	16198.0	13435.0	17331.0	16845.0	9357.0	10285.0	12446.0	10299.0	14067.0	16861.0	16450.0	12713.0	16188.0	17633.0	13516.0	17207.0	12345.0	11193.0	17200.0	15329.0	6732.0	13195.0	13827.0	11733.0	0.0	16964.0	17396.0	16395.0	13361.0	15834.0	15370.0	13361.0
XieH_2016__YSZC12003_36005__bin.68	8868.0	7920.0	7297.0	5068.0	7983.0	9714.0	8206.0	8266.0	7363.0	8625.0	6387.0	10193.0	8796.0	7151.0	9091.0	9774.0	5282.0	8018.0	6667.0	19742.0	7956.0	9932.0	10685.0	6621.0	9212.0	10491.0	7200.0	10142.0	5503.0	6974.0	10202.0	7484.0	4613.0	10699.0	7857.0	5890.0	16964.0	0.0	9736.0	8939.0	8474.0	8048.0	7448.0	7180.0
KarlssonFH_2013__S54__bin.4	9715.0	8843.0	8254.0	4166.0	9665.0	9910.0	9737.0	7448.0	10043.0	9608.0	9897.0	8498.0	9047.0	6886.0	8603.0	10624.0	5322.0	7666.0	7534.0	19784.0	8262.0	9985.0	8766.0	7370.0	9992.0	9371.0	7833.0	3851.0	7722.0	7292.0	2997.0	10069.0	4024.0	10435.0	9080.0	7181.0	17396.0	9736.0	0.0	8543.0	2193.0	8989.0	10049.0	8262.0
ZeeviD_2015__PNP_Main_616__bin.34	8832.0	7909.0	3064.0	3947.0	8696.0	9533.0	8246.0	6778.0	8171.0	8907.0	8769.0	9001.0	7967.0	4091.0	5049.0	9531.0	4843.0	8227.0	6730.0	19526.0	6736.0	9628.0	9485.0	3878.0	8431.0	5326.0	6926.0	8814.0	6585.0	6407.0	8171.0	8228.0	2981.0	10539.0	8329.0	6588.0	16395.0	8939.0	8543.0	0.0	6988.0	4669.0	8286.0	7688.0
LiJ_2014__MH0389__bin.18	8107.0	7278.0	6822.0	4141.0	8287.0	8333.0	8043.0	6071.0	8543.0	7734.0	7736.0	6965.0	7690.0	6045.0	7415.0	8844.0	4399.0	6172.0	6842.0	15593.0	6272.0	8473.0	7383.0	6343.0	8281.0	8100.0	6829.0	2283.0	6951.0	7309.0	1571.0	8444.0	4080.0	8655.0	8234.0	6393.0	13361.0	8474.0	2193.0	6988.0	0.0	7599.0	8540.0	7781.0
XieH_2016__YSZC12003_35550__bin.52	8753.0	8750.0	4347.0	3220.0	8726.0	9072.0	8373.0	7253.0	8404.0	8577.0	9516.0	9211.0	8448.0	3595.0	4368.0	9224.0	5294.0	7534.0	6446.0	18833.0	7251.0	9126.0	9399.0	3365.0	8263.0	4697.0	6710.0	8576.0	6903.0	6155.0	8988.0	8380.0	3020.0	10744.0	7971.0	6504.0	15834.0	8048.0	8989.0	4669.0	7599.0	0.0	8506.0	7991.0
LiJ_2014__MH0293__bin.70	6419.0	8072.0	7161.0	2951.0	5135.0	9313.0	7374.0	5190.0	152.0	8015.0	7719.0	9836.0	7641.0	6960.0	8751.0	9527.0	4528.0	7714.0	5996.0	18968.0	7510.0	9329.0	10072.0	6902.0	7619.0	8976.0	6560.0	9799.0	2062.0	4139.0	10092.0	176.0	3234.0	9929.0	7123.0	5031.0	15370.0	7448.0	10049.0	8286.0	8540.0	8506.0	0.0	6966.0
LeChatelierE_2013__MH0145__bin.8	6987.0	6002.0	6201.0	3796.0	6964.0	9762.0	6806.0	5607.0	6946.0	8453.0	7357.0	8524.0	7464.0	6579.0	8100.0	8790.0	242.0	7222.0	3331.0	16623.0	5378.0	9832.0	8893.0	5855.0	8100.0	7993.0	5155.0	8295.0	5115.0	5123.0	8671.0	6946.0	3056.0	8966.0	6560.0	4549.0	13361.0	7180.0	8262.0	7688.0	7781.0	7991.0	6966.0	0.0
