	Bengtsson-PalmeJ_2015__TRAVELRES38__bin.55	LiJ_2017__nHM612836__bin.3	LiJ_2014__V1.FI20__bin.60	FerrettiP_2018__CA_C10055MS2958FE_t0M16__bin.33	QinN_2014__LD-11__bin.70	Bengtsson-PalmeJ_2015__TRAVELRES32__bin.14	LiJ_2014__O2.UC32-1__bin.49	WenC_2017__RA070__bin.15	LiJ_2017__H1M512854__bin.8	WenC_2017__N310__bin.77	QinN_2014__HD-6__bin.17	WenC_2017__RA040__bin.13	Bengtsson-PalmeJ_2015__TRAVELRES66__bin.82	LiJ_2017__nHM511615__bin.9	LiJ_2014__MH0327__bin.22	Bengtsson-PalmeJ_2015__TRAVELRES19__bin.8	LiJ_2017__nHF512818__bin.30	LiJ_2017__H1M412743__bin.8	LiJ_2017__nHM512834__bin.36	Bengtsson-PalmeJ_2015__TRAVELRES31__bin.89	LouisS_2016__AS53_12__bin.8	ChengpingW_2017__AS71raw__bin.15	RaymondF_2016__P15E90__bin.53	ZeeviD_2015__PNP_Main_716__bin.31	QinJ_2012__T2D-048__bin.26	LiuW_2016__SRR3993026__bin.33	WenC_2017__RA051__bin.40	LiJ_2017__H2F514923__bin.31	ChengpingW_2017__AS42raw__bin.92	WenC_2017__N274__bin.13	ChengpingW_2017__AS68raw__bin.70	LiJ_2017__H2M411920__bin.37	WenC_2017__RA070__bin.9
QinN_2014__HD-6__bin.17	1222452.0	1404666.0	1428220.0	1067301.0	1557999.0	1487070.0	922435.0	638188.0	1098787.0	1420953.0	1679329.0	1032622.0	1391330.0	1441100.0	1202093.0	1328764.0	1059370.0	1115182.0	1277727.0	1316586.0	1050587.0	1527118.0	1434579.0	1228439.0	1434012.0	1064270.0	1327604.0	1354120.0	1421450.0	1450074.0	1221923.0	1149422.0	877381.0
WenC_2017__RA040__bin.13	974624.0	1174708.0	1126923.0	869478.0	1181112.0	1167822.0	649126.0	458678.0	912345.0	1145218.0	1032622.0	1488069.0	1084755.0	1169409.0	943452.0	1052486.0	918027.0	981067.0	1059505.0	1011938.0	842036.0	1185388.0	1164025.0	1018704.0	1082618.0	901700.0	1082428.0	1103456.0	1102594.0	1173330.0	971784.0	980438.0	715365.0
Bengtsson-PalmeJ_2015__TRAVELRES66__bin.82	1295126.0	1457813.0	1508951.0	1085055.0	1571018.0	1573596.0	966998.0	640978.0	1143728.0	1461708.0	1391330.0	1084755.0	1805577.0	1496840.0	1250035.0	1422921.0	1092915.0	1155983.0	1352052.0	1388935.0	1086989.0	1568917.0	1504375.0	1295017.0	1456257.0	1081158.0	1369824.0	1384431.0	1477547.0	1479458.0	1251743.0	1197768.0	920932.0
LiJ_2017__nHM511615__bin.9	1320673.0	1593279.0	1548542.0	1170142.0	1660032.0	1615588.0	975202.0	661040.0	1215974.0	1557982.0	1441100.0	1169409.0	1496840.0	1785237.0	1310210.0	1447868.0	1193874.0	1260251.0	1398923.0	1431134.0	1130771.0	1693133.0	1582873.0	1373798.0	1553694.0	1168303.0	1466061.0	1539301.0	1543186.0	1620344.0	1323972.0	1268111.0	1016483.0
LiJ_2014__MH0327__bin.22	1056170.0	1313829.0	1279451.0	982570.0	1349989.0	1342130.0	826072.0	525506.0	1003177.0	1262090.0	1202093.0	943452.0	1250035.0	1310210.0	1666296.0	1188901.0	966718.0	1022803.0	1138654.0	1192858.0	937180.0	1359301.0	1293829.0	1111738.0	1282137.0	979542.0	1200466.0	1227469.0	1263604.0	1304534.0	1132596.0	1051877.0	831921.0
Bengtsson-PalmeJ_2015__TRAVELRES19__bin.8	1248626.0	1411366.0	1399316.0	1069009.0	1516260.0	1495306.0	875909.0	571988.0	1096407.0	1403385.0	1328764.0	1052486.0	1422921.0	1447868.0	1188901.0	1660901.0	1068762.0	1126095.0	1303860.0	1308459.0	1037294.0	1485699.0	1422123.0	1215105.0	1400683.0	1063731.0	1312358.0	1340928.0	1406819.0	1438434.0	1209989.0	1168784.0	915767.0
LiJ_2017__nHF512818__bin.30	972699.0	1190085.0	1138847.0	870445.0	1188263.0	1164799.0	628123.0	449191.0	961384.0	1154675.0	1059370.0	918027.0	1092915.0	1193874.0	966718.0	1068762.0	1343196.0	1029534.0	1050330.0	1021235.0	849350.0	1230121.0	1185130.0	1027025.0	1099586.0	959049.0	1113844.0	1186468.0	1132158.0	1223103.0	981206.0	1000572.0	767370.0
LiJ_2017__H1M412743__bin.8	1030878.0	1280238.0	1196546.0	925593.0	1271288.0	1228027.0	672851.0	440618.0	1021277.0	1219702.0	1115182.0	981067.0	1155983.0	1260251.0	1022803.0	1126095.0	1029534.0	1559466.0	1117751.0	1081536.0	908832.0	1288546.0	1246421.0	1078893.0	1179735.0	1009505.0	1177065.0	1217747.0	1188490.0	1252157.0	1062351.0	1060764.0	824654.0
LiJ_2017__nHM512834__bin.36	1200586.0	1378792.0	1346980.0	1032593.0	1440700.0	1388464.0	856450.0	563247.0	1071212.0	1357318.0	1277727.0	1059505.0	1352052.0	1398923.0	1138654.0	1303860.0	1050330.0	1117751.0	1813766.0	1229332.0	1010083.0	1417178.0	1380057.0	1192950.0	1332347.0	1055844.0	1290336.0	1327629.0	1368135.0	1389342.0	1186402.0	1159681.0	841547.0
Bengtsson-PalmeJ_2015__TRAVELRES31__bin.89	1203689.0	1393476.0	1430109.0	1062952.0	1486153.0	1551802.0	920671.0	604854.0	1096518.0	1392192.0	1316586.0	1011938.0	1388935.0	1431134.0	1192858.0	1308459.0	1021235.0	1081536.0	1229332.0	1729082.0	1006743.0	1491523.0	1399411.0	1218099.0	1408868.0	1014230.0	1294935.0	1316150.0	1362043.0	1419026.0	1201321.0	1120690.0	889503.0
LouisS_2016__AS53_12__bin.8	963519.0	1107350.0	1100394.0	842962.0	1177868.0	1122352.0	699774.0	449327.0	871867.0	1090786.0	1050587.0	842036.0	1086989.0	1130771.0	937180.0	1037294.0	849350.0	908832.0	1010083.0	1006743.0	1446455.0	1172177.0	1113939.0	975053.0	1082775.0	849491.0	1035549.0	1071149.0	1093142.0	1136218.0	954403.0	927050.0	703202.0
ChengpingW_2017__AS71raw__bin.15	1349591.0	1629019.0	1621564.0	1198086.0	1748223.0	1724477.0	1065988.0	794797.0	1254416.0	1628729.0	1527118.0	1185388.0	1568917.0	1693133.0	1359301.0	1485699.0	1230121.0	1288546.0	1417178.0	1491523.0	1172177.0	2179707.0	1671178.0	1457371.0	1636994.0	1197007.0	1534767.0	1569873.0	1626057.0	1747163.0	1413518.0	1299125.0	1041332.0
RaymondF_2016__P15E90__bin.53	1304534.0	1557500.0	1550162.0	1141708.0	1637933.0	1608112.0	968661.0	674231.0	1194439.0	1544520.0	1434579.0	1164025.0	1504375.0	1582873.0	1293829.0	1422123.0	1185130.0	1246421.0	1380057.0	1399411.0	1113939.0	1671178.0	1948881.0	1383361.0	1543058.0	1145235.0	1462796.0	1480486.0	1511281.0	1592953.0	1300894.0	1256053.0	965855.0
ZeeviD_2015__PNP_Main_716__bin.31	1140830.0	1355974.0	1337782.0	1028731.0	1416383.0	1388056.0	862524.0	569830.0	1039132.0	1322802.0	1228439.0	1018704.0	1295017.0	1373798.0	1111738.0	1215105.0	1027025.0	1078893.0	1192950.0	1218099.0	975053.0	1457371.0	1383361.0	1830581.0	1331030.0	1033669.0	1261219.0	1286689.0	1308950.0	1387097.0	1138608.0	1091214.0	839101.0
QinJ_2012__T2D-048__bin.26	1300611.0	1510205.0	1516380.0	1130676.0	1678999.0	1592184.0	1019365.0	688204.0	1134147.0	1519123.0	1434012.0	1082618.0	1456257.0	1553694.0	1282137.0	1400683.0	1099586.0	1179735.0	1332347.0	1408868.0	1082775.0	1636994.0	1543058.0	1331030.0	1842298.0	1095703.0	1388482.0	1433324.0	1504519.0	1565755.0	1282835.0	1188634.0	962943.0
LiuW_2016__SRR3993026__bin.33	952034.0	1182637.0	1129031.0	866352.0	1196758.0	1148957.0	624571.0	441665.0	957407.0	1129574.0	1064270.0	901700.0	1081158.0	1168303.0	979542.0	1063731.0	959049.0	1009505.0	1055844.0	1014230.0	849491.0	1197007.0	1145235.0	1033669.0	1095703.0	1327517.0	1093011.0	1149395.0	1140679.0	1186220.0	1015037.0	994224.0	737120.0
WenC_2017__RA051__bin.40	1193405.0	1454902.0	1411668.0	1070756.0	1489492.0	1463887.0	852242.0	601478.0	1121212.0	1420188.0	1327604.0	1082428.0	1369824.0	1466061.0	1200466.0	1312358.0	1113844.0	1177065.0	1290336.0	1294935.0	1035549.0	1534767.0	1462796.0	1261219.0	1388482.0	1093011.0	1685902.0	1403654.0	1393151.0	1485869.0	1222488.0	1189468.0	927198.0
LiJ_2017__H2F514923__bin.31	1239310.0	1510849.0	1453963.0	1105587.0	1531383.0	1500000.0	880051.0	601523.0	1154343.0	1465232.0	1354120.0	1103456.0	1384431.0	1539301.0	1227469.0	1340928.0	1186468.0	1217747.0	1327629.0	1316150.0	1071149.0	1569873.0	1480486.0	1286689.0	1433324.0	1149395.0	1403654.0	1726845.0	1430996.0	1561181.0	1250533.0	1220804.0	953020.0
ChengpingW_2017__AS42raw__bin.92	1275326.0	1495274.0	1493772.0	1102741.0	1630496.0	1580561.0	978796.0	692411.0	1148123.0	1492539.0	1421450.0	1102594.0	1477547.0	1543186.0	1263604.0	1406819.0	1132158.0	1188490.0	1368135.0	1362043.0	1093142.0	1626057.0	1511281.0	1308950.0	1504519.0	1140679.0	1393151.0	1430996.0	2123983.0	1549802.0	1285319.0	1208891.0	925047.0
WenC_2017__N274__bin.13	1308417.0	1589416.0	1559875.0	1188993.0	1675460.0	1649254.0	999476.0	723416.0	1216193.0	1588078.0	1450074.0	1173330.0	1479458.0	1620344.0	1304534.0	1438434.0	1223103.0	1252157.0	1389342.0	1419026.0	1136218.0	1747163.0	1592953.0	1387097.0	1565755.0	1186220.0	1485869.0	1561181.0	1549802.0	2004142.0	1344981.0	1270711.0	1017498.0
ChengpingW_2017__AS68raw__bin.70	1092219.0	1342199.0	1301821.0	988788.0	1372112.0	1345531.0	806342.0	535632.0	1065693.0	1311247.0	1221923.0	971784.0	1251743.0	1323972.0	1132596.0	1209989.0	981206.0	1062351.0	1186402.0	1201321.0	954403.0	1413518.0	1300894.0	1138608.0	1282835.0	1015037.0	1222488.0	1250533.0	1285319.0	1344981.0	1721941.0	1092949.0	837514.0
LiJ_2017__H2M411920__bin.37	1060910.0	1285269.0	1244541.0	937553.0	1292813.0	1268476.0	703095.0	468468.0	1024978.0	1247547.0	1149422.0	980438.0	1197768.0	1268111.0	1051877.0	1168784.0	1000572.0	1060764.0	1159681.0	1120690.0	927050.0	1299125.0	1256053.0	1091214.0	1188634.0	994224.0	1189468.0	1220804.0	1208891.0	1270711.0	1092949.0	1458101.0	820024.0
WenC_2017__RA070__bin.9	799431.0	981416.0	935782.0	718277.0	1031255.0	973113.0	501775.0	8734.0	788788.0	973199.0	877381.0	715365.0	920932.0	1016483.0	831921.0	915767.0	767370.0	824654.0	841547.0	889503.0	703202.0	1041332.0	965855.0	839101.0	962943.0	737120.0	927198.0	953020.0	925047.0	1017498.0	837514.0	820024.0	1098884.0
