	CM_madagascar__A09_02_1FE__bin.29	VatanenT_2016__G80310__bin.4	QinN_2014__LD-33__bin.41	VatanenT_2016__G78766__bin.2	GeversD_2014__SKBSTL023__bin.4	LoombaR_2017__SID1050_bax__bin.8	BackhedF_2015__SID608_B__bin.7	VincentC_2016__MM098.1__bin.2	VincentC_2016__MM019.2__bin.8	HeQ_2017__RSZAXPI003095-129__bin.6	QinN_2014__LD-5__bin.1	VatanenT_2016__G80539__bin.15	WenC_2017__RA039__bin.8	QinN_2014__LD-45__bin.19	VatanenT_2016__G78542__bin.1	QinN_2014__LD-85__bin.11	HeQ_2017__SZAXPI029473-40__bin.23	BackhedF_2015__SID103_B__bin.7	LoombaR_2017__SID5630_kod__bin.18	XieH_2016__YSZC12003_37270__bin.57	BackhedF_2015__SID12_B__bin.5	QinN_2014__LD-64__bin.31	BackhedF_2015__SID241_4M__bin.11	VincentC_2016__MM058.1__bin.43	VatanenT_2016__G78589__bin.3	QinN_2014__LD-91__bin.15	QinN_2014__LD-44__bin.14	LiuW_2016__SRR3993058__bin.16	LiJ_2014__V1.CD7-0-PN__bin.21	BackhedF_2015__SID582_4M__bin.1	WenC_2017__N227__bin.3	QinN_2014__LD-61__bin.27	VatanenT_2016__G78904__bin.6	BackhedF_2015__SID536_4M__bin.1	VatanenT_2016__G69157__bin.8	BackhedF_2015__SID532_4M__bin.3	LoombaR_2017__SID0017_mqf__bin.5	FerrettiP_2018__CA_C10034IS2595FE_t4M15__bin.6	NielsenHB_2014__V1_UC14_1__bin.19	QinN_2014__LD-38__bin.43	BackhedF_2015__SID577_4M__bin.10	BackhedF_2015__SID12_4M__bin.1	CM_periimplantitis__SP_123SPT_T016__bin.1	BackhedF_2015__SID546_4M__bin.20
QinN_2014__LD-5__bin.1	1849065.0	1865548.0	2146127.0	1744867.0	1873572.0	1992569.0	1493894.0	1828354.0	1962128.0	2089188.0	2200095.0	2072916.0	1449190.0	975994.0	1790524.0	2026596.0	1970864.0	1685691.0	1928812.0	1452347.0	2011132.0	1951387.0	2007556.0	2018148.0	2050726.0	1611556.0	1920606.0	1958873.0	2110777.0	1944451.0	2048906.0	2137140.0	1232254.0	1855584.0	1693358.0	1616486.0	2099532.0	2109159.0	1526063.0	2025149.0	1770407.0	1562832.0	1977973.0	1853610.0
VatanenT_2016__G80539__bin.15	1948471.0	1876502.0	2167617.0	1814109.0	1946705.0	2057473.0	1594224.0	1850233.0	2022673.0	2132426.0	2072916.0	2455793.0	1465555.0	1007933.0	1812619.0	2083883.0	2108062.0	1758358.0	1966506.0	1461616.0	2108512.0	2037617.0	2062093.0	2101794.0	2106664.0	1602224.0	1922129.0	2003999.0	2209000.0	2009965.0	2154762.0	2169593.0	1246105.0	1972890.0	1728393.0	1623625.0	2133885.0	2199340.0	1664175.0	2089971.0	1855070.0	1667499.0	2060215.0	1898825.0
WenC_2017__RA039__bin.8	1339838.0	1367828.0	1491341.0	1276851.0	1334601.0	1436866.0	1006446.0	1313600.0	1420059.0	1482688.0	1449190.0	1465555.0	1531545.0	623459.0	1316323.0	1451179.0	1421999.0	1217330.0	1371698.0	1084277.0	1428007.0	1398519.0	1427407.0	1454951.0	1464893.0	1160362.0	1355614.0	1414788.0	1492623.0	1387800.0	1452325.0	1467621.0	892860.0	1356823.0	1243363.0	1198052.0	1474250.0	1489346.0	1116542.0	1463564.0	1260200.0	1087744.0	1397762.0	1358837.0
QinN_2014__LD-45__bin.19	927642.0	884557.0	1056725.0	915417.0	851953.0	951214.0	999285.0	864926.0	947258.0	1030164.0	975994.0	1007933.0	623459.0	1102830.0	877915.0	1033063.0	934473.0	927371.0	897321.0	636835.0	985337.0	882384.0	1065267.0	978936.0	982379.0	685842.0	876346.0	943887.0	1044037.0	971463.0	986266.0	1012779.0	569175.0	902235.0	825415.0	808964.0	1019739.0	1038352.0	479012.0	971132.0	1039957.0	998107.0	947431.0	920558.0
VatanenT_2016__G78542__bin.1	1629545.0	1708728.0	1843642.0	1566661.0	1635979.0	1762998.0	1333385.0	1651164.0	1769302.0	1823526.0	1790524.0	1812619.0	1316323.0	877915.0	1986088.0	1799739.0	1759136.0	1502667.0	1691995.0	1307735.0	1767926.0	1728767.0	1776128.0	1772098.0	1836705.0	1384884.0	1685769.0	1741885.0	1856083.0	1722459.0	1801572.0	1810236.0	1136715.0	1673046.0	1532234.0	1479324.0	1839013.0	1852909.0	1348958.0	1799111.0	1563723.0	1368378.0	1750072.0	1660565.0
QinN_2014__LD-85__bin.11	1846878.0	1898721.0	2102109.0	1783653.0	1919255.0	2089281.0	1553967.0	1839910.0	2046579.0	2153011.0	2026596.0	2083883.0	1451179.0	1033063.0	1799739.0	2290426.0	2005783.0	1750324.0	1880056.0	1481082.0	2031516.0	1982217.0	2030881.0	2032100.0	2069834.0	1593835.0	1928473.0	1950837.0	2231554.0	1957782.0	2089508.0	2092326.0	1237749.0	1899428.0	1718434.0	1632956.0	2180569.0	2210965.0	1480531.0	2035615.0	1837449.0	1611608.0	1984372.0	1904700.0
HeQ_2017__SZAXPI029473-40__bin.23	1903279.0	1854449.0	2079018.0	1783877.0	1883061.0	1979366.0	1501128.0	1808206.0	1981603.0	2057838.0	1970864.0	2108062.0	1421999.0	934473.0	1759136.0	2005783.0	2353902.0	1724836.0	1874107.0	1414438.0	2154536.0	2055686.0	2009127.0	2089879.0	2034265.0	1529825.0	1834325.0	1933815.0	2112470.0	2027784.0	2110312.0	2013359.0	1245025.0	1900780.0	1688103.0	1607382.0	2069922.0	2106084.0	1582316.0	1985370.0	1805306.0	1601368.0	2006004.0	1866342.0
BackhedF_2015__SID103_B__bin.7	1576222.0	1564006.0	1749852.0	1636898.0	1557058.0	1678683.0	1346654.0	1569752.0	1650594.0	1719070.0	1685691.0	1758358.0	1217330.0	927371.0	1502667.0	1750324.0	1724836.0	1822577.0	1592281.0	1235332.0	1700610.0	1637592.0	1747832.0	1729215.0	1730621.0	1319607.0	1557677.0	1671797.0	1768789.0	1710360.0	1726930.0	1752250.0	1027947.0	1578168.0	1418511.0	1402504.0	1741893.0	1764870.0	1188726.0	1684450.0	1656422.0	1501718.0	1673883.0	1572205.0
LoombaR_2017__SID5630_kod__bin.18	1731020.0	1758473.0	1996186.0	1640119.0	1725537.0	1850961.0	1363403.0	1722174.0	1835825.0	1951105.0	1928812.0	1966506.0	1371698.0	897321.0	1691995.0	1880056.0	1874107.0	1592281.0	2343671.0	1382674.0	1890355.0	1877466.0	1878702.0	1883878.0	1917953.0	1485866.0	1798791.0	1847304.0	1964237.0	1867778.0	1935223.0	1994466.0	1170036.0	1789302.0	1598804.0	1532470.0	1950592.0	1960257.0	1460508.0	1992710.0	1639070.0	1440540.0	1917144.0	1742653.0
XieH_2016__YSZC12003_37270__bin.57	1272501.0	1413729.0	1520915.0	1346159.0	1424625.0	1495493.0	1119197.0	1388321.0	1531693.0	1627449.0	1452347.0	1461616.0	1084277.0	636835.0	1307735.0	1481082.0	1414438.0	1235332.0	1382674.0	1662240.0	1464561.0	1418378.0	1479436.0	1486271.0	1502337.0	1159088.0	1432339.0	1366685.0	1662787.0	1411370.0	1434332.0	1491360.0	888540.0	1383296.0	1243771.0	1191982.0	1580044.0	1693476.0	1272937.0	1499813.0	1354566.0	1151277.0	1394157.0	1403454.0
BackhedF_2015__SID12_B__bin.5	1868279.0	1876670.0	2110298.0	1776278.0	1879802.0	2016226.0	1533855.0	1816196.0	2009602.0	2118655.0	2011132.0	2108512.0	1428007.0	985337.0	1767926.0	2031516.0	2154536.0	1700610.0	1890355.0	1464561.0	2341354.0	2007666.0	2046860.0	2168715.0	2051518.0	1568195.0	1863941.0	1937655.0	2156481.0	1958089.0	2055645.0	2060230.0	1258161.0	1917159.0	1707783.0	1616850.0	2122938.0	2153422.0	1527672.0	2013388.0	1863503.0	1643573.0	1993466.0	1902779.0
QinN_2014__LD-64__bin.31	1869867.0	1819757.0	2028461.0	1709393.0	1831138.0	1930643.0	1453128.0	1770395.0	1919592.0	1994316.0	1951387.0	2037617.0	1398519.0	882384.0	1728767.0	1982217.0	2055686.0	1637592.0	1877466.0	1418378.0	2007666.0	2365239.0	1931646.0	1975121.0	1993115.0	1504154.0	1823886.0	1890105.0	2037821.0	1938798.0	2098166.0	1984874.0	1240118.0	1826676.0	1660127.0	1585190.0	2033923.0	2033487.0	1553088.0	1987810.0	1701522.0	1499187.0	1944130.0	1830416.0
BackhedF_2015__SID241_4M__bin.11	1840185.0	1861231.0	2136310.0	1786560.0	1833856.0	1971503.0	1593570.0	1829034.0	1943073.0	2092277.0	2007556.0	2062093.0	1427407.0	1065267.0	1776128.0	2030881.0	2009127.0	1747832.0	1878702.0	1479436.0	2046860.0	1931646.0	2310124.0	2030746.0	2051928.0	1548767.0	1878325.0	1937312.0	2112016.0	1955449.0	2060914.0	2089749.0	1253837.0	1856612.0	1683101.0	1604574.0	2063195.0	2104150.0	1469020.0	1993211.0	1883103.0	1658719.0	1969746.0	1835311.0
VincentC_2016__MM058.1__bin.43	1875653.0	1873105.0	2096150.0	1804620.0	1875276.0	2036952.0	1543092.0	1838931.0	2022589.0	2103663.0	2018148.0	2101794.0	1454951.0	978936.0	1772098.0	2032100.0	2089879.0	1729215.0	1883878.0	1486271.0	2168715.0	1975121.0	2030746.0	2302634.0	2047208.0	1584569.0	1864741.0	1946449.0	2160511.0	1966973.0	2048327.0	2061029.0	1246903.0	1921942.0	1713806.0	1633036.0	2125647.0	2157442.0	1526804.0	2021389.0	1876347.0	1687280.0	2009410.0	1913128.0
VatanenT_2016__G78589__bin.3	1860170.0	1955225.0	2121385.0	1768090.0	1886135.0	2027745.0	1527229.0	1902852.0	1999376.0	2108598.0	2050726.0	2106664.0	1464893.0	982379.0	1836705.0	2069834.0	2034265.0	1730621.0	1917953.0	1502337.0	2051518.0	1993115.0	2051928.0	2047208.0	2254602.0	1604934.0	1927271.0	1959445.0	2141866.0	1986380.0	2087096.0	2109357.0	1305709.0	1910608.0	1754521.0	1668097.0	2123118.0	2138887.0	1545912.0	2060171.0	1801923.0	1576129.0	2006466.0	1882356.0
QinN_2014__LD-91__bin.15	1413227.0	1464614.0	1660366.0	1352445.0	1469237.0	1566523.0	1104699.0	1424667.0	1547563.0	1629924.0	1611556.0	1602224.0	1160362.0	685842.0	1384884.0	1593835.0	1529825.0	1319607.0	1485866.0	1159088.0	1568195.0	1504154.0	1548767.0	1584569.0	1604934.0	1677811.0	1507735.0	1511694.0	1646238.0	1498702.0	1579690.0	1645212.0	982163.0	1465056.0	1326239.0	1262584.0	1626366.0	1645403.0	1235510.0	1578879.0	1356450.0	1183262.0	1521229.0	1477630.0
QinN_2014__LD-44__bin.14	1703917.0	1768064.0	1990695.0	1613632.0	1766326.0	1902911.0	1349026.0	1716337.0	1910925.0	2014549.0	1920606.0	1922129.0	1355614.0	876346.0	1685769.0	1928473.0	1834325.0	1557677.0	1798791.0	1432339.0	1863941.0	1823886.0	1878325.0	1864741.0	1927271.0	1507735.0	2156521.0	1794072.0	2045495.0	1801374.0	1934839.0	1981525.0	1182875.0	1766036.0	1586344.0	1532011.0	1995841.0	2054764.0	1443625.0	1894258.0	1619284.0	1414242.0	1858663.0	1770463.0
LiuW_2016__SRR3993058__bin.16	1823244.0	1799976.0	2004470.0	1725804.0	1789541.0	1907730.0	1471643.0	1750950.0	1867594.0	1968641.0	1958873.0	2003999.0	1414788.0	943887.0	1741885.0	1950837.0	1933815.0	1671797.0	1847304.0	1366685.0	1937655.0	1890105.0	1937312.0	1946449.0	1959445.0	1511694.0	1794072.0	2157044.0	1995577.0	1908711.0	2011756.0	1981925.0	1183766.0	1788191.0	1643224.0	1562283.0	1978569.0	1991417.0	1453486.0	1951580.0	1722167.0	1540207.0	1986543.0	1768393.0
LiJ_2014__V1.CD7-0-PN__bin.21	1925218.0	1944961.0	2208544.0	1813905.0	2034609.0	2195338.0	1574489.0	1898294.0	2282832.0	2375422.0	2110777.0	2209000.0	1492623.0	1044037.0	1856083.0	2231554.0	2112470.0	1768789.0	1964237.0	1662787.0	2156481.0	2037821.0	2112016.0	2160511.0	2141866.0	1646238.0	2045495.0	1995577.0	2511841.0	2048477.0	2116282.0	2214883.0	1286280.0	2037563.0	1768516.0	1669060.0	2312388.0	2483916.0	1575686.0	2133607.0	1858598.0	1635560.0	2062333.0	2032185.0
BackhedF_2015__SID582_4M__bin.1	1801687.0	1800067.0	2040475.0	1730100.0	1813401.0	1913238.0	1481034.0	1773488.0	1887867.0	1984974.0	1944451.0	2009965.0	1387800.0	971463.0	1722459.0	1957782.0	2027784.0	1710360.0	1867778.0	1411370.0	1958089.0	1938798.0	1955449.0	1966973.0	1986380.0	1498702.0	1801374.0	1908711.0	2048477.0	2319762.0	2002511.0	2006267.0	1180932.0	1794371.0	1632109.0	1550924.0	2007660.0	2050150.0	1478288.0	2022738.0	1775250.0	1575512.0	1957712.0	1795670.0
WenC_2017__N227__bin.3	1956919.0	1894175.0	2165460.0	1785224.0	1902182.0	1993170.0	1540650.0	1847010.0	1973999.0	2071303.0	2048906.0	2154762.0	1452325.0	986266.0	1801572.0	2089508.0	2110312.0	1726930.0	1935223.0	1434332.0	2055645.0	2098166.0	2060914.0	2048327.0	2087096.0	1579690.0	1934839.0	2011756.0	2116282.0	2002511.0	2479437.0	2129962.0	1258306.0	1887968.0	1722285.0	1621572.0	2083269.0	2113500.0	1605950.0	2071523.0	1801820.0	1612802.0	2080248.0	1864289.0
QinN_2014__LD-61__bin.27	1871895.0	1886751.0	2270723.0	1780820.0	1897576.0	2024869.0	1538779.0	1849053.0	2029986.0	2150058.0	2137140.0	2169593.0	1467621.0	1012779.0	1810236.0	2092326.0	2013359.0	1752250.0	1994466.0	1491360.0	2060230.0	1984874.0	2089749.0	2061029.0	2109357.0	1645212.0	1981525.0	1981925.0	2214883.0	2006267.0	2129962.0	2452051.0	1251979.0	1909432.0	1713008.0	1625928.0	2134694.0	2208817.0	1537901.0	2074682.0	1811410.0	1596250.0	2032166.0	1864970.0
VatanenT_2016__G78904__bin.6	1155214.0	1216923.0	1309608.0	1047920.0	1138521.0	1232189.0	865982.0	1187802.0	1225942.0	1293997.0	1232254.0	1246105.0	892860.0	569175.0	1136715.0	1237749.0	1245025.0	1027947.0	1170036.0	888540.0	1258161.0	1240118.0	1253837.0	1246903.0	1305709.0	982163.0	1182875.0	1183766.0	1286280.0	1180932.0	1258306.0	1251979.0	1433353.0	1227668.0	1120446.0	1097022.0	1276015.0	1284717.0	961631.0	1232990.0	1066257.0	924509.0	1215889.0	1196648.0
BackhedF_2015__SID536_4M__bin.1	1756714.0	1740298.0	1963997.0	1606204.0	1759814.0	1905635.0	1362707.0	1732233.0	1941826.0	1987020.0	1855584.0	1972890.0	1356823.0	902235.0	1673046.0	1899428.0	1900780.0	1578168.0	1789302.0	1383296.0	1917159.0	1826676.0	1856612.0	1921942.0	1910608.0	1465056.0	1766036.0	1788191.0	2037563.0	1794371.0	1887968.0	1909432.0	1227668.0	2171833.0	1636841.0	1599329.0	1975440.0	2035509.0	1438057.0	1887013.0	1637427.0	1447373.0	1824190.0	1828972.0
VatanenT_2016__G69157__bin.8	1594583.0	1597381.0	1749232.0	1483085.0	1559496.0	1690621.0	1277914.0	1546910.0	1673873.0	1743324.0	1693358.0	1728393.0	1243363.0	825415.0	1532234.0	1718434.0	1688103.0	1418511.0	1598804.0	1243771.0	1707783.0	1660127.0	1683101.0	1713806.0	1754521.0	1326239.0	1586344.0	1643224.0	1768516.0	1632109.0	1722285.0	1713008.0	1120446.0	1636841.0	1864487.0	1433828.0	1758635.0	1761102.0	1283085.0	1701457.0	1489910.0	1300362.0	1681310.0	1607467.0
BackhedF_2015__SID532_4M__bin.3	1519740.0	1556454.0	1685500.0	1433652.0	1471597.0	1601826.0	1179416.0	1552820.0	1585871.0	1652285.0	1616486.0	1623625.0	1198052.0	808964.0	1479324.0	1632956.0	1607382.0	1402504.0	1532470.0	1191982.0	1616850.0	1585190.0	1604574.0	1633036.0	1668097.0	1262584.0	1532011.0	1562283.0	1669060.0	1550924.0	1621572.0	1625928.0	1097022.0	1599329.0	1433828.0	1758816.0	1665010.0	1666125.0	1204815.0	1624045.0	1452499.0	1269311.0	1575268.0	1558177.0
LoombaR_2017__SID0017_mqf__bin.5	1905412.0	1939453.0	2158142.0	1791304.0	2019431.0	2201008.0	1562246.0	1888595.0	2149870.0	2271713.0	2099532.0	2133885.0	1474250.0	1019739.0	1839013.0	2180569.0	2069922.0	1741893.0	1950592.0	1580044.0	2122938.0	2033923.0	2063195.0	2125647.0	2123118.0	1626366.0	1995841.0	1978569.0	2312388.0	2007660.0	2083269.0	2134694.0	1276015.0	1975440.0	1758635.0	1665010.0	2405902.0	2330408.0	1566150.0	2111305.0	1846952.0	1623902.0	2035519.0	1993130.0
FerrettiP_2018__CA_C10034IS2595FE_t4M15__bin.6	1909656.0	1942089.0	2204444.0	1811060.0	2033220.0	2205832.0	1571475.0	1895810.0	2292860.0	2341537.0	2109159.0	2199340.0	1489346.0	1038352.0	1852909.0	2210965.0	2106084.0	1764870.0	1960257.0	1693476.0	2153422.0	2033487.0	2104150.0	2157442.0	2138887.0	1645403.0	2054764.0	1991417.0	2483916.0	2050150.0	2113500.0	2208817.0	1284717.0	2035509.0	1761102.0	1666125.0	2330408.0	2517960.0	1567834.0	2135122.0	1855556.0	1631970.0	2054167.0	2028338.0
NielsenHB_2014__V1_UC14_1__bin.19	1425160.0	1445804.0	1586820.0	1302069.0	1470255.0	1520911.0	1003867.0	1421450.0	1465209.0	1569345.0	1526063.0	1664175.0	1116542.0	479012.0	1348958.0	1480531.0	1582316.0	1188726.0	1460508.0	1272937.0	1527672.0	1553088.0	1469020.0	1526804.0	1545912.0	1235510.0	1443625.0	1453486.0	1575686.0	1478288.0	1605950.0	1537901.0	961631.0	1438057.0	1283085.0	1204815.0	1566150.0	1567834.0	1832243.0	1570253.0	1241502.0	1057079.0	1494813.0	1394761.0
QinN_2014__LD-38__bin.43	1847153.0	1882039.0	2122570.0	1752466.0	1866752.0	2009822.0	1507929.0	1831544.0	1976175.0	2091426.0	2025149.0	2089971.0	1463564.0	971132.0	1799111.0	2035615.0	1985370.0	1684450.0	1992710.0	1499813.0	2013388.0	1987810.0	1993211.0	2021389.0	2060171.0	1578879.0	1894258.0	1951580.0	2133607.0	2022738.0	2071523.0	2074682.0	1232990.0	1887013.0	1701457.0	1624045.0	2111305.0	2135122.0	1570253.0	2365893.0	1766138.0	1551687.0	2004333.0	1864912.0
BackhedF_2015__SID577_4M__bin.10	1620452.0	1652736.0	1878996.0	1685569.0	1621768.0	1782016.0	1519720.0	1649639.0	1713464.0	1859929.0	1770407.0	1855070.0	1260200.0	1039957.0	1563723.0	1837449.0	1805306.0	1656422.0	1639070.0	1354566.0	1863503.0	1701522.0	1883103.0	1876347.0	1801923.0	1356450.0	1619284.0	1722167.0	1858598.0	1775250.0	1801820.0	1811410.0	1066257.0	1637427.0	1489910.0	1452499.0	1846952.0	1855556.0	1241502.0	1766138.0	1995950.0	1736365.0	1763880.0	1646943.0
BackhedF_2015__SID12_4M__bin.1	1441324.0	1440860.0	1659478.0	1505805.0	1429426.0	1553416.0	1475942.0	1444811.0	1501574.0	1634636.0	1562832.0	1667499.0	1087744.0	998107.0	1368378.0	1611608.0	1601368.0	1501718.0	1440540.0	1151277.0	1643573.0	1499187.0	1658719.0	1687280.0	1576129.0	1183262.0	1414242.0	1540207.0	1635560.0	1575512.0	1612802.0	1596250.0	924509.0	1447373.0	1300362.0	1269311.0	1623902.0	1631970.0	1057079.0	1551687.0	1736365.0	1816033.0	1611073.0	1443146.0
CM_periimplantitis__SP_123SPT_T016__bin.1	1839201.0	1805206.0	2039329.0	1729800.0	1809135.0	1952048.0	1545543.0	1783957.0	1903024.0	2020598.0	1977973.0	2060215.0	1397762.0	947431.0	1750072.0	1984372.0	2006004.0	1673883.0	1917144.0	1394157.0	1993466.0	1944130.0	1969746.0	2009410.0	2006466.0	1521229.0	1858663.0	1986543.0	2062333.0	1957712.0	2080248.0	2032166.0	1215889.0	1824190.0	1681310.0	1575268.0	2035519.0	2054167.0	1494813.0	2004333.0	1763880.0	1611073.0	2382661.0	1801028.0
