	BritoIL_2016__M1.57.ST__bin.49	CosteaPI_2017__SID713B002-11-90-0__bin.69	ZeeviD_2015__PNP_Main_415__bin.61	CosteaPI_2017__SID713A066-11-90-0__bin.37	CosteaPI_2017__SID713A078-11-0-0__bin.28	CosteaPI_2017__SID713B065-11-0-0__bin.55	CosteaPI_2017__SID713A066-11-0-0__bin.48	CM_madagascar__A46_01_1FE__bin.15	ZeeviD_2015__PNP_Main_51__bin.51	CosteaPI_2017__SID713B032-11-0-0__bin.37	Obregon-TitoAJ_2015__SM30__bin.13	CM_madagascar__A81_01_1FE__bin.24	CosteaPI_2017__SID713B042-11-0-0__bin.44	ZeeviD_2015__PNP_Main_587__bin.27	LiuW_2016__SRR3992983__bin.11	CosteaPI_2017__SID713A078-11-90-0__bin.4	CosteaPI_2017__SID713A073-11-90-0__bin.42	ZellerG_2014__CCIS74726977ST-3-0__bin.59	LiuW_2016__SRR3993058__bin.63	CosteaPI_2017__SID713A049-11-90-0__bin.34	CosteaPI_2017__SID713A073-11-0-0__bin.42	CosteaPI_2017__SID713B043-11-0-0__bin.37	ZeeviD_2015__PNP_Main_73__bin.17	HMP_2012__SRS017307__bin.40	CosteaPI_2017__SID713B042-11-90-0__bin.30	CosteaPI_2017__SID713B046-11-0-0__bin.20	CosteaPI_2017__SID713B037-11-90-0__bin.28	CM_madagascar__A62_01_1FE__bin.52	CosteaPI_2017__SID713B046-11-90-0__bin.62	LiuW_2016__SRR3993059__bin.71	RampelliS_2015__H9__bin.15	ZeeviD_2015__PNP_Main_293__bin.8	BritoIL_2016__M1.65.ST__bin.15	RampelliS_2015__H6__bin.15	ZeeviD_2015__PNP_Main_374__bin.24	CosteaPI_2017__SID713B032-11-90-0__bin.28	SchirmerM_2016__G88821__bin.15	HMP_2012__SRS049959__bin.25	CosteaPI_2017__SID713B065-11-90-0__bin.33	CosteaPI_2017__SID713B043-11-90-0__bin.27	CosteaPI_2017__SID713A049-11-0-0__bin.64
Obregon-TitoAJ_2015__SM30__bin.13	1940888.0	1524993.0	2084824.0	1702827.0	1947969.0	2050170.0	2141758.0	2004048.0	2020172.0	2124831.0	2340488.0	2032642.0	2118801.0	1735404.0	1520256.0	2060000.0	2032476.0	2128988.0	1882482.0	2011863.0	2063569.0	1944993.0	2013591.0	2115454.0	2135553.0	2142292.0	2074389.0	1611022.0	2113190.0	2076329.0	1897613.0	2104623.0	2022696.0	1847843.0	2079413.0	2111878.0	1667404.0	2033276.0	1784988.0	2116383.0	2057674.0
CM_madagascar__A81_01_1FE__bin.24	1988537.0	1515910.0	2107954.0	1705917.0	1938278.0	2060624.0	2182926.0	2012839.0	2045398.0	2141288.0	2032642.0	2337505.0	2147075.0	1713104.0	1512345.0	2077758.0	2064241.0	2148431.0	1894100.0	2041677.0	2079971.0	1959389.0	2034336.0	2123313.0	2163078.0	2142998.0	2072239.0	1597639.0	2124587.0	2082720.0	1921169.0	2130202.0	2019083.0	1836866.0	2091133.0	2120046.0	1664823.0	2040094.0	1764290.0	2130702.0	2090492.0
CosteaPI_2017__SID713B042-11-0-0__bin.44	2089253.0	1599758.0	2255298.0	1802965.0	2067697.0	2150370.0	2364244.0	2110466.0	2171336.0	2377484.0	2118801.0	2147075.0	2539867.0	1805188.0	1582394.0	2217745.0	2294101.0	2281339.0	1986596.0	2260095.0	2282127.0	2150211.0	2123239.0	2268978.0	2466373.0	2311648.0	2236056.0	1672171.0	2256960.0	2210680.0	2038329.0	2273754.0	2170559.0	1950287.0	2244893.0	2361866.0	1749293.0	2155565.0	1855555.0	2468871.0	2373740.0
ZeeviD_2015__PNP_Main_587__bin.27	1640509.0	1310707.0	1777490.0	1448452.0	1653951.0	1740116.0	1808611.0	1657820.0	1740705.0	1789385.0	1735404.0	1713104.0	1805188.0	1910689.0	1335531.0	1735134.0	1736334.0	1791337.0	1646603.0	1699257.0	1771613.0	1672370.0	1713322.0	1764134.0	1815117.0	1787612.0	1734606.0	1372820.0	1783334.0	1826103.0	1620136.0	1775913.0	1681224.0	1565520.0	1747695.0	1777807.0	1436677.0	1717387.0	1523604.0	1798414.0	1767029.0
LiuW_2016__SRR3992983__bin.11	1436779.0	1292023.0	1560449.0	1365817.0	1537444.0	1572718.0	1585585.0	1471828.0	1518514.0	1568647.0	1520256.0	1512345.0	1582394.0	1335531.0	1667714.0	1540372.0	1526370.0	1564301.0	1504552.0	1502619.0	1573266.0	1519443.0	1500250.0	1555912.0	1593174.0	1602989.0	1548877.0	1240817.0	1573048.0	1612907.0	1466955.0	1580636.0	1489816.0	1420171.0	1550714.0	1552065.0	1295014.0	1508734.0	1463640.0	1571218.0	1537813.0
CosteaPI_2017__SID713A078-11-90-0__bin.4	1980988.0	1564678.0	2168421.0	1727810.0	2042698.0	2088535.0	2242015.0	2028136.0	2095168.0	2207453.0	2060000.0	2077758.0	2217745.0	1735134.0	1540372.0	2482885.0	2109124.0	2184512.0	1897294.0	2065033.0	2128249.0	2011366.0	2066550.0	2188092.0	2234111.0	2234925.0	2124353.0	1637516.0	2187141.0	2095315.0	1945574.0	2167355.0	2067761.0	1894198.0	2165130.0	2200977.0	1696686.0	2067655.0	1792781.0	2204556.0	2145453.0
CosteaPI_2017__SID713A073-11-90-0__bin.42	2018713.0	1582385.0	2199553.0	1778096.0	1992185.0	2073318.0	2273871.0	2033032.0	2080062.0	2323468.0	2032476.0	2064241.0	2294101.0	1736334.0	1526370.0	2109124.0	2406575.0	2178159.0	1920542.0	2183479.0	2243824.0	2048735.0	2043854.0	2166939.0	2289939.0	2213240.0	2172107.0	1607192.0	2189365.0	2147074.0	1979999.0	2184331.0	2080268.0	1878223.0	2198001.0	2303668.0	1697547.0	2063960.0	1799091.0	2295290.0	2314346.0
ZellerG_2014__CCIS74726977ST-3-0__bin.59	2042538.0	1579606.0	2265493.0	1773614.0	2037406.0	2175203.0	2330832.0	2094791.0	2180141.0	2291358.0	2128988.0	2148431.0	2281339.0	1791337.0	1564301.0	2184512.0	2178159.0	2700211.0	1962342.0	2158851.0	2193505.0	2044700.0	2120415.0	2282956.0	2297156.0	2305531.0	2207035.0	1646873.0	2259864.0	2193509.0	2018424.0	2272572.0	2132323.0	1922533.0	2244661.0	2278416.0	1737734.0	2150201.0	1863191.0	2280723.0	2223448.0
LiuW_2016__SRR3993058__bin.63	1876105.0	1465485.0	1929176.0	1657392.0	1832067.0	1928405.0	1991219.0	1892240.0	1930275.0	1976188.0	1882482.0	1894100.0	1986596.0	1646603.0	1504552.0	1897294.0	1920542.0	1962342.0	2112126.0	1958553.0	1940699.0	1868012.0	1883068.0	1962772.0	1992308.0	1990885.0	1918120.0	1511601.0	1974823.0	2036844.0	1781812.0	1926300.0	1902035.0	1734401.0	1936580.0	1965868.0	1564215.0	1898711.0	1683629.0	1997989.0	1944878.0
CosteaPI_2017__SID713A049-11-90-0__bin.34	2061865.0	1510906.0	2119400.0	1728388.0	1946951.0	2049931.0	2229474.0	2094699.0	2051760.0	2235888.0	2011863.0	2041677.0	2260095.0	1699257.0	1502619.0	2065033.0	2183479.0	2158851.0	1958553.0	2363606.0	2164638.0	2028674.0	2044022.0	2163659.0	2284029.0	2171021.0	2107963.0	1595980.0	2135724.0	2090697.0	1927195.0	2129552.0	2101606.0	1835701.0	2119865.0	2223268.0	1653344.0	2078290.0	1754188.0	2292223.0	2270786.0
CosteaPI_2017__SID713A073-11-0-0__bin.42	2019950.0	1622099.0	2193851.0	1767702.0	2057162.0	2123519.0	2244328.0	2049046.0	2085292.0	2269319.0	2063569.0	2079971.0	2282127.0	1771613.0	1573266.0	2128249.0	2243824.0	2193505.0	1940699.0	2164638.0	2377626.0	2074964.0	2065074.0	2179216.0	2315804.0	2228469.0	2160262.0	1624936.0	2191961.0	2151072.0	2005232.0	2211435.0	2093907.0	1918972.0	2188188.0	2268267.0	1728815.0	2096100.0	1853137.0	2263232.0	2263574.0
CosteaPI_2017__SID713B043-11-0-0__bin.37	1917043.0	1555404.0	2026532.0	1722587.0	1946706.0	2006680.0	2095139.0	1935015.0	1948129.0	2095885.0	1944993.0	1959389.0	2150211.0	1672370.0	1519443.0	2011366.0	2048735.0	2044700.0	1868012.0	2028674.0	2074964.0	2206578.0	1947000.0	2023263.0	2167913.0	2069353.0	1991136.0	1563697.0	2038877.0	2006376.0	1876917.0	2040751.0	1964635.0	1825304.0	2022783.0	2087307.0	1642423.0	1974464.0	1771241.0	2148847.0	2078099.0
ZeeviD_2015__PNP_Main_73__bin.17	1946390.0	1490582.0	2089396.0	1675460.0	1933042.0	2020776.0	2148895.0	2001042.0	2121302.0	2107419.0	2013591.0	2034336.0	2123239.0	1713322.0	1500250.0	2066550.0	2043854.0	2120415.0	1883068.0	2044022.0	2065074.0	1947000.0	2335699.0	2113048.0	2137900.0	2137534.0	2053967.0	1605630.0	2100270.0	2062088.0	1907522.0	2094672.0	2020447.0	1818200.0	2183731.0	2085267.0	1668453.0	2023316.0	1732559.0	2112491.0	2077751.0
HMP_2012__SRS017307__bin.40	2038150.0	1567441.0	2235111.0	1775339.0	2025307.0	2124940.0	2316498.0	2124156.0	2146612.0	2262286.0	2115454.0	2123313.0	2268978.0	1764134.0	1555912.0	2188092.0	2166939.0	2282956.0	1962772.0	2163659.0	2179216.0	2023263.0	2113048.0	2634880.0	2273934.0	2279408.0	2192258.0	1661599.0	2245780.0	2173611.0	1990682.0	2345323.0	2129909.0	1903057.0	2201932.0	2269113.0	1740227.0	2170144.0	1827234.0	2261261.0	2217384.0
CosteaPI_2017__SID713B042-11-90-0__bin.30	2102954.0	1617208.0	2278854.0	1804575.0	2093047.0	2173833.0	2359183.0	2134024.0	2182905.0	2383301.0	2135553.0	2163078.0	2466373.0	1815117.0	1593174.0	2234111.0	2289939.0	2297156.0	1992308.0	2284029.0	2315804.0	2167913.0	2137900.0	2273934.0	2549291.0	2314865.0	2248645.0	1677512.0	2279652.0	2220452.0	2063880.0	2299604.0	2187350.0	1973617.0	2257968.0	2368028.0	1765048.0	2178116.0	1872559.0	2462514.0	2382715.0
CosteaPI_2017__SID713B046-11-0-0__bin.20	2069379.0	1615856.0	2316173.0	1806716.0	2069724.0	2155905.0	2336699.0	2119002.0	2203531.0	2321779.0	2142292.0	2142998.0	2311648.0	1787612.0	1602989.0	2234925.0	2213240.0	2305531.0	1990885.0	2171021.0	2228469.0	2069353.0	2137534.0	2279408.0	2314865.0	2764898.0	2412148.0	1663640.0	2432782.0	2235696.0	2035819.0	2317387.0	2152104.0	1959407.0	2263993.0	2312534.0	1752103.0	2158521.0	1852183.0	2316125.0	2244547.0
CosteaPI_2017__SID713B037-11-90-0__bin.28	2001560.0	1568010.0	2281300.0	1736411.0	2008418.0	2086629.0	2269372.0	2043027.0	2112072.0	2271567.0	2074389.0	2072239.0	2236056.0	1734606.0	1548877.0	2124353.0	2172107.0	2207035.0	1918120.0	2107963.0	2160262.0	1991136.0	2053967.0	2192258.0	2248645.0	2412148.0	2540962.0	1617387.0	2309090.0	2178078.0	1971916.0	2247389.0	2110000.0	1893172.0	2203672.0	2230504.0	1719795.0	2080858.0	1797500.0	2234938.0	2195241.0
CM_madagascar__A62_01_1FE__bin.52	1552685.0	1217528.0	1638665.0	1342449.0	1567559.0	1612202.0	1675740.0	1590667.0	1591390.0	1660654.0	1611022.0	1597639.0	1672171.0	1372820.0	1240817.0	1637516.0	1607192.0	1646873.0	1511601.0	1595980.0	1624936.0	1563697.0	1605630.0	1661599.0	1677512.0	1663640.0	1617387.0	1797823.0	1656597.0	1631157.0	1550282.0	1647682.0	1614894.0	1490407.0	1640985.0	1670920.0	1377383.0	1591501.0	1410825.0	1666583.0	1621601.0
CosteaPI_2017__SID713B046-11-90-0__bin.62	2039246.0	1591646.0	2244798.0	1786391.0	2032538.0	2135183.0	2306938.0	2076992.0	2166728.0	2298620.0	2113190.0	2124587.0	2256960.0	1783334.0	1573048.0	2187141.0	2189365.0	2259864.0	1974823.0	2135724.0	2191961.0	2038877.0	2100270.0	2245780.0	2279652.0	2432782.0	2309090.0	1656597.0	2536034.0	2213627.0	2008325.0	2235384.0	2100958.0	1935789.0	2232266.0	2264301.0	1745575.0	2132607.0	1841067.0	2268049.0	2207589.0
LiuW_2016__SRR3993059__bin.71	2007922.0	1550440.0	2209144.0	1734010.0	1980106.0	2098331.0	2231040.0	2030924.0	2126366.0	2211033.0	2076329.0	2082720.0	2210680.0	1826103.0	1612907.0	2095315.0	2147074.0	2193509.0	2036844.0	2090697.0	2151072.0	2006376.0	2062088.0	2173611.0	2220452.0	2235696.0	2178078.0	1631157.0	2213627.0	2430516.0	1954047.0	2194776.0	2074816.0	1880059.0	2168567.0	2179224.0	1724900.0	2110880.0	1809428.0	2203225.0	2157241.0
RampelliS_2015__H9__bin.15	1838743.0	1494813.0	2022130.0	1629548.0	1874115.0	1915585.0	2033995.0	1900658.0	1912907.0	2039935.0	1897613.0	1921169.0	2038329.0	1620136.0	1466955.0	1945574.0	1979999.0	2018424.0	1781812.0	1927195.0	2005232.0	1876917.0	1907522.0	1990682.0	2063880.0	2035819.0	1971916.0	1550282.0	2008325.0	1954047.0	2314055.0	2002629.0	1922604.0	1835196.0	1996530.0	2031068.0	1583800.0	1916166.0	1698958.0	2023582.0	1998424.0
ZeeviD_2015__PNP_Main_293__bin.8	2073924.0	1594641.0	2294901.0	1766463.0	2037862.0	2138746.0	2289465.0	2111480.0	2145901.0	2277371.0	2104623.0	2130202.0	2273754.0	1775913.0	1580636.0	2167355.0	2184331.0	2272572.0	1926300.0	2129552.0	2211435.0	2040751.0	2094672.0	2345323.0	2299604.0	2317387.0	2247389.0	1647682.0	2235384.0	2194776.0	2002629.0	2604883.0	2097649.0	1936605.0	2220037.0	2205118.0	1761018.0	2169660.0	1834477.0	2264477.0	2221817.0
BritoIL_2016__M1.65.ST__bin.15	2055152.0	1502706.0	2143249.0	1681800.0	1960784.0	2037707.0	2164293.0	2115784.0	2018075.0	2168742.0	2022696.0	2019083.0	2170559.0	1681224.0	1489816.0	2067761.0	2080268.0	2132323.0	1902035.0	2101606.0	2093907.0	1964635.0	2020447.0	2129909.0	2187350.0	2152104.0	2110000.0	1614894.0	2100958.0	2074816.0	1922604.0	2097649.0	2386644.0	1871655.0	2133003.0	2142798.0	1664285.0	2050540.0	1730001.0	2156461.0	2132548.0
RampelliS_2015__H6__bin.15	1789246.0	1471019.0	1925167.0	1612058.0	1822782.0	1869265.0	1961506.0	1860685.0	1849475.0	1952180.0	1847843.0	1836866.0	1950287.0	1565520.0	1420171.0	1894198.0	1878223.0	1922533.0	1734401.0	1835701.0	1918972.0	1825304.0	1818200.0	1903057.0	1973617.0	1959407.0	1893172.0	1490407.0	1935789.0	1880059.0	1835196.0	1936605.0	1871655.0	2271567.0	1906008.0	1945167.0	1540157.0	1831002.0	1649745.0	1938120.0	1888393.0
ZeeviD_2015__PNP_Main_374__bin.24	2035283.0	1567774.0	2227907.0	1759935.0	2005815.0	2093064.0	2266751.0	2073876.0	2214401.0	2276396.0	2079413.0	2091133.0	2244893.0	1747695.0	1550714.0	2165130.0	2198001.0	2244661.0	1936580.0	2119865.0	2188188.0	2022783.0	2183731.0	2201932.0	2257968.0	2263993.0	2203672.0	1640985.0	2232266.0	2168567.0	1996530.0	2220037.0	2133003.0	1906008.0	2561736.0	2224604.0	1726292.0	2093744.0	1790333.0	2243474.0	2202655.0
CosteaPI_2017__SID713B032-11-90-0__bin.28	2076739.0	1621918.0	2237438.0	1822131.0	2059571.0	2142748.0	2360032.0	2065156.0	2134055.0	2458666.0	2111878.0	2120046.0	2361866.0	1777807.0	1552065.0	2200977.0	2303668.0	2278416.0	1965868.0	2223268.0	2268267.0	2087307.0	2085267.0	2269113.0	2368028.0	2312534.0	2230504.0	1670920.0	2264301.0	2179224.0	2031068.0	2205118.0	2142798.0	1945167.0	2224604.0	2568382.0	1735598.0	2124298.0	1846207.0	2394207.0	2306927.0
SchirmerM_2016__G88821__bin.15	1624304.0	1294843.0	1739581.0	1406179.0	1629658.0	1691917.0	1775607.0	1646727.0	1656761.0	1758301.0	1667404.0	1664823.0	1749293.0	1436677.0	1295014.0	1696686.0	1697547.0	1737734.0	1564215.0	1653344.0	1728815.0	1642423.0	1668453.0	1740227.0	1765048.0	1752103.0	1719795.0	1377383.0	1745575.0	1724900.0	1583800.0	1761018.0	1664285.0	1540157.0	1726292.0	1735598.0	1892617.0	1685130.0	1476200.0	1741200.0	1708988.0
HMP_2012__SRS049959__bin.25	1987098.0	1506785.0	2112345.0	1691164.0	1941222.0	2048822.0	2158942.0	2023237.0	2048720.0	2151340.0	2033276.0	2040094.0	2155565.0	1717387.0	1508734.0	2067655.0	2063960.0	2150201.0	1898711.0	2078290.0	2096100.0	1974464.0	2023316.0	2170144.0	2178116.0	2158521.0	2080858.0	1591501.0	2132607.0	2110880.0	1916166.0	2169660.0	2050540.0	1831002.0	2093744.0	2124298.0	1685130.0	2359428.0	1756247.0	2150292.0	2118332.0
CosteaPI_2017__SID713B065-11-90-0__bin.33	1671229.0	1488630.0	1819202.0	1598804.0	1801970.0	1874932.0	1862511.0	1722608.0	1748936.0	1846661.0	1784988.0	1764290.0	1855555.0	1523604.0	1463640.0	1792781.0	1799091.0	1863191.0	1683629.0	1754188.0	1853137.0	1771241.0	1732559.0	1827234.0	1872559.0	1852183.0	1797500.0	1410825.0	1841067.0	1809428.0	1698958.0	1834477.0	1730001.0	1649745.0	1790333.0	1846207.0	1476200.0	1756247.0	1942227.0	1846114.0	1805979.0
CosteaPI_2017__SID713B043-11-90-0__bin.27	2086863.0	1585377.0	2236628.0	1816050.0	2060116.0	2146807.0	2373791.0	2103741.0	2178505.0	2401953.0	2116383.0	2130702.0	2468871.0	1798414.0	1571218.0	2204556.0	2295290.0	2280723.0	1997989.0	2292223.0	2263232.0	2148847.0	2112491.0	2261261.0	2462514.0	2316125.0	2234938.0	1666583.0	2268049.0	2203225.0	2023582.0	2264477.0	2156461.0	1938120.0	2243474.0	2394207.0	1741200.0	2150292.0	1846114.0	2537477.0	2351797.0
CosteaPI_2017__SID713A049-11-0-0__bin.64	2066492.0	1577961.0	2195159.0	1770122.0	2015433.0	2096865.0	2287383.0	2072576.0	2127373.0	2355851.0	2057674.0	2090492.0	2373740.0	1767029.0	1537813.0	2145453.0	2314346.0	2223448.0	1944878.0	2270786.0	2263574.0	2078099.0	2077751.0	2217384.0	2382715.0	2244547.0	2195241.0	1621601.0	2207589.0	2157241.0	1998424.0	2221817.0	2132548.0	1888393.0	2202655.0	2306927.0	1708988.0	2118332.0	1805979.0	2351797.0	2527305.0
