	LiSS_2016__FAT_010-22-42-0__bin.4	HeQ_2017__RSZAXPI003099-133__bin.4	VincentC_2016__MM021.4__bin.15	ZellerG_2014__CCIS71578391ST-4-0__bin.47	NielsenHB_2014__V1_UC13_3__bin.36	RaymondF_2016__P1E0__bin.32	ZellerG_2014__CCIS23164343ST-4-0__bin.86	ZellerG_2014__CCIS80834637ST-4-0__bin.35	LiSS_2016__FAT_010-22-14-0__bin.52	XieH_2016__YSZC12003_35705__bin.12	ZellerG_2014__CCIS38765456ST-20-0__bin.18	NielsenHB_2014__V1_UC55_0__bin.105	ZeeviD_2015__PNP_Main_144__bin.23	FengQ_2015__SID31416__bin.9	NielsenHB_2014__V1_UC13_0__bin.4	ZellerG_2014__CCIS11354283ST-4-0__bin.12	FengQ_2015__SID31865__bin.46	HeQ_2017__SZAXPI029501-104__bin.44	LiJ_2014__V1.FI10__bin.10	HeQ_2017__RSZAXPI003105-143__bin.39	YuJ_2015__SZAXPI003415-12__bin.14	XieH_2016__YSZC12003_37322__bin.70	LiSS_2016__FAT_010-22-2-0__bin.52	CosteaPI_2017__halbarad-11-0-0__bin.8	XieH_2016__YSZC12003_37285__bin.65	ZellerG_2014__CCIS81710917ST-20-0__bin.52	LiJ_2014__MH0370__bin.30	FerrettiP_2018__CA_C10024IS2415FE_t3M15__bin.7	XieH_2016__YSZC12003_36699__bin.28	NielsenHB_2014__O2_UC19_2__bin.43	RaymondF_2016__P1E7__bin.27
FengQ_2015__SID31416__bin.9	41720.0	62479.0	32934.0	37662.0	41587.0	40368.0	40281.0	30444.0	63089.0	34829.0	26628.0	41237.0	48395.0	0.0	41478.0	40817.0	33349.0	63271.0	42081.0	56476.0	57528.0	29497.0	62317.0	31822.0	32449.0	38901.0	36879.0	41001.0	42413.0	39869.0	41079.0
NielsenHB_2014__V1_UC13_0__bin.4	49774.0	74147.0	39733.0	47492.0	1232.0	49127.0	48927.0	36742.0	75503.0	41092.0	31026.0	48996.0	56268.0	41478.0	0.0	50324.0	39522.0	75972.0	49779.0	65586.0	68654.0	37524.0	75828.0	41337.0	41776.0	50204.0	44817.0	50894.0	49232.0	46731.0	50444.0
ZellerG_2014__CCIS11354283ST-4-0__bin.12	50909.0	73479.0	40139.0	46626.0	51142.0	47564.0	49027.0	34617.0	76926.0	42432.0	29360.0	48154.0	56656.0	40817.0	50324.0	0.0	39363.0	76694.0	51990.0	65509.0	69678.0	37723.0	77060.0	41007.0	41719.0	47688.0	42805.0	49081.0	51935.0	47922.0	48458.0
FengQ_2015__SID31865__bin.46	39320.0	54706.0	31040.0	38237.0	39490.0	39187.0	39034.0	30255.0	55938.0	33397.0	25449.0	39394.0	41882.0	33349.0	39522.0	39363.0	0.0	56983.0	40816.0	49263.0	49680.0	30210.0	56336.0	33942.0	33458.0	38903.0	35093.0	39977.0	40716.0	36878.0	40071.0
HeQ_2017__SZAXPI029501-104__bin.44	39988.0	49195.0	51411.0	72681.0	76956.0	74559.0	76573.0	55377.0	59009.0	63062.0	48740.0	75019.0	48228.0	63271.0	75972.0	76694.0	56983.0	0.0	74761.0	45299.0	47018.0	57382.0	59450.0	66634.0	62567.0	75879.0	69170.0	76894.0	73171.0	69716.0	76142.0
LiJ_2014__V1.FI10__bin.10	50097.0	74334.0	40974.0	49268.0	49802.0	50338.0	50208.0	38552.0	75532.0	42849.0	32017.0	52278.0	55867.0	42081.0	49779.0	51990.0	40816.0	74761.0	0.0	66138.0	68527.0	38614.0	76048.0	41528.0	42247.0	50865.0	46100.0	54166.0	50361.0	48135.0	51279.0
HeQ_2017__RSZAXPI003105-143__bin.39	35403.0	44038.0	44610.0	63566.0	66031.0	64325.0	64829.0	50078.0	51545.0	55358.0	42273.0	66403.0	43706.0	56476.0	65586.0	65509.0	49263.0	45299.0	66138.0	0.0	42414.0	50371.0	51595.0	57764.0	54639.0	66721.0	60557.0	68005.0	63862.0	61221.0	65626.0
YuJ_2015__SZAXPI003415-12__bin.14	36358.0	45861.0	47078.0	65956.0	69825.0	67908.0	68150.0	49458.0	54009.0	56388.0	43269.0	67727.0	43581.0	57528.0	68654.0	69678.0	49680.0	47018.0	68527.0	42414.0	0.0	52181.0	53637.0	58989.0	56899.0	69097.0	62716.0	69864.0	65848.0	64776.0	68619.0
XieH_2016__YSZC12003_37322__bin.70	39211.0	54403.0	29832.0	36113.0	37751.0	36901.0	36686.0	28524.0	57832.0	32499.0	23990.0	38898.0	43858.0	29497.0	37524.0	37723.0	30210.0	57382.0	38614.0	50371.0	52181.0	0.0	58279.0	30078.0	29480.0	37014.0	33042.0	39447.0	37980.0	36367.0	37752.0
LiSS_2016__FAT_010-22-2-0__bin.52	3323.0	57858.0	51673.0	72686.0	76560.0	74407.0	74460.0	57738.0	1494.0	61930.0	47461.0	76342.0	50317.0	62317.0	75828.0	77060.0	56336.0	59450.0	76048.0	51595.0	53637.0	58279.0	0.0	64747.0	63473.0	76973.0	70259.0	80607.0	72429.0	71132.0	75445.0
CosteaPI_2017__halbarad-11-0-0__bin.8	43633.0	63976.0	32487.0	39533.0	41930.0	39471.0	39857.0	30588.0	64634.0	35476.0	25578.0	40408.0	50117.0	31822.0	41337.0	41007.0	33942.0	66634.0	41528.0	57764.0	58989.0	30078.0	64747.0	0.0	33186.0	37667.0	35954.0	41168.0	41707.0	39156.0	40406.0
XieH_2016__YSZC12003_37285__bin.65	41594.0	61653.0	33404.0	39256.0	41698.0	41982.0	40953.0	31037.0	64188.0	34669.0	26881.0	42313.0	47723.0	32449.0	41776.0	41719.0	33458.0	62567.0	42247.0	54639.0	56899.0	29480.0	63473.0	33186.0	0.0	42083.0	35845.0	42980.0	41545.0	40130.0	42050.0
ZellerG_2014__CCIS81710917ST-20-0__bin.52	50016.0	76773.0	39199.0	44073.0	50444.0	45433.0	47220.0	32199.0	76651.0	41552.0	27588.0	46415.0	57532.0	38901.0	50204.0	47688.0	38903.0	75879.0	50865.0	66721.0	69097.0	37014.0	76973.0	37667.0	42083.0	0.0	39191.0	45648.0	48314.0	46853.0	45693.0
LiJ_2014__MH0370__bin.30	47667.0	67787.0	34541.0	40145.0	44602.0	40921.0	41364.0	31692.0	70208.0	35223.0	25230.0	43171.0	52779.0	36879.0	44817.0	42805.0	35093.0	69170.0	46100.0	60557.0	62716.0	33042.0	70259.0	35954.0	35845.0	39191.0	0.0	43124.0	44990.0	43720.0	42060.0
FerrettiP_2018__CA_C10024IS2415FE_t3M15__bin.7	52477.0	76754.0	40892.0	46809.0	51295.0	49829.0	48047.0	8056.0	80297.0	42511.0	29388.0	31642.0	57011.0	41001.0	50894.0	49081.0	39977.0	76894.0	54166.0	68005.0	69864.0	39447.0	80607.0	41168.0	42980.0	45648.0	43124.0	0.0	50593.0	49766.0	50743.0
XieH_2016__YSZC12003_36699__bin.28	48239.0	72331.0	39796.0	48736.0	50205.0	51253.0	49099.0	37096.0	72376.0	42254.0	32484.0	50969.0	56218.0	42413.0	49232.0	51935.0	40716.0	73171.0	50361.0	63862.0	65848.0	37980.0	72429.0	41707.0	41545.0	48314.0	44990.0	50593.0	0.0	47628.0	52347.0
NielsenHB_2014__O2_UC19_2__bin.43	48282.0	68552.0	38430.0	46612.0	47235.0	46836.0	46327.0	35822.0	70885.0	39784.0	29892.0	48065.0	51523.0	39869.0	46731.0	47922.0	36878.0	69716.0	48135.0	61221.0	64776.0	36367.0	71132.0	39156.0	40130.0	46853.0	43720.0	49766.0	47628.0	0.0	47524.0
RaymondF_2016__P1E7__bin.27	49857.0	73597.0	38933.0	46170.0	51000.0	203.0	48315.0	36935.0	75277.0	41847.0	29069.0	49943.0	55217.0	41079.0	50444.0	48458.0	40071.0	76142.0	51279.0	65626.0	68619.0	37752.0	75445.0	40406.0	42050.0	45693.0	42060.0	50743.0	52347.0	47524.0	0.0
