	BritoIL_2016__W1.41.ST__bin.79	ZellerG_2014__CCIS10793554ST-4-0__bin.56	FengQ_2015__SID530258__bin.75	KarlssonFH_2013__S194__bin.18	YuJ_2015__SZAXPI003416-4__bin.10	FengQ_2015__SID530002__bin.65	CM_madagascar__A58_01_1FE__bin.6	FengQ_2015__SID530163__bin.45	Bengtsson-PalmeJ_2015__TRAVELRES61__bin.97	LeChatelierE_2013__MH0420__bin.61	LiJ_2014__O2.UC46-1__bin.34	SchirmerM_2016__G88975__bin.5	LiJ_2014__V1.FI28__bin.31	LiJ_2014__O2.UC15-1__bin.5	FengQ_2015__SID530119__bin.18	FengQ_2015__SID530297__bin.62	Bengtsson-PalmeJ_2015__TRAVELRES4__bin.123	ZellerG_2014__CCIS81735969ST-20-0__bin.53	FengQ_2015__SID530558__bin.75	ZeeviD_2015__PNP_Main_447__bin.22	NielsenHB_2014__MH0086__bin.4	ZeeviD_2015__PNP_Main_279__bin.36	XieH_2016__YSZC12003_36034__bin.30	LiJ_2014__O2.UC32-1__bin.62	BackhedF_2015__SID184_12M__bin.1	Bengtsson-PalmeJ_2015__TRAVELRES19__bin.33	LeChatelierE_2013__MH0086__bin.32	LiJ_2014__V1.FI31__bin.11	FengQ_2015__SID531469__bin.57	ZellerG_2014__CCIS81887263ST-4-0__bin.29	Bengtsson-PalmeJ_2015__TRAVELRES57__bin.29	ZellerG_2014__CCMD79987997ST-21-0__bin.40	FengQ_2015__SID31379__bin.49	FengQ_2015__SID532779__bin.85
LiJ_2014__O2.UC46-1__bin.34	1849959.0	749818.0	1433094.0	1764521.0	1919051.0	1687636.0	1159691.0	1180668.0	1742195.0	1787961.0	2295644.0	1057172.0	1424798.0	1656709.0	1092692.0	1707147.0	357169.0	1435695.0	1737605.0	1835837.0	1321902.0	1659263.0	1705498.0	1384122.0	1788979.0	1603216.0	1628849.0	1226243.0	1576686.0	1880760.0	1821869.0	1407944.0	1854313.0	608752.0
SchirmerM_2016__G88975__bin.5	1851901.0	1201189.0	1597151.0	1732074.0	1897853.0	1744024.0	1482605.0	1561553.0	1648169.0	1739652.0	1057172.0	2113379.0	1646796.0	1737183.0	1529687.0	1663542.0	965658.0	1350376.0	1767956.0	1808155.0	1678448.0	1757472.0	1684343.0	1263772.0	1752703.0	1731102.0	1802296.0	1079678.0	1605830.0	1813609.0	1822785.0	1742311.0	1817220.0	1223994.0
LiJ_2014__V1.FI28__bin.31	2295966.0	1331435.0	1992334.0	2197886.0	2345029.0	2186261.0	1777488.0	1930043.0	2124506.0	2308288.0	1424798.0	1646796.0	2557159.0	2228714.0	1825486.0	2128937.0	1125843.0	1745457.0	2255578.0	2286586.0	2041237.0	2208114.0	2098456.0	1629803.0	2280574.0	2154191.0	2243780.0	1405319.0	2112678.0	2326935.0	2342776.0	2024509.0	2306940.0	1397184.0
LiJ_2014__O2.UC15-1__bin.5	2576376.0	1341252.0	2117215.0	2446121.0	2612311.0	2453538.0	1852699.0	1935678.0	2364827.0	2497005.0	1656709.0	1737183.0	2228714.0	2883036.0	1900569.0	2322569.0	1131978.0	1905261.0	2459413.0	2502353.0	2155486.0	2407237.0	2374814.0	1777638.0	2457093.0	2353356.0	2418117.0	1528205.0	2249940.0	2553912.0	2535670.0	2157498.0	2540952.0	1456267.0
FengQ_2015__SID530119__bin.18	2083983.0	1274088.0	1735972.0	1957981.0	2158854.0	2002560.0	1700123.0	1972602.0	1810250.0	2003862.0	1092692.0	1529687.0	1825486.0	1900569.0	2360237.0	1827901.0	1254038.0	1449471.0	1977895.0	2058885.0	1904661.0	1955052.0	1845146.0	1294372.0	1989372.0	1986708.0	2046090.0	1090133.0	1799661.0	2099382.0	2155763.0	2104943.0	2070655.0	1565178.0
FengQ_2015__SID530297__bin.62	2567765.0	1319064.0	2162395.0	2400030.0	2667968.0	2367910.0	1842071.0	1905006.0	2345920.0	2426305.0	1707147.0	1663542.0	2128937.0	2322569.0	1827901.0	2912120.0	1111742.0	1855498.0	2432655.0	2495226.0	2067125.0	2329700.0	2344660.0	1772796.0	2452428.0	2228129.0	2367431.0	1485467.0	2250089.0	2598935.0	2552649.0	2172340.0	2595578.0	1365461.0
Bengtsson-PalmeJ_2015__TRAVELRES4__bin.123	1246708.0	845648.0	1071781.0	1134324.0	1290523.0	1222852.0	1107601.0	1260435.0	1066834.0	1177611.0	357169.0	965658.0	1125843.0	1131978.0	1254038.0	1111742.0	1379038.0	804695.0	1203526.0	1215609.0	1239304.0	1215614.0	1069337.0	728864.0	1204972.0	1187558.0	1269869.0	577822.0	1144369.0	1269441.0	1274472.0	1282237.0	1277957.0	1157648.0
ZellerG_2014__CCIS81735969ST-20-0__bin.53	1997840.0	1054862.0	1696613.0	1926566.0	2050074.0	1895631.0	1431295.0	1501090.0	1840742.0	1990489.0	1435695.0	1350376.0	1745457.0	1905261.0	1449471.0	1855498.0	804695.0	2496540.0	1959095.0	1974747.0	1651963.0	1896002.0	1845708.0	1525098.0	1986926.0	1847782.0	1883291.0	1312807.0	1805501.0	2050757.0	2021467.0	1645978.0	2031253.0	1035573.0
FengQ_2015__SID530558__bin.75	2648989.0	1387101.0	2192326.0	2543624.0	2760506.0	2539560.0	1925069.0	2033065.0	2417441.0	2549518.0	1737605.0	1767956.0	2255578.0	2459413.0	1977895.0	2432655.0	1203526.0	1959095.0	3288590.0	2597108.0	2217821.0	2488453.0	2401646.0	1858238.0	2578687.0	2382506.0	2509703.0	1587214.0	2321736.0	2687050.0	2721664.0	2245839.0	2707977.0	1507823.0
ZeeviD_2015__PNP_Main_447__bin.22	2716479.0	1414595.0	2270946.0	2561109.0	2843332.0	2562728.0	1957981.0	2138459.0	2449706.0	2600843.0	1835837.0	1808155.0	2286586.0	2502353.0	2058885.0	2495226.0	1215609.0	1974747.0	2597108.0	3185458.0	2292497.0	2561367.0	2461587.0	1882744.0	2634627.0	2478858.0	2626011.0	1587377.0	2374369.0	2745516.0	2768574.0	2377092.0	2757958.0	1581271.0
NielsenHB_2014__MH0086__bin.4	2358357.0	1383706.0	1975282.0	2182381.0	2389914.0	2208858.0	1817411.0	1972178.0	2060993.0	2252747.0	1321902.0	1678448.0	2041237.0	2155486.0	1904661.0	2067125.0	1239304.0	1651963.0	2217821.0	2292497.0	2694426.0	2209893.0	2087439.0	1547087.0	2224562.0	2258755.0	2510515.0	1327134.0	2039452.0	2324295.0	2344956.0	2125713.0	2384800.0	1489799.0
ZeeviD_2015__PNP_Main_279__bin.36	2565714.0	1393253.0	2114859.0	2393260.0	2675414.0	2425960.0	1895325.0	2037130.0	2301090.0	2474590.0	1659263.0	1757472.0	2208114.0	2407237.0	1955052.0	2329700.0	1215614.0	1896002.0	2488453.0	2561367.0	2209893.0	2773548.0	2340680.0	1784102.0	2515868.0	2316684.0	2440557.0	1487506.0	2279573.0	2625299.0	2598537.0	2224405.0	2597822.0	1545059.0
XieH_2016__YSZC12003_36034__bin.30	2568328.0	1320018.0	2104379.0	2420272.0	2615918.0	2364304.0	1830235.0	1911974.0	2316429.0	2419080.0	1705498.0	1684343.0	2098456.0	2374814.0	1845146.0	2344660.0	1069337.0	1845708.0	2401646.0	2461587.0	2087439.0	2340680.0	2975728.0	1746425.0	2444231.0	2276882.0	2350776.0	1506048.0	2201093.0	2533749.0	2529061.0	2168423.0	2527321.0	1376084.0
LiJ_2014__O2.UC32-1__bin.62	1879770.0	1013139.0	1651346.0	1815345.0	1937664.0	1786947.0	1331438.0	1353056.0	1756954.0	1834573.0	1384122.0	1263772.0	1629803.0	1777638.0	1294372.0	1772796.0	728864.0	1525098.0	1858238.0	1882744.0	1547087.0	1784102.0	1746425.0	2303756.0	1837516.0	1708556.0	1765815.0	1256701.0	1688201.0	1888888.0	1864490.0	1509480.0	1895479.0	936703.0
BackhedF_2015__SID184_12M__bin.1	2685665.0	1389888.0	2248100.0	2544738.0	2768108.0	2497406.0	1922591.0	2120321.0	2468396.0	2664232.0	1788979.0	1752703.0	2280574.0	2457093.0	1989372.0	2452428.0	1204972.0	1986926.0	2578687.0	2634627.0	2224562.0	2515868.0	2444231.0	1837516.0	3070604.0	2398059.0	2495893.0	1595013.0	2419931.0	2738947.0	2776791.0	2264343.0	2694358.0	1481525.0
Bengtsson-PalmeJ_2015__TRAVELRES19__bin.33	2465848.0	1379782.0	2168072.0	2360450.0	2553436.0	2404738.0	1810434.0	2036365.0	2305894.0	2404652.0	1603216.0	1731102.0	2154191.0	2353356.0	1986708.0	2228129.0	1187558.0	1847782.0	2382506.0	2478858.0	2258755.0	2316684.0	2276882.0	1708556.0	2398059.0	2900755.0	2494155.0	1484714.0	2223962.0	2528246.0	2532054.0	2225049.0	2519375.0	1501692.0
LeChatelierE_2013__MH0086__bin.32	2681132.0	1406582.0	2212276.0	2480588.0	2723352.0	2483326.0	1943957.0	2108468.0	2349698.0	2498890.0	1628849.0	1802296.0	2243780.0	2418117.0	2046090.0	2367431.0	1269869.0	1883291.0	2509703.0	2626011.0	2510515.0	2440557.0	2350776.0	1765815.0	2495893.0	2494155.0	3033190.0	1519074.0	2267637.0	2622001.0	2662442.0	2345184.0	2687124.0	1546934.0
LiJ_2014__V1.FI31__bin.11	1625494.0	847293.0	1402948.0	1547259.0	1623475.0	1545448.0	1136381.0	1169625.0	1529764.0	1580179.0	1226243.0	1079678.0	1405319.0	1528205.0	1090133.0	1485467.0	577822.0	1312807.0	1587214.0	1587377.0	1327134.0	1487506.0	1506048.0	1256701.0	1595013.0	1484714.0	1519074.0	1998468.0	1445984.0	1668991.0	1621889.0	1303156.0	1616567.0	757664.0
FengQ_2015__SID531469__bin.57	2402801.0	1304242.0	2138955.0	2254482.0	2432680.0	2317979.0	1728870.0	1929529.0	2255139.0	2379094.0	1576686.0	1605830.0	2112678.0	2249940.0	1799661.0	2250089.0	1144369.0	1805501.0	2321736.0	2374369.0	2039452.0	2279573.0	2201093.0	1688201.0	2419931.0	2223962.0	2267637.0	1445984.0	2638580.0	2459688.0	2488223.0	2058405.0	2408823.0	1347643.0
ZellerG_2014__CCIS81887263ST-4-0__bin.29	2797833.0	1421936.0	2299867.0	2626218.0	2932356.0	2666229.0	1983246.0	2215549.0	2522307.0	2710665.0	1880760.0	1813609.0	2326935.0	2553912.0	2099382.0	2598935.0	1269441.0	2050757.0	2687050.0	2745516.0	2324295.0	2625299.0	2533749.0	1888888.0	2738947.0	2528246.0	2622001.0	1668991.0	2459688.0	3355922.0	2866443.0	2433256.0	2844779.0	1560090.0
Bengtsson-PalmeJ_2015__TRAVELRES57__bin.29	2836527.0	1440286.0	2352606.0	2650323.0	2945898.0	2628090.0	2019008.0	2243410.0	2539824.0	2717178.0	1821869.0	1822785.0	2342776.0	2535670.0	2155763.0	2552649.0	1274472.0	2021467.0	2721664.0	2768574.0	2344956.0	2598537.0	2529061.0	1864490.0	2776791.0	2532054.0	2662442.0	1621889.0	2488223.0	2866443.0	3580518.0	2420882.0	2844272.0	1579401.0
ZellerG_2014__CCMD79987997ST-21-0__bin.40	2428840.0	1403359.0	2004820.0	2262880.0	2541597.0	2299960.0	1882657.0	2198828.0	2107758.0	2232502.0	1407944.0	1742311.0	2024509.0	2157498.0	2104943.0	2172340.0	1282237.0	1645978.0	2245839.0	2377092.0	2125713.0	2224405.0	2168423.0	1509480.0	2264343.0	2225049.0	2345184.0	1303156.0	2058405.0	2433256.0	2420882.0	2808036.0	2424759.0	1618541.0
FengQ_2015__SID31379__bin.49	2853462.0	1410990.0	2345601.0	2668614.0	2961059.0	2633730.0	1989440.0	2140170.0	2555195.0	2673274.0	1854313.0	1817220.0	2306940.0	2540952.0	2070655.0	2595578.0	1277957.0	2031253.0	2707977.0	2757958.0	2384800.0	2597822.0	2527321.0	1895479.0	2694358.0	2519375.0	2687124.0	1616567.0	2408823.0	2844779.0	2844272.0	2424759.0	3319569.0	1562538.0
FengQ_2015__SID532779__bin.85	1574014.0	1034176.0	1307256.0	1436846.0	1672604.0	1511226.0	1327767.0	1523389.0	1358123.0	1461584.0	608752.0	1223994.0	1397184.0	1456267.0	1565178.0	1365461.0	1157648.0	1035573.0	1507823.0	1581271.0	1489799.0	1545059.0	1376084.0	936703.0	1481525.0	1501692.0	1546934.0	757664.0	1347643.0	1560090.0	1579401.0	1618541.0	1562538.0	1718371.0
