	LouisS_2016__AS60_3__bin.21	RaymondF_2016__P23C7__bin.76	QinN_2014__LD-35__bin.22	Obregon-TitoAJ_2015__NO11__bin.44	LeChatelierE_2013__MH0239__bin.22	XieH_2016__YSZC12003_37190R1__bin.70	ZellerG_2014__CCIS76845094ST-20-0__bin.31	IjazUZ_2017__S58_a_WGS__bin.10	RaymondF_2016__P22E7__bin.1	LouisS_2016__AS63_3__bin.7	LoombaR_2017__SID0017_mqf__bin.7	HMP_2012__SRS022713__bin.4	LiJ_2014__O2.UC15-0__bin.4	HeQ_2017__RSZAXPI003105-143__bin.26	Obregon-TitoAJ_2015__NO21__bin.51	FengQ_2015__SID530227__bin.11	ZeeviD_2015__PNP_Validation_10__bin.24	LiJ_2014__V1.FI34__bin.1	LoombaR_2017__SID1035_bai__bin.9	XieH_2016__YSZC12003_36389__bin.67	RaymondF_2016__P21E7__bin.46	VincentC_2016__MM055.6__bin.16	WenC_2017__RA082__bin.3	VogtmannE_2016__MMRS97327636ST-27-0-0__bin.1	LeChatelierE_2013__MH0233__bin.12	BackhedF_2015__SID622_4M__bin.2	VincentC_2016__MM055.4__bin.8	XieH_2016__YSZC12003_37097__bin.2	LoombaR_2017__SID1050_bax__bin.20	VincentC_2016__MM090.2__bin.22	RaymondF_2016__P21E90__bin.7	IjazUZ_2017__S56_a_WGS__bin.10	FengQ_2015__SID530185__bin.46	XieH_2016__YSZC12003_37297R1__bin.4	XieH_2016__YSZC12003_37179__bin.27	ZeeviD_2015__PNP_Main_222__bin.11	LiuW_2016__SRR3992999__bin.29	HeQ_2017__SZAXPI029464-140__bin.27	HanniganGD_2017__MG100158__bin.1	RaymondF_2016__P19E7__bin.8	LouisS_2016__AS68_3__bin.12	CosteaPI_2017__SID713A089-11-90-0__bin.16	GeversD_2014__SKBSTL024__bin.3
LoombaR_2017__SID0017_mqf__bin.7	1610934.0	1458085.0	1701366.0	1515581.0	1299209.0	1384767.0	1494234.0	1430811.0	1477566.0	1715425.0	1851907.0	1118117.0	1217525.0	1665843.0	1637920.0	1519924.0	1614290.0	1048983.0	1694330.0	1269898.0	1446357.0	1676870.0	1547551.0	992043.0	1383493.0	1355660.0	1094897.0	995584.0	1648010.0	1164512.0	1265259.0	1704827.0	1371738.0	1589848.0	1474572.0	1442646.0	1684089.0	1341702.0	1535738.0	1645209.0	1019435.0	1095880.0	1652454.0
HMP_2012__SRS022713__bin.4	1228893.0	1097252.0	1335641.0	1253623.0	994215.0	1027030.0	1256884.0	1090557.0	1143842.0	1336626.0	1118117.0	1434122.0	1069889.0	1298941.0	1303618.0	1272905.0	1292525.0	978421.0	1324850.0	935542.0	1217148.0	1297433.0	1236124.0	855359.0	1199143.0	1198201.0	822502.0	775055.0	1213719.0	911198.0	1097342.0	1296934.0	1166597.0	1252731.0	1132776.0	1191327.0	1341565.0	979824.0	1234666.0	1259398.0	801044.0	893421.0	1323319.0
LiJ_2014__O2.UC15-0__bin.4	1416094.0	1223167.0	1486859.0	1409132.0	1120441.0	1196791.0	1351144.0	1235405.0	1292478.0	1489152.0	1217525.0	1069889.0	1620998.0	1479705.0	1460445.0	1334896.0	1402476.0	1005761.0	1433534.0	1081675.0	1321628.0	1449887.0	1381512.0	945390.0	1297516.0	1319581.0	941965.0	879866.0	1336595.0	1009258.0	1190852.0	1447215.0	1253292.0	1421826.0	1304734.0	1311666.0	1470341.0	1158338.0	1377616.0	1408536.0	873309.0	1003822.0	1445953.0
HeQ_2017__RSZAXPI003105-143__bin.26	1951879.0	1737128.0	2089046.0	1892209.0	1621621.0	1718020.0	1811750.0	1681619.0	1865259.0	2093455.0	1665843.0	1298941.0	1479705.0	2328516.0	2044619.0	1839603.0	1996579.0	1202002.0	2005941.0	1567800.0	1740501.0	2058301.0	1932543.0	1190040.0	1661777.0	1628803.0	1343080.0	1212322.0	1832141.0	1382882.0	1499318.0	2050966.0	1641481.0	1992306.0	1841490.0	1774149.0	2070962.0	1727893.0	1892164.0	1988907.0	1203884.0	1329725.0	2074074.0
Obregon-TitoAJ_2015__NO21__bin.51	1964298.0	1689723.0	2052385.0	1907736.0	1600948.0	1706305.0	1815495.0	1688813.0	1850276.0	2086314.0	1637920.0	1303618.0	1460445.0	2044619.0	2390318.0	1801796.0	1964251.0	1200044.0	1988702.0	1569503.0	1804425.0	2046435.0	1907320.0	1201234.0	1642278.0	1606050.0	1331584.0	1215458.0	1818531.0	1375406.0	1545487.0	2055016.0	1626748.0	1948482.0	1889670.0	1753604.0	2052288.0	1662611.0	1906877.0	1961909.0	1180529.0	1314212.0	2064150.0
FengQ_2015__SID530227__bin.11	1726474.0	1568264.0	1866004.0	1693467.0	1470511.0	1510177.0	1677262.0	1511738.0	1636072.0	1852559.0	1519924.0	1272905.0	1334896.0	1839603.0	1801796.0	1993329.0	1805872.0	1118391.0	1808683.0	1403844.0	1586951.0	1795094.0	1712231.0	1080416.0	1535616.0	1537067.0	1194409.0	1097339.0	1646172.0	1277380.0	1376398.0	1801819.0	1546430.0	1771561.0	1624038.0	1605597.0	1863035.0	1467265.0	1676021.0	1762006.0	1116815.0	1216898.0	1821510.0
ZeeviD_2015__PNP_Validation_10__bin.24	1858674.0	1684650.0	2006735.0	1798377.0	1591674.0	1648791.0	1762501.0	1640871.0	1806568.0	2021949.0	1614290.0	1292525.0	1402476.0	1996579.0	1964251.0	1805872.0	2113268.0	1170106.0	1948553.0	1519574.0	1676612.0	1955104.0	1850339.0	1143758.0	1599769.0	1559549.0	1287686.0	1172965.0	1771995.0	1360844.0	1456547.0	1977072.0	1596597.0	1897594.0	1755126.0	1691118.0	2013999.0	1639321.0	1813010.0	1896419.0	1169474.0	1273823.0	2004372.0
LiJ_2014__V1.FI34__bin.1	1163655.0	1025614.0	1210413.0	1156696.0	897725.0	903141.0	1174917.0	1012621.0	1026417.0	1237233.0	1048983.0	978421.0	1005761.0	1202002.0	1200044.0	1118391.0	1170106.0	1336855.0	1241234.0	818720.0	1145232.0	1199925.0	1125313.0	787027.0	1084887.0	1107494.0	737569.0	678222.0	1149215.0	849336.0	1052542.0	1237313.0	1050659.0	1162620.0	1019177.0	1075695.0	1226562.0	871753.0	1146156.0	1167739.0	720243.0	830487.0	1192312.0
LoombaR_2017__SID1035_bai__bin.9	1947404.0	1709468.0	2040205.0	1840324.0	1576662.0	1675218.0	1797483.0	1707305.0	1800396.0	2054338.0	1694330.0	1324850.0	1433534.0	2005941.0	1988702.0	1808683.0	1948553.0	1241234.0	2300590.0	1519655.0	1744989.0	2010450.0	1892592.0	1178023.0	1628435.0	1597368.0	1327505.0	1175077.0	1831977.0	1392133.0	1523228.0	2076344.0	1637636.0	1912657.0	1774720.0	1711049.0	2021460.0	1636336.0	1849077.0	1944298.0	1188762.0	1292482.0	2008519.0
XieH_2016__YSZC12003_36389__bin.67	1522541.0	1363040.0	1593035.0	1425602.0	1369356.0	1486260.0	1381561.0	1354924.0	1591678.0	1590456.0	1269898.0	935542.0	1081675.0	1567800.0	1569503.0	1403844.0	1519574.0	818720.0	1519655.0	1668906.0	1248934.0	1559587.0	1473714.0	848492.0	1243837.0	1182502.0	1081172.0	956728.0	1376891.0	1056441.0	1019206.0	1569928.0	1264871.0	1510330.0	1563719.0	1337027.0	1571340.0	1458077.0	1449683.0	1507452.0	962446.0	997403.0	1564322.0
RaymondF_2016__P21E7__bin.46	1722685.0	1452826.0	1760391.0	1648839.0	1321318.0	1412777.0	1609253.0	1472071.0	1540238.0	1787674.0	1446357.0	1217148.0	1321628.0	1740501.0	1804425.0	1586951.0	1676612.0	1145232.0	1744989.0	1248934.0	2165807.0	1770708.0	1644518.0	1079204.0	1481178.0	1436607.0	1127228.0	1035587.0	1624119.0	1205830.0	1828193.0	1788281.0	1448966.0	1658947.0	1528743.0	1559940.0	1767129.0	1365930.0	1621249.0	1693276.0	1034206.0	1159603.0	1769466.0
VincentC_2016__MM055.6__bin.16	1906453.0	1726263.0	2067609.0	1888237.0	1589016.0	1700524.0	1809365.0	1674724.0	1885771.0	2088094.0	1676870.0	1297433.0	1449887.0	2058301.0	2046435.0	1795094.0	1955104.0	1199925.0	2010450.0	1559587.0	1770708.0	2342881.0	1915566.0	1177269.0	1624911.0	1608091.0	1393670.0	1210692.0	1836984.0	1376595.0	1531926.0	2072227.0	1623694.0	1966681.0	1866653.0	1751045.0	2035166.0	1680848.0	1895585.0	1973144.0	1172784.0	1286319.0	2002746.0
WenC_2017__RA082__bin.3	1801701.0	1612829.0	1940548.0	1761568.0	1502228.0	1628501.0	1705988.0	1563868.0	1756574.0	1940886.0	1547551.0	1236124.0	1381512.0	1932543.0	1907320.0	1712231.0	1850339.0	1125313.0	1892592.0	1473714.0	1644518.0	1915566.0	2108342.0	1120086.0	1552602.0	1521081.0	1257512.0	1145807.0	1699963.0	1285077.0	1433449.0	1900805.0	1569719.0	1862443.0	1724086.0	1635451.0	1918741.0	1595710.0	1765009.0	1861202.0	1141550.0	1234745.0	1923462.0
VogtmannE_2016__MMRS97327636ST-27-0-0__bin.1	1119443.0	988229.0	1175724.0	1133592.0	901097.0	967625.0	1093063.0	996732.0	1040946.0	1189350.0	992043.0	855359.0	945390.0	1190040.0	1201234.0	1080416.0	1143758.0	787027.0	1178023.0	848492.0	1079204.0	1177269.0	1120086.0	1285303.0	1025942.0	1029928.0	761024.0	728829.0	1071271.0	822288.0	966462.0	1179223.0	1014573.0	1136893.0	1021110.0	1059720.0	1189719.0	934070.0	1119143.0	1161504.0	699698.0	804060.0	1186675.0
LeChatelierE_2013__MH0233__bin.12	1571472.0	1390204.0	1667701.0	1561497.0	1311062.0	1353484.0	1560974.0	1396603.0	1478171.0	1711132.0	1383493.0	1199143.0	1297516.0	1661777.0	1642278.0	1535616.0	1599769.0	1084887.0	1628435.0	1243837.0	1481178.0	1624911.0	1552602.0	1025942.0	1764551.0	1423722.0	1059108.0	1016958.0	1521254.0	1164824.0	1310600.0	1637556.0	1419240.0	1589968.0	1464843.0	1494391.0	1672023.0	1308829.0	1537397.0	1603929.0	992249.0	1133900.0	1643667.0
BackhedF_2015__SID622_4M__bin.2	1536778.0	1372542.0	1676436.0	1540518.0	1257272.0	1309321.0	1502943.0	1341130.0	1422385.0	1643345.0	1355660.0	1198201.0	1319581.0	1628803.0	1606050.0	1537067.0	1559549.0	1107494.0	1597368.0	1182502.0	1436607.0	1608091.0	1521081.0	1029928.0	1423722.0	1821438.0	1045940.0	985363.0	1475425.0	1121523.0	1269795.0	1591993.0	1408417.0	1578100.0	1427303.0	1478681.0	1663317.0	1297713.0	1507074.0	1558969.0	989825.0	1111293.0	1599715.0
VincentC_2016__MM055.4__bin.8	1278614.0	1169972.0	1361095.0	1237364.0	1104713.0	1168540.0	1206189.0	1134861.0	1265302.0	1364180.0	1094897.0	822502.0	941965.0	1343080.0	1331584.0	1194409.0	1287686.0	737569.0	1327505.0	1081172.0	1127228.0	1393670.0	1257512.0	761024.0	1059108.0	1045940.0	1426669.0	839249.0	1189520.0	941666.0	957229.0	1343670.0	1077058.0	1307699.0	1238999.0	1144009.0	1352396.0	1143247.0	1261581.0	1319192.0	819088.0	857429.0	1326593.0
XieH_2016__YSZC12003_37097__bin.2	1153948.0	1041708.0	1235685.0	1109277.0	976136.0	1080878.0	1102882.0	1005424.0	1120792.0	1246825.0	995584.0	775055.0	879866.0	1212322.0	1215458.0	1097339.0	1172965.0	678222.0	1175077.0	956728.0	1035587.0	1210692.0	1145807.0	728829.0	1016958.0	985363.0	839249.0	1286755.0	1088435.0	848667.0	877671.0	1191676.0	1022318.0	1186204.0	1100463.0	1055198.0	1216756.0	1035212.0	1122027.0	1175630.0	731188.0	820344.0	1203056.0
LoombaR_2017__SID1050_bax__bin.20	1790011.0	1587179.0	1865216.0	1679119.0	1415799.0	1493990.0	1674219.0	1564030.0	1626150.0	1885786.0	1648010.0	1213719.0	1336595.0	1832141.0	1818531.0	1646172.0	1771995.0	1149215.0	1831977.0	1376891.0	1624119.0	1836984.0	1699963.0	1071271.0	1521254.0	1475425.0	1189520.0	1088435.0	2068414.0	1294331.0	1419812.0	1878923.0	1495180.0	1736786.0	1614054.0	1577570.0	1871926.0	1466361.0	1682490.0	1811023.0	1097158.0	1205198.0	1852292.0
VincentC_2016__MM090.2__bin.22	1326687.0	1228888.0	1408951.0	1281499.0	1093414.0	1157925.0	1251917.0	1182021.0	1251631.0	1403341.0	1164512.0	911198.0	1009258.0	1382882.0	1375406.0	1277380.0	1360844.0	849336.0	1392133.0	1056441.0	1205830.0	1376595.0	1285077.0	822288.0	1164824.0	1121523.0	941666.0	848667.0	1294331.0	1498146.0	1055633.0	1382633.0	1151992.0	1338089.0	1208977.0	1224439.0	1409781.0	1133839.0	1266639.0	1356387.0	847409.0	941363.0	1374969.0
RaymondF_2016__P21E90__bin.7	1473936.0	1249793.0	1524550.0	1439803.0	1104116.0	1177627.0	1406105.0	1276619.0	1304519.0	1549251.0	1265259.0	1097342.0	1190852.0	1499318.0	1545487.0	1376398.0	1456547.0	1052542.0	1523228.0	1019206.0	1828193.0	1531926.0	1433449.0	966462.0	1310600.0	1269795.0	957229.0	877671.0	1419812.0	1055633.0	1853121.0	1545304.0	1263031.0	1437073.0	1295534.0	1351983.0	1538324.0	1128618.0	1414075.0	1468449.0	886758.0	1013241.0	1542305.0
IjazUZ_2017__S56_a_WGS__bin.10	2033194.0	1721790.0	2074716.0	1875939.0	1602543.0	1684281.0	1844837.0	1768024.0	1869824.0	2132817.0	1704827.0	1296934.0	1447215.0	2050966.0	2055016.0	1801819.0	1977072.0	1237313.0	2076344.0	1569928.0	1788281.0	2072227.0	1900805.0	1179223.0	1637556.0	1591993.0	1343670.0	1191676.0	1878923.0	1382633.0	1545304.0	2354426.0	1610850.0	1933110.0	1834962.0	1726699.0	2066511.0	1674359.0	1896920.0	1972030.0	1172817.0	1287459.0	2050125.0
FengQ_2015__SID530185__bin.46	1561174.0	1413981.0	1673270.0	1530454.0	1302728.0	1393164.0	1513015.0	1365106.0	1483403.0	1666367.0	1371738.0	1166597.0	1253292.0	1641481.0	1626748.0	1546430.0	1596597.0	1050659.0	1637636.0	1264871.0	1448966.0	1623694.0	1569719.0	1014573.0	1419240.0	1408417.0	1077058.0	1022318.0	1495180.0	1151992.0	1263031.0	1610850.0	1794282.0	1592647.0	1457128.0	1471953.0	1667760.0	1325867.0	1530771.0	1608523.0	1006234.0	1129378.0	1631324.0
XieH_2016__YSZC12003_37297R1__bin.4	1851157.0	1665180.0	1994823.0	1790942.0	1579005.0	1674945.0	1747586.0	1604271.0	1787948.0	1984621.0	1589848.0	1252731.0	1421826.0	1992306.0	1948482.0	1771561.0	1897594.0	1162620.0	1912657.0	1510330.0	1658947.0	1966681.0	1862443.0	1136893.0	1589968.0	1578100.0	1307699.0	1186204.0	1736786.0	1338089.0	1437073.0	1933110.0	1592647.0	2139772.0	1780233.0	1692781.0	1959541.0	1633257.0	1801816.0	1901712.0	1172385.0	1274350.0	1962262.0
XieH_2016__YSZC12003_37179__bin.27	1823601.0	1537293.0	1843061.0	1689534.0	1507143.0	1625564.0	1633883.0	1506973.0	1783197.0	1884787.0	1474572.0	1132776.0	1304734.0	1841490.0	1889670.0	1624038.0	1755126.0	1019177.0	1774720.0	1563719.0	1528743.0	1866653.0	1724086.0	1021110.0	1464843.0	1427303.0	1238999.0	1100463.0	1614054.0	1208977.0	1295534.0	1834962.0	1457128.0	1780233.0	2055101.0	1564174.0	1836225.0	1612955.0	1705895.0	1748191.0	1077801.0	1166107.0	1822969.0
ZeeviD_2015__PNP_Main_222__bin.11	1682335.0	1471210.0	1797720.0	1646234.0	1380339.0	1483408.0	1603618.0	1448126.0	1595440.0	1788987.0	1442646.0	1191327.0	1311666.0	1774149.0	1753604.0	1605597.0	1691118.0	1075695.0	1711049.0	1337027.0	1559940.0	1751045.0	1635451.0	1059720.0	1494391.0	1478681.0	1144009.0	1055198.0	1577570.0	1224439.0	1351983.0	1726699.0	1471953.0	1692781.0	1564174.0	1921579.0	1764279.0	1432769.0	1628369.0	1687183.0	1056352.0	1192012.0	1725127.0
LiuW_2016__SRR3992999__bin.29	1987124.0	1745451.0	2104862.0	1897336.0	1625661.0	1699861.0	1848958.0	1703245.0	1872560.0	2085158.0	1684089.0	1341565.0	1470341.0	2070962.0	2052288.0	1863035.0	2013999.0	1226562.0	2021460.0	1571340.0	1767129.0	2035166.0	1918741.0	1189719.0	1672023.0	1663317.0	1352396.0	1216756.0	1871926.0	1409781.0	1538324.0	2066511.0	1667760.0	1959541.0	1836225.0	1764279.0	2287743.0	1704520.0	1902687.0	1980229.0	1217105.0	1344788.0	2057107.0
HeQ_2017__SZAXPI029464-140__bin.27	1671153.0	1449383.0	1765150.0	1503251.0	1356873.0	1680584.0	1461397.0	1423406.0	1689724.0	1705574.0	1341702.0	979824.0	1158338.0	1727893.0	1662611.0	1467265.0	1639321.0	871753.0	1636336.0	1458077.0	1365930.0	1680848.0	1595710.0	934070.0	1308829.0	1297713.0	1143247.0	1035212.0	1466361.0	1133839.0	1128618.0	1674359.0	1325867.0	1633257.0	1612955.0	1432769.0	1704520.0	1997120.0	1531825.0	1616750.0	1013335.0	1072754.0	1704056.0
HanniganGD_2017__MG100158__bin.1	1789949.0	1602713.0	1897524.0	1790968.0	1487077.0	1563331.0	1690209.0	1562751.0	1719352.0	1918176.0	1535738.0	1234666.0	1377616.0	1892164.0	1906877.0	1676021.0	1813010.0	1146156.0	1849077.0	1449683.0	1621249.0	1895585.0	1765009.0	1119143.0	1537397.0	1507074.0	1261581.0	1122027.0	1682490.0	1266639.0	1414075.0	1896920.0	1530771.0	1801816.0	1705895.0	1628369.0	1902687.0	1531825.0	2064129.0	1833389.0	1130459.0	1199347.0	1883298.0
RaymondF_2016__P19E7__bin.8	1875371.0	1697803.0	1975075.0	1814525.0	1537223.0	1642892.0	1750207.0	1650430.0	1770100.0	1991517.0	1645209.0	1259398.0	1408536.0	1988907.0	1961909.0	1762006.0	1896419.0	1167739.0	1944298.0	1507452.0	1693276.0	1973144.0	1861202.0	1161504.0	1603929.0	1558969.0	1319192.0	1175630.0	1811023.0	1356387.0	1468449.0	1972030.0	1608523.0	1901712.0	1748191.0	1687183.0	1980229.0	1616750.0	1833389.0	2156789.0	1171669.0	1282133.0	1988920.0
LouisS_2016__AS68_3__bin.12	1150114.0	1057692.0	1225565.0	1108048.0	953554.0	1041033.0	1080897.0	1014277.0	1106314.0	1213694.0	1019435.0	801044.0	873309.0	1203884.0	1180529.0	1116815.0	1169474.0	720243.0	1188762.0	962446.0	1034206.0	1172784.0	1141550.0	699698.0	992249.0	989825.0	819088.0	731188.0	1097158.0	847409.0	886758.0	1172817.0	1006234.0	1172385.0	1077801.0	1056352.0	1217105.0	1013335.0	1130459.0	1171669.0	1274063.0	807068.0	1201941.0
CosteaPI_2017__SID713A089-11-90-0__bin.16	1268163.0	1141374.0	1351614.0	1226113.0	1030652.0	1131873.0	1196981.0	1102381.0	1194588.0	1333932.0	1095880.0	893421.0	1003822.0	1329725.0	1314212.0	1216898.0	1273823.0	830487.0	1292482.0	997403.0	1159603.0	1286319.0	1234745.0	804060.0	1133900.0	1111293.0	857429.0	820344.0	1205198.0	941363.0	1013241.0	1287459.0	1129378.0	1274350.0	1166107.0	1192012.0	1344788.0	1072754.0	1199347.0	1282133.0	807068.0	1422565.0	1300787.0
GeversD_2014__SKBSTL024__bin.3	1938132.0	1715783.0	2041219.0	1880399.0	1615400.0	1691175.0	1817937.0	1686992.0	1846523.0	2069837.0	1652454.0	1323319.0	1445953.0	2074074.0	2064150.0	1821510.0	2004372.0	1192312.0	2008519.0	1564322.0	1769466.0	2002746.0	1923462.0	1186675.0	1643667.0	1599715.0	1326593.0	1203056.0	1852292.0	1374969.0	1542305.0	2050125.0	1631324.0	1962262.0	1822969.0	1725127.0	2057107.0	1704056.0	1883298.0	1988920.0	1201941.0	1300787.0	2259720.0
