	RaymondF_2016__P7C0__bin.11	LiuW_2016__SRR3993037__bin.47	XieH_2016__YSZC12003_36439__bin.51	HMP_2012__SRS020328__bin.53	Bengtsson-PalmeJ_2015__TRAVELRES6__bin.8	KarlssonFH_2013__S436__bin.55	XieH_2016__YSZC12003_37203__bin.31	ZellerG_2014__CCMD86114146ST-21-0__bin.27	XieH_2016__YSZC12003_37233__bin.20	XieH_2016__YSZC12003_37255__bin.77	YuJ_2015__SZAXPI003420-4__bin.57	FengQ_2015__SID31884__bin.16	LiuW_2016__SRR3993044__bin.88	FengQ_2015__SID530743__bin.16	LiJ_2014__MH0309__bin.18	YuJ_2015__SZAXPI003409-8__bin.78	XieH_2016__YSZC12003_35740__bin.47	XieH_2016__YSZC12003_36666__bin.33	LiJ_2014__MH0336__bin.21	Bengtsson-PalmeJ_2015__TRAVELRES9__bin.47	ZellerG_2014__CCIS78318719ST-4-0__bin.8	Obregon-TitoAJ_2015__SM11__bin.32	Bengtsson-PalmeJ_2015__TRAVELRES36__bin.48	LiJ_2014__MH0338__bin.14	KarlssonFH_2013__S193__bin.14	HMP_2012__SRS049959__bin.10	LeChatelierE_2013__MH0450__bin.33	XieH_2016__YSZC12003_36033__bin.7	RaymondF_2016__P7C7__bin.27	XieH_2016__YSZC12003_37830__bin.66	QinJ_2012__CON-073__bin.10	XieH_2016__YSZC12003_35734__bin.27	NielsenHB_2014__V1_UC43_0__bin.23	HMP_2012__SRS011084__bin.63	HMP_2012__SRS042628__bin.30
YuJ_2015__SZAXPI003420-4__bin.57	1180010.0	789555.0	1012171.0	1120875.0	1000610.0	1176311.0	1179458.0	1065651.0	823458.0	1158386.0	1241450.0	1181279.0	664651.0	1048269.0	1100140.0	994719.0	1198391.0	803568.0	1188873.0	1074721.0	904579.0	1197180.0	1142094.0	1140030.0	758115.0	1172141.0	1197715.0	835525.0	1208515.0	709273.0	1194645.0	1200930.0	864508.0	1206649.0	1105040.0
FengQ_2015__SID31884__bin.16	1898600.0	1192487.0	1615970.0	1761477.0	1548508.0	1906034.0	1900085.0	1707576.0	1305105.0	1921822.0	1181279.0	2081009.0	1045411.0	1599005.0	1777846.0	1578047.0	1975467.0	1301678.0	1952700.0	1690717.0	1400091.0	1957418.0	1901250.0	1836599.0	1133692.0	1847867.0	1973743.0	1319493.0	1969566.0	1099923.0	1942809.0	1951351.0	1318747.0	1987727.0	1752491.0
LiuW_2016__SRR3993044__bin.88	1044384.0	830556.0	952778.0	982123.0	859895.0	1024028.0	1043664.0	931004.0	773555.0	1011091.0	664651.0	1045411.0	1093630.0	949692.0	994686.0	868454.0	1055076.0	790689.0	1039666.0	970659.0	874191.0	1054622.0	1005315.0	1011515.0	666823.0	985591.0	1048077.0	769411.0	1054642.0	705952.0	1049366.0	1045280.0	737162.0	1054107.0	983527.0
FengQ_2015__SID530743__bin.16	1589680.0	1078102.0	1414411.0	1505344.0	1328666.0	1557148.0	1597161.0	1436942.0	1134354.0	1574032.0	1048269.0	1599005.0	949692.0	1663806.0	1488342.0	1322380.0	1623302.0	1125154.0	1600653.0	1445788.0	1225609.0	1614454.0	1543424.0	1537926.0	985624.0	1562413.0	1615157.0	1153271.0	1621004.0	986474.0	1618249.0	1615628.0	1127823.0	1626827.0	1494385.0
LiJ_2014__MH0309__bin.18	1746150.0	1119549.0	1524494.0	1649235.0	1445536.0	1735069.0	1745345.0	1569346.0	1209293.0	1752403.0	1100140.0	1777846.0	994686.0	1488342.0	1876952.0	1462807.0	1798283.0	1210153.0	1777798.0	1589573.0	1318721.0	1787542.0	1719901.0	1683546.0	1074590.0	1682652.0	1804167.0	1224443.0	1787671.0	1042427.0	1771358.0	1773909.0	1244636.0	1792650.0	1624968.0
YuJ_2015__SZAXPI003409-8__bin.78	1537511.0	969940.0	1326746.0	1456406.0	1269054.0	1542497.0	1540921.0	1398894.0	1079340.0	1546095.0	994719.0	1578047.0	868454.0	1322380.0	1462807.0	1668525.0	1580594.0	1078350.0	1571035.0	1388756.0	1162923.0	1585954.0	1518043.0	1507907.0	937780.0	1495675.0	1581904.0	1094279.0	1582285.0	923464.0	1582903.0	1590612.0	1139503.0	1594476.0	1429220.0
XieH_2016__YSZC12003_35740__bin.47	1922099.0	1206629.0	1634889.0	1787245.0	1579798.0	1925059.0	1915493.0	1723151.0	1322659.0	1943342.0	1198391.0	1975467.0	1055076.0	1623302.0	1798283.0	1580594.0	2147587.0	1341552.0	1984746.0	1710693.0	1414986.0	1973217.0	1911424.0	1857595.0	1149194.0	1875551.0	2003834.0	1331930.0	1989290.0	1117543.0	1964475.0	1982249.0	1335650.0	2009797.0	1789966.0
XieH_2016__YSZC12003_36666__bin.33	1298589.0	877161.0	1132331.0	1205872.0	1093267.0	1302050.0	1284953.0	1139187.0	936508.0	1277392.0	803568.0	1301678.0	790689.0	1125154.0	1210153.0	1078350.0	1341552.0	1435254.0	1331734.0	1163161.0	994702.0	1336399.0	1264688.0	1243264.0	788415.0	1235423.0	1315838.0	954899.0	1334804.0	836637.0	1338211.0	1349097.0	883730.0	1339800.0	1190169.0
LiJ_2014__MH0336__bin.21	1921583.0	1190079.0	1630404.0	1773323.0	1564920.0	1998327.0	1932485.0	1701915.0	1326740.0	1920565.0	1188873.0	1952700.0	1039666.0	1600653.0	1777798.0	1571035.0	1984746.0	1331734.0	2179104.0	1703124.0	1403607.0	1970387.0	1892469.0	1868613.0	1158210.0	1864383.0	1990804.0	1320521.0	1990150.0	1106738.0	1943988.0	1968087.0	1330373.0	1979567.0	1763661.0
Bengtsson-PalmeJ_2015__TRAVELRES9__bin.47	1677506.0	1105491.0	1484752.0	1603462.0	1385765.0	1663682.0	1683023.0	1519267.0	1186346.0	1664090.0	1074721.0	1690717.0	970659.0	1445788.0	1589573.0	1388756.0	1710693.0	1163161.0	1703124.0	1776232.0	1299276.0	1715404.0	1636896.0	1643072.0	1040061.0	1632403.0	1711155.0	1194594.0	1715244.0	1012269.0	1694688.0	1711692.0	1218984.0	1719744.0	1581853.0
ZellerG_2014__CCIS78318719ST-4-0__bin.8	1407825.0	1001687.0	1254350.0	1307978.0	1153803.0	1386785.0	1386949.0	1270440.0	1012283.0	1364813.0	904579.0	1400091.0	874191.0	1225609.0	1318721.0	1162923.0	1414986.0	994702.0	1403607.0	1299276.0	1450047.0	1415798.0	1346174.0	1335402.0	912709.0	1338119.0	1403210.0	1026485.0	1419901.0	892174.0	1404119.0	1404199.0	995160.0	1419464.0	1295511.0
Obregon-TitoAJ_2015__SM11__bin.32	1935221.0	1204238.0	1637834.0	1776588.0	1575733.0	1922130.0	1948726.0	1708438.0	1332115.0	1933967.0	1197180.0	1957418.0	1054622.0	1614454.0	1787542.0	1585954.0	1973217.0	1336399.0	1970387.0	1715404.0	1415798.0	2127867.0	1921435.0	1854694.0	1143597.0	1881625.0	1988073.0	1318324.0	2013467.0	1114794.0	1989861.0	1965191.0	1334420.0	2003475.0	1784776.0
Bengtsson-PalmeJ_2015__TRAVELRES36__bin.48	1830925.0	1134146.0	1548441.0	1712463.0	1489605.0	1865197.0	1853659.0	1651235.0	1267707.0	1900502.0	1142094.0	1901250.0	1005315.0	1543424.0	1719901.0	1518043.0	1911424.0	1264688.0	1892469.0	1636896.0	1346174.0	1921435.0	2114018.0	1779966.0	1090557.0	1790671.0	1943938.0	1269379.0	1915962.0	1065986.0	1901845.0	1898997.0	1274467.0	1932742.0	1748252.0
LiJ_2014__MH0338__bin.14	1810145.0	1145510.0	1588935.0	1709598.0	1476271.0	1807594.0	1816534.0	1632094.0	1261843.0	1820484.0	1140030.0	1836599.0	1011515.0	1537926.0	1683546.0	1507907.0	1857595.0	1243264.0	1868613.0	1643072.0	1335402.0	1854694.0	1779966.0	1968542.0	1080463.0	1756809.0	1859074.0	1259697.0	1874463.0	1074253.0	1843412.0	1865605.0	1292082.0	1858329.0	1682634.0
KarlssonFH_2013__S193__bin.14	1122022.0	783612.0	998373.0	1065567.0	921964.0	1134188.0	1122413.0	1042797.0	819150.0	1106238.0	758115.0	1133692.0	666823.0	985624.0	1074590.0	937780.0	1149194.0	788415.0	1158210.0	1040061.0	912709.0	1143597.0	1090557.0	1080463.0	1176195.0	1080877.0	1143350.0	847368.0	1139044.0	706142.0	1132781.0	1138316.0	812062.0	1143986.0	1057671.0
HMP_2012__SRS049959__bin.10	1814526.0	1150017.0	1551717.0	1701903.0	1539698.0	1813062.0	1842940.0	1629205.0	1255473.0	1834262.0	1172141.0	1847867.0	985591.0	1562413.0	1682652.0	1495675.0	1875551.0	1235423.0	1864383.0	1632403.0	1338119.0	1881625.0	1790671.0	1756809.0	1080877.0	1980904.0	1878744.0	1240984.0	1890180.0	1050863.0	1879004.0	1882839.0	1278659.0	1904742.0	1714874.0
LeChatelierE_2013__MH0450__bin.33	1914930.0	1201384.0	1630575.0	1777542.0	1567447.0	1953417.0	1942436.0	1728328.0	1315053.0	1959213.0	1197715.0	1973743.0	1048077.0	1615157.0	1804167.0	1581904.0	2003834.0	1315838.0	1990804.0	1711155.0	1403210.0	1988073.0	1943938.0	1859074.0	1143350.0	1878744.0	2172433.0	1319272.0	1998852.0	1110960.0	1955567.0	1983068.0	1328059.0	2003899.0	1791223.0
XieH_2016__YSZC12003_36033__bin.7	1302351.0	902529.0	1177790.0	1223878.0	1075518.0	1312341.0	1297577.0	1211647.0	966331.0	1283412.0	835525.0	1319493.0	769411.0	1153271.0	1224443.0	1094279.0	1331930.0	954899.0	1320521.0	1194594.0	1026485.0	1318324.0	1269379.0	1259697.0	847368.0	1240984.0	1319272.0	1370952.0	1308274.0	828555.0	1303946.0	1314007.0	936278.0	1323328.0	1220810.0
RaymondF_2016__P7C7__bin.27	2038339.0	1196203.0	1641483.0	1779240.0	1579957.0	1949064.0	1970667.0	1722107.0	1346275.0	1939680.0	1208515.0	1969566.0	1054642.0	1621004.0	1787671.0	1582285.0	1989290.0	1334804.0	1990150.0	1715244.0	1419901.0	2013467.0	1915962.0	1874463.0	1139044.0	1890180.0	1998852.0	1308274.0	2168286.0	1121995.0	1991258.0	1986642.0	1335484.0	2001280.0	1781738.0
XieH_2016__YSZC12003_37830__bin.66	1108900.0	794896.0	998337.0	1046129.0	915244.0	1091805.0	1094979.0	996833.0	816193.0	1084648.0	709273.0	1099923.0	705952.0	986474.0	1042427.0	923464.0	1117543.0	836637.0	1106738.0	1012269.0	892174.0	1114794.0	1065986.0	1074253.0	706142.0	1050863.0	1110960.0	828555.0	1121995.0	1143858.0	1110826.0	1109913.0	806045.0	1117356.0	1036794.0
QinJ_2012__CON-073__bin.10	1911625.0	1199496.0	1630788.0	1774070.0	1568281.0	1893077.0	1935957.0	1698647.0	1315938.0	1923334.0	1194645.0	1942809.0	1049366.0	1618249.0	1771358.0	1582903.0	1964475.0	1338211.0	1943988.0	1694688.0	1404119.0	1989861.0	1901845.0	1843412.0	1132781.0	1879004.0	1955567.0	1303946.0	1991258.0	1110826.0	2081317.0	1952982.0	1326795.0	1979666.0	1779688.0
XieH_2016__YSZC12003_35734__bin.27	1916094.0	1200519.0	1627293.0	1782271.0	1573717.0	1907974.0	1921582.0	1707859.0	1312110.0	1950485.0	1200930.0	1951351.0	1045280.0	1615628.0	1773909.0	1590612.0	1982249.0	1349097.0	1968087.0	1711692.0	1404199.0	1965191.0	1898997.0	1865605.0	1138316.0	1882839.0	1983068.0	1314007.0	1986642.0	1109913.0	1952982.0	2134689.0	1321423.0	1997071.0	1789347.0
NielsenHB_2014__V1_UC43_0__bin.23	1298303.0	835067.0	1162031.0	1266817.0	1091223.0	1305302.0	1305788.0	1201986.0	920184.0	1292922.0	864508.0	1318747.0	737162.0	1127823.0	1244636.0	1139503.0	1335650.0	883730.0	1330373.0	1218984.0	995160.0	1334420.0	1274467.0	1292082.0	812062.0	1278659.0	1328059.0	936278.0	1335484.0	806045.0	1326795.0	1321423.0	1370109.0	1327661.0	1230477.0
HMP_2012__SRS011084__bin.63	1933247.0	1203987.0	1632013.0	1790055.0	1599240.0	1926545.0	1935838.0	1721138.0	1329897.0	1943367.0	1206649.0	1987727.0	1054107.0	1626827.0	1792650.0	1594476.0	2009797.0	1339800.0	1979567.0	1719744.0	1419464.0	2003475.0	1932742.0	1858329.0	1143986.0	1904742.0	2003899.0	1323328.0	2001280.0	1117356.0	1979666.0	1997071.0	1327661.0	2168378.0	1799383.0
HMP_2012__SRS042628__bin.30	1732382.0	1118806.0	1518333.0	1658079.0	1429132.0	1717970.0	1768009.0	1565064.0	1226793.0	1748042.0	1105040.0	1752491.0	983527.0	1494385.0	1624968.0	1429220.0	1789966.0	1190169.0	1763661.0	1581853.0	1295511.0	1784776.0	1748252.0	1682634.0	1057671.0	1714874.0	1791223.0	1220810.0	1781738.0	1036794.0	1779688.0	1789347.0	1230477.0	1799383.0	1860444.0
