	RaymondF_2016__P7C0__bin.11	LiuW_2016__SRR3993037__bin.47	XieH_2016__YSZC12003_36439__bin.51	HMP_2012__SRS020328__bin.53	Bengtsson-PalmeJ_2015__TRAVELRES6__bin.8	KarlssonFH_2013__S436__bin.55	XieH_2016__YSZC12003_37203__bin.31	ZellerG_2014__CCMD86114146ST-21-0__bin.27	XieH_2016__YSZC12003_37233__bin.20	XieH_2016__YSZC12003_37255__bin.77	YuJ_2015__SZAXPI003420-4__bin.57	FengQ_2015__SID31884__bin.16	LiuW_2016__SRR3993044__bin.88	FengQ_2015__SID530743__bin.16	LiJ_2014__MH0309__bin.18	YuJ_2015__SZAXPI003409-8__bin.78	XieH_2016__YSZC12003_35740__bin.47	XieH_2016__YSZC12003_36666__bin.33	LiJ_2014__MH0336__bin.21	Bengtsson-PalmeJ_2015__TRAVELRES9__bin.47	ZellerG_2014__CCIS78318719ST-4-0__bin.8	Obregon-TitoAJ_2015__SM11__bin.32	Bengtsson-PalmeJ_2015__TRAVELRES36__bin.48	LiJ_2014__MH0338__bin.14	KarlssonFH_2013__S193__bin.14	HMP_2012__SRS049959__bin.10	LeChatelierE_2013__MH0450__bin.33	XieH_2016__YSZC12003_36033__bin.7	RaymondF_2016__P7C7__bin.27	XieH_2016__YSZC12003_37830__bin.66	QinJ_2012__CON-073__bin.10	XieH_2016__YSZC12003_35734__bin.27	NielsenHB_2014__V1_UC43_0__bin.23	HMP_2012__SRS011084__bin.63	HMP_2012__SRS042628__bin.30
YuJ_2015__SZAXPI003420-4__bin.57	15749.0	12236.0	15753.0	16533.0	8075.0	17769.0	15462.0	16706.0	11352.0	17861.0	0.0	18313.0	9768.0	7370.0	17220.0	14046.0	17812.0	11143.0	18402.0	16355.0	11891.0	17716.0	18446.0	17853.0	11547.0	3846.0	17466.0	13503.0	16111.0	11096.0	17249.0	18014.0	13210.0	18420.0	16311.0
FengQ_2015__SID31884__bin.16	28394.0	19831.0	24791.0	25759.0	23776.0	27498.0	29332.0	24727.0	20034.0	28303.0	18313.0	0.0	15793.0	25090.0	25813.0	24154.0	28798.0	19807.0	28239.0	25191.0	20130.0	28994.0	29871.0	28452.0	16133.0	27686.0	28071.0	21088.0	29744.0	16189.0	29872.0	28464.0	20013.0	24730.0	24689.0
LiuW_2016__SRR3993044__bin.88	14867.0	12840.0	14758.0	13959.0	12240.0	15434.0	14799.0	14456.0	11903.0	15385.0	9768.0	15793.0	0.0	13715.0	15369.0	12148.0	16445.0	10647.0	15778.0	14418.0	12172.0	15382.0	15639.0	15681.0	9811.0	13311.0	15587.0	12580.0	14878.0	10949.0	13811.0	15483.0	11168.0	15361.0	14305.0
FengQ_2015__SID530743__bin.16	20383.0	16667.0	22496.0	22686.0	8085.0	23994.0	20160.0	22763.0	16001.0	24290.0	7370.0	25090.0	13715.0	0.0	23325.0	19900.0	25173.0	16044.0	25598.0	22247.0	15320.0	23698.0	24295.0	24468.0	15222.0	11053.0	24774.0	18627.0	20918.0	15120.0	23887.0	24762.0	16854.0	24928.0	22138.0
LiJ_2014__MH0309__bin.18	26805.0	19079.0	22989.0	23584.0	22938.0	24794.0	26957.0	22819.0	18905.0	24976.0	17220.0	25813.0	15369.0	23325.0	0.0	22812.0	27061.0	17738.0	25721.0	23252.0	19152.0	26890.0	26484.0	25338.0	14576.0	25573.0	21931.0	18908.0	27272.0	15513.0	27183.0	25846.0	18751.0	26667.0	22338.0
YuJ_2015__SZAXPI003409-8__bin.78	22313.0	14412.0	20402.0	21255.0	18944.0	23754.0	22658.0	21639.0	16275.0	22905.0	14046.0	24154.0	12148.0	19900.0	22812.0	0.0	25007.0	4335.0	24148.0	20530.0	15952.0	23289.0	24197.0	23205.0	13872.0	19791.0	23629.0	17933.0	22991.0	13692.0	22702.0	24083.0	17004.0	23653.0	20902.0
XieH_2016__YSZC12003_35740__bin.47	29856.0	20062.0	25350.0	26362.0	24416.0	27540.0	30830.0	26233.0	20962.0	29390.0	17812.0	28798.0	16445.0	25173.0	27061.0	25007.0	0.0	21766.0	28653.0	25481.0	20542.0	29797.0	30270.0	28777.0	15566.0	27941.0	28707.0	20679.0	31170.0	16680.0	29939.0	29548.0	20483.0	29835.0	25797.0
XieH_2016__YSZC12003_36666__bin.33	18696.0	12361.0	17506.0	17624.0	15669.0	19770.0	19711.0	16767.0	14440.0	19260.0	11143.0	19807.0	10647.0	16044.0	17738.0	4335.0	21766.0	0.0	20802.0	17133.0	13070.0	20123.0	19536.0	19183.0	11210.0	16363.0	19373.0	15263.0	19585.0	11822.0	18150.0	20265.0	13568.0	20541.0	17897.0
LiJ_2014__MH0336__bin.21	29312.0	19746.0	24569.0	25377.0	24349.0	10976.0	30535.0	24784.0	20812.0	27053.0	18402.0	28239.0	15778.0	25598.0	25721.0	24148.0	28653.0	20802.0	0.0	24709.0	20336.0	29239.0	29396.0	27891.0	1678.0	28408.0	28988.0	20864.0	30706.0	15965.0	29183.0	26502.0	19895.0	28532.0	24464.0
Bengtsson-PalmeJ_2015__TRAVELRES9__bin.47	24594.0	18081.0	10480.0	4515.0	21025.0	24385.0	24950.0	22917.0	17447.0	23041.0	16355.0	25191.0	14418.0	22247.0	23252.0	20530.0	25481.0	17133.0	24709.0	0.0	18255.0	24268.0	23947.0	8780.0	14699.0	24102.0	23052.0	18739.0	25271.0	12853.0	25356.0	25463.0	4725.0	24680.0	19065.0
ZellerG_2014__CCIS78318719ST-4-0__bin.8	14815.0	14922.0	17984.0	17688.0	14420.0	20033.0	16663.0	18618.0	11955.0	19250.0	11891.0	20130.0	12172.0	15320.0	19152.0	15952.0	20542.0	13070.0	20336.0	18255.0	0.0	19894.0	19581.0	19164.0	13170.0	16836.0	19799.0	15540.0	14945.0	13224.0	18896.0	20432.0	14178.0	19982.0	17560.0
Obregon-TitoAJ_2015__SM11__bin.32	29163.0	19717.0	23870.0	24433.0	23545.0	28540.0	29166.0	25011.0	19967.0	28594.0	17716.0	28994.0	15382.0	23698.0	26890.0	23289.0	29797.0	20123.0	29239.0	24268.0	19894.0	0.0	28871.0	27055.0	16064.0	27339.0	28155.0	20786.0	30380.0	15558.0	29466.0	29134.0	18846.0	29411.0	24232.0
Bengtsson-PalmeJ_2015__TRAVELRES36__bin.48	28712.0	19174.0	24441.0	24831.0	23862.0	29004.0	29616.0	25707.0	20310.0	29767.0	18446.0	29871.0	15639.0	24295.0	26484.0	24197.0	30270.0	19536.0	29396.0	23947.0	19581.0	28871.0	0.0	27474.0	16099.0	27659.0	29982.0	21376.0	30373.0	16153.0	29566.0	30035.0	19886.0	31733.0	25235.0
LiJ_2014__MH0338__bin.14	28046.0	18882.0	12224.0	10164.0	23291.0	26952.0	28573.0	24982.0	19997.0	26450.0	17853.0	28452.0	15681.0	24468.0	25338.0	23205.0	28777.0	19183.0	27891.0	8780.0	19164.0	27055.0	27474.0	0.0	15297.0	27102.0	26304.0	18635.0	28897.0	14016.0	28198.0	28620.0	9173.0	28084.0	19504.0
KarlssonFH_2013__S193__bin.14	16388.0	12396.0	14372.0	14672.0	13712.0	6307.0	16770.0	14841.0	12593.0	15254.0	11547.0	16133.0	9811.0	15222.0	14576.0	13872.0	15566.0	11210.0	1678.0	14699.0	13170.0	16064.0	16099.0	15297.0	0.0	16005.0	15471.0	12727.0	16849.0	10101.0	16215.0	14721.0	11728.0	16096.0	14295.0
HMP_2012__SRS049959__bin.10	23277.0	16617.0	23072.0	24251.0	11566.0	26985.0	23800.0	24759.0	17344.0	27044.0	3846.0	27686.0	13311.0	11053.0	25573.0	19791.0	27941.0	16363.0	28408.0	24102.0	16836.0	27339.0	27659.0	27102.0	16005.0	0.0	27062.0	19335.0	24610.0	15506.0	25872.0	27300.0	18015.0	28712.0	24214.0
LeChatelierE_2013__MH0450__bin.33	27960.0	19515.0	23851.0	23607.0	22658.0	27685.0	29273.0	25720.0	19896.0	26897.0	17466.0	28071.0	15587.0	24774.0	21931.0	23629.0	28707.0	19373.0	28988.0	23052.0	19799.0	28155.0	29982.0	26304.0	15471.0	27062.0	0.0	19897.0	29813.0	15861.0	28868.0	28457.0	18806.0	27980.0	23852.0
XieH_2016__YSZC12003_36033__bin.7	20395.0	15590.0	18846.0	19050.0	16959.0	20162.0	21088.0	19766.0	15962.0	19785.0	13503.0	21088.0	12580.0	18627.0	18908.0	17933.0	20679.0	15263.0	20864.0	18739.0	15540.0	20786.0	21376.0	18635.0	12727.0	19335.0	19897.0	0.0	20776.0	12525.0	21003.0	20934.0	15756.0	21003.0	17588.0
RaymondF_2016__P7C7__bin.27	495.0	18338.0	25252.0	25533.0	20100.0	29117.0	24718.0	26588.0	16438.0	29547.0	16111.0	29744.0	14878.0	20918.0	27272.0	22991.0	31170.0	19585.0	30706.0	25271.0	14945.0	30380.0	30373.0	28897.0	16849.0	24610.0	29813.0	20776.0	0.0	16702.0	28357.0	30189.0	20086.0	31033.0	25315.0
XieH_2016__YSZC12003_37830__bin.66	16763.0	13123.0	13527.0	12807.0	14446.0	15782.0	16755.0	15510.0	12809.0	14600.0	11096.0	16189.0	10949.0	15120.0	15513.0	13692.0	16680.0	11822.0	15965.0	12853.0	13224.0	15558.0	16153.0	14016.0	10101.0	15506.0	15861.0	12525.0	16702.0	0.0	16873.0	16068.0	11167.0	16436.0	8704.0
QinJ_2012__CON-073__bin.10	27050.0	18431.0	25191.0	26093.0	22344.0	27682.0	28745.0	25710.0	19713.0	28945.0	17249.0	29872.0	13811.0	23887.0	27183.0	22702.0	29939.0	18150.0	29183.0	25356.0	18896.0	29466.0	29566.0	28198.0	16215.0	25872.0	28868.0	21003.0	28357.0	16873.0	0.0	29006.0	20960.0	30133.0	25865.0
XieH_2016__YSZC12003_35734__bin.27	28931.0	19313.0	25059.0	25621.0	23836.0	25505.0	29391.0	24975.0	20113.0	27856.0	18014.0	28464.0	15483.0	24762.0	25846.0	24083.0	29548.0	20265.0	26502.0	25463.0	20432.0	29134.0	30035.0	28620.0	14721.0	27300.0	28457.0	20934.0	30189.0	16068.0	29006.0	0.0	20005.0	29049.0	24598.0
NielsenHB_2014__V1_UC43_0__bin.23	19514.0	14268.0	9636.0	5997.0	16081.0	19834.0	20049.0	18142.0	13856.0	18402.0	13210.0	20013.0	11168.0	16854.0	18751.0	17004.0	20483.0	13568.0	19895.0	4725.0	14178.0	18846.0	19886.0	9173.0	11728.0	18015.0	18806.0	15756.0	20086.0	11167.0	20960.0	20005.0	0.0	19731.0	15814.0
HMP_2012__SRS011084__bin.63	29926.0	19830.0	24185.0	25642.0	24261.0	27942.0	30419.0	24703.0	20159.0	27949.0	18420.0	24730.0	15361.0	24928.0	26667.0	23653.0	29835.0	20541.0	28532.0	24680.0	19982.0	29411.0	31733.0	28084.0	16096.0	28712.0	27980.0	21003.0	31033.0	16436.0	30133.0	29049.0	19731.0	0.0	25072.0
HMP_2012__SRS042628__bin.30	24511.0	18041.0	19399.0	19502.0	21075.0	24175.0	26064.0	22709.0	18072.0	22153.0	16311.0	24689.0	14305.0	22138.0	22338.0	20902.0	25797.0	17897.0	24464.0	19065.0	17560.0	24232.0	25235.0	19504.0	14295.0	24214.0	23852.0	17588.0	25315.0	8704.0	25865.0	24598.0	15814.0	25072.0	0.0
