	HMP_2012__SRS019071__bin.37	HMP_2012__SRS024649__bin.14	HMP_2012__SRS018443__bin.23	CM_periimplantitis__SP_189SPI_T016__bin.35	HMP_2012__SRS013705__bin.45	HMP_2012__SRS018157__bin.39	HMP_2012__SRS020226__bin.26	HMP_2012__SRS017691__bin.57	HMP_2012__SRS058808__bin.43	HMP_2012__SRS013170__bin.68	HMP_2012__SRS052876__bin.4	HMP_2012__SRS024355__bin.2	HMP_2012__SRS065099__bin.33	HMP_2012__SRS018300__bin.68	HMP_2012__SRS024561__bin.8	HMP_2012__SRS019028__bin.19	HMP_2012__SRS011098__bin.16	HMP_2012__SRS015989__bin.10	CM_periimplantitis__SP_105SPI_T016__bin.10	CM_periimplantitis__SP_191SPI_T016__bin.13	CM_periimplantitis__SP_122SPI_T016__bin.1	HMP_2012__SRS016575__bin.20	HMP_2012__SRS017139__bin.43	HMP_2012__SRS051941__bin.26	HMP_2012__SRS043772__bin.7	HMP_2012__SRS013533__bin.26	HMP_2012__SRS055450__bin.7	CM_periimplantitis__SP_124SPI_T016__bin.13	HMP_2012__SRS063932__bin.46	HMP_2012__SRS015044__bin.48	HMP_2012__SRS016746__bin.46
HMP_2012__SRS052876__bin.4	43110.0	41473.0	55353.0	53655.0	63443.0	59319.0	60221.0	33145.0	49715.0	54583.0	0.0	62289.0	47678.0	24841.0	59840.0	55252.0	35847.0	59876.0	58224.0	52875.0	42141.0	62869.0	53575.0	36619.0	57695.0	58839.0	52366.0	62066.0	76674.0	55387.0	53521.0
HMP_2012__SRS024355__bin.2	46021.0	44800.0	56487.0	54933.0	64159.0	60867.0	63128.0	35061.0	54769.0	58684.0	62289.0	0.0	50690.0	27280.0	60793.0	57664.0	35220.0	61977.0	58650.0	28960.0	44253.0	64599.0	5738.0	38391.0	60230.0	64635.0	52679.0	65319.0	78295.0	59148.0	53382.0
HMP_2012__SRS065099__bin.33	37899.0	32185.0	45970.0	42949.0	51904.0	46486.0	49172.0	26270.0	45250.0	44207.0	47678.0	50690.0	0.0	21898.0	49254.0	46151.0	29174.0	46573.0	46763.0	43162.0	35248.0	50764.0	45103.0	34681.0	48135.0	48878.0	42365.0	47605.0	53439.0	45953.0	46114.0
HMP_2012__SRS018300__bin.68	10967.0	18793.0	22680.0	19754.0	21326.0	26056.0	24366.0	26492.0	20607.0	21074.0	24841.0	27280.0	21898.0	0.0	23465.0	24446.0	12421.0	23229.0	25734.0	22146.0	15021.0	23789.0	22528.0	15984.0	24898.0	25324.0	20909.0	26283.0	37687.0	23252.0	22179.0
HMP_2012__SRS024561__bin.8	44715.0	44011.0	55807.0	50788.0	60595.0	57714.0	61105.0	30681.0	51459.0	56629.0	59840.0	60793.0	49254.0	23465.0	0.0	58476.0	36460.0	58354.0	56660.0	52013.0	44105.0	60697.0	53347.0	39864.0	59883.0	59919.0	52599.0	61362.0	73711.0	55458.0	54724.0
HMP_2012__SRS019028__bin.19	40374.0	40974.0	52641.0	50273.0	58346.0	56209.0	56485.0	32051.0	49377.0	52116.0	55252.0	57664.0	46151.0	24446.0	58476.0	0.0	34562.0	55671.0	53671.0	47319.0	39468.0	57701.0	48774.0	34589.0	55496.0	57690.0	46314.0	59608.0	75572.0	52801.0	46795.0
HMP_2012__SRS011098__bin.16	29949.0	27527.0	35880.0	32952.0	37948.0	34806.0	35793.0	16387.0	34774.0	33569.0	35847.0	35220.0	29174.0	12421.0	36460.0	34562.0	0.0	35172.0	34786.0	33736.0	28000.0	36281.0	32655.0	26093.0	34712.0	37168.0	32407.0	38946.0	41472.0	35548.0	32637.0
HMP_2012__SRS015989__bin.10	44485.0	39994.0	54187.0	51162.0	62858.0	57258.0	59132.0	30176.0	49636.0	56319.0	59876.0	61977.0	46573.0	23229.0	58354.0	55671.0	35172.0	0.0	56937.0	52525.0	45220.0	60621.0	56391.0	38870.0	59658.0	59866.0	48364.0	60283.0	74398.0	56056.0	54041.0
CM_periimplantitis__SP_105SPI_T016__bin.10	41798.0	42186.0	53749.0	50933.0	61158.0	57936.0	58940.0	35494.0	51952.0	57180.0	58224.0	58650.0	46763.0	25734.0	56660.0	53671.0	34786.0	56937.0	0.0	49546.0	41668.0	58573.0	50211.0	34376.0	55857.0	60768.0	49631.0	62829.0	77027.0	54391.0	49848.0
CM_periimplantitis__SP_191SPI_T016__bin.13	39732.0	37721.0	50129.0	48596.0	54602.0	52267.0	53821.0	28090.0	48547.0	50605.0	52875.0	28960.0	43162.0	22146.0	52013.0	47319.0	33736.0	52525.0	49546.0	0.0	40144.0	56333.0	26489.0	34441.0	49974.0	52991.0	46902.0	56411.0	66242.0	49897.0	47149.0
CM_periimplantitis__SP_122SPI_T016__bin.1	31346.0	32371.0	40010.0	41985.0	45451.0	41191.0	42500.0	20656.0	37784.0	39507.0	42141.0	44253.0	35248.0	15021.0	44105.0	39468.0	28000.0	45220.0	41668.0	40144.0	0.0	45295.0	39357.0	27596.0	41390.0	44540.0	37355.0	46795.0	57446.0	40049.0	38010.0
HMP_2012__SRS016575__bin.20	44869.0	42045.0	56327.0	54600.0	63374.0	60352.0	61168.0	33933.0	49955.0	55712.0	62869.0	64599.0	50764.0	23789.0	60697.0	57701.0	36281.0	60621.0	58573.0	56333.0	45295.0	0.0	54829.0	38118.0	61522.0	60178.0	52256.0	60863.0	75871.0	53554.0	56522.0
HMP_2012__SRS017139__bin.43	42114.0	40557.0	52166.0	47699.0	56640.0	53681.0	54615.0	29590.0	49318.0	51947.0	53575.0	5738.0	45103.0	22528.0	53347.0	48774.0	32655.0	56391.0	50211.0	26489.0	39357.0	54829.0	0.0	35108.0	52461.0	55815.0	47743.0	57548.0	70920.0	52206.0	47846.0
HMP_2012__SRS051941__bin.26	31276.0	30065.0	36567.0	35775.0	41029.0	37832.0	16222.0	20609.0	32075.0	34209.0	36619.0	38391.0	34681.0	15984.0	39864.0	34589.0	26093.0	38870.0	34376.0	34441.0	27596.0	38118.0	35108.0	0.0	32088.0	34659.0	35984.0	40067.0	54840.0	32288.0	34409.0
HMP_2012__SRS043772__bin.7	45347.0	42250.0	54679.0	52344.0	62021.0	59623.0	58247.0	35597.0	50101.0	53622.0	57695.0	60230.0	48135.0	24898.0	59883.0	55496.0	34712.0	59658.0	55857.0	49974.0	41390.0	61522.0	52461.0	32088.0	0.0	59940.0	50976.0	63264.0	75947.0	53606.0	50032.0
HMP_2012__SRS013533__bin.26	43891.0	42919.0	55413.0	53627.0	62617.0	59330.0	56094.0	33267.0	43707.0	12107.0	58839.0	64635.0	48878.0	25324.0	59919.0	57690.0	37168.0	59866.0	60768.0	52991.0	44540.0	60178.0	55815.0	34659.0	59940.0	0.0	51716.0	61192.0	78247.0	49459.0	54305.0
HMP_2012__SRS055450__bin.7	39323.0	37764.0	47863.0	46577.0	54437.0	49315.0	51097.0	25544.0	45385.0	47107.0	52366.0	52679.0	42365.0	20909.0	52599.0	46314.0	32407.0	48364.0	49631.0	46902.0	37355.0	52256.0	47743.0	35984.0	50976.0	51716.0	0.0	53430.0	65798.0	47860.0	44307.0
CM_periimplantitis__SP_124SPI_T016__bin.13	44884.0	40796.0	52647.0	52499.0	65285.0	54874.0	62822.0	33012.0	52965.0	59183.0	62066.0	65319.0	47605.0	26283.0	61362.0	59608.0	38946.0	60283.0	62829.0	56411.0	46795.0	60863.0	57548.0	40067.0	63264.0	61192.0	53430.0	0.0	77294.0	57013.0	57899.0
HMP_2012__SRS063932__bin.46	56677.0	49262.0	67975.0	67242.0	76666.0	67312.0	76595.0	45258.0	69710.0	69520.0	76674.0	78295.0	53439.0	37687.0	73711.0	75572.0	41472.0	74398.0	77027.0	66242.0	57446.0	75871.0	70920.0	54840.0	75947.0	78247.0	65798.0	77294.0	0.0	73575.0	71375.0
HMP_2012__SRS015044__bin.48	41326.0	39859.0	52104.0	49886.0	57617.0	55661.0	51542.0	32622.0	42114.0	44678.0	55387.0	59148.0	45953.0	23252.0	55458.0	52801.0	35548.0	56056.0	54391.0	49897.0	40049.0	53554.0	52206.0	32288.0	53606.0	49459.0	47860.0	57013.0	73575.0	0.0	50988.0
HMP_2012__SRS016746__bin.46	40329.0	40889.0	50572.0	49317.0	55661.0	54357.0	53858.0	28208.0	50385.0	51795.0	53521.0	53382.0	46114.0	22179.0	54724.0	46795.0	32637.0	54041.0	49848.0	47149.0	38010.0	56522.0	47846.0	34409.0	50032.0	54305.0	44307.0	57899.0	71375.0	50988.0	0.0
