	ZeeviD_2015__PNP_Main_586__bin.39	YuJ_2015__SZAXPI015261-75__bin.23	NielsenHB_2014__MH0093__bin.7	CosteaPI_2017__halbarad-11-0-0__bin.28	LeChatelierE_2013__MH0093__bin.3	XieH_2016__YSZC12003_37348__bin.16	ZeeviD_2015__PNP_Main_506__bin.26	LeChatelierE_2013__MH0129__bin.41	LeChatelierE_2013__MH0288__bin.80	CosteaPI_2017__halbarad-11-773-0__bin.26	ZellerG_2014__MMPU68403337ST__bin.53	ZeeviD_2015__PNP_Main_304__bin.37	XieH_2016__YSZC12003_37204__bin.17	LeChatelierE_2013__MH0440__bin.73	NielsenHB_2014__V1_UC50_1__bin.69	QinJ_2012__T2D-099__bin.75	ZeeviD_2015__PNP_Main_226__bin.34	NielsenHB_2014__MH0004__bin.10	ZeeviD_2015__PNP_Main_261__bin.11	LeChatelierE_2013__MH0438__bin.46	CosteaPI_2017__halbarad-11-392-0__bin.44	CosteaPI_2017__halbarad-11-7-0__bin.2	ZeeviD_2015__PNP_Main_22__bin.34	LeChatelierE_2013__MH0125__bin.9	SchirmerM_2016__G88802__bin.17	ZellerG_2014__CCIS38765456ST-20-0__bin.4	XieH_2016__YSZC12003_35551__bin.42	NielsenHB_2014__V1_CD19_0__bin.21	NielsenHB_2014__O2_UC55_2__bin.28	ZeeviD_2015__PNP_Validation_7__bin.62	VogtmannE_2016__MMRS79893829ST-27-0-0__bin.10	LiJ_2014__V1.FI02__bin.5	LeChatelierE_2013__MH0004__bin.14	NielsenHB_2014__MH0129__bin.37	ChengpingW_2017__AS78raw__bin.58	NielsenHB_2014__MH0125__bin.30
XieH_2016__YSZC12003_37204__bin.17	1668131.0	1672663.0	1333011.0	1583964.0	1211264.0	1197866.0	1251137.0	1075922.0	1846018.0	1668138.0	1617198.0	1580398.0	2320269.0	1438654.0	1875059.0	1619614.0	1329178.0	1850962.0	1537725.0	1798602.0	1722727.0	1752017.0	1676391.0	1814993.0	1421111.0	1645374.0	1929569.0	1212727.0	1308553.0	1773117.0	1628941.0	1657659.0	1877635.0	1219265.0	1668180.0	1737237.0
LeChatelierE_2013__MH0440__bin.73	1688162.0	1754063.0	1336431.0	1604466.0	1219710.0	1123370.0	1329504.0	1075249.0	1880125.0	1831112.0	1827669.0	1738883.0	1438654.0	2495345.0	1923584.0	1748790.0	1441060.0	1831137.0	1474089.0	1870269.0	1791550.0	1852134.0	1784501.0	1892988.0	1647108.0	1610679.0	1893209.0	1136850.0	1343655.0	1879346.0	1693655.0	1800134.0	1840447.0	1178192.0	1734983.0	1811496.0
NielsenHB_2014__V1_UC50_1__bin.69	2624555.0	2534735.0	1669052.0	2336880.0	1821645.0	1910437.0	2086237.0	1715295.0	2708267.0	2225159.0	2140264.0	2269129.0	1875059.0	1923584.0	3360729.0	2287074.0	1807225.0	2661089.0	2232673.0	2560146.0	2579904.0	2681640.0	2426185.0	2808211.0	1935477.0	2386635.0	2757184.0	1936142.0	1718024.0	2754833.0	2482659.0	2237962.0	2783636.0	1560717.0	2503162.0	2398861.0
QinJ_2012__T2D-099__bin.75	2090058.0	2398910.0	1563536.0	2088287.0	1578174.0	1529769.0	1708091.0	1430508.0	2302976.0	2123884.0	1992320.0	2042740.0	1619614.0	1748790.0	2287074.0	2985750.0	1890735.0	2329845.0	1770888.0	2250794.0	2316304.0	2351854.0	2088630.0	2367302.0	1852735.0	1996185.0	2250877.0	1618839.0	1745248.0	2166257.0	2303811.0	2394311.0	2339488.0	1428156.0	2303515.0	2183442.0
ZeeviD_2015__PNP_Main_226__bin.34	1642146.0	1860681.0	1456757.0	1558363.0	1242852.0	1171909.0	1273951.0	1073291.0	1809145.0	1663534.0	1603356.0	1623835.0	1329178.0	1441060.0	1807225.0	1890735.0	2847455.0	1798882.0	1413918.0	1777540.0	1809870.0	1844318.0	1666936.0	1871226.0	1599882.0	1586032.0	1784297.0	1209693.0	1415005.0	1721109.0	1791838.0	1841970.0	1827033.0	1324990.0	1777886.0	1783091.0
NielsenHB_2014__MH0004__bin.10	2469251.0	2449428.0	1702044.0	2278556.0	1774036.0	1827593.0	1895165.0	1622349.0	2694799.0	2217059.0	2120062.0	2160679.0	1850962.0	1831137.0	2661089.0	2329845.0	1798882.0	3503523.0	2100395.0	2482228.0	2506945.0	2566240.0	2362561.0	2629408.0	1867704.0	2247813.0	2626227.0	1806655.0	1763764.0	2505134.0	2404811.0	2299173.0	3379515.0	1540249.0	2421509.0	2330022.0
ZeeviD_2015__PNP_Main_261__bin.11	2180839.0	2001826.0	1249970.0	1860301.0	1575292.0	1643823.0	1770128.0	1493647.0	2095435.0	1742377.0	1673672.0	1861870.0	1537725.0	1474089.0	2232673.0	1770888.0	1413918.0	2100395.0	2632455.0	2023787.0	2016149.0	2089123.0	1948512.0	2117301.0	1431009.0	1987565.0	2164076.0	1683038.0	1437983.0	2162152.0	2015362.0	1735717.0	2184639.0	1193429.0	2021049.0	1871651.0
LeChatelierE_2013__MH0438__bin.46	2338513.0	2279372.0	1643178.0	2156759.0	1647559.0	1745819.0	1827714.0	1531839.0	2529078.0	2145894.0	2010326.0	2155867.0	1798602.0	1870269.0	2560146.0	2250794.0	1777540.0	2482228.0	2023787.0	3110714.0	2363532.0	2435232.0	2277714.0	2556257.0	1909045.0	2194855.0	2507009.0	1692661.0	1668544.0	2444214.0	2272865.0	2171118.0	2553146.0	1590590.0	2290112.0	2314937.0
CosteaPI_2017__halbarad-11-392-0__bin.44	2400603.0	2531140.0	1596306.0	2681074.0	1713176.0	1766211.0	1876849.0	1587354.0	2497108.0	2663773.0	2583248.0	2151715.0	1722727.0	1791550.0	2579904.0	2316304.0	1809870.0	2506945.0	2016149.0	2363532.0	3197848.0	3168384.0	2322938.0	2577879.0	1828488.0	2222510.0	2569283.0	1861318.0	1701515.0	2486455.0	2404678.0	2203186.0	2594823.0	1457395.0	2535035.0	2246721.0
CosteaPI_2017__halbarad-11-7-0__bin.2	2500930.0	2601732.0	1616453.0	2782949.0	1765974.0	1850273.0	1969806.0	1647007.0	2594938.0	2774476.0	2690059.0	2212189.0	1752017.0	1852134.0	2681640.0	2351854.0	1844318.0	2566240.0	2089123.0	2435232.0	3168384.0	3410500.0	2380770.0	2643622.0	1884003.0	2306312.0	2644551.0	1920169.0	1748967.0	2594215.0	2492214.0	2300399.0	2692634.0	1486672.0	2646729.0	2281800.0
ZeeviD_2015__PNP_Main_22__bin.34	2268735.0	2218845.0	1565017.0	2076739.0	1626506.0	1656681.0	1711967.0	1505735.0	2358610.0	2077760.0	2002672.0	2023776.0	1676391.0	1784501.0	2426185.0	2088630.0	1666936.0	2362561.0	1948512.0	2277714.0	2322938.0	2380770.0	2937228.0	2448703.0	1869507.0	2026901.0	2414712.0	1588508.0	1631881.0	2343445.0	2102381.0	1946151.0	2416999.0	1471146.0	2186708.0	2212655.0
LeChatelierE_2013__MH0125__bin.9	2529054.0	2548620.0	1730271.0	2316678.0	1841446.0	1871310.0	1985704.0	1679574.0	2678298.0	2214569.0	2139387.0	2298951.0	1814993.0	1892988.0	2808211.0	2367302.0	1871226.0	2629408.0	2117301.0	2556257.0	2577879.0	2643622.0	2448703.0	3398938.0	1958958.0	2367471.0	2691821.0	1864172.0	1787141.0	2608776.0	2516900.0	2284408.0	2718741.0	1597675.0	2516980.0	2825125.0
SchirmerM_2016__G88802__bin.17	1691617.0	1776816.0	1496596.0	1624490.0	1241905.0	1189180.0	1399917.0	1114785.0	1885397.0	1757923.0	1686886.0	1781943.0	1421111.0	1647108.0	1935477.0	1852735.0	1599882.0	1867704.0	1431009.0	1909045.0	1828488.0	1884003.0	1869507.0	1958958.0	2578046.0	1601602.0	1927968.0	1170649.0	1375401.0	1860303.0	1728214.0	1734065.0	1905858.0	1348646.0	1727986.0	1872214.0
ZellerG_2014__CCIS38765456ST-20-0__bin.4	2225950.0	2215234.0	1500653.0	2091965.0	1713683.0	1630647.0	1762631.0	1466370.0	2295503.0	1880082.0	1798972.0	2018602.0	1645374.0	1610679.0	2386635.0	1996185.0	1586032.0	2247813.0	1987565.0	2194855.0	2222510.0	2306312.0	2026901.0	2367471.0	1601602.0	2798500.0	2365080.0	1716168.0	1616326.0	2255562.0	2210892.0	1955034.0	2370700.0	1304952.0	2234179.0	2099793.0
XieH_2016__YSZC12003_35551__bin.42	2506057.0	2501012.0	1748439.0	2285681.0	1807735.0	1863281.0	1995994.0	1633803.0	2683430.0	2216750.0	2152758.0	2275945.0	1929569.0	1893209.0	2757184.0	2250877.0	1784297.0	2626227.0	2164076.0	2507009.0	2569283.0	2644551.0	2414712.0	2691821.0	1927968.0	2365080.0	3434028.0	1904009.0	1717531.0	2659083.0	2469105.0	2211009.0	2715806.0	1563865.0	2460984.0	2331595.0
NielsenHB_2014__V1_CD19_0__bin.21	1824209.0	1865597.0	1015105.0	1712930.0	1402316.0	1544217.0	1736535.0	1334093.0	1860756.0	1501691.0	1434158.0	1532555.0	1212727.0	1136850.0	1936142.0	1618839.0	1209693.0	1806655.0	1683038.0	1692661.0	1861318.0	1920169.0	1588508.0	1864172.0	1170649.0	1716168.0	1904009.0	2218059.0	1302949.0	1877598.0	1929311.0	1548409.0	1907032.0	1002881.0	1935756.0	1522273.0
NielsenHB_2014__O2_UC55_2__bin.28	1649750.0	1688553.0	1226538.0	1555131.0	1283618.0	1166377.0	1325484.0	1080856.0	1743681.0	1633713.0	1611299.0	1483995.0	1308553.0	1343655.0	1718024.0	1745248.0	1415005.0	1763764.0	1437983.0	1668544.0	1701515.0	1748967.0	1631881.0	1787141.0	1375401.0	1616326.0	1717531.0	1302949.0	2147401.0	1606081.0	1766204.0	1678925.0	1775201.0	1109444.0	1747541.0	1653083.0
ZeeviD_2015__PNP_Validation_7__bin.62	2461433.0	2394444.0	1599713.0	2253350.0	1750100.0	1843834.0	2020745.0	1650623.0	2546868.0	2159031.0	2062969.0	2179308.0	1773117.0	1879346.0	2754833.0	2166257.0	1721109.0	2505134.0	2162152.0	2444214.0	2486455.0	2594215.0	2343445.0	2608776.0	1860303.0	2255562.0	2659083.0	1877598.0	1606081.0	3337146.0	2381457.0	2094927.0	2629858.0	1491653.0	2382246.0	2228091.0
VogtmannE_2016__MMRS79893829ST-27-0-0__bin.10	2323322.0	2520305.0	1450284.0	2234743.0	1687442.0	1769620.0	1966655.0	1639817.0	2470596.0	2059045.0	1956160.0	2092721.0	1628941.0	1693655.0	2482659.0	2303811.0	1791838.0	2404811.0	2015362.0	2272865.0	2404678.0	2492214.0	2102381.0	2516900.0	1728214.0	2210892.0	2469105.0	1929311.0	1766204.0	2381457.0	3263096.0	2320242.0	2505061.0	1403773.0	2468780.0	2138707.0
LiJ_2014__V1.FI02__bin.5	2017955.0	2302046.0	1530786.0	2028211.0	1442542.0	1466078.0	1586473.0	1342643.0	2241064.0	2116379.0	1995936.0	1957603.0	1657659.0	1800134.0	2237962.0	2394311.0	1841970.0	2299173.0	1735717.0	2171118.0	2203186.0	2300399.0	1946151.0	2284408.0	1734065.0	1955034.0	2211009.0	1548409.0	1678925.0	2094927.0	2320242.0	2993195.0	2331620.0	1389580.0	2211354.0	2145254.0
LeChatelierE_2013__MH0004__bin.14	2585554.0	2526963.0	1725218.0	2354714.0	1831371.0	1954659.0	2021242.0	1694364.0	2790781.0	2218417.0	2126000.0	2259613.0	1877635.0	1840447.0	2783636.0	2339488.0	1827033.0	3379515.0	2184639.0	2553146.0	2594823.0	2692634.0	2416999.0	2718741.0	1905858.0	2370700.0	2715806.0	1907032.0	1775201.0	2629858.0	2505061.0	2331620.0	3615855.0	1572992.0	2548999.0	2361970.0
NielsenHB_2014__MH0129__bin.37	1417857.0	1447962.0	1320699.0	1306961.0	1037174.0	998236.0	1091080.0	1062998.0	1606493.0	1331674.0	1258525.0	1303589.0	1219265.0	1178192.0	1560717.0	1428156.0	1324990.0	1540249.0	1193429.0	1590590.0	1457395.0	1486672.0	1471146.0	1597675.0	1348646.0	1304952.0	1563865.0	1002881.0	1109444.0	1491653.0	1403773.0	1389580.0	1572992.0	1969445.0	1399303.0	1511747.0
ChengpingW_2017__AS78raw__bin.58	2359471.0	2494718.0	1469448.0	2302332.0	1723508.0	1821736.0	1938334.0	1621676.0	2472216.0	2178962.0	2080788.0	2168519.0	1668180.0	1734983.0	2503162.0	2303515.0	1777886.0	2421509.0	2021049.0	2290112.0	2535035.0	2646729.0	2186708.0	2516980.0	1727986.0	2234179.0	2460984.0	1935756.0	1747541.0	2382246.0	2468780.0	2211354.0	2548999.0	1399303.0	3219279.0	2157218.0
NielsenHB_2014__MH0125__bin.30	2140833.0	2215392.0	1676817.0	2001052.0	1564348.0	1581296.0	1599777.0	1402046.0	2318675.0	2078512.0	1936186.0	2079925.0	1737237.0	1811496.0	2398861.0	2183442.0	1783091.0	2330022.0	1871651.0	2314937.0	2246721.0	2281800.0	2212655.0	2825125.0	1872214.0	2099793.0	2331595.0	1522273.0	1653083.0	2228091.0	2138707.0	2145254.0	2361970.0	1511747.0	2157218.0	2939658.0
