	CosteaPI_2017__SID713B044-11-0-0__bin.24	LiSS_2016__FAT_012-22-42-0__bin.61	CosteaPI_2017__SID713B044-11-90-0__bin.37	ZellerG_2014__CCIS87116798ST-4-0__bin.33	HeQ_2017__SZAXPI029579-97__bin.42	XieH_2016__YSZC12003_35980__bin.62	LiJ_2014__MH0369__bin.54	VogtmannE_2016__MMRS51410669ST-27-0-0__bin.61	XieH_2016__YSZC12003_37282__bin.25	HeQ_2017__SZAXPI029580-98__bin.5	QinJ_2012__T2D-085__bin.36	VogtmannE_2016__MMRS65862658ST-27-0-0__bin.2	ChengpingW_2017__AS22raw__bin.17	CosteaPI_2017__SID713B055-11-0-0__bin.60	VogtmannE_2016__MMRS55294627ST-27-0-0__bin.13	ZellerG_2014__CCIS90166425ST-4-0__bin.54	XieH_2016__YSZC12003_37277__bin.50	LiJ_2014__MH0262__bin.36	LiJ_2014__V1.FI32__bin.96	YuJ_2015__SZAXPI003409-8__bin.49	LeChatelierE_2013__MH0204__bin.21	RaymondF_2016__P19E90__bin.11	CosteaPI_2017__SID713B051-11-0-0__bin.31	LeChatelierE_2013__MH0211__bin.19	HeQ_2017__SZAXPI029577-94__bin.39	RaymondF_2016__P19E7__bin.14	FengQ_2015__SID531382__bin.15	CosteaPI_2017__SID713B051-11-90-0__bin.3	LeChatelierE_2013__MH0430__bin.3	RaymondF_2016__P19E0__bin.55	Bengtsson-PalmeJ_2015__TRAVELRES18__bin.26
QinJ_2012__T2D-085__bin.36	1767686.0	897926.0	1738495.0	1292966.0	1633297.0	1546419.0	1254034.0	1174919.0	1506574.0	1572857.0	1852389.0	863321.0	1560115.0	939129.0	1047985.0	1471593.0	1594250.0	1678420.0	1191670.0	1593055.0	1314711.0	1394877.0	1644662.0	1164756.0	1627389.0	1273760.0	1445155.0	1442127.0	1332328.0	1418194.0	1182655.0
VogtmannE_2016__MMRS65862658ST-27-0-0__bin.2	1158662.0	735325.0	1160629.0	907633.0	1135617.0	1123298.0	831509.0	909972.0	1136493.0	1103331.0	863321.0	1258573.0	1000864.0	781320.0	811483.0	1097213.0	1170907.0	1157756.0	676198.0	1147719.0	897633.0	1108162.0	1170874.0	812596.0	1125272.0	1058797.0	1082399.0	1053250.0	778683.0	949188.0	707004.0
ChengpingW_2017__AS22raw__bin.17	1820241.0	1006131.0	1813343.0	1379015.0	1766535.0	1704714.0	1330919.0	1305153.0	1699668.0	1718281.0	1560115.0	1000864.0	1968742.0	1060974.0	1158296.0	1658914.0	1772884.0	1864184.0	1177066.0	1745781.0	1391225.0	1600823.0	1797937.0	1225845.0	1766583.0	1482377.0	1612248.0	1570460.0	1332907.0	1549312.0	1207713.0
CosteaPI_2017__SID713B055-11-0-0__bin.60	1324633.0	808604.0	1313308.0	1015659.0	1289188.0	1266997.0	900436.0	999827.0	1286675.0	1261349.0	939129.0	781320.0	1060974.0	1401690.0	907871.0	1269310.0	1304903.0	1294104.0	709557.0	1292737.0	979365.0	1249163.0	1306575.0	832976.0	1273865.0	1195297.0	1183405.0	1135004.0	799280.0	1038068.0	727711.0
VogtmannE_2016__MMRS55294627ST-27-0-0__bin.13	1418643.0	856620.0	1412539.0	1079834.0	1373365.0	1323327.0	972947.0	1068907.0	1365537.0	1341278.0	1047985.0	811483.0	1158296.0	907871.0	1499372.0	1335412.0	1408504.0	1392223.0	791791.0	1366945.0	1058586.0	1335714.0	1419216.0	943182.0	1355892.0	1256493.0	1268978.0	1249360.0	903194.0	1150543.0	817003.0
ZellerG_2014__CCIS90166425ST-4-0__bin.54	2115338.0	1192040.0	2091229.0	1506934.0	2101764.0	1979421.0	1340789.0	1512636.0	2038619.0	2040233.0	1471593.0	1097213.0	1658914.0	1269310.0	1335412.0	2345205.0	2069071.0	2089230.0	1110845.0	2069697.0	1449784.0	2065257.0	2071783.0	1268193.0	2087949.0	1946436.0	1843650.0	1738514.0	1234631.0	1772663.0	1099126.0
XieH_2016__YSZC12003_37277__bin.50	2231244.0	1241070.0	2217493.0	1582772.0	2166502.0	2163092.0	1433433.0	1619037.0	2185311.0	2102424.0	1594250.0	1170907.0	1772884.0	1304903.0	1408504.0	2069071.0	2455843.0	2255627.0	1180466.0	2189969.0	1566429.0	2169455.0	2381550.0	1348918.0	2146700.0	1996462.0	1961848.0	1967281.0	1354914.0	1991507.0	1258595.0
LiJ_2014__MH0262__bin.36	2279730.0	1205793.0	2269375.0	1621331.0	2184441.0	2113674.0	1459901.0	1580966.0	2129806.0	2120091.0	1678420.0	1157756.0	1864184.0	1294104.0	1392223.0	2089230.0	2255627.0	2517560.0	1243897.0	2207092.0	1599164.0	2032921.0	2250470.0	1397703.0	2182510.0	1893290.0	1994763.0	1889128.0	1422944.0	1919287.0	1280138.0
LiJ_2014__V1.FI32__bin.96	1230037.0	686626.0	1217201.0	975651.0	1213015.0	1135214.0	983063.0	901472.0	1132375.0	1176390.0	1191670.0	676198.0	1177066.0	709557.0	791791.0	1110845.0	1180466.0	1243897.0	1337346.0	1182653.0	1034364.0	1031029.0	1212306.0	917240.0	1216015.0	940193.0	1087258.0	1105200.0	1102668.0	1062531.0	1003374.0
YuJ_2015__SZAXPI003409-8__bin.49	2220064.0	1219931.0	2193934.0	1595000.0	2160057.0	2118381.0	1433801.0	1576709.0	2112039.0	2099502.0	1593055.0	1147719.0	1745781.0	1292737.0	1366945.0	2069697.0	2189969.0	2207092.0	1182653.0	2386728.0	1548562.0	2029619.0	2223255.0	1345400.0	2152239.0	1907267.0	1904072.0	1863530.0	1345355.0	1885498.0	1210452.0
LeChatelierE_2013__MH0204__bin.21	1604567.0	919642.0	1600579.0	1244965.0	1582702.0	1520409.0	1208217.0	1173297.0	1488290.0	1550352.0	1314711.0	897633.0	1391225.0	979365.0	1058586.0	1449784.0	1566429.0	1599164.0	1034364.0	1548562.0	1702185.0	1408381.0	1589492.0	1118694.0	1569760.0	1314296.0	1434425.0	1426888.0	1143655.0	1323280.0	1010956.0
RaymondF_2016__P19E90__bin.11	2039555.0	1197933.0	2024571.0	1459873.0	2006986.0	1986136.0	1301229.0	1546803.0	2052612.0	1939651.0	1394877.0	1108162.0	1600823.0	1249163.0	1335714.0	2065257.0	2169455.0	2032921.0	1031029.0	2029619.0	1408381.0	2308629.0	2182003.0	1200280.0	1988162.0	2103211.0	1847421.0	1800296.0	1181123.0	1914691.0	1096586.0
CosteaPI_2017__SID713B051-11-0-0__bin.31	2305191.0	1246483.0	2263478.0	1607936.0	2213149.0	2206431.0	1444654.0	1638358.0	2212126.0	2139701.0	1644662.0	1170874.0	1797937.0	1306575.0	1419216.0	2071783.0	2381550.0	2250470.0	1212306.0	2223255.0	1589492.0	2182003.0	2522972.0	1399009.0	2182872.0	2042688.0	2013693.0	2014227.0	1387638.0	2076328.0	1292648.0
LeChatelierE_2013__MH0211__bin.19	1413812.0	816770.0	1401597.0	1103872.0	1367716.0	1308688.0	1064494.0	1041065.0	1293265.0	1333807.0	1164756.0	812596.0	1225845.0	832976.0	943182.0	1268193.0	1348918.0	1397703.0	917240.0	1345400.0	1118694.0	1200280.0	1399009.0	1509202.0	1366484.0	1127055.0	1259843.0	1232501.0	1025454.0	1136319.0	912469.0
HeQ_2017__SZAXPI029577-94__bin.39	2221547.0	1203610.0	2194618.0	1596853.0	2344295.0	2084434.0	1445719.0	1558886.0	2085682.0	2245811.0	1627389.0	1125272.0	1766583.0	1273865.0	1355892.0	2087949.0	2146700.0	2182510.0	1216015.0	2152239.0	1569760.0	1988162.0	2182872.0	1366484.0	2447327.0	1864877.0	1920097.0	1841333.0	1353614.0	1876986.0	1216423.0
RaymondF_2016__P19E7__bin.14	1915452.0	1151568.0	1898708.0	1380543.0	1884617.0	1860528.0	1204879.0	1468538.0	1940808.0	1836484.0	1273760.0	1058797.0	1482377.0	1195297.0	1256493.0	1946436.0	1996462.0	1893290.0	940193.0	1907267.0	1314296.0	2103211.0	2042688.0	1127055.0	1864877.0	2153705.0	1704722.0	1679868.0	1067155.0	1767838.0	993027.0
FengQ_2015__SID531382__bin.15	2011270.0	1106677.0	1989991.0	1424676.0	1936406.0	1868532.0	1298050.0	1426665.0	1886079.0	1884576.0	1445155.0	1082399.0	1612248.0	1183405.0	1268978.0	1843650.0	1961848.0	1994763.0	1087258.0	1904072.0	1434425.0	1847421.0	2013693.0	1259843.0	1920097.0	1704722.0	2222756.0	1703900.0	1257276.0	1717838.0	1115460.0
CosteaPI_2017__SID713B051-11-90-0__bin.3	1909087.0	1107455.0	1887662.0	1436347.0	1849108.0	1839000.0	1294085.0	1434291.0	1848405.0	1806579.0	1442127.0	1053250.0	1570460.0	1135004.0	1249360.0	1738514.0	1967281.0	1889128.0	1105200.0	1863530.0	1426888.0	1800296.0	2014227.0	1232501.0	1841333.0	1679868.0	1703900.0	2070778.0	1252541.0	1662241.0	1171797.0
LeChatelierE_2013__MH0430__bin.3	1382618.0	785841.0	1378979.0	1066766.0	1359478.0	1309673.0	1095019.0	1012270.0	1287905.0	1308431.0	1332328.0	778683.0	1332907.0	799280.0	903194.0	1234631.0	1354914.0	1422944.0	1102668.0	1345355.0	1143655.0	1181123.0	1387638.0	1025454.0	1353614.0	1067155.0	1257276.0	1252541.0	1489575.0	1193753.0	1081821.0
RaymondF_2016__P19E0__bin.55	1928736.0	1012743.0	1909886.0	1333127.0	1889953.0	1875507.0	1210330.0	1366677.0	1864166.0	1814575.0	1418194.0	949188.0	1549312.0	1038068.0	1150543.0	1772663.0	1991507.0	1919287.0	1062531.0	1885498.0	1323280.0	1914691.0	2076328.0	1136319.0	1876986.0	1767838.0	1717838.0	1662241.0	1193753.0	2220924.0	1090019.0
Bengtsson-PalmeJ_2015__TRAVELRES18__bin.26	1242678.0	740277.0	1227393.0	980447.0	1211643.0	1200990.0	981642.0	950759.0	1197120.0	1173113.0	1182655.0	707004.0	1207713.0	727711.0	817003.0	1099126.0	1258595.0	1280138.0	1003374.0	1210452.0	1010956.0	1096586.0	1292648.0	912469.0	1216423.0	993027.0	1115460.0	1171797.0	1081821.0	1090019.0	1343182.0
