	CosteaPI_2017__SID713B044-11-0-0__bin.24	LiSS_2016__FAT_012-22-42-0__bin.61	CosteaPI_2017__SID713B044-11-90-0__bin.37	ZellerG_2014__CCIS87116798ST-4-0__bin.33	HeQ_2017__SZAXPI029579-97__bin.42	XieH_2016__YSZC12003_35980__bin.62	LiJ_2014__MH0369__bin.54	VogtmannE_2016__MMRS51410669ST-27-0-0__bin.61	XieH_2016__YSZC12003_37282__bin.25	HeQ_2017__SZAXPI029580-98__bin.5	QinJ_2012__T2D-085__bin.36	VogtmannE_2016__MMRS65862658ST-27-0-0__bin.2	ChengpingW_2017__AS22raw__bin.17	CosteaPI_2017__SID713B055-11-0-0__bin.60	VogtmannE_2016__MMRS55294627ST-27-0-0__bin.13	ZellerG_2014__CCIS90166425ST-4-0__bin.54	XieH_2016__YSZC12003_37277__bin.50	LiJ_2014__MH0262__bin.36	LiJ_2014__V1.FI32__bin.96	YuJ_2015__SZAXPI003409-8__bin.49	LeChatelierE_2013__MH0204__bin.21	RaymondF_2016__P19E90__bin.11	CosteaPI_2017__SID713B051-11-0-0__bin.31	LeChatelierE_2013__MH0211__bin.19	HeQ_2017__SZAXPI029577-94__bin.39	RaymondF_2016__P19E7__bin.14	FengQ_2015__SID531382__bin.15	CosteaPI_2017__SID713B051-11-90-0__bin.3	LeChatelierE_2013__MH0430__bin.3	RaymondF_2016__P19E0__bin.55	Bengtsson-PalmeJ_2015__TRAVELRES18__bin.26
QinJ_2012__T2D-085__bin.36	8405.0	5664.0	8260.0	7793.0	8930.0	9278.0	7898.0	7574.0	8561.0	9344.0	0.0	5513.0	8385.0	5576.0	6489.0	8439.0	9957.0	10840.0	6910.0	8260.0	9046.0	7182.0	8223.0	6924.0	9598.0	6984.0	8078.0	7660.0	7210.0	7422.0	5966.0
VogtmannE_2016__MMRS65862658ST-27-0-0__bin.2	9099.0	5908.0	8854.0	6417.0	8437.0	9213.0	6350.0	7616.0	9004.0	8688.0	5513.0	0.0	7349.0	5782.0	7032.0	7537.0	9772.0	8575.0	3837.0	8487.0	6969.0	8613.0	9307.0	6744.0	8622.0	8145.0	8499.0	8429.0	4493.0	7047.0	4568.0
ChengpingW_2017__AS22raw__bin.17	11253.0	6642.0	11273.0	7757.0	11351.0	10814.0	8414.0	8519.0	10538.0	11363.0	8385.0	7349.0	0.0	7134.0	8087.0	10442.0	10486.0	7058.0	7412.0	9905.0	9994.0	9358.0	9666.0	7876.0	11630.0	9605.0	6761.0	8967.0	7522.0	9106.0	6389.0
CosteaPI_2017__SID713B055-11-0-0__bin.60	9823.0	6205.0	9276.0	6574.0	8558.0	9312.0	6539.0	7955.0	9605.0	9110.0	5576.0	5782.0	7134.0	0.0	7662.0	7802.0	10084.0	9200.0	4378.0	8824.0	6795.0	9279.0	9184.0	6115.0	8862.0	8663.0	8203.0	8567.0	4514.0	7443.0	4439.0
VogtmannE_2016__MMRS55294627ST-27-0-0__bin.13	10876.0	7372.0	10722.0	7809.0	10225.0	10956.0	8031.0	9126.0	11449.0	10965.0	6489.0	7032.0	8087.0	7662.0	0.0	9316.0	12374.0	10571.0	5430.0	10403.0	9180.0	10987.0	11328.0	7383.0	10752.0	9838.0	10283.0	10501.0	5598.0	9405.0	5294.0
ZellerG_2014__CCIS90166425ST-4-0__bin.54	13699.0	8372.0	12925.0	8685.0	14651.0	13576.0	9240.0	11714.0	13516.0	15408.0	8439.0	7537.0	10442.0	7802.0	9316.0	0.0	13817.0	14085.0	3824.0	12980.0	9646.0	13801.0	12773.0	9670.0	15634.0	13539.0	12832.0	11636.0	6490.0	11905.0	5843.0
XieH_2016__YSZC12003_37277__bin.50	16513.0	8939.0	15963.0	10085.0	14520.0	15359.0	10038.0	6635.0	15456.0	15293.0	9957.0	9772.0	10486.0	10084.0	12374.0	13817.0	0.0	16372.0	7570.0	14712.0	12887.0	4055.0	4968.0	10774.0	15439.0	3700.0	13923.0	5006.0	8280.0	3930.0	6265.0
LiJ_2014__MH0262__bin.36	16757.0	8591.0	15959.0	10316.0	15303.0	15230.0	9399.0	12434.0	15073.0	15590.0	10840.0	8575.0	7058.0	9200.0	10571.0	14085.0	16372.0	0.0	8667.0	13966.0	12142.0	14444.0	15686.0	9947.0	16327.0	14000.0	9674.0	13301.0	8421.0	12777.0	7088.0
LiJ_2014__V1.FI32__bin.96	7901.0	4739.0	7732.0	6155.0	8425.0	7839.0	6952.0	6505.0	7925.0	8596.0	6910.0	3837.0	7412.0	4378.0	5430.0	3824.0	7570.0	8667.0	0.0	7190.0	7142.0	6706.0	7126.0	6262.0	8875.0	6291.0	7186.0	6723.0	6449.0	6529.0	5785.0
YuJ_2015__SZAXPI003409-8__bin.49	13614.0	9250.0	12989.0	9518.0	13545.0	14586.0	9706.0	11884.0	14641.0	14528.0	8260.0	8487.0	9905.0	8824.0	10403.0	12980.0	14712.0	13966.0	7190.0	0.0	11469.0	12445.0	13825.0	9391.0	14540.0	12619.0	11515.0	12388.0	7623.0	11451.0	6488.0
LeChatelierE_2013__MH0204__bin.21	12040.0	7282.0	12233.0	9044.0	11434.0	12553.0	9078.0	10266.0	11668.0	12209.0	9046.0	6969.0	9994.0	6795.0	9180.0	9646.0	12887.0	12142.0	7142.0	11469.0	0.0	11375.0	12131.0	8936.0	11942.0	10686.0	11780.0	11257.0	7039.0	10818.0	6669.0
RaymondF_2016__P19E90__bin.11	13359.0	8237.0	12919.0	8534.0	14032.0	13859.0	8496.0	6064.0	13219.0	13751.0	7182.0	8613.0	9358.0	9279.0	10987.0	13801.0	4055.0	14444.0	6706.0	12445.0	11375.0	0.0	2801.0	8489.0	14662.0	1225.0	14085.0	3652.0	6541.0	501.0	4496.0
CosteaPI_2017__SID713B051-11-0-0__bin.31	14636.0	8296.0	14312.0	8917.0	13815.0	14630.0	9440.0	5535.0	14424.0	14667.0	8223.0	9307.0	9666.0	9184.0	11328.0	12773.0	4968.0	15686.0	7126.0	13825.0	12131.0	2801.0	0.0	9805.0	14613.0	2609.0	13162.0	2127.0	7405.0	2376.0	5589.0
LeChatelierE_2013__MH0211__bin.19	9900.0	6387.0	9757.0	7311.0	9862.0	9894.0	7599.0	8656.0	9917.0	10109.0	6924.0	6744.0	7876.0	6115.0	7383.0	9670.0	10774.0	9947.0	6262.0	9391.0	8936.0	8489.0	9805.0	0.0	10172.0	8074.0	9160.0	8534.0	6466.0	7436.0	5739.0
HeQ_2017__SZAXPI029577-94__bin.39	14968.0	8998.0	14663.0	9475.0	2316.0	14885.0	10099.0	12283.0	15421.0	3557.0	9598.0	8622.0	11630.0	8862.0	10752.0	15634.0	15439.0	16327.0	8875.0	14540.0	11942.0	14662.0	14613.0	10172.0	0.0	13941.0	13813.0	13183.0	8129.0	13607.0	6893.0
RaymondF_2016__P19E7__bin.14	13164.0	7903.0	12844.0	8119.0	13627.0	13125.0	8110.0	5798.0	13669.0	13206.0	6984.0	8145.0	9605.0	8663.0	9838.0	13539.0	3700.0	14000.0	6291.0	12619.0	10686.0	1225.0	2609.0	8074.0	13941.0	0.0	12774.0	3133.0	6328.0	998.0	4674.0
FengQ_2015__SID531382__bin.15	14225.0	8005.0	13887.0	8233.0	13376.0	12850.0	8850.0	10509.0	12860.0	13509.0	8078.0	8499.0	6761.0	8203.0	10283.0	12832.0	13923.0	9674.0	7186.0	11515.0	11780.0	14085.0	13162.0	9160.0	13813.0	12774.0	0.0	11454.0	7720.0	12818.0	5781.0
CosteaPI_2017__SID713B051-11-90-0__bin.3	13026.0	7717.0	12738.0	8455.0	12243.0	13095.0	8668.0	5391.0	12772.0	12685.0	7660.0	8429.0	8967.0	8567.0	10501.0	11636.0	5006.0	13301.0	6723.0	12388.0	11257.0	3652.0	2127.0	8534.0	13183.0	3133.0	11454.0	0.0	7206.0	2859.0	5495.0
LeChatelierE_2013__MH0430__bin.3	8002.0	5155.0	7931.0	5818.0	7827.0	8050.0	7355.0	6629.0	7677.0	8258.0	7210.0	4493.0	7522.0	4514.0	5598.0	6490.0	8280.0	8421.0	6449.0	7623.0	7039.0	6541.0	7405.0	6466.0	8129.0	6328.0	7720.0	7206.0	0.0	6762.0	5799.0
RaymondF_2016__P19E0__bin.55	12582.0	6601.0	12251.0	7266.0	12830.0	11493.0	7858.0	4996.0	11593.0	12329.0	7422.0	7047.0	9106.0	7443.0	9405.0	11905.0	3930.0	12777.0	6529.0	11451.0	10818.0	501.0	2376.0	7436.0	13607.0	998.0	12818.0	2859.0	6762.0	0.0	4183.0
Bengtsson-PalmeJ_2015__TRAVELRES18__bin.26	6438.0	4231.0	6113.0	5027.0	6479.0	6470.0	5918.0	5618.0	6229.0	6976.0	5966.0	4568.0	6389.0	4439.0	5294.0	5843.0	6265.0	7088.0	5785.0	6488.0	6669.0	4496.0	5589.0	5739.0	6893.0	4674.0	5781.0	5495.0	5799.0	4183.0	0.0
