	HMP_2012__SRS022536__bin.14	HMP_2012__SRS023538__bin.30	HMP_2012__SRS019077__bin.45	HMP_2012__SRS017511__bin.59	HMP_2012__SRS019129__bin.12	HMP_2012__SRS042984__bin.59	HMP_2012__SRS012285__bin.8	HMP_2012__SRS054430__bin.36	HMP_2012__SRS018975__bin.20	HMP_2012__SRS055378__bin.72	HMP_2012__SRS024381__bin.2	HMP_2012__SRS049268__bin.25	HMP_2012__SRS015803__bin.25	HMP_2012__SRS075410__bin.23	CM_periimplantitis__SP_101SPI_T016__bin.18	HMP_2012__SRS021477__bin.32	HMP_2012__SRS064449__bin.24	HMP_2012__SRS014894__bin.34	HMP_2012__SRS011098__bin.12	HMP_2012__SRS017304__bin.16	HMP_2012__SRS014578__bin.38	HMP_2012__SRS013252__bin.52	HMP_2012__SRS015063__bin.7	HMP_2012__SRS018394__bin.26	HMP_2012__SRS019980__bin.39	HMP_2012__SRS015158__bin.12	HMP_2012__SRS053917__bin.6	HMP_2012__SRS018665__bin.47	HMP_2012__SRS015989__bin.7	HMP_2012__SRS018157__bin.65	HMP_2012__SRS013949__bin.40	HMP_2012__SRS014476__bin.56	HMP_2012__SRS019225__bin.21	HMP_2012__SRS058808__bin.45	HMP_2012__SRS047113__bin.61	HMP_2012__SRS023964__bin.14	HMP_2012__SRS024649__bin.4	HMP_2012__SRS019906__bin.8	HMP_2012__SRS015899__bin.3	HMP_2012__SRS017445__bin.50	HMP_2012__SRS016043__bin.28	HMP_2012__SRS051244__bin.4
HMP_2012__SRS011098__bin.12	1561556.0	904691.0	1611234.0	1699803.0	1669475.0	1635085.0	1319124.0	1395783.0	1607759.0	1830945.0	1797471.0	1986387.0	1692745.0	1991845.0	1906231.0	1737448.0	1512197.0	1716497.0	2342912.0	1528940.0	1671880.0	1618624.0	1451109.0	1646709.0	1545033.0	1789190.0	1923636.0	1882491.0	1655398.0	1662202.0	1078747.0	1872717.0	1751651.0	1757827.0	1651570.0	1750260.0	1388612.0	1852365.0	1604485.0	1371584.0	1911571.0	1393653.0
HMP_2012__SRS017304__bin.16	1190854.0	761974.0	1266509.0	1298700.0	1296433.0	1224776.0	1055630.0	1092717.0	1233042.0	1395181.0	1327937.0	1439189.0	1285975.0	1475247.0	1403249.0	1374848.0	1151195.0	1310529.0	1528940.0	1701549.0	1326202.0	1195553.0	1155392.0	1238112.0	1202524.0	1404596.0	1448814.0	1404901.0	1313619.0	1274283.0	875669.0	1398501.0	1318471.0	1328399.0	1310141.0	1330305.0	1086621.0	1375146.0	1212217.0	1052009.0	1444619.0	1089682.0
HMP_2012__SRS014578__bin.38	1398810.0	824041.0	1407509.0	1600807.0	1431411.0	1477834.0	1181145.0	1114478.0	1474080.0	1619881.0	1586220.0	1712510.0	1559472.0	1684272.0	1613521.0	1530472.0	1339231.0	1521646.0	1671880.0	1326202.0	1981689.0	1461712.0	1319006.0	1474154.0	1424969.0	1572191.0	1626358.0	1591461.0	1496829.0	1470203.0	995376.0	1642237.0	1541381.0	1580974.0	1599136.0	1553751.0	1352920.0	1703021.0	1464958.0	1242126.0	1690775.0	1278293.0
HMP_2012__SRS013252__bin.52	1364568.0	764083.0	1313394.0	1449642.0	1370352.0	1404235.0	1153439.0	1028423.0	1400218.0	1540070.0	1491252.0	1789053.0	1475963.0	1623823.0	1582163.0	1427064.0	1306361.0	1452129.0	1618624.0	1195553.0	1461712.0	1979257.0	1281067.0	1441915.0	1315073.0	1470425.0	1589731.0	1506944.0	1429710.0	1396625.0	940184.0	1590185.0	1489674.0	1524818.0	1457539.0	1510940.0	1224408.0	1587508.0	1409364.0	1231505.0	1618155.0	1179524.0
HMP_2012__SRS015063__bin.7	1232035.0	741722.0	1248432.0	1318872.0	1263807.0	1274245.0	1114863.0	994433.0	1257805.0	1386406.0	1358851.0	1471885.0	1290032.0	1452823.0	1383672.0	1315590.0	1155318.0	1314510.0	1451109.0	1155392.0	1319006.0	1281067.0	1644198.0	1274289.0	1215751.0	1363446.0	1430669.0	1363040.0	1322646.0	1266956.0	903358.0	1529056.0	1369226.0	1429849.0	1320276.0	1351072.0	1119433.0	1387563.0	1257433.0	1094466.0	1432886.0	1102563.0
HMP_2012__SRS018394__bin.26	1387163.0	794138.0	1372839.0	1520531.0	1399678.0	1441285.0	1147837.0	1087047.0	1437107.0	1612660.0	1516894.0	1689286.0	1502285.0	1652361.0	1589471.0	1483973.0	1318308.0	1501357.0	1646709.0	1238112.0	1474154.0	1441915.0	1274289.0	1888146.0	1370225.0	1516504.0	1600058.0	1546235.0	1464836.0	1462143.0	989174.0	1584074.0	1494608.0	1551067.0	1469006.0	1521013.0	1265296.0	1574602.0	1461968.0	1260730.0	1633017.0	1219611.0
HMP_2012__SRS019980__bin.39	1289138.0	771332.0	1307125.0	1435571.0	1323195.0	1349477.0	1081788.0	1051073.0	1333654.0	1465901.0	1413329.0	1554311.0	1423825.0	1533246.0	1464673.0	1388406.0	1220461.0	1390065.0	1545033.0	1202524.0	1424969.0	1315073.0	1215751.0	1370225.0	1719898.0	1429615.0	1492658.0	1446529.0	1391428.0	1354748.0	928717.0	1465080.0	1413951.0	1438988.0	1390881.0	1426301.0	1208102.0	1486240.0	1330023.0	1172160.0	1530914.0	1129852.0
HMP_2012__SRS015158__bin.12	1442585.0	856487.0	1549544.0	1575082.0	1544052.0	1502187.0	1229237.0	1230250.0	1468402.0	1703855.0	1624559.0	1780868.0	1548269.0	1771701.0	1741826.0	1592950.0	1407631.0	1618206.0	1789190.0	1404596.0	1572191.0	1470425.0	1363446.0	1516504.0	1429615.0	2039015.0	1810902.0	1680905.0	1525550.0	1538804.0	1043235.0	1679984.0	1596187.0	1601195.0	1533872.0	1596831.0	1296221.0	1650677.0	1488482.0	1286108.0	1710163.0	1305829.0
HMP_2012__SRS053917__bin.6	1517309.0	852059.0	1595682.0	1659226.0	1613522.0	1586336.0	1281559.0	1246552.0	1577418.0	1777436.0	1734513.0	1890153.0	1628600.0	1902851.0	1822194.0	1689163.0	1488693.0	1698494.0	1923636.0	1448814.0	1626358.0	1589731.0	1430669.0	1600058.0	1492658.0	1810902.0	2206267.0	1774046.0	1608384.0	1618928.0	1072679.0	1798926.0	1671961.0	1721500.0	1638016.0	1664086.0	1379040.0	1790114.0	1585737.0	1357830.0	1826992.0	1351463.0
HMP_2012__SRS018665__bin.47	1464989.0	860422.0	1513587.0	1593575.0	1577711.0	1523287.0	1239815.0	1252699.0	1521380.0	1703358.0	1654019.0	1799216.0	1584793.0	1824476.0	1771866.0	1635065.0	1409997.0	1629273.0	1882491.0	1404901.0	1591461.0	1506944.0	1363040.0	1546235.0	1446529.0	1680905.0	1774046.0	2056851.0	1549475.0	1557272.0	1032553.0	1716537.0	1637943.0	1634196.0	1568734.0	1625259.0	1299651.0	1719896.0	1518843.0	1289411.0	1755436.0	1322382.0
HMP_2012__SRS015989__bin.7	1376497.0	830500.0	1399903.0	1483197.0	1391014.0	1473010.0	1179308.0	1107453.0	1412398.0	1593220.0	1525527.0	1670015.0	1523105.0	1637547.0	1563677.0	1468797.0	1307607.0	1497128.0	1655398.0	1313619.0	1496829.0	1429710.0	1322646.0	1464836.0	1391428.0	1525550.0	1608384.0	1549475.0	1922808.0	1429220.0	1008560.0	1603424.0	1535462.0	1547946.0	1487029.0	1590339.0	1267726.0	1574991.0	1442569.0	1231325.0	1728024.0	1231614.0
HMP_2012__SRS018157__bin.65	1390446.0	783232.0	1381989.0	1490646.0	1418999.0	1417525.0	1173893.0	1087202.0	1403716.0	1605395.0	1513712.0	1648555.0	1484974.0	1743986.0	1593394.0	1521489.0	1335926.0	1500201.0	1662202.0	1274283.0	1470203.0	1396625.0	1266956.0	1462143.0	1354748.0	1538804.0	1618928.0	1557272.0	1429220.0	1870840.0	953752.0	1575482.0	1477092.0	1535529.0	1454856.0	1526164.0	1239544.0	1575564.0	1392072.0	1249673.0	1615309.0	1208711.0
HMP_2012__SRS013949__bin.40	914660.0	604110.0	952282.0	1004232.0	994298.0	958217.0	823415.0	771436.0	972879.0	1049358.0	1021512.0	1094429.0	1003480.0	1095718.0	1042984.0	981042.0	868940.0	1003049.0	1078747.0	875669.0	995376.0	940184.0	903358.0	989174.0	928717.0	1043235.0	1072679.0	1032553.0	1008560.0	953752.0	1248494.0	1052511.0	1000774.0	1034317.0	968015.0	1008070.0	859460.0	1040789.0	976903.0	835941.0	1087565.0	836747.0
HMP_2012__SRS014476__bin.56	1514016.0	881229.0	1510089.0	1624616.0	1567099.0	1572276.0	1365414.0	1194140.0	1541413.0	1723780.0	1718246.0	1911172.0	1618010.0	1833512.0	1761285.0	1635066.0	1440190.0	1622758.0	1872717.0	1398501.0	1642237.0	1590185.0	1529056.0	1584074.0	1465080.0	1679984.0	1798926.0	1716537.0	1603424.0	1575482.0	1052511.0	2182898.0	1701374.0	1779093.0	1607203.0	1681335.0	1357828.0	1786822.0	1554722.0	1337641.0	1818652.0	1355726.0
HMP_2012__SRS019225__bin.21	1460612.0	849744.0	1451278.0	1530156.0	1503742.0	1492902.0	1213667.0	1151307.0	1445139.0	1617580.0	1612616.0	1764812.0	1524326.0	1732385.0	1684961.0	1542955.0	1350474.0	1542879.0	1751651.0	1318471.0	1541381.0	1489674.0	1369226.0	1494608.0	1413951.0	1596187.0	1671961.0	1637943.0	1535462.0	1477092.0	1000774.0	1701374.0	1987092.0	1603544.0	1488525.0	1573771.0	1280039.0	1643517.0	1472707.0	1250550.0	1710221.0	1300992.0
HMP_2012__SRS058808__bin.45	1457900.0	819766.0	1443592.0	1597097.0	1484645.0	1537022.0	1312281.0	1129162.0	1498689.0	1671324.0	1625263.0	1800443.0	1581051.0	1768736.0	1678633.0	1588150.0	1390051.0	1559766.0	1757827.0	1328399.0	1580974.0	1524818.0	1429849.0	1551067.0	1438988.0	1601195.0	1721500.0	1634196.0	1547946.0	1535529.0	1034317.0	1779093.0	1603544.0	2033405.0	1561764.0	1586520.0	1338607.0	1686644.0	1493279.0	1305161.0	1717440.0	1291059.0
HMP_2012__SRS047113__bin.61	1384941.0	814143.0	1409392.0	1562618.0	1419257.0	1444680.0	1160479.0	1122460.0	1471377.0	1572054.0	1543119.0	1683325.0	1550797.0	1662487.0	1583724.0	1512355.0	1334153.0	1500094.0	1651570.0	1310141.0	1599136.0	1457539.0	1320276.0	1469006.0	1390881.0	1533872.0	1638016.0	1568734.0	1487029.0	1454856.0	968015.0	1607203.0	1488525.0	1561764.0	1956844.0	1527283.0	1356511.0	1694473.0	1478669.0	1234961.0	1658409.0	1239104.0
HMP_2012__SRS023964__bin.14	1426375.0	833435.0	1417538.0	1548866.0	1475188.0	1521952.0	1209439.0	1152746.0	1465028.0	1639840.0	1590126.0	1759639.0	1623272.0	1710659.0	1669382.0	1551688.0	1370439.0	1555061.0	1750260.0	1330305.0	1553751.0	1510940.0	1351072.0	1521013.0	1426301.0	1596831.0	1664086.0	1625259.0	1590339.0	1526164.0	1008070.0	1681335.0	1573771.0	1586520.0	1527283.0	2040919.0	1299347.0	1665041.0	1472541.0	1288316.0	1803956.0	1280480.0
HMP_2012__SRS024649__bin.4	1158380.0	673427.0	1183081.0	1368246.0	1196574.0	1237897.0	1001363.0	918270.0	1237777.0	1350418.0	1287521.0	1420900.0	1323277.0	1419420.0	1336165.0	1271358.0	1140185.0	1269394.0	1388612.0	1086621.0	1352920.0	1224408.0	1119433.0	1265296.0	1208102.0	1296221.0	1379040.0	1299651.0	1267726.0	1239544.0	859460.0	1357828.0	1280039.0	1338607.0	1356511.0	1299347.0	1648679.0	1415494.0	1256116.0	1067777.0	1420560.0	1038661.0
HMP_2012__SRS019906__bin.8	1494633.0	856839.0	1500739.0	1695741.0	1530490.0	1569991.0	1234551.0	1187953.0	1626477.0	1720655.0	1685413.0	1878273.0	1635587.0	1831183.0	1757957.0	1632184.0	1443674.0	1619585.0	1852365.0	1375146.0	1703021.0	1587508.0	1387563.0	1574602.0	1486240.0	1650677.0	1790114.0	1719896.0	1574991.0	1575564.0	1040789.0	1786822.0	1643517.0	1686644.0	1694473.0	1665041.0	1415494.0	2208808.0	1580239.0	1334044.0	1839508.0	1331487.0
HMP_2012__SRS015899__bin.3	1374388.0	772688.0	1348693.0	1488492.0	1374831.0	1439589.0	1134063.0	1032286.0	1465023.0	1534482.0	1508086.0	1645687.0	1482916.0	1636581.0	1563362.0	1465897.0	1296755.0	1460831.0	1604485.0	1212217.0	1464958.0	1409364.0	1257433.0	1461968.0	1330023.0	1488482.0	1585737.0	1518843.0	1442569.0	1392072.0	976903.0	1554722.0	1472707.0	1493279.0	1478669.0	1472541.0	1256116.0	1580239.0	1866699.0	1217056.0	1600307.0	1199994.0
HMP_2012__SRS017445__bin.50	1186482.0	647063.0	1174515.0	1279983.0	1162391.0	1246713.0	966603.0	910537.0	1201476.0	1339535.0	1265905.0	1406063.0	1268295.0	1388405.0	1324271.0	1268005.0	1128615.0	1270535.0	1371584.0	1052009.0	1242126.0	1231505.0	1094466.0	1260730.0	1172160.0	1286108.0	1357830.0	1289411.0	1231325.0	1249673.0	835941.0	1337641.0	1250550.0	1305161.0	1234961.0	1288316.0	1067777.0	1334044.0	1217056.0	1589854.0	1373929.0	1009585.0
HMP_2012__SRS016043__bin.28	1530047.0	906461.0	1536135.0	1703589.0	1569794.0	1611758.0	1269048.0	1249950.0	1606883.0	1771589.0	1712665.0	1916932.0	1710398.0	1859173.0	1776261.0	1682004.0	1472875.0	1662990.0	1911571.0	1444619.0	1690775.0	1618155.0	1432886.0	1633017.0	1530914.0	1710163.0	1826992.0	1755436.0	1728024.0	1615309.0	1087565.0	1818652.0	1710221.0	1717440.0	1658409.0	1803956.0	1420560.0	1839508.0	1600307.0	1373929.0	2286400.0	1361909.0
HMP_2012__SRS051244__bin.4	1154792.0	738173.0	1181922.0	1242114.0	1216711.0	1195254.0	974645.0	966887.0	1152971.0	1337031.0	1571385.0	1414070.0	1235510.0	1405270.0	1421800.0	1237996.0	1108714.0	1256812.0	1393653.0	1089682.0	1278293.0	1179524.0	1102563.0	1219611.0	1129852.0	1305829.0	1351463.0	1322382.0	1231614.0	1208711.0	836747.0	1355726.0	1300992.0	1291059.0	1239104.0	1280480.0	1038661.0	1331487.0	1199994.0	1009585.0	1361909.0	1660670.0
