	BritoIL_2016__M1.59.ST__bin.105	BritoIL_2016__WL.25.ST__bin.18	ZeeviD_2015__PNP_Main_744__bin.28	BritoIL_2016__W3.22.ST__bin.45	LiJ_2014__MH0284__bin.43	BritoIL_2016__M2.45.ST__bin.12	YuJ_2015__SZAXPI015220-136__bin.50	CosteaPI_2017__SID713B003-11-0-0__bin.46	ChengpingW_2017__AS133raw__bin.20	BritoIL_2016__W2.47.ST__bin.56	BritoIL_2016__M1.64.ST__bin.19	ZeeviD_2015__PNP_Main_650__bin.17	BritoIL_2016__WL.11.ST__bin.38	HeQ_2017__SZAXPI029554-33__bin.92	BritoIL_2016__W1.53.ST__bin.36	ZellerG_2014__CCIS74726977ST-3-0__bin.30	Obregon-TitoAJ_2015__SM37__bin.37	BritoIL_2016__M2.36.ST__bin.43	ZellerG_2014__CCMD88272491ST-21-0__bin.31	QinJ_2012__NOM022__bin.20	BritoIL_2016__W3.1.ST__bin.40	BritoIL_2016__W1.31.ST__bin.14	BritoIL_2016__W2.15.ST__bin.72	BritoIL_2016__M1.37.ST__bin.61	Obregon-TitoAJ_2015__SM41__bin.11	CosteaPI_2017__SID713B003-11-90-0__bin.14	SmitsSA_2017__TZ_83788__bin.2	BritoIL_2016__W1.5.ST__bin.17	LiJ_2014__MH0400__bin.1	RampelliS_2015__H14__bin.105	RampelliS_2015__H13__bin.37	LeChatelierE_2013__MH0096__bin.47	CosteaPI_2017__SID713A049-11-0-0__bin.5	BritoIL_2016__M2.33.ST__bin.15	XieH_2016__YSZC12003_37315__bin.30	CosteaPI_2017__SID713A049-11-90-0__bin.7	BritoIL_2016__W1.51.ST__bin.60	CosteaPI_2017__SID713B037-11-90-0__bin.15
BritoIL_2016__M1.64.ST__bin.19	2219745.0	2255579.0	2285234.0	2277938.0	2034743.0	1672104.0	2277834.0	2239047.0	2275208.0	2323078.0	3000464.0	2266826.0	2066492.0	1842658.0	2205189.0	2010880.0	1413440.0	2169557.0	2056219.0	2115207.0	2125966.0	1934470.0	2258003.0	2304062.0	1860959.0	2329372.0	1865544.0	2312780.0	2134278.0	2222307.0	2066828.0	1620265.0	2263562.0	1730830.0	1594431.0	2235842.0	2171638.0	1931537.0
ZeeviD_2015__PNP_Main_650__bin.17	2393375.0	2227437.0	2490004.0	2351319.0	2135134.0	1673837.0	2430422.0	2403890.0	2492655.0	2402183.0	2266826.0	3066074.0	2109117.0	1987003.0	2350512.0	2253713.0	1429438.0	2319607.0	2205195.0	2280764.0	2180727.0	1981878.0	2291159.0	2493129.0	1963300.0	2513021.0	1988691.0	2436535.0	2316275.0	2348172.0	2170279.0	1694220.0	2430963.0	1823569.0	1667091.0	2392658.0	2327147.0	2094397.0
BritoIL_2016__WL.11.ST__bin.38	2092539.0	2050596.0	2109722.0	2160878.0	1883318.0	1536845.0	2116108.0	2080058.0	2117969.0	2260525.0	2066492.0	2109117.0	2512991.0	1730335.0	2078099.0	1879449.0	1279681.0	2001122.0	1880490.0	1958603.0	2009000.0	1774466.0	2110309.0	2136229.0	1723376.0	2146155.0	1790144.0	2157646.0	2001799.0	2052269.0	1925562.0	1493403.0	2089958.0	1625963.0	1461760.0	2090448.0	2012515.0	1783753.0
HeQ_2017__SZAXPI029554-33__bin.92	1879882.0	1817922.0	1915992.0	1877548.0	1756944.0	1410449.0	1947779.0	1886647.0	1912680.0	1934554.0	1842658.0	1987003.0	1730335.0	2276887.0	1922660.0	1747051.0	1218702.0	1879967.0	1733873.0	1815590.0	1745359.0	1607091.0	1845610.0	2007242.0	1593683.0	1940264.0	1645064.0	1959342.0	1847166.0	1880623.0	1746240.0	1410965.0	1878386.0	1549601.0	1424798.0	1896581.0	1824527.0	1663769.0
BritoIL_2016__W1.53.ST__bin.36	2292817.0	2202767.0	2340434.0	2291342.0	2068757.0	1661047.0	2347461.0	2265311.0	2323876.0	2380682.0	2205189.0	2350512.0	2078099.0	1922660.0	2829345.0	2089110.0	1385397.0	2212032.0	2087013.0	2148490.0	2123246.0	1947055.0	2266096.0	2389100.0	1884700.0	2335103.0	1975744.0	2379541.0	2215218.0	2268667.0	2111221.0	1598651.0	2290669.0	1785830.0	1615893.0	2272485.0	2252279.0	1977193.0
ZellerG_2014__CCIS74726977ST-3-0__bin.30	2101175.0	2005273.0	2275353.0	2081525.0	1999339.0	1552647.0	2167284.0	2175498.0	2275091.0	2163283.0	2010880.0	2253713.0	1879449.0	1747051.0	2089110.0	2967736.0	1305781.0	2061797.0	2062706.0	2066169.0	1959318.0	1842442.0	2096525.0	2205051.0	1766318.0	2259617.0	1792798.0	2192939.0	2140515.0	2109232.0	1953426.0	1605960.0	2217115.0	1657532.0	1495623.0	2184685.0	2063126.0	1994412.0
Obregon-TitoAJ_2015__SM37__bin.37	1357440.0	1347844.0	1430385.0	1390485.0	1328458.0	1080096.0	1414656.0	1377535.0	1431717.0	1405340.0	1413440.0	1429438.0	1279681.0	1218702.0	1385397.0	1305781.0	1814523.0	1387924.0	1307937.0	1359496.0	1336745.0	1212707.0	1401947.0	1412985.0	1300930.0	1428600.0	1233255.0	1409901.0	1380301.0	1418547.0	1335765.0	1081688.0	1404795.0	1145151.0	1097917.0	1417274.0	1341535.0	1250395.0
BritoIL_2016__M2.36.ST__bin.43	2222142.0	2141547.0	2284063.0	2223454.0	2020898.0	1632929.0	2277964.0	2205929.0	2265575.0	2279056.0	2169557.0	2319607.0	2001122.0	1879967.0	2212032.0	2061797.0	1387924.0	2736442.0	2035881.0	2080046.0	2058864.0	1868908.0	2207640.0	2329751.0	1845264.0	2278644.0	1891499.0	2261547.0	2147718.0	2217711.0	2043272.0	1558455.0	2220698.0	1754185.0	1623874.0	2225048.0	2198806.0	1911879.0
ZellerG_2014__CCMD88272491ST-21-0__bin.31	2094817.0	2007161.0	2230786.0	2104855.0	2080842.0	1527154.0	2194274.0	2164525.0	2467745.0	2156410.0	2056219.0	2205195.0	1880490.0	1733873.0	2087013.0	2062706.0	1307937.0	2035881.0	2655107.0	2104290.0	1999022.0	1854513.0	2074242.0	2196902.0	1750252.0	2244910.0	1799959.0	2237044.0	2114392.0	2089311.0	1935097.0	1706861.0	2190170.0	1650981.0	1475381.0	2152183.0	2045793.0	1964501.0
QinJ_2012__NOM022__bin.20	2139875.0	2100564.0	2254455.0	2154669.0	2050693.0	1580215.0	2244203.0	2195226.0	2355991.0	2208764.0	2115207.0	2280764.0	1958603.0	1815590.0	2148490.0	2066169.0	1359496.0	2080046.0	2104290.0	3038606.0	2013345.0	1893464.0	2171375.0	2188131.0	1790133.0	2275264.0	1851501.0	2197882.0	2169603.0	2109188.0	1957836.0	1640333.0	2234167.0	1679249.0	1528479.0	2197167.0	2075851.0	1973131.0
BritoIL_2016__W3.1.ST__bin.40	2182234.0	2097761.0	2204077.0	2226202.0	1959400.0	1555768.0	2176244.0	2155799.0	2229345.0	2300403.0	2125966.0	2180727.0	2009000.0	1745359.0	2123246.0	1959318.0	1336745.0	2058864.0	1999022.0	2013345.0	2596960.0	1901631.0	2293152.0	2218627.0	1760446.0	2216452.0	1804302.0	2231701.0	2059015.0	2137457.0	2008664.0	1541755.0	2192584.0	1664101.0	1512393.0	2146590.0	2075715.0	1866002.0
BritoIL_2016__W1.31.ST__bin.14	1936618.0	1924451.0	1956376.0	1961701.0	1780516.0	1492833.0	1968832.0	1946634.0	1969776.0	2002749.0	1934470.0	1981878.0	1774466.0	1607091.0	1947055.0	1842442.0	1212707.0	1868908.0	1854513.0	1893464.0	1901631.0	2466840.0	1972557.0	2001050.0	1602614.0	2013945.0	1630971.0	1982375.0	1900621.0	1885018.0	1756280.0	1407186.0	2009922.0	1541456.0	1334074.0	1946062.0	1869028.0	1841242.0
BritoIL_2016__W2.15.ST__bin.72	2272769.0	2211523.0	2317946.0	2350528.0	2073032.0	1626055.0	2304133.0	2284772.0	2359877.0	2433917.0	2258003.0	2291159.0	2110309.0	1845610.0	2266096.0	2096525.0	1401947.0	2207640.0	2074242.0	2171375.0	2293152.0	1972557.0	2643148.0	2332392.0	1850018.0	2357723.0	1919299.0	2349885.0	2180839.0	2277797.0	2106023.0	1612165.0	2305642.0	1729041.0	1610511.0	2275923.0	2184463.0	1976575.0
BritoIL_2016__M1.37.ST__bin.61	2405266.0	2259329.0	2478782.0	2387061.0	2135983.0	1727650.0	2433806.0	2396226.0	2450219.0	2450441.0	2304062.0	2493129.0	2136229.0	2007242.0	2389100.0	2205051.0	1412985.0	2329751.0	2196902.0	2188131.0	2218627.0	2001050.0	2332392.0	2934934.0	1946368.0	2471008.0	1996023.0	2458964.0	2270727.0	2354836.0	2191911.0	1679669.0	2393887.0	1923967.0	1686304.0	2375907.0	2435610.0	2084635.0
Obregon-TitoAJ_2015__SM41__bin.11	1850550.0	1826453.0	1938255.0	1864006.0	1760039.0	1384968.0	1932885.0	1937613.0	1952143.0	1913685.0	1860959.0	1963300.0	1723376.0	1593683.0	1884700.0	1766318.0	1300930.0	1845264.0	1750252.0	1790133.0	1760446.0	1602614.0	1850018.0	1946368.0	2273372.0	1981461.0	1625878.0	1930175.0	1862300.0	1914057.0	1817111.0	1375587.0	1925966.0	1479899.0	1394739.0	1932348.0	1830524.0	1671668.0
CosteaPI_2017__SID713B003-11-90-0__bin.14	2386055.0	2266618.0	2521227.0	2366725.0	2195124.0	1666054.0	2451025.0	2735543.0	2552392.0	2453486.0	2329372.0	2513021.0	2146155.0	1940264.0	2335103.0	2259617.0	1428600.0	2278644.0	2244910.0	2275264.0	2216452.0	2013945.0	2357723.0	2471008.0	1981461.0	3049586.0	2029128.0	2418375.0	2396421.0	2387003.0	2212018.0	1706217.0	2694861.0	1817496.0	1647750.0	2626224.0	2340290.0	2284046.0
SmitsSA_2017__TZ_83788__bin.2	1951419.0	1836968.0	1970837.0	1939607.0	1797387.0	1420294.0	1987749.0	1966077.0	1997542.0	1993985.0	1865544.0	1988691.0	1790144.0	1645064.0	1975744.0	1792798.0	1233255.0	1891499.0	1799959.0	1851501.0	1804302.0	1630971.0	1919299.0	1996023.0	1625878.0	2029128.0	2460829.0	1968155.0	1930842.0	2133445.0	1970528.0	1418445.0	1967793.0	1515650.0	1426405.0	1982479.0	1849787.0	1701485.0
BritoIL_2016__W1.5.ST__bin.17	2365444.0	2300003.0	2436094.0	2388214.0	2121026.0	1713540.0	2383031.0	2349529.0	2463434.0	2468725.0	2312780.0	2436535.0	2157646.0	1959342.0	2379541.0	2192939.0	1409901.0	2261547.0	2237044.0	2197882.0	2231701.0	1982375.0	2349885.0	2458964.0	1930175.0	2418375.0	1968155.0	3248067.0	2268414.0	2329733.0	2172512.0	1685437.0	2347272.0	1825946.0	1667215.0	2332752.0	2299743.0	2031929.0
LiJ_2014__MH0400__bin.1	2199508.0	2100928.0	2318035.0	2194350.0	2087120.0	1594457.0	2261261.0	2311882.0	2326516.0	2254634.0	2134278.0	2316275.0	2001799.0	1847166.0	2215218.0	2140515.0	1380301.0	2147718.0	2114392.0	2169603.0	2059015.0	1900621.0	2180839.0	2270727.0	1862300.0	2396421.0	1930842.0	2268414.0	2707190.0	2222623.0	2068037.0	1623399.0	2346256.0	1744904.0	1569658.0	2322605.0	2157359.0	2059714.0
RampelliS_2015__H14__bin.105	2280715.0	2152542.0	2336106.0	2267173.0	2099415.0	1620575.0	2304431.0	2300013.0	2387764.0	2306058.0	2222307.0	2348172.0	2052269.0	1880623.0	2268667.0	2109232.0	1418547.0	2217711.0	2089311.0	2109188.0	2137457.0	1885018.0	2277797.0	2354836.0	1914057.0	2387003.0	2133445.0	2329733.0	2222623.0	3032394.0	2552880.0	1613852.0	2310420.0	1757983.0	1650131.0	2300337.0	2205467.0	1957979.0
RampelliS_2015__H13__bin.37	2103760.0	2005856.0	2172314.0	2127343.0	1966924.0	1488043.0	2147186.0	2137523.0	2222254.0	2151268.0	2066828.0	2170279.0	1925562.0	1746240.0	2111221.0	1953426.0	1335765.0	2043272.0	1935097.0	1957836.0	2008664.0	1756280.0	2106023.0	2191911.0	1817111.0	2212018.0	1970528.0	2172512.0	2068037.0	2552880.0	2914785.0	1514759.0	2153843.0	1649780.0	1536251.0	2161935.0	2035456.0	1813080.0
LeChatelierE_2013__MH0096__bin.47	1607203.0	1589423.0	1734421.0	1615181.0	1726926.0	1267500.0	1673104.0	1646673.0	1872813.0	1642967.0	1620265.0	1694220.0	1493403.0	1410965.0	1598651.0	1605960.0	1081688.0	1558455.0	1706861.0	1640333.0	1541755.0	1407186.0	1612165.0	1679669.0	1375587.0	1706217.0	1418445.0	1685437.0	1623399.0	1613852.0	1514759.0	2447057.0	1658920.0	1331624.0	1209081.0	1640236.0	1569965.0	1525816.0
CosteaPI_2017__SID713A049-11-0-0__bin.5	2311526.0	2226381.0	2472446.0	2318874.0	2151964.0	1641331.0	2387230.0	2586072.0	2463048.0	2389741.0	2263562.0	2430963.0	2089958.0	1878386.0	2290669.0	2217115.0	1404795.0	2220698.0	2190170.0	2234167.0	2192584.0	2009922.0	2305642.0	2393887.0	1925966.0	2694861.0	1967793.0	2347272.0	2346256.0	2310420.0	2153843.0	1658920.0	2889491.0	1798233.0	1601160.0	2591562.0	2273693.0	2253143.0
BritoIL_2016__M2.33.ST__bin.15	1767973.0	1711131.0	1787988.0	1773187.0	1631004.0	1394713.0	1786747.0	1760881.0	1765055.0	1813804.0	1730830.0	1823569.0	1625963.0	1549601.0	1785830.0	1657532.0	1145151.0	1754185.0	1650981.0	1679249.0	1664101.0	1541456.0	1729041.0	1923967.0	1479899.0	1817496.0	1515650.0	1825946.0	1744904.0	1757983.0	1649780.0	1331624.0	1798233.0	2079931.0	1319711.0	1783301.0	1783492.0	1621252.0
XieH_2016__YSZC12003_37315__bin.30	1600819.0	1565920.0	1605317.0	1610131.0	1518165.0	1209493.0	1667568.0	1611327.0	1651361.0	1644895.0	1594431.0	1667091.0	1461760.0	1424798.0	1615893.0	1495623.0	1097917.0	1623874.0	1475381.0	1528479.0	1512393.0	1334074.0	1610511.0	1686304.0	1394739.0	1647750.0	1426405.0	1667215.0	1569658.0	1650131.0	1536251.0	1209081.0	1601160.0	1319711.0	1982661.0	1624878.0	1580319.0	1421684.0
CosteaPI_2017__SID713A049-11-90-0__bin.7	2292902.0	2213965.0	2431109.0	2292129.0	2138835.0	1623814.0	2385859.0	2532634.0	2431200.0	2367737.0	2235842.0	2392658.0	2090448.0	1896581.0	2272485.0	2184685.0	1417274.0	2225048.0	2152183.0	2197167.0	2146590.0	1946062.0	2275923.0	2375907.0	1932348.0	2626224.0	1982479.0	2332752.0	2322605.0	2300337.0	2161935.0	1640236.0	2591562.0	1783301.0	1624878.0	2745598.0	2256695.0	2176822.0
BritoIL_2016__W1.51.ST__bin.60	2285258.0	2168501.0	2277847.0	2225077.0	2017098.0	1604028.0	2294368.0	2255903.0	2304571.0	2294374.0	2171638.0	2327147.0	2012515.0	1824527.0	2252279.0	2063126.0	1341535.0	2198806.0	2045793.0	2075851.0	2075715.0	1869028.0	2184463.0	2435610.0	1830524.0	2340290.0	1849787.0	2299743.0	2157359.0	2205467.0	2035456.0	1569965.0	2273693.0	1783492.0	1580319.0	2256695.0	2691484.0	1973404.0
CosteaPI_2017__SID713B037-11-90-0__bin.15	1952536.0	1918034.0	2105698.0	1961789.0	1892525.0	1486893.0	2065384.0	2254336.0	2089748.0	2031122.0	1931537.0	2094397.0	1783753.0	1663769.0	1977193.0	1994412.0	1250395.0	1911879.0	1964501.0	1973131.0	1866002.0	1841242.0	1976575.0	2084635.0	1671668.0	2284046.0	1701485.0	2031929.0	2059714.0	1957979.0	1813080.0	1525816.0	2253143.0	1621252.0	1421684.0	2176822.0	1973404.0	2431747.0
