	SchirmerM_2016__G88861__bin.5	LiJ_2014__O2.UC1-1__bin.22	LiuW_2016__SRR3993014__bin.86	VogtmannE_2016__MMRS38954404ST-27-0-0__bin.24	LoombaR_2017__SID5447_cka__bin.26	SchirmerM_2016__G88913__bin.12	QinJ_2012__DLM008__bin.23	KarlssonFH_2013__S304__bin.14	LiuW_2016__SRR3993038__bin.51	LiuW_2016__SRR3992961__bin.129	QinN_2014__HV-26__bin.3	LeChatelierE_2013__MH0217__bin.27	LiuW_2016__SRR3992956__bin.13	VatanenT_2016__G80346__bin.6	VogtmannE_2016__MMRS21365932ST-27-0-0__bin.57	VincentC_2016__MM022.3__bin.14	LiuW_2016__SRR3992993__bin.11	ZeeviD_2015__PNP_Main_187__bin.45	LeChatelierE_2013__MH0188__bin.41	CosteaPI_2017__SID713A081-11-0-0__bin.40	Bengtsson-PalmeJ_2015__TRAVELRES8__bin.106	VogtmannE_2016__MMRS34569532ST-27-0-0__bin.33	ZeeviD_2015__PNP_Main_195__bin.12	LoombaR_2017__SID5486_yds__bin.2	LeChatelierE_2013__MH0415__bin.40	VogtmannE_2016__MMRS67690541ST-27-0-0__bin.19	ChengpingW_2017__AS4raw__bin.16	CosteaPI_2017__SID713B063-11-0-0__bin.12	CosteaPI_2017__SID713B005-11-90-0__bin.3	ZeeviD_2015__PNP_Main_709__bin.27	NielsenHB_2014__O2_UC1_0__bin.3	SchirmerM_2016__G88859__bin.15	LoombaR_2017__SID5208_byt__bin.5
QinN_2014__HV-26__bin.3	10142.0	22544.0	20208.0	24196.0	23539.0	12797.0	26615.0	4911.0	16461.0	10329.0	0.0	24064.0	19394.0	11481.0	18919.0	23955.0	24716.0	22386.0	23980.0	24405.0	24413.0	21996.0	25177.0	26325.0	24123.0	18463.0	26304.0	19319.0	24671.0	24752.0	13119.0	21870.0	20939.0
LeChatelierE_2013__MH0217__bin.27	19100.0	19634.0	4361.0	20590.0	2289.0	222.0	22761.0	12491.0	13771.0	17982.0	24064.0	0.0	3825.0	20837.0	15854.0	20284.0	4003.0	3582.0	1876.0	2867.0	367.0	18785.0	21858.0	2314.0	18263.0	15588.0	22941.0	15973.0	2643.0	3884.0	11423.0	18519.0	1093.0
LiuW_2016__SRR3992956__bin.13	14754.0	14728.0	4445.0	15563.0	3752.0	2114.0	17137.0	7733.0	11870.0	14236.0	19394.0	3825.0	0.0	15469.0	11165.0	15428.0	1428.0	4739.0	3301.0	3730.0	3884.0	14004.0	16025.0	5024.0	14310.0	12580.0	17276.0	13800.0	2802.0	5009.0	8909.0	14511.0	3605.0
VatanenT_2016__G80346__bin.6	8419.0	19422.0	17587.0	21368.0	20575.0	10628.0	24225.0	3779.0	14022.0	8033.0	11481.0	20837.0	15469.0	0.0	17334.0	20930.0	20576.0	18974.0	21527.0	21120.0	21087.0	19252.0	22249.0	21359.0	21116.0	16040.0	23643.0	15923.0	21679.0	21904.0	11281.0	19176.0	17827.0
VogtmannE_2016__MMRS21365932ST-27-0-0__bin.57	14745.0	16418.0	13096.0	18038.0	15579.0	7309.0	16994.0	14305.0	10759.0	16073.0	18919.0	15854.0	11165.0	17334.0	0.0	17204.0	15655.0	14184.0	17702.0	16124.0	15947.0	17460.0	16289.0	16306.0	14793.0	12913.0	16333.0	11328.0	17613.0	17138.0	9565.0	14385.0	12518.0
VincentC_2016__MM022.3__bin.14	19136.0	2159.0	17105.0	422.0	19832.0	10317.0	23914.0	11561.0	13985.0	19553.0	23955.0	20284.0	15428.0	20930.0	17204.0	0.0	20507.0	18890.0	20011.0	20307.0	20538.0	1538.0	20254.0	20391.0	21323.0	1259.0	23783.0	16491.0	20664.0	20789.0	1186.0	18402.0	17407.0
LiuW_2016__SRR3992993__bin.11	18808.0	19279.0	4164.0	20790.0	4012.0	1974.0	22325.0	10992.0	13512.0	17806.0	24716.0	4003.0	1428.0	20576.0	15655.0	20507.0	0.0	5099.0	3394.0	4215.0	4103.0	18812.0	21034.0	5927.0	18597.0	15790.0	22286.0	15782.0	2714.0	5635.0	11583.0	17964.0	3704.0
ZeeviD_2015__PNP_Main_187__bin.45	17377.0	17906.0	5276.0	19041.0	2738.0	2141.0	20650.0	10073.0	12455.0	16748.0	22386.0	3582.0	4739.0	18974.0	14184.0	18890.0	5099.0	0.0	2890.0	3730.0	3630.0	17151.0	19069.0	2859.0	16883.0	15028.0	20570.0	14749.0	3792.0	415.0	10575.0	16491.0	3758.0
LeChatelierE_2013__MH0188__bin.41	19266.0	19067.0	4027.0	20606.0	2342.0	1029.0	23221.0	13047.0	13552.0	18245.0	23980.0	1876.0	3301.0	21527.0	17702.0	20011.0	3394.0	2890.0	0.0	2256.0	1827.0	18702.0	21409.0	2319.0	18169.0	15213.0	22639.0	15450.0	3388.0	3597.0	11288.0	17533.0	2442.0
CosteaPI_2017__SID713A081-11-0-0__bin.40	18848.0	19356.0	4760.0	20843.0	2917.0	1510.0	22935.0	11303.0	13786.0	18102.0	24405.0	2867.0	3730.0	21120.0	16124.0	20307.0	4215.0	3730.0	2256.0	0.0	2822.0	18978.0	21101.0	2845.0	18333.0	15575.0	22277.0	15503.0	5158.0	4463.0	11451.0	17600.0	2646.0
Bengtsson-PalmeJ_2015__TRAVELRES8__bin.106	19606.0	19462.0	4472.0	20893.0	2543.0	277.0	23191.0	11399.0	14113.0	18420.0	24413.0	367.0	3884.0	21087.0	15947.0	20538.0	4103.0	3630.0	1827.0	2822.0	0.0	18890.0	21476.0	2503.0	18730.0	15716.0	23594.0	16013.0	2946.0	3936.0	11470.0	18215.0	1091.0
VogtmannE_2016__MMRS34569532ST-27-0-0__bin.33	17862.0	838.0	15451.0	1288.0	18086.0	9287.0	22736.0	11742.0	13132.0	17956.0	21996.0	18785.0	14004.0	19252.0	17460.0	1538.0	18812.0	17151.0	18702.0	18978.0	18890.0	0.0	18273.0	18738.0	19735.0	1891.0	22582.0	14959.0	19183.0	19299.0	380.0	16975.0	16135.0
ZeeviD_2015__PNP_Main_195__bin.12	19750.0	18986.0	17613.0	20155.0	20807.0	10540.0	23180.0	14614.0	14471.0	20553.0	25177.0	21858.0	16025.0	22249.0	16289.0	20254.0	21034.0	19069.0	21409.0	21101.0	21476.0	18273.0	0.0	21579.0	20411.0	15563.0	23238.0	16636.0	22559.0	22405.0	11090.0	19111.0	18126.0
LoombaR_2017__SID5486_yds__bin.2	19135.0	19268.0	4846.0	20946.0	631.0	1318.0	22875.0	11852.0	14042.0	18316.0	26325.0	2314.0	5024.0	21359.0	16306.0	20391.0	5927.0	2859.0	2319.0	2845.0	2503.0	18738.0	21579.0	0.0	18817.0	15660.0	22456.0	15830.0	2993.0	3393.0	11514.0	18291.0	2695.0
LeChatelierE_2013__MH0415__bin.40	19097.0	19825.0	15793.0	21607.0	18103.0	9149.0	22230.0	12026.0	14136.0	20162.0	24123.0	18263.0	14310.0	21116.0	14793.0	21323.0	18597.0	16883.0	18169.0	18333.0	18730.0	19735.0	20411.0	18817.0	0.0	16604.0	22024.0	16011.0	19098.0	19117.0	11595.0	18092.0	15897.0
VogtmannE_2016__MMRS67690541ST-27-0-0__bin.19	14825.0	2470.0	13817.0	1142.0	15174.0	8711.0	18191.0	8990.0	10913.0	15132.0	18463.0	15588.0	12580.0	16040.0	12913.0	1259.0	15790.0	15028.0	15213.0	15575.0	15716.0	1891.0	15563.0	15660.0	16604.0	0.0	18179.0	12808.0	15817.0	15874.0	1304.0	14571.0	13494.0
ChengpingW_2017__AS4raw__bin.16	21634.0	22579.0	18128.0	24589.0	22108.0	11296.0	2224.0	13753.0	15186.0	22087.0	26304.0	22941.0	17276.0	23643.0	16333.0	23783.0	22286.0	20570.0	22639.0	22277.0	23594.0	22582.0	23238.0	22456.0	22024.0	18179.0	0.0	17313.0	23761.0	23478.0	13220.0	20261.0	19281.0
CosteaPI_2017__SID713B063-11-0-0__bin.12	15178.0	15716.0	14505.0	16423.0	15431.0	8876.0	17181.0	8155.0	11917.0	15518.0	19319.0	15973.0	13800.0	15923.0	11328.0	16491.0	15782.0	14749.0	15450.0	15503.0	16013.0	14959.0	16636.0	15830.0	16011.0	12808.0	17313.0	0.0	16104.0	16002.0	9133.0	14746.0	14840.0
CosteaPI_2017__SID713B005-11-90-0__bin.3	19735.0	19587.0	3467.0	21301.0	2956.0	1411.0	23817.0	13430.0	13975.0	18349.0	24671.0	2643.0	2802.0	21679.0	17613.0	20664.0	2714.0	3792.0	3388.0	5158.0	2946.0	19183.0	22559.0	2993.0	19098.0	15817.0	23761.0	16104.0	0.0	4518.0	11653.0	18426.0	2614.0
ZeeviD_2015__PNP_Main_709__bin.27	19831.0	19770.0	5614.0	21473.0	3294.0	2123.0	24413.0	11714.0	14015.0	18861.0	24752.0	3884.0	5009.0	21904.0	17138.0	20789.0	5635.0	415.0	3597.0	4463.0	3936.0	19299.0	22405.0	3393.0	19117.0	15874.0	23478.0	16002.0	4518.0	0.0	11602.0	18688.0	6708.0
NielsenHB_2014__O2_UC1_0__bin.3	10727.0	500.0	9567.0	1058.0	11094.0	5997.0	13319.0	6378.0	8108.0	10805.0	13119.0	11423.0	8909.0	11281.0	9565.0	1186.0	11583.0	10575.0	11288.0	11451.0	11470.0	380.0	11090.0	11514.0	11595.0	1304.0	13220.0	9133.0	11653.0	11602.0	0.0	10658.0	9554.0
SchirmerM_2016__G88859__bin.15	17686.0	17907.0	15599.0	18493.0	17984.0	9384.0	20543.0	10550.0	13020.0	17504.0	21870.0	18519.0	14511.0	19176.0	14385.0	18402.0	17964.0	16491.0	17533.0	17600.0	18215.0	16975.0	19111.0	18291.0	18092.0	14571.0	20261.0	14746.0	18426.0	18688.0	10658.0	0.0	15494.0
LoombaR_2017__SID5208_byt__bin.5	16509.0	16369.0	4261.0	17716.0	2548.0	583.0	20023.0	8299.0	12216.0	15524.0	20939.0	1093.0	3605.0	17827.0	12518.0	17407.0	3704.0	3758.0	2442.0	2646.0	1091.0	16135.0	18126.0	2695.0	15897.0	13494.0	19281.0	14840.0	2614.0	6708.0	9554.0	15494.0	0.0
