	BritoIL_2016__M2.31.ST__bin.51	BritoIL_2016__W2.65.ST__bin.29	BritoIL_2016__W2.4.ST__bin.28	BritoIL_2016__M1.7.ST__bin.4	BritoIL_2016__WL.26.ST__bin.2	BritoIL_2016__M1.63.ST__bin.17	BritoIL_2016__M1.22.ST__bin.19	BritoIL_2016__M2.51.ST__bin.51	BritoIL_2016__M2.58.ST__bin.42	BritoIL_2016__M1.62.ST__bin.5	BritoIL_2016__W1.20.ST__bin.32	BritoIL_2016__M1.25.ST__bin.54	BritoIL_2016__M2.11.ST__bin.81	BritoIL_2016__WL.20.ST__bin.78	BritoIL_2016__WL.15.ST__bin.42	BritoIL_2016__W3.23.ST__bin.68	BritoIL_2016__W3.1.ST__bin.28	BritoIL_2016__M1.15.ST__bin.10	BritoIL_2016__W1.8.ST__bin.52	BritoIL_2016__M1.37.ST__bin.8	BritoIL_2016__W2.13.ST__bin.17	BritoIL_2016__WL.13.ST__bin.55	BritoIL_2016__WL.17.ST__bin.1	BritoIL_2016__M2.32.ST__bin.1	BritoIL_2016__W1.37.ST__bin.26	BritoIL_2016__M2.5.ST__bin.36	BritoIL_2016__W2.46.ST__bin.8	BritoIL_2016__M1.64.ST__bin.18	BritoIL_2016__W2.53.ST__bin.13	BritoIL_2016__W1.14.ST__bin.49	BritoIL_2016__WL.9.ST__bin.11	BritoIL_2016__M1.52.ST__bin.64	BritoIL_2016__W1.6.ST__bin.25	BritoIL_2016__W1.2.ST__bin.40	BritoIL_2016__M1.6.ST__bin.26	BritoIL_2016__WL.1.ST__bin.13	BritoIL_2016__M2.57.ST__bin.48	BritoIL_2016__W1.18.ST__bin.39	BritoIL_2016__M1.48.ST__bin.68	BritoIL_2016__W3.17.ST__bin.69	BritoIL_2016__W2.36.ST__bin.37
BritoIL_2016__W1.20.ST__bin.32	77237.0	76283.0	76086.0	43444.0	52689.0	77554.0	77294.0	74029.0	56586.0	58984.0	0.0	47617.0	51044.0	66146.0	60082.0	64642.0	50978.0	35965.0	78038.0	62432.0	43911.0	75636.0	85721.0	67327.0	74738.0	69295.0	38122.0	48901.0	47088.0	88702.0	59369.0	86285.0	86268.0	39959.0	43900.0	61822.0	83161.0	63471.0	51674.0	74732.0	44613.0
BritoIL_2016__M1.25.ST__bin.54	44119.0	47320.0	47379.0	25033.0	30715.0	42115.0	44696.0	39696.0	34234.0	35897.0	47617.0	0.0	32271.0	39830.0	33119.0	36472.0	30004.0	20857.0	47112.0	35877.0	26381.0	43904.0	52007.0	39865.0	42555.0	41377.0	25207.0	28617.0	28940.0	49048.0	36547.0	50823.0	51901.0	24400.0	25171.0	37104.0	48954.0	38879.0	28815.0	45144.0	27887.0
BritoIL_2016__M2.11.ST__bin.81	52324.0	49996.0	50145.0	30483.0	35029.0	52084.0	50228.0	46653.0	36347.0	39024.0	51044.0	32271.0	0.0	45198.0	43020.0	39807.0	34130.0	25053.0	51858.0	43100.0	31547.0	47658.0	55635.0	42512.0	47659.0	47162.0	26590.0	36669.0	30684.0	54294.0	40475.0	48505.0	58432.0	26507.0	30057.0	37596.0	53060.0	42912.0	36217.0	48791.0	31438.0
BritoIL_2016__WL.20.ST__bin.78	62321.0	58983.0	58335.0	35923.0	42173.0	61067.0	62436.0	65264.0	49296.0	52510.0	66146.0	39830.0	45198.0	0.0	53306.0	51257.0	42251.0	29076.0	63902.0	49917.0	35908.0	60332.0	70633.0	57132.0	62643.0	58295.0	32423.0	42591.0	40284.0	68914.0	46955.0	66395.0	69098.0	30138.0	35270.0	49586.0	68415.0	53766.0	41151.0	62848.0	35677.0
BritoIL_2016__WL.15.ST__bin.42	61112.0	57766.0	57870.0	34645.0	41710.0	60009.0	57138.0	55465.0	42898.0	46053.0	60082.0	33119.0	43020.0	53306.0	0.0	45240.0	36711.0	29442.0	58272.0	48689.0	37616.0	51024.0	64820.0	52225.0	59886.0	53125.0	33011.0	42067.0	36651.0	62959.0	45761.0	62485.0	66900.0	29091.0	33811.0	48684.0	65342.0	56911.0	40806.0	54714.0	35561.0
BritoIL_2016__W3.23.ST__bin.68	61968.0	55146.0	53582.0	33426.0	38656.0	60643.0	57948.0	56218.0	44941.0	47178.0	64642.0	36472.0	39807.0	51257.0	45240.0	0.0	28300.0	26843.0	58651.0	50272.0	30148.0	57089.0	68774.0	53028.0	56125.0	51755.0	29436.0	40437.0	31444.0	63778.0	45789.0	63945.0	69584.0	28969.0	31646.0	44075.0	65762.0	48617.0	42872.0	54521.0	32413.0
BritoIL_2016__W3.1.ST__bin.28	48613.0	49017.0	48100.0	25728.0	34549.0	47100.0	47189.0	47471.0	36057.0	38274.0	50978.0	30004.0	34130.0	42251.0	36711.0	28300.0	0.0	21636.0	47398.0	40483.0	22520.0	44674.0	51206.0	40996.0	44261.0	44330.0	24369.0	31293.0	26892.0	52581.0	36151.0	53430.0	52594.0	23707.0	25493.0	37650.0	50902.0	42598.0	33019.0	45328.0	25554.0
BritoIL_2016__M1.15.ST__bin.10	33144.0	33617.0	33268.0	18683.0	23686.0	32376.0	32795.0	30926.0	26575.0	25738.0	35965.0	20857.0	25053.0	29076.0	29442.0	26843.0	21636.0	0.0	33842.0	28436.0	20676.0	31223.0	36093.0	27672.0	30531.0	28925.0	18865.0	22518.0	21406.0	36761.0	24481.0	34792.0	39501.0	16412.0	20054.0	27232.0	34421.0	30950.0	23824.0	32825.0	20343.0
BritoIL_2016__W1.8.ST__bin.52	76669.0	71019.0	70454.0	43642.0	51698.0	74975.0	74688.0	74908.0	57039.0	61506.0	78038.0	47112.0	51858.0	63902.0	58272.0	58651.0	47398.0	33842.0	0.0	62100.0	40698.0	72997.0	82773.0	63700.0	71443.0	68227.0	37031.0	50163.0	44944.0	82607.0	58372.0	81561.0	85973.0	37633.0	41346.0	57318.0	83266.0	62569.0	50770.0	73359.0	44824.0
BritoIL_2016__M1.37.ST__bin.8	57769.0	58963.0	57815.0	36191.0	40421.0	56701.0	58340.0	57570.0	43113.0	47295.0	62432.0	35877.0	43100.0	49917.0	48689.0	50272.0	40483.0	28436.0	62100.0	0.0	34114.0	58217.0	63636.0	53913.0	56926.0	54035.0	29176.0	39442.0	36285.0	63825.0	45425.0	63946.0	67722.0	31253.0	33811.0	46663.0	65314.0	50636.0	41390.0	58288.0	34637.0
BritoIL_2016__W2.13.ST__bin.17	40363.0	37478.0	37377.0	23982.0	27839.0	39272.0	39927.0	40991.0	32414.0	32658.0	43911.0	26381.0	31547.0	35908.0	37616.0	30148.0	22520.0	20676.0	40698.0	34114.0	0.0	39567.0	43463.0	35679.0	40072.0	39534.0	22463.0	28542.0	23025.0	46909.0	32073.0	43999.0	45780.0	20244.0	23065.0	32938.0	44589.0	38001.0	28469.0	38392.0	14502.0
BritoIL_2016__WL.13.ST__bin.55	72725.0	69190.0	67683.0	40843.0	46662.0	72342.0	70167.0	67238.0	53364.0	53068.0	75636.0	43904.0	47658.0	60332.0	51024.0	57089.0	44674.0	31223.0	72997.0	58217.0	39567.0	0.0	77269.0	62047.0	66901.0	62821.0	33194.0	48232.0	40054.0	74565.0	54075.0	76238.0	81634.0	37143.0	37889.0	57139.0	78114.0	61855.0	46848.0	69124.0	39928.0
BritoIL_2016__WL.17.ST__bin.1	81693.0	72861.0	71936.0	48062.0	50547.0	80704.0	80071.0	80867.0	60400.0	65905.0	85721.0	52007.0	55635.0	70633.0	64820.0	68774.0	51206.0	36093.0	82773.0	63636.0	43463.0	77269.0	0.0	71204.0	73457.0	72027.0	39147.0	54968.0	47494.0	86617.0	61603.0	84972.0	92761.0	39935.0	45804.0	62846.0	90206.0	66403.0	54036.0	78282.0	47346.0
BritoIL_2016__M2.32.ST__bin.1	62474.0	65696.0	63880.0	37106.0	43593.0	61733.0	64649.0	60389.0	47120.0	47241.0	67327.0	39865.0	42512.0	57132.0	52225.0	53028.0	40996.0	27672.0	63700.0	53913.0	35679.0	62047.0	71204.0	0.0	59568.0	59099.0	32659.0	43425.0	39784.0	70854.0	51271.0	69879.0	74151.0	33081.0	36488.0	50891.0	70520.0	53277.0	41542.0	64857.0	39687.0
BritoIL_2016__W1.37.ST__bin.26	72585.0	68643.0	68171.0	42878.0	46662.0	70500.0	66830.0	64797.0	53761.0	55237.0	74738.0	42555.0	47659.0	62643.0	59886.0	56125.0	44261.0	30531.0	71443.0	56926.0	40072.0	66901.0	73457.0	59568.0	0.0	63808.0	35565.0	48692.0	42476.0	74217.0	54289.0	74764.0	78997.0	34435.0	40877.0	53913.0	75891.0	58662.0	47223.0	68891.0	40410.0
BritoIL_2016__M2.5.ST__bin.36	67957.0	65391.0	65116.0	36662.0	47051.0	66093.0	65199.0	64620.0	48305.0	51043.0	69295.0	41377.0	47162.0	58295.0	53125.0	51755.0	44330.0	28925.0	68227.0	54035.0	39534.0	62821.0	72027.0	59099.0	63808.0	0.0	32215.0	45849.0	39857.0	71269.0	51800.0	69355.0	74302.0	33457.0	35843.0	50716.0	69916.0	55276.0	43471.0	63493.0	41439.0
BritoIL_2016__W2.46.ST__bin.8	36801.0	35271.0	35658.0	20387.0	24536.0	35906.0	35716.0	36486.0	27042.0	29541.0	38122.0	25207.0	26590.0	32423.0	33011.0	29436.0	24369.0	18865.0	37031.0	29176.0	22463.0	33194.0	39147.0	32659.0	35565.0	32215.0	0.0	24628.0	18177.0	37112.0	28809.0	39997.0	43608.0	17598.0	21996.0	28500.0	41742.0	32919.0	25400.0	29142.0	22649.0
BritoIL_2016__M1.64.ST__bin.18	16992.0	48583.0	48764.0	28414.0	34072.0	15833.0	49721.0	50304.0	37008.0	40039.0	48901.0	28617.0	36669.0	42591.0	42067.0	40437.0	31293.0	22518.0	50163.0	39442.0	28542.0	48232.0	54968.0	43425.0	48692.0	45849.0	24628.0	0.0	29252.0	56644.0	38921.0	54966.0	56699.0	26603.0	28717.0	38998.0	52265.0	43333.0	34244.0	48381.0	29724.0
BritoIL_2016__W2.53.ST__bin.13	46566.0	42674.0	41929.0	25289.0	27703.0	45948.0	45867.0	43903.0	32729.0	36677.0	47088.0	28940.0	30684.0	40284.0	36651.0	31444.0	26892.0	21406.0	44944.0	36285.0	23025.0	40054.0	47494.0	39784.0	42476.0	39857.0	18177.0	29252.0	0.0	45879.0	33531.0	46623.0	49897.0	20757.0	24652.0	32373.0	47746.0	37649.0	29903.0	34941.0	25267.0
BritoIL_2016__W1.14.ST__bin.49	82535.0	77731.0	77501.0	45641.0	53450.0	80979.0	77324.0	77835.0	59284.0	62631.0	88702.0	49048.0	54294.0	68914.0	62959.0	63778.0	52581.0	36761.0	82607.0	63825.0	46909.0	74565.0	86617.0	70854.0	74217.0	71269.0	37112.0	56644.0	45879.0	0.0	60575.0	84337.0	89172.0	40408.0	44920.0	62184.0	88298.0	65303.0	54790.0	75706.0	48799.0
BritoIL_2016__WL.9.ST__bin.11	58722.0	53577.0	53392.0	33139.0	37262.0	58053.0	57614.0	56033.0	43121.0	45141.0	59369.0	36547.0	40475.0	46955.0	45761.0	45789.0	36151.0	24481.0	58372.0	45425.0	32073.0	54075.0	61603.0	51271.0	54289.0	51800.0	28809.0	38921.0	33531.0	60575.0	0.0	60910.0	62877.0	28178.0	32638.0	43222.0	61468.0	47392.0	38834.0	55048.0	32452.0
BritoIL_2016__M1.52.ST__bin.64	81525.0	75946.0	74756.0	47196.0	52367.0	79037.0	78686.0	77476.0	57201.0	64020.0	86285.0	50823.0	48505.0	66395.0	62485.0	63945.0	53430.0	34792.0	81561.0	63946.0	43999.0	76238.0	84972.0	69879.0	74764.0	69355.0	39997.0	54966.0	46623.0	84337.0	60910.0	0.0	90533.0	39834.0	45617.0	58782.0	86749.0	67813.0	53350.0	77172.0	47649.0
BritoIL_2016__W1.6.ST__bin.25	85477.0	81413.0	80322.0	49839.0	55328.0	82601.0	81579.0	80805.0	62103.0	66202.0	86268.0	51901.0	58432.0	69098.0	66900.0	69584.0	52594.0	39501.0	85973.0	67722.0	45780.0	81634.0	92761.0	74151.0	78997.0	74302.0	43608.0	56699.0	49897.0	89172.0	62877.0	90533.0	0.0	42033.0	47365.0	65381.0	88986.0	71297.0	56460.0	78983.0	47605.0
BritoIL_2016__W1.2.ST__bin.40	36322.0	36142.0	36508.0	19589.0	23149.0	35803.0	35670.0	35288.0	28754.0	30311.0	39959.0	24400.0	26507.0	30138.0	29091.0	28969.0	23707.0	16412.0	37633.0	31253.0	20244.0	37143.0	39935.0	33081.0	34435.0	33457.0	17598.0	26603.0	20757.0	40408.0	28178.0	39834.0	42033.0	0.0	19538.0	29541.0	41036.0	30633.0	26982.0	36475.0	20278.0
BritoIL_2016__M1.6.ST__bin.26	44193.0	43522.0	42003.0	13351.0	28270.0	42694.0	41105.0	39327.0	30685.0	32846.0	43900.0	25171.0	30057.0	35270.0	33811.0	31646.0	25493.0	20054.0	41346.0	33811.0	23065.0	37889.0	45804.0	36488.0	40877.0	35843.0	21996.0	28717.0	24652.0	44920.0	32638.0	45617.0	47365.0	19538.0	0.0	33314.0	44835.0	36408.0	29151.0	38848.0	25309.0
BritoIL_2016__WL.1.ST__bin.13	57918.0	54636.0	54369.0	34161.0	39994.0	55042.0	56627.0	53515.0	42809.0	47531.0	61822.0	37104.0	37596.0	49586.0	48684.0	44075.0	37650.0	27232.0	57318.0	46663.0	32938.0	57139.0	62846.0	50891.0	53913.0	50716.0	28500.0	38998.0	32373.0	62184.0	43222.0	58782.0	65381.0	29541.0	33314.0	0.0	58975.0	50208.0	37208.0	52697.0	34726.0
BritoIL_2016__M2.57.ST__bin.48	79273.0	78279.0	77478.0	46675.0	51783.0	76876.0	75995.0	75308.0	54867.0	62845.0	83161.0	48954.0	53060.0	68415.0	65342.0	65762.0	50902.0	34421.0	83266.0	65314.0	44589.0	78114.0	90206.0	70520.0	75891.0	69916.0	41742.0	52265.0	47746.0	88298.0	61468.0	86749.0	88986.0	41036.0	44835.0	58975.0	0.0	67284.0	51472.0	77059.0	45549.0
BritoIL_2016__W1.18.ST__bin.39	61900.0	62536.0	61972.0	37358.0	41930.0	61011.0	60093.0	56457.0	46624.0	47097.0	63471.0	38879.0	42912.0	53766.0	56911.0	48617.0	42598.0	30950.0	62569.0	50636.0	38001.0	61855.0	66403.0	53277.0	58662.0	55276.0	32919.0	43333.0	37649.0	65303.0	47392.0	67813.0	71297.0	30633.0	36408.0	50208.0	67284.0	0.0	43043.0	57341.0	38397.0
BritoIL_2016__M1.48.ST__bin.68	48894.0	47933.0	47736.0	28744.0	33227.0	48622.0	43379.0	50491.0	36698.0	39212.0	51674.0	28815.0	36217.0	41151.0	40806.0	42872.0	33019.0	23824.0	50770.0	41390.0	28469.0	46848.0	54036.0	41542.0	47223.0	43471.0	25400.0	34244.0	29903.0	54790.0	38834.0	53350.0	56460.0	26982.0	29151.0	37208.0	51472.0	43043.0	0.0	48018.0	28328.0
BritoIL_2016__W3.17.ST__bin.69	74326.0	66795.0	65714.0	42018.0	41955.0	70838.0	73686.0	69783.0	52699.0	59215.0	74732.0	45144.0	48791.0	62848.0	54714.0	54521.0	45328.0	32825.0	73359.0	58288.0	38392.0	69124.0	78282.0	64857.0	68891.0	63493.0	29142.0	48381.0	34941.0	75706.0	55048.0	77172.0	78983.0	36475.0	38848.0	52697.0	77059.0	57341.0	48018.0	0.0	42337.0
BritoIL_2016__W2.36.ST__bin.37	44205.0	37475.0	38592.0	25275.0	30616.0	42552.0	43411.0	42753.0	34598.0	34016.0	44613.0	27887.0	31438.0	35677.0	35561.0	32413.0	25554.0	20343.0	44824.0	34637.0	14502.0	39928.0	47346.0	39687.0	40410.0	41439.0	22649.0	29724.0	25267.0	48799.0	32452.0	47649.0	47605.0	20278.0	25309.0	34726.0	45549.0	38397.0	28328.0	42337.0	0.0
