	HeQ_2017__SZAXPI029577-94__bin.45	LiSS_2016__FAT_015-22-42-0__bin.64	BackhedF_2015__SID341_M__bin.41	HMP_2012__SRS017521__bin.41	QinJ_2012__CON-085__bin.12	LiJ_2014__MH0372__bin.30	BackhedF_2015__SID383_4M__bin.9	ZeeviD_2015__PNP_DietIntervention_45__bin.2	Bengtsson-PalmeJ_2015__TRAVELRES9__bin.132	ZeeviD_2015__PNP_Main_454__bin.96	BackhedF_2015__SID229_M__bin.16	FengQ_2015__SID31873__bin.56	KarlssonFH_2013__S458__bin.49	VincentC_2016__MM063__bin.15	ZeeviD_2015__PNP_Main_381__bin.24	ZeeviD_2015__PNP_DietIntervention_54__bin.3	CosteaPI_2017__donald5-11-30-0__bin.8	ZeeviD_2015__PNP_DietIntervention_50__bin.4	BritoIL_2016__M2.46.ST__bin.28	XieH_2016__YSZC12003_37207R1__bin.21	XieH_2016__YSZC12003_37206__bin.17	VincentC_2016__MM062.2__bin.4	ZeeviD_2015__PNP_Main_129__bin.30	ZeeviD_2015__PNP_DietIntervention_37__bin.7	BackhedF_2015__SID229_12M__bin.33	NielsenHB_2014__V1_UC30_0__bin.41	XieH_2016__YSZC12003_37647__bin.4	ZeeviD_2015__PNP_Main_89__bin.1	ZellerG_2014__CCIS44093303ST-4-0__bin.47	XieH_2016__YSZC12003_37097__bin.86	VogtmannE_2016__MMRS44197125ST-27-0-0__bin.42	ZellerG_2014__CCIS33816588ST-4-0__bin.45	XieH_2016__YSZC12003_37232__bin.33	LiJ_2014__MH0373__bin.56	BackhedF_2015__SID377_M__bin.41	QinJ_2012__T2D-092__bin.9	QinJ_2012__T2D-099__bin.65	KarlssonFH_2013__S58__bin.26
BackhedF_2015__SID229_M__bin.16	2810696.0	2901440.0	2939977.0	2425043.0	2644470.0	2875050.0	2603939.0	2926989.0	3073318.0	2470381.0	3247160.0	1579291.0	2853848.0	2952311.0	2974897.0	2736686.0	1865813.0	2789591.0	2241391.0	2915846.0	3124903.0	1497984.0	2856976.0	2853451.0	2637632.0	2855105.0	3117156.0	2812619.0	2889740.0	2906096.0	3096684.0	2544993.0	3160715.0	2915617.0	2875691.0	2735380.0	3049772.0	3127623.0
FengQ_2015__SID31873__bin.56	1590392.0	1598016.0	1586712.0	1412433.0	1527115.0	1604469.0	1495887.0	1624559.0	1602985.0	1309724.0	1579291.0	1656298.0	1612966.0	1617242.0	1577022.0	1555039.0	1207751.0	1555091.0	1379758.0	1632032.0	1634584.0	865648.0	1545130.0	1602213.0	1483444.0	1616255.0	1605107.0	1603689.0	1568888.0	1575435.0	1611565.0	1460001.0	1623078.0	1587091.0	1564857.0	1503998.0	1619409.0	1624576.0
KarlssonFH_2013__S458__bin.49	3037043.0	3092003.0	3033586.0	2467523.0	2675211.0	2987926.0	2702585.0	3157570.0	3073553.0	2443528.0	2853848.0	1612966.0	3215803.0	3091398.0	3064210.0	2929136.0	1861799.0	2956646.0	2304796.0	3099030.0	3148610.0	1492228.0	3032615.0	3068661.0	2766170.0	3034012.0	3085550.0	3108684.0	2820691.0	3019554.0	3101833.0	2615218.0	3133594.0	3063238.0	2816870.0	2785388.0	3099030.0	3087645.0
VincentC_2016__MM063__bin.15	3106344.0	3166652.0	3191988.0	2653491.0	2739707.0	3026659.0	2785495.0	3213717.0	3148288.0	2592994.0	2952311.0	1617242.0	3091398.0	3595700.0	3182993.0	2955135.0	1902397.0	2978189.0	2299989.0	3215042.0	3270200.0	1526671.0	3130678.0	3141917.0	2783486.0	3017165.0	3241972.0	3072962.0	2983142.0	3061978.0	3185288.0	2668199.0	3288842.0	3140120.0	2937198.0	2875382.0	3106447.0	3326726.0
ZeeviD_2015__PNP_Main_381__bin.24	3046823.0	3085022.0	3090643.0	2524478.0	2726094.0	2970786.0	2723666.0	3153737.0	3256540.0	2639865.0	2974897.0	1577022.0	3064210.0	3182993.0	3668101.0	2878036.0	1866331.0	2888091.0	2288810.0	3138004.0	3366738.0	1616133.0	3056252.0	3071255.0	2749239.0	2977470.0	3279245.0	3055258.0	3024945.0	3133408.0	3257913.0	2694552.0	3340948.0	3060539.0	2982434.0	2998958.0	3198812.0	3306354.0
ZeeviD_2015__PNP_DietIntervention_54__bin.3	2953053.0	2953594.0	2945420.0	2356155.0	2568231.0	2901159.0	2607302.0	3088496.0	2973174.0	2355937.0	2736686.0	1555039.0	2929136.0	2955135.0	2878036.0	3111753.0	1786449.0	2829536.0	2224307.0	2988237.0	2985699.0	1380500.0	2899434.0	3012807.0	2679635.0	2833434.0	2952989.0	2870385.0	2744353.0	2891065.0	2983461.0	2551051.0	2975397.0	2920196.0	2760913.0	2642411.0	2970577.0	2989196.0
CosteaPI_2017__donald5-11-30-0__bin.8	1813589.0	1882829.0	1857098.0	1703233.0	1816588.0	1837749.0	1739064.0	1878619.0	1906927.0	1514324.0	1865813.0	1207751.0	1861799.0	1902397.0	1866331.0	1786449.0	1955259.0	1820821.0	1609301.0	1898117.0	1916079.0	1028741.0	1848110.0	1864637.0	1730256.0	1863085.0	1911764.0	1854241.0	1811594.0	1846279.0	1870977.0	1663874.0	1930128.0	1850125.0	1837275.0	1763293.0	1894784.0	1888215.0
ZeeviD_2015__PNP_DietIntervention_50__bin.4	2898653.0	3092118.0	2971589.0	2391704.0	2602844.0	2915510.0	2599169.0	2993056.0	3104457.0	2371110.0	2789591.0	1555091.0	2956646.0	2978189.0	2888091.0	2829536.0	1820821.0	3178918.0	2208182.0	3002768.0	3053676.0	1410969.0	3046940.0	2960565.0	2658852.0	2888878.0	3024399.0	2896040.0	2747453.0	2873673.0	3050995.0	2515972.0	3021464.0	2921600.0	2764659.0	2658326.0	3019841.0	2978714.0
BritoIL_2016__M2.46.ST__bin.28	2251504.0	2293782.0	2281390.0	1951450.0	2143547.0	2271204.0	2095848.0	2321383.0	2317140.0	1835091.0	2241391.0	1379758.0	2304796.0	2299989.0	2288810.0	2224307.0	1609301.0	2208182.0	2676839.0	2320493.0	2358022.0	1187869.0	2235947.0	2279175.0	2135041.0	2279764.0	2320836.0	2292118.0	2194946.0	2261956.0	2331872.0	2034195.0	2342985.0	2288715.0	2210785.0	2116162.0	2333389.0	2323729.0
XieH_2016__YSZC12003_37207R1__bin.21	3119274.0	3180600.0	3227503.0	2539585.0	2733019.0	3095124.0	2747643.0	3261827.0	3173144.0	2501557.0	2915846.0	1632032.0	3099030.0	3215042.0	3138004.0	2988237.0	1898117.0	3002768.0	2320493.0	3660180.0	3255938.0	1542438.0	3146511.0	3180099.0	2777099.0	3044230.0	3182787.0	3053762.0	2916087.0	3115804.0	3163809.0	2666018.0	3196430.0	3063629.0	2904812.0	2841562.0	3183664.0	3156347.0
XieH_2016__YSZC12003_37206__bin.17	3127784.0	3244065.0	3167848.0	2585259.0	2782687.0	3111924.0	2800609.0	3257040.0	3378801.0	2786216.0	3124903.0	1634584.0	3148610.0	3270200.0	3366738.0	2985699.0	1916079.0	3053676.0	2358022.0	3255938.0	3865348.0	1658909.0	3209940.0	3169115.0	2814106.0	3071438.0	3539405.0	3107115.0	3111036.0	3258131.0	3433237.0	2736151.0	3563175.0	3145929.0	3074923.0	3048729.0	3384074.0	3420144.0
VincentC_2016__MM062.2__bin.4	1445698.0	1504605.0	1460420.0	1311868.0	1420705.0	1457216.0	1332307.0	1514387.0	1598649.0	1276527.0	1497984.0	865648.0	1492228.0	1526671.0	1616133.0	1380500.0	1028741.0	1410969.0	1187869.0	1542438.0	1658909.0	1858360.0	1514245.0	1459302.0	1363679.0	1477579.0	1608430.0	1462241.0	1484520.0	1518088.0	1594092.0	1335650.0	1636493.0	1442218.0	1494088.0	1530280.0	1591319.0	1590390.0
ZeeviD_2015__PNP_Main_129__bin.30	3005762.0	3248539.0	3096864.0	2481828.0	2641482.0	3009090.0	2662272.0	3159928.0	3282845.0	2476077.0	2856976.0	1545130.0	3032615.0	3130678.0	3056252.0	2899434.0	1848110.0	3046940.0	2235947.0	3146511.0	3209940.0	1514245.0	3396851.0	3081465.0	2718186.0	2964409.0	3134450.0	3009979.0	2793793.0	2997471.0	3162454.0	2569377.0	3192719.0	3038237.0	2852802.0	2782049.0	3137404.0	3093960.0
ZeeviD_2015__PNP_DietIntervention_37__bin.7	3112375.0	3118962.0	3088554.0	2492108.0	2671953.0	3021417.0	2706344.0	3324116.0	3123323.0	2467637.0	2853451.0	1602213.0	3068661.0	3141917.0	3071255.0	3012807.0	1864637.0	2960565.0	2279175.0	3180099.0	3169115.0	1459302.0	3081465.0	3474246.0	2744973.0	2972433.0	3109145.0	3059942.0	2845222.0	3017172.0	3105461.0	2596157.0	3157711.0	3034424.0	2840893.0	2817945.0	3108069.0	3129038.0
BackhedF_2015__SID229_12M__bin.33	2771634.0	2774209.0	2777051.0	2258964.0	2482884.0	2740539.0	2472695.0	2797181.0	2782437.0	2227659.0	2637632.0	1483444.0	2766170.0	2783486.0	2749239.0	2679635.0	1730256.0	2658852.0	2135041.0	2777099.0	2814106.0	1363679.0	2718186.0	2744973.0	3570341.0	2710574.0	2782352.0	2711063.0	2598526.0	2720489.0	2817846.0	2415077.0	2833850.0	2786078.0	2630854.0	2529440.0	2777561.0	2824517.0
NielsenHB_2014__V1_UC30_0__bin.41	2971198.0	2986217.0	2952528.0	2426555.0	2683766.0	2915689.0	2644016.0	3034679.0	3016424.0	2420974.0	2855105.0	1616255.0	3034012.0	3017165.0	2977470.0	2833434.0	1863085.0	2888878.0	2279764.0	3044230.0	3071438.0	1477579.0	2964409.0	2972433.0	2710574.0	3153173.0	3062630.0	3042338.0	2825823.0	2921748.0	3042599.0	2603920.0	3091034.0	2968926.0	2748422.0	2741413.0	3004431.0	3033676.0
XieH_2016__YSZC12003_37647__bin.4	3090278.0	3185715.0	3172328.0	2561958.0	2767942.0	3032641.0	2793579.0	3194618.0	3342558.0	2828895.0	3117156.0	1605107.0	3085550.0	3241972.0	3279245.0	2952989.0	1911764.0	3024399.0	2320836.0	3182787.0	3539405.0	1608430.0	3134450.0	3109145.0	2782352.0	3062630.0	3745790.0	3077622.0	3178684.0	3213758.0	3394600.0	2697093.0	3640207.0	3185738.0	3080083.0	2999922.0	3337268.0	3466814.0
ZeeviD_2015__PNP_Main_89__bin.1	2996585.0	3046813.0	2997785.0	2450184.0	2658726.0	2951827.0	2660985.0	3090863.0	3038112.0	2431931.0	2812619.0	1603689.0	3108684.0	3072962.0	3055258.0	2870385.0	1854241.0	2896040.0	2292118.0	3053762.0	3107115.0	1462241.0	3009979.0	3059942.0	2711063.0	3042338.0	3077622.0	3322460.0	2801568.0	3001704.0	3089449.0	2573631.0	3131724.0	3024583.0	2788442.0	2796577.0	3009788.0	3114529.0
ZellerG_2014__CCIS44093303ST-4-0__bin.47	2873804.0	2848259.0	2953782.0	2404150.0	2579896.0	2803420.0	2642670.0	2911530.0	2977130.0	2553357.0	2889740.0	1568888.0	2820691.0	2983142.0	3024945.0	2744353.0	1811594.0	2747453.0	2194946.0	2916087.0	3111036.0	1484520.0	2793793.0	2845222.0	2598526.0	2825823.0	3178684.0	2801568.0	3855020.0	2929505.0	3139653.0	2526473.0	3196261.0	2922435.0	2878348.0	2813337.0	3029015.0	3260931.0
XieH_2016__YSZC12003_37097__bin.86	2965787.0	3069498.0	3048769.0	2414396.0	2654695.0	2924314.0	2627969.0	3077151.0	3188758.0	2571358.0	2906096.0	1575435.0	3019554.0	3061978.0	3133408.0	2891065.0	1846279.0	2873673.0	2261956.0	3115804.0	3258131.0	1518088.0	2997471.0	3017172.0	2720489.0	2921748.0	3213758.0	3001704.0	2929505.0	4170124.0	3254299.0	2652281.0	3235696.0	2958776.0	2922654.0	2885106.0	3175963.0	3262713.0
VogtmannE_2016__MMRS44197125ST-27-0-0__bin.42	3135849.0	3209488.0	3200214.0	2529792.0	2747001.0	3104751.0	2782878.0	3192522.0	3379671.0	2711460.0	3096684.0	1611565.0	3101833.0	3185288.0	3257913.0	2983461.0	1870977.0	3050995.0	2331872.0	3163809.0	3433237.0	1594092.0	3162454.0	3105461.0	2817846.0	3042599.0	3394600.0	3089449.0	3139653.0	3254299.0	3777410.0	2712173.0	3446236.0	3159681.0	3073904.0	3062655.0	3330723.0	3449882.0
ZellerG_2014__CCIS33816588ST-4-0__bin.45	2574768.0	2628889.0	2599859.0	2140715.0	2411675.0	2588348.0	2333968.0	2656604.0	2683662.0	2209694.0	2544993.0	1460001.0	2615218.0	2668199.0	2694552.0	2551051.0	1663874.0	2515972.0	2034195.0	2666018.0	2736151.0	1335650.0	2569377.0	2596157.0	2415077.0	2603920.0	2697093.0	2573631.0	2526473.0	2652281.0	2712173.0	2835754.0	2738399.0	2627188.0	2510754.0	2498548.0	2705305.0	2710511.0
XieH_2016__YSZC12003_37232__bin.33	3132454.0	3234903.0	3222177.0	2605854.0	2780908.0	3074804.0	2826915.0	3235572.0	3401617.0	2865727.0	3160715.0	1623078.0	3133594.0	3288842.0	3340948.0	2975397.0	1930128.0	3021464.0	2342985.0	3196430.0	3563175.0	1636493.0	3192719.0	3157711.0	2833850.0	3091034.0	3640207.0	3131724.0	3196261.0	3235696.0	3446236.0	2738399.0	3846766.0	3231067.0	3120297.0	3051872.0	3397112.0	3491971.0
LiJ_2014__MH0373__bin.56	3056626.0	3049092.0	3144559.0	2540997.0	2667325.0	2981521.0	2839516.0	3118427.0	3042913.0	2476869.0	2915617.0	1587091.0	3063238.0	3140120.0	3060539.0	2920196.0	1850125.0	2921600.0	2288715.0	3063629.0	3145929.0	1442218.0	3038237.0	3034424.0	2786078.0	2968926.0	3185738.0	3024583.0	2922435.0	2958776.0	3159681.0	2627188.0	3231067.0	3548161.0	2919335.0	2769700.0	3090475.0	3198400.0
BackhedF_2015__SID377_M__bin.41	2831632.0	2900086.0	2971091.0	2460742.0	2588211.0	2856278.0	2635543.0	2919100.0	3004649.0	2472324.0	2875691.0	1564857.0	2816870.0	2937198.0	2982434.0	2760913.0	1837275.0	2764659.0	2210785.0	2904812.0	3074923.0	1494088.0	2852802.0	2840893.0	2630854.0	2748422.0	3080083.0	2788442.0	2878348.0	2922654.0	3073904.0	2510754.0	3120297.0	2919335.0	3657902.0	2753568.0	3048306.0	3107930.0
QinJ_2012__T2D-092__bin.9	2764328.0	2824115.0	2814124.0	2333829.0	2553367.0	2735553.0	2499063.0	2875317.0	2943924.0	2441549.0	2735380.0	1503998.0	2785388.0	2875382.0	2998958.0	2642411.0	1763293.0	2658326.0	2116162.0	2841562.0	3048729.0	1530280.0	2782049.0	2817945.0	2529440.0	2741413.0	2999922.0	2796577.0	2813337.0	2885106.0	3062655.0	2498548.0	3051872.0	2769700.0	2753568.0	3603192.0	2953152.0	3033918.0
QinJ_2012__T2D-099__bin.65	3072428.0	3152323.0	3109556.0	2499749.0	2732425.0	3101759.0	2729928.0	3173016.0	3368562.0	2633985.0	3049772.0	1619409.0	3099030.0	3106447.0	3198812.0	2970577.0	1894784.0	3019841.0	2333389.0	3183664.0	3384074.0	1591319.0	3137404.0	3108069.0	2777561.0	3004431.0	3337268.0	3009788.0	3029015.0	3175963.0	3330723.0	2705305.0	3397112.0	3090475.0	3048306.0	2953152.0	3703025.0	3281060.0
KarlssonFH_2013__S58__bin.26	3148648.0	3120245.0	3254827.0	2609241.0	2736463.0	3076160.0	2834644.0	3214243.0	3286135.0	2757729.0	3127623.0	1624576.0	3087645.0	3326726.0	3306354.0	2989196.0	1888215.0	2978714.0	2323729.0	3156347.0	3420144.0	1590390.0	3093960.0	3129038.0	2824517.0	3033676.0	3466814.0	3114529.0	3260931.0	3262713.0	3449882.0	2710511.0	3491971.0	3198400.0	3107930.0	3033918.0	3281060.0	3849624.0
