	HMP_2012__SRS063932__bin.66	HMP_2012__SRS078182__bin.26	HMP_2012__SRS020226__bin.2	HMP_2012__SRS042643__bin.14	HMP_2012__SRS015762__bin.18	HMP_2012__SRS017511__bin.3	HMP_2012__SRS014271__bin.2	HMP_2012__SRS021496__bin.61	CM_cf__CF_TNFC002SA_t1M15__bin.5	HMP_2012__SRS024289__bin.40	CM_periimplantitis__SP_344SPT_T016__bin.26	CM_periimplantitis__SP_282SPT_T016_R__bin.15	HMP_2012__SRS018300__bin.10	HMP_2012__SRS013252__bin.53	HMP_2012__SRS018443__bin.5	HMP_2012__SRS011115__bin.26	CM_periimplantitis__SP_283SPT_T016__bin.9	HMP_2012__SRS058808__bin.22	HMP_2012__SRS017304__bin.36	HMP_2012__SRS022602__bin.56	HMP_2012__SRS022536__bin.33	HMP_2012__SRS018665__bin.34	CM_cf__CF_TNFC022IS_t3M16__bin.14	HMP_2012__SRS049318__bin.75	HMP_2012__SRS024355__bin.9	HMP_2012__SRS015893__bin.10	HMP_2012__SRS063603__bin.69	HMP_2012__SRS022143__bin.95	HMP_2012__SRS022725__bin.68	HMP_2012__SRS012279__bin.14	HMP_2012__SRS056622__bin.20	HMP_2012__SRS047824__bin.23	HMP_2012__SRS013723__bin.46	HMP_2012__SRS018439__bin.57	HMP_2012__SRS062544__bin.37	HMP_2012__SRS018739__bin.85	HMP_2012__SRS063999__bin.35	HMP_2012__SRS019980__bin.38	HMP_2012__SRS052604__bin.10	HMP_2012__SRS016575__bin.43	HMP_2012__SRS055378__bin.27	HMP_2012__SRS024087__bin.39	HMP_2012__SRS015574__bin.56	HMP_2012__SRS023595__bin.81
CM_periimplantitis__SP_282SPT_T016_R__bin.15	46049.0	49709.0	65787.0	81635.0	35080.0	70643.0	74781.0	46107.0	62163.0	79635.0	52984.0	0.0	78769.0	78625.0	78685.0	76489.0	71664.0	47337.0	76095.0	36056.0	69793.0	60944.0	57038.0	39602.0	70602.0	66899.0	53319.0	76908.0	67554.0	77156.0	79488.0	74509.0	53736.0	58473.0	52647.0	49077.0	77639.0	71690.0	39419.0	33897.0	77319.0	76297.0	31228.0	38860.0
HMP_2012__SRS018300__bin.10	50720.0	45123.0	71286.0	75847.0	33326.0	83407.0	68719.0	44434.0	63015.0	90386.0	53132.0	78769.0	0.0	83910.0	88273.0	72640.0	76434.0	48580.0	78729.0	37182.0	74172.0	62230.0	63763.0	42049.0	74974.0	66369.0	56733.0	83254.0	69469.0	87806.0	73416.0	66923.0	57540.0	55884.0	48723.0	53781.0	81489.0	80634.0	42212.0	33954.0	85801.0	85874.0	31878.0	39938.0
HMP_2012__SRS013252__bin.53	49765.0	51812.0	72325.0	87833.0	35906.0	82431.0	81666.0	46839.0	64909.0	94726.0	58325.0	78625.0	83910.0	0.0	89921.0	80206.0	78002.0	49562.0	79812.0	36659.0	75580.0	67298.0	63094.0	41029.0	75545.0	68825.0	53861.0	88860.0	70694.0	89571.0	88372.0	81066.0	55504.0	63881.0	54651.0	55634.0	84568.0	83454.0	42623.0	35469.0	85330.0	89572.0	33105.0	41030.0
HMP_2012__SRS018443__bin.5	50379.0	52073.0	73373.0	91454.0	38500.0	83458.0	84631.0	51397.0	65712.0	88928.0	60680.0	78685.0	88273.0	89921.0	0.0	85228.0	75463.0	51747.0	85843.0	38400.0	77186.0	71593.0	61283.0	42895.0	82651.0	73374.0	56569.0	88711.0	73138.0	87250.0	89478.0	81681.0	57572.0	68368.0	57287.0	55488.0	85998.0	83965.0	42435.0	35241.0	86811.0	89827.0	34779.0	42726.0
HMP_2012__SRS011115__bin.26	49886.0	45811.0	71227.0	74963.0	31827.0	80529.0	68438.0	1885.0	62913.0	89415.0	55084.0	76489.0	72640.0	80206.0	85228.0	0.0	76563.0	47640.0	74660.0	36686.0	70145.0	64244.0	63246.0	40162.0	71914.0	67303.0	54940.0	82773.0	68197.0	83617.0	72135.0	67889.0	55585.0	55061.0	48364.0	54237.0	77071.0	79574.0	41120.0	33761.0	79291.0	83694.0	33265.0	40415.0
CM_periimplantitis__SP_283SPT_T016__bin.9	47125.0	50111.0	66392.0	79680.0	35917.0	73275.0	76202.0	46475.0	61379.0	79088.0	56542.0	71664.0	76434.0	78002.0	75463.0	76563.0	0.0	48458.0	76435.0	35650.0	69949.0	60676.0	55315.0	40477.0	72306.0	65741.0	52360.0	78227.0	67858.0	76372.0	77615.0	72831.0	54545.0	60943.0	54184.0	49801.0	77513.0	74966.0	40050.0	32949.0	77630.0	79378.0	32025.0	39801.0
HMP_2012__SRS058808__bin.22	32177.0	34838.0	45360.0	51473.0	25581.0	48115.0	48280.0	32433.0	40957.0	52321.0	33463.0	47337.0	48580.0	49562.0	51747.0	47640.0	48458.0	0.0	46386.0	27587.0	46089.0	39101.0	42297.0	26658.0	45994.0	44156.0	37136.0	51963.0	42507.0	52183.0	50676.0	48557.0	35017.0	41740.0	35919.0	35360.0	47274.0	48445.0	30502.0	24797.0	49207.0	49741.0	25305.0	27302.0
HMP_2012__SRS017304__bin.36	48327.0	49509.0	70214.0	82343.0	34048.0	78741.0	76977.0	44918.0	62368.0	90674.0	50854.0	76095.0	78729.0	79812.0	85843.0	74660.0	76435.0	46386.0	0.0	35253.0	70531.0	59042.0	62940.0	38223.0	71900.0	67147.0	52865.0	83546.0	67055.0	86005.0	79585.0	75663.0	55534.0	59607.0	52224.0	52354.0	78304.0	78300.0	41548.0	31731.0	80444.0	81823.0	31181.0	39033.0
HMP_2012__SRS022602__bin.56	21261.0	28657.0	34315.0	39724.0	21189.0	36410.0	38678.0	26645.0	30269.0	39088.0	24300.0	36056.0	37182.0	36659.0	38400.0	36686.0	35650.0	27587.0	35253.0	0.0	34003.0	30957.0	32572.0	20736.0	35020.0	32086.0	29592.0	40651.0	32783.0	40649.0	38826.0	37626.0	28294.0	31976.0	29557.0	27908.0	35562.0	26862.0	22727.0	15811.0	36417.0	27552.0	18811.0	21631.0
HMP_2012__SRS022536__bin.33	45155.0	44761.0	63041.0	76539.0	32596.0	74374.0	70728.0	43136.0	57962.0	80689.0	48012.0	69793.0	74172.0	75580.0	77186.0	70145.0	69949.0	46089.0	70531.0	34003.0	0.0	56698.0	59375.0	33365.0	68400.0	60893.0	52500.0	77349.0	61978.0	78107.0	74707.0	70524.0	48860.0	55473.0	48969.0	49057.0	67642.0	71956.0	39948.0	31602.0	72264.0	74606.0	28958.0	37226.0
HMP_2012__SRS018665__bin.34	41708.0	43151.0	58862.0	65338.0	29353.0	63940.0	61591.0	41995.0	50000.0	71528.0	41520.0	60944.0	62230.0	67298.0	71593.0	64244.0	60676.0	39101.0	59042.0	30957.0	56698.0	0.0	52416.0	33616.0	60556.0	54686.0	48239.0	70667.0	56698.0	68364.0	66363.0	63540.0	47679.0	52687.0	44507.0	43876.0	63938.0	63329.0	33799.0	28075.0	65592.0	65677.0	28795.0	35508.0
CM_cf__CF_TNFC022IS_t3M16__bin.14	41185.0	42463.0	54433.0	62681.0	31573.0	59580.0	59825.0	41124.0	52235.0	61340.0	46992.0	57038.0	63763.0	63094.0	61283.0	63246.0	55315.0	42297.0	62940.0	32572.0	59375.0	52416.0	0.0	35093.0	58846.0	54037.0	46928.0	61456.0	55561.0	55270.0	65072.0	60907.0	45140.0	52139.0	45065.0	39590.0	62254.0	61147.0	30308.0	30945.0	63429.0	64244.0	29643.0	35460.0
HMP_2012__SRS049318__bin.75	26990.0	29406.0	35370.0	42340.0	21207.0	38857.0	40958.0	27017.0	32756.0	45104.0	26755.0	39602.0	42049.0	41029.0	42895.0	40162.0	40477.0	26658.0	38223.0	20736.0	33365.0	33616.0	35093.0	0.0	37819.0	34467.0	30884.0	45244.0	35649.0	43582.0	42493.0	41177.0	31574.0	34724.0	30809.0	31916.0	38820.0	38795.0	21168.0	18760.0	40099.0	38804.0	18062.0	23991.0
HMP_2012__SRS024355__bin.9	47995.0	47776.0	65160.0	79305.0	32976.0	74963.0	75150.0	44127.0	58720.0	83255.0	49054.0	70602.0	74974.0	75545.0	82651.0	71914.0	72306.0	45994.0	71900.0	35020.0	68400.0	60556.0	58846.0	37819.0	0.0	33530.0	52237.0	80370.0	35154.0	80531.0	78959.0	75267.0	52547.0	56701.0	51385.0	51516.0	73359.0	75107.0	39800.0	32130.0	77457.0	79816.0	30906.0	23048.0
HMP_2012__SRS015893__bin.10	43881.0	46453.0	58051.0	71388.0	31407.0	65739.0	66680.0	41488.0	56188.0	74014.0	45936.0	66899.0	66369.0	68825.0	73374.0	67303.0	65741.0	44156.0	67147.0	32086.0	60893.0	54686.0	54037.0	34467.0	33530.0	0.0	48491.0	72196.0	28401.0	70085.0	68494.0	65154.0	49040.0	53874.0	48806.0	47189.0	65595.0	66405.0	38153.0	29873.0	68073.0	68865.0	29321.0	19821.0
HMP_2012__SRS063603__bin.69	37716.0	38922.0	48791.0	56934.0	29464.0	53465.0	54738.0	36989.0	43613.0	57924.0	36610.0	53319.0	56733.0	53861.0	56569.0	54940.0	52360.0	37136.0	52865.0	29592.0	52500.0	48239.0	46928.0	30884.0	52237.0	48491.0	0.0	58963.0	51104.0	57488.0	56833.0	53933.0	42458.0	47705.0	39920.0	40564.0	53900.0	54236.0	29807.0	26114.0	53721.0	55679.0	26484.0	30488.0
HMP_2012__SRS022143__bin.95	51655.0	50390.0	74295.0	84775.0	34724.0	86689.0	79676.0	48062.0	66042.0	89522.0	60755.0	76908.0	83254.0	88860.0	88711.0	82773.0	78227.0	51963.0	83546.0	40651.0	77349.0	70667.0	61456.0	45244.0	80370.0	72196.0	58963.0	0.0	75317.0	80098.0	87221.0	78461.0	58881.0	64065.0	53736.0	50989.0	86861.0	85238.0	41948.0	36806.0	86529.0	92470.0	35074.0	44285.0
HMP_2012__SRS022725__bin.68	44704.0	47168.0	61425.0	71154.0	32428.0	70279.0	69632.0	41617.0	54951.0	76550.0	46592.0	67554.0	69469.0	70694.0	73138.0	68197.0	67858.0	42507.0	67055.0	32783.0	61978.0	56698.0	55561.0	35649.0	35154.0	28401.0	51104.0	75317.0	0.0	73086.0	72131.0	68952.0	50169.0	54383.0	49601.0	49795.0	68407.0	69373.0	36501.0	30445.0	70793.0	71765.0	29138.0	20738.0
HMP_2012__SRS012279__bin.14	52005.0	53234.0	73221.0	87730.0	36925.0	86277.0	81880.0	50242.0	68078.0	88843.0	61397.0	77156.0	87806.0	89571.0	87250.0	83617.0	76372.0	52183.0	86005.0	40649.0	78107.0	68364.0	55270.0	43582.0	80531.0	70085.0	57488.0	80098.0	73086.0	0.0	87039.0	82042.0	57656.0	64324.0	55374.0	14215.0	85865.0	87245.0	43757.0	37929.0	87164.0	90793.0	35229.0	44008.0
HMP_2012__SRS056622__bin.20	51836.0	21928.0	74030.0	39784.0	32485.0	84556.0	28942.0	43721.0	63778.0	91442.0	55366.0	79488.0	73416.0	88372.0	89478.0	72135.0	77615.0	50676.0	79585.0	38826.0	74707.0	66363.0	65072.0	42493.0	78959.0	68494.0	56833.0	87221.0	72131.0	87039.0	0.0	33917.0	58150.0	57991.0	19877.0	55663.0	84336.0	83131.0	41998.0	35874.0	85873.0	90847.0	34685.0	41867.0
HMP_2012__SRS047824__bin.23	48457.0	20697.0	70618.0	38327.0	31813.0	79585.0	33632.0	43206.0	60828.0	84320.0	52305.0	74509.0	66923.0	81066.0	81681.0	67889.0	72831.0	48557.0	75663.0	37626.0	70524.0	63540.0	60907.0	41177.0	75267.0	65154.0	53933.0	78461.0	68952.0	82042.0	33917.0	0.0	55735.0	53172.0	23438.0	52047.0	77933.0	78113.0	41829.0	34057.0	79594.0	83386.0	32880.0	41030.0
HMP_2012__SRS013723__bin.46	35282.0	39808.0	49082.0	58522.0	27048.0	50481.0	56495.0	36568.0	44770.0	57609.0	37874.0	53736.0	57540.0	55504.0	57572.0	55585.0	54545.0	35017.0	55534.0	28294.0	48860.0	47679.0	45140.0	31574.0	52547.0	49040.0	42458.0	58881.0	50169.0	57656.0	58150.0	55735.0	0.0	46583.0	40218.0	41032.0	56114.0	52571.0	28475.0	26454.0	54919.0	53756.0	24931.0	30362.0
HMP_2012__SRS018439__bin.57	41396.0	38762.0	58041.0	57064.0	8440.0	60470.0	54366.0	36921.0	51125.0	65696.0	40545.0	58473.0	55884.0	63881.0	68368.0	55061.0	60943.0	41740.0	59607.0	31976.0	55473.0	52687.0	52139.0	34724.0	56701.0	53874.0	47705.0	64065.0	54383.0	64324.0	57991.0	53172.0	46583.0	0.0	40818.0	45899.0	59995.0	61077.0	33565.0	29538.0	62352.0	62200.0	30197.0	34256.0
HMP_2012__SRS062544__bin.37	37976.0	15296.0	49619.0	25938.0	26689.0	55300.0	1558.0	33379.0	44101.0	60158.0	37077.0	52647.0	48723.0	54651.0	57287.0	48364.0	54184.0	35919.0	52224.0	29557.0	48969.0	44507.0	45065.0	30809.0	51385.0	48806.0	39920.0	53736.0	49601.0	55374.0	19877.0	23438.0	40218.0	40818.0	0.0	39000.0	54004.0	54369.0	31154.0	24655.0	54619.0	56574.0	25938.0	30593.0
HMP_2012__SRS018739__bin.85	37732.0	37143.0	47529.0	54403.0	26818.0	52417.0	52729.0	35681.0	43089.0	53171.0	35506.0	49077.0	53781.0	55634.0	55488.0	54237.0	49801.0	35360.0	52354.0	27908.0	49057.0	43876.0	39590.0	31916.0	51516.0	47189.0	40564.0	50989.0	49795.0	14215.0	55663.0	52047.0	41032.0	45899.0	39000.0	0.0	54799.0	52768.0	26755.0	25338.0	53273.0	54902.0	25514.0	32233.0
HMP_2012__SRS063999__bin.35	50371.0	49802.0	68005.0	86671.0	35031.0	78291.0	79215.0	46377.0	63335.0	89085.0	55206.0	77639.0	81489.0	84568.0	85998.0	77071.0	77513.0	47274.0	78304.0	35562.0	67642.0	63938.0	62254.0	38820.0	73359.0	65595.0	53900.0	86861.0	68407.0	85865.0	84336.0	77933.0	56114.0	59995.0	54004.0	54799.0	0.0	82587.0	41693.0	33721.0	82927.0	85660.0	30448.0	39693.0
HMP_2012__SRS019980__bin.38	18065.0	51770.0	69538.0	87290.0	36070.0	73394.0	79992.0	47373.0	60896.0	86698.0	57206.0	71690.0	80634.0	83454.0	83965.0	79574.0	74966.0	48445.0	78300.0	26862.0	71956.0	63329.0	61147.0	38795.0	75107.0	66405.0	54236.0	85238.0	69373.0	87245.0	83131.0	78113.0	52571.0	61077.0	54369.0	52768.0	82587.0	0.0	42112.0	34486.0	80810.0	22112.0	29262.0	39560.0
HMP_2012__SRS052604__bin.10	25383.0	30783.0	37468.0	45612.0	22632.0	39644.0	43671.0	28452.0	36154.0	45383.0	27100.0	39419.0	42212.0	42623.0	42435.0	41120.0	40050.0	30502.0	41548.0	22727.0	39948.0	33799.0	30308.0	21168.0	39800.0	38153.0	29807.0	41948.0	36501.0	43757.0	41998.0	41829.0	28475.0	33565.0	31154.0	26755.0	41693.0	42112.0	0.0	19549.0	40696.0	42502.0	20419.0	22364.0
HMP_2012__SRS016575__bin.43	23381.0	24619.0	31484.0	36357.0	18456.0	34739.0	34942.0	23511.0	28450.0	36855.0	24174.0	33897.0	33954.0	35469.0	35241.0	33761.0	32949.0	24797.0	31731.0	15811.0	31602.0	28075.0	30945.0	18760.0	32130.0	29873.0	26114.0	36806.0	30445.0	37929.0	35874.0	34057.0	26454.0	29538.0	24655.0	25338.0	33721.0	34486.0	19549.0	0.0	33813.0	34363.0	18398.0	19288.0
HMP_2012__SRS055378__bin.27	49816.0	52500.0	72558.0	87261.0	34771.0	83013.0	81428.0	45904.0	64495.0	88923.0	58121.0	77319.0	85801.0	85330.0	86811.0	79291.0	77630.0	49207.0	80444.0	36417.0	72264.0	65592.0	63429.0	40099.0	77457.0	68073.0	53721.0	86529.0	70793.0	87164.0	85873.0	79594.0	54919.0	62352.0	54619.0	53273.0	82927.0	80810.0	40696.0	33813.0	0.0	87321.0	31786.0	40641.0
HMP_2012__SRS024087__bin.39	8298.0	53138.0	72162.0	92943.0	37392.0	77944.0	83725.0	48709.0	64766.0	93294.0	58854.0	76297.0	85874.0	89572.0	89827.0	83694.0	79378.0	49741.0	81823.0	27552.0	74606.0	65677.0	64244.0	38804.0	79816.0	68865.0	55679.0	92470.0	71765.0	90793.0	90847.0	83386.0	53756.0	62200.0	56574.0	54902.0	85660.0	22112.0	42502.0	34363.0	87321.0	0.0	29452.0	41115.0
HMP_2012__SRS015574__bin.56	20528.0	24765.0	30555.0	35061.0	19243.0	31991.0	33456.0	24410.0	27463.0	35415.0	22106.0	31228.0	31878.0	33105.0	34779.0	33265.0	32025.0	25305.0	31181.0	18811.0	28958.0	28795.0	29643.0	18062.0	30906.0	29321.0	26484.0	35074.0	29138.0	35229.0	34685.0	32880.0	24931.0	30197.0	25938.0	25514.0	30448.0	29262.0	20419.0	18398.0	31786.0	29452.0	0.0	19397.0
HMP_2012__SRS023595__bin.81	29933.0	29262.0	37970.0	42060.0	20989.0	41491.0	41233.0	28082.0	34152.0	43630.0	26972.0	38860.0	39938.0	41030.0	42726.0	40415.0	39801.0	27302.0	39033.0	21631.0	37226.0	35508.0	35460.0	23991.0	23048.0	19821.0	30488.0	44285.0	20738.0	44008.0	41867.0	41030.0	30362.0	34256.0	30593.0	32233.0	39693.0	39560.0	22364.0	19288.0	40641.0	41115.0	19397.0	0.0
