	HeQ_2017__SZAXPI029578-96__bin.27	VincentC_2016__MM009.1__bin.28	VincentC_2016__MM009.2__bin.4	VincentC_2016__MM060.1__bin.3	VincentC_2016__MM041.2__bin.1	VincentC_2016__MM058.1__bin.40	VincentC_2016__MM038__bin.31	VincentC_2016__MM083.2__bin.12	VincentC_2016__MM064.2__bin.4	VincentC_2016__MM061__bin.28	VincentC_2016__MM021.1__bin.17	VincentC_2016__MM096__bin.3	VincentC_2016__MM001.4__bin.11	VincentC_2016__MM083.3__bin.7	OhJ_2014__MET0251__bin.8	VincentC_2016__MM011__bin.19	VincentC_2016__MM052.2__bin.1	VincentC_2016__MM002.1__bin.8	VincentC_2016__MM041.1__bin.2	VincentC_2016__MM103.1__bin.5	VincentC_2016__MM049.1__bin.20	VincentC_2016__MM004.2__bin.3	DavidLA_2015__LD-Run1-06__bin.18	VincentC_2016__MM002.2__bin.16	VincentC_2016__MM027.3__bin.14	VincentC_2016__MM020.1__bin.3	VincentC_2016__MM034.1__bin.5
VincentC_2016__MM021.1__bin.17	1294149.0	1093598.0	1102668.0	1288063.0	1193898.0	1261921.0	1262645.0	1235564.0	874939.0	1281568.0	1379804.0	1233396.0	1280049.0	1271000.0	1263966.0	1268444.0	1235381.0	1172890.0	682008.0	1234425.0	1272180.0	1078757.0	1253704.0	1287183.0	1195484.0	927188.0	1280717.0
VincentC_2016__MM096__bin.3	1271828.0	1050724.0	1065922.0	1225144.0	1156112.0	1223093.0	1199699.0	1198537.0	825918.0	1224410.0	1233396.0	1383112.0	1214223.0	1233440.0	1247150.0	1192292.0	1186219.0	1125936.0	666202.0	1196056.0	1238146.0	1031496.0	1202358.0	1203136.0	1147747.0	899829.0	1233434.0
VincentC_2016__MM001.4__bin.11	1286639.0	1078434.0	1094350.0	1270838.0	1191036.0	1252256.0	1254104.0	1217172.0	861041.0	1275962.0	1280049.0	1214223.0	1351453.0	1253954.0	1256265.0	1256334.0	1233744.0	1160791.0	679489.0	1240502.0	1270509.0	1078659.0	1244672.0	1253525.0	1191045.0	927291.0	1266854.0
VincentC_2016__MM083.3__bin.7	1325250.0	1070480.0	1082673.0	1291992.0	1193907.0	1274167.0	1253051.0	1327502.0	858852.0	1264695.0	1271000.0	1233440.0	1253954.0	1397849.0	1263494.0	1239126.0	1216651.0	1187602.0	693572.0	1227681.0	1257009.0	1059695.0	1244208.0	1253563.0	1181566.0	922787.0	1248383.0
OhJ_2014__MET0251__bin.8	1314437.0	1062813.0	1102016.0	1272851.0	1194843.0	1249376.0	1244095.0	1224137.0	844654.0	1261567.0	1263966.0	1247150.0	1256265.0	1263494.0	1388383.0	1229538.0	1239186.0	1157106.0	683502.0	1227727.0	1279216.0	1062302.0	1222893.0	1244337.0	1179194.0	925135.0	1268886.0
VincentC_2016__MM011__bin.19	1258393.0	1079096.0	1078426.0	1249847.0	1176144.0	1238321.0	1245205.0	1216818.0	860340.0	1264314.0	1268444.0	1192292.0	1256334.0	1239126.0	1229538.0	1315594.0	1203253.0	1145909.0	674104.0	1213161.0	1251605.0	1064256.0	1220095.0	1240440.0	1164201.0	916804.0	1245943.0
VincentC_2016__MM052.2__bin.1	1265566.0	1033648.0	1068860.0	1223712.0	1150931.0	1211714.0	1209496.0	1187412.0	830614.0	1220340.0	1235381.0	1186219.0	1233744.0	1216651.0	1239186.0	1203253.0	1314408.0	1129559.0	657841.0	1186416.0	1237448.0	1039343.0	1189770.0	1229422.0	1159939.0	898412.0	1217310.0
VincentC_2016__MM002.1__bin.8	1194218.0	986784.0	1000182.0	1203669.0	1098677.0	1174295.0	1146964.0	1154882.0	792957.0	1164131.0	1172890.0	1125936.0	1160791.0	1187602.0	1157106.0	1145909.0	1129559.0	1252773.0	623434.0	1133010.0	1150042.0	991390.0	1148927.0	1151169.0	1119074.0	867482.0	1163324.0
VincentC_2016__MM041.1__bin.2	703020.0	583800.0	603931.0	697076.0	685705.0	691623.0	685861.0	682980.0	489573.0	694104.0	682008.0	666202.0	679489.0	693572.0	683502.0	674104.0	657841.0	623434.0	728758.0	682380.0	703001.0	584377.0	671868.0	673072.0	652897.0	517589.0	696367.0
VincentC_2016__MM103.1__bin.5	1281534.0	1053417.0	1096304.0	1238041.0	1171115.0	1228901.0	1220811.0	1202834.0	835616.0	1247483.0	1234425.0	1196056.0	1240502.0	1227681.0	1227727.0	1213161.0	1186416.0	1133010.0	682380.0	1358868.0	1276373.0	1039847.0	1204750.0	1209935.0	1160210.0	902652.0	1261389.0
VincentC_2016__MM049.1__bin.20	1323629.0	1089824.0	1125390.0	1275003.0	1210100.0	1265284.0	1262113.0	1222212.0	866629.0	1285097.0	1272180.0	1238146.0	1270509.0	1257009.0	1279216.0	1251605.0	1237448.0	1150042.0	703001.0	1276373.0	1410974.0	1077235.0	1227800.0	1247254.0	1185382.0	938261.0	1286767.0
VincentC_2016__MM004.2__bin.3	1079760.0	910738.0	945966.0	1089089.0	1009930.0	1072221.0	1046553.0	1027189.0	738900.0	1070614.0	1078757.0	1031496.0	1078659.0	1059695.0	1062302.0	1064256.0	1039343.0	991390.0	584377.0	1039847.0	1077235.0	1177584.0	1045448.0	1061796.0	1009210.0	795363.0	1080435.0
DavidLA_2015__LD-Run1-06__bin.18	1245515.0	1054649.0	1064246.0	1241349.0	1160208.0	1214048.0	1224640.0	1210496.0	844858.0	1243166.0	1253704.0	1202358.0	1244672.0	1244208.0	1222893.0	1220095.0	1189770.0	1148927.0	671868.0	1204750.0	1227800.0	1045448.0	1306590.0	1224610.0	1169294.0	917457.0	1232685.0
VincentC_2016__MM002.2__bin.16	1269912.0	1060216.0	1069024.0	1264621.0	1171485.0	1243800.0	1245181.0	1213989.0	861376.0	1254419.0	1287183.0	1203136.0	1253525.0	1253563.0	1244337.0	1240440.0	1229422.0	1151169.0	673072.0	1209935.0	1247254.0	1061796.0	1224610.0	1359291.0	1174967.0	912622.0	1249415.0
VincentC_2016__MM027.3__bin.14	1205829.0	997265.0	1026368.0	1198896.0	1107625.0	1181396.0	1168432.0	1144701.0	823141.0	1188548.0	1195484.0	1147747.0	1191045.0	1181566.0	1179194.0	1164201.0	1159939.0	1119074.0	652897.0	1160210.0	1185382.0	1009210.0	1169294.0	1174967.0	1275754.0	875861.0	1192306.0
VincentC_2016__MM020.1__bin.3	942592.0	784281.0	816811.0	920698.0	884299.0	910232.0	918361.0	893276.0	654115.0	927943.0	927188.0	899829.0	927291.0	922787.0	925135.0	916804.0	898412.0	867482.0	517589.0	902652.0	938261.0	795363.0	917457.0	912622.0	875861.0	1001806.0	930025.0
VincentC_2016__MM034.1__bin.5	1296218.0	1075357.0	1106254.0	1283774.0	1196610.0	1255326.0	1262141.0	1212431.0	876130.0	1279485.0	1280717.0	1233434.0	1266854.0	1248383.0	1268886.0	1245943.0	1217310.0	1163324.0	696367.0	1261389.0	1286767.0	1080435.0	1232685.0	1249415.0	1192306.0	930025.0	1437962.0
