	HeQ_2017__SZAXPI029578-96__bin.27	VincentC_2016__MM009.1__bin.28	VincentC_2016__MM009.2__bin.4	VincentC_2016__MM060.1__bin.3	VincentC_2016__MM041.2__bin.1	VincentC_2016__MM058.1__bin.40	VincentC_2016__MM038__bin.31	VincentC_2016__MM083.2__bin.12	VincentC_2016__MM064.2__bin.4	VincentC_2016__MM061__bin.28	VincentC_2016__MM021.1__bin.17	VincentC_2016__MM096__bin.3	VincentC_2016__MM001.4__bin.11	VincentC_2016__MM083.3__bin.7	OhJ_2014__MET0251__bin.8	VincentC_2016__MM011__bin.19	VincentC_2016__MM052.2__bin.1	VincentC_2016__MM002.1__bin.8	VincentC_2016__MM041.1__bin.2	VincentC_2016__MM103.1__bin.5	VincentC_2016__MM049.1__bin.20	VincentC_2016__MM004.2__bin.3	DavidLA_2015__LD-Run1-06__bin.18	VincentC_2016__MM002.2__bin.16	VincentC_2016__MM027.3__bin.14	VincentC_2016__MM020.1__bin.3	VincentC_2016__MM034.1__bin.5
VincentC_2016__MM021.1__bin.17	22425.0	12765.0	11972.0	24306.0	15016.0	22381.0	14576.0	22218.0	6956.0	14378.0	0.0	26097.0	15710.0	23741.0	18580.0	13599.0	12454.0	19770.0	8007.0	18928.0	12808.0	15067.0	13155.0	9153.0	13951.0	9961.0	16232.0
VincentC_2016__MM096__bin.3	29008.0	21846.0	21968.0	26364.0	23305.0	27447.0	24875.0	24848.0	16189.0	26094.0	26097.0	0.0	26267.0	26501.0	25008.0	24829.0	26423.0	21926.0	12526.0	26672.0	26990.0	22219.0	25328.0	26209.0	24623.0	18636.0	27655.0
VincentC_2016__MM001.4__bin.11	24454.0	14733.0	14329.0	23867.0	18650.0	23358.0	19362.0	23165.0	11434.0	18976.0	15710.0	26267.0	0.0	24782.0	21924.0	18276.0	15183.0	20384.0	9866.0	21832.0	18571.0	14106.0	15813.0	19328.0	10322.0	11375.0	11435.0
VincentC_2016__MM083.3__bin.7	20043.0	20203.0	19791.0	24257.0	22065.0	24336.0	24419.0	302.0	16814.0	24015.0	23741.0	26501.0	24782.0	0.0	25924.0	23157.0	23261.0	21122.0	12256.0	23768.0	23931.0	20562.0	23507.0	25492.0	22437.0	16960.0	24600.0
OhJ_2014__MET0251__bin.8	25184.0	14499.0	14368.0	25574.0	14911.0	24553.0	15464.0	24109.0	12907.0	17716.0	18580.0	25008.0	21924.0	25924.0	0.0	15014.0	19975.0	21453.0	7835.0	19939.0	16776.0	18234.0	18182.0	21741.0	19785.0	12850.0	22737.0
VincentC_2016__MM011__bin.19	19835.0	8612.0	8090.0	23880.0	12678.0	21973.0	9523.0	22147.0	9236.0	10159.0	13599.0	24829.0	18276.0	23157.0	15014.0	0.0	12883.0	20004.0	7039.0	15940.0	1036.0	16301.0	13607.0	16914.0	16323.0	9840.0	18877.0
VincentC_2016__MM052.2__bin.1	22659.0	11421.0	11785.0	22313.0	16204.0	21163.0	14966.0	21703.0	8638.0	14057.0	12454.0	26423.0	15183.0	23261.0	19975.0	12883.0	0.0	19168.0	8713.0	17876.0	13141.0	13205.0	13892.0	16284.0	14195.0	10270.0	15245.0
VincentC_2016__MM002.1__bin.8	20883.0	16847.0	17001.0	15888.0	18768.0	17323.0	20127.0	19988.0	13085.0	20038.0	19770.0	21926.0	20384.0	21122.0	21453.0	20004.0	19168.0	0.0	10136.0	19866.0	19834.0	16533.0	19828.0	18303.0	18472.0	14519.0	20216.0
VincentC_2016__MM041.1__bin.2	11874.0	7123.0	7101.0	12496.0	760.0	11547.0	7537.0	11857.0	5975.0	6556.0	8007.0	12526.0	9866.0	12256.0	7835.0	7039.0	8713.0	10136.0	0.0	10303.0	7277.0	9013.0	8420.0	9726.0	9914.0	5924.0	10739.0
VincentC_2016__MM103.1__bin.5	22530.0	15149.0	14883.0	23839.0	18475.0	22373.0	14846.0	22782.0	12820.0	17992.0	18928.0	26672.0	21832.0	23768.0	19939.0	15940.0	17876.0	19866.0	10303.0	0.0	17358.0	18389.0	19260.0	20514.0	20112.0	12050.0	23571.0
VincentC_2016__MM049.1__bin.20	22085.0	8739.0	8582.0	24319.0	13190.0	22568.0	9473.0	22331.0	9267.0	9871.0	12808.0	26990.0	18571.0	23931.0	16776.0	1036.0	13141.0	19834.0	7277.0	17358.0	0.0	16404.0	13706.0	17045.0	17468.0	9988.0	20191.0
VincentC_2016__MM004.2__bin.3	20531.0	13343.0	13469.0	19797.0	16555.0	19359.0	16300.0	19505.0	9990.0	16374.0	15067.0	22219.0	14106.0	20562.0	18234.0	16301.0	13205.0	16533.0	9013.0	18389.0	16404.0	0.0	14743.0	16850.0	12081.0	11526.0	14235.0
DavidLA_2015__LD-Run1-06__bin.18	21616.0	13110.0	12759.0	23735.0	15378.0	22177.0	15184.0	22135.0	9933.0	14918.0	13155.0	25328.0	15813.0	23507.0	18182.0	13607.0	13892.0	19828.0	8420.0	19260.0	13706.0	14743.0	0.0	17521.0	15039.0	10779.0	16191.0
VincentC_2016__MM002.2__bin.16	24746.0	15408.0	15162.0	24312.0	17730.0	22525.0	18577.0	23843.0	10061.0	17683.0	9153.0	26209.0	19328.0	25492.0	21741.0	16914.0	16284.0	18303.0	9726.0	20514.0	17045.0	16850.0	17521.0	0.0	17393.0	12697.0	19344.0
VincentC_2016__MM027.3__bin.14	22231.0	13009.0	12912.0	21886.0	17181.0	21734.0	17737.0	20846.0	10133.0	17806.0	13951.0	24623.0	10322.0	22437.0	19785.0	16323.0	14195.0	18472.0	9914.0	20112.0	17468.0	12081.0	15039.0	17393.0	0.0	10146.0	10363.0
VincentC_2016__MM020.1__bin.3	15736.0	9071.0	9204.0	16766.0	11246.0	16253.0	10358.0	16144.0	7505.0	10403.0	9961.0	18636.0	11375.0	16960.0	12850.0	9840.0	10270.0	14519.0	5924.0	12050.0	9988.0	11526.0	10779.0	12697.0	10146.0	0.0	11636.0
VincentC_2016__MM034.1__bin.5	25376.0	15540.0	15406.0	23920.0	19919.0	23376.0	20315.0	23440.0	11208.0	20293.0	16232.0	27655.0	11435.0	24600.0	22737.0	18877.0	15245.0	20216.0	10739.0	23571.0	20191.0	14235.0	16191.0	19344.0	10363.0	11636.0	0.0
