	HeQ_2017__SZAXPI029578-96__bin.27	VincentC_2016__MM009.1__bin.28	VincentC_2016__MM009.2__bin.4	VincentC_2016__MM060.1__bin.3	VincentC_2016__MM041.2__bin.1	VincentC_2016__MM058.1__bin.40	VincentC_2016__MM038__bin.31	VincentC_2016__MM083.2__bin.12	VincentC_2016__MM064.2__bin.4	VincentC_2016__MM061__bin.28	VincentC_2016__MM021.1__bin.17	VincentC_2016__MM096__bin.3	VincentC_2016__MM001.4__bin.11	VincentC_2016__MM083.3__bin.7	OhJ_2014__MET0251__bin.8	VincentC_2016__MM011__bin.19	VincentC_2016__MM052.2__bin.1	VincentC_2016__MM002.1__bin.8	VincentC_2016__MM041.1__bin.2	VincentC_2016__MM103.1__bin.5	VincentC_2016__MM049.1__bin.20	VincentC_2016__MM004.2__bin.3	DavidLA_2015__LD-Run1-06__bin.18	VincentC_2016__MM002.2__bin.16	VincentC_2016__MM027.3__bin.14	VincentC_2016__MM020.1__bin.3	VincentC_2016__MM034.1__bin.5
VincentC_2016__MM052.2__bin.1	0.9456021265847437	0.7777090522881784	0.8042213680987944	0.9140228909136281	0.8632989147966232	0.9057697457714804	0.9087969641085568	0.8868699825320601	0.6253583362243686	0.9177386321446613	0.930401367003244	0.8823713793586163	0.9270797195391386	0.9079296535018047	0.9275742387447429	0.9056320411926889	1.0	0.8447841157387965	0.49385578907006045	0.8890238038721615	0.931451269316681	0.7806845363083609	0.8946065453040457	0.9229539077668425	0.871680634932228	0.6756973481597799	0.9145295828996781
VincentC_2016__MM002.1__bin.8	0.9365902681491378	0.7742320436344013	0.7848037912694479	0.9481214872925902	0.8620149061322362	0.9235288436133282	0.8994742064204768	0.9059055391519454	0.6225166091542522	0.9132484496393201	0.9204540647028632	0.8812530282820591	0.910306176777437	0.9311184069260752	0.9065113951210634	0.8987302567983185	0.8863465288603761	1.0	0.489552377006848	0.8885440538708927	0.9021650370817378	0.7781593313393568	0.9012798008897063	0.9042867303174638	0.8785326631400902	0.6808599802198801	0.9124621938691208
VincentC_2016__MM041.1__bin.2	0.9483889027633315	0.7913148123245303	0.8189687111496545	0.9393790531287479	0.9398799052634756	0.933198675005969	0.9307945847592753	0.9209133896300281	0.6635920291784104	0.9434517356927813	0.9248625744074164	0.8969726575900367	0.918855093185941	0.9349002000664144	0.9271486556579824	0.9153450116499579	0.8907319027715648	0.8415660617104718	1.0	0.9222224661684675	0.9546708235106853	0.7895131168371394	0.9103817728244492	0.9102418086662514	0.8822997483389547	0.702105500042538	0.9408171162443499
VincentC_2016__MM103.1__bin.5	0.9265094181333287	0.7640683274607983	0.7958249072021711	0.8935393283232809	0.8482354430305225	0.8878919806780349	0.8874776652331204	0.8684081161672804	0.6055010494028854	0.9047906051213216	0.8944923274372493	0.8605574640068057	0.8968273592431348	0.8859675847838054	0.8888192230591934	0.8810428974705417	0.8599363587927599	0.8191700739144641	0.4945859347633471	1.0	0.9265175131064975	0.751697736645502	0.872409976539296	0.8753028255871799	0.8390057018047375	0.65539993582894	0.9109184998101361
VincentC_2016__MM049.1__bin.20	0.9224436453116782	0.7661976762151534	0.7915156480558819	0.8863976232021284	0.8482863610527197	0.8807504603203177	0.8877838996324525	0.8503919987186157	0.6076384114802966	0.903791281767063	0.8925550718865124	0.8583829326408566	0.8872863709749436	0.8739197178686495	0.8947294563896996	0.886316119219773	0.8677034445709134	0.8010126338259954	0.49308066626316294	0.8923020551760699	1.0	0.7518430530966552	0.8604651822074679	0.8718863706914515	0.8277360178146443	0.6578951844612304	0.8976607648333704
VincentC_2016__MM004.2__bin.3	0.8994933694751287	0.7620645321267953	0.7918730213725731	0.9080388320493484	0.8435703949781926	0.8940865365018547	0.8748870568893599	0.8557215451296893	0.6189876900501365	0.8952567290316444	0.9032816342613351	0.8570743148684086	0.9040144906860148	0.8824279202163072	0.8866187040584791	0.8899195301566598	0.8713926140300818	0.8278449775132813	0.48859699180695393	0.8674183752496637	0.9008537819807333	1.0	0.8752708936262721	0.8873642984279677	0.8467582779657332	0.6656314963518526	0.9054131170260465
DavidLA_2015__LD-Run1-06__bin.18	0.9367123581230532	0.797142944611546	0.8047566566405682	0.9319021269105074	0.8761968176704245	0.9121996953902907	0.9256583932220513	0.9095133132811365	0.6390107072608852	0.9400408697449085	0.9494554527434008	0.9008411207800457	0.9405084992231687	0.9342647655347125	0.9220268025930093	0.9233868313702079	0.8999594363955028	0.8641570806450378	0.5077706089898132	0.9073159904790332	0.9292080912910706	0.7888511315714952	1.0	0.9238468073381857	0.8834102511116724	0.6939269395908434	0.9310449337588684
VincentC_2016__MM002.2__bin.16	0.916040788911278	0.7686418875722711	0.7753027129584467	0.9124676025957651	0.8487917598218483	0.8984647143253358	0.9023851404886811	0.8755638049542003	0.6262934132573525	0.9098390263747792	0.940218098994255	0.865838882181961	0.9079711408373925	0.9034643795920079	0.8994365444926804	0.9001207247013333	0.8924785053384449	0.8334241895223319	0.48800882224630343	0.8750304386625086	0.9050372583942659	0.7687434110871034	0.8880283912716261	1.0	0.8516013127431874	0.6620547035182311	0.9049357348794335
VincentC_2016__MM027.3__bin.14	0.9277635029950916	0.7715092408097486	0.79439766600771	0.9225994980223461	0.8547447235125266	0.9090012651341872	0.9019724805879504	0.8809339418100982	0.6372764655254853	0.9176863251065644	0.9261448523774959	0.8803609473299712	0.9255099337333059	0.9085834729893066	0.9088029510391501	0.8997643746364895	0.898091638356611	0.8627070736207765	0.5040023390089311	0.8936660202515532	0.9154695968031454	0.7815997441513018	0.9047629872216744	0.9073645859624975	1.0	0.6785908568579836	0.9264662309504811
VincentC_2016__MM020.1__bin.3	0.92518511568108	0.7738124946346897	0.8061510911294203	0.902302441790127	0.8714791087296343	0.8923673845035865	0.9063661028183101	0.8755507553358635	0.6454443275444548	0.915885910046456	0.9155734743054044	0.8796044343914889	0.9142648377031082	0.9041940255897849	0.9106403834674578	0.9053289758695795	0.8865409071217382	0.8514253258614942	0.5107425988664471	0.8889964723708982	0.9265995611924864	0.7824239423600977	0.9050434914544333	0.8983026653863123	0.8641543372668959	1.0	0.9167333795165931
VincentC_2016__MM034.1__bin.5	0.8837799608056403	0.7370271258906703	0.7586069729241802	0.8761385905886246	0.8183046561731117	0.8567333490036594	0.86360140254054	0.8268584288040992	0.6014915554096701	0.8756782168096235	0.8793591207556251	0.8385332853023933	0.873054364440785	0.8510537830624174	0.866607740677431	0.8533368753833551	0.8359504632250366	0.7949500751758392	0.4768053675966403	0.8608141244344426	0.8808132621028929	0.7414660470860843	0.8459848034927209	0.8554266385342589	0.8219570475436764	0.6386740400650366	1.0
