	VogtmannE_2016__MMRS40913371ST-27-0-0__bin.37	VogtmannE_2016__MMRS99045180ST-27-0-0__bin.36	BackhedF_2015__SID590_12M__bin.7	LouisS_2016__AS51_3__bin.10	LouisS_2016__AS51_6__bin.8	Obregon-TitoAJ_2015__NO01__bin.16	LeChatelierE_2013__MH0088__bin.22	LouisS_2016__AS51_12__bin.20	VogtmannE_2016__MMRS57569834ST-27-0-0__bin.18	XieH_2016__YSZC12003_35704__bin.28	LouisS_2016__AS51_18__bin.30	KarlssonFH_2013__S317__bin.12	LeChatelierE_2013__MH0212__bin.11	VogtmannE_2016__MMRS62376181ST-27-0-0__bin.39	BackhedF_2015__SID546_12M__bin.13	LiJ_2017__H1M513747__bin.9	VogtmannE_2016__MMRS64281211ST-27-0-0__bin.48	LouisS_2016__AS51_24__bin.10	VogtmannE_2016__MMRS59699117ST-27-0-0__bin.34	CosteaPI_2017__SID713B029-11-90-0__bin.52	VogtmannE_2016__MMRS42780924ST-27-0-0__bin.86	FengQ_2015__SID31137__bin.30	XieH_2016__YSZC12003_37283__bin.60	LiJ_2017__H1M513606__bin.21	CosteaPI_2017__SID713B029-11-0-0__bin.8	LoombaR_2017__SID5571_lgi__bin.7	LiJ_2014__V1.FI13__bin.43
LouisS_2016__AS51_18__bin.30	1748436.0	1839682.0	1807520.0	1669927.0	1842693.0	1862385.0	1276914.0	1815166.0	1785376.0	1253267.0	2018650.0	1552646.0	1814947.0	1827832.0	1648264.0	1630606.0	1719029.0	1318063.0	1423321.0	1712356.0	1830434.0	1076163.0	822230.0	1287784.0	1285086.0	1561897.0	1456058.0
KarlssonFH_2013__S317__bin.12	1571250.0	1615751.0	1648064.0	1447178.0	1633258.0	1702850.0	1101763.0	1572063.0	1616388.0	1139221.0	1552646.0	1776313.0	1640576.0	1679676.0	1477255.0	1490867.0	1605917.0	1150708.0	1465295.0	1608042.0	1648405.0	990918.0	678742.0	1231391.0	1307502.0	1402902.0	1329628.0
LeChatelierE_2013__MH0212__bin.11	1838874.0	1893232.0	1904998.0	1703238.0	1885123.0	1951908.0	1321498.0	1820298.0	1893101.0	1266824.0	1814947.0	1640576.0	2095259.0	1970557.0	1761127.0	1681198.0	1798953.0	1303051.0	1480955.0	1849333.0	1892402.0	1102294.0	841772.0	1301929.0	1346471.0	1630173.0	1496303.0
VogtmannE_2016__MMRS62376181ST-27-0-0__bin.39	1913866.0	1915148.0	1914024.0	1719405.0	1898502.0	2018527.0	1349974.0	1827749.0	1967111.0	1273587.0	1827832.0	1679676.0	1970557.0	2280461.0	1782450.0	1717676.0	1853520.0	1293064.0	1505333.0	1905149.0	1945243.0	1109198.0	877493.0	1326199.0	1382156.0	1660822.0	1519689.0
BackhedF_2015__SID546_12M__bin.13	1706143.0	1753257.0	1731368.0	1551525.0	1693271.0	1796511.0	1303503.0	1652390.0	1758453.0	1176984.0	1648264.0	1477255.0	1761127.0	1782450.0	1896690.0	1576100.0	1658621.0	1188225.0	1367018.0	1714845.0	1763869.0	1058716.0	817809.0	1204435.0	1208508.0	1541379.0	1394321.0
LiJ_2017__H1M513747__bin.9	1649717.0	1706574.0	1679378.0	1512786.0	1670037.0	1742796.0	1224190.0	1620711.0	1696637.0	1142794.0	1630606.0	1490867.0	1681198.0	1717676.0	1576100.0	1844789.0	1608389.0	1180003.0	1325748.0	1664030.0	1709944.0	1056676.0	762716.0	1261961.0	1195630.0	1449763.0	1398992.0
VogtmannE_2016__MMRS64281211ST-27-0-0__bin.48	1783252.0	1816495.0	1789551.0	1574155.0	1767455.0	1870854.0	1263333.0	1728158.0	1805375.0	1224941.0	1719029.0	1605917.0	1798953.0	1853520.0	1658621.0	1608389.0	1936733.0	1240877.0	1477580.0	1755255.0	1806525.0	1075257.0	835049.0	1275963.0	1310900.0	1580621.0	1449066.0
LouisS_2016__AS51_24__bin.10	1234324.0	1314800.0	1288577.0	1190431.0	1313507.0	1333587.0	912507.0	1308455.0	1266893.0	898123.0	1318063.0	1150708.0	1303051.0	1293064.0	1188225.0	1180003.0	1240877.0	1417060.0	1059851.0	1231890.0	1291845.0	813702.0	530653.0	961575.0	976135.0	1124830.0	1071985.0
VogtmannE_2016__MMRS59699117ST-27-0-0__bin.34	1448243.0	1533119.0	1496594.0	1275679.0	1478664.0	1554257.0	988146.0	1441903.0	1472345.0	1077277.0	1423321.0	1465295.0	1480955.0	1505333.0	1367018.0	1325748.0	1477580.0	1059851.0	1622816.0	1455205.0	1482520.0	915927.0	526426.0	1119346.0	1363904.0	1320427.0	1220379.0
CosteaPI_2017__SID713B029-11-90-0__bin.52	1833095.0	1825259.0	1823045.0	1682324.0	1797869.0	1902054.0	1302439.0	1731132.0	1894297.0	1218676.0	1712356.0	1608042.0	1849333.0	1905149.0	1714845.0	1664030.0	1755255.0	1231890.0	1455205.0	2146172.0	1839172.0	1083750.0	842126.0	1266024.0	1345902.0	1567451.0	1442758.0
VogtmannE_2016__MMRS42780924ST-27-0-0__bin.86	1852667.0	1947731.0	1912353.0	1665313.0	1849523.0	2009229.0	1357353.0	1818853.0	1931980.0	1294616.0	1830434.0	1648405.0	1892402.0	1945243.0	1763869.0	1709944.0	1806525.0	1291845.0	1482520.0	1839172.0	2263224.0	1106654.0	913030.0	1312448.0	1299325.0	1667334.0	1504059.0
FengQ_2015__SID31137__bin.30	1075568.0	1134355.0	1089096.0	1003281.0	1122618.0	1131568.0	850034.0	1082201.0	1088979.0	796821.0	1076163.0	990918.0	1102294.0	1109198.0	1058716.0	1056676.0	1075257.0	813702.0	915927.0	1083750.0	1106654.0	1198983.0	476957.0	864914.0	827851.0	962131.0	944300.0
XieH_2016__YSZC12003_37283__bin.60	932337.0	889007.0	878251.0	782471.0	823929.0	951322.0	682726.0	800193.0	943942.0	505958.0	822230.0	678742.0	841772.0	877493.0	817809.0	762716.0	835049.0	530653.0	526426.0	842126.0	913030.0	476957.0	1012987.0	518919.0	366734.0	748164.0	620431.0
LiJ_2017__H1M513606__bin.21	1261278.0	1292825.0	1312336.0	1192078.0	1320844.0	1332304.0	883811.0	1285316.0	1285174.0	951058.0	1287784.0	1231391.0	1301929.0	1326199.0	1204435.0	1261961.0	1275963.0	961575.0	1119346.0	1266024.0	1312448.0	864914.0	518919.0	1439568.0	1070145.0	1105737.0	1153396.0
CosteaPI_2017__SID713B029-11-0-0__bin.8	1271698.0	1345282.0	1349842.0	1164260.0	1346154.0	1371279.0	863132.0	1306530.0	1314737.0	988273.0	1285086.0	1307502.0	1346471.0	1382156.0	1208508.0	1195630.0	1310900.0	976135.0	1363904.0	1345902.0	1299325.0	827851.0	366734.0	1070145.0	1455298.0	1142822.0	1119563.0
LoombaR_2017__SID5571_lgi__bin.7	1602988.0	1678258.0	1638751.0	1431938.0	1593370.0	1701536.0	1190217.0	1567635.0	1644266.0	1116517.0	1561897.0	1402902.0	1630173.0	1660822.0	1541379.0	1449763.0	1580621.0	1124830.0	1320427.0	1567451.0	1667334.0	962131.0	748164.0	1105737.0	1142822.0	1792327.0	1307161.0
LiJ_2014__V1.FI13__bin.43	1424690.0	1515944.0	1486713.0	1361513.0	1512813.0	1529976.0	1069436.0	1466585.0	1462757.0	1033292.0	1456058.0	1329628.0	1496303.0	1519689.0	1394321.0	1398992.0	1449066.0	1071985.0	1220379.0	1442758.0	1504059.0	944300.0	620431.0	1153396.0	1119563.0	1307161.0	1638918.0
