	VogtmannE_2016__MMRS40913371ST-27-0-0__bin.37	VogtmannE_2016__MMRS99045180ST-27-0-0__bin.36	BackhedF_2015__SID590_12M__bin.7	LouisS_2016__AS51_3__bin.10	LouisS_2016__AS51_6__bin.8	Obregon-TitoAJ_2015__NO01__bin.16	LeChatelierE_2013__MH0088__bin.22	LouisS_2016__AS51_12__bin.20	VogtmannE_2016__MMRS57569834ST-27-0-0__bin.18	XieH_2016__YSZC12003_35704__bin.28	LouisS_2016__AS51_18__bin.30	KarlssonFH_2013__S317__bin.12	LeChatelierE_2013__MH0212__bin.11	VogtmannE_2016__MMRS62376181ST-27-0-0__bin.39	BackhedF_2015__SID546_12M__bin.13	LiJ_2017__H1M513747__bin.9	VogtmannE_2016__MMRS64281211ST-27-0-0__bin.48	LouisS_2016__AS51_24__bin.10	VogtmannE_2016__MMRS59699117ST-27-0-0__bin.34	CosteaPI_2017__SID713B029-11-90-0__bin.52	VogtmannE_2016__MMRS42780924ST-27-0-0__bin.86	FengQ_2015__SID31137__bin.30	XieH_2016__YSZC12003_37283__bin.60	LiJ_2017__H1M513606__bin.21	CosteaPI_2017__SID713B029-11-0-0__bin.8	LoombaR_2017__SID5571_lgi__bin.7	LiJ_2014__V1.FI13__bin.43
LouisS_2016__AS51_18__bin.30	21057.0	21293.0	22284.0	862.0	958.0	20079.0	14875.0	1174.0	19170.0	15040.0	0.0	15891.0	20087.0	20623.0	20217.0	18767.0	17756.0	931.0	14687.0	18167.0	21299.0	13336.0	9144.0	15095.0	13359.0	16686.0	17502.0
KarlssonFH_2013__S317__bin.12	17590.0	16915.0	18941.0	14779.0	16827.0	18482.0	12235.0	16111.0	17047.0	12511.0	15891.0	0.0	17532.0	18739.0	18082.0	16353.0	17035.0	11719.0	15656.0	16917.0	18373.0	11898.0	7607.0	13311.0	13472.0	14914.0	15447.0
LeChatelierE_2013__MH0212__bin.11	21206.0	20929.0	22245.0	18960.0	20535.0	21154.0	14765.0	19825.0	20058.0	14620.0	20087.0	17532.0	0.0	22850.0	20873.0	19362.0	19273.0	14415.0	15853.0	20177.0	21237.0	13126.0	8986.0	14138.0	14426.0	17444.0	17683.0
VogtmannE_2016__MMRS62376181ST-27-0-0__bin.39	22496.0	20790.0	22970.0	19337.0	21482.0	23764.0	15017.0	20143.0	22782.0	15032.0	20623.0	18739.0	22850.0	0.0	22720.0	19840.0	20107.0	13945.0	16109.0	22365.0	22490.0	13499.0	10143.0	14582.0	15600.0	18087.0	18310.0
BackhedF_2015__SID546_12M__bin.13	21625.0	20931.0	22021.0	19325.0	20405.0	22213.0	15149.0	20102.0	21672.0	14903.0	20217.0	18082.0	20873.0	22720.0	0.0	20503.0	19480.0	14674.0	16637.0	21231.0	21983.0	13936.0	9831.0	14857.0	14736.0	18146.0	18070.0
LiJ_2017__H1M513747__bin.9	19967.0	19586.0	19991.0	17060.0	18524.0	19946.0	14345.0	18089.0	19297.0	13555.0	18767.0	16353.0	19362.0	19840.0	20503.0	0.0	17389.0	13329.0	15328.0	18891.0	19586.0	12627.0	8593.0	14083.0	13461.0	16165.0	16735.0
VogtmannE_2016__MMRS64281211ST-27-0-0__bin.48	19746.0	18758.0	19245.0	16282.0	17874.0	19966.0	13780.0	17771.0	18628.0	13951.0	17756.0	17035.0	19273.0	20107.0	19480.0	17389.0	0.0	12366.0	15322.0	18838.0	19308.0	12343.0	8781.0	13740.0	13670.0	15758.0	16624.0
LouisS_2016__AS51_24__bin.10	14044.0	14237.0	15319.0	617.0	670.0	14086.0	10460.0	848.0	13114.0	10550.0	931.0	11719.0	14415.0	13945.0	14674.0	13329.0	12366.0	0.0	10631.0	12615.0	14005.0	10094.0	5890.0	11314.0	9772.0	11794.0	12894.0
VogtmannE_2016__MMRS59699117ST-27-0-0__bin.34	15905.0	14910.0	16951.0	13195.0	15273.0	16598.0	10457.0	15006.0	14325.0	11680.0	14687.0	15656.0	15853.0	16109.0	16637.0	15328.0	15322.0	10631.0	0.0	15484.0	16003.0	10751.0	5418.0	12157.0	14805.0	13246.0	14273.0
CosteaPI_2017__SID713B029-11-90-0__bin.52	20193.0	19703.0	21396.0	18540.0	18660.0	21041.0	14205.0	18360.0	20430.0	14088.0	18167.0	16917.0	20177.0	22365.0	21231.0	18891.0	18838.0	12615.0	15484.0	0.0	21828.0	13225.0	9554.0	13953.0	242.0	17001.0	16779.0
VogtmannE_2016__MMRS42780924ST-27-0-0__bin.86	22588.0	22663.0	22795.0	19352.0	20559.0	23617.0	15485.0	20745.0	21669.0	15771.0	21299.0	18373.0	21237.0	22490.0	21983.0	19586.0	19308.0	14005.0	16003.0	21828.0	0.0	13105.0	10748.0	14225.0	14944.0	18332.0	17707.0
FengQ_2015__SID31137__bin.30	12894.0	13466.0	13555.0	12355.0	13689.0	13326.0	9949.0	13337.0	12815.0	10339.0	13336.0	11898.0	13126.0	13499.0	13936.0	12627.0	12343.0	10094.0	10751.0	13225.0	13105.0	0.0	5557.0	10321.0	10029.0	11393.0	11581.0
XieH_2016__YSZC12003_37283__bin.60	11218.0	10268.0	10261.0	8721.0	8677.0	11953.0	7841.0	8506.0	11619.0	6322.0	9144.0	7607.0	8986.0	10143.0	9831.0	8593.0	8781.0	5890.0	5418.0	9554.0	10748.0	5557.0	0.0	5359.0	3693.0	7906.0	7094.0
LiJ_2017__H1M513606__bin.21	14026.0	13612.0	14869.0	13819.0	15043.0	13958.0	9754.0	14702.0	13482.0	11212.0	15095.0	13311.0	14138.0	14582.0	14857.0	14083.0	13740.0	11314.0	12157.0	13953.0	14225.0	10321.0	5359.0	0.0	12181.0	11524.0	12865.0
CosteaPI_2017__SID713B029-11-0-0__bin.8	13319.0	13875.0	16361.0	12550.0	13951.0	14078.0	9234.0	13440.0	13389.0	11128.0	13359.0	13472.0	14426.0	15600.0	14736.0	13461.0	13670.0	9772.0	14805.0	242.0	14944.0	10029.0	3693.0	12181.0	0.0	12146.0	12763.0
LoombaR_2017__SID5571_lgi__bin.7	18322.0	17503.0	18590.0	15275.0	16605.0	18409.0	12965.0	16252.0	17214.0	12498.0	16686.0	14914.0	17444.0	18087.0	18146.0	16165.0	15758.0	11794.0	13246.0	17001.0	18332.0	11393.0	7906.0	11524.0	12146.0	0.0	14342.0
LiJ_2014__V1.FI13__bin.43	16927.0	17486.0	19006.0	16001.0	17447.0	17363.0	12089.0	16837.0	16961.0	12879.0	17502.0	15447.0	17683.0	18310.0	18070.0	16735.0	16624.0	12894.0	14273.0	16779.0	17707.0	11581.0	7094.0	12865.0	12763.0	14342.0	0.0
