	XieH_2016__YSZC12003_37172__bin.63	FengQ_2015__SID31877__bin.4	KarlssonFH_2013__S552__bin.21	XieH_2016__YSZC12003_35519__bin.81	FengQ_2015__SID530373__bin.42	KarlssonFH_2013__S312__bin.88	LeChatelierE_2013__MH0441__bin.21	XieH_2016__YSZC12003_37191R1__bin.4	LiSS_2016__FAT_023-22-84-0__bin.45	XieH_2016__YSZC12003_35705__bin.70	XieH_2016__YSZC12003_35703__bin.62	RaymondF_2016__P1E0__bin.56	LiSS_2016__FAT_015-22-42-0__bin.65	FengQ_2015__SID531663__bin.6	NielsenHB_2014__V1_UC31_4__bin.2	ZellerG_2014__CCMD63399960ST-21-0__bin.3	ZeeviD_2015__PNP_Main_295__bin.23	RaymondF_2016__P1E7__bin.49	LiSS_2016__FAT_023-22-42-0__bin.3	NielsenHB_2014__V1_UC17_2__bin.49	LeChatelierE_2013__MH0203__bin.20	KarlssonFH_2013__S487__bin.70	XieH_2016__YSZC12003_37255__bin.59	LiJ_2014__O2.UC8-0__bin.56	LeChatelierE_2013__MH0131__bin.16	NielsenHB_2014__O2_UC19_2__bin.13	FengQ_2015__SID31285__bin.2
ZeeviD_2015__PNP_Main_295__bin.23	2047608.0	1156990.0	2006077.0	1405126.0	1459206.0	1992890.0	1365464.0	1865430.0	1947735.0	1346123.0	1417221.0	1859644.0	1965985.0	1833623.0	1362776.0	1911322.0	2404565.0	1304703.0	1851736.0	2055957.0	1949952.0	1940736.0	1513689.0	1256844.0	1398783.0	1482916.0	2028983.0
RaymondF_2016__P1E7__bin.49	1333766.0	814281.0	1314547.0	963711.0	981491.0	1313206.0	917067.0	1239684.0	1272898.0	924072.0	977766.0	1312230.0	1300078.0	1221022.0	881117.0	1249850.0	1304703.0	1488522.0	1245955.0	1324335.0	1268767.0	1258177.0	1019768.0	843501.0	930797.0	973065.0	1315175.0
LiSS_2016__FAT_023-22-42-0__bin.3	1901477.0	1103832.0	1882926.0	1337535.0	1375529.0	1861691.0	1287506.0	1762327.0	1889414.0	1286775.0	1372677.0	1755496.0	1835105.0	1729624.0	1284379.0	1776823.0	1851736.0	1245955.0	2109280.0	1899919.0	1814425.0	1816151.0	1435793.0	1195340.0	1309909.0	1394289.0	1894290.0
NielsenHB_2014__V1_UC17_2__bin.49	2095401.0	1182468.0	2072411.0	1438501.0	1500338.0	2065409.0	1398176.0	1913856.0	1951564.0	1370355.0	1450341.0	1890315.0	2004929.0	1884872.0	1400773.0	1948972.0	2055957.0	1324335.0	1899919.0	2404842.0	1961453.0	1994947.0	1550950.0	1285601.0	1422129.0	1524620.0	2067729.0
LeChatelierE_2013__MH0203__bin.20	2026336.0	1139653.0	1959697.0	1392858.0	1438591.0	1917835.0	1353398.0	1832135.0	1876965.0	1306990.0	1380830.0	1792858.0	1901423.0	1794462.0	1363683.0	1852997.0	1949952.0	1268767.0	1814425.0	1961453.0	2249972.0	1883078.0	1478125.0	1238048.0	1414577.0	1472085.0	1974671.0
KarlssonFH_2013__S487__bin.70	1981783.0	1131666.0	1961221.0	1381920.0	1405753.0	1944390.0	1320875.0	1824681.0	1897010.0	1329426.0	1386386.0	1793875.0	1922303.0	1797550.0	1340042.0	1867257.0	1940736.0	1258177.0	1816151.0	1994947.0	1883078.0	2267138.0	1473111.0	1243070.0	1379683.0	1451142.0	1965914.0
XieH_2016__YSZC12003_37255__bin.59	1541184.0	909476.0	1530866.0	1115030.0	1143480.0	1520219.0	1061473.0	1468178.0	1457500.0	1053112.0	1103921.0	1407134.0	1491437.0	1411952.0	1036623.0	1456351.0	1513689.0	1019768.0	1435793.0	1550950.0	1478125.0	1473111.0	1802187.0	987098.0	1081596.0	1121736.0	1536517.0
LiJ_2014__O2.UC8-0__bin.56	1257243.0	789573.0	1278146.0	928247.0	955175.0	1242963.0	945724.0	1192984.0	1213065.0	855701.0	925607.0	1180123.0	1250335.0	1186233.0	963550.0	1203791.0	1256844.0	843501.0	1195340.0	1285601.0	1238048.0	1243070.0	987098.0	1439848.0	978613.0	1009515.0	1254643.0
LeChatelierE_2013__MH0131__bin.16	1436070.0	864689.0	1408574.0	1033038.0	1056383.0	1380185.0	1055050.0	1296403.0	1370421.0	969903.0	1022806.0	1295066.0	1400511.0	1320630.0	1044786.0	1338685.0	1398783.0	930797.0	1309909.0	1422129.0	1414577.0	1379683.0	1081596.0	978613.0	1744212.0	1140718.0	1405377.0
NielsenHB_2014__O2_UC19_2__bin.13	1498801.0	883243.0	1460786.0	1047576.0	1101279.0	1467194.0	1107014.0	1372966.0	1425265.0	987403.0	1052301.0	1360533.0	1440281.0	1384844.0	1083872.0	1416804.0	1482916.0	973065.0	1394289.0	1524620.0	1472085.0	1451142.0	1121736.0	1009515.0	1140718.0	1811725.0	1479281.0
FengQ_2015__SID31285__bin.2	2101284.0	1170376.0	2088982.0	1442386.0	1474255.0	2021663.0	1380332.0	1900964.0	1941992.0	1370407.0	1437680.0	1868764.0	1996122.0	1851276.0	1380148.0	1919385.0	2028983.0	1315175.0	1894290.0	2067729.0	1974671.0	1965914.0	1536517.0	1254643.0	1405377.0	1479281.0	2244002.0
