	CM_madagascar__V12_01_2FE__bin.49	ZeeviD_2015__PNP_Main_698__bin.3	XieH_2016__YSZC12003_37100__bin.68	BritoIL_2016__W3.17.ST__bin.75	Obregon-TitoAJ_2015__HCO67__bin.11	LeChatelierE_2013__MH0175__bin.63	BritoIL_2016__W1.33.ST__bin.25	BritoIL_2016__M1.15.ST__bin.41	XieH_2016__YSZC12003_36244__bin.14	BritoIL_2016__W3.18.ST__bin.62	LeChatelierE_2013__MH0189__bin.81	FerrettiP_2018__CA_C10002MS2016FE_t0M15__bin.45	Obregon-TitoAJ_2015__HCO12__bin.13	CM_madagascar__A81_03_1FE__bin.52	LeChatelierE_2013__MH0407__bin.67	CosteaPI_2017__SID713B076-11-0-0__bin.33	CM_madagascar__A39_02_1FE__bin.21	FerrettiP_2018__CA_C10031MS2526FE_t0M15__bin.17	ZeeviD_2015__PNP_Main_257__bin.39	XieH_2016__YSZC12003_37315__bin.79	CosteaPI_2017__SID713B046-11-0-0__bin.22	Obregon-TitoAJ_2015__HCO11__bin.22	BritoIL_2016__W1.5.ST__bin.29	RampelliS_2015__H10__bin.58	CM_madagascar__A32_01_1FE__bin.4	CosteaPI_2017__SID713B041-11-0-0__bin.41	RampelliS_2015__H14__bin.94	CosteaPI_2017__SID713A028-11-0-0__bin.67	ZellerG_2014__CCMD86114146ST-21-0__bin.29	LiuW_2016__SRR3993051__bin.74	RampelliS_2015__H13__bin.18	ZeeviD_2015__PNP_Main_438__bin.9	ZellerG_2014__CCMD87156761ST-21-0__bin.33	LeChatelierE_2013__MH0430__bin.47	BritoIL_2016__M1.29.ST__bin.68	NielsenHB_2014__MH0175__bin.23	BritoIL_2016__W2.61.ST__bin.52	CM_madagascar__A90_04_1FE__bin.83	BritoIL_2016__W3.22.ST__bin.21	BritoIL_2016__WL.14.ST__bin.43	CosteaPI_2017__SID713A028-11-90-0__bin.78	BritoIL_2016__W2.35.ST__bin.34	XieH_2016__YSZC12003_35520__bin.2	BritoIL_2016__W1.2.ST__bin.41	LeChatelierE_2013__MH0257__bin.12	CM_madagascar__A08_01_1FE__bin.2	LiJ_2014__MH0252__bin.12	ZellerG_2014__CCMD18872694ST-21-0__bin.35
LeChatelierE_2013__MH0189__bin.81	56511.0	46108.0	43457.0	37013.0	58922.0	39724.0	46658.0	51450.0	40289.0	50943.0	0.0	35891.0	61579.0	57513.0	41631.0	50943.0	62670.0	25814.0	47959.0	39566.0	41857.0	40738.0	57885.0	71036.0	58193.0	46849.0	96303.0	42724.0	40126.0	38876.0	66990.0	47677.0	53897.0	48890.0	49898.0	38240.0	56896.0	59770.0	55283.0	53471.0	43542.0	59236.0	38697.0	59706.0	40193.0	58191.0	41000.0	27410.0
FerrettiP_2018__CA_C10002MS2016FE_t0M15__bin.45	43066.0	35770.0	34530.0	28876.0	46335.0	24714.0	35310.0	39560.0	25614.0	37589.0	35891.0	0.0	45917.0	42684.0	25954.0	38245.0	48114.0	13772.0	36273.0	28942.0	28934.0	32343.0	43726.0	54902.0	42829.0	35005.0	76529.0	34026.0	25521.0	29873.0	55478.0	36122.0	38902.0	35560.0	38480.0	24341.0	44698.0	45764.0	41282.0	40759.0	34883.0	42245.0	24740.0	43577.0	24642.0	41698.0	24358.0	16237.0
Obregon-TitoAJ_2015__HCO12__bin.13	67769.0	60033.0	61540.0	44616.0	58210.0	53776.0	61979.0	66980.0	50027.0	60404.0	61579.0	45917.0	0.0	64983.0	55069.0	65069.0	69161.0	37487.0	60179.0	52045.0	54872.0	39638.0	71347.0	66549.0	66060.0	62911.0	78656.0	58296.0	55257.0	57199.0	56091.0	60938.0	63784.0	62638.0	66118.0	51526.0	70641.0	68096.0	68145.0	67034.0	59207.0	70685.0	51928.0	70904.0	53045.0	66937.0	53538.0	35634.0
CM_madagascar__A81_03_1FE__bin.52	63348.0	55952.0	56382.0	42995.0	66640.0	48955.0	55120.0	61858.0	48428.0	56999.0	57513.0	42684.0	64983.0	0.0	52195.0	61402.0	65588.0	32169.0	56582.0	46050.0	49695.0	44120.0	64354.0	75874.0	63746.0	58604.0	101232.0	54989.0	51219.0	49448.0	70597.0	57073.0	60729.0	56651.0	58473.0	47624.0	64911.0	68495.0	60698.0	60974.0	56219.0	65344.0	47224.0	65605.0	48940.0	60066.0	50486.0	32127.0
LeChatelierE_2013__MH0407__bin.67	50779.0	45024.0	41999.0	34196.0	54544.0	22932.0	42884.0	49285.0	29948.0	47252.0	41631.0	25954.0	55069.0	52195.0	0.0	45422.0	57956.0	19019.0	44378.0	36320.0	36015.0	38431.0	54795.0	64179.0	53740.0	43618.0	91832.0	43309.0	27133.0	37178.0	67122.0	44815.0	44954.0	45032.0	46501.0	22643.0	52949.0	55674.0	51425.0	50292.0	43927.0	51632.0	26294.0	53815.0	22869.0	50815.0	24807.0	19600.0
CosteaPI_2017__SID713B076-11-0-0__bin.33	59998.0	47862.0	48838.0	40533.0	64554.0	42942.0	51842.0	54786.0	40549.0	53815.0	50943.0	38245.0	65069.0	61402.0	45422.0	0.0	67339.0	27321.0	51222.0	40571.0	42557.0	43082.0	62037.0	76471.0	62582.0	50507.0	104870.0	47201.0	43134.0	40837.0	73335.0	53185.0	55250.0	53116.0	51968.0	41772.0	61211.0	66037.0	59125.0	57179.0	48046.0	62705.0	40831.0	63085.0	40967.0	59037.0	43192.0	28380.0
CM_madagascar__A39_02_1FE__bin.21	68005.0	64212.0	62418.0	47515.0	73950.0	55187.0	62439.0	66798.0	52379.0	62678.0	62670.0	48114.0	69161.0	65588.0	57956.0	67339.0	0.0	34451.0	61877.0	51273.0	56129.0	47446.0	74038.0	76167.0	71046.0	67755.0	101990.0	63644.0	55691.0	51803.0	71661.0	64434.0	65539.0	63010.0	63932.0	53605.0	74914.0	71130.0	70600.0	70655.0	64647.0	74972.0	52654.0	74949.0	54786.0	65781.0	55109.0	35589.0
FerrettiP_2018__CA_C10031MS2526FE_t0M15__bin.17	30745.0	25778.0	24870.0	20678.0	35088.0	17776.0	26813.0	28226.0	18297.0	26924.0	25814.0	13772.0	37487.0	32169.0	19019.0	27321.0	34451.0	0.0	25446.0	21441.0	22123.0	27506.0	33011.0	42316.0	31240.0	25241.0	56620.0	24420.0	17707.0	22847.0	41454.0	25612.0	27858.0	25963.0	26539.0	16970.0	32285.0	35072.0	31137.0	28519.0	24949.0	32114.0	17381.0	32740.0	17658.0	30167.0	19090.0	11501.0
ZeeviD_2015__PNP_Main_257__bin.39	56736.0	49083.0	47799.0	38714.0	60694.0	41864.0	50452.0	54138.0	40780.0	53277.0	47959.0	36273.0	60179.0	56582.0	44378.0	51222.0	61877.0	25446.0	0.0	39644.0	40536.0	40260.0	60963.0	72044.0	58564.0	48897.0	99206.0	45893.0	41924.0	40949.0	71299.0	45429.0	53980.0	47666.0	50578.0	40420.0	61981.0	61840.0	59415.0	55260.0	46895.0	60352.0	40755.0	63763.0	40767.0	55664.0	43099.0	27854.0
XieH_2016__YSZC12003_37315__bin.79	45553.0	38902.0	38832.0	31937.0	51558.0	35363.0	39097.0	42464.0	32059.0	40553.0	39566.0	28942.0	52045.0	46050.0	36320.0	40571.0	51273.0	21441.0	39644.0	0.0	35085.0	35071.0	48139.0	60014.0	49198.0	40409.0	83137.0	38531.0	35931.0	33616.0	60323.0	39622.0	40849.0	39358.0	40533.0	34306.0	46497.0	49535.0	44945.0	42757.0	38955.0	47319.0	33848.0	49173.0	34271.0	44996.0	35301.0	22297.0
CosteaPI_2017__SID713B046-11-0-0__bin.22	49182.0	42296.0	40523.0	34359.0	54121.0	34289.0	42199.0	45909.0	33684.0	45919.0	41857.0	28934.0	54872.0	49695.0	36015.0	42557.0	56129.0	22123.0	40536.0	35085.0	0.0	38116.0	51155.0	65413.0	52377.0	42506.0	91888.0	39570.0	34111.0	35114.0	64481.0	43177.0	46388.0	41522.0	43513.0	32848.0	51853.0	56464.0	49499.0	48446.0	40012.0	50987.0	33159.0	52831.0	33426.0	50154.0	33235.0	23145.0
Obregon-TitoAJ_2015__HCO11__bin.22	46821.0	39809.0	41177.0	31115.0	41360.0	39129.0	42496.0	43885.0	35788.0	40526.0	40738.0	32343.0	39638.0	44120.0	38431.0	43082.0	47446.0	27506.0	40260.0	35071.0	38116.0	0.0	46970.0	47225.0	44675.0	40572.0	56182.0	39133.0	38977.0	39504.0	40588.0	41846.0	42139.0	43271.0	42252.0	37248.0	48270.0	47160.0	45938.0	45745.0	39200.0	48009.0	37241.0	49486.0	36664.0	45883.0	39266.0	24679.0
BritoIL_2016__W1.5.ST__bin.29	65435.0	61285.0	57772.0	39307.0	70668.0	51813.0	46386.0	58378.0	50035.0	52200.0	57885.0	43726.0	71347.0	64354.0	54795.0	62037.0	74038.0	33011.0	60963.0	48139.0	51155.0	46970.0	0.0	81650.0	67682.0	60332.0	107462.0	57680.0	52165.0	48406.0	73758.0	58746.0	58987.0	58776.0	58496.0	50462.0	60386.0	71798.0	55524.0	58535.0	59221.0	60764.0	49310.0	57094.0	51290.0	63906.0	51679.0	32880.0
RampelliS_2015__H10__bin.58	77847.0	70657.0	73552.0	53220.0	71904.0	63196.0	67430.0	76576.0	56964.0	67684.0	71036.0	54902.0	66549.0	75874.0	64179.0	76471.0	76167.0	42316.0	72044.0	60014.0	65413.0	47225.0	81650.0	0.0	76254.0	71768.0	73489.0	66309.0	63180.0	64434.0	52351.0	71364.0	73644.0	73024.0	74250.0	61762.0	81899.0	75279.0	77521.0	77429.0	67333.0	80160.0	59593.0	79795.0	61830.0	75276.0	62413.0	40902.0
CM_madagascar__A32_01_1FE__bin.4	65251.0	59212.0	58539.0	44752.0	70406.0	50432.0	55752.0	62756.0	48390.0	59277.0	58193.0	42829.0	66060.0	63746.0	53740.0	62582.0	71046.0	31240.0	58564.0	49198.0	52377.0	44675.0	67682.0	76254.0	0.0	60538.0	99748.0	56600.0	50905.0	48813.0	68651.0	58283.0	60956.0	58504.0	61007.0	48583.0	69336.0	70072.0	63496.0	64491.0	57298.0	68394.0	48645.0	69459.0	50954.0	64302.0	51336.0	32234.0
CosteaPI_2017__SID713B041-11-0-0__bin.41	58571.0	48549.0	48837.0	38368.0	61069.0	41140.0	48205.0	54402.0	39232.0	51899.0	46849.0	35005.0	62911.0	58604.0	43618.0	50507.0	67755.0	25241.0	48897.0	40409.0	42506.0	40572.0	60332.0	71768.0	60538.0	0.0	99823.0	38331.0	41135.0	38606.0	69765.0	48332.0	55788.0	49607.0	51215.0	40158.0	58788.0	64324.0	55441.0	58466.0	39025.0	56897.0	38983.0	59645.0	41178.0	58664.0	40399.0	26214.0
RampelliS_2015__H14__bin.94	103923.0	99165.0	100359.0	71580.0	90259.0	89521.0	86592.0	105392.0	83533.0	90920.0	96303.0	76529.0	78656.0	101232.0	91832.0	104870.0	101990.0	56620.0	99206.0	83137.0	91888.0	56182.0	107462.0	73489.0	99748.0	99823.0	0.0	94238.0	91356.0	86292.0	2866.0	99463.0	102006.0	101427.0	105287.0	87305.0	109335.0	99601.0	104379.0	104772.0	95744.0	108630.0	83953.0	106797.0	88218.0	101833.0	90016.0	55617.0
CosteaPI_2017__SID713A028-11-0-0__bin.67	55979.0	47367.0	44617.0	37735.0	59597.0	40260.0	46459.0	52051.0	37816.0	49258.0	42724.0	34026.0	58296.0	54989.0	43309.0	47201.0	63644.0	24420.0	45893.0	38531.0	39570.0	39133.0	57680.0	66309.0	56600.0	38331.0	94238.0	0.0	41023.0	37544.0	67226.0	46603.0	51784.0	47023.0	47799.0	38623.0	56272.0	59158.0	53377.0	53555.0	439.0	56035.0	38780.0	58180.0	39894.0	55330.0	41115.0	25889.0
ZellerG_2014__CCMD86114146ST-21-0__bin.29	49978.0	41967.0	41326.0	32539.0	52069.0	27072.0	42010.0	47548.0	27819.0	46833.0	40126.0	25521.0	55257.0	51219.0	27133.0	43134.0	55691.0	17707.0	41924.0	35931.0	34111.0	38977.0	52165.0	63180.0	50905.0	41135.0	91356.0	41023.0	0.0	36113.0	65624.0	43005.0	44702.0	41485.0	45141.0	26238.0	51544.0	53289.0	49299.0	48301.0	41510.0	49424.0	25252.0	51791.0	26823.0	48241.0	27256.0	19385.0
LiuW_2016__SRR3993051__bin.74	46950.0	39814.0	38953.0	31753.0	53267.0	35514.0	40315.0	44739.0	33432.0	43031.0	38876.0	29873.0	57199.0	49448.0	37178.0	40837.0	51803.0	22847.0	40949.0	33616.0	35114.0	39504.0	48406.0	64434.0	48813.0	38606.0	86292.0	37544.0	36113.0	0.0	64095.0	42325.0	44319.0	41289.0	42565.0	34483.0	48218.0	51258.0	47431.0	45910.0	37919.0	47946.0	33378.0	49260.0	35381.0	46760.0	34842.0	23067.0
RampelliS_2015__H13__bin.18	71589.0	70357.0	71187.0	51434.0	63398.0	64726.0	61456.0	75672.0	58606.0	64327.0	66990.0	55478.0	56091.0	70597.0	67122.0	73335.0	71661.0	41454.0	71299.0	60323.0	64481.0	40588.0	73758.0	52351.0	68651.0	69765.0	2866.0	67226.0	65624.0	64095.0	0.0	70343.0	70622.0	70341.0	73941.0	63387.0	75503.0	68408.0	72160.0	73490.0	68162.0	75968.0	61103.0	76962.0	63111.0	70976.0	65332.0	40334.0
ZeeviD_2015__PNP_Main_438__bin.9	57718.0	50344.0	47490.0	36221.0	60640.0	45399.0	48052.0	52622.0	39553.0	50192.0	47677.0	36122.0	60938.0	57073.0	44815.0	53185.0	64434.0	25612.0	45429.0	39622.0	43177.0	41846.0	58746.0	71364.0	58283.0	48332.0	99463.0	46603.0	43005.0	42325.0	70343.0	0.0	52978.0	48639.0	52140.0	42999.0	57832.0	61110.0	56553.0	53820.0	47106.0	57658.0	40110.0	58519.0	41826.0	53348.0	43105.0	28220.0
ZellerG_2014__CCMD87156761ST-21-0__bin.33	57904.0	54192.0	55215.0	39733.0	64388.0	44252.0	49352.0	55540.0	42825.0	53809.0	53897.0	38902.0	63784.0	60729.0	44954.0	55250.0	65539.0	27858.0	53980.0	40849.0	46388.0	42139.0	58987.0	73644.0	60956.0	55788.0	102006.0	51784.0	44702.0	44319.0	70622.0	52978.0	0.0	51606.0	54638.0	42686.0	59585.0	64288.0	56139.0	55777.0	53196.0	60878.0	41530.0	61494.0	42773.0	58123.0	45767.0	29094.0
LeChatelierE_2013__MH0430__bin.47	59801.0	48677.0	45940.0	37160.0	60600.0	41840.0	47303.0	52987.0	41136.0	51147.0	48890.0	35560.0	62638.0	56651.0	45032.0	53116.0	63010.0	25963.0	47666.0	39358.0	41522.0	43271.0	58776.0	73024.0	58504.0	49607.0	101427.0	47023.0	41485.0	41289.0	70341.0	48639.0	51606.0	0.0	50707.0	40261.0	59111.0	62319.0	56212.0	53763.0	47790.0	58741.0	39538.0	60826.0	41479.0	58232.0	41578.0	28045.0
BritoIL_2016__M1.29.ST__bin.68	56668.0	49330.0	49771.0	38502.0	64335.0	44708.0	48308.0	54265.0	42096.0	51327.0	49898.0	38480.0	66118.0	58473.0	46501.0	51968.0	63932.0	26539.0	50578.0	40533.0	43513.0	42252.0	58496.0	74250.0	61007.0	51215.0	105287.0	47799.0	45141.0	42565.0	73941.0	52140.0	54638.0	50707.0	0.0	43699.0	58421.0	61983.0	55057.0	54405.0	48563.0	59504.0	42670.0	59108.0	43913.0	56862.0	45534.0	29198.0
NielsenHB_2014__MH0175__bin.23	47666.0	41246.0	38976.0	33879.0	50309.0	717.0	39869.0	45515.0	27253.0	44626.0	38240.0	24341.0	51526.0	47624.0	22643.0	41772.0	53605.0	16970.0	40420.0	34306.0	32848.0	37248.0	50462.0	61762.0	48583.0	40158.0	87305.0	38623.0	26238.0	34483.0	63387.0	42999.0	42686.0	40261.0	43699.0	0.0	51695.0	51348.0	48113.0	47326.0	39482.0	47880.0	24844.0	50282.0	21726.0	48767.0	22842.0	17965.0
BritoIL_2016__W2.61.ST__bin.52	67010.0	60005.0	58109.0	40842.0	68713.0	53524.0	51005.0	58951.0	50143.0	53020.0	56896.0	44698.0	70641.0	64911.0	52949.0	61211.0	74914.0	32285.0	61981.0	46497.0	51853.0	48270.0	60386.0	81899.0	69336.0	58788.0	109335.0	56272.0	51544.0	48218.0	75503.0	57832.0	59585.0	59111.0	58421.0	51695.0	0.0	72536.0	57735.0	60245.0	56905.0	61629.0	49440.0	61523.0	50200.0	63504.0	54141.0	32027.0
CM_madagascar__A90_04_1FE__bin.83	73164.0	61992.0	62855.0	46586.0	72342.0	53457.0	59281.0	66813.0	49959.0	60680.0	59770.0	45764.0	68096.0	68495.0	55674.0	66037.0	71130.0	35072.0	61840.0	49535.0	56464.0	47160.0	71798.0	75279.0	70072.0	64324.0	99601.0	59158.0	53289.0	51258.0	68408.0	61110.0	64288.0	62319.0	61983.0	51348.0	72536.0	0.0	66871.0	67532.0	60579.0	71749.0	49366.0	72703.0	52243.0	64767.0	53825.0	34441.0
BritoIL_2016__W3.22.ST__bin.21	63391.0	55351.0	55554.0	37969.0	67280.0	49892.0	48695.0	54517.0	46109.0	49266.0	55283.0	41282.0	68145.0	60698.0	51425.0	59125.0	70600.0	31137.0	59415.0	44945.0	49499.0	45938.0	55524.0	77521.0	63496.0	55441.0	104379.0	53377.0	49299.0	47431.0	72160.0	56553.0	56139.0	56212.0	55057.0	48113.0	57735.0	66871.0	0.0	54959.0	54195.0	58758.0	47167.0	56090.0	48544.0	62279.0	50830.0	31555.0
BritoIL_2016__WL.14.ST__bin.43	62279.0	54310.0	53521.0	39832.0	67469.0	47889.0	49953.0	55591.0	44404.0	52743.0	53471.0	40759.0	67034.0	60974.0	50292.0	57179.0	70655.0	28519.0	55260.0	42757.0	48446.0	45745.0	58535.0	77429.0	64491.0	58466.0	104772.0	53555.0	48301.0	45910.0	73490.0	53820.0	55777.0	53763.0	54405.0	47326.0	60245.0	67532.0	54959.0	0.0	54963.0	62347.0	45806.0	61330.0	48813.0	59750.0	47964.0	31046.0
CosteaPI_2017__SID713A028-11-90-0__bin.78	57106.0	47341.0	44883.0	38149.0	60755.0	41070.0	47007.0	52421.0	38980.0	50870.0	43542.0	34883.0	59207.0	56219.0	43927.0	48046.0	64647.0	24949.0	46895.0	38955.0	40012.0	39200.0	59221.0	67333.0	57298.0	39025.0	95744.0	439.0	41510.0	37919.0	68162.0	47106.0	53196.0	47790.0	48563.0	39482.0	56905.0	60579.0	54195.0	54963.0	0.0	56942.0	39582.0	59460.0	40849.0	56430.0	41524.0	26231.0
BritoIL_2016__W2.35.ST__bin.34	65838.0	58287.0	57047.0	40384.0	70506.0	49654.0	53163.0	58077.0	47161.0	50526.0	59236.0	42245.0	70685.0	65344.0	51632.0	62705.0	74972.0	32114.0	60352.0	47319.0	50987.0	48009.0	60764.0	80160.0	68394.0	56897.0	108630.0	56035.0	49424.0	47946.0	75968.0	57658.0	60878.0	58741.0	59504.0	47880.0	61629.0	71749.0	58758.0	62347.0	56942.0	0.0	45871.0	64117.0	48414.0	64518.0	50138.0	32103.0
XieH_2016__YSZC12003_35520__bin.2	47450.0	40783.0	38811.0	31373.0	51372.0	25529.0	39395.0	45045.0	25918.0	43734.0	38697.0	24740.0	51928.0	47224.0	26294.0	40831.0	52654.0	17381.0	40755.0	33848.0	33159.0	37241.0	49310.0	59593.0	48645.0	38983.0	83953.0	38780.0	25252.0	33378.0	61103.0	40110.0	41530.0	39538.0	42670.0	24844.0	49440.0	49366.0	47167.0	45806.0	39582.0	45871.0	0.0	49478.0	24949.0	46370.0	24679.0	18307.0
BritoIL_2016__W1.2.ST__bin.41	69363.0	61499.0	57873.0	40911.0	74534.0	51285.0	51329.0	57741.0	48765.0	51431.0	59706.0	43577.0	70904.0	65605.0	53815.0	63085.0	74949.0	32740.0	63763.0	49173.0	52831.0	49486.0	57094.0	79795.0	69459.0	59645.0	106797.0	58180.0	51791.0	49260.0	76962.0	58519.0	61494.0	60826.0	59108.0	50282.0	61523.0	72703.0	56090.0	61330.0	59460.0	64117.0	49478.0	0.0	49937.0	67493.0	52764.0	33880.0
