	CosteaPI_2017__SID713A058-11-90-0__bin.61	BritoIL_2016__M1.22.ST__bin.46	HeQ_2017__SZAXPI029560-51__bin.83	CosteaPI_2017__SID713A013-11-90-0__bin.5	CosteaPI_2017__SID713A013-11-0-0__bin.41	HeQ_2017__SZAXPI029554-33__bin.69	BritoIL_2016__W2.39.ST__bin.18	ZellerG_2014__CCIS74726977ST-3-0__bin.74	LiuW_2016__SRR3993041__bin.74	LiuW_2016__SRR3992994__bin.9	CosteaPI_2017__SID713B056-11-0-0__bin.21	Obregon-TitoAJ_2015__SM03__bin.28	BritoIL_2016__M1.59.ST__bin.32	CM_madagascar__A32_01_1FE__bin.62	CosteaPI_2017__SID713B040-11-90-0__bin.55	CosteaPI_2017__SID713A004-11-90-0__bin.40	BritoIL_2016__M1.44.ST__bin.2	LiuW_2016__SRR3992981__bin.32	CosteaPI_2017__SID713B029-11-0-0__bin.23	CosteaPI_2017__SID713A021-11-90-0__bin.15	BritoIL_2016__W2.19.ST__bin.52	BritoIL_2016__M1.48.ST__bin.39	BritoIL_2016__W3.22.ST__bin.109	ZeeviD_2015__PNP_Main_671__bin.34	XieH_2016__YSZC12003_37315__bin.111	VogtmannE_2016__MMRS65205033ST-27-0-0__bin.9	LiuW_2016__SRR3992961__bin.32	BritoIL_2016__M2.39.ST__bin.45	FengQ_2015__SID530840__bin.40	LeChatelierE_2013__MH0189__bin.38	FengQ_2015__SID31188__bin.43	CM_madagascar__A81_03_1FE__bin.25	LiuW_2016__SRR3992995__bin.67	CosteaPI_2017__SID713A084-11-90-0__bin.9	CosteaPI_2017__SID713B007-11-0-0__bin.56	ZellerG_2014__CCMD86114146ST-21-0__bin.68	CosteaPI_2017__SID713A004-11-0-0__bin.7	ZeeviD_2015__PNP_Main_362__bin.25	VogtmannE_2016__MMRS93508324ST-27-0-0__bin.39	LiuW_2016__SRR3992978__bin.107	CosteaPI_2017__SID713A084-11-0-0__bin.19	CM_madagascar__A70_03_1FE__bin.24	ZeeviD_2015__PNP_Main_377__bin.14	BritoIL_2016__W1.41.ST__bin.58	CosteaPI_2017__SID713B041-11-0-0__bin.48	CosteaPI_2017__SID713A040-11-0-0__bin.30	QinJ_2012__CON-110__bin.27	RampelliS_2015__H4__bin.33	CosteaPI_2017__SID713A057-11-90-0__bin.64
BritoIL_2016__M1.59.ST__bin.32	1780736.0	1901650.0	1870323.0	1792906.0	1855914.0	1848730.0	1901296.0	1867618.0	1818145.0	1016348.0	1894987.0	1845221.0	2532411.0	1870536.0	1901340.0	1833038.0	1538805.0	1390789.0	1773823.0	1748391.0	1789347.0	1891101.0	1865218.0	1905940.0	1728798.0	1861146.0	1855174.0	1270534.0	1789823.0	1835632.0	1471619.0	1881783.0	1309726.0	1872548.0	1650451.0	1874090.0	1877556.0	1877136.0	1831903.0	1432082.0	1851147.0	1782958.0	1866280.0	1865933.0	1863089.0	1767309.0	1782716.0	1897070.0	1812522.0
CM_madagascar__A32_01_1FE__bin.62	2505716.0	2610077.0	2585589.0	2565201.0	2647865.0	2550755.0	2618342.0	2600997.0	2590119.0	1341870.0	2626744.0	2573674.0	1870536.0	3907575.0	2652249.0	2630276.0	2096263.0	1917754.0	2529254.0	2445265.0	2440755.0	2599110.0	2542929.0	2655939.0	2370890.0	2597350.0	2655685.0	1683317.0	2478282.0	2549008.0	2037004.0	2631766.0	1822021.0	2648301.0	2240727.0	2567088.0	2684964.0	2647950.0	2580246.0	1960175.0	2625708.0	2404058.0	2666380.0	2580855.0	2630539.0	2528610.0	2458733.0	2647602.0	2590013.0
CosteaPI_2017__SID713B040-11-90-0__bin.55	2599145.0	2780718.0	2737039.0	2683231.0	2766838.0	2699608.0	2731725.0	2767272.0	2708300.0	1383348.0	2791429.0	2733149.0	1901340.0	2652249.0	3249525.0	2751820.0	2128817.0	1903746.0	2609180.0	2510886.0	2523343.0	2715881.0	2719920.0	2773643.0	2459539.0	2686801.0	2754221.0	1720514.0	2590046.0	2694622.0	2077696.0	2720126.0	1811477.0	2812913.0	2313421.0	2697407.0	2815567.0	2761049.0	2678650.0	1974691.0	2774202.0	2481801.0	2863900.0	2692292.0	2949197.0	2667341.0	2546318.0	2827099.0	2705976.0
CosteaPI_2017__SID713A004-11-90-0__bin.40	2545431.0	2664339.0	2651525.0	2656548.0	2725326.0	2593751.0	2651745.0	2639645.0	2632538.0	1356630.0	2699009.0	2649525.0	1833038.0	2630276.0	2751820.0	3136697.0	2092210.0	1905046.0	2561590.0	2483424.0	2461868.0	2689336.0	2593389.0	2680815.0	2390562.0	2631149.0	2731462.0	1682786.0	2537418.0	2592195.0	2037182.0	2617852.0	1807588.0	2702683.0	2262885.0	2616024.0	2941701.0	2664629.0	2631470.0	1966166.0	2683515.0	2399999.0	2742964.0	2638900.0	2712136.0	2622950.0	2476623.0	2700366.0	2636153.0
BritoIL_2016__M1.44.ST__bin.2	2004005.0	2131306.0	2095211.0	2016625.0	2093667.0	2084740.0	2121555.0	2138444.0	2064265.0	1100605.0	2105298.0	2129326.0	1538805.0	2096263.0	2128817.0	2092210.0	3241530.0	1517740.0	2014045.0	1965146.0	2006481.0	2117777.0	2087063.0	2128493.0	1948362.0	2040199.0	2093615.0	1411287.0	2014262.0	2062992.0	1672553.0	2097988.0	1451797.0	2116430.0	1837017.0	2059925.0	2122214.0	2107545.0	2128513.0	1612910.0	2103762.0	1953222.0	2139027.0	2093237.0	2087599.0	2001297.0	2010307.0	2143010.0	2058009.0
LiuW_2016__SRR3992981__bin.32	1843819.0	1870592.0	1872461.0	1840010.0	1914097.0	1834576.0	1864088.0	1861300.0	1872792.0	1214024.0	1893085.0	1874785.0	1390789.0	1917754.0	1903746.0	1905046.0	1517740.0	2811665.0	1818014.0	1791709.0	1785529.0	1870052.0	1819017.0	1889922.0	1758221.0	1900995.0	1914188.0	1315879.0	1836552.0	1836260.0	1465287.0	1884546.0	1495622.0	1894637.0	1714260.0	1883427.0	1938207.0	1882769.0	1840460.0	1617027.0	1883221.0	1780948.0	1913466.0	1864037.0	1904552.0	1806707.0	1815586.0	1901210.0	1864587.0
CosteaPI_2017__SID713B029-11-0-0__bin.23	2402741.0	2565160.0	2548282.0	2531884.0	2591571.0	2534718.0	2553154.0	2525766.0	2513737.0	1310424.0	2603279.0	2513737.0	1773823.0	2529254.0	2609180.0	2561590.0	2014045.0	1818014.0	2870440.0	2368247.0	2358376.0	2566041.0	2513244.0	2576335.0	2314334.0	2541120.0	2601479.0	1645011.0	2443252.0	2494303.0	1989917.0	2531780.0	1706240.0	2588630.0	2165013.0	2520557.0	2611936.0	2581507.0	2518211.0	1883718.0	2573838.0	2335225.0	2627704.0	2491318.0	2580211.0	2497994.0	2378576.0	2559522.0	2559660.0
CosteaPI_2017__SID713A021-11-90-0__bin.15	2341210.0	2454757.0	2443526.0	2464778.0	2538766.0	2407288.0	2440156.0	2446917.0	2423096.0	1297533.0	2471387.0	2421551.0	1748391.0	2445265.0	2510886.0	2483424.0	1965146.0	1791709.0	2368247.0	3510681.0	2312671.0	2443633.0	2394884.0	2444377.0	2246424.0	2512849.0	2484480.0	1605112.0	2344766.0	2390787.0	1922585.0	2434799.0	1696147.0	2460211.0	2137258.0	2422421.0	2526246.0	2470687.0	2392135.0	1862234.0	2453760.0	2277219.0	2522197.0	2391033.0	2476941.0	2406608.0	2311043.0	2505447.0	2452021.0
BritoIL_2016__W2.19.ST__bin.52	2388833.0	2515140.0	2517682.0	2440486.0	2518684.0	2437971.0	2506298.0	2504228.0	2412793.0	1324804.0	2507450.0	2500039.0	1789347.0	2440755.0	2523343.0	2461868.0	2006481.0	1785529.0	2358376.0	2312671.0	2941678.0	2472393.0	2461422.0	2485515.0	2279498.0	2422963.0	2459323.0	1654895.0	2362775.0	2448090.0	1943535.0	2493013.0	1745392.0	2508658.0	2182509.0	2451859.0	2495190.0	2511396.0	2433911.0	1892937.0	2479093.0	2358510.0	2523268.0	2448766.0	2485673.0	2394910.0	2370486.0	2476248.0	2441148.0
BritoIL_2016__M1.48.ST__bin.39	2526965.0	2735413.0	2684303.0	2586658.0	2660523.0	2632683.0	2671281.0	2672143.0	2571039.0	1362174.0	2688100.0	2657120.0	1891101.0	2599110.0	2715881.0	2689336.0	2117777.0	1870052.0	2566041.0	2443633.0	2472393.0	3292965.0	2655931.0	2724814.0	2391474.0	2602437.0	2666956.0	1690478.0	2520447.0	2631443.0	2062879.0	2615373.0	1781421.0	2723040.0	2266113.0	2654668.0	2721786.0	2674278.0	2663145.0	1960332.0	2685162.0	2440552.0	2707092.0	2641786.0	2684153.0	2601372.0	2507906.0	2749592.0	2593824.0
BritoIL_2016__W3.22.ST__bin.109	2479280.0	2705134.0	2668333.0	2530697.0	2609589.0	2577426.0	2631232.0	2630779.0	2551859.0	1316731.0	2744344.0	2606177.0	1865218.0	2542929.0	2719920.0	2593389.0	2087063.0	1819017.0	2513244.0	2394884.0	2461422.0	2655931.0	3107294.0	2677648.0	2394409.0	2561165.0	2609434.0	1668786.0	2481980.0	2614138.0	2046741.0	2643525.0	1720641.0	2708972.0	2237805.0	2589597.0	2661696.0	2689183.0	2597539.0	1882301.0	2667213.0	2406117.0	2710260.0	2592092.0	2646350.0	2556846.0	2460559.0	2658094.0	2555132.0
ZeeviD_2015__PNP_Main_671__bin.34	2544932.0	2752183.0	2699903.0	2596651.0	2672790.0	2651891.0	2733481.0	2687283.0	2596032.0	1353742.0	2758961.0	2672233.0	1905940.0	2655939.0	2773643.0	2680815.0	2128493.0	1889922.0	2576335.0	2444377.0	2485515.0	2724814.0	2677648.0	3608563.0	2425992.0	2642417.0	2718751.0	1697382.0	2572482.0	2667545.0	2073947.0	2695177.0	1779572.0	2770518.0	2272349.0	2648767.0	2738741.0	2730509.0	2668861.0	1948744.0	2731183.0	2438250.0	2759672.0	2648719.0	2736936.0	2601842.0	2544010.0	2713176.0	2619583.0
XieH_2016__YSZC12003_37315__bin.111	2313727.0	2460480.0	2452578.0	2354345.0	2418937.0	2375399.0	2429995.0	2408797.0	2355429.0	1305674.0	2471600.0	2395597.0	1728798.0	2370890.0	2459539.0	2390562.0	1948362.0	1758221.0	2314334.0	2246424.0	2279498.0	2391474.0	2394409.0	2425992.0	3472558.0	2399181.0	2375924.0	1618457.0	2295726.0	2390226.0	1921346.0	2452051.0	1671114.0	2427308.0	2145066.0	2388840.0	2427026.0	2428555.0	2385863.0	1830608.0	2404133.0	2278579.0	2424345.0	2387390.0	2434043.0	2303705.0	2317571.0	2417595.0	2386302.0
VogtmannE_2016__MMRS65205033ST-27-0-0__bin.9	2475220.0	2614612.0	2627119.0	2649308.0	2723315.0	2600630.0	2642823.0	2585274.0	2587102.0	1372052.0	2641924.0	2574447.0	1861146.0	2597350.0	2686801.0	2631149.0	2040199.0	1900995.0	2541120.0	2512849.0	2422963.0	2602437.0	2561165.0	2642417.0	2399181.0	3066192.0	2689239.0	1670854.0	2493166.0	2572544.0	1991158.0	2608262.0	1774179.0	2649483.0	2244305.0	2572234.0	2679003.0	2645462.0	2538015.0	1934187.0	2622639.0	2399756.0	2696380.0	2541414.0	2648657.0	2603730.0	2429146.0	2646040.0	2592125.0
LiuW_2016__SRR3992961__bin.32	2516308.0	2696201.0	2653107.0	2663698.0	2759990.0	2596422.0	2657830.0	2623037.0	2617009.0	1363906.0	2724865.0	2629280.0	1855174.0	2655685.0	2754221.0	2731462.0	2093615.0	1914188.0	2601479.0	2484480.0	2459323.0	2666956.0	2609434.0	2718751.0	2375924.0	2689239.0	3154462.0	1687614.0	2508941.0	2579978.0	2033106.0	2650459.0	1788016.0	2731657.0	2254680.0	2630395.0	2803529.0	2679229.0	2598778.0	1965565.0	2713573.0	2422456.0	2774493.0	2597637.0	2726155.0	2630450.0	2466664.0	2718810.0	2653661.0
BritoIL_2016__M2.39.ST__bin.45	1655028.0	1717771.0	1697785.0	1649400.0	1688488.0	1676178.0	1705637.0	1683051.0	1691123.0	981934.0	1724836.0	1712327.0	1270534.0	1683317.0	1720514.0	1682786.0	1411287.0	1315879.0	1645011.0	1605112.0	1654895.0	1690478.0	1668786.0	1697382.0	1618457.0	1670854.0	1687614.0	2437615.0	1657325.0	1672313.0	1394572.0	1713450.0	1263462.0	1701960.0	1585572.0	1669637.0	1702614.0	1714345.0	1675150.0	1372533.0	1697272.0	1642370.0	1710184.0	1705916.0	1710016.0	1610227.0	1653484.0	1709733.0	1689904.0
FengQ_2015__SID530840__bin.40	2408350.0	2547664.0	2507587.0	2427633.0	2520877.0	2461338.0	2517100.0	2515039.0	2478822.0	1323565.0	2544256.0	2518315.0	1789823.0	2478282.0	2590046.0	2537418.0	2014262.0	1836552.0	2443252.0	2344766.0	2362775.0	2520447.0	2481980.0	2572482.0	2295726.0	2493166.0	2508941.0	1657325.0	2933478.0	2497529.0	1979235.0	2490498.0	1723791.0	2579336.0	2208448.0	2497615.0	2562050.0	2549691.0	2489793.0	1880974.0	2554523.0	2348902.0	2572892.0	2488619.0	2559581.0	2419268.0	2389126.0	2546121.0	2463875.0
LeChatelierE_2013__MH0189__bin.38	2487019.0	2629266.0	2649126.0	2518197.0	2591370.0	2592488.0	2610870.0	2634200.0	2534617.0	1347504.0	2685123.0	2622611.0	1835632.0	2549008.0	2694622.0	2592195.0	2062992.0	1836260.0	2494303.0	2390787.0	2448090.0	2631443.0	2614138.0	2667545.0	2390226.0	2572544.0	2579978.0	1672313.0	2497529.0	3006314.0	2053786.0	2638888.0	1773819.0	2716577.0	2241591.0	2578597.0	2637310.0	2644067.0	2567444.0	1907579.0	2670751.0	2395417.0	2637056.0	2565290.0	2642413.0	2556579.0	2460977.0	2645322.0	2586450.0
FengQ_2015__SID31188__bin.43	1955473.0	2071088.0	2066841.0	1970708.0	2037489.0	1996399.0	2047356.0	2040355.0	2006149.0	1071895.0	2088965.0	2036741.0	1471619.0	2037004.0	2077696.0	2037182.0	1672553.0	1465287.0	1989917.0	1922585.0	1943535.0	2062879.0	2046741.0	2073947.0	1921346.0	1991158.0	2033106.0	1394572.0	1979235.0	2053786.0	3108517.0	2088269.0	1422399.0	2083738.0	1833530.0	2036431.0	2058426.0	2087200.0	2041120.0	1566226.0	2064019.0	1931570.0	2065171.0	2028582.0	2057510.0	1987158.0	1995018.0	2061919.0	2011548.0
CM_madagascar__A81_03_1FE__bin.25	2519418.0	2719569.0	2690175.0	2598184.0	2665496.0	2615510.0	2667945.0	2615774.0	2581666.0	1363784.0	2747973.0	2654580.0	1881783.0	2631766.0	2720126.0	2617852.0	2097988.0	1884546.0	2531780.0	2434799.0	2493013.0	2615373.0	2643525.0	2695177.0	2452051.0	2608262.0	2650459.0	1713450.0	2490498.0	2638888.0	2088269.0	4449803.0	1809827.0	2721381.0	2289888.0	2610305.0	2660748.0	2712953.0	2587984.0	1946516.0	2678038.0	2493791.0	2695346.0	2599449.0	2674751.0	2563352.0	2502136.0	2703414.0	2597266.0
LiuW_2016__SRR3992995__bin.67	1747460.0	1780983.0	1776480.0	1759259.0	1807694.0	1745253.0	1792818.0	1783808.0	1781770.0	1184845.0	1797666.0	1787155.0	1309726.0	1822021.0	1811477.0	1807588.0	1451797.0	1495622.0	1706240.0	1696147.0	1745392.0	1781421.0	1720641.0	1779572.0	1671114.0	1774179.0	1788016.0	1263462.0	1723791.0	1773819.0	1422399.0	1809827.0	2472834.0	1787382.0	1652700.0	1770074.0	1821319.0	1792990.0	1755172.0	1549353.0	1777384.0	1715866.0	1820647.0	1768350.0	1803670.0	1725047.0	1727348.0	1783517.0	1774872.0
CosteaPI_2017__SID713A084-11-90-0__bin.9	2569596.0	2746176.0	2742387.0	2621196.0	2705001.0	2661211.0	2689220.0	2705161.0	2645347.0	1369798.0	2807235.0	2711094.0	1872548.0	2648301.0	2812913.0	2702683.0	2116430.0	1894637.0	2588630.0	2460211.0	2508658.0	2723040.0	2708972.0	2770518.0	2427308.0	2649483.0	2731657.0	1701960.0	2579336.0	2716577.0	2083738.0	2721381.0	1787382.0	3184747.0	2288930.0	2680175.0	2771721.0	2773353.0	2657094.0	1955013.0	3049724.0	2452145.0	2764460.0	2641572.0	2754468.0	2634060.0	2519585.0	2767246.0	2636022.0
CosteaPI_2017__SID713B007-11-0-0__bin.56	2216791.0	2311397.0	2278877.0	2198965.0	2270946.0	2244056.0	2293184.0	2260839.0	2244050.0	1303036.0	2339729.0	2287318.0	1650451.0	2240727.0	2313421.0	2262885.0	1837017.0	1714260.0	2165013.0	2137258.0	2182509.0	2266113.0	2237805.0	2272349.0	2145066.0	2244305.0	2254680.0	1585572.0	2208448.0	2241591.0	1833530.0	2289888.0	1652700.0	2288930.0	2598359.0	2242014.0	2285095.0	2293914.0	2244116.0	1772711.0	2277877.0	2179408.0	2291664.0	2261794.0	2288686.0	2188509.0	2208636.0	2297411.0	2238333.0
ZellerG_2014__CCMD86114146ST-21-0__bin.68	2495250.0	2659442.0	2628647.0	2552814.0	2634152.0	2554265.0	2617682.0	2645443.0	2540283.0	1353414.0	2669397.0	2616437.0	1874090.0	2567088.0	2697407.0	2616024.0	2059925.0	1883427.0	2520557.0	2422421.0	2451859.0	2654668.0	2589597.0	2648767.0	2388840.0	2572234.0	2630395.0	1669637.0	2497615.0	2578597.0	2036431.0	2610305.0	1770074.0	2680175.0	2242014.0	3106974.0	2676640.0	2655441.0	2577731.0	1938975.0	2656056.0	2407679.0	2676055.0	2555299.0	2652847.0	2525564.0	2451345.0	2685089.0	2562633.0
