	FengQ_2015__SID530258__bin.16	CosteaPI_2017__SID713B076-11-90-0__bin.31	FengQ_2015__SID530026__bin.15	LiuW_2016__SRR3993012__bin.86	LiuW_2016__SRR3993004__bin.71	LiuW_2016__SRR3993014__bin.44	LiuW_2016__SRR3992970__bin.33	BritoIL_2016__M1.37.ST__bin.19	XieH_2016__YSZC12003_35697__bin.56	ZeeviD_2015__PNP_Main_297__bin.15	LiuW_2016__SRR3992955__bin.69	LiuW_2016__SRR3992997__bin.3	LiuW_2016__SRR3992993__bin.60	FengQ_2015__SID31749__bin.28	LiuW_2016__SRR3993044__bin.108	BackhedF_2015__SID590_4M__bin.25	LiuW_2016__SRR3993048__bin.32	XieH_2016__YSZC12003_35515__bin.94	LiuW_2016__SRR3993061__bin.114	ZeeviD_2015__PNP_Main_404__bin.12	LiuW_2016__SRR3993002__bin.82	LiuW_2016__SRR3992969__bin.31	LiuW_2016__SRR3992995__bin.2	FengQ_2015__SID31477__bin.22	XieH_2016__YSZC12003_36244__bin.124	ZeeviD_2015__PNP_Main_198__bin.44	LiuW_2016__SRR3993031__bin.91	LiuW_2016__SRR3992981__bin.82	LiuW_2016__SRR3993038__bin.74	BritoIL_2016__W2.8.ST__bin.73	LiuW_2016__SRR3993005__bin.7
LiuW_2016__SRR3992955__bin.69	883000.0	977218.0	572183.0	947252.0	981397.0	950071.0	894901.0	828562.0	987599.0	938310.0	1252415.0	984306.0	970040.0	1005927.0	992943.0	783899.0	643033.0	980407.0	928969.0	547989.0	1004897.0	955141.0	966876.0	985360.0	966001.0	611621.0	995219.0	1035108.0	1010962.0	614627.0	866125.0
LiuW_2016__SRR3992997__bin.3	1254041.0	1482124.0	879469.0	1379249.0	1475884.0	1315747.0	1231294.0	1190128.0	1477974.0	1409901.0	984306.0	1749233.0	1460947.0	1525398.0	1477467.0	1151867.0	860293.0	1438880.0	1367169.0	791750.0	1489384.0	1434762.0	1463934.0	1455008.0	1412118.0	878142.0	1513638.0	1443735.0	1537640.0	860574.0	1286868.0
LiuW_2016__SRR3992993__bin.60	1244348.0	1459940.0	851493.0	1369389.0	1457120.0	1315805.0	1223019.0	1168821.0	1459329.0	1383350.0	970040.0	1460947.0	1613707.0	1482824.0	1443447.0	1117117.0	863084.0	1397874.0	1342195.0	778964.0	1451114.0	1391203.0	1426164.0	1423009.0	1368540.0	862146.0	1472733.0	1411829.0	1486644.0	845870.0	1234342.0
FengQ_2015__SID31749__bin.28	1323248.0	1528204.0	948509.0	1430935.0	1525651.0	1368763.0	1263849.0	1237969.0	1569320.0	1504606.0	1005927.0	1525398.0	1482824.0	1700815.0	1553426.0	1241388.0	856636.0	1509884.0	1433672.0	835773.0	1560182.0	1442937.0	1499887.0	1538051.0	1478202.0	944659.0	1568368.0	1480165.0	1585172.0	899743.0	1249859.0
LiuW_2016__SRR3993044__bin.108	1280629.0	1461432.0	900170.0	1379489.0	1479475.0	1337703.0	1235494.0	1207847.0	1492180.0	1418103.0	992943.0	1477467.0	1443447.0	1553426.0	1601945.0	1169884.0	839711.0	1446691.0	1382558.0	796209.0	1551005.0	1394898.0	1448953.0	1478588.0	1408933.0	901602.0	1510117.0	1435998.0	1530039.0	868012.0	1228432.0
BackhedF_2015__SID590_4M__bin.25	1038883.0	1143320.0	853293.0	1090779.0	1143949.0	1023729.0	941268.0	964834.0	1184449.0	1163300.0	783899.0	1151867.0	1117117.0	1241388.0	1169884.0	1352384.0	637519.0	1156242.0	1088636.0	676706.0	1178105.0	1088446.0	1141639.0	1171783.0	1118713.0	791347.0	1173262.0	1151688.0	1218536.0	727014.0	923483.0
LiuW_2016__SRR3993048__bin.32	779887.0	838221.0	470249.0	834427.0	844247.0	823575.0	784397.0	692234.0	846023.0	787139.0	643033.0	860293.0	863084.0	856636.0	839711.0	637519.0	961992.0	829081.0	793605.0	447085.0	850601.0	832829.0	839514.0	835848.0	810777.0	477508.0	848923.0	833965.0	878236.0	506508.0	763326.0
XieH_2016__YSZC12003_35515__bin.94	1254199.0	1459780.0	873517.0	1349950.0	1442549.0	1300241.0	1232134.0	1176034.0	1467167.0	1391801.0	980407.0	1438880.0	1397874.0	1509884.0	1446691.0	1156242.0	829081.0	1652658.0	1350987.0	793188.0	1466128.0	1366487.0	1425418.0	1454135.0	1419581.0	889562.0	1469061.0	1431152.0	1497799.0	855933.0	1194884.0
LiuW_2016__SRR3993061__bin.114	1227967.0	1360583.0	849427.0	1281085.0	1385007.0	1271188.0	1157098.0	1124101.0	1398987.0	1336557.0	928969.0	1367169.0	1342195.0	1433672.0	1382558.0	1088636.0	793605.0	1350987.0	1497852.0	767418.0	1394081.0	1290335.0	1330486.0	1383257.0	1320187.0	840561.0	1394232.0	1345976.0	1400047.0	815243.0	1152657.0
ZeeviD_2015__PNP_Main_404__bin.12	715183.0	797798.0	526650.0	743245.0	801294.0	715519.0	651600.0	685906.0	800707.0	807096.0	547989.0	791750.0	778964.0	835773.0	796209.0	676706.0	447085.0	793188.0	767418.0	951307.0	808542.0	756088.0	775854.0	795397.0	773134.0	535916.0	818565.0	799854.0	821756.0	523832.0	640256.0
LiuW_2016__SRR3993002__bin.82	1280627.0	1472187.0	910031.0	1381758.0	1491690.0	1352019.0	1240281.0	1230665.0	1508624.0	1427222.0	1004897.0	1489384.0	1451114.0	1560182.0	1551005.0	1178105.0	850601.0	1466128.0	1394081.0	808542.0	1669193.0	1403401.0	1452218.0	1487147.0	1419587.0	905688.0	1515722.0	1445438.0	1550803.0	881324.0	1233706.0
LiuW_2016__SRR3992969__bin.31	1205466.0	1409402.0	834089.0	1325260.0	1404693.0	1263150.0	1200799.0	1139361.0	1397827.0	1331725.0	955141.0	1434762.0	1391203.0	1442937.0	1394898.0	1088446.0	832829.0	1366487.0	1290335.0	756088.0	1403401.0	1553148.0	1373162.0	1385977.0	1341719.0	828760.0	1427874.0	1367908.0	1445294.0	819939.0	1202727.0
LiuW_2016__SRR3992995__bin.2	1230767.0	1458897.0	842376.0	1376855.0	1465108.0	1292785.0	1251314.0	1177929.0	1460160.0	1375399.0	966876.0	1463934.0	1426164.0	1499887.0	1448953.0	1141639.0	839514.0	1425418.0	1330486.0	775854.0	1452218.0	1373162.0	1624671.0	1426576.0	1382598.0	858428.0	1489430.0	1428318.0	1516882.0	844190.0	1222846.0
FengQ_2015__SID31477__bin.22	1278775.0	1466898.0	894475.0	1363648.0	1461302.0	1341728.0	1223260.0	1202307.0	1510383.0	1420898.0	985360.0	1455008.0	1423009.0	1538051.0	1478588.0	1171783.0	835848.0	1454135.0	1383257.0	795397.0	1487147.0	1385977.0	1426576.0	1621903.0	1420271.0	904946.0	1483472.0	1449552.0	1524937.0	872588.0	1217064.0
XieH_2016__YSZC12003_36244__bin.124	1240057.0	1410233.0	860122.0	1315272.0	1403984.0	1260444.0	1177177.0	1166368.0	1434077.0	1353392.0	966001.0	1412118.0	1368540.0	1478202.0	1408933.0	1118713.0	810777.0	1419581.0	1320187.0	773134.0	1419587.0	1341719.0	1382598.0	1420271.0	1586029.0	859588.0	1436780.0	1383300.0	1464617.0	856261.0	1181288.0
ZeeviD_2015__PNP_Main_198__bin.44	792184.0	880935.0	597038.0	826815.0	884634.0	801058.0	700853.0	747907.0	920446.0	897839.0	611621.0	878142.0	862146.0	944659.0	901602.0	791347.0	477508.0	889562.0	840561.0	535916.0	905688.0	828760.0	858428.0	904946.0	859588.0	1065651.0	900163.0	879415.0	915363.0	575639.0	708611.0
LiuW_2016__SRR3993031__bin.91	1284752.0	1497028.0	901313.0	1407255.0	1517242.0	1338716.0	1254056.0	1211530.0	1516822.0	1430116.0	995219.0	1513638.0	1472733.0	1568368.0	1510117.0	1173262.0	848923.0	1469061.0	1394232.0	818565.0	1515722.0	1427874.0	1489430.0	1483472.0	1436780.0	900163.0	1608957.0	1470392.0	1531897.0	876059.0	1238777.0
LiuW_2016__SRR3992981__bin.82	1247193.0	1453407.0	862567.0	1351999.0	1452280.0	1324807.0	1219436.0	1176154.0	1444129.0	1365817.0	1035108.0	1443735.0	1411829.0	1480165.0	1435998.0	1151688.0	833965.0	1431152.0	1345976.0	799854.0	1445438.0	1367908.0	1428318.0	1449552.0	1383300.0	879415.0	1470392.0	1721452.0	1490729.0	847656.0	1217909.0
LiuW_2016__SRR3993038__bin.74	1308611.0	1524954.0	909017.0	1424366.0	1505012.0	1372788.0	1270592.0	1256531.0	1541972.0	1458119.0	1010962.0	1537640.0	1486644.0	1585172.0	1530039.0	1218536.0	878236.0	1497799.0	1400047.0	821756.0	1550803.0	1445294.0	1516882.0	1524937.0	1464617.0	915363.0	1531897.0	1490729.0	1753212.0	913158.0	1263884.0
BritoIL_2016__W2.8.ST__bin.73	808511.0	850025.0	556402.0	809103.0	859401.0	779321.0	713453.0	779234.0	875280.0	846825.0	614627.0	860574.0	845870.0	899743.0	868012.0	727014.0	506508.0	855933.0	815243.0	523832.0	881324.0	819939.0	844190.0	872588.0	856261.0	575639.0	876059.0	847656.0	913158.0	1054183.0	718504.0
LiuW_2016__SRR3993005__bin.7	1070115.0	1228885.0	710601.0	1177908.0	1239313.0	1152387.0	1076748.0	995911.0	1231397.0	1147223.0	866125.0	1286868.0	1234342.0	1249859.0	1228432.0	923483.0	763326.0	1194884.0	1152657.0	640256.0	1233706.0	1202727.0	1222846.0	1217064.0	1181288.0	708611.0	1238777.0	1217909.0	1263884.0	718504.0	1373281.0
