	ZeeviD_2015__PNP_Main_107__bin.35	BritoIL_2016__M1.52.ST__bin.86	RampelliS_2015__H11__bin.13	BritoIL_2016__W1.2.ST__bin.60	LeChatelierE_2013__MH0454__bin.26	ZeeviD_2015__PNP_Main_133__bin.40	ZeeviD_2015__PNP_Main_93__bin.29	ZellerG_2014__CCIS90164298ST-4-0__bin.73	ZeeviD_2015__PNP_Main_310__bin.41	HMP_2012__SRS011529__bin.49	CM_madagascar__A07_01_1FE__bin.9	LiJ_2014__MH0340__bin.28	ZeeviD_2015__PNP_Validation_93__bin.6	BritoIL_2016__W2.61.ST__bin.7	KarlssonFH_2013__S60__bin.4	NielsenHB_2014__MH0115__bin.39	RampelliS_2015__H10__bin.44	ZeeviD_2015__PNP_Main_137__bin.17	ZeeviD_2015__PNP_Main_325__bin.40	ZeeviD_2015__PNP_Main_25__bin.85	FengQ_2015__SID530867__bin.63	ZeeviD_2015__PNP_Main_438__bin.40	XieH_2016__YSZC12003_37255__bin.30	BritoIL_2016__M1.1.ST__bin.103	BritoIL_2016__W2.39.ST__bin.75	ZeeviD_2015__PNP_Validation_18__bin.12	XieH_2016__YSZC12003_37315__bin.109	WenC_2017__N277__bin.7	BritoIL_2016__M2.36.ST__bin.40	LiJ_2014__O2.UC28-0__bin.26	BritoIL_2016__M2.46.ST__bin.6	LiJ_2014__V1.FI26__bin.8	QinN_2014__HD-60__bin.82	NielsenHB_2014__V1_CD22_0__bin.3	CosteaPI_2017__SID713A084-11-90-0__bin.44	BritoIL_2016__M1.44.ST__bin.14	CosteaPI_2017__SID713B040-11-90-0__bin.4	RaymondF_2016__P19E0__bin.81	LeChatelierE_2013__MH0177__bin.3	CosteaPI_2017__SID713A063-11-90-0__bin.85	CosteaPI_2017__SID713A084-11-0-0__bin.26	XieH_2016__YSZC12003_37797__bin.39	KarlssonFH_2013__S378__bin.20
CM_madagascar__A07_01_1FE__bin.9	786417.0	831624.0	559309.0	852110.0	772649.0	646911.0	749929.0	822888.0	857035.0	831213.0	960720.0	757642.0	526823.0	593797.0	808887.0	820139.0	729562.0	866599.0	788765.0	770326.0	841268.0	811103.0	750795.0	858824.0	854918.0	756621.0	611908.0	688733.0	808997.0	784298.0	845163.0	842350.0	846187.0	843177.0	839396.0	857223.0	786305.0	853147.0	797975.0	855708.0	790630.0	599429.0	790002.0
LiJ_2014__MH0340__bin.28	903164.0	936289.0	612286.0	932319.0	888914.0	729926.0	886642.0	942836.0	963243.0	938420.0	757642.0	1068807.0	601910.0	631444.0	917068.0	856157.0	810096.0	969201.0	872345.0	886303.0	958661.0	885828.0	833387.0	974842.0	955049.0	819761.0	658789.0	807629.0	895851.0	888234.0	948539.0	959096.0	945610.0	954578.0	946199.0	965043.0	904800.0	964697.0	929075.0	955045.0	875188.0	614372.0	902537.0
ZeeviD_2015__PNP_Validation_93__bin.6	613175.0	654132.0	404684.0	669904.0	617992.0	514954.0	599234.0	645976.0	690479.0	668259.0	526823.0	601910.0	912302.0	444141.0	625519.0	595168.0	539768.0	692483.0	632823.0	625142.0	669137.0	645168.0	567917.0	691224.0	692340.0	582587.0	431542.0	535988.0	642015.0	632088.0	678233.0	658044.0	678250.0	666949.0	676336.0	692311.0	620227.0	684585.0	640493.0	680247.0	624880.0	417878.0	619265.0
BritoIL_2016__W2.61.ST__bin.7	720869.0	685616.0	426614.0	704365.0	643029.0	535589.0	649535.0	723378.0	724315.0	725123.0	593797.0	631444.0	444141.0	792176.0	675140.0	635312.0	568228.0	714444.0	662135.0	649548.0	713263.0	675409.0	656298.0	729556.0	755053.0	606316.0	477412.0	585081.0	675588.0	711055.0	692665.0	713265.0	697684.0	720112.0	712764.0	766450.0	664334.0	708304.0	657488.0	727552.0	661445.0	570081.0	670720.0
KarlssonFH_2013__S60__bin.4	961783.0	975074.0	623555.0	983778.0	923225.0	763148.0	910461.0	1025165.0	1039991.0	995600.0	808887.0	917068.0	625519.0	675140.0	1169240.0	913583.0	829376.0	1026456.0	936596.0	975540.0	1024774.0	953281.0	906282.0	1026197.0	1019441.0	870595.0	718983.0	852926.0	944381.0	958563.0	994231.0	1065201.0	1022105.0	1027053.0	1009267.0	1034461.0	970768.0	1027073.0	951430.0	1025173.0	925916.0	701197.0	982249.0
NielsenHB_2014__MH0115__bin.39	874579.0	937008.0	602589.0	951501.0	856876.0	729895.0	840078.0	931241.0	952696.0	940528.0	820139.0	856157.0	595168.0	635312.0	913583.0	1099881.0	801373.0	957159.0	870653.0	871548.0	940152.0	905489.0	797727.0	967241.0	967723.0	834313.0	665865.0	756791.0	908087.0	886434.0	955705.0	948070.0	957243.0	939092.0	945602.0	969658.0	878517.0	964496.0	897754.0	952752.0	875870.0	619055.0	888174.0
RampelliS_2015__H10__bin.44	797659.0	856195.0	774730.0	874092.0	819768.0	788618.0	772620.0	842368.0	887638.0	855171.0	729562.0	810096.0	539768.0	568228.0	829376.0	801373.0	1152003.0	876645.0	798579.0	806558.0	875744.0	943796.0	747986.0	885585.0	884215.0	871656.0	650869.0	719938.0	820627.0	829771.0	865490.0	863507.0	867652.0	861478.0	879889.0	887551.0	804665.0	873568.0	859639.0	892821.0	818994.0	545880.0	813829.0
ZeeviD_2015__PNP_Main_137__bin.17	1014409.0	1048752.0	651372.0	1076429.0	991203.0	810017.0	971702.0	1062632.0	1152908.0	1080075.0	866599.0	969201.0	692483.0	714444.0	1026456.0	957159.0	876645.0	1307817.0	1020622.0	1005107.0	1081149.0	1025677.0	927239.0	1134147.0	1111682.0	923115.0	723621.0	880143.0	1021799.0	1028715.0	1074143.0	1095531.0	1080337.0	1098557.0	1083934.0	1132000.0	1007901.0	1092565.0	1030386.0	1117059.0	986256.0	715852.0	1001511.0
ZeeviD_2015__PNP_Main_325__bin.40	936753.0	949926.0	598447.0	971565.0	911859.0	741544.0	885074.0	960705.0	1016512.0	981230.0	788765.0	872345.0	632823.0	662135.0	936596.0	870653.0	798579.0	1020622.0	1119130.0	903907.0	986980.0	932736.0	850454.0	1005866.0	1004813.0	846600.0	666222.0	826348.0	922733.0	919667.0	983446.0	982020.0	993209.0	990237.0	985824.0	1011065.0	907363.0	989391.0	940593.0	994622.0	892688.0	653790.0	915221.0
ZeeviD_2015__PNP_Main_25__bin.85	929128.0	940814.0	595991.0	955956.0	890316.0	734136.0	891644.0	980563.0	1002121.0	963345.0	770326.0	886303.0	625142.0	649548.0	975540.0	871548.0	806558.0	1005107.0	903907.0	1113926.0	998699.0	918159.0	871036.0	1015772.0	982459.0	834213.0	665144.0	815446.0	907228.0	922820.0	960605.0	995025.0	972985.0	1021233.0	977831.0	1018148.0	933221.0	987143.0	916994.0	1018285.0	899184.0	657535.0	933338.0
FengQ_2015__SID530867__bin.63	986064.0	1032003.0	648243.0	1042621.0	988949.0	790767.0	959001.0	1067245.0	1105152.0	1067492.0	841268.0	958661.0	669137.0	713263.0	1024774.0	940152.0	875744.0	1081149.0	986980.0	998699.0	1183085.0	1002369.0	915742.0	1095731.0	1095569.0	914055.0	708993.0	864062.0	997028.0	1021710.0	1045102.0	1082683.0	1069078.0	1080781.0	1084558.0	1102572.0	1000925.0	1096374.0	1016144.0	1102700.0	985141.0	708460.0	993021.0
ZeeviD_2015__PNP_Main_438__bin.40	912813.0	969900.0	708398.0	992907.0	910561.0	870962.0	879935.0	977974.0	1041504.0	981323.0	811103.0	885828.0	645168.0	675409.0	953281.0	905489.0	943796.0	1025677.0	932736.0	918159.0	1002369.0	1446644.0	861578.0	1015259.0	1041416.0	1015121.0	760515.0	795187.0	940685.0	959633.0	980887.0	1003539.0	1005863.0	1006806.0	1006535.0	1051384.0	921335.0	1006437.0	951963.0	1026466.0	920946.0	661265.0	925987.0
XieH_2016__YSZC12003_37255__bin.30	873544.0	869854.0	564110.0	893293.0	837099.0	695551.0	806283.0	930151.0	937493.0	898145.0	750795.0	833387.0	567917.0	656298.0	906282.0	797727.0	747986.0	927239.0	850454.0	871036.0	915742.0	861578.0	1164049.0	915851.0	915859.0	784113.0	643856.0	762194.0	845883.0	873351.0	905407.0	937790.0	907323.0	939468.0	905478.0	919485.0	880458.0	928655.0	870156.0	924360.0	836176.0	661436.0	903559.0
BritoIL_2016__M1.1.ST__bin.103	1005776.0	1064797.0	654825.0	1075376.0	985038.0	802134.0	958815.0	1061917.0	1132353.0	1136693.0	858824.0	974842.0	691224.0	729556.0	1026197.0	967241.0	885585.0	1134147.0	1005866.0	1015772.0	1095731.0	1015259.0	915851.0	1271929.0	1123389.0	926244.0	714797.0	868769.0	1034441.0	1033945.0	1089793.0	1075324.0	1085751.0	1106807.0	1099465.0	1152463.0	997460.0	1088363.0	1023357.0	1135422.0	994948.0	711710.0	997231.0
BritoIL_2016__W2.39.ST__bin.75	997044.0	1051988.0	660328.0	1072328.0	990027.0	800731.0	958654.0	1066485.0	1123461.0	1080553.0	854918.0	955049.0	692340.0	755053.0	1019441.0	967723.0	884215.0	1111682.0	1004813.0	982459.0	1095569.0	1041416.0	915859.0	1123389.0	1200565.0	928546.0	712476.0	858915.0	1019701.0	1038618.0	1073301.0	1080548.0	1084576.0	1079667.0	1105451.0	1203908.0	1003848.0	1095605.0	1033813.0	1124991.0	1000342.0	704944.0	999271.0
ZeeviD_2015__PNP_Validation_18__bin.12	825555.0	878625.0	655480.0	905821.0	832916.0	822557.0	804856.0	890213.0	930648.0	893664.0	756621.0	819761.0	582587.0	606316.0	870595.0	834313.0	871656.0	923115.0	846600.0	834213.0	914055.0	1015121.0	784113.0	926244.0	928546.0	1285036.0	719446.0	740500.0	853371.0	865209.0	893577.0	903721.0	921754.0	906866.0	917197.0	935842.0	844115.0	919117.0	875242.0	927719.0	841376.0	599340.0	855784.0
XieH_2016__YSZC12003_37315__bin.109	697686.0	681002.0	496398.0	713320.0	640011.0	675435.0	645414.0	709954.0	715493.0	693628.0	611908.0	658789.0	431542.0	477412.0	718983.0	665865.0	650869.0	723621.0	666222.0	665144.0	708993.0	760515.0	643856.0	714797.0	712476.0	719446.0	855228.0	604815.0	658538.0	663296.0	694858.0	722554.0	704463.0	722913.0	703298.0	719814.0	680794.0	720490.0	666337.0	716376.0	652121.0	519530.0	685469.0
WenC_2017__N277__bin.7	830131.0	834467.0	550158.0	824839.0	796125.0	685380.0	791593.0	854252.0	877640.0	848755.0	688733.0	807629.0	535988.0	585081.0	852926.0	756791.0	719938.0	880143.0	826348.0	815446.0	864062.0	795187.0	762194.0	868769.0	858915.0	740500.0	604815.0	952991.0	810384.0	810894.0	844671.0	871082.0	869159.0	872256.0	852376.0	868395.0	829193.0	869376.0	838287.0	858017.0	786671.0	564377.0	827699.0
BritoIL_2016__M2.36.ST__bin.40	919086.0	1016274.0	627162.0	1000138.0	906784.0	740778.0	883619.0	961655.0	1022992.0	1003038.0	808997.0	895851.0	642015.0	675588.0	944381.0	908087.0	820627.0	1021799.0	922733.0	907228.0	997028.0	940685.0	845883.0	1034441.0	1019701.0	853371.0	658538.0	810384.0	1142950.0	943073.0	1037000.0	985249.0	999782.0	983283.0	994026.0	1019554.0	919657.0	1008132.0	945428.0	1004011.0	917241.0	647332.0	921390.0
LiJ_2014__O2.UC28-0__bin.26	930312.0	967361.0	612918.0	987447.0	929729.0	761527.0	896161.0	1004108.0	1037267.0	1014782.0	784298.0	888234.0	632088.0	711055.0	958563.0	886434.0	829771.0	1028715.0	919667.0	922820.0	1021710.0	959633.0	873351.0	1033945.0	1038618.0	865209.0	663296.0	810894.0	943073.0	1201051.0	988817.0	1021323.0	1000862.0	1020445.0	1017398.0	1036427.0	952871.0	1013309.0	955376.0	1026662.0	927211.0	658258.0	943992.0
BritoIL_2016__M2.46.ST__bin.6	966721.0	1062500.0	648168.0	1048406.0	958361.0	783945.0	943572.0	1014274.0	1104145.0	1058143.0	845163.0	948539.0	678233.0	692665.0	994231.0	955705.0	865490.0	1074143.0	983446.0	960605.0	1045102.0	980887.0	905407.0	1089793.0	1073301.0	893577.0	694858.0	844671.0	1037000.0	988817.0	1173338.0	1036360.0	1056870.0	1038478.0	1044195.0	1074819.0	968266.0	1063450.0	1006467.0	1053779.0	952576.0	679652.0	977844.0
LiJ_2014__V1.FI26__bin.8	998485.0	1016323.0	649644.0	1037509.0	988309.0	807381.0	960694.0	1082176.0	1089536.0	1060006.0	842350.0	959096.0	658044.0	713265.0	1065201.0	948070.0	863507.0	1095531.0	982020.0	995025.0	1082683.0	1003539.0	937790.0	1075324.0	1080548.0	903721.0	722554.0	871082.0	985249.0	1021323.0	1036360.0	1236660.0	1060516.0	1087129.0	1072387.0	1088228.0	1034833.0	1113885.0	1012427.0	1083685.0	979468.0	718535.0	1008310.0
QinN_2014__HD-60__bin.82	971066.0	1030848.0	649849.0	1049237.0	964913.0	795813.0	938984.0	1033775.0	1083261.0	1049230.0	846187.0	945610.0	678250.0	697684.0	1022105.0	957243.0	867652.0	1080337.0	993209.0	972985.0	1069078.0	1005863.0	907323.0	1085751.0	1084576.0	921754.0	704463.0	869159.0	999782.0	1000862.0	1056870.0	1060516.0	1146810.0	1059548.0	1059966.0	1096747.0	985230.0	1078027.0	1010466.0	1069552.0	967654.0	686752.0	982184.0
NielsenHB_2014__V1_CD22_0__bin.3	1000409.0	1017959.0	644545.0	1036016.0	966170.0	801784.0	948375.0	1058103.0	1112750.0	1052413.0	843177.0	954578.0	666949.0	720112.0	1027053.0	939092.0	861478.0	1098557.0	990237.0	1021233.0	1080781.0	1006806.0	939468.0	1106807.0	1079667.0	906866.0	722913.0	872256.0	983283.0	1020445.0	1038478.0	1087129.0	1059548.0	1196053.0	1070992.0	1119880.0	999650.0	1079993.0	1003414.0	1114598.0	972148.0	731259.0	998435.0
CosteaPI_2017__SID713A084-11-90-0__bin.44	988761.0	1026912.0	652583.0	1045558.0	972211.0	793675.0	941793.0	1060870.0	1102663.0	1065315.0	839396.0	946199.0	676336.0	712764.0	1009267.0	945602.0	879889.0	1083934.0	985824.0	977831.0	1084558.0	1006535.0	905478.0	1099465.0	1105451.0	917197.0	703298.0	852376.0	994026.0	1017398.0	1044195.0	1072387.0	1059966.0	1070992.0	1228523.0	1107278.0	994627.0	1105029.0	1013725.0	1101637.0	1075947.0	695749.0	991726.0
BritoIL_2016__M1.44.ST__bin.14	1001919.0	1057570.0	665228.0	1078542.0	978930.0	805657.0	968120.0	1076038.0	1133066.0	1085720.0	857223.0	965043.0	692311.0	766450.0	1034461.0	969658.0	887551.0	1132000.0	1011065.0	1018148.0	1102572.0	1051384.0	919485.0	1152463.0	1203908.0	935842.0	719814.0	868395.0	1019554.0	1036427.0	1074819.0	1088228.0	1096747.0	1119880.0	1107278.0	1332280.0	1008200.0	1100280.0	1027233.0	1145167.0	1001083.0	726462.0	1004600.0
CosteaPI_2017__SID713B040-11-90-0__bin.4	938377.0	947134.0	599590.0	967619.0	911747.0	755689.0	896415.0	1001192.0	1008886.0	965533.0	786305.0	904800.0	620227.0	664334.0	970768.0	878517.0	804665.0	1007901.0	907363.0	933221.0	1000925.0	921335.0	880458.0	997460.0	1003848.0	844115.0	680794.0	829193.0	919657.0	952871.0	968266.0	1034833.0	985230.0	999650.0	994627.0	1008200.0	1086198.0	1024264.0	942637.0	1003952.0	916377.0	654791.0	963528.0
RaymondF_2016__P19E0__bin.81	992909.0	1038644.0	654153.0	1053194.0	982672.0	806240.0	962817.0	1058768.0	1092235.0	1064754.0	853147.0	964697.0	684585.0	708304.0	1027073.0	964496.0	873568.0	1092565.0	989391.0	987143.0	1096374.0	1006437.0	928655.0	1088363.0	1095605.0	919117.0	720490.0	869376.0	1008132.0	1013309.0	1063450.0	1113885.0	1078027.0	1079993.0	1105029.0	1100280.0	1024264.0	1210940.0	1020559.0	1090230.0	1008630.0	708902.0	1015800.0
LeChatelierE_2013__MH0177__bin.3	939912.0	984284.0	637668.0	998428.0	961720.0	763706.0	887455.0	1003978.0	1033254.0	996742.0	797975.0	929075.0	640493.0	657488.0	951430.0	897754.0	859639.0	1030386.0	940593.0	916994.0	1016144.0	951963.0	870156.0	1023357.0	1033813.0	875242.0	666337.0	838287.0	945428.0	955376.0	1006467.0	1012427.0	1010466.0	1003414.0	1013725.0	1027233.0	942637.0	1020559.0	1146493.0	1026768.0	929850.0	633890.0	946709.0
CosteaPI_2017__SID713A063-11-90-0__bin.85	1025686.0	1037791.0	662713.0	1062334.0	991462.0	795713.0	953675.0	1071374.0	1174278.0	1079256.0	855708.0	955045.0	680247.0	727552.0	1025173.0	952752.0	892821.0	1117059.0	994622.0	1018285.0	1102700.0	1026466.0	924360.0	1135422.0	1124991.0	927719.0	716376.0	858017.0	1004011.0	1026662.0	1053779.0	1083685.0	1069552.0	1114598.0	1101637.0	1145167.0	1003952.0	1090230.0	1026768.0	1310874.0	1000356.0	712372.0	997916.0
CosteaPI_2017__SID713A084-11-0-0__bin.26	903089.0	945353.0	623252.0	961138.0	894773.0	734075.0	867665.0	972668.0	999701.0	966025.0	790630.0	875188.0	624880.0	661445.0	925916.0	875870.0	818994.0	986256.0	892688.0	899184.0	985141.0	920946.0	836176.0	994948.0	1000342.0	841376.0	652121.0	786671.0	917241.0	927211.0	952576.0	979468.0	967654.0	972148.0	1075947.0	1001083.0	916377.0	1008630.0	929850.0	1000356.0	1160228.0	634354.0	906194.0
XieH_2016__YSZC12003_37797__bin.39	702862.0	669357.0	411369.0	684344.0	634890.0	525053.0	617996.0	717997.0	718560.0	687616.0	599429.0	614372.0	417878.0	570081.0	701197.0	619055.0	545880.0	715852.0	653790.0	657535.0	708460.0	661265.0	661436.0	711710.0	704944.0	599340.0	519530.0	564377.0	647332.0	658258.0	679652.0	718535.0	686752.0	731259.0	695749.0	726462.0	654791.0	708902.0	633890.0	712372.0	634354.0	737129.0	670263.0
KarlssonFH_2013__S378__bin.20	937070.0	949303.0	603986.0	965016.0	913868.0	767573.0	886757.0	1002680.0	1004261.0	971602.0	790002.0	902537.0	619265.0	670720.0	982249.0	888174.0	813829.0	1001511.0	915221.0	933338.0	993021.0	925987.0	903559.0	997231.0	999271.0	855784.0	685469.0	827699.0	921390.0	943992.0	977844.0	1008310.0	982184.0	998435.0	991726.0	1004600.0	963528.0	1015800.0	946709.0	997916.0	906194.0	670263.0	1091599.0
