	XieH_2016__YSZC12003_35387__bin.21	NielsenHB_2014__V1_UC50_1__bin.32	ZeeviD_2015__PNP_Main_123__bin.25	ZellerG_2014__CCIS81710917ST-20-0__bin.55	YuJ_2015__SZAXPI015225-18__bin.48	LiJ_2014__MH0382__bin.26	RaymondF_2016__P21E90__bin.27	VogtmannE_2016__MMRS80093644ST-27-0-0__bin.27	ZellerG_2014__CCIS87167916ST-4-0__bin.6	KarlssonFH_2013__S347__bin.32	LouisS_2016__AS60_6__bin.21	Obregon-TitoAJ_2015__NO22__bin.52	VogtmannE_2016__MMRS15137911ST-27-0-0__bin.27	LouisS_2016__AS50_6__bin.15	LiJ_2014__MH0348__bin.42	LiJ_2014__V1.FI26__bin.52	LiJ_2014__MH0343__bin.58	VogtmannE_2016__MMRS55294627ST-27-0-0__bin.38	NielsenHB_2014__V1_UC26_4__bin.30	YuJ_2015__SZAXPI003413-4__bin.66	LeChatelierE_2013__MH0433__bin.72	KarlssonFH_2013__S144__bin.55	XieH_2016__YSZC12003_37199__bin.48	ZellerG_2014__CCMD25511638ST-21-0__bin.43	XieH_2016__YSZC12003_37297R1__bin.8	ZellerG_2014__CCIS90166425ST-4-0__bin.57	ZellerG_2014__CCIS33816588ST-4-0__bin.26	YuJ_2015__SZAXPI017584-108__bin.17	ZellerG_2014__CCIS17669415ST-4-0__bin.25	ZellerG_2014__CCMD12232071ST-21-0__bin.2	GeversD_2014__SKBSTL024__bin.11	XieH_2016__YSZC12003_36699__bin.14
YuJ_2015__SZAXPI003413-4__bin.66	2123988.0	2216408.0	1839395.0	2080952.0	1761121.0	2042223.0	2091038.0	2093097.0	2221859.0	1672178.0	2161454.0	2195966.0	2183444.0	2168878.0	2161459.0	1658777.0	1669755.0	1151877.0	1984586.0	2600580.0	1821873.0	2276674.0	2245221.0	2095018.0	1663017.0	2250343.0	1683330.0	1804299.0	1377016.0	2215049.0	2066225.0	1287483.0
LeChatelierE_2013__MH0433__bin.72	1806205.0	1863330.0	1546233.0	1759725.0	1636725.0	1729738.0	1760536.0	1735502.0	1830536.0	1478890.0	1920285.0	1813319.0	1811218.0	1745266.0	1879787.0	1450425.0	1465597.0	1038686.0	1787272.0	1821873.0	2022763.0	1795998.0	1821016.0	1772608.0	1443176.0	1779381.0	1431737.0	1663772.0	1268288.0	1752182.0	1708407.0	1098346.0
KarlssonFH_2013__S144__bin.55	2121834.0	2140282.0	1817731.0	2081613.0	1709725.0	1983626.0	2060751.0	2058885.0	2173748.0	1635648.0	2170546.0	2161866.0	2158643.0	2146827.0	2136741.0	1628941.0	1662614.0	1139595.0	1939140.0	2276674.0	1795998.0	2573456.0	2203994.0	2074530.0	1642827.0	2301018.0	1681482.0	1771743.0	1373955.0	2309076.0	2008541.0	1295940.0
XieH_2016__YSZC12003_37199__bin.48	2177979.0	2239228.0	1832925.0	2177381.0	1762146.0	2091521.0	2119990.0	2204447.0	2213736.0	1674295.0	2253219.0	2164223.0	2239108.0	2209666.0	2194392.0	1673917.0	1566910.0	1146244.0	1977255.0	2245221.0	1821016.0	2203994.0	2693575.0	2132404.0	1674012.0	2173655.0	1692813.0	1888197.0	1389988.0	2099708.0	2221037.0	1331107.0
ZellerG_2014__CCMD25511638ST-21-0__bin.43	2152226.0	2110712.0	1766565.0	2007285.0	1676909.0	1945993.0	2031481.0	2054465.0	2121690.0	1615561.0	2157111.0	2116987.0	2177676.0	2039343.0	2106283.0	1617169.0	1474586.0	1133291.0	1897907.0	2095018.0	1772608.0	2074530.0	2132404.0	2446108.0	1642415.0	2040171.0	1635246.0	1736115.0	1331955.0	2037339.0	1976638.0	1270738.0
XieH_2016__YSZC12003_37297R1__bin.8	1671298.0	1697661.0	1431102.0	1615507.0	1311732.0	1555505.0	1617264.0	1623438.0	1696909.0	1300284.0	1690945.0	1672033.0	1671604.0	1643476.0	1660563.0	1322018.0	1179194.0	944550.0	1549441.0	1663017.0	1443176.0	1642827.0	1674012.0	1642415.0	1780919.0	1642037.0	1299757.0	1367683.0	1064136.0	1614486.0	1580094.0	1055168.0
ZellerG_2014__CCIS90166425ST-4-0__bin.57	2101150.0	2157900.0	1793825.0	2032466.0	1684908.0	1961126.0	2043957.0	2049668.0	2192836.0	1615684.0	2141216.0	2171464.0	2124511.0	2113417.0	2110065.0	1638597.0	1710613.0	1150354.0	1932125.0	2250343.0	1779381.0	2301018.0	2173655.0	2040171.0	1642037.0	2515082.0	1675235.0	1726848.0	1353863.0	2162921.0	1980860.0	1257800.0
ZellerG_2014__CCIS33816588ST-4-0__bin.26	1694382.0	1687282.0	1384470.0	1637796.0	1328637.0	1606141.0	1679393.0	1656630.0	1680520.0	1303596.0	1686433.0	1686664.0	1752501.0	1646380.0	1670936.0	1314824.0	1258221.0	946734.0	1520913.0	1683330.0	1431737.0	1681482.0	1692813.0	1635246.0	1299757.0	1675235.0	1987556.0	1358442.0	1067534.0	1608356.0	1566140.0	1042709.0
YuJ_2015__SZAXPI017584-108__bin.17	1750830.0	1791698.0	1506722.0	1798374.0	1636625.0	1746724.0	1702564.0	1758565.0	1767209.0	1415239.0	1809437.0	1742183.0	1742918.0	1746713.0	1802201.0	1390479.0	1457739.0	985928.0	1675927.0	1804299.0	1663772.0	1771743.0	1888197.0	1736115.0	1367683.0	1726848.0	1358442.0	2009562.0	1212229.0	1734866.0	1736602.0	1066758.0
ZellerG_2014__CCIS17669415ST-4-0__bin.25	1363604.0	1394837.0	1182301.0	1359110.0	1175083.0	1304889.0	1333970.0	1332971.0	1391911.0	1147572.0	1379783.0	1364810.0	1370797.0	1333123.0	1424360.0	1143130.0	1102422.0	802775.0	1305282.0	1377016.0	1268288.0	1373955.0	1389988.0	1331955.0	1064136.0	1353863.0	1067534.0	1212229.0	1528746.0	1326082.0	1300120.0	872661.0
ZellerG_2014__CCMD12232071ST-21-0__bin.2	2074766.0	2083228.0	1770093.0	2010954.0	1677077.0	1939659.0	2009159.0	2020780.0	2125562.0	1589691.0	2080698.0	2094944.0	2078990.0	2056486.0	2063670.0	1586687.0	1587515.0	1108764.0	1900021.0	2215049.0	1752182.0	2309076.0	2099708.0	2037339.0	1614486.0	2162921.0	1608356.0	1734866.0	1326082.0	2407612.0	1955061.0	1254368.0
GeversD_2014__SKBSTL024__bin.11	2002889.0	2077156.0	1735767.0	2026098.0	1639237.0	1947726.0	1985946.0	2068554.0	2073200.0	1559989.0	2083358.0	2003975.0	2037432.0	2062237.0	2034378.0	1571733.0	1407944.0	1082100.0	1853195.0	2066225.0	1708407.0	2008541.0	2221037.0	1976638.0	1580094.0	1980860.0	1566140.0	1736602.0	1300120.0	1955061.0	2333745.0	1250510.0
XieH_2016__YSZC12003_36699__bin.14	1305410.0	1318103.0	1110939.0	1286306.0	1013365.0	1224894.0	1285702.0	1282279.0	1313631.0	1047959.0	1318918.0	1291539.0	1316891.0	1285930.0	1316911.0	1064910.0	896226.0	728672.0	1188792.0	1287483.0	1098346.0	1295940.0	1331107.0	1270738.0	1055168.0	1257800.0	1042709.0	1066758.0	872661.0	1254368.0	1250510.0	1469917.0
