	HMP_2012__SRS017139__bin.61	HMP_2012__SRS019387__bin.29	HMP_2012__SRS023358__bin.10	HMP_2012__SRS014690__bin.13	HMP_2012__SRS013723__bin.11	ZeeviD_2015__PNP_Main_136__bin.7	HMP_2012__SRS065099__bin.18	CM_periimplantitis__SP_344SPT_T016__bin.14	HMP_2012__SRS022536__bin.42	CM_periimplantitis__SP_283SPT_T016__bin.10	HMP_2012__SRS019980__bin.27	HMP_2012__SRS024355__bin.50	HMP_2012__SRS011126__bin.8	HMP_2012__SRS024447__bin.9	HMP_2012__SRS011152__bin.29	CM_cf__CF_TNFC045IS_t2M15__bin.6	HMP_2012__SRS075410__bin.20	HMP_2012__SRS015044__bin.3	HMP_2012__SRS015985__bin.25	HMP_2012__SRS016092__bin.15	HMP_2012__SRS023938__bin.43	CM_periimplantitis__SP_164SPT_T016__bin.12	HMP_2012__SRS015470__bin.18	HMP_2012__SRS019591__bin.20	HMP_2012__SRS015989__bin.36	HMP_2012__SRS020226__bin.23	HMP_2012__SRS013949__bin.8	HMP_2012__SRS020340__bin.12	HMP_2012__SRS024021__bin.5	CM_periimplantitis__SP_161SPI_T016__bin.1	HMP_2012__SRS018665__bin.9
HMP_2012__SRS024355__bin.50	9731.0	31493.0	38074.0	33837.0	36662.0	44333.0	38942.0	20997.0	39624.0	38623.0	41905.0	0.0	39087.0	39207.0	35701.0	33019.0	41592.0	40284.0	41130.0	42042.0	44231.0	32360.0	35349.0	41290.0	40903.0	39173.0	51481.0	37225.0	41071.0	38597.0	20597.0
HMP_2012__SRS011126__bin.8	35873.0	32553.0	40824.0	36972.0	36903.0	39335.0	3961.0	20445.0	4596.0	37507.0	42595.0	39087.0	0.0	43466.0	35503.0	37142.0	32956.0	39118.0	41940.0	44034.0	46415.0	35716.0	37339.0	44455.0	40288.0	41656.0	51694.0	28739.0	41101.0	42182.0	29207.0
HMP_2012__SRS024447__bin.9	34569.0	35983.0	45779.0	38754.0	40436.0	52093.0	43491.0	22997.0	43685.0	42141.0	50218.0	39207.0	43466.0	0.0	42016.0	37711.0	46146.0	45370.0	45346.0	46673.0	52196.0	35382.0	39983.0	49779.0	44010.0	48538.0	59551.0	42476.0	48464.0	41512.0	29878.0
HMP_2012__SRS011152__bin.29	31617.0	30187.0	35407.0	34775.0	31293.0	41724.0	35723.0	19858.0	35768.0	33014.0	37561.0	35701.0	35503.0	42016.0	0.0	31062.0	38911.0	37393.0	29348.0	35505.0	39080.0	29908.0	29611.0	39647.0	28311.0	36900.0	50908.0	36120.0	39190.0	34325.0	26858.0
CM_cf__CF_TNFC045IS_t2M15__bin.6	28186.0	30247.0	36058.0	30137.0	32092.0	42513.0	36500.0	18730.0	37516.0	35495.0	39786.0	33019.0	37142.0	37711.0	31062.0	0.0	39055.0	38061.0	34572.0	38448.0	42886.0	25002.0	31205.0	40987.0	33648.0	39680.0	49201.0	33444.0	40753.0	28905.0	25744.0
HMP_2012__SRS075410__bin.20	36298.0	34618.0	42901.0	39829.0	38632.0	45969.0	33112.0	21154.0	33228.0	40069.0	45902.0	41592.0	32956.0	46146.0	38911.0	39055.0	0.0	42139.0	43535.0	46572.0	50280.0	36536.0	37549.0	47856.0	41695.0	45218.0	56338.0	34373.0	45465.0	44889.0	29952.0
HMP_2012__SRS015044__bin.3	35266.0	34867.0	40156.0	37012.0	36572.0	45827.0	38000.0	20901.0	39274.0	39235.0	42015.0	40284.0	39118.0	45370.0	37393.0	38061.0	42139.0	0.0	42588.0	44998.0	45995.0	35190.0	36267.0	47259.0	40914.0	45973.0	54246.0	38989.0	42071.0	43010.0	28474.0
HMP_2012__SRS015985__bin.25	35308.0	35446.0	40700.0	38267.0	38193.0	49022.0	41341.0	21530.0	41577.0	38751.0	45130.0	41130.0	41940.0	45346.0	29348.0	34572.0	43535.0	42588.0	0.0	45840.0	49907.0	33288.0	36420.0	47230.0	406.0	46377.0	57533.0	38929.0	45238.0	39740.0	29132.0
HMP_2012__SRS016092__bin.15	38193.0	33094.0	41778.0	39496.0	33348.0	51097.0	42947.0	21875.0	43817.0	36666.0	46419.0	42042.0	44034.0	46673.0	35505.0	38448.0	46572.0	44998.0	45840.0	0.0	41070.0	35175.0	31142.0	46641.0	45082.0	45669.0	59883.0	42624.0	45628.0	44215.0	29456.0
HMP_2012__SRS023938__bin.43	39994.0	33553.0	42156.0	41826.0	17405.0	53280.0	46121.0	22687.0	47454.0	40648.0	47256.0	44231.0	46415.0	52196.0	39080.0	42886.0	50280.0	45995.0	49907.0	41070.0	0.0	36162.0	29851.0	48100.0	48918.0	46057.0	60873.0	46416.0	51239.0	46291.0	34321.0
CM_periimplantitis__SP_164SPT_T016__bin.12	28885.0	26973.0	34558.0	29966.0	26581.0	42097.0	34900.0	17333.0	33385.0	34096.0	38288.0	32360.0	35716.0	35382.0	29908.0	25002.0	36536.0	35190.0	33288.0	35175.0	36162.0	0.0	29285.0	35171.0	31605.0	34895.0	48647.0	33519.0	37939.0	29253.0	25986.0
HMP_2012__SRS015470__bin.18	31039.0	29181.0	35924.0	32952.0	22925.0	40827.0	37159.0	19785.0	38340.0	31695.0	38495.0	35349.0	37339.0	39983.0	29611.0	31205.0	37549.0	36267.0	36420.0	31142.0	29851.0	29285.0	0.0	38187.0	35925.0	37690.0	49011.0	35042.0	38394.0	34333.0	25575.0
HMP_2012__SRS019591__bin.20	37961.0	1681.0	44559.0	39492.0	38166.0	55015.0	44094.0	22645.0	45542.0	43439.0	50323.0	41290.0	44455.0	49779.0	39647.0	40987.0	47856.0	47259.0	47230.0	46641.0	48100.0	35171.0	38187.0	0.0	45281.0	12144.0	60037.0	44855.0	49619.0	44172.0	32960.0
HMP_2012__SRS015989__bin.36	34246.0	34352.0	39133.0	36889.0	36608.0	47818.0	40392.0	21147.0	40933.0	37292.0	43417.0	40903.0	40288.0	44010.0	28311.0	33648.0	41695.0	40914.0	406.0	45082.0	48918.0	31605.0	35925.0	45281.0	0.0	44684.0	56121.0	38370.0	43584.0	38055.0	28256.0
HMP_2012__SRS020226__bin.23	36062.0	9561.0	42240.0	38906.0	35992.0	51805.0	41943.0	23347.0	44001.0	41269.0	47825.0	39173.0	41656.0	48538.0	36900.0	39680.0	45218.0	45973.0	46377.0	45669.0	46057.0	34895.0	37690.0	12144.0	44684.0	0.0	57553.0	42608.0	49581.0	42760.0	31110.0
HMP_2012__SRS013949__bin.8	48520.0	44493.0	56358.0	50508.0	48610.0	59888.0	51396.0	30024.0	51616.0	46951.0	60164.0	51481.0	51694.0	59551.0	50908.0	49201.0	56338.0	54246.0	57533.0	59883.0	60873.0	48647.0	49011.0	60037.0	56121.0	57553.0	0.0	52015.0	55685.0	56302.0	37812.0
HMP_2012__SRS020340__bin.12	34517.0	33127.0	41806.0	36423.0	36235.0	43979.0	27679.0	20903.0	27750.0	36835.0	43606.0	37225.0	28739.0	42476.0	36120.0	33444.0	34373.0	38989.0	38929.0	42624.0	46416.0	33519.0	35042.0	44855.0	38370.0	42608.0	52015.0	0.0	42581.0	40760.0	28658.0
HMP_2012__SRS024021__bin.5	36771.0	36223.0	44005.0	38758.0	40145.0	50016.0	40331.0	20685.0	41283.0	41718.0	49082.0	41071.0	41101.0	48464.0	39190.0	40753.0	45465.0	42071.0	45238.0	45628.0	51239.0	37939.0	38394.0	49619.0	43584.0	49581.0	55685.0	42581.0	0.0	44670.0	30415.0
CM_periimplantitis__SP_161SPI_T016__bin.1	33468.0	33037.0	40979.0	34440.0	35395.0	47492.0	41260.0	20215.0	41875.0	39558.0	44360.0	38597.0	42182.0	41512.0	34325.0	28905.0	44889.0	43010.0	39740.0	44215.0	46291.0	29253.0	34333.0	44172.0	38055.0	42760.0	56302.0	40760.0	44670.0	0.0	29283.0
HMP_2012__SRS018665__bin.9	16226.0	25166.0	28393.0	25695.0	27208.0	30109.0	28410.0	14582.0	28024.0	28048.0	29170.0	20597.0	29207.0	29878.0	26858.0	25744.0	29952.0	28474.0	29132.0	29456.0	34321.0	25986.0	25575.0	32960.0	28256.0	31110.0	37812.0	28658.0	30415.0	29283.0	0.0
