	VincentC_2016__MM098.8__bin.1	KarlssonFH_2013__S54__bin.24	Obregon-TitoAJ_2015__SM24__bin.22	LiJ_2014__V1.FI30__bin.20	VatanenT_2016__G78895__bin.1	CosteaPI_2017__alien-11-600-0__bin.61	VatanenT_2016__G69222__bin.8	KarlssonFH_2013__S59__bin.5	VatanenT_2016__G78889__bin.17	VatanenT_2016__G78793__bin.2	CosteaPI_2017__alien-11-877-0__bin.3	VatanenT_2016__G78880__bin.10	BackhedF_2015__SID82_12M__bin.39	OhJ_2014__MET0310__bin.48	VatanenT_2016__G78780__bin.6	BackhedF_2015__SID38_M__bin.25	ZellerG_2014__CCIS63448910ST-4-0__bin.46	SchirmerM_2016__G89053__bin.11	NielsenHB_2014__V1_UC50_1__bin.21	CM_madagascar__A81_03_1FE__bin.34	CosteaPI_2017__SID713A040-11-0-0__bin.67	ZellerG_2014__CCIS74239020ST-4-0__bin.54	BackhedF_2015__SID637_12M__bin.20	CM_madagascar__V40_01_1FE__bin.14	CosteaPI_2017__SID713A053-11-0-0__bin.33	ZellerG_2014__CCIS50471204ST-4-0__bin.28	IjazUZ_2017__S68_a_WGS__bin.4	KosticAD_2015__PRJNA231909.3109952__bin.14	VatanenT_2016__G78553__bin.4	BackhedF_2015__SID38_12M__bin.19
CosteaPI_2017__alien-11-877-0__bin.3	1762018.0	1120509.0	1326543.0	947479.0	1261779.0	1035729.0	1529636.0	1766959.0	928854.0	1573225.0	1963700.0	1691699.0	921725.0	1517501.0	1040948.0	1722186.0	1089106.0	1847017.0	1841066.0	1125866.0	1018102.0	1668081.0	1739864.0	905286.0	1653132.0	1847696.0	1696403.0	1190404.0	1557828.0	1660324.0
VatanenT_2016__G78880__bin.10	1833828.0	1085224.0	1386382.0	929255.0	1317612.0	1038741.0	1522408.0	1764878.0	924264.0	1568844.0	1691699.0	2020066.0	940914.0	1545395.0	1079345.0	1788448.0	1111713.0	1847060.0	1851752.0	1107102.0	1010752.0	1658866.0	1797826.0	924750.0	1670766.0	1849905.0	1787793.0	1175186.0	1558714.0	1700928.0
BackhedF_2015__SID82_12M__bin.39	975281.0	723385.0	776393.0	578167.0	767777.0	560236.0	830197.0	959843.0	544539.0	878546.0	921725.0	940914.0	1118238.0	873806.0	597350.0	979487.0	622019.0	973628.0	972825.0	655836.0	588383.0	926414.0	965136.0	561368.0	947941.0	988471.0	943444.0	696792.0	861376.0	950337.0
OhJ_2014__MET0310__bin.48	1572397.0	989929.0	1237892.0	862132.0	1157220.0	910367.0	1367276.0	1543650.0	839145.0	1410440.0	1517501.0	1545395.0	873806.0	2119932.0	978429.0	1564622.0	974984.0	1603988.0	1604095.0	1096856.0	952754.0	1488177.0	1651858.0	864697.0	1509917.0	1610700.0	1534212.0	1054970.0	1388155.0	1535724.0
VatanenT_2016__G78780__bin.6	1094520.0	661840.0	856500.0	577655.0	817737.0	638549.0	954246.0	1095396.0	571967.0	976069.0	1040948.0	1079345.0	597350.0	978429.0	1361450.0	1085008.0	669716.0	1137481.0	1125025.0	717302.0	660960.0	1026897.0	1170098.0	571854.0	1031595.0	1135250.0	1059690.0	735942.0	979308.0	1069723.0
BackhedF_2015__SID38_M__bin.25	1851138.0	1124606.0	1379851.0	956769.0	1323660.0	1042661.0	1562584.0	1805797.0	943900.0	1595163.0	1722186.0	1788448.0	979487.0	1564622.0	1085008.0	2083827.0	1111971.0	1873370.0	1869591.0	1139934.0	1036012.0	1712741.0	1832740.0	941902.0	1751656.0	1880266.0	1801444.0	1211959.0	1600024.0	1770113.0
ZellerG_2014__CCIS63448910ST-4-0__bin.46	1150883.0	786872.0	881326.0	638005.0	824669.0	690397.0	1018520.0	1165513.0	616805.0	1040722.0	1089106.0	1111713.0	622019.0	974984.0	669716.0	1111971.0	1356325.0	1201215.0	1222165.0	696877.0	677555.0	1087575.0	1136388.0	570208.0	1064039.0	1220477.0	1097951.0	800736.0	1039952.0	1091995.0
SchirmerM_2016__G89053__bin.11	1936438.0	1424439.0	1421347.0	992994.0	1344457.0	1124414.0	1698788.0	2123599.0	1005031.0	1707766.0	1847017.0	1847060.0	973628.0	1603988.0	1137481.0	1873370.0	1201215.0	2626085.0	2088513.0	1173219.0	1066906.0	1816140.0	1940579.0	936245.0	1747194.0	2348382.0	1886842.0	1451730.0	1727659.0	1826290.0
NielsenHB_2014__V1_UC50_1__bin.21	1978268.0	1226393.0	1423573.0	994336.0	1379990.0	1128288.0	1689340.0	1955935.0	1010857.0	1725022.0	1841066.0	1851752.0	972825.0	1604095.0	1125025.0	1869591.0	1222165.0	2088513.0	2320141.0	1187121.0	1066201.0	1809965.0	1958549.0	949097.0	1765837.0	2112569.0	1886864.0	1303232.0	1698101.0	1819827.0
CM_madagascar__A81_03_1FE__bin.34	1146117.0	771709.0	900413.0	626813.0	861687.0	673132.0	993806.0	1148134.0	644609.0	1039704.0	1125866.0	1107102.0	655836.0	1096856.0	717302.0	1139934.0	696877.0	1173219.0	1187121.0	1373043.0	710308.0	1100063.0	1244343.0	702730.0	1102883.0	1179183.0	1115270.0	787832.0	998218.0	1114187.0
CosteaPI_2017__SID713A040-11-0-0__bin.67	1043768.0	707742.0	846107.0	618360.0	783582.0	617632.0	925233.0	1034361.0	579378.0	961577.0	1018102.0	1010752.0	588383.0	952754.0	660960.0	1036012.0	677555.0	1066906.0	1066201.0	710308.0	1144129.0	1024510.0	1028193.0	598293.0	1022874.0	1069839.0	997467.0	736506.0	940051.0	1001627.0
ZellerG_2014__CCIS74239020ST-4-0__bin.54	1712735.0	1159935.0	1308883.0	965376.0	1247775.0	1021666.0	1489725.0	1748686.0	931926.0	1558320.0	1668081.0	1658866.0	926414.0	1488177.0	1026897.0	1712741.0	1087575.0	1816140.0	1809965.0	1100063.0	1024510.0	1928997.0	1713022.0	902378.0	1625570.0	1804571.0	1676201.0	1195692.0	1537881.0	1659887.0
BackhedF_2015__SID637_12M__bin.20	1884668.0	1149305.0	1428246.0	948851.0	1339820.0	1067581.0	1588021.0	1837388.0	943282.0	1609624.0	1739864.0	1797826.0	965136.0	1651858.0	1170098.0	1832740.0	1136388.0	1940579.0	1958549.0	1244343.0	1028193.0	1713022.0	2439581.0	940770.0	1710488.0	1948617.0	1840392.0	1230252.0	1625841.0	1834760.0
CM_madagascar__V40_01_1FE__bin.14	946239.0	626310.0	765907.0	539701.0	748095.0	558957.0	805675.0	916015.0	525574.0	851116.0	905286.0	924750.0	561368.0	864697.0	571854.0	941902.0	570208.0	936245.0	949097.0	702730.0	598293.0	902378.0	940770.0	1015295.0	913622.0	945072.0	912398.0	646895.0	825957.0	906617.0
CosteaPI_2017__SID713A053-11-0-0__bin.33	1745422.0	1067260.0	1317957.0	923531.0	1266692.0	984089.0	1479464.0	1693297.0	895108.0	1525932.0	1653132.0	1670766.0	947941.0	1509917.0	1031595.0	1751656.0	1064039.0	1747194.0	1765837.0	1102883.0	1022874.0	1625570.0	1710488.0	913622.0	1906263.0	1770406.0	1661605.0	1146334.0	1506290.0	1652085.0
ZellerG_2014__CCIS50471204ST-4-0__bin.28	1966574.0	1429759.0	1429111.0	997787.0	1347611.0	1139331.0	1707893.0	2140812.0	1008996.0	1713521.0	1847696.0	1849905.0	988471.0	1610700.0	1135250.0	1880266.0	1220477.0	2348382.0	2112569.0	1179183.0	1069839.0	1804571.0	1948617.0	945072.0	1770406.0	2461277.0	1895217.0	1452544.0	1738302.0	1832390.0
IjazUZ_2017__S68_a_WGS__bin.4	1861666.0	1143032.0	1352268.0	930888.0	1309775.0	1044176.0	1535128.0	1795350.0	943317.0	1579308.0	1696403.0	1787793.0	943444.0	1534212.0	1059690.0	1801444.0	1097951.0	1886842.0	1886864.0	1115270.0	997467.0	1676201.0	1840392.0	912398.0	1661605.0	1895217.0	2228125.0	1216238.0	1580509.0	1760920.0
KosticAD_2015__PRJNA231909.3109952__bin.14	1239009.0	1077597.0	946088.0	706708.0	918757.0	768811.0	1079012.0	1348713.0	680519.0	1110894.0	1190404.0	1175186.0	696792.0	1054970.0	735942.0	1211959.0	800736.0	1451730.0	1303232.0	787832.0	736506.0	1195692.0	1230252.0	646895.0	1146334.0	1452544.0	1216238.0	1558163.0	1120292.0	1191878.0
VatanenT_2016__G78553__bin.4	1620729.0	1053115.0	1219639.0	866377.0	1159514.0	983370.0	1470676.0	1658695.0	855602.0	1492135.0	1557828.0	1558714.0	861376.0	1388155.0	979308.0	1600024.0	1039952.0	1727659.0	1698101.0	998218.0	940051.0	1537881.0	1625841.0	825957.0	1506290.0	1738302.0	1580509.0	1120292.0	1905729.0	1553812.0
BackhedF_2015__SID38_12M__bin.19	1780899.0	1099756.0	1350508.0	931553.0	1289988.0	1026932.0	1524995.0	1735479.0	913938.0	1535979.0	1660324.0	1700928.0	950337.0	1535724.0	1069723.0	1770113.0	1091995.0	1826290.0	1819827.0	1114187.0	1001627.0	1659887.0	1834760.0	906617.0	1652085.0	1832390.0	1760920.0	1191878.0	1553812.0	2069797.0
